# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;szeroko uśmiechnięta twarz;roześmiana buźka|szeroko uśmiechnięta twarz
	🤝🏼;uścisk dłoni: karnacja średnio jasna;karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio jasna|zgoda
	🤝🏽;uścisk dłoni: karnacja średnia;karnacja średnia|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnia|zgoda
	🤝🏾;uścisk dłoni: karnacja średnio ciemna;karnacja średnio ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio ciemna|zgoda
	🤝🏿;uścisk dłoni: karnacja ciemna;karnacja ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja ciemna|zgoda
	🫱🏻‍🫲🏼;uścisk dłoni: karnacja jasna i karnacja średnio jasna;karnacja jasna|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja jasna i karnacja średnio jasna|zgoda
	🫱🏻‍🫲🏽;uścisk dłoni: karnacja jasna i karnacja średnia;karnacja jasna|karnacja średnia|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja jasna i karnacja średnia|zgoda
	🫱🏻‍🫲🏾;uścisk dłoni: karnacja jasna i karnacja średnio ciemna;karnacja jasna|karnacja średnio ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja jasna i karnacja średnio ciemna|zgoda
	🫱🏻‍🫲🏿;uścisk dłoni: karnacja jasna i karnacja ciemna;karnacja ciemna|karnacja jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja jasna i karnacja ciemna|zgoda
	🫱🏼‍🫲🏻;uścisk dłoni: karnacja średnio jasna i karnacja jasna;karnacja jasna|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio jasna i karnacja jasna|zgoda
	🫱🏼‍🫲🏽;uścisk dłoni: karnacja średnio jasna i karnacja średnia;karnacja średnia|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio jasna i karnacja średnia|zgoda
	🫱🏼‍🫲🏾;uścisk dłoni: karnacja średnio jasna i karnacja średnio ciemna;karnacja średnio ciemna|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio jasna i karnacja średnio ciemna|zgoda
	🫱🏼‍🫲🏿;uścisk dłoni: karnacja średnio jasna i karnacja ciemna;karnacja ciemna|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio jasna i karnacja ciemna|zgoda
	🫱🏽‍🫲🏻;uścisk dłoni: karnacja średnia i karnacja jasna;karnacja jasna|karnacja średnia|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnia i karnacja jasna|zgoda
	🫱🏽‍🫲🏼;uścisk dłoni: karnacja średnia i karnacja średnio jasna;karnacja średnia|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnia i karnacja średnio jasna|zgoda
	🫱🏽‍🫲🏾;uścisk dłoni: karnacja średnia i karnacja średnio ciemna;karnacja średnia|karnacja średnio ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnia i karnacja średnio ciemna|zgoda
	🫱🏽‍🫲🏿;uścisk dłoni: karnacja średnia i karnacja ciemna;karnacja ciemna|karnacja średnia|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnia i karnacja ciemna|zgoda
	🫱🏾‍🫲🏻;uścisk dłoni: karnacja średnio ciemna i karnacja jasna;karnacja jasna|karnacja średnio ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio ciemna i karnacja jasna|zgoda
	🫱🏾‍🫲🏼;uścisk dłoni: karnacja średnio ciemna i karnacja średnio jasna;karnacja średnio ciemna|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio ciemna i karnacja średnio jasna|zgoda
	🫱🏾‍🫲🏽;uścisk dłoni: karnacja średnio ciemna i karnacja średnia;karnacja średnia|karnacja średnio ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio ciemna i karnacja średnia|zgoda
	🫱🏾‍🫲🏿;uścisk dłoni: karnacja średnio ciemna i karnacja ciemna;karnacja ciemna|karnacja średnio ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja średnio ciemna i karnacja ciemna|zgoda
	🫱🏿‍🫲🏻;uścisk dłoni: karnacja ciemna i karnacja jasna;karnacja ciemna|karnacja jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja ciemna i karnacja jasna|zgoda
	🫱🏿‍🫲🏼;uścisk dłoni: karnacja ciemna i karnacja średnio jasna;karnacja ciemna|karnacja średnio jasna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja ciemna i karnacja średnio jasna|zgoda
	🫱🏿‍🫲🏽;uścisk dłoni: karnacja ciemna i karnacja średnia;karnacja ciemna|karnacja średnia|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja ciemna i karnacja średnia|zgoda
	🫱🏿‍🫲🏾;uścisk dłoni: karnacja ciemna i karnacja średnio ciemna;karnacja ciemna|karnacja średnio ciemna|powitanie|spotkanie|uścisk|uścisk dłoni|uścisk dłoni: karnacja ciemna i karnacja średnio ciemna|zgoda
🙏;złożone ręce;modlitwa|prosić|złożone ręce
	🙏🏻;złożone ręce: karnacja jasna;karnacja jasna|modlitwa|prosić|złożone ręce|złożone ręce: karnacja jasna
	🙏🏼;złożone ręce: karnacja średnio jasna;karnacja średnio jasna|modlitwa|prosić|złożone ręce|złożone ręce: karnacja średnio jasna
	🙏🏽;złożone ręce: karnacja średnia;karnacja średnia|modlitwa|prosić|złożone ręce|złożone ręce: karnacja średnia
	🙏🏾;złożone ręce: karnacja średnio ciemna;karnacja średnio ciemna|modlitwa|prosić|złożone ręce|złożone ręce: karnacja średnio ciemna
	🙏🏿;złożone ręce: karnacja ciemna;karnacja ciemna|modlitwa|prosić|złożone ręce|złożone ręce: karnacja ciemna
✍️;pisząca dłoń;pisać|pisać odręcznie|pisząca dłoń|piszę
	✍🏻;pisząca dłoń: karnacja jasna;karnacja jasna|pisać|pisać odręcznie|pisząca dłoń|pisząca dłoń: karnacja jasna|piszę
	✍🏼;pisząca dłoń: karnacja średnio jasna;karnacja średnio jasna|pisać|pisać odręcznie|pisząca dłoń|pisząca dłoń: karnacja średnio jasna|piszę
	✍🏽;pisząca dłoń: karnacja średnia;karnacja średnia|pisać|pisać odręcznie|pisząca dłoń|pisząca dłoń: karnacja średnia|piszę
	✍🏾;pisząca dłoń: karnacja średnio ciemna;karnacja średnio ciemna|pisać|pisać odręcznie|pisząca dłoń|pisząca dłoń: karnacja średnio ciemna|piszę
	✍🏿;pisząca dłoń: karnacja ciemna;karnacja ciemna|pisać|pisać odręcznie|pisząca dłoń|pisząca dłoń: karnacja ciemna|piszę
💅;lakier do paznokci;ciało|kosmetyki|lakier do paznokci|lakierować paznokcie|manicure|pielęgnacja
	💅🏻;lakier do paznokci: karnacja jasna;ciało|karnacja jasna|kosmetyki|lakier do paznokci|lakier do paznokci: karnacja jasna|lakierować paznokcie|manicure|pielęgnacja
	💅🏼;lakier do paznokci: karnacja średnio jasna;ciało|karnacja średnio jasna|kosmetyki|lakier do paznokci|lakier do paznokci: karnacja średnio jasna|lakierować paznokcie|manicure|pielęgnacja
	💅🏽;lakier do paznokci: karnacja średnia;ciało|karnacja średnia|kosmetyki|lakier do paznokci|lakier do paznokci: karnacja średnia|lakierować paznokcie|manicure|pielęgnacja
	💅🏾;lakier do paznokci: karnacja średnio ciemna;ciało|karnacja średnio ciemna|kosmetyki|lakier do paznokci|lakier do paznokci: karnacja średnio ciemna|lakierować paznokcie|manicure|pielęgnacja
	💅🏿;lakier do paznokci: karnacja ciemna;ciało|karnacja ciemna|kosmetyki|lakier do paznokci|lakier do paznokci: karnacja ciemna|lakierować paznokcie|manicure|pielęgnacja
🤳;selfie;aparat|selfie|telefon|zdjęcie
	🤳🏻;selfie: karnacja jasna;aparat|karnacja jasna|selfie|selfie: karnacja jasna|telefon|zdjęcie
	🤳🏼;selfie: karnacja średnio jasna;aparat|karnacja średnio jasna|selfie|selfie: karnacja średnio jasna|telefon|zdjęcie
	🤳🏽;selfie: karnacja średnia;aparat|karnacja średnia|selfie|selfie: karnacja średnia|telefon|zdjęcie
	🤳🏾;selfie: karnacja średnio ciemna;aparat|karnacja średnio ciemna|selfie|selfie: karnacja średnio ciemna|telefon|zdjęcie
	🤳🏿;selfie: karnacja ciemna;aparat|karnacja ciemna|selfie|selfie: karnacja ciemna|telefon|zdjęcie
💪;napięty biceps;mięśnie|muskularny|muskuły|napięty biceps|siła|silny
	💪🏻;napięty biceps: karnacja jasna;karnacja jasna|mięśnie|muskularny|muskuły|napięty biceps|napięty biceps: karnacja jasna|siła|silny
	💪🏼;napięty biceps: karnacja średnio jasna;karnacja średnio jasna|mięśnie|muskularny|muskuły|napięty biceps|napięty biceps: karnacja średnio jasna|siła|silny
	💪🏽;napięty biceps: karnacja średnia;karnacja średnia|mięśnie|muskularny|muskuły|napięty biceps|napięty biceps: karnacja średnia|siła|silny
	💪🏾;napięty biceps: karnacja średnio ciemna;karnacja średnio ciemna|mięśnie|muskularny|muskuły|napięty biceps|napięty biceps: karnacja średnio ciemna|siła|silny
	💪🏿;napięty biceps: karnacja ciemna;karnacja ciemna|mięśnie|muskularny|muskuły|napięty biceps|napięty biceps: karnacja ciemna|siła|silny
🦾;mechaniczne ramię;dostępność|mechaniczne ramię|proteza
🦿;proteza nogi;dostępność|proteza|proteza nogi
🦵;noga;kończyna|kopniak|noga
	🦵🏻;noga: karnacja jasna;karnacja jasna|kończyna|kopniak|noga|noga: karnacja jasna
	🦵🏼;noga: karnacja średnio jasna;karnacja średnio jasna|kończyna|kopniak|noga|noga: karnacja średnio jasna
	🦵🏽;noga: karnacja średnia;karnacja średnia|kończyna|kopniak|noga|noga: karnacja średnia
	🦵🏾;noga: karnacja średnio ciemna;karnacja średnio ciemna|kończyna|kopniak|noga|noga: karnacja średnio ciemna
	🦵🏿;noga: karnacja ciemna;karnacja ciemna|kończyna|kopniak|noga|noga: karnacja ciemna
🦶;stopa;kopniak|stopa|tupanie
	🦶🏻;stopa: karnacja jasna;karnacja jasna|kopniak|stopa|stopa: karnacja jasna|tupanie
	🦶🏼;stopa: karnacja średnio jasna;karnacja średnio jasna|kopniak|stopa|stopa: karnacja średnio jasna|tupanie
	🦶🏽;stopa: karnacja średnia;karnacja średnia|kopniak|stopa|stopa: karnacja średnia|tupanie
	🦶🏾;stopa: karnacja średnio ciemna;karnacja średnio ciemna|kopniak|stopa|stopa: karnacja średnio ciemna|tupanie
	🦶🏿;stopa: karnacja ciemna;karnacja ciemna|kopniak|stopa|stopa: karnacja ciemna|tupanie
👂;ucho;ciało|ucho
	👂🏻;ucho: karnacja jasna;ciało|karnacja jasna|ucho|ucho: karnacja jasna
	👂🏼;ucho: karnacja średnio jasna;ciało|karnacja średnio jasna|ucho|ucho: karnacja średnio jasna
	👂🏽;ucho: karnacja średnia;ciało|karnacja średnia|ucho|ucho: karnacja średnia
	👂🏾;ucho: karnacja średnio ciemna;ciało|karnacja średnio ciemna|ucho|ucho: karnacja średnio ciemna
	👂🏿;ucho: karnacja ciemna;ciało|karnacja ciemna|ucho|ucho: karnacja ciemna
🦻;ucho z aparatem słuchowym;niedosłuch|niedosłyszący|ucho z aparatem słuchowym
	🦻🏻;ucho z aparatem słuchowym: karnacja jasna;karnacja jasna|niedosłuch|niedosłyszący|ucho z aparatem słuchowym|ucho z aparatem słuchowym: karnacja jasna
	🦻🏼;ucho z aparatem słuchowym: karnacja średnio jasna;karnacja średnio jasna|niedosłuch|niedosłyszący|ucho z aparatem słuchowym|ucho z aparatem słuchowym: karnacja średnio jasna
	🦻🏽;ucho z aparatem słuchowym: karnacja średnia;karnacja średnia|niedosłuch|niedosłyszący|ucho z aparatem słuchowym|ucho z aparatem słuchowym: karnacja średnia
	🦻🏾;ucho z aparatem słuchowym: karnacja średnio ciemna;karnacja średnio ciemna|niedosłuch|niedosłyszący|ucho z aparatem słuchowym|ucho z aparatem słuchowym: karnacja średnio ciemna
	🦻🏿;ucho z aparatem słuchowym: karnacja ciemna;karnacja ciemna|niedosłuch|niedosłyszący|ucho z aparatem słuchowym|ucho z aparatem słuchowym: karnacja ciemna
👃;nos;ciało|nos
	👃🏻;nos: karnacja jasna;ciało|karnacja jasna|nos|nos: karnacja jasna
	👃🏼;nos: karnacja średnio jasna;ciało|karnacja średnio jasna|nos|nos: karnacja średnio jasna
	👃🏽;nos: karnacja średnia;ciało|karnacja średnia|nos|nos: karnacja średnia
	👃🏾;nos: karnacja średnio ciemna;ciało|karnacja średnio ciemna|nos|nos: karnacja średnio ciemna
	👃🏿;nos: karnacja ciemna;ciało|karnacja ciemna|nos|nos: karnacja ciemna
🧠;mózg;inteligentny|mózg
🫀;serce;anatomia|bicie serca|kardiologia|mięsień sercowy|narząd|organ|puls|serce
🫁;płuca;narząd|oddech|oddychanie|organ|płuca|wdech|wydech
🦷;ząb;dentysta|stomatolog|ząb
🦴;kość;kość|szkielet
👀;oczy;oczy|oko|twarz
👁️;oko;ciało|oko
👅;język;ciało|język
👄;usta;ciało|usta|wargi
🫦;przygryzanie wargi;dyskomfort|flirt|nerwowość|niepokój|przygryzanie wargi|strach|zmartwienie
👶;niemowlę;dziecko|niemowlę
	👶🏻;niemowlę: karnacja jasna;dziecko|karnacja jasna|niemowlę|niemowlę: karnacja jasna
	👶🏼;niemowlę: karnacja średnio jasna;dziecko|karnacja średnio jasna|niemowlę|niemowlę: karnacja średnio jasna
	👶🏽;niemowlę: karnacja średnia;dziecko|karnacja średnia|niemowlę|niemowlę: karnacja średnia
	👶🏾;niemowlę: karnacja średnio ciemna;dziecko|karnacja średnio ciemna|niemowlę|niemowlę: karnacja średnio ciemna
	👶🏿;niemowlę: karnacja ciemna;dziecko|karnacja ciemna|niemowlę|niemowlę: karnacja ciemna
🧒;dziecko;dziecko|młody|płeć neutralna
	🧒🏻;dziecko: karnacja jasna;dziecko|dziecko: karnacja jasna|karnacja jasna|młody|płeć neutralna
	🧒🏼;dziecko: karnacja średnio jasna;dziecko|dziecko: karnacja średnio jasna|karnacja średnio jasna|młody|płeć neutralna
	🧒🏽;dziecko: karnacja średnia;dziecko|dziecko: karnacja średnia|karnacja średnia|młody|płeć neutralna
	🧒🏾;dziecko: karnacja średnio ciemna;dziecko|dziecko: karnacja średnio ciemna|karnacja średnio ciemna|młody|płeć neutralna
	🧒🏿;dziecko: karnacja ciemna;dziecko|dziecko: karnacja ciemna|karnacja ciemna|młody|płeć neutralna
👦;chłopiec;chłopiec
	👦🏻;chłopiec: karnacja jasna;chłopiec|chłopiec: karnacja jasna|karnacja jasna
	👦🏼;chłopiec: karnacja średnio jasna;chłopiec|chłopiec: karnacja średnio jasna|karnacja średnio jasna
	👦🏽;chłopiec: karnacja średnia;chłopiec|chłopiec: karnacja średnia|karnacja średnia
	👦🏾;chłopiec: karnacja średnio ciemna;chłopiec|chłopiec: karnacja średnio ciemna|karnacja średnio ciemna
	👦🏿;chłopiec: karnacja ciemna;chłopiec|chłopiec: karnacja ciemna|karnacja ciemna
👧;dziewczynka;dziewczynka|panna|znak zodiaku
	👧🏻;dziewczynka: karnacja jasna;dziewczynka|dziewczynka: karnacja jasna|karnacja jasna|panna|znak zodiaku
	👧🏼;dziewczynka: karnacja średnio jasna;dziewczynka|dziewczynka: karnacja średnio jasna|karnacja średnio jasna|panna|znak zodiaku
	👧🏽;dziewczynka: karnacja średnia;dziewczynka|dziewczynka: karnacja średnia|karnacja średnia|panna|znak zodiaku
	👧🏾;dziewczynka: karnacja średnio ciemna;dziewczynka|dziewczynka: karnacja średnio ciemna|karnacja średnio ciemna|panna|znak zodiaku
	👧🏿;dziewczynka: karnacja ciemna;dziewczynka|dziewczynka: karnacja ciemna|karnacja ciemna|panna|znak zodiaku
🧑;dorosły;dorosły|płeć neutralna
	🧑🏻;dorosły: karnacja jasna;dorosły|dorosły: karnacja jasna|karnacja jasna|płeć neutralna
	🧑🏼;dorosły: karnacja średnio jasna;dorosły|dorosły: karnacja średnio jasna|karnacja średnio jasna|płeć neutralna
	🧑🏽;dorosły: karnacja średnia;dorosły|dorosły: karnacja średnia|karnacja średnia|płeć neutralna
	🧑🏾;dorosły: karnacja średnio ciemna;dorosły|dorosły: karnacja średnio ciemna|karnacja średnio ciemna|płeć neutralna
	🧑🏿;dorosły: karnacja ciemna;dorosły|dorosły: karnacja ciemna|karnacja ciemna|płeć neutralna
👱;osoba z włosami blond;blond|osoba z włosami blond|włosy
	👱🏻;osoba z włosami blond: karnacja jasna;blond|karnacja jasna|osoba z włosami blond|osoba z włosami blond: karnacja jasna|włosy
	👱🏼;osoba z włosami blond: karnacja średnio jasna;blond|karnacja średnio jasna|osoba z włosami blond|osoba z włosami blond: karnacja średnio jasna|włosy
	👱🏽;osoba z włosami blond: karnacja średnia;blond|karnacja średnia|osoba z włosami blond|osoba z włosami blond: karnacja średnia|włosy
	👱🏾;osoba z włosami blond: karnacja średnio ciemna;blond|karnacja średnio ciemna|osoba z włosami blond|osoba z włosami blond: karnacja średnio ciemna|włosy
	👱🏿;osoba z włosami blond: karnacja ciemna;blond|karnacja ciemna|osoba z włosami blond|osoba z włosami blond: karnacja ciemna|włosy
👨;mężczyzna;mężczyzna
	👨🏻;mężczyzna: karnacja jasna;karnacja jasna|mężczyzna|mężczyzna: karnacja jasna
	👨🏼;mężczyzna: karnacja średnio jasna;karnacja średnio jasna|mężczyzna|mężczyzna: karnacja średnio jasna
	👨🏽;mężczyzna: karnacja średnia;karnacja średnia|mężczyzna|mężczyzna: karnacja średnia
	👨🏾;mężczyzna: karnacja średnio ciemna;karnacja średnio ciemna|mężczyzna|mężczyzna: karnacja średnio ciemna
	👨🏿;mężczyzna: karnacja ciemna;karnacja ciemna|mężczyzna|mężczyzna: karnacja ciemna
🧔;osoba z brodą;broda|osoba|osoba z brodą
	🧔🏻;osoba z brodą: karnacja jasna;broda|karnacja jasna|osoba|osoba z brodą|osoba z brodą: karnacja jasna
	🧔🏼;osoba z brodą: karnacja średnio jasna;broda|karnacja średnio jasna|osoba|osoba z brodą|osoba z brodą: karnacja średnio jasna
	🧔🏽;osoba z brodą: karnacja średnia;broda|karnacja średnia|osoba|osoba z brodą|osoba z brodą: karnacja średnia
	🧔🏾;osoba z brodą: karnacja średnio ciemna;broda|karnacja średnio ciemna|osoba|osoba z brodą|osoba z brodą: karnacja średnio ciemna
	🧔🏿;osoba z brodą: karnacja ciemna;broda|karnacja ciemna|osoba|osoba z brodą|osoba z brodą: karnacja ciemna
🧔‍♂️;mężczyzna z brodą;broda|mężczyzna|mężczyzna z brodą
	🧔🏻‍♂️;mężczyzna z brodą: karnacja jasna;broda|karnacja jasna|mężczyzna|mężczyzna z brodą|mężczyzna z brodą: karnacja jasna
	🧔🏼‍♂️;mężczyzna z brodą: karnacja średnio jasna;broda|karnacja średnio jasna|mężczyzna|mężczyzna z brodą|mężczyzna z brodą: karnacja średnio jasna
	🧔🏽‍♂️;mężczyzna z brodą: karnacja średnia;broda|karnacja średnia|mężczyzna|mężczyzna z brodą|mężczyzna z brodą: karnacja średnia
	🧔🏾‍♂️;mężczyzna z brodą: karnacja średnio ciemna;broda|karnacja średnio ciemna|mężczyzna|mężczyzna z brodą|mężczyzna z brodą: karnacja średnio ciemna
	🧔🏿‍♂️;mężczyzna z brodą: karnacja ciemna;broda|karnacja ciemna|mężczyzna|mężczyzna z brodą|mężczyzna z brodą: karnacja ciemna
🧔‍♀️;kobieta z brodą;broda|kobieta|kobieta z brodą
	🧔🏻‍♀️;kobieta z brodą: karnacja jasna;broda|karnacja jasna|kobieta|kobieta z brodą|kobieta z brodą: karnacja jasna
	🧔🏼‍♀️;kobieta z brodą: karnacja średnio jasna;broda|karnacja średnio jasna|kobieta|kobieta z brodą|kobieta z brodą: karnacja średnio jasna
	🧔🏽‍♀️;kobieta z brodą: karnacja średnia;broda|karnacja średnia|kobieta|kobieta z brodą|kobieta z brodą: karnacja średnia
	🧔🏾‍♀️;kobieta z brodą: karnacja średnio ciemna;broda|karnacja średnio ciemna|kobieta|kobieta z brodą|kobieta z brodą: karnacja średnio ciemna
	🧔🏿‍♀️;kobieta z brodą: karnacja ciemna;broda|karnacja ciemna|kobieta|kobieta z brodą|kobieta z brodą: karnacja ciemna
👨‍🦰;mężczyzna: rude włosy;mężczyzna|mężczyzna: rude włosy|rude włosy
	👨🏻‍🦰;mężczyzna: karnacja jasna i rude włosy;karnacja jasna|mężczyzna|mężczyzna: karnacja jasna i rude włosy|rude włosy
	👨🏼‍🦰;mężczyzna: karnacja średnio jasna i rude włosy;karnacja średnio jasna|mężczyzna|mężczyzna: karnacja średnio jasna i rude włosy|rude włosy
	👨🏽‍🦰;mężczyzna: karnacja średnia i rude włosy;karnacja średnia|mężczyzna|mężczyzna: karnacja średnia i rude włosy|rude włosy
	👨🏾‍🦰;mężczyzna: karnacja średnio ciemna i rude włosy;karnacja średnio ciemna|mężczyzna|mężczyzna: karnacja średnio ciemna i rude włosy|rude włosy
	👨🏿‍🦰;mężczyzna: karnacja ciemna i rude włosy;karnacja ciemna|mężczyzna|mężczyzna: karnacja ciemna i rude włosy|rude włosy
👨‍🦱;mężczyzna: kręcone włosy;kręcone włosy|mężczyzna|mężczyzna: kręcone włosy
	👨🏻‍🦱;mężczyzna: karnacja jasna i kręcone włosy;karnacja jasna|kręcone włosy|mężczyzna|mężczyzna: karnacja jasna i kręcone włosy
	👨🏼‍🦱;mężczyzna: karnacja średnio jasna i kręcone włosy;karnacja średnio jasna|kręcone włosy|mężczyzna|mężczyzna: karnacja średnio jasna i kręcone włosy
	👨🏽‍🦱;mężczyzna: karnacja średnia i kręcone włosy;karnacja średnia|kręcone włosy|mężczyzna|mężczyzna: karnacja średnia i kręcone włosy
	👨🏾‍🦱;mężczyzna: karnacja średnio ciemna i kręcone włosy;karnacja średnio ciemna|kręcone włosy|mężczyzna|mężczyzna: karnacja średnio ciemna i kręcone włosy
	👨🏿‍🦱;mężczyzna: karnacja ciemna i kręcone włosy;karnacja ciemna|kręcone włosy|mężczyzna|mężczyzna: karnacja ciemna i kręcone włosy
👨‍🦳;mężczyzna: białe włosy;białe włosy|mężczyzna|mężczyzna: białe włosy
	👨🏻‍🦳;mężczyzna: karnacja jasna i białe włosy;białe włosy|karnacja jasna|mężczyzna|mężczyzna: karnacja jasna i białe włosy
	👨🏼‍🦳;mężczyzna: karnacja średnio jasna i białe włosy;białe włosy|karnacja średnio jasna|mężczyzna|mężczyzna: karnacja średnio jasna i białe włosy
	👨🏽‍🦳;mężczyzna: karnacja średnia i białe włosy;białe włosy|karnacja średnia|mężczyzna|mężczyzna: karnacja średnia i białe włosy
	👨🏾‍🦳;mężczyzna: karnacja średnio ciemna i białe włosy;białe włosy|karnacja średnio ciemna|mężczyzna|mężczyzna: karnacja średnio ciemna i białe włosy
	👨🏿‍🦳;mężczyzna: karnacja ciemna i białe włosy;białe włosy|karnacja ciemna|mężczyzna|mężczyzna: karnacja ciemna i białe włosy
👨‍🦲;mężczyzna: łysy;łysy|mężczyzna|mężczyzna: łysy
	👨🏻‍🦲;mężczyzna: karnacja jasna i łysy;karnacja jasna|łysy|mężczyzna|mężczyzna: karnacja jasna i łysy
	👨🏼‍🦲;mężczyzna: karnacja średnio jasna i łysy;karnacja średnio jasna|łysy|mężczyzna|mężczyzna: karnacja średnio jasna i łysy
	👨🏽‍🦲;mężczyzna: karnacja średnia i łysy;karnacja średnia|łysy|mężczyzna|mężczyzna: karnacja średnia i łysy
	👨🏾‍🦲;mężczyzna: karnacja średnio ciemna i łysy;karnacja średnio ciemna|łysy|mężczyzna|mężczyzna: karnacja średnio ciemna i łysy
	👨🏿‍🦲;mężczyzna: karnacja ciemna i łysy;karnacja ciemna|łysy|mężczyzna|mężczyzna: karnacja ciemna i łysy
👩;kobieta;kobieta
	👩🏻;kobieta: karnacja jasna;karnacja jasna|kobieta|kobieta: karnacja jasna
	👩🏼;kobieta: karnacja średnio jasna;karnacja średnio jasna|kobieta|kobieta: karnacja średnio jasna
	👩🏽;kobieta: karnacja średnia;karnacja średnia|kobieta|kobieta: karnacja średnia
	👩🏾;kobieta: karnacja średnio ciemna;karnacja średnio ciemna|kobieta|kobieta: karnacja średnio ciemna
	👩🏿;kobieta: karnacja ciemna;karnacja ciemna|kobieta|kobieta: karnacja ciemna
👩‍🦰;kobieta: rude włosy;kobieta|kobieta: rude włosy|rude włosy
	👩🏻‍🦰;kobieta: karnacja jasna i rude włosy;karnacja jasna|kobieta|kobieta: karnacja jasna i rude włosy|rude włosy
	👩🏼‍🦰;kobieta: karnacja średnio jasna i rude włosy;karnacja średnio jasna|kobieta|kobieta: karnacja średnio jasna i rude włosy|rude włosy
	👩🏽‍🦰;kobieta: karnacja średnia i rude włosy;karnacja średnia|kobieta|kobieta: karnacja średnia i rude włosy|rude włosy
	👩🏾‍🦰;kobieta: karnacja średnio ciemna i rude włosy;karnacja średnio ciemna|kobieta|kobieta: karnacja średnio ciemna i rude włosy|rude włosy
	👩🏿‍🦰;kobieta: karnacja ciemna i rude włosy;karnacja ciemna|kobieta|kobieta: karnacja ciemna i rude włosy|rude włosy
🧑‍🦰;dorosły: rude włosy;dorosły|dorosły: rude włosy|płeć neutralna|rude włosy
	🧑🏻‍🦰;dorosły: karnacja jasna i rude włosy;dorosły|dorosły: karnacja jasna i rude włosy|karnacja jasna|płeć neutralna|rude włosy
	🧑🏼‍🦰;dorosły: karnacja średnio jasna i rude włosy;dorosły|dorosły: karnacja średnio jasna i rude włosy|karnacja średnio jasna|płeć neutralna|rude włosy
	🧑🏽‍🦰;dorosły: karnacja średnia i rude włosy;dorosły|dorosły: karnacja średnia i rude włosy|karnacja średnia|płeć neutralna|rude włosy
	🧑🏾‍🦰;dorosły: karnacja średnio ciemna i rude włosy;dorosły|dorosły: karnacja średnio ciemna i rude włosy|karnacja średnio ciemna|płeć neutralna|rude włosy
	🧑🏿‍🦰;dorosły: karnacja ciemna i rude włosy;dorosły|dorosły: karnacja ciemna i rude włosy|karnacja ciemna|płeć neutralna|rude włosy
👩‍🦱;kobieta: kręcone włosy;kobieta|kobieta: kręcone włosy|kręcone włosy
	👩🏻‍🦱;kobieta: karnacja jasna i kręcone włosy;karnacja jasna|kobieta|kobieta: karnacja jasna i kręcone włosy|kręcone włosy
	👩🏼‍🦱;kobieta: karnacja średnio jasna i kręcone włosy;karnacja średnio jasna|kobieta|kobieta: karnacja średnio jasna i kręcone włosy|kręcone włosy
	👩🏽‍🦱;kobieta: karnacja średnia i kręcone włosy;karnacja średnia|kobieta|kobieta: karnacja średnia i kręcone włosy|kręcone włosy
	👩🏾‍🦱;kobieta: karnacja średnio ciemna i kręcone włosy;karnacja średnio ciemna|kobieta|kobieta: karnacja średnio ciemna i kręcone włosy|kręcone włosy
	👩🏿‍🦱;kobieta: karnacja ciemna i kręcone włosy;karnacja ciemna|kobieta|kobieta: karnacja ciemna i kręcone włosy|kręcone włosy
🧑‍🦱;dorosły: kręcone włosy;dorosły|dorosły: kręcone włosy|kręcone włosy|płeć neutralna
