# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خندېدلی مخ;خندېدلی مخ|مخ|مسکا|مسکېدلی مخ
	👩🏿‍🍳;ښځه پخوونکی: تور پوستکۍ;اشپز|پخوونکی|تور پوستکۍ|ښځه|ښځه پخوونکی: تور پوستکۍ
🧑‍🔧;مستري;پلمبر|سوداګر|مستري|مېخانيک
	🧑🏻‍🔧;مستري: د روڼ پوستکي ټون;پلمبر|د روڼ پوستکي ټون|سوداګر|مستري|مستري: د روڼ پوستکي ټون|مېخانيک
	🧑🏼‍🔧;مستري: غنمی-روښانه پوستکۍ;پلمبر|سوداګر|غنمی-روښانه پوستکۍ|مستري|مستري: غنمی-روښانه پوستکۍ|مېخانيک
	🧑🏽‍🔧;مستري: غنم رنګه;پلمبر|سوداګر|غنم رنګه|مستري|مستري: غنم رنګه|مېخانيک
	🧑🏾‍🔧;مستري: غنمی-تورنګه پوستکۍ;پلمبر|سوداګر|غنمی-تورنګه پوستکۍ|مستري|مستري: غنمی-تورنګه پوستکۍ|مېخانيک
	🧑🏿‍🔧;مستري: تور پوستکۍ;پلمبر|تور پوستکۍ|سوداګر|مستري|مستري: تور پوستکۍ|مېخانيک
👨‍🔧;سړی مستري;پلمبر|تجار|سړی|مستري|ميخانيک
	👨🏻‍🔧;سړی مستري: د روڼ پوستکي ټون;پلمبر|تجار|د روڼ پوستکي ټون|سړی|سړی مستري: د روڼ پوستکي ټون|مستري|ميخانيک
	👨🏼‍🔧;سړی مستري: غنمی-روښانه پوستکۍ;پلمبر|تجار|سړی|سړی مستري: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|مستري|ميخانيک
	👨🏽‍🔧;سړی مستري: غنم رنګه;پلمبر|تجار|سړی|سړی مستري: غنم رنګه|غنم رنګه|مستري|ميخانيک
	👨🏾‍🔧;سړی مستري: غنمی-تورنګه پوستکۍ;پلمبر|تجار|سړی|سړی مستري: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|مستري|ميخانيک
	👨🏿‍🔧;سړی مستري: تور پوستکۍ;پلمبر|تجار|تور پوستکۍ|سړی|سړی مستري: تور پوستکۍ|مستري|ميخانيک
👩‍🔧;ښځه مستري;پلمبر|تجار|ښځه|مستري|ميخانيک
	👩🏻‍🔧;ښځه مستري: د روڼ پوستکي ټون;پلمبر|تجار|د روڼ پوستکي ټون|ښځه|ښځه مستري: د روڼ پوستکي ټون|مستري|ميخانيک
	👩🏼‍🔧;ښځه مستري: غنمی-روښانه پوستکۍ;پلمبر|تجار|ښځه|ښځه مستري: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|مستري|ميخانيک
	👩🏽‍🔧;ښځه مستري: غنم رنګه;پلمبر|تجار|ښځه|ښځه مستري: غنم رنګه|غنم رنګه|مستري|ميخانيک
	👩🏾‍🔧;ښځه مستري: غنمی-تورنګه پوستکۍ;پلمبر|تجار|ښځه|ښځه مستري: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|مستري|ميخانيک
	👩🏿‍🔧;ښځه مستري: تور پوستکۍ;پلمبر|تجار|تور پوستکۍ|ښځه|ښځه مستري: تور پوستکۍ|مستري|ميخانيک
🧑‍🏭;د فابريکې کارمند;د فابريکې کارمند|صنعتي|فابريکه|کارمند|يوځای کول
	🧑🏻‍🏭;د فابريکې کارمند: د روڼ پوستکي ټون;د روڼ پوستکي ټون|د فابريکې کارمند|د فابريکې کارمند: د روڼ پوستکي ټون|صنعتي|فابريکه|کارمند|يوځای کول
	🧑🏼‍🏭;د فابريکې کارمند: غنمی-روښانه پوستکۍ;د فابريکې کارمند|د فابريکې کارمند: غنمی-روښانه پوستکۍ|صنعتي|غنمی-روښانه پوستکۍ|فابريکه|کارمند|يوځای کول
	🧑🏽‍🏭;د فابريکې کارمند: غنم رنګه;د فابريکې کارمند|د فابريکې کارمند: غنم رنګه|صنعتي|غنم رنګه|فابريکه|کارمند|يوځای کول
	🧑🏾‍🏭;د فابريکې کارمند: غنمی-تورنګه پوستکۍ;د فابريکې کارمند|د فابريکې کارمند: غنمی-تورنګه پوستکۍ|صنعتي|غنمی-تورنګه پوستکۍ|فابريکه|کارمند|يوځای کول
	🧑🏿‍🏭;د فابريکې کارمند: تور پوستکۍ;تور پوستکۍ|د فابريکې کارمند|د فابريکې کارمند: تور پوستکۍ|صنعتي|فابريکه|کارمند|يوځای کول
👨‍🏭;سړی د فابريکې کارګر;سړی|سړی د فابريکې کارګر|صنعتي|فابريکه|کار کوونکی|يوځای کول
	👨🏻‍🏭;سړی د فابريکې کارګر: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سړی|سړی د فابريکې کارګر|سړی د فابريکې کارګر: د روڼ پوستکي ټون|صنعتي|فابريکه|کار کوونکی|يوځای کول
	👨🏼‍🏭;سړی د فابريکې کارګر: غنمی-روښانه پوستکۍ;سړی|سړی د فابريکې کارګر|سړی د فابريکې کارګر: غنمی-روښانه پوستکۍ|صنعتي|غنمی-روښانه پوستکۍ|فابريکه|کار کوونکی|يوځای کول
	👨🏽‍🏭;سړی د فابريکې کارګر: غنم رنګه;سړی|سړی د فابريکې کارګر|سړی د فابريکې کارګر: غنم رنګه|صنعتي|غنم رنګه|فابريکه|کار کوونکی|يوځای کول
	👨🏾‍🏭;سړی د فابريکې کارګر: غنمی-تورنګه پوستکۍ;سړی|سړی د فابريکې کارګر|سړی د فابريکې کارګر: غنمی-تورنګه پوستکۍ|صنعتي|غنمی-تورنګه پوستکۍ|فابريکه|کار کوونکی|يوځای کول
	👨🏿‍🏭;سړی د فابريکې کارګر: تور پوستکۍ;تور پوستکۍ|سړی|سړی د فابريکې کارګر|سړی د فابريکې کارګر: تور پوستکۍ|صنعتي|فابريکه|کار کوونکی|يوځای کول
👩‍🏭;ښځه د فابريکې کارګر;ښځه|ښځه د فابريکې کارګر|صنعتي|فابريکه|کار کوونکی|يوځای کول
	👩🏻‍🏭;ښځه د فابريکې کارګر: د روڼ پوستکي ټون;د روڼ پوستکي ټون|ښځه|ښځه د فابريکې کارګر|ښځه د فابريکې کارګر: د روڼ پوستکي ټون|صنعتي|فابريکه|کار کوونکی|يوځای کول
	👩🏼‍🏭;ښځه د فابريکې کارګر: غنمی-روښانه پوستکۍ;ښځه|ښځه د فابريکې کارګر|ښځه د فابريکې کارګر: غنمی-روښانه پوستکۍ|صنعتي|غنمی-روښانه پوستکۍ|فابريکه|کار کوونکی|يوځای کول
	👩🏽‍🏭;ښځه د فابريکې کارګر: غنم رنګه;ښځه|ښځه د فابريکې کارګر|ښځه د فابريکې کارګر: غنم رنګه|صنعتي|غنم رنګه|فابريکه|کار کوونکی|يوځای کول
	👩🏾‍🏭;ښځه د فابريکې کارګر: غنمی-تورنګه پوستکۍ;ښځه|ښځه د فابريکې کارګر|ښځه د فابريکې کارګر: غنمی-تورنګه پوستکۍ|صنعتي|غنمی-تورنګه پوستکۍ|فابريکه|کار کوونکی|يوځای کول
	👩🏿‍🏭;ښځه د فابريکې کارګر: تور پوستکۍ;تور پوستکۍ|ښځه|ښځه د فابريکې کارګر|ښځه د فابريکې کارګر: تور پوستکۍ|صنعتي|فابريکه|کار کوونکی|يوځای کول
🧑‍💼;دفتري کارمند;دفتري کارمند|سپين کالر|کاروبار|مدير|مهندس
	🧑🏻‍💼;دفتري کارمند: د روڼ پوستکي ټون;د روڼ پوستکي ټون|دفتري کارمند|دفتري کارمند: د روڼ پوستکي ټون|سپين کالر|کاروبار|مدير|مهندس
	🧑🏼‍💼;دفتري کارمند: غنمی-روښانه پوستکۍ;دفتري کارمند|دفتري کارمند: غنمی-روښانه پوستکۍ|سپين کالر|غنمی-روښانه پوستکۍ|کاروبار|مدير|مهندس
	🧑🏽‍💼;دفتري کارمند: غنم رنګه;دفتري کارمند|دفتري کارمند: غنم رنګه|سپين کالر|غنم رنګه|کاروبار|مدير|مهندس
	🧑🏾‍💼;دفتري کارمند: غنمی-تورنګه پوستکۍ;دفتري کارمند|دفتري کارمند: غنمی-تورنګه پوستکۍ|سپين کالر|غنمی-تورنګه پوستکۍ|کاروبار|مدير|مهندس
	🧑🏿‍💼;دفتري کارمند: تور پوستکۍ;تور پوستکۍ|دفتري کارمند|دفتري کارمند: تور پوستکۍ|سپين کالر|کاروبار|مدير|مهندس
👨‍💼;سړی دفتري کارګر;سپين پوس|سړی|سړی دفتري کارګر|کاروبار|منتظم|مهندس
	👨🏻‍💼;سړی دفتري کارګر: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سپين پوس|سړی|سړی دفتري کارګر|سړی دفتري کارګر: د روڼ پوستکي ټون|کاروبار|منتظم|مهندس
	👨🏼‍💼;سړی دفتري کارګر: غنمی-روښانه پوستکۍ;سپين پوس|سړی|سړی دفتري کارګر|سړی دفتري کارګر: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کاروبار|منتظم|مهندس
	👨🏽‍💼;سړی دفتري کارګر: غنم رنګه;سپين پوس|سړی|سړی دفتري کارګر|سړی دفتري کارګر: غنم رنګه|غنم رنګه|کاروبار|منتظم|مهندس
	👨🏾‍💼;سړی دفتري کارګر: غنمی-تورنګه پوستکۍ;سپين پوس|سړی|سړی دفتري کارګر|سړی دفتري کارګر: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کاروبار|منتظم|مهندس
	👨🏿‍💼;سړی دفتري کارګر: تور پوستکۍ;تور پوستکۍ|سپين پوس|سړی|سړی دفتري کارګر|سړی دفتري کارګر: تور پوستکۍ|کاروبار|منتظم|مهندس
👩‍💼;ښځه دفتر کارګر;سپين پوس|سړی دفتري کارګر|ښځه دفتر کارګر|کاروبار|منتظم|مهندس
	👩🏻‍💼;ښځه دفتر کارګر: د روڼ پوستکي ټون;د روڼ پوستکي ټون|سپين پوس|سړی دفتري کارګر|ښځه دفتر کارګر|ښځه دفتر کارګر: د روڼ پوستکي ټون|کاروبار|منتظم|مهندس
	👩🏼‍💼;ښځه دفتر کارګر: غنمی-روښانه پوستکۍ;سپين پوس|سړی دفتري کارګر|ښځه دفتر کارګر|ښځه دفتر کارګر: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کاروبار|منتظم|مهندس
	👩🏽‍💼;ښځه دفتر کارګر: غنم رنګه;سپين پوس|سړی دفتري کارګر|ښځه دفتر کارګر|ښځه دفتر کارګر: غنم رنګه|غنم رنګه|کاروبار|منتظم|مهندس
	👩🏾‍💼;ښځه دفتر کارګر: غنمی-تورنګه پوستکۍ;سپين پوس|سړی دفتري کارګر|ښځه دفتر کارګر|ښځه دفتر کارګر: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کاروبار|منتظم|مهندس
	👩🏿‍💼;ښځه دفتر کارګر: تور پوستکۍ;تور پوستکۍ|سپين پوس|سړی دفتري کارګر|ښځه دفتر کارګر|ښځه دفتر کارګر: تور پوستکۍ|کاروبار|منتظم|مهندس
🧑‍🔬;څېړونکی;انجينير|څېړونکی|د فزکس پوهاند|کمياګر|نبات پوه
	🧑🏻‍🔬;څېړونکی: د روڼ پوستکي ټون;انجينير|څېړونکی|څېړونکی: د روڼ پوستکي ټون|د روڼ پوستکي ټون|د فزکس پوهاند|کمياګر|نبات پوه
	🧑🏼‍🔬;څېړونکی: غنمی-روښانه پوستکۍ;انجينير|څېړونکی|څېړونکی: غنمی-روښانه پوستکۍ|د فزکس پوهاند|غنمی-روښانه پوستکۍ|کمياګر|نبات پوه
	🧑🏽‍🔬;څېړونکی: غنم رنګه;انجينير|څېړونکی|څېړونکی: غنم رنګه|د فزکس پوهاند|غنم رنګه|کمياګر|نبات پوه
	🧑🏾‍🔬;څېړونکی: غنمی-تورنګه پوستکۍ;انجينير|څېړونکی|څېړونکی: غنمی-تورنګه پوستکۍ|د فزکس پوهاند|غنمی-تورنګه پوستکۍ|کمياګر|نبات پوه
	🧑🏿‍🔬;څېړونکی: تور پوستکۍ;انجينير|تور پوستکۍ|څېړونکی|څېړونکی: تور پوستکۍ|د فزکس پوهاند|کمياګر|نبات پوه
👨‍🔬;سړي څېړونکی;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|سړي څېړونکی|کيميا ګر
	👨🏻‍🔬;سړي څېړونکی: د روڼ پوستکي ټون;انجينير|د بيالوژي پوهاند|د روڼ پوستکي ټون|د فزکس پوهاند|سائينس دان|سړي څېړونکی|سړي څېړونکی: د روڼ پوستکي ټون|کيميا ګر
	👨🏼‍🔬;سړي څېړونکی: غنمی-روښانه پوستکۍ;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|سړي څېړونکی|سړي څېړونکی: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کيميا ګر
	👨🏽‍🔬;سړي څېړونکی: غنم رنګه;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|سړي څېړونکی|سړي څېړونکی: غنم رنګه|غنم رنګه|کيميا ګر
	👨🏾‍🔬;سړي څېړونکی: غنمی-تورنګه پوستکۍ;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|سړي څېړونکی|سړي څېړونکی: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کيميا ګر
	👨🏿‍🔬;سړي څېړونکی: تور پوستکۍ;انجينير|تور پوستکۍ|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|سړي څېړونکی|سړي څېړونکی: تور پوستکۍ|کيميا ګر
👩‍🔬;ښځه څېړونکی;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|ښځه څېړونکی|کيميا ګر
	👩🏻‍🔬;ښځه څېړونکی: د روڼ پوستکي ټون;انجينير|د بيالوژي پوهاند|د روڼ پوستکي ټون|د فزکس پوهاند|سائينس دان|ښځه څېړونکی|ښځه څېړونکی: د روڼ پوستکي ټون|کيميا ګر
	👩🏼‍🔬;ښځه څېړونکی: غنمی-روښانه پوستکۍ;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|ښځه څېړونکی|ښځه څېړونکی: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کيميا ګر
	👩🏽‍🔬;ښځه څېړونکی: غنم رنګه;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|ښځه څېړونکی|ښځه څېړونکی: غنم رنګه|غنم رنګه|کيميا ګر
	👩🏾‍🔬;ښځه څېړونکی: غنمی-تورنګه پوستکۍ;انجينير|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|ښځه څېړونکی|ښځه څېړونکی: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کيميا ګر
	👩🏿‍🔬;ښځه څېړونکی: تور پوستکۍ;انجينير|تور پوستکۍ|د بيالوژي پوهاند|د فزکس پوهاند|سائينس دان|ښځه څېړونکی|ښځه څېړونکی: تور پوستکۍ|کيميا ګر
🧑‍💻;تيکنالوجست;تيکنالوجست|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|کوډر|موجد
	🧑🏻‍💻;تيکنالوجست: د روڼ پوستکي ټون;تيکنالوجست|تيکنالوجست: د روڼ پوستکي ټون|د روڼ پوستکي ټون|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|کوډر|موجد
	🧑🏼‍💻;تيکنالوجست: غنمی-روښانه پوستکۍ;تيکنالوجست|تيکنالوجست: غنمی-روښانه پوستکۍ|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|غنمی-روښانه پوستکۍ|کوډر|موجد
	🧑🏽‍💻;تيکنالوجست: غنم رنګه;تيکنالوجست|تيکنالوجست: غنم رنګه|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|غنم رنګه|کوډر|موجد
	🧑🏾‍💻;تيکنالوجست: غنمی-تورنګه پوستکۍ;تيکنالوجست|تيکنالوجست: غنمی-تورنګه پوستکۍ|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|غنمی-تورنګه پوستکۍ|کوډر|موجد
	🧑🏿‍💻;تيکنالوجست: تور پوستکۍ;تور پوستکۍ|تيکنالوجست|تيکنالوجست: تور پوستکۍ|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|کوډر|موجد
👨‍💻;سړی تکنالوجست;تيکنالوجست|ډيويلپر|سافټ ويير|سړی|سړی تکنالوجست|کوډر|موجد
	👨🏻‍💻;سړی تکنالوجست: د روڼ پوستکي ټون;تيکنالوجست|د روڼ پوستکي ټون|ډيويلپر|سافټ ويير|سړی|سړی تکنالوجست|سړی تکنالوجست: د روڼ پوستکي ټون|کوډر|موجد
	👨🏼‍💻;سړی تکنالوجست: غنمی-روښانه پوستکۍ;تيکنالوجست|ډيويلپر|سافټ ويير|سړی|سړی تکنالوجست|سړی تکنالوجست: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کوډر|موجد
	👨🏽‍💻;سړی تکنالوجست: غنم رنګه;تيکنالوجست|ډيويلپر|سافټ ويير|سړی|سړی تکنالوجست|سړی تکنالوجست: غنم رنګه|غنم رنګه|کوډر|موجد
	👨🏾‍💻;سړی تکنالوجست: غنمی-تورنګه پوستکۍ;تيکنالوجست|ډيويلپر|سافټ ويير|سړی|سړی تکنالوجست|سړی تکنالوجست: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کوډر|موجد
	👨🏿‍💻;سړی تکنالوجست: تور پوستکۍ;تور پوستکۍ|تيکنالوجست|ډيويلپر|سافټ ويير|سړی|سړی تکنالوجست|سړی تکنالوجست: تور پوستکۍ|کوډر|موجد
👩‍💻;ښځه تکنالوجست;تيکنالوجست|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|کوډر|موجد
	👩🏻‍💻;ښځه تکنالوجست: د روڼ پوستکي ټون;تيکنالوجست|د روڼ پوستکي ټون|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|ښځه تکنالوجست: د روڼ پوستکي ټون|کوډر|موجد
	👩🏼‍💻;ښځه تکنالوجست: غنمی-روښانه پوستکۍ;تيکنالوجست|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|ښځه تکنالوجست: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|کوډر|موجد
	👩🏽‍💻;ښځه تکنالوجست: غنم رنګه;تيکنالوجست|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|ښځه تکنالوجست: غنم رنګه|غنم رنګه|کوډر|موجد
	👩🏾‍💻;ښځه تکنالوجست: غنمی-تورنګه پوستکۍ;تيکنالوجست|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|ښځه تکنالوجست: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|کوډر|موجد
	👩🏿‍💻;ښځه تکنالوجست: تور پوستکۍ;تور پوستکۍ|تيکنالوجست|ډيويلپر|سافټ ويير|ښځه|ښځه تکنالوجست|ښځه تکنالوجست: تور پوستکۍ|کوډر|موجد
🧑‍🎤;ښځه سندرغاړی;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړې
	🧑🏻‍🎤;ښځه سندرغاړی: د روڼ پوستکي ټون;اکټر|خوشالوونکی|د روڼ پوستکي ټون|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړی: د روڼ پوستکي ټون|ښځه سندرغاړې
	🧑🏼‍🎤;ښځه سندرغاړی: غنمی-روښانه پوستکۍ;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړی: غنمی-روښانه پوستکۍ|ښځه سندرغاړې|غنمی-روښانه پوستکۍ
	🧑🏽‍🎤;ښځه سندرغاړی: غنم رنګه;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړی: غنم رنګه|ښځه سندرغاړې|غنم رنګه
	🧑🏾‍🎤;ښځه سندرغاړی: غنمی-تورنګه پوستکۍ;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړی: غنمی-تورنګه پوستکۍ|ښځه سندرغاړې|غنمی-تورنګه پوستکۍ
	🧑🏿‍🎤;ښځه سندرغاړی: تور پوستکۍ;اکټر|تور پوستکۍ|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړی: تور پوستکۍ|ښځه سندرغاړې
👨‍🎤;سړی سندرغاړی;اکټر|خوشالوونکی|راک|ستوری|سړی|سندرغاړی
	👨🏻‍🎤;سړی سندرغاړی: د روڼ پوستکي ټون;اکټر|خوشالوونکی|د روڼ پوستکي ټون|راک|ستوری|سړی|سړی سندرغاړی: د روڼ پوستکي ټون|سندرغاړی
	👨🏼‍🎤;سړی سندرغاړی: غنمی-روښانه پوستکۍ;اکټر|خوشالوونکی|راک|ستوری|سړی|سړی سندرغاړی: غنمی-روښانه پوستکۍ|سندرغاړی|غنمی-روښانه پوستکۍ
	👨🏽‍🎤;سړی سندرغاړی: غنم رنګه;اکټر|خوشالوونکی|راک|ستوری|سړی|سړی سندرغاړی: غنم رنګه|سندرغاړی|غنم رنګه
	👨🏾‍🎤;سړی سندرغاړی: غنمی-تورنګه پوستکۍ;اکټر|خوشالوونکی|راک|ستوری|سړی|سړی سندرغاړی: غنمی-تورنګه پوستکۍ|سندرغاړی|غنمی-تورنګه پوستکۍ
	👨🏿‍🎤;سړی سندرغاړی: تور پوستکۍ;اکټر|تور پوستکۍ|خوشالوونکی|راک|ستوری|سړی|سړی سندرغاړی: تور پوستکۍ|سندرغاړی
👩‍🎤;ښځه سندرغاړې;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړې
	👩🏻‍🎤;ښځه سندرغاړې: د روڼ پوستکي ټون;اکټر|خوشالوونکی|د روڼ پوستکي ټون|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړې|ښځه سندرغاړې: د روڼ پوستکي ټون
	👩🏼‍🎤;ښځه سندرغاړې: غنمی-روښانه پوستکۍ;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړې|ښځه سندرغاړې: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	👩🏽‍🎤;ښځه سندرغاړې: غنم رنګه;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړې|ښځه سندرغاړې: غنم رنګه|غنم رنګه
	👩🏾‍🎤;ښځه سندرغاړې: غنمی-تورنګه پوستکۍ;اکټر|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړې|ښځه سندرغاړې: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	👩🏿‍🎤;ښځه سندرغاړې: تور پوستکۍ;اکټر|تور پوستکۍ|خوشالوونکی|راک|ستوری|سندرغاړی|ښځه|ښځه سندرغاړې|ښځه سندرغاړې: تور پوستکۍ
🧑‍🎨;فنکار;پليټ|فنکار
	🧑🏻‍🎨;فنکار: د روڼ پوستکي ټون;پليټ|د روڼ پوستکي ټون|فنکار|فنکار: د روڼ پوستکي ټون
	🧑🏼‍🎨;فنکار: غنمی-روښانه پوستکۍ;پليټ|غنمی-روښانه پوستکۍ|فنکار|فنکار: غنمی-روښانه پوستکۍ
	🧑🏽‍🎨;فنکار: غنم رنګه;پليټ|غنم رنګه|فنکار|فنکار: غنم رنګه
	🧑🏾‍🎨;فنکار: غنمی-تورنګه پوستکۍ;پليټ|غنمی-تورنګه پوستکۍ|فنکار|فنکار: غنمی-تورنګه پوستکۍ
	🧑🏿‍🎨;فنکار: تور پوستکۍ;پليټ|تور پوستکۍ|فنکار|فنکار: تور پوستکۍ
👨‍🎨;سړی فنکار;پليټ|سړی|فنکار
	👨🏻‍🎨;سړی فنکار: د روڼ پوستکي ټون;پليټ|د روڼ پوستکي ټون|سړی|سړی فنکار: د روڼ پوستکي ټون|فنکار
	👨🏼‍🎨;سړی فنکار: غنمی-روښانه پوستکۍ;پليټ|سړی|سړی فنکار: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|فنکار
	👨🏽‍🎨;سړی فنکار: غنم رنګه;پليټ|سړی|سړی فنکار: غنم رنګه|غنم رنګه|فنکار
	👨🏾‍🎨;سړی فنکار: غنمی-تورنګه پوستکۍ;پليټ|سړی|سړی فنکار: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|فنکار
	👨🏿‍🎨;سړی فنکار: تور پوستکۍ;پليټ|تور پوستکۍ|سړی|سړی فنکار: تور پوستکۍ|فنکار
👩‍🎨;ښځه فنکار;تخته|ښځه|فنکار
	👩🏻‍🎨;ښځه فنکار: د روڼ پوستکي ټون;تخته|د روڼ پوستکي ټون|ښځه|ښځه فنکار: د روڼ پوستکي ټون|فنکار
	👩🏼‍🎨;ښځه فنکار: غنمی-روښانه پوستکۍ;تخته|ښځه|ښځه فنکار: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ|فنکار
	👩🏽‍🎨;ښځه فنکار: غنم رنګه;تخته|ښځه|ښځه فنکار: غنم رنګه|غنم رنګه|فنکار
	👩🏾‍🎨;ښځه فنکار: غنمی-تورنګه پوستکۍ;تخته|ښځه|ښځه فنکار: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ|فنکار
	👩🏿‍🎨;ښځه فنکار: تور پوستکۍ;تخته|تور پوستکۍ|ښځه|ښځه فنکار: تور پوستکۍ|فنکار
🧑‍✈️;پيلوټ;الوتکه|پيلوټ
	🧑🏻‍✈️;پيلوټ: د روڼ پوستکي ټون;الوتکه|پيلوټ|پيلوټ: د روڼ پوستکي ټون|د روڼ پوستکي ټون
	🧑🏼‍✈️;پيلوټ: غنمی-روښانه پوستکۍ;الوتکه|پيلوټ|پيلوټ: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	🧑🏽‍✈️;پيلوټ: غنم رنګه;الوتکه|پيلوټ|پيلوټ: غنم رنګه|غنم رنګه
	🧑🏾‍✈️;پيلوټ: غنمی-تورنګه پوستکۍ;الوتکه|پيلوټ|پيلوټ: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	🧑🏿‍✈️;پيلوټ: تور پوستکۍ;الوتکه|پيلوټ|پيلوټ: تور پوستکۍ|تور پوستکۍ
👨‍✈️;سړی پيلوټ;الوتکه|پيلوټ|سړی
	👨🏻‍✈️;سړی پيلوټ: د روڼ پوستکي ټون;الوتکه|پيلوټ|د روڼ پوستکي ټون|سړی|سړی پيلوټ: د روڼ پوستکي ټون
	👨🏼‍✈️;سړی پيلوټ: غنمی-روښانه پوستکۍ;الوتکه|پيلوټ|سړی|سړی پيلوټ: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
	👨🏽‍✈️;سړی پيلوټ: غنم رنګه;الوتکه|پيلوټ|سړی|سړی پيلوټ: غنم رنګه|غنم رنګه
	👨🏾‍✈️;سړی پيلوټ: غنمی-تورنګه پوستکۍ;الوتکه|پيلوټ|سړی|سړی پيلوټ: غنمی-تورنګه پوستکۍ|غنمی-تورنګه پوستکۍ
	👨🏿‍✈️;سړی پيلوټ: تور پوستکۍ;الوتکه|پيلوټ|تور پوستکۍ|سړی|سړی پيلوټ: تور پوستکۍ
👩‍✈️;ښځه پيلوټ;الوتکه|پيلوټ|ښځه
	👩🏻‍✈️;ښځه پيلوټ: د روڼ پوستکي ټون;الوتکه|پيلوټ|د روڼ پوستکي ټون|ښځه|ښځه پيلوټ: د روڼ پوستکي ټون
	👩🏼‍✈️;ښځه پيلوټ: غنمی-روښانه پوستکۍ;الوتکه|پيلوټ|ښځه|ښځه پيلوټ: غنمی-روښانه پوستکۍ|غنمی-روښانه پوستکۍ
