# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;nevető arc;arc|nevetés|nevető arc
	💁🏿;ember az információs pultnál: sötét bőrtónus;ember az információs pultnál|ember az információs pultnál: sötét bőrtónus|információ|kéz|segítség|sötét bőrtónus
💁‍♂️;nyitott tenyerű férfi;férfi|információ|nyitott tenyér|nyitott tenyerű férfi|segítség
	💁🏻‍♂️;nyitott tenyerű férfi: világos bőrtónus;férfi|információ|nyitott tenyér|nyitott tenyerű férfi|nyitott tenyerű férfi: világos bőrtónus|segítség|világos bőrtónus
	💁🏼‍♂️;nyitott tenyerű férfi: közepesen világos bőrtónus;férfi|információ|közepesen világos bőrtónus|nyitott tenyér|nyitott tenyerű férfi|nyitott tenyerű férfi: közepesen világos bőrtónus|segítség
	💁🏽‍♂️;nyitott tenyerű férfi: közepes bőrtónus;férfi|információ|közepes bőrtónus|nyitott tenyér|nyitott tenyerű férfi|nyitott tenyerű férfi: közepes bőrtónus|segítség
	💁🏾‍♂️;nyitott tenyerű férfi: közepesen sötét bőrtónus;férfi|információ|közepesen sötét bőrtónus|nyitott tenyér|nyitott tenyerű férfi|nyitott tenyerű férfi: közepesen sötét bőrtónus|segítség
	💁🏿‍♂️;nyitott tenyerű férfi: sötét bőrtónus;férfi|információ|nyitott tenyér|nyitott tenyerű férfi|nyitott tenyerű férfi: sötét bőrtónus|segítség|sötét bőrtónus
💁‍♀️;nyitott tenyerű nő;információ|nő|nyitott tenyér|nyitott tenyerű nő|segítség
	💁🏻‍♀️;nyitott tenyerű nő: világos bőrtónus;információ|nő|nyitott tenyér|nyitott tenyerű nő|nyitott tenyerű nő: világos bőrtónus|segítség|világos bőrtónus
	💁🏼‍♀️;nyitott tenyerű nő: közepesen világos bőrtónus;információ|közepesen világos bőrtónus|nő|nyitott tenyér|nyitott tenyerű nő|nyitott tenyerű nő: közepesen világos bőrtónus|segítség
	💁🏽‍♀️;nyitott tenyerű nő: közepes bőrtónus;információ|közepes bőrtónus|nő|nyitott tenyér|nyitott tenyerű nő|nyitott tenyerű nő: közepes bőrtónus|segítség
	💁🏾‍♀️;nyitott tenyerű nő: közepesen sötét bőrtónus;információ|közepesen sötét bőrtónus|nő|nyitott tenyér|nyitott tenyerű nő|nyitott tenyerű nő: közepesen sötét bőrtónus|segítség
	💁🏿‍♀️;nyitott tenyerű nő: sötét bőrtónus;információ|nő|nyitott tenyér|nyitott tenyerű nő|nyitott tenyerű nő: sötét bőrtónus|segítség|sötét bőrtónus
🙋;vidáman intő ember;boldog|integet|vidám|vidáman intő ember
	🙋🏻;vidáman intő ember: világos bőrtónus;boldog|integet|vidám|vidáman intő ember|vidáman intő ember: világos bőrtónus|világos bőrtónus
	🙋🏼;vidáman intő ember: közepesen világos bőrtónus;boldog|integet|közepesen világos bőrtónus|vidám|vidáman intő ember|vidáman intő ember: közepesen világos bőrtónus
	🙋🏽;vidáman intő ember: közepes bőrtónus;boldog|integet|közepes bőrtónus|vidám|vidáman intő ember|vidáman intő ember: közepes bőrtónus
	🙋🏾;vidáman intő ember: közepesen sötét bőrtónus;boldog|integet|közepesen sötét bőrtónus|vidám|vidáman intő ember|vidáman intő ember: közepesen sötét bőrtónus
	🙋🏿;vidáman intő ember: sötét bőrtónus;boldog|integet|sötét bőrtónus|vidám|vidáman intő ember|vidáman intő ember: sötét bőrtónus
🙋‍♂️;vidáman intő férfi;férfi|gesztus|intés|kézmozdulat|vidám|vidáman intő férfi
	🙋🏻‍♂️;vidáman intő férfi: világos bőrtónus;férfi|gesztus|intés|kézmozdulat|vidám|vidáman intő férfi|vidáman intő férfi: világos bőrtónus|világos bőrtónus
	🙋🏼‍♂️;vidáman intő férfi: közepesen világos bőrtónus;férfi|gesztus|intés|kézmozdulat|közepesen világos bőrtónus|vidám|vidáman intő férfi|vidáman intő férfi: közepesen világos bőrtónus
	🙋🏽‍♂️;vidáman intő férfi: közepes bőrtónus;férfi|gesztus|intés|kézmozdulat|közepes bőrtónus|vidám|vidáman intő férfi|vidáman intő férfi: közepes bőrtónus
	🙋🏾‍♂️;vidáman intő férfi: közepesen sötét bőrtónus;férfi|gesztus|intés|kézmozdulat|közepesen sötét bőrtónus|vidám|vidáman intő férfi|vidáman intő férfi: közepesen sötét bőrtónus
	🙋🏿‍♂️;vidáman intő férfi: sötét bőrtónus;férfi|gesztus|intés|kézmozdulat|sötét bőrtónus|vidám|vidáman intő férfi|vidáman intő férfi: sötét bőrtónus
🙋‍♀️;vidáman intő nő;gesztus|intés|kézmozdulat|nő|vidám|vidáman intő nő
	🙋🏻‍♀️;vidáman intő nő: világos bőrtónus;gesztus|intés|kézmozdulat|nő|vidám|vidáman intő nő|vidáman intő nő: világos bőrtónus|világos bőrtónus
	🙋🏼‍♀️;vidáman intő nő: közepesen világos bőrtónus;gesztus|intés|kézmozdulat|közepesen világos bőrtónus|nő|vidám|vidáman intő nő|vidáman intő nő: közepesen világos bőrtónus
	🙋🏽‍♀️;vidáman intő nő: közepes bőrtónus;gesztus|intés|kézmozdulat|közepes bőrtónus|nő|vidám|vidáman intő nő|vidáman intő nő: közepes bőrtónus
	🙋🏾‍♀️;vidáman intő nő: közepesen sötét bőrtónus;gesztus|intés|kézmozdulat|közepesen sötét bőrtónus|nő|vidám|vidáman intő nő|vidáman intő nő: közepesen sötét bőrtónus
	🙋🏿‍♀️;vidáman intő nő: sötét bőrtónus;gesztus|intés|kézmozdulat|nő|sötét bőrtónus|vidám|vidáman intő nő|vidáman intő nő: sötét bőrtónus
🧏;siket ember;akadálymentesség|fül|hall|siket|siket ember
	🧏🏻;siket ember: világos bőrtónus;akadálymentesség|fül|hall|siket|siket ember|siket ember: világos bőrtónus|világos bőrtónus
	🧏🏼;siket ember: közepesen világos bőrtónus;akadálymentesség|fül|hall|közepesen világos bőrtónus|siket|siket ember|siket ember: közepesen világos bőrtónus
	🧏🏽;siket ember: közepes bőrtónus;akadálymentesség|fül|hall|közepes bőrtónus|siket|siket ember|siket ember: közepes bőrtónus
	🧏🏾;siket ember: közepesen sötét bőrtónus;akadálymentesség|fül|hall|közepesen sötét bőrtónus|siket|siket ember|siket ember: közepesen sötét bőrtónus
	🧏🏿;siket ember: sötét bőrtónus;akadálymentesség|fül|hall|siket|siket ember|siket ember: sötét bőrtónus|sötét bőrtónus
🧏‍♂️;siket férfi;férfi|siket
	🧏🏻‍♂️;siket férfi: világos bőrtónus;férfi|siket|siket férfi: világos bőrtónus|világos bőrtónus
	🧏🏼‍♂️;siket férfi: közepesen világos bőrtónus;férfi|közepesen világos bőrtónus|siket|siket férfi: közepesen világos bőrtónus
	🧏🏽‍♂️;siket férfi: közepes bőrtónus;férfi|közepes bőrtónus|siket|siket férfi: közepes bőrtónus
	🧏🏾‍♂️;siket férfi: közepesen sötét bőrtónus;férfi|közepesen sötét bőrtónus|siket|siket férfi: közepesen sötét bőrtónus
	🧏🏿‍♂️;siket férfi: sötét bőrtónus;férfi|siket|siket férfi: sötét bőrtónus|sötét bőrtónus
🧏‍♀️;siket nő;nő|siket
	🧏🏻‍♀️;siket nő: világos bőrtónus;nő|siket|siket nő: világos bőrtónus|világos bőrtónus
	🧏🏼‍♀️;siket nő: közepesen világos bőrtónus;közepesen világos bőrtónus|nő|siket|siket nő: közepesen világos bőrtónus
	🧏🏽‍♀️;siket nő: közepes bőrtónus;közepes bőrtónus|nő|siket|siket nő: közepes bőrtónus
	🧏🏾‍♀️;siket nő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|nő|siket|siket nő: közepesen sötét bőrtónus
	🧏🏿‍♀️;siket nő: sötét bőrtónus;nő|siket|siket nő: sötét bőrtónus|sötét bőrtónus
🙇;meghajló ember;bocsánatkérés|meghajlás|meghajló ember|sajnálat
	🙇🏻;meghajló ember: világos bőrtónus;bocsánatkérés|meghajlás|meghajló ember|meghajló ember: világos bőrtónus|sajnálat|világos bőrtónus
	🙇🏼;meghajló ember: közepesen világos bőrtónus;bocsánatkérés|közepesen világos bőrtónus|meghajlás|meghajló ember|meghajló ember: közepesen világos bőrtónus|sajnálat
	🙇🏽;meghajló ember: közepes bőrtónus;bocsánatkérés|közepes bőrtónus|meghajlás|meghajló ember|meghajló ember: közepes bőrtónus|sajnálat
	🙇🏾;meghajló ember: közepesen sötét bőrtónus;bocsánatkérés|közepesen sötét bőrtónus|meghajlás|meghajló ember|meghajló ember: közepesen sötét bőrtónus|sajnálat
	🙇🏿;meghajló ember: sötét bőrtónus;bocsánatkérés|meghajlás|meghajló ember|meghajló ember: sötét bőrtónus|sajnálat|sötét bőrtónus
🙇‍♂️;meghajló férfi;bocsánat|bocsánatkérés|férfi|meghajlás|meghajló|sajnálat
	🙇🏻‍♂️;meghajló férfi: világos bőrtónus;bocsánat|bocsánatkérés|férfi|meghajlás|meghajló|meghajló férfi: világos bőrtónus|sajnálat|világos bőrtónus
	🙇🏼‍♂️;meghajló férfi: közepesen világos bőrtónus;bocsánat|bocsánatkérés|férfi|közepesen világos bőrtónus|meghajlás|meghajló|meghajló férfi: közepesen világos bőrtónus|sajnálat
	🙇🏽‍♂️;meghajló férfi: közepes bőrtónus;bocsánat|bocsánatkérés|férfi|közepes bőrtónus|meghajlás|meghajló|meghajló férfi: közepes bőrtónus|sajnálat
	🙇🏾‍♂️;meghajló férfi: közepesen sötét bőrtónus;bocsánat|bocsánatkérés|férfi|közepesen sötét bőrtónus|meghajlás|meghajló|meghajló férfi: közepesen sötét bőrtónus|sajnálat
	🙇🏿‍♂️;meghajló férfi: sötét bőrtónus;bocsánat|bocsánatkérés|férfi|meghajlás|meghajló|meghajló férfi: sötét bőrtónus|sajnálat|sötét bőrtónus
🙇‍♀️;meghajló nő;bocsánat|bocsánatkérés|meghajlás|meghajló|nő|sajnálat
	🙇🏻‍♀️;meghajló nő: világos bőrtónus;bocsánat|bocsánatkérés|meghajlás|meghajló|meghajló nő: világos bőrtónus|nő|sajnálat|világos bőrtónus
	🙇🏼‍♀️;meghajló nő: közepesen világos bőrtónus;bocsánat|bocsánatkérés|közepesen világos bőrtónus|meghajlás|meghajló|meghajló nő: közepesen világos bőrtónus|nő|sajnálat
	🙇🏽‍♀️;meghajló nő: közepes bőrtónus;bocsánat|bocsánatkérés|közepes bőrtónus|meghajlás|meghajló|meghajló nő: közepes bőrtónus|nő|sajnálat
	🙇🏾‍♀️;meghajló nő: közepesen sötét bőrtónus;bocsánat|bocsánatkérés|közepesen sötét bőrtónus|meghajlás|meghajló|meghajló nő: közepesen sötét bőrtónus|nő|sajnálat
	🙇🏿‍♀️;meghajló nő: sötét bőrtónus;bocsánat|bocsánatkérés|meghajlás|meghajló|meghajló nő: sötét bőrtónus|nő|sajnálat|sötét bőrtónus
🤦;kézbe temetett arc;arc|elkeseredés|kéz|kézbe temetett arc|nem hiszem el
	🤦🏻;kézbe temetett arc: világos bőrtónus;arc|elkeseredés|kéz|kézbe temetett arc|kézbe temetett arc: világos bőrtónus|nem hiszem el|világos bőrtónus
	🤦🏼;kézbe temetett arc: közepesen világos bőrtónus;arc|elkeseredés|kéz|kézbe temetett arc|kézbe temetett arc: közepesen világos bőrtónus|közepesen világos bőrtónus|nem hiszem el
	🤦🏽;kézbe temetett arc: közepes bőrtónus;arc|elkeseredés|kéz|kézbe temetett arc|kézbe temetett arc: közepes bőrtónus|közepes bőrtónus|nem hiszem el
	🤦🏾;kézbe temetett arc: közepesen sötét bőrtónus;arc|elkeseredés|kéz|kézbe temetett arc|kézbe temetett arc: közepesen sötét bőrtónus|közepesen sötét bőrtónus|nem hiszem el
	🤦🏿;kézbe temetett arc: sötét bőrtónus;arc|elkeseredés|kéz|kézbe temetett arc|kézbe temetett arc: sötét bőrtónus|nem hiszem el|sötét bőrtónus
🤦‍♂️;arcát a kezébe temető férfi;arc|arcát a kezébe temető férfi|elkeseredés|férfi|hitetlenség|kézbe temetett arc
	🤦🏻‍♂️;arcát a kezébe temető férfi: világos bőrtónus;arc|arcát a kezébe temető férfi|arcát a kezébe temető férfi: világos bőrtónus|elkeseredés|férfi|hitetlenség|kézbe temetett arc|világos bőrtónus
	🤦🏼‍♂️;arcát a kezébe temető férfi: közepesen világos bőrtónus;arc|arcát a kezébe temető férfi|arcát a kezébe temető férfi: közepesen világos bőrtónus|elkeseredés|férfi|hitetlenség|kézbe temetett arc|közepesen világos bőrtónus
	🤦🏽‍♂️;arcát a kezébe temető férfi: közepes bőrtónus;arc|arcát a kezébe temető férfi|arcát a kezébe temető férfi: közepes bőrtónus|elkeseredés|férfi|hitetlenség|kézbe temetett arc|közepes bőrtónus
	🤦🏾‍♂️;arcát a kezébe temető férfi: közepesen sötét bőrtónus;arc|arcát a kezébe temető férfi|arcát a kezébe temető férfi: közepesen sötét bőrtónus|elkeseredés|férfi|hitetlenség|kézbe temetett arc|közepesen sötét bőrtónus
	🤦🏿‍♂️;arcát a kezébe temető férfi: sötét bőrtónus;arc|arcát a kezébe temető férfi|arcát a kezébe temető férfi: sötét bőrtónus|elkeseredés|férfi|hitetlenség|kézbe temetett arc|sötét bőrtónus
🤦‍♀️;arcát a kezébe temető nő;arc|arcát a kezébe temető nő|elkeseredés|hitetlenség|kézbe temetett arc|nő
	🤦🏻‍♀️;arcát a kezébe temető nő: világos bőrtónus;arc|arcát a kezébe temető nő|arcát a kezébe temető nő: világos bőrtónus|elkeseredés|hitetlenség|kézbe temetett arc|nő|világos bőrtónus
	🤦🏼‍♀️;arcát a kezébe temető nő: közepesen világos bőrtónus;arc|arcát a kezébe temető nő|arcát a kezébe temető nő: közepesen világos bőrtónus|elkeseredés|hitetlenség|kézbe temetett arc|közepesen világos bőrtónus|nő
	🤦🏽‍♀️;arcát a kezébe temető nő: közepes bőrtónus;arc|arcát a kezébe temető nő|arcát a kezébe temető nő: közepes bőrtónus|elkeseredés|hitetlenség|kézbe temetett arc|közepes bőrtónus|nő
	🤦🏾‍♀️;arcát a kezébe temető nő: közepesen sötét bőrtónus;arc|arcát a kezébe temető nő|arcát a kezébe temető nő: közepesen sötét bőrtónus|elkeseredés|hitetlenség|kézbe temetett arc|közepesen sötét bőrtónus|nő
	🤦🏿‍♀️;arcát a kezébe temető nő: sötét bőrtónus;arc|arcát a kezébe temető nő|arcát a kezébe temető nő: sötét bőrtónus|elkeseredés|hitetlenség|kézbe temetett arc|nő|sötét bőrtónus
🤷;vállrándítás;közömbös|nem érdekel|rándít|váll|vállrándítás
	🤷🏻;vállrándítás: világos bőrtónus;közömbös|nem érdekel|rándít|váll|vállrándítás|vállrándítás: világos bőrtónus|világos bőrtónus
	🤷🏼;vállrándítás: közepesen világos bőrtónus;közepesen világos bőrtónus|közömbös|nem érdekel|rándít|váll|vállrándítás|vállrándítás: közepesen világos bőrtónus
	🤷🏽;vállrándítás: közepes bőrtónus;közepes bőrtónus|közömbös|nem érdekel|rándít|váll|vállrándítás|vállrándítás: közepes bőrtónus
	🤷🏾;vállrándítás: közepesen sötét bőrtónus;közepesen sötét bőrtónus|közömbös|nem érdekel|rándít|váll|vállrándítás|vállrándítás: közepesen sötét bőrtónus
	🤷🏿;vállrándítás: sötét bőrtónus;közömbös|nem érdekel|rándít|sötét bőrtónus|váll|vállrándítás|vállrándítás: sötét bőrtónus
🤷‍♂️;vállrándító férfi;érdektelenség|férfi|kétség|közömbös|nem érdekel|vállrándítás|vállrándító férfi
	🤷🏻‍♂️;vállrándító férfi: világos bőrtónus;érdektelenség|férfi|kétség|közömbös|nem érdekel|vállrándítás|vállrándító férfi|vállrándító férfi: világos bőrtónus|világos bőrtónus
	🤷🏼‍♂️;vállrándító férfi: közepesen világos bőrtónus;érdektelenség|férfi|kétség|közepesen világos bőrtónus|közömbös|nem érdekel|vállrándítás|vállrándító férfi|vállrándító férfi: közepesen világos bőrtónus
	🤷🏽‍♂️;vállrándító férfi: közepes bőrtónus;érdektelenség|férfi|kétség|közepes bőrtónus|közömbös|nem érdekel|vállrándítás|vállrándító férfi|vállrándító férfi: közepes bőrtónus
	🤷🏾‍♂️;vállrándító férfi: közepesen sötét bőrtónus;érdektelenség|férfi|kétség|közepesen sötét bőrtónus|közömbös|nem érdekel|vállrándítás|vállrándító férfi|vállrándító férfi: közepesen sötét bőrtónus
	🤷🏿‍♂️;vállrándító férfi: sötét bőrtónus;érdektelenség|férfi|kétség|közömbös|nem érdekel|sötét bőrtónus|vállrándítás|vállrándító férfi|vállrándító férfi: sötét bőrtónus
🤷‍♀️;vállrándító nő;érdektelenség|kétség|közömbös|nem érdekel|nő|vállrándítás|vállrándító nő
	🤷🏻‍♀️;vállrándító nő: világos bőrtónus;érdektelenség|kétség|közömbös|nem érdekel|nő|vállrándítás|vállrándító nő|vállrándító nő: világos bőrtónus|világos bőrtónus
	🤷🏼‍♀️;vállrándító nő: közepesen világos bőrtónus;érdektelenség|kétség|közepesen világos bőrtónus|közömbös|nem érdekel|nő|vállrándítás|vállrándító nő|vállrándító nő: közepesen világos bőrtónus
	🤷🏽‍♀️;vállrándító nő: közepes bőrtónus;érdektelenség|kétség|közepes bőrtónus|közömbös|nem érdekel|nő|vállrándítás|vállrándító nő|vállrándító nő: közepes bőrtónus
	🤷🏾‍♀️;vállrándító nő: közepesen sötét bőrtónus;érdektelenség|kétség|közepesen sötét bőrtónus|közömbös|nem érdekel|nő|vállrándítás|vállrándító nő|vállrándító nő: közepesen sötét bőrtónus
	🤷🏿‍♀️;vállrándító nő: sötét bőrtónus;érdektelenség|kétség|közömbös|nem érdekel|nő|sötét bőrtónus|vállrándítás|vállrándító nő|vállrándító nő: sötét bőrtónus
🧑‍⚕️;egészségügyi dolgozó;ápolónő|egészségügy|egészségügyi dolgozó|orvos|terapeuta
	🧑🏻‍⚕️;egészségügyi dolgozó: világos bőrtónus;ápolónő|egészségügy|egészségügyi dolgozó|egészségügyi dolgozó: világos bőrtónus|orvos|terapeuta|világos bőrtónus
	🧑🏼‍⚕️;egészségügyi dolgozó: közepesen világos bőrtónus;ápolónő|egészségügy|egészségügyi dolgozó|egészségügyi dolgozó: közepesen világos bőrtónus|közepesen világos bőrtónus|orvos|terapeuta
	🧑🏽‍⚕️;egészségügyi dolgozó: közepes bőrtónus;ápolónő|egészségügy|egészségügyi dolgozó|egészségügyi dolgozó: közepes bőrtónus|közepes bőrtónus|orvos|terapeuta
	🧑🏾‍⚕️;egészségügyi dolgozó: közepesen sötét bőrtónus;ápolónő|egészségügy|egészségügyi dolgozó|egészségügyi dolgozó: közepesen sötét bőrtónus|közepesen sötét bőrtónus|orvos|terapeuta
	🧑🏿‍⚕️;egészségügyi dolgozó: sötét bőrtónus;ápolónő|egészségügy|egészségügyi dolgozó|egészségügyi dolgozó: sötét bőrtónus|orvos|sötét bőrtónus|terapeuta
👨‍⚕️;doktor;ápoló|doktor|orvos|terapeuta
	👨🏻‍⚕️;doktor: világos bőrtónus;ápoló|doktor|doktor: világos bőrtónus|orvos|terapeuta|világos bőrtónus
	👨🏼‍⚕️;doktor: közepesen világos bőrtónus;ápoló|doktor|doktor: közepesen világos bőrtónus|közepesen világos bőrtónus|orvos|terapeuta
	👨🏽‍⚕️;doktor: közepes bőrtónus;ápoló|doktor|doktor: közepes bőrtónus|közepes bőrtónus|orvos|terapeuta
	👨🏾‍⚕️;doktor: közepesen sötét bőrtónus;ápoló|doktor|doktor: közepesen sötét bőrtónus|közepesen sötét bőrtónus|orvos|terapeuta
	👨🏿‍⚕️;doktor: sötét bőrtónus;ápoló|doktor|doktor: sötét bőrtónus|orvos|sötét bőrtónus|terapeuta
👩‍⚕️;doktornő;ápolónő|doktornő|nővér|orvos|terapeuta
	👩🏻‍⚕️;doktornő: világos bőrtónus;ápolónő|doktornő|doktornő: világos bőrtónus|nővér|orvos|terapeuta|világos bőrtónus
	👩🏼‍⚕️;doktornő: közepesen világos bőrtónus;ápolónő|doktornő|doktornő: közepesen világos bőrtónus|közepesen világos bőrtónus|nővér|orvos|terapeuta
	👩🏽‍⚕️;doktornő: közepes bőrtónus;ápolónő|doktornő|doktornő: közepes bőrtónus|közepes bőrtónus|nővér|orvos|terapeuta
	👩🏾‍⚕️;doktornő: közepesen sötét bőrtónus;ápolónő|doktornő|doktornő: közepesen sötét bőrtónus|közepesen sötét bőrtónus|nővér|orvos|terapeuta
	👩🏿‍⚕️;doktornő: sötét bőrtónus;ápolónő|doktornő|doktornő: sötét bőrtónus|nővér|orvos|sötét bőrtónus|terapeuta
🧑‍🎓;diák;diák|végzős
	🧑🏻‍🎓;diák: világos bőrtónus;diák|diák: világos bőrtónus|végzős|világos bőrtónus
	🧑🏼‍🎓;diák: közepesen világos bőrtónus;diák|diák: közepesen világos bőrtónus|közepesen világos bőrtónus|végzős
	🧑🏽‍🎓;diák: közepes bőrtónus;diák|diák: közepes bőrtónus|közepes bőrtónus|végzős
	🧑🏾‍🎓;diák: közepesen sötét bőrtónus;diák|diák: közepesen sötét bőrtónus|közepesen sötét bőrtónus|végzős
	🧑🏿‍🎓;diák: sötét bőrtónus;diák|diák: sötét bőrtónus|sötét bőrtónus|végzős
👨‍🎓;férfi tanuló;diák|egyetemista|férfi|tanuló
	👨🏻‍🎓;férfi tanuló: világos bőrtónus;diák|egyetemista|férfi|férfi tanuló: világos bőrtónus|tanuló|világos bőrtónus
	👨🏼‍🎓;férfi tanuló: közepesen világos bőrtónus;diák|egyetemista|férfi|férfi tanuló: közepesen világos bőrtónus|közepesen világos bőrtónus|tanuló
	👨🏽‍🎓;férfi tanuló: közepes bőrtónus;diák|egyetemista|férfi|férfi tanuló: közepes bőrtónus|közepes bőrtónus|tanuló
	👨🏾‍🎓;férfi tanuló: közepesen sötét bőrtónus;diák|egyetemista|férfi|férfi tanuló: közepesen sötét bőrtónus|közepesen sötét bőrtónus|tanuló
	👨🏿‍🎓;férfi tanuló: sötét bőrtónus;diák|egyetemista|férfi|férfi tanuló: sötét bőrtónus|sötét bőrtónus|tanuló
👩‍🎓;női tanuló;diák|egyetemista|nő|női tanuló|tanuló
	👩🏻‍🎓;női tanuló: világos bőrtónus;diák|egyetemista|nő|női tanuló|női tanuló: világos bőrtónus|tanuló|világos bőrtónus
	👩🏼‍🎓;női tanuló: közepesen világos bőrtónus;diák|egyetemista|közepesen világos bőrtónus|nő|női tanuló|női tanuló: közepesen világos bőrtónus|tanuló
	👩🏽‍🎓;női tanuló: közepes bőrtónus;diák|egyetemista|közepes bőrtónus|nő|női tanuló|női tanuló: közepes bőrtónus|tanuló
	👩🏾‍🎓;női tanuló: közepesen sötét bőrtónus;diák|egyetemista|közepesen sötét bőrtónus|nő|női tanuló|női tanuló: közepesen sötét bőrtónus|tanuló
	👩🏿‍🎓;női tanuló: sötét bőrtónus;diák|egyetemista|nő|női tanuló|női tanuló: sötét bőrtónus|sötét bőrtónus|tanuló
🧑‍🏫;tanár / tanárnő;oktató|professzor|tanár|tanár / tanárnő
	🧑🏻‍🏫;tanár / tanárnő: világos bőrtónus;oktató|professzor|tanár|tanár / tanárnő|tanár / tanárnő: világos bőrtónus|világos bőrtónus
	🧑🏼‍🏫;tanár / tanárnő: közepesen világos bőrtónus;közepesen világos bőrtónus|oktató|professzor|tanár|tanár / tanárnő|tanár / tanárnő: közepesen világos bőrtónus
	🧑🏽‍🏫;tanár / tanárnő: közepes bőrtónus;közepes bőrtónus|oktató|professzor|tanár|tanár / tanárnő|tanár / tanárnő: közepes bőrtónus
	🧑🏾‍🏫;tanár / tanárnő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|oktató|professzor|tanár|tanár / tanárnő|tanár / tanárnő: közepesen sötét bőrtónus
	🧑🏿‍🏫;tanár / tanárnő: sötét bőrtónus;oktató|professzor|sötét bőrtónus|tanár|tanár / tanárnő|tanár / tanárnő: sötét bőrtónus
👨‍🏫;tanár;férfi|oktató|professzor|tanár
	👨🏻‍🏫;tanár: világos bőrtónus;férfi|oktató|professzor|tanár|tanár: világos bőrtónus|világos bőrtónus
	👨🏼‍🏫;tanár: közepesen világos bőrtónus;férfi|közepesen világos bőrtónus|oktató|professzor|tanár|tanár: közepesen világos bőrtónus
	👨🏽‍🏫;tanár: közepes bőrtónus;férfi|közepes bőrtónus|oktató|professzor|tanár|tanár: közepes bőrtónus
	👨🏾‍🏫;tanár: közepesen sötét bőrtónus;férfi|közepesen sötét bőrtónus|oktató|professzor|tanár|tanár: közepesen sötét bőrtónus
	👨🏿‍🏫;tanár: sötét bőrtónus;férfi|oktató|professzor|sötét bőrtónus|tanár|tanár: sötét bőrtónus
👩‍🏫;tanárnő;nő|oktató|professzorasszony|tanárnő
	👩🏻‍🏫;tanárnő: világos bőrtónus;nő|oktató|professzorasszony|tanárnő|tanárnő: világos bőrtónus|világos bőrtónus
	👩🏼‍🏫;tanárnő: közepesen világos bőrtónus;közepesen világos bőrtónus|nő|oktató|professzorasszony|tanárnő|tanárnő: közepesen világos bőrtónus
	👩🏽‍🏫;tanárnő: közepes bőrtónus;közepes bőrtónus|nő|oktató|professzorasszony|tanárnő|tanárnő: közepes bőrtónus
	👩🏾‍🏫;tanárnő: közepesen sötét bőrtónus;közepesen sötét bőrtónus|nő|oktató|professzorasszony|tanárnő|tanárnő: közepesen sötét bőrtónus
	👩🏿‍🏫;tanárnő: sötét bőrtónus;nő|oktató|professzorasszony|sötét bőrtónus|tanárnő|tanárnő: sötét bőrtónus
🧑‍⚖️;bíró / bírónő;bíró|bíró / bírónő|mérleg
	🧑🏻‍⚖️;bíró / bírónő: világos bőrtónus;bíró|bíró / bírónő|bíró / bírónő: világos bőrtónus|mérleg|világos bőrtónus
	🧑🏼‍⚖️;bíró / bírónő: közepesen világos bőrtónus;bíró|bíró / bírónő|bíró / bírónő: közepesen világos bőrtónus|közepesen világos bőrtónus|mérleg
	🧑🏽‍⚖️;bíró / bírónő: közepes bőrtónus;bíró|bíró / bírónő|bíró / bírónő: közepes bőrtónus|közepes bőrtónus|mérleg
	🧑🏾‍⚖️;bíró / bírónő: közepesen sötét bőrtónus;bíró|bíró / bírónő|bíró / bírónő: közepesen sötét bőrtónus|közepesen sötét bőrtónus|mérleg
	🧑🏿‍⚖️;bíró / bírónő: sötét bőrtónus;bíró|bíró / bírónő|bíró / bírónő: sötét bőrtónus|mérleg|sötét bőrtónus
👨‍⚖️;bíró;bíró
	👨🏻‍⚖️;bíró: világos bőrtónus;bíró|bíró: világos bőrtónus|világos bőrtónus
	👨🏼‍⚖️;bíró: közepesen világos bőrtónus;bíró|bíró: közepesen világos bőrtónus|közepesen világos bőrtónus
	👨🏽‍⚖️;bíró: közepes bőrtónus;bíró|bíró: közepes bőrtónus|közepes bőrtónus
	👨🏾‍⚖️;bíró: közepesen sötét bőrtónus;bíró|bíró: közepesen sötét bőrtónus|közepesen sötét bőrtónus
	👨🏿‍⚖️;bíró: sötét bőrtónus;bíró|bíró: sötét bőrtónus|sötét bőrtónus
👩‍⚖️;bírónő;bírónő
	👩🏻‍⚖️;bírónő: világos bőrtónus;bírónő|bírónő: világos bőrtónus|világos bőrtónus
	👩🏼‍⚖️;bírónő: közepesen világos bőrtónus;bírónő|bírónő: közepesen világos bőrtónus|közepesen világos bőrtónus
	👩🏽‍⚖️;bírónő: közepes bőrtónus;bírónő|bírónő: közepes bőrtónus|közepes bőrtónus
	👩🏾‍⚖️;bírónő: közepesen sötét bőrtónus;bírónő|bírónő: közepesen sötét bőrtónus|közepesen sötét bőrtónus
	👩🏿‍⚖️;bírónő: sötét bőrtónus;bírónő|bírónő: sötét bőrtónus|sötét bőrtónus
🧑‍🌾;gazda / női gazda;földműves|gazda|gazda / női gazda|növénytermesztő
	🧑🏻‍🌾;gazda / női gazda: világos bőrtónus;földműves|gazda|gazda / női gazda|gazda / női gazda: világos bőrtónus|növénytermesztő|világos bőrtónus
