# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;کھل کے ہنستا چہرہ;چہرہ|کھل کے ہنستا چہرہ|کھلا|منہ|ہنسی
🦿;مشینی ٹانگ;دسترس|مشینی ٹانگ|مصنوعی
🦵;ٹانگ;ٹانگ|ٹھوکر|عضو
	🦵🏻;ٹانگ: جلد کی ہلکی رنگت;ٹانگ|ٹانگ: جلد کی ہلکی رنگت|ٹھوکر|جلد کی ہلکی رنگت|عضو
	🦵🏼;ٹانگ: جلد کی درمیانی -ہلکی رنگت;ٹانگ|ٹانگ: جلد کی درمیانی -ہلکی رنگت|ٹھوکر|جلد کی درمیانی -ہلکی رنگت|عضو
	🦵🏽;ٹانگ: جلد کی درمیانی رنگت;ٹانگ|ٹانگ: جلد کی درمیانی رنگت|ٹھوکر|جلد کی درمیانی رنگت|عضو
	🦵🏾;ٹانگ: جلد کی درمیانی سیاہ رنگت;ٹانگ|ٹانگ: جلد کی درمیانی سیاہ رنگت|ٹھوکر|جلد کی درمیانی سیاہ رنگت|عضو
	🦵🏿;ٹانگ: جلد کی سیاہ رنگت;ٹانگ|ٹانگ: جلد کی سیاہ رنگت|ٹھوکر|جلد کی سیاہ رنگت|عضو
🦶;پاؤں;پاؤں|پاؤں مارنا|ٹھوکر
	🦶🏻;پاؤں: جلد کی ہلکی رنگت;پاؤں|پاؤں مارنا|پاؤں: جلد کی ہلکی رنگت|ٹھوکر|جلد کی ہلکی رنگت
	🦶🏼;پاؤں: جلد کی درمیانی -ہلکی رنگت;پاؤں|پاؤں مارنا|پاؤں: جلد کی درمیانی -ہلکی رنگت|ٹھوکر|جلد کی درمیانی -ہلکی رنگت
	🦶🏽;پاؤں: جلد کی درمیانی رنگت;پاؤں|پاؤں مارنا|پاؤں: جلد کی درمیانی رنگت|ٹھوکر|جلد کی درمیانی رنگت
	🦶🏾;پاؤں: جلد کی درمیانی سیاہ رنگت;پاؤں|پاؤں مارنا|پاؤں: جلد کی درمیانی سیاہ رنگت|ٹھوکر|جلد کی درمیانی سیاہ رنگت
	🦶🏿;پاؤں: جلد کی سیاہ رنگت;پاؤں|پاؤں مارنا|پاؤں: جلد کی سیاہ رنگت|ٹھوکر|جلد کی سیاہ رنگت
👂;کان;جسم|کان
	👂🏻;کان: جلد کی ہلکی رنگت;جسم|جلد کی ہلکی رنگت|کان|کان: جلد کی ہلکی رنگت
	👂🏼;کان: جلد کی درمیانی -ہلکی رنگت;جسم|جلد کی درمیانی -ہلکی رنگت|کان|کان: جلد کی درمیانی -ہلکی رنگت
	👂🏽;کان: جلد کی درمیانی رنگت;جسم|جلد کی درمیانی رنگت|کان|کان: جلد کی درمیانی رنگت
	👂🏾;کان: جلد کی درمیانی سیاہ رنگت;جسم|جلد کی درمیانی سیاہ رنگت|کان|کان: جلد کی درمیانی سیاہ رنگت
	👂🏿;کان: جلد کی سیاہ رنگت;جسم|جلد کی سیاہ رنگت|کان|کان: جلد کی سیاہ رنگت
🦻;آلہ سماعت کے ساتھ کان;آلہ سماعت کے ساتھ کان|دسترس|کمزور سماعت
	🦻🏻;آلہ سماعت کے ساتھ کان: جلد کی ہلکی رنگت;آلہ سماعت کے ساتھ کان|آلہ سماعت کے ساتھ کان: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت|دسترس|کمزور سماعت
	🦻🏼;آلہ سماعت کے ساتھ کان: جلد کی درمیانی -ہلکی رنگت;آلہ سماعت کے ساتھ کان|آلہ سماعت کے ساتھ کان: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت|دسترس|کمزور سماعت
	🦻🏽;آلہ سماعت کے ساتھ کان: جلد کی درمیانی رنگت;آلہ سماعت کے ساتھ کان|آلہ سماعت کے ساتھ کان: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت|دسترس|کمزور سماعت
	🦻🏾;آلہ سماعت کے ساتھ کان: جلد کی درمیانی سیاہ رنگت;آلہ سماعت کے ساتھ کان|آلہ سماعت کے ساتھ کان: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت|دسترس|کمزور سماعت
	🦻🏿;آلہ سماعت کے ساتھ کان: جلد کی سیاہ رنگت;آلہ سماعت کے ساتھ کان|آلہ سماعت کے ساتھ کان: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت|دسترس|کمزور سماعت
👃;ناک;جسم|ناک
	👃🏻;ناک: جلد کی ہلکی رنگت;جسم|جلد کی ہلکی رنگت|ناک|ناک: جلد کی ہلکی رنگت
	👃🏼;ناک: جلد کی درمیانی -ہلکی رنگت;جسم|جلد کی درمیانی -ہلکی رنگت|ناک|ناک: جلد کی درمیانی -ہلکی رنگت
	👃🏽;ناک: جلد کی درمیانی رنگت;جسم|جلد کی درمیانی رنگت|ناک|ناک: جلد کی درمیانی رنگت
	👃🏾;ناک: جلد کی درمیانی سیاہ رنگت;جسم|جلد کی درمیانی سیاہ رنگت|ناک|ناک: جلد کی درمیانی سیاہ رنگت
	👃🏿;ناک: جلد کی سیاہ رنگت;جسم|جلد کی سیاہ رنگت|ناک|ناک: جلد کی سیاہ رنگت
🧠;دماغ;دماغ|ذہین
🫀;دل کا عضو;دل|دل کا عضو|دل کی دھڑکن|عضو|نبض
🫁;پھیپھڑے;پھیپھڑے|تنفس|سانس|سانس باہر نکالنا|سانس لینا|عضو
🦷;دانت;دانت|معالج دندان
🦴;ہڈی;ڈھانچا|ہڈی
👀;آنکھیں;آنکھ|آنکھیں|چہرہ
👁️;آنکھ;آنکھ|جسم
👅;زبان;جسم|زبان
👄;منہ;جسم|منہ
🫦;کاٹتے ہونٹ;بے چین|پریشان|خوف|فلرٹنگ|کاٹتے ہونٹ|گھبراہٹ|مضطرب
👶;طفل;انسان|بچہ|طفل
	👶🏻;طفل: جلد کی ہلکی رنگت;انسان|بچہ|جلد کی ہلکی رنگت|طفل|طفل: جلد کی ہلکی رنگت
	👶🏼;طفل: جلد کی درمیانی -ہلکی رنگت;انسان|بچہ|جلد کی درمیانی -ہلکی رنگت|طفل|طفل: جلد کی درمیانی -ہلکی رنگت
	👶🏽;طفل: جلد کی درمیانی رنگت;انسان|بچہ|جلد کی درمیانی رنگت|طفل|طفل: جلد کی درمیانی رنگت
	👶🏾;طفل: جلد کی درمیانی سیاہ رنگت;انسان|بچہ|جلد کی درمیانی سیاہ رنگت|طفل|طفل: جلد کی درمیانی سیاہ رنگت
	👶🏿;طفل: جلد کی سیاہ رنگت;انسان|بچہ|جلد کی سیاہ رنگت|طفل|طفل: جلد کی سیاہ رنگت
🧒;بچہ;بچہ|صنفی غیر جانبدار|نوجوان
	🧒🏻;بچہ: جلد کی ہلکی رنگت;بچہ|بچہ: جلد کی ہلکی رنگت|جلد کی ہلکی رنگت|صنفی غیر جانبدار|نوجوان
	🧒🏼;بچہ: جلد کی درمیانی -ہلکی رنگت;بچہ|بچہ: جلد کی درمیانی -ہلکی رنگت|جلد کی درمیانی -ہلکی رنگت|صنفی غیر جانبدار|نوجوان
	🧒🏽;بچہ: جلد کی درمیانی رنگت;بچہ|بچہ: جلد کی درمیانی رنگت|جلد کی درمیانی رنگت|صنفی غیر جانبدار|نوجوان
	🧒🏾;بچہ: جلد کی درمیانی سیاہ رنگت;بچہ|بچہ: جلد کی درمیانی سیاہ رنگت|جلد کی درمیانی سیاہ رنگت|صنفی غیر جانبدار|نوجوان
	🧒🏿;بچہ: جلد کی سیاہ رنگت;بچہ|بچہ: جلد کی سیاہ رنگت|جلد کی سیاہ رنگت|صنفی غیر جانبدار|نوجوان
👦;لڑکا;انسان|لڑکا
	👦🏻;لڑکا: جلد کی ہلکی رنگت;انسان|جلد کی ہلکی رنگت|لڑکا|لڑکا: جلد کی ہلکی رنگت
	👦🏼;لڑکا: جلد کی درمیانی -ہلکی رنگت;انسان|جلد کی درمیانی -ہلکی رنگت|لڑکا|لڑکا: جلد کی درمیانی -ہلکی رنگت
	👦🏽;لڑکا: جلد کی درمیانی رنگت;انسان|جلد کی درمیانی رنگت|لڑکا|لڑکا: جلد کی درمیانی رنگت
	👦🏾;لڑکا: جلد کی درمیانی سیاہ رنگت;انسان|جلد کی درمیانی سیاہ رنگت|لڑکا|لڑکا: جلد کی درمیانی سیاہ رنگت
	👦🏿;لڑکا: جلد کی سیاہ رنگت;انسان|جلد کی سیاہ رنگت|لڑکا|لڑکا: جلد کی سیاہ رنگت
👧;لڑکی;انسان|لڑکی
	👧🏻;لڑکی: جلد کی ہلکی رنگت;انسان|جلد کی ہلکی رنگت|لڑکی|لڑکی: جلد کی ہلکی رنگت
	👧🏼;لڑکی: جلد کی درمیانی -ہلکی رنگت;انسان|جلد کی درمیانی -ہلکی رنگت|لڑکی|لڑکی: جلد کی درمیانی -ہلکی رنگت
	👧🏽;لڑکی: جلد کی درمیانی رنگت;انسان|جلد کی درمیانی رنگت|لڑکی|لڑکی: جلد کی درمیانی رنگت
	👧🏾;لڑکی: جلد کی درمیانی سیاہ رنگت;انسان|جلد کی درمیانی سیاہ رنگت|لڑکی|لڑکی: جلد کی درمیانی سیاہ رنگت
	👧🏿;لڑکی: جلد کی سیاہ رنگت;انسان|جلد کی سیاہ رنگت|لڑکی|لڑکی: جلد کی سیاہ رنگت
🧑;شخص;بالغ|شخص|صنفی غیر جانبدار
	🧑🏻;شخص: جلد کی ہلکی رنگت;بالغ|جلد کی ہلکی رنگت|شخص|شخص: جلد کی ہلکی رنگت|صنفی غیر جانبدار
	🧑🏼;شخص: جلد کی درمیانی -ہلکی رنگت;بالغ|جلد کی درمیانی -ہلکی رنگت|شخص|شخص: جلد کی درمیانی -ہلکی رنگت|صنفی غیر جانبدار
	🧑🏽;شخص: جلد کی درمیانی رنگت;بالغ|جلد کی درمیانی رنگت|شخص|شخص: جلد کی درمیانی رنگت|صنفی غیر جانبدار
	🧑🏾;شخص: جلد کی درمیانی سیاہ رنگت;بالغ|جلد کی درمیانی سیاہ رنگت|شخص|شخص: جلد کی درمیانی سیاہ رنگت|صنفی غیر جانبدار
	🧑🏿;شخص: جلد کی سیاہ رنگت;بالغ|جلد کی سیاہ رنگت|شخص|شخص: جلد کی سیاہ رنگت|صنفی غیر جانبدار
👱;سنہرے بالوں والا شخص;بال|بندہ|سنہرے|سنہرے بالوں والا شخص
	👱🏻;سنہرے بالوں والا شخص: جلد کی ہلکی رنگت;بال|بندہ|جلد کی ہلکی رنگت|سنہرے|سنہرے بالوں والا شخص|سنہرے بالوں والا شخص: جلد کی ہلکی رنگت
	👱🏼;سنہرے بالوں والا شخص: جلد کی درمیانی -ہلکی رنگت;بال|بندہ|جلد کی درمیانی -ہلکی رنگت|سنہرے|سنہرے بالوں والا شخص|سنہرے بالوں والا شخص: جلد کی درمیانی -ہلکی رنگت
	👱🏽;سنہرے بالوں والا شخص: جلد کی درمیانی رنگت;بال|بندہ|جلد کی درمیانی رنگت|سنہرے|سنہرے بالوں والا شخص|سنہرے بالوں والا شخص: جلد کی درمیانی رنگت
	👱🏾;سنہرے بالوں والا شخص: جلد کی درمیانی سیاہ رنگت;بال|بندہ|جلد کی درمیانی سیاہ رنگت|سنہرے|سنہرے بالوں والا شخص|سنہرے بالوں والا شخص: جلد کی درمیانی سیاہ رنگت
	👱🏿;سنہرے بالوں والا شخص: جلد کی سیاہ رنگت;بال|بندہ|جلد کی سیاہ رنگت|سنہرے|سنہرے بالوں والا شخص|سنہرے بالوں والا شخص: جلد کی سیاہ رنگت
👨;مرد;انسان|مرد
	👨🏻;مرد: جلد کی ہلکی رنگت;انسان|جلد کی ہلکی رنگت|مرد|مرد: جلد کی ہلکی رنگت
	👨🏼;مرد: جلد کی درمیانی -ہلکی رنگت;انسان|جلد کی درمیانی -ہلکی رنگت|مرد|مرد: جلد کی درمیانی -ہلکی رنگت
	👨🏽;مرد: جلد کی درمیانی رنگت;انسان|جلد کی درمیانی رنگت|مرد|مرد: جلد کی درمیانی رنگت
	👨🏾;مرد: جلد کی درمیانی سیاہ رنگت;انسان|جلد کی درمیانی سیاہ رنگت|مرد|مرد: جلد کی درمیانی سیاہ رنگت
	👨🏿;مرد: جلد کی سیاہ رنگت;انسان|جلد کی سیاہ رنگت|مرد|مرد: جلد کی سیاہ رنگت
🧔;داڑھی والا شخص;داڑھی|داڑھی والا شخص
	🧔🏻;داڑھی والا شخص: جلد کی ہلکی رنگت;جلد کی ہلکی رنگت|داڑھی|داڑھی والا شخص|داڑھی والا شخص: جلد کی ہلکی رنگت
	🧔🏼;داڑھی والا شخص: جلد کی درمیانی -ہلکی رنگت;جلد کی درمیانی -ہلکی رنگت|داڑھی|داڑھی والا شخص|داڑھی والا شخص: جلد کی درمیانی -ہلکی رنگت
	🧔🏽;داڑھی والا شخص: جلد کی درمیانی رنگت;جلد کی درمیانی رنگت|داڑھی|داڑھی والا شخص|داڑھی والا شخص: جلد کی درمیانی رنگت
	🧔🏾;داڑھی والا شخص: جلد کی درمیانی سیاہ رنگت;جلد کی درمیانی سیاہ رنگت|داڑھی|داڑھی والا شخص|داڑھی والا شخص: جلد کی درمیانی سیاہ رنگت
	🧔🏿;داڑھی والا شخص: جلد کی سیاہ رنگت;جلد کی سیاہ رنگت|داڑھی|داڑھی والا شخص|داڑھی والا شخص: جلد کی سیاہ رنگت
🧔‍♂️;مرد: داڑھی;داڑھی|مرد|مرد: داڑھی
	🧔🏻‍♂️;مرد: جلد کی ہلکی رنگت اور داڑھی;جلد کی ہلکی رنگت|داڑھی|مرد|مرد: جلد کی ہلکی رنگت اور داڑھی|مرد: داڑھی
	🧔🏼‍♂️;مرد: جلد کی درمیانی -ہلکی رنگت اور داڑھی;جلد کی درمیانی -ہلکی رنگت|داڑھی|مرد|مرد: جلد کی درمیانی -ہلکی رنگت اور داڑھی|مرد: داڑھی
	🧔🏽‍♂️;مرد: جلد کی درمیانی رنگت اور داڑھی;جلد کی درمیانی رنگت|داڑھی|مرد|مرد: جلد کی درمیانی رنگت اور داڑھی|مرد: داڑھی
	🧔🏾‍♂️;مرد: جلد کی درمیانی سیاہ رنگت اور داڑھی;جلد کی درمیانی سیاہ رنگت|داڑھی|مرد|مرد: جلد کی درمیانی سیاہ رنگت اور داڑھی|مرد: داڑھی
	🧔🏿‍♂️;مرد: جلد کی سیاہ رنگت اور داڑھی;جلد کی سیاہ رنگت|داڑھی|مرد|مرد: جلد کی سیاہ رنگت اور داڑھی|مرد: داڑھی
🧔‍♀️;عورت: داڑھی;داڑھی|عورت|عورت: داڑھی
	🧔🏻‍♀️;عورت: جلد کی ہلکی رنگت اور داڑھی;جلد کی ہلکی رنگت|داڑھی|عورت|عورت: جلد کی ہلکی رنگت اور داڑھی|عورت: داڑھی
	🧔🏼‍♀️;عورت: جلد کی درمیانی -ہلکی رنگت اور داڑھی;جلد کی درمیانی -ہلکی رنگت|داڑھی|عورت|عورت: جلد کی درمیانی -ہلکی رنگت اور داڑھی|عورت: داڑھی
	🧔🏽‍♀️;عورت: جلد کی درمیانی رنگت اور داڑھی;جلد کی درمیانی رنگت|داڑھی|عورت|عورت: جلد کی درمیانی رنگت اور داڑھی|عورت: داڑھی
	🧔🏾‍♀️;عورت: جلد کی درمیانی سیاہ رنگت اور داڑھی;جلد کی درمیانی سیاہ رنگت|داڑھی|عورت|عورت: جلد کی درمیانی سیاہ رنگت اور داڑھی|عورت: داڑھی
	🧔🏿‍♀️;عورت: جلد کی سیاہ رنگت اور داڑھی;جلد کی سیاہ رنگت|داڑھی|عورت|عورت: جلد کی سیاہ رنگت اور داڑھی|عورت: داڑھی
👨‍🦰;مرد: سرخ بال;انسان|سرخ بال|مرد|مرد: سرخ بال
	👨🏻‍🦰;مرد: جلد کی ہلکی رنگت اور سرخ بال;انسان|جلد کی ہلکی رنگت|سرخ بال|مرد|مرد: جلد کی ہلکی رنگت اور سرخ بال
	👨🏼‍🦰;مرد: جلد کی درمیانی -ہلکی رنگت اور سرخ بال;انسان|جلد کی درمیانی -ہلکی رنگت|سرخ بال|مرد|مرد: جلد کی درمیانی -ہلکی رنگت اور سرخ بال
	👨🏽‍🦰;مرد: جلد کی درمیانی رنگت اور سرخ بال;انسان|جلد کی درمیانی رنگت|سرخ بال|مرد|مرد: جلد کی درمیانی رنگت اور سرخ بال
	👨🏾‍🦰;مرد: جلد کی درمیانی سیاہ رنگت اور سرخ بال;انسان|جلد کی درمیانی سیاہ رنگت|سرخ بال|مرد|مرد: جلد کی درمیانی سیاہ رنگت اور سرخ بال
	👨🏿‍🦰;مرد: جلد کی سیاہ رنگت اور سرخ بال;انسان|جلد کی سیاہ رنگت|سرخ بال|مرد|مرد: جلد کی سیاہ رنگت اور سرخ بال
👨‍🦱;مرد: گھنگھریالے بال;انسان|گھنگھریالے بال|مرد|مرد: گھنگھریالے بال
	👨🏻‍🦱;مرد: جلد کی ہلکی رنگت اور گھنگھریالے بال;انسان|جلد کی ہلکی رنگت|گھنگھریالے بال|مرد|مرد: جلد کی ہلکی رنگت اور گھنگھریالے بال
	👨🏼‍🦱;مرد: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال;انسان|جلد کی درمیانی -ہلکی رنگت|گھنگھریالے بال|مرد|مرد: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال
	👨🏽‍🦱;مرد: جلد کی درمیانی رنگت اور گھنگھریالے بال;انسان|جلد کی درمیانی رنگت|گھنگھریالے بال|مرد|مرد: جلد کی درمیانی رنگت اور گھنگھریالے بال
	👨🏾‍🦱;مرد: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال;انسان|جلد کی درمیانی سیاہ رنگت|گھنگھریالے بال|مرد|مرد: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال
	👨🏿‍🦱;مرد: جلد کی سیاہ رنگت اور گھنگھریالے بال;انسان|جلد کی سیاہ رنگت|گھنگھریالے بال|مرد|مرد: جلد کی سیاہ رنگت اور گھنگھریالے بال
👨‍🦳;مرد: سفید بال;انسان|سفید بال|مرد|مرد: سفید بال
	👨🏻‍🦳;مرد: جلد کی ہلکی رنگت اور سفید بال;انسان|جلد کی ہلکی رنگت|سفید بال|مرد|مرد: جلد کی ہلکی رنگت اور سفید بال
	👨🏼‍🦳;مرد: جلد کی درمیانی -ہلکی رنگت اور سفید بال;انسان|جلد کی درمیانی -ہلکی رنگت|سفید بال|مرد|مرد: جلد کی درمیانی -ہلکی رنگت اور سفید بال
	👨🏽‍🦳;مرد: جلد کی درمیانی رنگت اور سفید بال;انسان|جلد کی درمیانی رنگت|سفید بال|مرد|مرد: جلد کی درمیانی رنگت اور سفید بال
	👨🏾‍🦳;مرد: جلد کی درمیانی سیاہ رنگت اور سفید بال;انسان|جلد کی درمیانی سیاہ رنگت|سفید بال|مرد|مرد: جلد کی درمیانی سیاہ رنگت اور سفید بال
	👨🏿‍🦳;مرد: جلد کی سیاہ رنگت اور سفید بال;انسان|جلد کی سیاہ رنگت|سفید بال|مرد|مرد: جلد کی سیاہ رنگت اور سفید بال
👨‍🦲;مرد: گنجا;انسان|گنجا|مرد|مرد: گنجا
	👨🏻‍🦲;مرد: جلد کی ہلکی رنگت اور گنجا;انسان|جلد کی ہلکی رنگت|گنجا|مرد|مرد: جلد کی ہلکی رنگت اور گنجا
	👨🏼‍🦲;مرد: جلد کی درمیانی -ہلکی رنگت اور گنجا;انسان|جلد کی درمیانی -ہلکی رنگت|گنجا|مرد|مرد: جلد کی درمیانی -ہلکی رنگت اور گنجا
	👨🏽‍🦲;مرد: جلد کی درمیانی رنگت اور گنجا;انسان|جلد کی درمیانی رنگت|گنجا|مرد|مرد: جلد کی درمیانی رنگت اور گنجا
	👨🏾‍🦲;مرد: جلد کی درمیانی سیاہ رنگت اور گنجا;انسان|جلد کی درمیانی سیاہ رنگت|گنجا|مرد|مرد: جلد کی درمیانی سیاہ رنگت اور گنجا
	👨🏿‍🦲;مرد: جلد کی سیاہ رنگت اور گنجا;انسان|جلد کی سیاہ رنگت|گنجا|مرد|مرد: جلد کی سیاہ رنگت اور گنجا
👩;عورت;انسان|عورت
	👩🏻;عورت: جلد کی ہلکی رنگت;انسان|جلد کی ہلکی رنگت|عورت|عورت: جلد کی ہلکی رنگت
	👩🏼;عورت: جلد کی درمیانی -ہلکی رنگت;انسان|جلد کی درمیانی -ہلکی رنگت|عورت|عورت: جلد کی درمیانی -ہلکی رنگت
	👩🏽;عورت: جلد کی درمیانی رنگت;انسان|جلد کی درمیانی رنگت|عورت|عورت: جلد کی درمیانی رنگت
	👩🏾;عورت: جلد کی درمیانی سیاہ رنگت;انسان|جلد کی درمیانی سیاہ رنگت|عورت|عورت: جلد کی درمیانی سیاہ رنگت
	👩🏿;عورت: جلد کی سیاہ رنگت;انسان|جلد کی سیاہ رنگت|عورت|عورت: جلد کی سیاہ رنگت
👩‍🦰;عورت: سرخ بال;انسان|سرخ بال|عورت|عورت: سرخ بال
	👩🏻‍🦰;عورت: جلد کی ہلکی رنگت اور سرخ بال;انسان|جلد کی ہلکی رنگت|سرخ بال|عورت|عورت: جلد کی ہلکی رنگت اور سرخ بال
	👩🏼‍🦰;عورت: جلد کی درمیانی -ہلکی رنگت اور سرخ بال;انسان|جلد کی درمیانی -ہلکی رنگت|سرخ بال|عورت|عورت: جلد کی درمیانی -ہلکی رنگت اور سرخ بال
	👩🏽‍🦰;عورت: جلد کی درمیانی رنگت اور سرخ بال;انسان|جلد کی درمیانی رنگت|سرخ بال|عورت|عورت: جلد کی درمیانی رنگت اور سرخ بال
	👩🏾‍🦰;عورت: جلد کی درمیانی سیاہ رنگت اور سرخ بال;انسان|جلد کی درمیانی سیاہ رنگت|سرخ بال|عورت|عورت: جلد کی درمیانی سیاہ رنگت اور سرخ بال
	👩🏿‍🦰;عورت: جلد کی سیاہ رنگت اور سرخ بال;انسان|جلد کی سیاہ رنگت|سرخ بال|عورت|عورت: جلد کی سیاہ رنگت اور سرخ بال
🧑‍🦰;شخص: سرخ بال;بالغ|سرخ بال|شخص|شخص: سرخ بال|صنفی غیر جانبدار
	🧑🏻‍🦰;شخص: جلد کی ہلکی رنگت اور سرخ بال;بالغ|جلد کی ہلکی رنگت|سرخ بال|شخص|شخص: جلد کی ہلکی رنگت اور سرخ بال|صنفی غیر جانبدار
	🧑🏼‍🦰;شخص: جلد کی درمیانی -ہلکی رنگت اور سرخ بال;بالغ|جلد کی درمیانی -ہلکی رنگت|سرخ بال|شخص|شخص: جلد کی درمیانی -ہلکی رنگت اور سرخ بال|صنفی غیر جانبدار
	🧑🏽‍🦰;شخص: جلد کی درمیانی رنگت اور سرخ بال;بالغ|جلد کی درمیانی رنگت|سرخ بال|شخص|شخص: جلد کی درمیانی رنگت اور سرخ بال|صنفی غیر جانبدار
	🧑🏾‍🦰;شخص: جلد کی درمیانی سیاہ رنگت اور سرخ بال;بالغ|جلد کی درمیانی سیاہ رنگت|سرخ بال|شخص|شخص: جلد کی درمیانی سیاہ رنگت اور سرخ بال|صنفی غیر جانبدار
	🧑🏿‍🦰;شخص: جلد کی سیاہ رنگت اور سرخ بال;بالغ|جلد کی سیاہ رنگت|سرخ بال|شخص|شخص: جلد کی سیاہ رنگت اور سرخ بال|صنفی غیر جانبدار
👩‍🦱;عورت: گھنگھریالے بال;انسان|عورت|عورت: گھنگھریالے بال|گھنگھریالے بال
	👩🏻‍🦱;عورت: جلد کی ہلکی رنگت اور گھنگھریالے بال;انسان|جلد کی ہلکی رنگت|عورت|عورت: جلد کی ہلکی رنگت اور گھنگھریالے بال|گھنگھریالے بال
	👩🏼‍🦱;عورت: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال;انسان|جلد کی درمیانی -ہلکی رنگت|عورت|عورت: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال|گھنگھریالے بال
	👩🏽‍🦱;عورت: جلد کی درمیانی رنگت اور گھنگھریالے بال;انسان|جلد کی درمیانی رنگت|عورت|عورت: جلد کی درمیانی رنگت اور گھنگھریالے بال|گھنگھریالے بال
	👩🏾‍🦱;عورت: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال;انسان|جلد کی درمیانی سیاہ رنگت|عورت|عورت: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال|گھنگھریالے بال
	👩🏿‍🦱;عورت: جلد کی سیاہ رنگت اور گھنگھریالے بال;انسان|جلد کی سیاہ رنگت|عورت|عورت: جلد کی سیاہ رنگت اور گھنگھریالے بال|گھنگھریالے بال
🧑‍🦱;شخص: گھنگھریالے بال;بالغ|شخص|شخص: گھنگھریالے بال|صنفی غیر جانبدار|گھنگھریالے بال
	🧑🏻‍🦱;شخص: جلد کی ہلکی رنگت اور گھنگھریالے بال;بالغ|جلد کی ہلکی رنگت|شخص|شخص: جلد کی ہلکی رنگت اور گھنگھریالے بال|صنفی غیر جانبدار|گھنگھریالے بال
	🧑🏼‍🦱;شخص: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال;بالغ|جلد کی درمیانی -ہلکی رنگت|شخص|شخص: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال|صنفی غیر جانبدار|گھنگھریالے بال
	🧑🏽‍🦱;شخص: جلد کی درمیانی رنگت اور گھنگھریالے بال;بالغ|جلد کی درمیانی رنگت|شخص|شخص: جلد کی درمیانی رنگت اور گھنگھریالے بال|صنفی غیر جانبدار|گھنگھریالے بال
	🧑🏾‍🦱;شخص: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال;بالغ|جلد کی درمیانی سیاہ رنگت|شخص|شخص: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال|صنفی غیر جانبدار|گھنگھریالے بال
	🧑🏿‍🦱;شخص: جلد کی سیاہ رنگت اور گھنگھریالے بال;بالغ|جلد کی سیاہ رنگت|شخص|شخص: جلد کی سیاہ رنگت اور گھنگھریالے بال|صنفی غیر جانبدار|گھنگھریالے بال
👩‍🦳;عورت: سفید بال;انسان|سفید بال|عورت|عورت: سفید بال
	👩🏻‍🦳;عورت: جلد کی ہلکی رنگت اور سفید بال;انسان|جلد کی ہلکی رنگت|سفید بال|عورت|عورت: جلد کی ہلکی رنگت اور سفید بال
	👩🏼‍🦳;عورت: جلد کی درمیانی -ہلکی رنگت اور سفید بال;انسان|جلد کی درمیانی -ہلکی رنگت|سفید بال|عورت|عورت: جلد کی درمیانی -ہلکی رنگت اور سفید بال
	👩🏽‍🦳;عورت: جلد کی درمیانی رنگت اور سفید بال;انسان|جلد کی درمیانی رنگت|سفید بال|عورت|عورت: جلد کی درمیانی رنگت اور سفید بال
	👩🏾‍🦳;عورت: جلد کی درمیانی سیاہ رنگت اور سفید بال;انسان|جلد کی درمیانی سیاہ رنگت|سفید بال|عورت|عورت: جلد کی درمیانی سیاہ رنگت اور سفید بال
	👩🏿‍🦳;عورت: جلد کی سیاہ رنگت اور سفید بال;انسان|جلد کی سیاہ رنگت|سفید بال|عورت|عورت: جلد کی سیاہ رنگت اور سفید بال
🧑‍🦳;شخص: سفید بال;بالغ|سفید بال|شخص|شخص: سفید بال|صنفی غیر جانبدار
	🧑🏻‍🦳;شخص: جلد کی ہلکی رنگت اور سفید بال;بالغ|جلد کی ہلکی رنگت|سفید بال|شخص|شخص: جلد کی ہلکی رنگت اور سفید بال|صنفی غیر جانبدار
	🧑🏼‍🦳;شخص: جلد کی درمیانی -ہلکی رنگت اور سفید بال;بالغ|جلد کی درمیانی -ہلکی رنگت|سفید بال|شخص|شخص: جلد کی درمیانی -ہلکی رنگت اور سفید بال|صنفی غیر جانبدار
	🧑🏽‍🦳;شخص: جلد کی درمیانی رنگت اور سفید بال;بالغ|جلد کی درمیانی رنگت|سفید بال|شخص|شخص: جلد کی درمیانی رنگت اور سفید بال|صنفی غیر جانبدار
