# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wyneb yn gwenu â cheg agored;lledwenu|wyneb|wyneb yn gwenu â cheg agored
	🧔🏻;person: arlliw croen golau, barf;arlliw croen golau|barf|dyn â barf|person barfog|person: arlliw croen golau, barf|person: barf
	🧔🏼;person: arlliw croen canolig-golau, barf;arlliw croen canolig-golau|barf|dyn â barf|person barfog|person: arlliw croen canolig-golau, barf|person: barf
	🧔🏽;person: arlliw croen canolog, barf;arlliw croen canolog|barf|dyn â barf|person barfog|person: arlliw croen canolog, barf|person: barf
	🧔🏾;person: arlliw croen canolig-tywyll, barf;arlliw croen canolig-tywyll|barf|dyn â barf|person barfog|person: arlliw croen canolig-tywyll, barf|person: barf
	🧔🏿;person: arlliw croen tywyll, barf;arlliw croen tywyll|barf|dyn â barf|person barfog|person: arlliw croen tywyll, barf|person: barf
🧔‍♂️;dyn: barf;barf|dyn|dyn: barf
	🧔🏻‍♂️;dyn: arlliw croen golau, barf;arlliw croen golau|barf|dyn|dyn: arlliw croen golau, barf|dyn: barf
	🧔🏼‍♂️;dyn: arlliw croen canolig-golau, barf;arlliw croen canolig-golau|barf|dyn|dyn: arlliw croen canolig-golau, barf|dyn: barf
	🧔🏽‍♂️;dyn: arlliw croen canolog, barf;arlliw croen canolog|barf|dyn|dyn: arlliw croen canolog, barf|dyn: barf
	🧔🏾‍♂️;dyn: arlliw croen canolig-tywyll, barf;arlliw croen canolig-tywyll|barf|dyn|dyn: arlliw croen canolig-tywyll, barf|dyn: barf
	🧔🏿‍♂️;dyn: arlliw croen tywyll, barf;arlliw croen tywyll|barf|dyn|dyn: arlliw croen tywyll, barf|dyn: barf
🧔‍♀️;menyw: barf;barf|fenyw|menyw: barf
	🧔🏻‍♀️;menyw: arlliw croen golau, barf;arlliw croen golau|barf|fenyw|menyw: arlliw croen golau, barf|menyw: barf
	🧔🏼‍♀️;menyw: arlliw croen canolig-golau, barf;arlliw croen canolig-golau|barf|fenyw|menyw: arlliw croen canolig-golau, barf|menyw: barf
	🧔🏽‍♀️;menyw: arlliw croen canolog, barf;arlliw croen canolog|barf|fenyw|menyw: arlliw croen canolog, barf|menyw: barf
	🧔🏾‍♀️;menyw: arlliw croen canolig-tywyll, barf;arlliw croen canolig-tywyll|barf|fenyw|menyw: arlliw croen canolig-tywyll, barf|menyw: barf
	🧔🏿‍♀️;menyw: arlliw croen tywyll, barf;arlliw croen tywyll|barf|fenyw|menyw: arlliw croen tywyll, barf|menyw: barf
👨‍🦰;dyn: gwallt coch;dyn|dyn: gwallt coch|gwallt coch|oedolyn
	👨🏻‍🦰;dyn: arlliw croen golau, gwallt coch;arlliw croen golau|dyn|dyn: arlliw croen golau, gwallt coch|gwallt coch|oedolyn
	👨🏼‍🦰;dyn: arlliw croen canolig-golau, gwallt coch;arlliw croen canolig-golau|dyn|dyn: arlliw croen canolig-golau, gwallt coch|gwallt coch|oedolyn
	👨🏽‍🦰;dyn: arlliw croen canolog, gwallt coch;arlliw croen canolog|dyn|dyn: arlliw croen canolog, gwallt coch|gwallt coch|oedolyn
	👨🏾‍🦰;dyn: arlliw croen canolig-tywyll, gwallt coch;arlliw croen canolig-tywyll|dyn|dyn: arlliw croen canolig-tywyll, gwallt coch|gwallt coch|oedolyn
	👨🏿‍🦰;dyn: arlliw croen tywyll, gwallt coch;arlliw croen tywyll|dyn|dyn: arlliw croen tywyll, gwallt coch|gwallt coch|oedolyn
👨‍🦱;dyn: gwallt cyrliog;dyn|dyn: gwallt cyrliog|gwallt cyrliog|oedolyn
	👨🏻‍🦱;dyn: arlliw croen golau, gwallt cyrliog;arlliw croen golau|dyn|dyn: arlliw croen golau, gwallt cyrliog|gwallt cyrliog|oedolyn
	👨🏼‍🦱;dyn: arlliw croen canolig-golau, gwallt cyrliog;arlliw croen canolig-golau|dyn|dyn: arlliw croen canolig-golau, gwallt cyrliog|gwallt cyrliog|oedolyn
	👨🏽‍🦱;dyn: arlliw croen canolog, gwallt cyrliog;arlliw croen canolog|dyn|dyn: arlliw croen canolog, gwallt cyrliog|gwallt cyrliog|oedolyn
	👨🏾‍🦱;dyn: arlliw croen canolig-tywyll, gwallt cyrliog;arlliw croen canolig-tywyll|dyn|dyn: arlliw croen canolig-tywyll, gwallt cyrliog|gwallt cyrliog|oedolyn
	👨🏿‍🦱;dyn: arlliw croen tywyll, gwallt cyrliog;arlliw croen tywyll|dyn|dyn: arlliw croen tywyll, gwallt cyrliog|gwallt cyrliog|oedolyn
👨‍🦳;dyn: gwallt gwyn;dyn|dyn: gwallt gwyn|gwallt gwyn|oedolyn
	👨🏻‍🦳;dyn: arlliw croen golau, gwallt gwyn;arlliw croen golau|dyn|dyn: arlliw croen golau, gwallt gwyn|gwallt gwyn|oedolyn
	👨🏼‍🦳;dyn: arlliw croen canolig-golau, gwallt gwyn;arlliw croen canolig-golau|dyn|dyn: arlliw croen canolig-golau, gwallt gwyn|gwallt gwyn|oedolyn
	👨🏽‍🦳;dyn: arlliw croen canolog, gwallt gwyn;arlliw croen canolog|dyn|dyn: arlliw croen canolog, gwallt gwyn|gwallt gwyn|oedolyn
	👨🏾‍🦳;dyn: arlliw croen canolig-tywyll, gwallt gwyn;arlliw croen canolig-tywyll|dyn|dyn: arlliw croen canolig-tywyll, gwallt gwyn|gwallt gwyn|oedolyn
	👨🏿‍🦳;dyn: arlliw croen tywyll, gwallt gwyn;arlliw croen tywyll|dyn|dyn: arlliw croen tywyll, gwallt gwyn|gwallt gwyn|oedolyn
👨‍🦲;dyn: moel;dyn|dyn: moel|moel|oedolyn
	👨🏻‍🦲;dyn: arlliw croen golau, moel;arlliw croen golau|dyn|dyn: arlliw croen golau, moel|moel|oedolyn
	👨🏼‍🦲;dyn: arlliw croen canolig-golau, moel;arlliw croen canolig-golau|dyn|dyn: arlliw croen canolig-golau, moel|moel|oedolyn
	👨🏽‍🦲;dyn: arlliw croen canolog, moel;arlliw croen canolog|dyn|dyn: arlliw croen canolog, moel|moel|oedolyn
	👨🏾‍🦲;dyn: arlliw croen canolig-tywyll, moel;arlliw croen canolig-tywyll|dyn|dyn: arlliw croen canolig-tywyll, moel|moel|oedolyn
	👨🏿‍🦲;dyn: arlliw croen tywyll, moel;arlliw croen tywyll|dyn|dyn: arlliw croen tywyll, moel|moel|oedolyn
👩;menyw;menyw|oedolyn
	👩🏻;menyw: arlliw croen golau;arlliw croen golau|menyw|menyw: arlliw croen golau|oedolyn
	👩🏼;menyw: arlliw croen canolig-golau;arlliw croen canolig-golau|menyw|menyw: arlliw croen canolig-golau|oedolyn
	👩🏽;menyw: arlliw croen canolog;arlliw croen canolog|menyw|menyw: arlliw croen canolog|oedolyn
	👩🏾;menyw: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|menyw|menyw: arlliw croen canolig-tywyll|oedolyn
	👩🏿;menyw: arlliw croen tywyll;arlliw croen tywyll|menyw|menyw: arlliw croen tywyll|oedolyn
👩‍🦰;menyw: gwallt coch;gwallt coch|menyw|menyw: gwallt coch|oedolyn
	👩🏻‍🦰;menyw: arlliw croen golau, gwallt coch;arlliw croen golau|gwallt coch|menyw|menyw: arlliw croen golau, gwallt coch|oedolyn
	👩🏼‍🦰;menyw: arlliw croen canolig-golau, gwallt coch;arlliw croen canolig-golau|gwallt coch|menyw|menyw: arlliw croen canolig-golau, gwallt coch|oedolyn
	👩🏽‍🦰;menyw: arlliw croen canolog, gwallt coch;arlliw croen canolog|gwallt coch|menyw|menyw: arlliw croen canolog, gwallt coch|oedolyn
	👩🏾‍🦰;menyw: arlliw croen canolig-tywyll, gwallt coch;arlliw croen canolig-tywyll|gwallt coch|menyw|menyw: arlliw croen canolig-tywyll, gwallt coch|oedolyn
	👩🏿‍🦰;menyw: arlliw croen tywyll, gwallt coch;arlliw croen tywyll|gwallt coch|menyw|menyw: arlliw croen tywyll, gwallt coch|oedolyn
🧑‍🦰;person: gwallt coch;gwallt coch|niwtral o ran rhywedd|oedolyn|person|person: gwallt coch
	🧑🏻‍🦰;person: arlliw croen golau, gwallt coch;arlliw croen golau|gwallt coch|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen golau, gwallt coch
	🧑🏼‍🦰;person: arlliw croen canolig-golau, gwallt coch;arlliw croen canolig-golau|gwallt coch|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-golau, gwallt coch
	🧑🏽‍🦰;person: arlliw croen canolog, gwallt coch;arlliw croen canolog|gwallt coch|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolog, gwallt coch
	🧑🏾‍🦰;person: arlliw croen canolig-tywyll, gwallt coch;arlliw croen canolig-tywyll|gwallt coch|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-tywyll, gwallt coch
	🧑🏿‍🦰;person: arlliw croen tywyll, gwallt coch;arlliw croen tywyll|gwallt coch|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen tywyll, gwallt coch
👩‍🦱;menyw: gwallt cyrliog;gwallt cyrliog|menyw|menyw: gwallt cyrliog|oedolyn
	👩🏻‍🦱;menyw: arlliw croen golau, gwallt cyrliog;arlliw croen golau|gwallt cyrliog|menyw|menyw: arlliw croen golau, gwallt cyrliog|oedolyn
	👩🏼‍🦱;menyw: arlliw croen canolig-golau, gwallt cyrliog;arlliw croen canolig-golau|gwallt cyrliog|menyw|menyw: arlliw croen canolig-golau, gwallt cyrliog|oedolyn
	👩🏽‍🦱;menyw: arlliw croen canolog, gwallt cyrliog;arlliw croen canolog|gwallt cyrliog|menyw|menyw: arlliw croen canolog, gwallt cyrliog|oedolyn
	👩🏾‍🦱;menyw: arlliw croen canolig-tywyll, gwallt cyrliog;arlliw croen canolig-tywyll|gwallt cyrliog|menyw|menyw: arlliw croen canolig-tywyll, gwallt cyrliog|oedolyn
	👩🏿‍🦱;menyw: arlliw croen tywyll, gwallt cyrliog;arlliw croen tywyll|gwallt cyrliog|menyw|menyw: arlliw croen tywyll, gwallt cyrliog|oedolyn
🧑‍🦱;person: gwallt cyrliog;gwallt cyrliog|niwtral o ran rhywedd|oedolyn|person|person: gwallt cyrliog
	🧑🏻‍🦱;person: arlliw croen golau, gwallt cyrliog;arlliw croen golau|gwallt cyrliog|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen golau, gwallt cyrliog
	🧑🏼‍🦱;person: arlliw croen canolig-golau, gwallt cyrliog;arlliw croen canolig-golau|gwallt cyrliog|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-golau, gwallt cyrliog
	🧑🏽‍🦱;person: arlliw croen canolog, gwallt cyrliog;arlliw croen canolog|gwallt cyrliog|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolog, gwallt cyrliog
	🧑🏾‍🦱;person: arlliw croen canolig-tywyll, gwallt cyrliog;arlliw croen canolig-tywyll|gwallt cyrliog|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-tywyll, gwallt cyrliog
	🧑🏿‍🦱;person: arlliw croen tywyll, gwallt cyrliog;arlliw croen tywyll|gwallt cyrliog|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen tywyll, gwallt cyrliog
👩‍🦳;menyw: gwallt gwyn;gwallt gwyn|menyw|menyw: gwallt gwyn|oedolyn
	👩🏻‍🦳;menyw: arlliw croen golau, gwallt gwyn;arlliw croen golau|gwallt gwyn|menyw|menyw: arlliw croen golau, gwallt gwyn|oedolyn
	👩🏼‍🦳;menyw: arlliw croen canolig-golau, gwallt gwyn;arlliw croen canolig-golau|gwallt gwyn|menyw|menyw: arlliw croen canolig-golau, gwallt gwyn|oedolyn
	👩🏽‍🦳;menyw: arlliw croen canolog, gwallt gwyn;arlliw croen canolog|gwallt gwyn|menyw|menyw: arlliw croen canolog, gwallt gwyn|oedolyn
	👩🏾‍🦳;menyw: arlliw croen canolig-tywyll, gwallt gwyn;arlliw croen canolig-tywyll|gwallt gwyn|menyw|menyw: arlliw croen canolig-tywyll, gwallt gwyn|oedolyn
	👩🏿‍🦳;menyw: arlliw croen tywyll, gwallt gwyn;arlliw croen tywyll|gwallt gwyn|menyw|menyw: arlliw croen tywyll, gwallt gwyn|oedolyn
🧑‍🦳;person: gwallt gwyn;gwallt gwyn|niwtral o ran rhywedd|oedolyn|person|person: gwallt gwyn
	🧑🏻‍🦳;person: arlliw croen golau, gwallt gwyn;arlliw croen golau|gwallt gwyn|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen golau, gwallt gwyn
	🧑🏼‍🦳;person: arlliw croen canolig-golau, gwallt gwyn;arlliw croen canolig-golau|gwallt gwyn|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-golau, gwallt gwyn
	🧑🏽‍🦳;person: arlliw croen canolog, gwallt gwyn;arlliw croen canolog|gwallt gwyn|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolog, gwallt gwyn
	🧑🏾‍🦳;person: arlliw croen canolig-tywyll, gwallt gwyn;arlliw croen canolig-tywyll|gwallt gwyn|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-tywyll, gwallt gwyn
	🧑🏿‍🦳;person: arlliw croen tywyll, gwallt gwyn;arlliw croen tywyll|gwallt gwyn|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen tywyll, gwallt gwyn
👩‍🦲;menyw: moel;menyw|menyw: moel|moel|oedolyn
	👩🏻‍🦲;menyw: arlliw croen golau, moel;arlliw croen golau|menyw|menyw: arlliw croen golau, moel|moel|oedolyn
	👩🏼‍🦲;menyw: arlliw croen canolig-golau, moel;arlliw croen canolig-golau|menyw|menyw: arlliw croen canolig-golau, moel|moel|oedolyn
	👩🏽‍🦲;menyw: arlliw croen canolog, moel;arlliw croen canolog|menyw|menyw: arlliw croen canolog, moel|moel|oedolyn
	👩🏾‍🦲;menyw: arlliw croen canolig-tywyll, moel;arlliw croen canolig-tywyll|menyw|menyw: arlliw croen canolig-tywyll, moel|moel|oedolyn
	👩🏿‍🦲;menyw: arlliw croen tywyll, moel;arlliw croen tywyll|menyw|menyw: arlliw croen tywyll, moel|moel|oedolyn
🧑‍🦲;person: moel;moel|niwtral o ran rhywedd|oedolyn|person|person: moel
	🧑🏻‍🦲;person: arlliw croen golau, moel;arlliw croen golau|moel|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen golau, moel
	🧑🏼‍🦲;person: arlliw croen canolig-golau, moel;arlliw croen canolig-golau|moel|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-golau, moel
	🧑🏽‍🦲;person: arlliw croen canolog, moel;arlliw croen canolog|moel|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolog, moel
	🧑🏾‍🦲;person: arlliw croen canolig-tywyll, moel;arlliw croen canolig-tywyll|moel|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen canolig-tywyll, moel
	🧑🏿‍🦲;person: arlliw croen tywyll, moel;arlliw croen tywyll|moel|niwtral o ran rhywedd|oedolyn|person|person: arlliw croen tywyll, moel
👱‍♀️;menyw â gwallt golau;blonde|gwallt golau|menyw|menyw â gwallt golau
	👱🏻‍♀️;menyw â gwallt golau: arlliw croen golau;arlliw croen golau|blonde|gwallt golau|menyw|menyw â gwallt golau|menyw â gwallt golau: arlliw croen golau
	👱🏼‍♀️;menyw â gwallt golau: arlliw croen canolig-golau;arlliw croen canolig-golau|blonde|gwallt golau|menyw|menyw â gwallt golau|menyw â gwallt golau: arlliw croen canolig-golau
	👱🏽‍♀️;menyw â gwallt golau: arlliw croen canolog;arlliw croen canolog|blonde|gwallt golau|menyw|menyw â gwallt golau|menyw â gwallt golau: arlliw croen canolog
	👱🏾‍♀️;menyw â gwallt golau: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|blonde|gwallt golau|menyw|menyw â gwallt golau|menyw â gwallt golau: arlliw croen canolig-tywyll
	👱🏿‍♀️;menyw â gwallt golau: arlliw croen tywyll;arlliw croen tywyll|blonde|gwallt golau|menyw|menyw â gwallt golau|menyw â gwallt golau: arlliw croen tywyll
👱‍♂️;dyn â gwallt golau;blond|dyn|dyn â gwallt golau|gwallt golau
	👱🏻‍♂️;dyn â gwallt golau: arlliw croen golau;arlliw croen golau|blond|dyn|dyn â gwallt golau|dyn â gwallt golau: arlliw croen golau|gwallt golau
	👱🏼‍♂️;dyn â gwallt golau: arlliw croen canolig-golau;arlliw croen canolig-golau|blond|dyn|dyn â gwallt golau|dyn â gwallt golau: arlliw croen canolig-golau|gwallt golau
	👱🏽‍♂️;dyn â gwallt golau: arlliw croen canolog;arlliw croen canolog|blond|dyn|dyn â gwallt golau|dyn â gwallt golau: arlliw croen canolog|gwallt golau
	👱🏾‍♂️;dyn â gwallt golau: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|blond|dyn|dyn â gwallt golau|dyn â gwallt golau: arlliw croen canolig-tywyll|gwallt golau
	👱🏿‍♂️;dyn â gwallt golau: arlliw croen tywyll;arlliw croen tywyll|blond|dyn|dyn â gwallt golau|dyn â gwallt golau: arlliw croen tywyll|gwallt golau
🧓;oedolyn oedranus;hen|niwtral o ran rhyw|oedolyn oedranus
	🧓🏻;oedolyn oedranus: arlliw croen golau;arlliw croen golau|hen|niwtral o ran rhyw|oedolyn oedranus|oedolyn oedranus: arlliw croen golau
	🧓🏼;oedolyn oedranus: arlliw croen canolig-golau;arlliw croen canolig-golau|hen|niwtral o ran rhyw|oedolyn oedranus|oedolyn oedranus: arlliw croen canolig-golau
	🧓🏽;oedolyn oedranus: arlliw croen canolog;arlliw croen canolog|hen|niwtral o ran rhyw|oedolyn oedranus|oedolyn oedranus: arlliw croen canolog
	🧓🏾;oedolyn oedranus: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|hen|niwtral o ran rhyw|oedolyn oedranus|oedolyn oedranus: arlliw croen canolig-tywyll
	🧓🏿;oedolyn oedranus: arlliw croen tywyll;arlliw croen tywyll|hen|niwtral o ran rhyw|oedolyn oedranus|oedolyn oedranus: arlliw croen tywyll
👴;hen ddyn;dyn|gwrywaidd|hen|hen ddyn
	👴🏻;hen ddyn: arlliw croen golau;arlliw croen golau|dyn|gwrywaidd|hen|hen ddyn|hen ddyn: arlliw croen golau
	👴🏼;hen ddyn: arlliw croen canolig-golau;arlliw croen canolig-golau|dyn|gwrywaidd|hen|hen ddyn|hen ddyn: arlliw croen canolig-golau
	👴🏽;hen ddyn: arlliw croen canolog;arlliw croen canolog|dyn|gwrywaidd|hen|hen ddyn|hen ddyn: arlliw croen canolog
	👴🏾;hen ddyn: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|dyn|gwrywaidd|hen|hen ddyn|hen ddyn: arlliw croen canolig-tywyll
	👴🏿;hen ddyn: arlliw croen tywyll;arlliw croen tywyll|dyn|gwrywaidd|hen|hen ddyn|hen ddyn: arlliw croen tywyll
👵;hen fenyw;benywaidd|hen|hen fenyw|menyw
	👵🏻;hen fenyw: arlliw croen golau;arlliw croen golau|benywaidd|hen|hen fenyw|hen fenyw: arlliw croen golau|menyw
	👵🏼;hen fenyw: arlliw croen canolig-golau;arlliw croen canolig-golau|benywaidd|hen|hen fenyw|hen fenyw: arlliw croen canolig-golau|menyw
	👵🏽;hen fenyw: arlliw croen canolog;arlliw croen canolog|benywaidd|hen|hen fenyw|hen fenyw: arlliw croen canolog|menyw
	👵🏾;hen fenyw: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|benywaidd|hen|hen fenyw|hen fenyw: arlliw croen canolig-tywyll|menyw
	👵🏿;hen fenyw: arlliw croen tywyll;arlliw croen tywyll|benywaidd|hen|hen fenyw|hen fenyw: arlliw croen tywyll|menyw
🙍;person yn gwgu;gwg|person yn gwgu|ystum
	🙍🏻;person yn gwgu: arlliw croen golau;arlliw croen golau|gwg|person yn gwgu|person yn gwgu: arlliw croen golau|ystum
	🙍🏼;person yn gwgu: arlliw croen canolig-golau;arlliw croen canolig-golau|gwg|person yn gwgu|person yn gwgu: arlliw croen canolig-golau|ystum
	🙍🏽;person yn gwgu: arlliw croen canolog;arlliw croen canolog|gwg|person yn gwgu|person yn gwgu: arlliw croen canolog|ystum
	🙍🏾;person yn gwgu: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|gwg|person yn gwgu|person yn gwgu: arlliw croen canolig-tywyll|ystum
	🙍🏿;person yn gwgu: arlliw croen tywyll;arlliw croen tywyll|gwg|person yn gwgu|person yn gwgu: arlliw croen tywyll|ystum
🙍‍♂️;dyn yn gwgu;dyn|dyn yn gwgu|gwgu|ystum
	🙍🏻‍♂️;dyn yn gwgu: arlliw croen golau;arlliw croen golau|dyn|dyn yn gwgu|dyn yn gwgu: arlliw croen golau|gwgu|ystum
	🙍🏼‍♂️;dyn yn gwgu: arlliw croen canolig-golau;arlliw croen canolig-golau|dyn|dyn yn gwgu|dyn yn gwgu: arlliw croen canolig-golau|gwgu|ystum
	🙍🏽‍♂️;dyn yn gwgu: arlliw croen canolog;arlliw croen canolog|dyn|dyn yn gwgu|dyn yn gwgu: arlliw croen canolog|gwgu|ystum
	🙍🏾‍♂️;dyn yn gwgu: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|dyn|dyn yn gwgu|dyn yn gwgu: arlliw croen canolig-tywyll|gwgu|ystum
	🙍🏿‍♂️;dyn yn gwgu: arlliw croen tywyll;arlliw croen tywyll|dyn|dyn yn gwgu|dyn yn gwgu: arlliw croen tywyll|gwgu|ystum
🙍‍♀️;menyw yn gwgu;gwgu|menyw|menyw yn gwgu|ystum
	🙍🏻‍♀️;menyw yn gwgu: arlliw croen golau;arlliw croen golau|gwgu|menyw|menyw yn gwgu|menyw yn gwgu: arlliw croen golau|ystum
	🙍🏼‍♀️;menyw yn gwgu: arlliw croen canolig-golau;arlliw croen canolig-golau|gwgu|menyw|menyw yn gwgu|menyw yn gwgu: arlliw croen canolig-golau|ystum
	🙍🏽‍♀️;menyw yn gwgu: arlliw croen canolog;arlliw croen canolog|gwgu|menyw|menyw yn gwgu|menyw yn gwgu: arlliw croen canolog|ystum
	🙍🏾‍♀️;menyw yn gwgu: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|gwgu|menyw|menyw yn gwgu|menyw yn gwgu: arlliw croen canolig-tywyll|ystum
	🙍🏿‍♀️;menyw yn gwgu: arlliw croen tywyll;arlliw croen tywyll|gwgu|menyw|menyw yn gwgu|menyw yn gwgu: arlliw croen tywyll|ystum
🙎;person yn pwdu;person yn pwdu|pwdu|ystum
	🙎🏻;person yn pwdu: arlliw croen golau;arlliw croen golau|person yn pwdu|person yn pwdu: arlliw croen golau|pwdu|ystum
	🙎🏼;person yn pwdu: arlliw croen canolig-golau;arlliw croen canolig-golau|person yn pwdu|person yn pwdu: arlliw croen canolig-golau|pwdu|ystum
	🙎🏽;person yn pwdu: arlliw croen canolog;arlliw croen canolog|person yn pwdu|person yn pwdu: arlliw croen canolog|pwdu|ystum
	🙎🏾;person yn pwdu: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|person yn pwdu|person yn pwdu: arlliw croen canolig-tywyll|pwdu|ystum
	🙎🏿;person yn pwdu: arlliw croen tywyll;arlliw croen tywyll|person yn pwdu|person yn pwdu: arlliw croen tywyll|pwdu|ystum
🙎‍♂️;dyn yn pwdu;dyn|dyn yn pwdu|pwdu|ystum
	🙎🏻‍♂️;dyn yn pwdu: arlliw croen golau;arlliw croen golau|dyn|dyn yn pwdu|dyn yn pwdu: arlliw croen golau|pwdu|ystum
	🙎🏼‍♂️;dyn yn pwdu: arlliw croen canolig-golau;arlliw croen canolig-golau|dyn|dyn yn pwdu|dyn yn pwdu: arlliw croen canolig-golau|pwdu|ystum
	🙎🏽‍♂️;dyn yn pwdu: arlliw croen canolog;arlliw croen canolog|dyn|dyn yn pwdu|dyn yn pwdu: arlliw croen canolog|pwdu|ystum
	🙎🏾‍♂️;dyn yn pwdu: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|dyn|dyn yn pwdu|dyn yn pwdu: arlliw croen canolig-tywyll|pwdu|ystum
	🙎🏿‍♂️;dyn yn pwdu: arlliw croen tywyll;arlliw croen tywyll|dyn|dyn yn pwdu|dyn yn pwdu: arlliw croen tywyll|pwdu|ystum
🙎‍♀️;menyw yn pwdu;menyw|menyw yn pwdu|pwdu|ystum
	🙎🏻‍♀️;menyw yn pwdu: arlliw croen golau;arlliw croen golau|menyw|menyw yn pwdu|menyw yn pwdu: arlliw croen golau|pwdu|ystum
	🙎🏼‍♀️;menyw yn pwdu: arlliw croen canolig-golau;arlliw croen canolig-golau|menyw|menyw yn pwdu|menyw yn pwdu: arlliw croen canolig-golau|pwdu|ystum
	🙎🏽‍♀️;menyw yn pwdu: arlliw croen canolog;arlliw croen canolog|menyw|menyw yn pwdu|menyw yn pwdu: arlliw croen canolog|pwdu|ystum
	🙎🏾‍♀️;menyw yn pwdu: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|menyw|menyw yn pwdu|menyw yn pwdu: arlliw croen canolig-tywyll|pwdu|ystum
	🙎🏿‍♀️;menyw yn pwdu: arlliw croen tywyll;arlliw croen tywyll|menyw|menyw yn pwdu|menyw yn pwdu: arlliw croen tywyll|pwdu|ystum
🙅;person yn ystumio nad yw’n iawn;gwaharddedig|llaw|na|person yn ystumio nad yw’n iawn|ystum
	🙅🏻;person yn ystumio nad yw’n iawn: arlliw croen golau;arlliw croen golau|gwaharddedig|llaw|na|person yn ystumio nad yw’n iawn|person yn ystumio nad yw’n iawn: arlliw croen golau|ystum
	🙅🏼;person yn ystumio nad yw’n iawn: arlliw croen canolig-golau;arlliw croen canolig-golau|gwaharddedig|llaw|na|person yn ystumio nad yw’n iawn|person yn ystumio nad yw’n iawn: arlliw croen canolig-golau|ystum
	🙅🏽;person yn ystumio nad yw’n iawn: arlliw croen canolog;arlliw croen canolog|gwaharddedig|llaw|na|person yn ystumio nad yw’n iawn|person yn ystumio nad yw’n iawn: arlliw croen canolog|ystum
	🙅🏾;person yn ystumio nad yw’n iawn: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|gwaharddedig|llaw|na|person yn ystumio nad yw’n iawn|person yn ystumio nad yw’n iawn: arlliw croen canolig-tywyll|ystum
	🙅🏿;person yn ystumio nad yw’n iawn: arlliw croen tywyll;arlliw croen tywyll|gwaharddedig|llaw|na|person yn ystumio nad yw’n iawn|person yn ystumio nad yw’n iawn: arlliw croen tywyll|ystum
🙅‍♂️;dyn yn ystumio nad yw’n iawn;dyn|dyn yn ystumio nad yw’n iawn|gwaharddedig|na|ystum
	🙅🏻‍♂️;dyn yn ystumio nad yw’n iawn: arlliw croen golau;arlliw croen golau|dyn|dyn yn ystumio nad yw’n iawn|dyn yn ystumio nad yw’n iawn: arlliw croen golau|gwaharddedig|na|ystum
	🙅🏼‍♂️;dyn yn ystumio nad yw’n iawn: arlliw croen canolig-golau;arlliw croen canolig-golau|dyn|dyn yn ystumio nad yw’n iawn|dyn yn ystumio nad yw’n iawn: arlliw croen canolig-golau|gwaharddedig|na|ystum
	🙅🏽‍♂️;dyn yn ystumio nad yw’n iawn: arlliw croen canolog;arlliw croen canolog|dyn|dyn yn ystumio nad yw’n iawn|dyn yn ystumio nad yw’n iawn: arlliw croen canolog|gwaharddedig|na|ystum
	🙅🏾‍♂️;dyn yn ystumio nad yw’n iawn: arlliw croen canolig-tywyll;arlliw croen canolig-tywyll|dyn|dyn yn ystumio nad yw’n iawn|dyn yn ystumio nad yw’n iawn: arlliw croen canolig-tywyll|gwaharddedig|na|ystum
	🙅🏿‍♂️;dyn yn ystumio nad yw’n iawn: arlliw croen tywyll;arlliw croen tywyll|dyn|dyn yn ystumio nad yw’n iawn|dyn yn ystumio nad yw’n iawn: arlliw croen tywyll|gwaharddedig|na|ystum
