# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	🧓🏽;калонсоли пир: ранги миёнаи пӯст;баробарии ҷинсҳо|калонсоли пир|калонсоли пир: ранги миёнаи пӯст|пир|ранги миёнаи пӯст
	🧓🏾;калонсоли пир: ранги торики миёнаи пӯст;баробарии ҷинсҳо|калонсоли пир|калонсоли пир: ранги торики миёнаи пӯст|пир|ранги торики миёнаи пӯст
	🧓🏿;калонсоли пир: ранги торики пӯст;баробарии ҷинсҳо|калонсоли пир|калонсоли пир: ранги торики пӯст|пир|ранги торики пӯст
👴;марди пир;мард|марди пир|пир
	👴🏻;марди пир: ранги равшани пӯст;мард|марди пир|марди пир: ранги равшани пӯст|пир|ранги равшани пӯст
	👴🏼;марди пир: ранги равшании миёнаи пӯст;мард|марди пир|марди пир: ранги равшании миёнаи пӯст|пир|ранги равшании миёнаи пӯст
	👴🏽;марди пир: ранги миёнаи пӯст;мард|марди пир|марди пир: ранги миёнаи пӯст|пир|ранги миёнаи пӯст
	👴🏾;марди пир: ранги торики миёнаи пӯст;мард|марди пир|марди пир: ранги торики миёнаи пӯст|пир|ранги торики миёнаи пӯст
	👴🏿;марди пир: ранги торики пӯст;мард|марди пир|марди пир: ранги торики пӯст|пир|ранги торики пӯст
👵;зани пир;зан|зани пир|пир
	👵🏻;зани пир: ранги равшани пӯст;зан|зани пир|зани пир: ранги равшани пӯст|пир|ранги равшани пӯст
	👵🏼;зани пир: ранги равшании миёнаи пӯст;зан|зани пир|зани пир: ранги равшании миёнаи пӯст|пир|ранги равшании миёнаи пӯст
	👵🏽;зани пир: ранги миёнаи пӯст;зан|зани пир|зани пир: ранги миёнаи пӯст|пир|ранги миёнаи пӯст
	👵🏾;зани пир: ранги торики миёнаи пӯст;зан|зани пир|зани пир: ранги торики миёнаи пӯст|пир|ранги торики миёнаи пӯст
	👵🏿;зани пир: ранги торики пӯст;зан|зани пир|зани пир: ранги торики пӯст|пир|ранги торики пӯст
🙍;шахсе, ки қавоқ андохта истодааст;имову ишора|ки қавоқ андохта истодааст|қавоқ андохтан|шахсе|шахсе, ки қавоқ андохта истодааст
	🙍🏻;шахсе, ки қавоқ андохта истодааст: ранги равшани пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқ андохтан|ранги равшани пӯст|шахсе|шахсе, ки қавоқ андохта истодааст|шахсе, ки қавоқ андохта истодааст: ранги равшани пӯст
	🙍🏼;шахсе, ки қавоқ андохта истодааст: ранги равшании миёнаи пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқ андохтан|ранги равшании миёнаи пӯст|шахсе|шахсе, ки қавоқ андохта истодааст|шахсе, ки қавоқ андохта истодааст: ранги равшании миёнаи пӯст
	🙍🏽;шахсе, ки қавоқ андохта истодааст: ранги миёнаи пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқ андохтан|ранги миёнаи пӯст|шахсе|шахсе, ки қавоқ андохта истодааст|шахсе, ки қавоқ андохта истодааст: ранги миёнаи пӯст
	🙍🏾;шахсе, ки қавоқ андохта истодааст: ранги торики миёнаи пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқ андохтан|ранги торики миёнаи пӯст|шахсе|шахсе, ки қавоқ андохта истодааст|шахсе, ки қавоқ андохта истодааст: ранги торики миёнаи пӯст
	🙍🏿;шахсе, ки қавоқ андохта истодааст: ранги торики пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқ андохтан|ранги торики пӯст|шахсе|шахсе, ки қавоқ андохта истодааст|шахсе, ки қавоқ андохта истодааст: ранги торики пӯст
🙍‍♂️;марде, ки қавоқ андохта истодааст;имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|мард|марде|марде, ки қавоқ андохта истодааст
	🙍🏻‍♂️;марде, ки қавоқ андохта истодааст: ранги равшани пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|мард|марде|марде, ки қавоқ андохта истодааст|марде, ки қавоқ андохта истодааст: ранги равшани пӯст|ранги равшани пӯст
	🙍🏼‍♂️;марде, ки қавоқ андохта истодааст: ранги равшании миёнаи пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|мард|марде|марде, ки қавоқ андохта истодааст|марде, ки қавоқ андохта истодааст: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст
	🙍🏽‍♂️;марде, ки қавоқ андохта истодааст: ранги миёнаи пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|мард|марде|марде, ки қавоқ андохта истодааст|марде, ки қавоқ андохта истодааст: ранги миёнаи пӯст|ранги миёнаи пӯст
	🙍🏾‍♂️;марде, ки қавоқ андохта истодааст: ранги торики миёнаи пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|мард|марде|марде, ки қавоқ андохта истодааст|марде, ки қавоқ андохта истодааст: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст
	🙍🏿‍♂️;марде, ки қавоқ андохта истодааст: ранги торики пӯст;имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|мард|марде|марде, ки қавоқ андохта истодааст|марде, ки қавоқ андохта истодааст: ранги торики пӯст|ранги торики пӯст
🙍‍♀️;зане, ки қавоқ андохта истодааст;зан|зане|зане, ки қавоқ андохта истодааст|имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ
	🙍🏻‍♀️;зане, ки қавоқ андохта истодааст: ранги равшани пӯст;зан|зане|зане, ки қавоқ андохта истодааст|зане, ки қавоқ андохта истодааст: ранги равшани пӯст|имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|ранги равшани пӯст
	🙍🏼‍♀️;зане, ки қавоқ андохта истодааст: ранги равшании миёнаи пӯст;зан|зане|зане, ки қавоқ андохта истодааст|зане, ки қавоқ андохта истодааст: ранги равшании миёнаи пӯст|имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|ранги равшании миёнаи пӯст
	🙍🏽‍♀️;зане, ки қавоқ андохта истодааст: ранги миёнаи пӯст;зан|зане|зане, ки қавоқ андохта истодааст|зане, ки қавоқ андохта истодааст: ранги миёнаи пӯст|имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|ранги миёнаи пӯст
	🙍🏾‍♀️;зане, ки қавоқ андохта истодааст: ранги торики миёнаи пӯст;зан|зане|зане, ки қавоқ андохта истодааст|зане, ки қавоқ андохта истодааст: ранги торики миёнаи пӯст|имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|ранги торики миёнаи пӯст
	🙍🏿‍♀️;зане, ки қавоқ андохта истодааст: ранги торики пӯст;зан|зане|зане, ки қавоқ андохта истодааст|зане, ки қавоқ андохта истодааст: ранги торики пӯст|имову ишора|ки қавоқ андохта истодааст|қавоқандозӣ|ранги торики пӯст
🙎;шахсе, ки лабҳояшро каҷ карда истодааст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|шахсе|шахсе, ки лабҳояшро каҷ карда истодааст
	🙎🏻;шахсе, ки лабҳояшро каҷ карда истодааст: ранги равшани пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги равшани пӯст|шахсе|шахсе, ки лабҳояшро каҷ карда истодааст|шахсе, ки лабҳояшро каҷ карда истодааст: ранги равшани пӯст
	🙎🏼;шахсе, ки лабҳояшро каҷ карда истодааст: ранги равшании миёнаи пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги равшании миёнаи пӯст|шахсе|шахсе, ки лабҳояшро каҷ карда истодааст|шахсе, ки лабҳояшро каҷ карда истодааст: ранги равшании миёнаи пӯст
	🙎🏽;шахсе, ки лабҳояшро каҷ карда истодааст: ранги миёнаи пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги миёнаи пӯст|шахсе|шахсе, ки лабҳояшро каҷ карда истодааст|шахсе, ки лабҳояшро каҷ карда истодааст: ранги миёнаи пӯст
	🙎🏾;шахсе, ки лабҳояшро каҷ карда истодааст: ранги торики миёнаи пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги торики миёнаи пӯст|шахсе|шахсе, ки лабҳояшро каҷ карда истодааст|шахсе, ки лабҳояшро каҷ карда истодааст: ранги торики миёнаи пӯст
	🙎🏿;шахсе, ки лабҳояшро каҷ карда истодааст: ранги торики пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги торики пӯст|шахсе|шахсе, ки лабҳояшро каҷ карда истодааст|шахсе, ки лабҳояшро каҷ карда истодааст: ранги торики пӯст
🙎‍♂️;марде, ки лабҳояшро каҷ карда истодааст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|мард|марде|марде, ки лабҳояшро каҷ карда истодааст
	🙎🏻‍♂️;марде, ки лабҳояшро каҷ карда истодааст: ранги равшани пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|мард|марде|марде, ки лабҳояшро каҷ карда истодааст|марде, ки лабҳояшро каҷ карда истодааст: ранги равшани пӯст|ранги равшани пӯст
	🙎🏼‍♂️;марде, ки лабҳояшро каҷ карда истодааст: ранги равшании миёнаи пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|мард|марде|марде, ки лабҳояшро каҷ карда истодааст|марде, ки лабҳояшро каҷ карда истодааст: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст
	🙎🏽‍♂️;марде, ки лабҳояшро каҷ карда истодааст: ранги миёнаи пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|мард|марде|марде, ки лабҳояшро каҷ карда истодааст|марде, ки лабҳояшро каҷ карда истодааст: ранги миёнаи пӯст|ранги миёнаи пӯст
	🙎🏾‍♂️;марде, ки лабҳояшро каҷ карда истодааст: ранги торики миёнаи пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|мард|марде|марде, ки лабҳояшро каҷ карда истодааст|марде, ки лабҳояшро каҷ карда истодааст: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст
	🙎🏿‍♂️;марде, ки лабҳояшро каҷ карда истодааст: ранги торики пӯст;имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|мард|марде|марде, ки лабҳояшро каҷ карда истодааст|марде, ки лабҳояшро каҷ карда истодааст: ранги торики пӯст|ранги торики пӯст
🙎‍♀️;зане, ки лабҳояшро каҷ карда истодааст;зан|зане|зане, ки лабҳояшро каҷ карда истодааст|имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст
	🙎🏻‍♀️;зане, ки лабҳояшро каҷ карда истодааст: ранги равшани пӯст;зан|зане|зане, ки лабҳояшро каҷ карда истодааст|зане, ки лабҳояшро каҷ карда истодааст: ранги равшани пӯст|имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги равшани пӯст
	🙎🏼‍♀️;зане, ки лабҳояшро каҷ карда истодааст: ранги равшании миёнаи пӯст;зан|зане|зане, ки лабҳояшро каҷ карда истодааст|зане, ки лабҳояшро каҷ карда истодааст: ранги равшании миёнаи пӯст|имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги равшании миёнаи пӯст
	🙎🏽‍♀️;зане, ки лабҳояшро каҷ карда истодааст: ранги миёнаи пӯст;зан|зане|зане, ки лабҳояшро каҷ карда истодааст|зане, ки лабҳояшро каҷ карда истодааст: ранги миёнаи пӯст|имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги миёнаи пӯст
	🙎🏾‍♀️;зане, ки лабҳояшро каҷ карда истодааст: ранги торики миёнаи пӯст;зан|зане|зане, ки лабҳояшро каҷ карда истодааст|зане, ки лабҳояшро каҷ карда истодааст: ранги торики миёнаи пӯст|имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги торики миёнаи пӯст
	🙎🏿‍♀️;зане, ки лабҳояшро каҷ карда истодааст: ранги торики пӯст;зан|зане|зане, ки лабҳояшро каҷ карда истодааст|зане, ки лабҳояшро каҷ карда истодааст: ранги торики пӯст|имову ишора|каҷкунии лаб|ки лабҳояшро каҷ карда истодааст|ранги торики пӯст
🙅;шахсе, ки &quot;НЕ&quot; ишора карда истодааст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|шахсе|шахсе, ки &quot;НЕ&quot; ишора карда истодааст
	🙅🏻;шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшани пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги равшани пӯст|шахсе|шахсе, ки &quot;НЕ&quot; ишора карда истодааст|шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшани пӯст
	🙅🏼;шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшании миёнаи пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги равшании миёнаи пӯст|шахсе|шахсе, ки &quot;НЕ&quot; ишора карда истодааст|шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшании миёнаи пӯст
	🙅🏽;шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги миёнаи пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги миёнаи пӯст|шахсе|шахсе, ки &quot;НЕ&quot; ишора карда истодааст|шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги миёнаи пӯст
	🙅🏾;шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики миёнаи пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги торики миёнаи пӯст|шахсе|шахсе, ки &quot;НЕ&quot; ишора карда истодааст|шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики миёнаи пӯст
	🙅🏿;шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги торики пӯст|шахсе|шахсе, ки &quot;НЕ&quot; ишора карда истодааст|шахсе, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики пӯст
🙅‍♂️;марде, ки &quot;НЕ&quot; ишора карда истодааст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|мард|марде|марде, ки &quot;НЕ&quot; ишора карда истодааст|не
	🙅🏻‍♂️;марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшани пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|мард|марде|марде, ки &quot;НЕ&quot; ишора карда истодааст|марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшани пӯст|не|ранги равшани пӯст
	🙅🏼‍♂️;марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшании миёнаи пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|мард|марде|марде, ки &quot;НЕ&quot; ишора карда истодааст|марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшании миёнаи пӯст|не|ранги равшании миёнаи пӯст
	🙅🏽‍♂️;марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги миёнаи пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|мард|марде|марде, ки &quot;НЕ&quot; ишора карда истодааст|марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги миёнаи пӯст|не|ранги миёнаи пӯст
	🙅🏾‍♂️;марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики миёнаи пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|мард|марде|марде, ки &quot;НЕ&quot; ишора карда истодааст|марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики миёнаи пӯст|не|ранги торики миёнаи пӯст
	🙅🏿‍♂️;марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики пӯст;даст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|мард|марде|марде, ки &quot;НЕ&quot; ишора карда истодааст|марде, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики пӯст|не|ранги торики пӯст
🙅‍♀️;зане, ки &quot;НЕ&quot; ишора карда истодааст;даст|зан|зане|зане, ки &quot;НЕ&quot; ишора карда истодааст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не
	🙅🏻‍♀️;зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшани пӯст;даст|зан|зане|зане, ки &quot;НЕ&quot; ишора карда истодааст|зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшани пӯст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги равшани пӯст
	🙅🏼‍♀️;зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшании миёнаи пӯст;даст|зан|зане|зане, ки &quot;НЕ&quot; ишора карда истодааст|зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги равшании миёнаи пӯст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги равшании миёнаи пӯст
	🙅🏽‍♀️;зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги миёнаи пӯст;даст|зан|зане|зане, ки &quot;НЕ&quot; ишора карда истодааст|зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги миёнаи пӯст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги миёнаи пӯст
	🙅🏾‍♀️;зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики миёнаи пӯст;даст|зан|зане|зане, ки &quot;НЕ&quot; ишора карда истодааст|зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики миёнаи пӯст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги торики миёнаи пӯст
	🙅🏿‍♀️;зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики пӯст;даст|зан|зане|зане, ки &quot;НЕ&quot; ишора карда истодааст|зане, ки &quot;НЕ&quot; ишора карда истодааст: ранги торики пӯст|имову ишора|ки &quot;НЕ&quot; ишора карда истодааст|мамнуъ|манъшуда|не|ранги торики пӯст
🙆;шахсе, ки &quot;ОК&quot; ишора карда истодааст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|шахсе|шахсе, ки &quot;ОК&quot; ишора карда истодааст
	🙆🏻;шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги равшани пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги равшани пӯст|шахсе|шахсе, ки &quot;ОК&quot; ишора карда истодааст|шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги равшани пӯст
	🙆🏼;шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги равшании миёнаи пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги равшании миёнаи пӯст|шахсе|шахсе, ки &quot;ОК&quot; ишора карда истодааст|шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги равшании миёнаи пӯст
	🙆🏽;шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги миёнаи пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги миёнаи пӯст|шахсе|шахсе, ки &quot;ОК&quot; ишора карда истодааст|шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги миёнаи пӯст
	🙆🏾;шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги торики миёнаи пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги торики миёнаи пӯст|шахсе|шахсе, ки &quot;ОК&quot; ишора карда истодааст|шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги торики миёнаи пӯст
	🙆🏿;шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги торики пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги торики пӯст|шахсе|шахсе, ки &quot;ОК&quot; ишора карда истодааст|шахсе, ки &quot;ОК&quot; ишора карда истодааст: ранги торики пӯст
🙆‍♂️;марде, ки &quot;ОК&quot; ишора карда истодааст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|мард|марде|марде, ки &quot;ОК&quot; ишора карда истодааст|ОК
	🙆🏻‍♂️;марде, ки &quot;ОК&quot; ишора карда истодааст: ранги равшани пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|мард|марде|марде, ки &quot;ОК&quot; ишора карда истодааст|марде, ки &quot;ОК&quot; ишора карда истодааст: ранги равшани пӯст|ОК|ранги равшани пӯст
	🙆🏼‍♂️;марде, ки &quot;ОК&quot; ишора карда истодааст: ранги равшании миёнаи пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|мард|марде|марде, ки &quot;ОК&quot; ишора карда истодааст|марде, ки &quot;ОК&quot; ишора карда истодааст: ранги равшании миёнаи пӯст|ОК|ранги равшании миёнаи пӯст
	🙆🏽‍♂️;марде, ки &quot;ОК&quot; ишора карда истодааст: ранги миёнаи пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|мард|марде|марде, ки &quot;ОК&quot; ишора карда истодааст|марде, ки &quot;ОК&quot; ишора карда истодааст: ранги миёнаи пӯст|ОК|ранги миёнаи пӯст
	🙆🏾‍♂️;марде, ки &quot;ОК&quot; ишора карда истодааст: ранги торики миёнаи пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|мард|марде|марде, ки &quot;ОК&quot; ишора карда истодааст|марде, ки &quot;ОК&quot; ишора карда истодааст: ранги торики миёнаи пӯст|ОК|ранги торики миёнаи пӯст
	🙆🏿‍♂️;марде, ки &quot;ОК&quot; ишора карда истодааст: ранги торики пӯст;даст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|мард|марде|марде, ки &quot;ОК&quot; ишора карда истодааст|марде, ки &quot;ОК&quot; ишора карда истодааст: ранги торики пӯст|ОК|ранги торики пӯст
🙆‍♀️;зане, ки &quot;ОК&quot; ишора карда истодааст;даст|зан|зане|зане, ки &quot;ОК&quot; ишора карда истодааст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК
	🙆🏻‍♀️;зане, ки &quot;ОК&quot; ишора карда истодааст: ранги равшани пӯст;даст|зан|зане|зане, ки &quot;ОК&quot; ишора карда истодааст|зане, ки &quot;ОК&quot; ишора карда истодааст: ранги равшани пӯст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги равшани пӯст
	🙆🏼‍♀️;зане, ки &quot;ОК&quot; ишора карда истодааст: ранги равшании миёнаи пӯст;даст|зан|зане|зане, ки &quot;ОК&quot; ишора карда истодааст|зане, ки &quot;ОК&quot; ишора карда истодааст: ранги равшании миёнаи пӯст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги равшании миёнаи пӯст
	🙆🏽‍♀️;зане, ки &quot;ОК&quot; ишора карда истодааст: ранги миёнаи пӯст;даст|зан|зане|зане, ки &quot;ОК&quot; ишора карда истодааст|зане, ки &quot;ОК&quot; ишора карда истодааст: ранги миёнаи пӯст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги миёнаи пӯст
	🙆🏾‍♀️;зане, ки &quot;ОК&quot; ишора карда истодааст: ранги торики миёнаи пӯст;даст|зан|зане|зане, ки &quot;ОК&quot; ишора карда истодааст|зане, ки &quot;ОК&quot; ишора карда истодааст: ранги торики миёнаи пӯст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги торики миёнаи пӯст
	🙆🏿‍♀️;зане, ки &quot;ОК&quot; ишора карда истодааст: ранги торики пӯст;даст|зан|зане|зане, ки &quot;ОК&quot; ишора карда истодааст|зане, ки &quot;ОК&quot; ишора карда истодааст: ранги торики пӯст|имову ишора|ки &quot;ОК&quot; ишора карда истодааст|ОК|ранги торики пӯст
💁;шахсе, ки бо дасташ ишора карда истодааст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст
	💁🏻;шахсе, ки бо дасташ ишора карда истодааст: ранги равшани пӯст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|ранги равшани пӯст|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст|шахсе, ки бо дасташ ишора карда истодааст: ранги равшани пӯст
	💁🏼;шахсе, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|ранги равшании миёнаи пӯст|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст|шахсе, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст
	💁🏽;шахсе, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|ранги миёнаи пӯст|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст|шахсе, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст
	💁🏾;шахсе, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|ранги торики миёнаи пӯст|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст|шахсе, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст
	💁🏿;шахсе, ки бо дасташ ишора карда истодааст: ранги торики пӯст;густох|даст|ки бо дасташ ишора карда истодааст|кӯмак|маълумот|ранги торики пӯст|чаппакунӣ|шахсе|шахсе, ки бо дасташ ишора карда истодааст|шахсе, ки бо дасташ ишора карда истодааст: ранги торики пӯст
💁‍♂️;марде, ки бо дасташ ишора карда истодааст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст
	💁🏻‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги равшани пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|марде, ки бо дасташ ишора карда истодааст: ранги равшани пӯст|ранги равшани пӯст
	💁🏼‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|марде, ки бо дасташ ишора карда истодааст: ранги равшании миёнаи пӯст|ранги равшании миёнаи пӯст
	💁🏽‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|марде, ки бо дасташ ишора карда истодааст: ранги миёнаи пӯст|ранги миёнаи пӯст
	💁🏾‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|марде, ки бо дасташ ишора карда истодааст: ранги торики миёнаи пӯст|ранги торики миёнаи пӯст
	💁🏿‍♂️;марде, ки бо дасташ ишора карда истодааст: ранги торики пӯст;густох|дасти ишоракунанда|ки бо дасташ ишора карда истодааст|мард|марде|марде, ки бо дасташ ишора карда истодааст|марде, ки бо дасташ ишора карда истодааст: ранги торики пӯст|ранги торики пӯст
