# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;रमाएको अनुहार;अनुहार|रमाएको अनुहार|हँसिलो
	🙅🏼‍♂️;ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-३;अनुमति नभएको|इसारा|छालाको प्रकार-३|छोरा मान्छे|ठीक नभएको संकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-३|निषेध|हात
	🙅🏽‍♂️;ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-४;अनुमति नभएको|इसारा|छालाको प्रकार-४|छोरा मान्छे|ठीक नभएको संकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-४|निषेध|हात
	🙅🏾‍♂️;ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-५;अनुमति नभएको|इसारा|छालाको प्रकार-५|छोरा मान्छे|ठीक नभएको संकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-५|निषेध|हात
	🙅🏿‍♂️;ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-६;अनुमति नभएको|इसारा|छालाको प्रकार-६|छोरा मान्छे|ठीक नभएको संकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे|ठीक नभएको संंकेत दिने छोरामान्छे: छालाको प्रकार-६|निषेध|हात
🙅‍♀️;ठीक नभएको संकेेत दिने छोरीमान्छे;अनुमति नभएको|इसारा|ठीक नभएको संकेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे|निषेध|महिला|हात
	🙅🏻‍♀️;ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-१-२;अनुमति नभएको|इसारा|छालाको प्रकार-१-२|ठीक नभएको संकेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-१-२|निषेध|महिला|हात
	🙅🏼‍♀️;ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-३;अनुमति नभएको|इसारा|छालाको प्रकार-३|ठीक नभएको संकेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-३|निषेध|महिला|हात
	🙅🏽‍♀️;ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-४;अनुमति नभएको|इसारा|छालाको प्रकार-४|ठीक नभएको संकेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-४|निषेध|महिला|हात
	🙅🏾‍♀️;ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-५;अनुमति नभएको|इसारा|छालाको प्रकार-५|ठीक नभएको संकेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-५|निषेध|महिला|हात
	🙅🏿‍♀️;ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-६;अनुमति नभएको|इसारा|छालाको प्रकार-६|ठीक नभएको संकेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे|ठीक नभएको संकेेत दिने छोरीमान्छे: छालाको प्रकार-६|निषेध|महिला|हात
🙆;भाव प्रदर्शन ठीक छ;ठीक|भाव प्रदर्शन|भाव प्रदर्शन ठीक छ|हात
	🙆🏻;भाव प्रदर्शन ठीक छ: छालाको प्रकार-१-२;छालाको प्रकार-१-२|ठीक|भाव प्रदर्शन|भाव प्रदर्शन ठीक छ|भाव प्रदर्शन ठीक छ: छालाको प्रकार-१-२|हात
	🙆🏼;भाव प्रदर्शन ठीक छ: छालाको प्रकार-३;छालाको प्रकार-३|ठीक|भाव प्रदर्शन|भाव प्रदर्शन ठीक छ|भाव प्रदर्शन ठीक छ: छालाको प्रकार-३|हात
	🙆🏽;भाव प्रदर्शन ठीक छ: छालाको प्रकार-४;छालाको प्रकार-४|ठीक|भाव प्रदर्शन|भाव प्रदर्शन ठीक छ|भाव प्रदर्शन ठीक छ: छालाको प्रकार-४|हात
	🙆🏾;भाव प्रदर्शन ठीक छ: छालाको प्रकार-५;छालाको प्रकार-५|ठीक|भाव प्रदर्शन|भाव प्रदर्शन ठीक छ|भाव प्रदर्शन ठीक छ: छालाको प्रकार-५|हात
	🙆🏿;भाव प्रदर्शन ठीक छ: छालाको प्रकार-६;छालाको प्रकार-६|ठीक|भाव प्रदर्शन|भाव प्रदर्शन ठीक छ|भाव प्रदर्शन ठीक छ: छालाको प्रकार-६|हात
🙆‍♂️;ठीक भएको संकेत दिने छोरामान्छे;इसारा|छोरामान्छे|ठीक छ|ठीक भएको संकेत दिने छोरामान्छे|हात
	🙆🏻‍♂️;ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-१-२;इसारा|छालाको प्रकार-१-२|छोरामान्छे|ठीक छ|ठीक भएको संकेत दिने छोरामान्छे|ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-१-२|हात
	🙆🏼‍♂️;ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-३;इसारा|छालाको प्रकार-३|छोरामान्छे|ठीक छ|ठीक भएको संकेत दिने छोरामान्छे|ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-३|हात
	🙆🏽‍♂️;ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-४;इसारा|छालाको प्रकार-४|छोरामान्छे|ठीक छ|ठीक भएको संकेत दिने छोरामान्छे|ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-४|हात
	🙆🏾‍♂️;ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-५;इसारा|छालाको प्रकार-५|छोरामान्छे|ठीक छ|ठीक भएको संकेत दिने छोरामान्छे|ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-५|हात
	🙆🏿‍♂️;ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-६;इसारा|छालाको प्रकार-६|छोरामान्छे|ठीक छ|ठीक भएको संकेत दिने छोरामान्छे|ठीक भएको संकेत दिने छोरामान्छे: छालाको प्रकार-६|हात
🙆‍♀️;ठीक भएको संंकेत दिने छोरीमान्छे;इसारा|छोरीमान्छे|ठीक छ|ठीक भएको संकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे|महिला|हात
	🙆🏻‍♀️;ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-१-२;इसारा|छालाको प्रकार-१-२|छोरीमान्छे|ठीक छ|ठीक भएको संकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-१-२|महिला|हात
	🙆🏼‍♀️;ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-३;इसारा|छालाको प्रकार-३|छोरीमान्छे|ठीक छ|ठीक भएको संकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-३|महिला|हात
	🙆🏽‍♀️;ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-४;इसारा|छालाको प्रकार-४|छोरीमान्छे|ठीक छ|ठीक भएको संकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-४|महिला|हात
	🙆🏾‍♀️;ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-५;इसारा|छालाको प्रकार-५|छोरीमान्छे|ठीक छ|ठीक भएको संकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-५|महिला|हात
	🙆🏿‍♀️;ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-६;इसारा|छालाको प्रकार-६|छोरीमान्छे|ठीक छ|ठीक भएको संकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे|ठीक भएको संंकेत दिने छोरीमान्छे: छालाको प्रकार-६|महिला|हात
💁;सूचना डेस्कको व्यक्ति;मद्दत जानकारी|सूचना डेस्कको व्यक्ति|स्यास्सी|हात
	💁🏻;सूचना डेस्कको व्यक्ति: छालाको प्रकार-१-२;छालाको प्रकार-१-२|मद्दत जानकारी|सूचना डेस्कको व्यक्ति|सूचना डेस्कको व्यक्ति: छालाको प्रकार-१-२|स्यास्सी|हात
	💁🏼;सूचना डेस्कको व्यक्ति: छालाको प्रकार-३;छालाको प्रकार-३|मद्दत जानकारी|सूचना डेस्कको व्यक्ति|सूचना डेस्कको व्यक्ति: छालाको प्रकार-३|स्यास्सी|हात
	💁🏽;सूचना डेस्कको व्यक्ति: छालाको प्रकार-४;छालाको प्रकार-४|मद्दत जानकारी|सूचना डेस्कको व्यक्ति|सूचना डेस्कको व्यक्ति: छालाको प्रकार-४|स्यास्सी|हात
	💁🏾;सूचना डेस्कको व्यक्ति: छालाको प्रकार-५;छालाको प्रकार-५|मद्दत जानकारी|सूचना डेस्कको व्यक्ति|सूचना डेस्कको व्यक्ति: छालाको प्रकार-५|स्यास्सी|हात
	💁🏿;सूचना डेस्कको व्यक्ति: छालाको प्रकार-६;छालाको प्रकार-६|मद्दत जानकारी|सूचना डेस्कको व्यक्ति|सूचना डेस्कको व्यक्ति: छालाको प्रकार-६|स्यास्सी|हात
💁‍♂️;सूचना दिने छोरामान्छे;छोरामान्छे|पुरूष|सूचना दिने छोरामान्छे|सूचना दिने हात|स्यास्सी
	💁🏻‍♂️;सूचना दिने छोरामान्छे: छालाको प्रकार-१-२;छालाको प्रकार-१-२|छोरामान्छे|पुरूष|सूचना दिने छोरामान्छे|सूचना दिने छोरामान्छे: छालाको प्रकार-१-२|सूचना दिने हात|स्यास्सी
	💁🏼‍♂️;सूचना दिने छोरामान्छे: छालाको प्रकार-३;छालाको प्रकार-३|छोरामान्छे|पुरूष|सूचना दिने छोरामान्छे|सूचना दिने छोरामान्छे: छालाको प्रकार-३|सूचना दिने हात|स्यास्सी
	💁🏽‍♂️;सूचना दिने छोरामान्छे: छालाको प्रकार-४;छालाको प्रकार-४|छोरामान्छे|पुरूष|सूचना दिने छोरामान्छे|सूचना दिने छोरामान्छे: छालाको प्रकार-४|सूचना दिने हात|स्यास्सी
	💁🏾‍♂️;सूचना दिने छोरामान्छे: छालाको प्रकार-५;छालाको प्रकार-५|छोरामान्छे|पुरूष|सूचना दिने छोरामान्छे|सूचना दिने छोरामान्छे: छालाको प्रकार-५|सूचना दिने हात|स्यास्सी
	💁🏿‍♂️;सूचना दिने छोरामान्छे: छालाको प्रकार-६;छालाको प्रकार-६|छोरामान्छे|पुरूष|सूचना दिने छोरामान्छे|सूचना दिने छोरामान्छे: छालाको प्रकार-६|सूचना दिने हात|स्यास्सी
💁‍♀️;सूूचना दिने छोरीमान्छे;छोरीमान्छे|महिला|सूचना दिने छोरीमान्छे|सूचना दिने हात|सूूचना दिने छोरीमान्छे|स्यास्सी
	💁🏻‍♀️;सूूचना दिने छोरीमान्छे: छालाको प्रकार-१-२;छालाको प्रकार-१-२|छोरीमान्छे|महिला|सूचना दिने छोरीमान्छे|सूचना दिने हात|सूूचना दिने छोरीमान्छे|सूूचना दिने छोरीमान्छे: छालाको प्रकार-१-२|स्यास्सी
	💁🏼‍♀️;सूूचना दिने छोरीमान्छे: छालाको प्रकार-३;छालाको प्रकार-३|छोरीमान्छे|महिला|सूचना दिने छोरीमान्छे|सूचना दिने हात|सूूचना दिने छोरीमान्छे|सूूचना दिने छोरीमान्छे: छालाको प्रकार-३|स्यास्सी
	💁🏽‍♀️;सूूचना दिने छोरीमान्छे: छालाको प्रकार-४;छालाको प्रकार-४|छोरीमान्छे|महिला|सूचना दिने छोरीमान्छे|सूचना दिने हात|सूूचना दिने छोरीमान्छे|सूूचना दिने छोरीमान्छे: छालाको प्रकार-४|स्यास्सी
	💁🏾‍♀️;सूूचना दिने छोरीमान्छे: छालाको प्रकार-५;छालाको प्रकार-५|छोरीमान्छे|महिला|सूचना दिने छोरीमान्छे|सूचना दिने हात|सूूचना दिने छोरीमान्छे|सूूचना दिने छोरीमान्छे: छालाको प्रकार-५|स्यास्सी
	💁🏿‍♀️;सूूचना दिने छोरीमान्छे: छालाको प्रकार-६;छालाको प्रकार-६|छोरीमान्छे|महिला|सूचना दिने छोरीमान्छे|सूचना दिने हात|सूूचना दिने छोरीमान्छे|सूूचना दिने छोरीमान्छे: छालाको प्रकार-६|स्यास्सी
🙋;हात उठाइहेको खुशी व्यक्ति;उठाएको|खुशी|भाव प्रदर्शन|हात|हात उठाइहेको खुशी व्यक्ति
	🙋🏻;हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-१-२;उठाएको|खुशी|छालाको प्रकार-१-२|भाव प्रदर्शन|हात|हात उठाइहेको खुशी व्यक्ति|हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-१-२
	🙋🏼;हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-३;उठाएको|खुशी|छालाको प्रकार-३|भाव प्रदर्शन|हात|हात उठाइहेको खुशी व्यक्ति|हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-३
	🙋🏽;हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-४;उठाएको|खुशी|छालाको प्रकार-४|भाव प्रदर्शन|हात|हात उठाइहेको खुशी व्यक्ति|हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-४
	🙋🏾;हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-५;उठाएको|खुशी|छालाको प्रकार-५|भाव प्रदर्शन|हात|हात उठाइहेको खुशी व्यक्ति|हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-५
	🙋🏿;हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-६;उठाएको|खुशी|छालाको प्रकार-६|भाव प्रदर्शन|हात|हात उठाइहेको खुशी व्यक्ति|हात उठाइहेको खुशी व्यक्ति: छालाको प्रकार-६
🙋‍♂️;हात उठाइरहेको छोरामान्छे;इसारा|उठिरहेको हात|छोरा मान्छे|पुुरूष|हात उठाइरहेको छोरामान्छे
	🙋🏻‍♂️;हात उठाइरहेको छोरामान्छे: छालाको प्रकार-१-२;इसारा|उठिरहेको हात|छालाको प्रकार-१-२|छोरा मान्छे|पुुरूष|हात उठाइरहेको छोरामान्छे|हात उठाइरहेको छोरामान्छे: छालाको प्रकार-१-२
	🙋🏼‍♂️;हात उठाइरहेको छोरामान्छे: छालाको प्रकार-३;इसारा|उठिरहेको हात|छालाको प्रकार-३|छोरा मान्छे|पुुरूष|हात उठाइरहेको छोरामान्छे|हात उठाइरहेको छोरामान्छे: छालाको प्रकार-३
	🙋🏽‍♂️;हात उठाइरहेको छोरामान्छे: छालाको प्रकार-४;इसारा|उठिरहेको हात|छालाको प्रकार-४|छोरा मान्छे|पुुरूष|हात उठाइरहेको छोरामान्छे|हात उठाइरहेको छोरामान्छे: छालाको प्रकार-४
	🙋🏾‍♂️;हात उठाइरहेको छोरामान्छे: छालाको प्रकार-५;इसारा|उठिरहेको हात|छालाको प्रकार-५|छोरा मान्छे|पुुरूष|हात उठाइरहेको छोरामान्छे|हात उठाइरहेको छोरामान्छे: छालाको प्रकार-५
	🙋🏿‍♂️;हात उठाइरहेको छोरामान्छे: छालाको प्रकार-६;इसारा|उठिरहेको हात|छालाको प्रकार-६|छोरा मान्छे|पुुरूष|हात उठाइरहेको छोरामान्छे|हात उठाइरहेको छोरामान्छे: छालाको प्रकार-६
🙋‍♀️;हात उठाइरहेको छोरीमान्छे;इसारा|उठिरहेको हात|छोरी मान्छे|महिला|हात उठाइरहेको छोरीमान्छे
	🙋🏻‍♀️;हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-१-२;इसारा|उठिरहेको हात|छालाको प्रकार-१-२|छोरी मान्छे|महिला|हात उठाइरहेको छोरीमान्छे|हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-१-२
	🙋🏼‍♀️;हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-३;इसारा|उठिरहेको हात|छालाको प्रकार-३|छोरी मान्छे|महिला|हात उठाइरहेको छोरीमान्छे|हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-३
	🙋🏽‍♀️;हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-४;इसारा|उठिरहेको हात|छालाको प्रकार-४|छोरी मान्छे|महिला|हात उठाइरहेको छोरीमान्छे|हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-४
	🙋🏾‍♀️;हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-५;इसारा|उठिरहेको हात|छालाको प्रकार-५|छोरी मान्छे|महिला|हात उठाइरहेको छोरीमान्छे|हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-५
	🙋🏿‍♀️;हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-६;इसारा|उठिरहेको हात|छालाको प्रकार-६|छोरी मान्छे|महिला|हात उठाइरहेको छोरीमान्छे|हात उठाइरहेको छोरीमान्छे: छालाको प्रकार-६
🧏;बहिरो मानिस;उपलब्धता|कान|बहिरो|बहिरो मानिस|सुन्नु
	🧏🏻;बहिरो मानिस: छालाको प्रकार-१-२;उपलब्धता|कान|छालाको प्रकार-१-२|बहिरो|बहिरो मानिस|बहिरो मानिस: छालाको प्रकार-१-२|सुन्नु
	🧏🏼;बहिरो मानिस: छालाको प्रकार-३;उपलब्धता|कान|छालाको प्रकार-३|बहिरो|बहिरो मानिस|बहिरो मानिस: छालाको प्रकार-३|सुन्नु
	🧏🏽;बहिरो मानिस: छालाको प्रकार-४;उपलब्धता|कान|छालाको प्रकार-४|बहिरो|बहिरो मानिस|बहिरो मानिस: छालाको प्रकार-४|सुन्नु
	🧏🏾;बहिरो मानिस: छालाको प्रकार-५;उपलब्धता|कान|छालाको प्रकार-५|बहिरो|बहिरो मानिस|बहिरो मानिस: छालाको प्रकार-५|सुन्नु
	🧏🏿;बहिरो मानिस: छालाको प्रकार-६;उपलब्धता|कान|छालाको प्रकार-६|बहिरो|बहिरो मानिस|बहिरो मानिस: छालाको प्रकार-६|सुन्नु
🧏‍♂️;बहिरो पुरुष;पुरुष|बहिरो
	🧏🏻‍♂️;बहिरो पुरुष: छालाको प्रकार-१-२;छालाको प्रकार-१-२|पुरुष|बहिरो|बहिरो पुरुष: छालाको प्रकार-१-२
	🧏🏼‍♂️;बहिरो पुरुष: छालाको प्रकार-३;छालाको प्रकार-३|पुरुष|बहिरो|बहिरो पुरुष: छालाको प्रकार-३
	🧏🏽‍♂️;बहिरो पुरुष: छालाको प्रकार-४;छालाको प्रकार-४|पुरुष|बहिरो|बहिरो पुरुष: छालाको प्रकार-४
	🧏🏾‍♂️;बहिरो पुरुष: छालाको प्रकार-५;छालाको प्रकार-५|पुरुष|बहिरो|बहिरो पुरुष: छालाको प्रकार-५
	🧏🏿‍♂️;बहिरो पुरुष: छालाको प्रकार-६;छालाको प्रकार-६|पुरुष|बहिरो|बहिरो पुरुष: छालाको प्रकार-६
🧏‍♀️;बहिरो महिला;बहिरो|महिला
	🧏🏻‍♀️;बहिरो महिला: छालाको प्रकार-१-२;छालाको प्रकार-१-२|बहिरो|बहिरो महिला: छालाको प्रकार-१-२|महिला
	🧏🏼‍♀️;बहिरो महिला: छालाको प्रकार-३;छालाको प्रकार-३|बहिरो|बहिरो महिला: छालाको प्रकार-३|महिला
	🧏🏽‍♀️;बहिरो महिला: छालाको प्रकार-४;छालाको प्रकार-४|बहिरो|बहिरो महिला: छालाको प्रकार-४|महिला
	🧏🏾‍♀️;बहिरो महिला: छालाको प्रकार-५;छालाको प्रकार-५|बहिरो|बहिरो महिला: छालाको प्रकार-५|महिला
	🧏🏿‍♀️;बहिरो महिला: छालाको प्रकार-६;छालाको प्रकार-६|बहिरो|बहिरो महिला: छालाको प्रकार-६|महिला
🙇;निहुरिरहेको व्यक्ति;क्षमा|खी|दु|निहुरिरहेको व्यक्ति|बो|भाव प्रदर्शन
	🙇🏻;निहुरिरहेको व्यक्ति: छालाको प्रकार-१-२;क्षमा|खी|छालाको प्रकार-१-२|दु|निहुरिरहेको व्यक्ति|निहुरिरहेको व्यक्ति: छालाको प्रकार-१-२|बो|भाव प्रदर्शन
	🙇🏼;निहुरिरहेको व्यक्ति: छालाको प्रकार-३;क्षमा|खी|छालाको प्रकार-३|दु|निहुरिरहेको व्यक्ति|निहुरिरहेको व्यक्ति: छालाको प्रकार-३|बो|भाव प्रदर्शन
	🙇🏽;निहुरिरहेको व्यक्ति: छालाको प्रकार-४;क्षमा|खी|छालाको प्रकार-४|दु|निहुरिरहेको व्यक्ति|निहुरिरहेको व्यक्ति: छालाको प्रकार-४|बो|भाव प्रदर्शन
	🙇🏾;निहुरिरहेको व्यक्ति: छालाको प्रकार-५;क्षमा|खी|छालाको प्रकार-५|दु|निहुरिरहेको व्यक्ति|निहुरिरहेको व्यक्ति: छालाको प्रकार-५|बो|भाव प्रदर्शन
	🙇🏿;निहुरिरहेको व्यक्ति: छालाको प्रकार-६;क्षमा|खी|छालाको प्रकार-६|दु|निहुरिरहेको व्यक्ति|निहुरिरहेको व्यक्ति: छालाको प्रकार-६|बो|भाव प्रदर्शन
🙇‍♂️;आदरभावले निहुरिरहेको छोरामान्छे;आदरभावले निहुरिरहेको छोरामान्छे|इसारा|दु:खी|निहुरिरहेको|पुरूष|माफी|सहयोग
	🙇🏻‍♂️;आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-१-२;आदरभावले निहुरिरहेको छोरामान्छे|आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-१-२|इसारा|छालाको प्रकार-१-२|दु:खी|निहुरिरहेको|पुरूष|माफी|सहयोग
	🙇🏼‍♂️;आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-३;आदरभावले निहुरिरहेको छोरामान्छे|आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-३|इसारा|छालाको प्रकार-३|दु:खी|निहुरिरहेको|पुरूष|माफी|सहयोग
	🙇🏽‍♂️;आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-४;आदरभावले निहुरिरहेको छोरामान्छे|आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-४|इसारा|छालाको प्रकार-४|दु:खी|निहुरिरहेको|पुरूष|माफी|सहयोग
	🙇🏾‍♂️;आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-५;आदरभावले निहुरिरहेको छोरामान्छे|आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-५|इसारा|छालाको प्रकार-५|दु:खी|निहुरिरहेको|पुरूष|माफी|सहयोग
	🙇🏿‍♂️;आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-६;आदरभावले निहुरिरहेको छोरामान्छे|आदरभावले निहुरिरहेको छोरामान्छे: छालाको प्रकार-६|इसारा|छालाको प्रकार-६|दु:खी|निहुरिरहेको|पुरूष|माफी|सहयोग
🙇‍♀️;आदरभावलेे निहुरिरहेकी छोरीमान्छे;आदरभावलेे निहुरिरहेकी छोरीमान्छे|इसारा|दु:खी|निहुरिरहेको|महिला|माफी|सहयोग
	🙇🏻‍♀️;आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-१-२;आदरभावलेे निहुरिरहेकी छोरीमान्छे|आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-१-२|इसारा|छालाको प्रकार-१-२|दु:खी|निहुरिरहेको|महिला|माफी|सहयोग
	🙇🏼‍♀️;आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-३;आदरभावलेे निहुरिरहेकी छोरीमान्छे|आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-३|इसारा|छालाको प्रकार-३|दु:खी|निहुरिरहेको|महिला|माफी|सहयोग
	🙇🏽‍♀️;आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-४;आदरभावलेे निहुरिरहेकी छोरीमान्छे|आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-४|इसारा|छालाको प्रकार-४|दु:खी|निहुरिरहेको|महिला|माफी|सहयोग
	🙇🏾‍♀️;आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-५;आदरभावलेे निहुरिरहेकी छोरीमान्छे|आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-५|इसारा|छालाको प्रकार-५|दु:खी|निहुरिरहेको|महिला|माफी|सहयोग
	🙇🏿‍♀️;आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-६;आदरभावलेे निहुरिरहेकी छोरीमान्छे|आदरभावलेे निहुरिरहेकी छोरीमान्छे: छालाको प्रकार-६|इसारा|छालाको प्रकार-६|दु:खी|निहुरिरहेको|महिला|माफी|सहयोग
🤦;चिन्तित;अनुहार|अविश्वास|उत्तेजना|चिन्तित|हत्केला
	🤦🏻;चिन्तित: छालाको प्रकार-१-२;अनुहार|अविश्वास|उत्तेजना|चिन्तित|चिन्तित: छालाको प्रकार-१-२|छालाको प्रकार-१-२|हत्केला
	🤦🏼;चिन्तित: छालाको प्रकार-३;अनुहार|अविश्वास|उत्तेजना|चिन्तित|चिन्तित: छालाको प्रकार-३|छालाको प्रकार-३|हत्केला
	🤦🏽;चिन्तित: छालाको प्रकार-४;अनुहार|अविश्वास|उत्तेजना|चिन्तित|चिन्तित: छालाको प्रकार-४|छालाको प्रकार-४|हत्केला
	🤦🏾;चिन्तित: छालाको प्रकार-५;अनुहार|अविश्वास|उत्तेजना|चिन्तित|चिन्तित: छालाको प्रकार-५|छालाको प्रकार-५|हत्केला
	🤦🏿;चिन्तित: छालाको प्रकार-६;अनुहार|अविश्वास|उत्तेजना|चिन्तित|चिन्तित: छालाको प्रकार-६|छालाको प्रकार-६|हत्केला
🤦‍♂️;चिन्तित छोरामान्छे;अविश्वास|चिन्तित छोरामान्छे|चिन्तित मुद्रा|छोरीमान्छे|महिला|सुस्केरा
	🤦🏻‍♂️;चिन्तित छोरामान्छे: छालाको प्रकार-१-२;अविश्वास|चिन्तित छोरामान्छे|चिन्तित छोरामान्छे: छालाको प्रकार-१-२|चिन्तित मुद्रा|छालाको प्रकार-१-२|छोरीमान्छे|महिला|सुस्केरा
	🤦🏼‍♂️;चिन्तित छोरामान्छे: छालाको प्रकार-३;अविश्वास|चिन्तित छोरामान्छे|चिन्तित छोरामान्छे: छालाको प्रकार-३|चिन्तित मुद्रा|छालाको प्रकार-३|छोरीमान्छे|महिला|सुस्केरा
	🤦🏽‍♂️;चिन्तित छोरामान्छे: छालाको प्रकार-४;अविश्वास|चिन्तित छोरामान्छे|चिन्तित छोरामान्छे: छालाको प्रकार-४|चिन्तित मुद्रा|छालाको प्रकार-४|छोरीमान्छे|महिला|सुस्केरा
	🤦🏾‍♂️;चिन्तित छोरामान्छे: छालाको प्रकार-५;अविश्वास|चिन्तित छोरामान्छे|चिन्तित छोरामान्छे: छालाको प्रकार-५|चिन्तित मुद्रा|छालाको प्रकार-५|छोरीमान्छे|महिला|सुस्केरा
