# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;وجه بابتسامة عريضة;ابتسام|ضحك|وجه بابتسامة عريضة|وجه مبتسم
	👩🏿‍⚖️;قاضية: بشرة بلون غامق;بشرة بلون غامق|عدالة|عدل|قاضية|قاضية: بشرة بلون غامق
🧑‍🌾;مُزارع;عامل زراعي|فلاح|مزارع|مُزارع|منسق حدائق
	🧑🏻‍🌾;مُزارع: بشرة بلون فاتح;بشرة بلون فاتح|عامل زراعي|فلاح|مزارع|مُزارع|مُزارع: بشرة بلون فاتح|منسق حدائق
	🧑🏼‍🌾;مُزارع: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|عامل زراعي|فلاح|مزارع|مُزارع|مُزارع: بشرة بلون فاتح ومعتدل|منسق حدائق
	🧑🏽‍🌾;مُزارع: بشرة بلون معتدل;بشرة بلون معتدل|عامل زراعي|فلاح|مزارع|مُزارع|مُزارع: بشرة بلون معتدل|منسق حدائق
	🧑🏾‍🌾;مُزارع: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|عامل زراعي|فلاح|مزارع|مُزارع|مُزارع: بشرة بلون معتدل مائل للغامق|منسق حدائق
	🧑🏿‍🌾;مُزارع: بشرة بلون غامق;بشرة بلون غامق|عامل زراعي|فلاح|مزارع|مُزارع|مُزارع: بشرة بلون غامق|منسق حدائق
👨‍🌾;مزارع;عامل زراعي|فلاح|مزارع|منسق حدائق
	👨🏻‍🌾;مزارع: بشرة بلون فاتح;بشرة بلون فاتح|عامل زراعي|فلاح|مزارع|مزارع: بشرة بلون فاتح|منسق حدائق
	👨🏼‍🌾;مزارع: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|عامل زراعي|فلاح|مزارع|مزارع: بشرة بلون فاتح ومعتدل|منسق حدائق
	👨🏽‍🌾;مزارع: بشرة بلون معتدل;بشرة بلون معتدل|عامل زراعي|فلاح|مزارع|مزارع: بشرة بلون معتدل|منسق حدائق
	👨🏾‍🌾;مزارع: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|عامل زراعي|فلاح|مزارع|مزارع: بشرة بلون معتدل مائل للغامق|منسق حدائق
	👨🏿‍🌾;مزارع: بشرة بلون غامق;بشرة بلون غامق|عامل زراعي|فلاح|مزارع|مزارع: بشرة بلون غامق|منسق حدائق
👩‍🌾;مزارعة;عاملة زراعية|فلاحة|مزارعة|منسقة حدائق
	👩🏻‍🌾;مزارعة: بشرة بلون فاتح;بشرة بلون فاتح|عاملة زراعية|فلاحة|مزارعة|مزارعة: بشرة بلون فاتح|منسقة حدائق
	👩🏼‍🌾;مزارعة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|عاملة زراعية|فلاحة|مزارعة|مزارعة: بشرة بلون فاتح ومعتدل|منسقة حدائق
	👩🏽‍🌾;مزارعة: بشرة بلون معتدل;بشرة بلون معتدل|عاملة زراعية|فلاحة|مزارعة|مزارعة: بشرة بلون معتدل|منسقة حدائق
	👩🏾‍🌾;مزارعة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|عاملة زراعية|فلاحة|مزارعة|مزارعة: بشرة بلون معتدل مائل للغامق|منسقة حدائق
	👩🏿‍🌾;مزارعة: بشرة بلون غامق;بشرة بلون غامق|عاملة زراعية|فلاحة|مزارعة|مزارعة: بشرة بلون غامق|منسقة حدائق
🧑‍🍳;طاهي;شيف|طاه|طاهي|طباخ
	🧑🏻‍🍳;طاهي: بشرة بلون فاتح;بشرة بلون فاتح|شيف|طاه|طاهي|طاهي: بشرة بلون فاتح|طباخ
	🧑🏼‍🍳;طاهي: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شيف|طاه|طاهي|طاهي: بشرة بلون فاتح ومعتدل|طباخ
	🧑🏽‍🍳;طاهي: بشرة بلون معتدل;بشرة بلون معتدل|شيف|طاه|طاهي|طاهي: بشرة بلون معتدل|طباخ
	🧑🏾‍🍳;طاهي: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شيف|طاه|طاهي|طاهي: بشرة بلون معتدل مائل للغامق|طباخ
	🧑🏿‍🍳;طاهي: بشرة بلون غامق;بشرة بلون غامق|شيف|طاه|طاهي|طاهي: بشرة بلون غامق|طباخ
👨‍🍳;طباخ;شيف|طاه|طباخ
	👨🏻‍🍳;طباخ: بشرة بلون فاتح;بشرة بلون فاتح|شيف|طاه|طباخ|طباخ: بشرة بلون فاتح
	👨🏼‍🍳;طباخ: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شيف|طاه|طباخ|طباخ: بشرة بلون فاتح ومعتدل
	👨🏽‍🍳;طباخ: بشرة بلون معتدل;بشرة بلون معتدل|شيف|طاه|طباخ|طباخ: بشرة بلون معتدل
	👨🏾‍🍳;طباخ: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شيف|طاه|طباخ|طباخ: بشرة بلون معتدل مائل للغامق
	👨🏿‍🍳;طباخ: بشرة بلون غامق;بشرة بلون غامق|شيف|طاه|طباخ|طباخ: بشرة بلون غامق
👩‍🍳;طباخة;شيف|طاهية|طباخة
	👩🏻‍🍳;طباخة: بشرة بلون فاتح;بشرة بلون فاتح|شيف|طاهية|طباخة|طباخة: بشرة بلون فاتح
	👩🏼‍🍳;طباخة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شيف|طاهية|طباخة|طباخة: بشرة بلون فاتح ومعتدل
	👩🏽‍🍳;طباخة: بشرة بلون معتدل;بشرة بلون معتدل|شيف|طاهية|طباخة|طباخة: بشرة بلون معتدل
	👩🏾‍🍳;طباخة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شيف|طاهية|طباخة|طباخة: بشرة بلون معتدل مائل للغامق
	👩🏿‍🍳;طباخة: بشرة بلون غامق;بشرة بلون غامق|شيف|طاهية|طباخة|طباخة: بشرة بلون غامق
🧑‍🔧;خبير ميكانيكي;تاجر|حرفي|خبير ميكانيكي|سباك|كهربائي|ميكانيكي
	🧑🏻‍🔧;خبير ميكانيكي: بشرة بلون فاتح;بشرة بلون فاتح|تاجر|حرفي|خبير ميكانيكي|خبير ميكانيكي: بشرة بلون فاتح|سباك|كهربائي|ميكانيكي
	🧑🏼‍🔧;خبير ميكانيكي: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تاجر|حرفي|خبير ميكانيكي|خبير ميكانيكي: بشرة بلون فاتح ومعتدل|سباك|كهربائي|ميكانيكي
	🧑🏽‍🔧;خبير ميكانيكي: بشرة بلون معتدل;بشرة بلون معتدل|تاجر|حرفي|خبير ميكانيكي|خبير ميكانيكي: بشرة بلون معتدل|سباك|كهربائي|ميكانيكي
	🧑🏾‍🔧;خبير ميكانيكي: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تاجر|حرفي|خبير ميكانيكي|خبير ميكانيكي: بشرة بلون معتدل مائل للغامق|سباك|كهربائي|ميكانيكي
	🧑🏿‍🔧;خبير ميكانيكي: بشرة بلون غامق;بشرة بلون غامق|تاجر|حرفي|خبير ميكانيكي|خبير ميكانيكي: بشرة بلون غامق|سباك|كهربائي|ميكانيكي
👨‍🔧;ميكانيكي;حرفي|عامل|ميكانيكي
	👨🏻‍🔧;ميكانيكي: بشرة بلون فاتح;بشرة بلون فاتح|حرفي|عامل|ميكانيكي|ميكانيكي: بشرة بلون فاتح
	👨🏼‍🔧;ميكانيكي: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|حرفي|عامل|ميكانيكي|ميكانيكي: بشرة بلون فاتح ومعتدل
	👨🏽‍🔧;ميكانيكي: بشرة بلون معتدل;بشرة بلون معتدل|حرفي|عامل|ميكانيكي|ميكانيكي: بشرة بلون معتدل
	👨🏾‍🔧;ميكانيكي: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|حرفي|عامل|ميكانيكي|ميكانيكي: بشرة بلون معتدل مائل للغامق
	👨🏿‍🔧;ميكانيكي: بشرة بلون غامق;بشرة بلون غامق|حرفي|عامل|ميكانيكي|ميكانيكي: بشرة بلون غامق
👩‍🔧;ميكانيكية;حرفية|عاملة|ميكانيكية
	👩🏻‍🔧;ميكانيكية: بشرة بلون فاتح;بشرة بلون فاتح|حرفية|عاملة|ميكانيكية|ميكانيكية: بشرة بلون فاتح
	👩🏼‍🔧;ميكانيكية: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|حرفية|عاملة|ميكانيكية|ميكانيكية: بشرة بلون فاتح ومعتدل
	👩🏽‍🔧;ميكانيكية: بشرة بلون معتدل;بشرة بلون معتدل|حرفية|عاملة|ميكانيكية|ميكانيكية: بشرة بلون معتدل
	👩🏾‍🔧;ميكانيكية: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|حرفية|عاملة|ميكانيكية|ميكانيكية: بشرة بلون معتدل مائل للغامق
	👩🏿‍🔧;ميكانيكية: بشرة بلون غامق;بشرة بلون غامق|حرفية|عاملة|ميكانيكية|ميكانيكية: بشرة بلون غامق
🧑‍🏭;عامل في مصنع;تجميع|صناعة|عامل|عامل في مصنع|مصنع
	🧑🏻‍🏭;عامل في مصنع: بشرة بلون فاتح;بشرة بلون فاتح|تجميع|صناعة|عامل|عامل في مصنع|عامل في مصنع: بشرة بلون فاتح|مصنع
	🧑🏼‍🏭;عامل في مصنع: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تجميع|صناعة|عامل|عامل في مصنع|عامل في مصنع: بشرة بلون فاتح ومعتدل|مصنع
	🧑🏽‍🏭;عامل في مصنع: بشرة بلون معتدل;بشرة بلون معتدل|تجميع|صناعة|عامل|عامل في مصنع|عامل في مصنع: بشرة بلون معتدل|مصنع
	🧑🏾‍🏭;عامل في مصنع: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تجميع|صناعة|عامل|عامل في مصنع|عامل في مصنع: بشرة بلون معتدل مائل للغامق|مصنع
	🧑🏿‍🏭;عامل في مصنع: بشرة بلون غامق;بشرة بلون غامق|تجميع|صناعة|عامل|عامل في مصنع|عامل في مصنع: بشرة بلون غامق|مصنع
👨‍🏭;عامل مصنع;تجميع|صناعة|عامل|مصنع
	👨🏻‍🏭;عامل مصنع: بشرة بلون فاتح;بشرة بلون فاتح|تجميع|صناعة|عامل|عامل مصنع: بشرة بلون فاتح|مصنع
	👨🏼‍🏭;عامل مصنع: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تجميع|صناعة|عامل|عامل مصنع: بشرة بلون فاتح ومعتدل|مصنع
	👨🏽‍🏭;عامل مصنع: بشرة بلون معتدل;بشرة بلون معتدل|تجميع|صناعة|عامل|عامل مصنع: بشرة بلون معتدل|مصنع
	👨🏾‍🏭;عامل مصنع: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تجميع|صناعة|عامل|عامل مصنع: بشرة بلون معتدل مائل للغامق|مصنع
	👨🏿‍🏭;عامل مصنع: بشرة بلون غامق;بشرة بلون غامق|تجميع|صناعة|عامل|عامل مصنع: بشرة بلون غامق|مصنع
👩‍🏭;عاملة مصنع;تجميع|صناعة|عاملة|مصنع
	👩🏻‍🏭;عاملة مصنع: بشرة بلون فاتح;بشرة بلون فاتح|تجميع|صناعة|عاملة|عاملة مصنع: بشرة بلون فاتح|مصنع
	👩🏼‍🏭;عاملة مصنع: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تجميع|صناعة|عاملة|عاملة مصنع: بشرة بلون فاتح ومعتدل|مصنع
	👩🏽‍🏭;عاملة مصنع: بشرة بلون معتدل;بشرة بلون معتدل|تجميع|صناعة|عاملة|عاملة مصنع: بشرة بلون معتدل|مصنع
	👩🏾‍🏭;عاملة مصنع: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تجميع|صناعة|عاملة|عاملة مصنع: بشرة بلون معتدل مائل للغامق|مصنع
	👩🏿‍🏭;عاملة مصنع: بشرة بلون غامق;بشرة بلون غامق|تجميع|صناعة|عاملة|عاملة مصنع: بشرة بلون غامق|مصنع
🧑‍💼;موظف مكتب;شركة|مدير|مهندس|موظف|موظف مكتب
	🧑🏻‍💼;موظف مكتب: بشرة بلون فاتح;بشرة بلون فاتح|شركة|مدير|مهندس|موظف|موظف مكتب|موظف مكتب: بشرة بلون فاتح
	🧑🏼‍💼;موظف مكتب: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شركة|مدير|مهندس|موظف|موظف مكتب|موظف مكتب: بشرة بلون فاتح ومعتدل
	🧑🏽‍💼;موظف مكتب: بشرة بلون معتدل;بشرة بلون معتدل|شركة|مدير|مهندس|موظف|موظف مكتب|موظف مكتب: بشرة بلون معتدل
	🧑🏾‍💼;موظف مكتب: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شركة|مدير|مهندس|موظف|موظف مكتب|موظف مكتب: بشرة بلون معتدل مائل للغامق
	🧑🏿‍💼;موظف مكتب: بشرة بلون غامق;بشرة بلون غامق|شركة|مدير|مهندس|موظف|موظف مكتب|موظف مكتب: بشرة بلون غامق
👨‍💼;موظف;شركة|مدير|مكتب|موظف
	👨🏻‍💼;موظف: بشرة بلون فاتح;بشرة بلون فاتح|شركة|مدير|مكتب|موظف|موظف: بشرة بلون فاتح
	👨🏼‍💼;موظف: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شركة|مدير|مكتب|موظف|موظف: بشرة بلون فاتح ومعتدل
	👨🏽‍💼;موظف: بشرة بلون معتدل;بشرة بلون معتدل|شركة|مدير|مكتب|موظف|موظف: بشرة بلون معتدل
	👨🏾‍💼;موظف: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شركة|مدير|مكتب|موظف|موظف: بشرة بلون معتدل مائل للغامق
	👨🏿‍💼;موظف: بشرة بلون غامق;بشرة بلون غامق|شركة|مدير|مكتب|موظف|موظف: بشرة بلون غامق
👩‍💼;موظفة;شركة|مديرة|مكتب|موظفة
	👩🏻‍💼;موظفة: بشرة بلون فاتح;بشرة بلون فاتح|شركة|مديرة|مكتب|موظفة|موظفة: بشرة بلون فاتح
	👩🏼‍💼;موظفة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|شركة|مديرة|مكتب|موظفة|موظفة: بشرة بلون فاتح ومعتدل
	👩🏽‍💼;موظفة: بشرة بلون معتدل;بشرة بلون معتدل|شركة|مديرة|مكتب|موظفة|موظفة: بشرة بلون معتدل
	👩🏾‍💼;موظفة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|شركة|مديرة|مكتب|موظفة|موظفة: بشرة بلون معتدل مائل للغامق
	👩🏿‍💼;موظفة: بشرة بلون غامق;بشرة بلون غامق|شركة|مديرة|مكتب|موظفة|موظفة: بشرة بلون غامق
🧑‍🔬;عالِم;بيولوجي|عالم|عالِم|فيزيائي|كيميائي|مهندس
	🧑🏻‍🔬;عالِم: بشرة بلون فاتح;بشرة بلون فاتح|بيولوجي|عالم|عالِم|عالِم: بشرة بلون فاتح|فيزيائي|كيميائي|مهندس
	🧑🏼‍🔬;عالِم: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|بيولوجي|عالم|عالِم|عالِم: بشرة بلون فاتح ومعتدل|فيزيائي|كيميائي|مهندس
	🧑🏽‍🔬;عالِم: بشرة بلون معتدل;بشرة بلون معتدل|بيولوجي|عالم|عالِم|عالِم: بشرة بلون معتدل|فيزيائي|كيميائي|مهندس
	🧑🏾‍🔬;عالِم: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|بيولوجي|عالم|عالِم|عالِم: بشرة بلون معتدل مائل للغامق|فيزيائي|كيميائي|مهندس
	🧑🏿‍🔬;عالِم: بشرة بلون غامق;بشرة بلون غامق|بيولوجي|عالم|عالِم|عالِم: بشرة بلون غامق|فيزيائي|كيميائي|مهندس
👨‍🔬;عالم;بيولوجي|عالم|فيزيائي|كيميائي
	👨🏻‍🔬;عالم: بشرة بلون فاتح;بشرة بلون فاتح|بيولوجي|عالم|عالم: بشرة بلون فاتح|فيزيائي|كيميائي
	👨🏼‍🔬;عالم: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|بيولوجي|عالم|عالم: بشرة بلون فاتح ومعتدل|فيزيائي|كيميائي
	👨🏽‍🔬;عالم: بشرة بلون معتدل;بشرة بلون معتدل|بيولوجي|عالم|عالم: بشرة بلون معتدل|فيزيائي|كيميائي
	👨🏾‍🔬;عالم: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|بيولوجي|عالم|عالم: بشرة بلون معتدل مائل للغامق|فيزيائي|كيميائي
	👨🏿‍🔬;عالم: بشرة بلون غامق;بشرة بلون غامق|بيولوجي|عالم|عالم: بشرة بلون غامق|فيزيائي|كيميائي
👩‍🔬;عالِمة;بيولوجية|عالِمة|فيزيائية|كيميائية
	👩🏻‍🔬;عالِمة: بشرة بلون فاتح;بشرة بلون فاتح|بيولوجية|عالِمة|عالِمة: بشرة بلون فاتح|فيزيائية|كيميائية
	👩🏼‍🔬;عالِمة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|بيولوجية|عالِمة|عالِمة: بشرة بلون فاتح ومعتدل|فيزيائية|كيميائية
	👩🏽‍🔬;عالِمة: بشرة بلون معتدل;بشرة بلون معتدل|بيولوجية|عالِمة|عالِمة: بشرة بلون معتدل|فيزيائية|كيميائية
	👩🏾‍🔬;عالِمة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|بيولوجية|عالِمة|عالِمة: بشرة بلون معتدل مائل للغامق|فيزيائية|كيميائية
	👩🏿‍🔬;عالِمة: بشرة بلون غامق;بشرة بلون غامق|بيولوجية|عالِمة|عالِمة: بشرة بلون غامق|فيزيائية|كيميائية
🧑‍💻;خبير تكنولوجيا;تقني|خبير تكنولوجيا|عالم تكنولوجيا|مبرمج|مصمم أكواد
	🧑🏻‍💻;خبير تكنولوجيا: بشرة بلون فاتح;بشرة بلون فاتح|تقني|خبير تكنولوجيا|خبير تكنولوجيا: بشرة بلون فاتح|عالم تكنولوجيا|مبرمج|مصمم أكواد
	🧑🏼‍💻;خبير تكنولوجيا: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تقني|خبير تكنولوجيا|خبير تكنولوجيا: بشرة بلون فاتح ومعتدل|عالم تكنولوجيا|مبرمج|مصمم أكواد
	🧑🏽‍💻;خبير تكنولوجيا: بشرة بلون معتدل;بشرة بلون معتدل|تقني|خبير تكنولوجيا|خبير تكنولوجيا: بشرة بلون معتدل|عالم تكنولوجيا|مبرمج|مصمم أكواد
	🧑🏾‍💻;خبير تكنولوجيا: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تقني|خبير تكنولوجيا|خبير تكنولوجيا: بشرة بلون معتدل مائل للغامق|عالم تكنولوجيا|مبرمج|مصمم أكواد
	🧑🏿‍💻;خبير تكنولوجيا: بشرة بلون غامق;بشرة بلون غامق|تقني|خبير تكنولوجيا|خبير تكنولوجيا: بشرة بلون غامق|عالم تكنولوجيا|مبرمج|مصمم أكواد
👨‍💻;عالم تكنولوجيا;تقني|خبير تكنولوجي|عالم تكنولوجيا|مبتكر|مبرمج|مصمم أكواد
	👨🏻‍💻;عالم تكنولوجيا: بشرة بلون فاتح;بشرة بلون فاتح|تقني|خبير تكنولوجي|عالم تكنولوجيا|عالم تكنولوجيا: بشرة بلون فاتح|مبتكر|مبرمج|مصمم أكواد
	👨🏼‍💻;عالم تكنولوجيا: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تقني|خبير تكنولوجي|عالم تكنولوجيا|عالم تكنولوجيا: بشرة بلون فاتح ومعتدل|مبتكر|مبرمج|مصمم أكواد
	👨🏽‍💻;عالم تكنولوجيا: بشرة بلون معتدل;بشرة بلون معتدل|تقني|خبير تكنولوجي|عالم تكنولوجيا|عالم تكنولوجيا: بشرة بلون معتدل|مبتكر|مبرمج|مصمم أكواد
	👨🏾‍💻;عالم تكنولوجيا: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تقني|خبير تكنولوجي|عالم تكنولوجيا|عالم تكنولوجيا: بشرة بلون معتدل مائل للغامق|مبتكر|مبرمج|مصمم أكواد
	👨🏿‍💻;عالم تكنولوجيا: بشرة بلون غامق;بشرة بلون غامق|تقني|خبير تكنولوجي|عالم تكنولوجيا|عالم تكنولوجيا: بشرة بلون غامق|مبتكر|مبرمج|مصمم أكواد
👩‍💻;عالِمة تكنولوجيا;تقنية|خبيرة تكنولوجيا|عالِمة تكنولوجيا|مبرمجة|مصممة أكواد
	👩🏻‍💻;عالِمة تكنولوجيا: بشرة بلون فاتح;بشرة بلون فاتح|تقنية|خبيرة تكنولوجيا|عالِمة تكنولوجيا|عالِمة تكنولوجيا: بشرة بلون فاتح|مبرمجة|مصممة أكواد
	👩🏼‍💻;عالِمة تكنولوجيا: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|تقنية|خبيرة تكنولوجيا|عالِمة تكنولوجيا|عالِمة تكنولوجيا: بشرة بلون فاتح ومعتدل|مبرمجة|مصممة أكواد
	👩🏽‍💻;عالِمة تكنولوجيا: بشرة بلون معتدل;بشرة بلون معتدل|تقنية|خبيرة تكنولوجيا|عالِمة تكنولوجيا|عالِمة تكنولوجيا: بشرة بلون معتدل|مبرمجة|مصممة أكواد
	👩🏾‍💻;عالِمة تكنولوجيا: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|تقنية|خبيرة تكنولوجيا|عالِمة تكنولوجيا|عالِمة تكنولوجيا: بشرة بلون معتدل مائل للغامق|مبرمجة|مصممة أكواد
	👩🏿‍💻;عالِمة تكنولوجيا: بشرة بلون غامق;بشرة بلون غامق|تقنية|خبيرة تكنولوجيا|عالِمة تكنولوجيا|عالِمة تكنولوجيا: بشرة بلون غامق|مبرمجة|مصممة أكواد
🧑‍🎤;مغنّي;استعراضي|فنان|مطرب|مغني|مغنّي|نجم
	🧑🏻‍🎤;مغنّي: بشرة بلون فاتح;استعراضي|بشرة بلون فاتح|فنان|مطرب|مغني|مغنّي|مغنّي: بشرة بلون فاتح|نجم
	🧑🏼‍🎤;مغنّي: بشرة بلون فاتح ومعتدل;استعراضي|بشرة بلون فاتح ومعتدل|فنان|مطرب|مغني|مغنّي|مغنّي: بشرة بلون فاتح ومعتدل|نجم
	🧑🏽‍🎤;مغنّي: بشرة بلون معتدل;استعراضي|بشرة بلون معتدل|فنان|مطرب|مغني|مغنّي|مغنّي: بشرة بلون معتدل|نجم
	🧑🏾‍🎤;مغنّي: بشرة بلون معتدل مائل للغامق;استعراضي|بشرة بلون معتدل مائل للغامق|فنان|مطرب|مغني|مغنّي|مغنّي: بشرة بلون معتدل مائل للغامق|نجم
	🧑🏿‍🎤;مغنّي: بشرة بلون غامق;استعراضي|بشرة بلون غامق|فنان|مطرب|مغني|مغنّي|مغنّي: بشرة بلون غامق|نجم
👨‍🎤;مطرب;مطرب|مغني|ممثل
	👨🏻‍🎤;مطرب: بشرة بلون فاتح;بشرة بلون فاتح|مطرب|مطرب: بشرة بلون فاتح|مغني|ممثل
	👨🏼‍🎤;مطرب: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|مطرب|مطرب: بشرة بلون فاتح ومعتدل|مغني|ممثل
	👨🏽‍🎤;مطرب: بشرة بلون معتدل;بشرة بلون معتدل|مطرب|مطرب: بشرة بلون معتدل|مغني|ممثل
	👨🏾‍🎤;مطرب: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|مطرب|مطرب: بشرة بلون معتدل مائل للغامق|مغني|ممثل
	👨🏿‍🎤;مطرب: بشرة بلون غامق;بشرة بلون غامق|مطرب|مطرب: بشرة بلون غامق|مغني|ممثل
👩‍🎤;مطربة;مطربة|مغنية|ممثلة
	👩🏻‍🎤;مطربة: بشرة بلون فاتح;بشرة بلون فاتح|مطربة|مطربة: بشرة بلون فاتح|مغنية|ممثلة
	👩🏼‍🎤;مطربة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|مطربة|مطربة: بشرة بلون فاتح ومعتدل|مغنية|ممثلة
	👩🏽‍🎤;مطربة: بشرة بلون معتدل;بشرة بلون معتدل|مطربة|مطربة: بشرة بلون معتدل|مغنية|ممثلة
	👩🏾‍🎤;مطربة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|مطربة|مطربة: بشرة بلون معتدل مائل للغامق|مغنية|ممثلة
	👩🏿‍🎤;مطربة: بشرة بلون غامق;بشرة بلون غامق|مطربة|مطربة: بشرة بلون غامق|مغنية|ممثلة
🧑‍🎨;فنان رسم;رسام|فنان|فنان رسم
	🧑🏻‍🎨;فنان رسم: بشرة بلون فاتح;بشرة بلون فاتح|رسام|فنان|فنان رسم|فنان رسم: بشرة بلون فاتح
	🧑🏼‍🎨;فنان رسم: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رسام|فنان|فنان رسم|فنان رسم: بشرة بلون فاتح ومعتدل
	🧑🏽‍🎨;فنان رسم: بشرة بلون معتدل;بشرة بلون معتدل|رسام|فنان|فنان رسم|فنان رسم: بشرة بلون معتدل
	🧑🏾‍🎨;فنان رسم: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رسام|فنان|فنان رسم|فنان رسم: بشرة بلون معتدل مائل للغامق
	🧑🏿‍🎨;فنان رسم: بشرة بلون غامق;بشرة بلون غامق|رسام|فنان|فنان رسم|فنان رسم: بشرة بلون غامق
👨‍🎨;رسام;رسام|فنان
	👨🏻‍🎨;رسام: بشرة بلون فاتح;بشرة بلون فاتح|رسام|رسام: بشرة بلون فاتح|فنان
	👨🏼‍🎨;رسام: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رسام|رسام: بشرة بلون فاتح ومعتدل|فنان
	👨🏽‍🎨;رسام: بشرة بلون معتدل;بشرة بلون معتدل|رسام|رسام: بشرة بلون معتدل|فنان
	👨🏾‍🎨;رسام: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رسام|رسام: بشرة بلون معتدل مائل للغامق|فنان
	👨🏿‍🎨;رسام: بشرة بلون غامق;بشرة بلون غامق|رسام|رسام: بشرة بلون غامق|فنان
👩‍🎨;رسامة;رسامة|فنانة
	👩🏻‍🎨;رسامة: بشرة بلون فاتح;بشرة بلون فاتح|رسامة|رسامة: بشرة بلون فاتح|فنانة
	👩🏼‍🎨;رسامة: بشرة بلون فاتح ومعتدل;بشرة بلون فاتح ومعتدل|رسامة|رسامة: بشرة بلون فاتح ومعتدل|فنانة
	👩🏽‍🎨;رسامة: بشرة بلون معتدل;بشرة بلون معتدل|رسامة|رسامة: بشرة بلون معتدل|فنانة
	👩🏾‍🎨;رسامة: بشرة بلون معتدل مائل للغامق;بشرة بلون معتدل مائل للغامق|رسامة|رسامة: بشرة بلون معتدل مائل للغامق|فنانة
	👩🏿‍🎨;رسامة: بشرة بلون غامق;بشرة بلون غامق|رسامة|رسامة: بشرة بلون غامق|فنانة
🧑‍✈️;ربان طائرة;ربان|طائرة|طيار
	🧑🏻‍✈️;ربان طائرة: بشرة بلون فاتح;بشرة بلون فاتح|ربان|ربان طائرة: بشرة بلون فاتح|طائرة|طيار
