# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;چىشلىق كۈلگەن چىراي;چىراي|چىشلىق|چىشلىق كۈلگەن چىراي
	✍🏿;يېزىۋاتقان قول: توق تېرە رەڭ;توق تېرە رەڭ|قول|يېزىش|يېزىۋاتقان قول
💅;تىرناق بوياش;ئاسراش|تىرناق|تىرناق ئېلىش|تىرناق بوياش|خېنە|گىرىم
	💅🏻;تىرناق بوياش: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئاسراش|تىرناق|تىرناق ئېلىش|تىرناق بوياش|خېنە|گىرىم
	💅🏼;تىرناق بوياش: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئاسراش|تىرناق|تىرناق ئېلىش|تىرناق بوياش|خېنە|گىرىم
	💅🏽;تىرناق بوياش: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئاسراش|تىرناق|تىرناق ئېلىش|تىرناق بوياش|خېنە|گىرىم
	💅🏾;تىرناق بوياش: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئاسراش|تىرناق|تىرناق ئېلىش|تىرناق بوياش|خېنە|گىرىم
	💅🏿;تىرناق بوياش: توق تېرە رەڭ;ئاسراش|توق تېرە رەڭ|تىرناق|تىرناق ئېلىش|تىرناق بوياش|خېنە|گىرىم
🤳;ئۆزتارتىم;ئۆزتارتىم|تېلېفون|كامېرا
	🤳🏻;ئۆزتارتىم: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئۆزتارتىم|تېلېفون|كامېرا
	🤳🏼;ئۆزتارتىم: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئۆزتارتىم|تېلېفون|كامېرا
	🤳🏽;ئۆزتارتىم: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئۆزتارتىم|تېلېفون|كامېرا
	🤳🏾;ئۆزتارتىم: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئۆزتارتىم|تېلېفون|كامېرا
	🤳🏿;ئۆزتارتىم: توق تېرە رەڭ;ئۆزتارتىم|توق تېرە رەڭ|تېلېفون|كامېرا
💪;ئېگىلگەن بىلەك;ئېگىش|ئېگىلگەن بىلەك|بىلەك|كۈلكىلىك|مۇسكۇل
	💪🏻;ئېگىلگەن بىلەك: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئېگىش|ئېگىلگەن بىلەك|بىلەك|كۈلكىلىك|مۇسكۇل
	💪🏼;ئېگىلگەن بىلەك: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئېگىش|ئېگىلگەن بىلەك|بىلەك|كۈلكىلىك|مۇسكۇل
	💪🏽;ئېگىلگەن بىلەك: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئېگىش|ئېگىلگەن بىلەك|بىلەك|كۈلكىلىك|مۇسكۇل
	💪🏾;ئېگىلگەن بىلەك: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئېگىش|ئېگىلگەن بىلەك|بىلەك|كۈلكىلىك|مۇسكۇل
	💪🏿;ئېگىلگەن بىلەك: توق تېرە رەڭ;ئېگىش|ئېگىلگەن بىلەك|بىلەك|توق تېرە رەڭ|كۈلكىلىك|مۇسكۇل
🦾;;
🦿;;
🦵;;
	🦵🏻;;
	🦵🏼;;
	🦵🏽;;
	🦵🏾;;
	🦵🏿;;
🦶;;
	🦶🏻;;
	🦶🏼;;
	🦶🏽;;
	🦶🏾;;
	🦶🏿;;
👂;قۇلاق;قۇلاق|گەۋدە
	👂🏻;قۇلاق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|قۇلاق|گەۋدە
	👂🏼;قۇلاق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|قۇلاق|گەۋدە
	👂🏽;قۇلاق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|قۇلاق|گەۋدە
	👂🏾;قۇلاق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|قۇلاق|گەۋدە
	👂🏿;قۇلاق: توق تېرە رەڭ;توق تېرە رەڭ|قۇلاق|گەۋدە
🦻;;
	🦻🏻;;
	🦻🏼;;
	🦻🏽;;
	🦻🏾;;
	🦻🏿;;
👃;بۇرۇن;بۇرۇن|گەۋدە
	👃🏻;بۇرۇن: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|بۇرۇن|گەۋدە
	👃🏼;بۇرۇن: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|بۇرۇن|گەۋدە
	👃🏽;بۇرۇن: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|بۇرۇن|گەۋدە
	👃🏾;بۇرۇن: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|بۇرۇن|گەۋدە
	👃🏿;بۇرۇن: توق تېرە رەڭ;بۇرۇن|توق تېرە رەڭ|گەۋدە
🧠;مېڭە;ئەقىللىق|مېڭە
🫀;;
🫁;;
🦷;;
🦴;;
👀;كۆزلەر;چىراي|كۆز|كۆزلەر
👁️;كۆز;كۆز|گەۋدە
👅;تىل;تىل|گەۋدە
👄;ئېغىز;ئېغىز|لەۋ
🫦;;
👶;بوۋاق;بوۋاق|ياش
	👶🏻;بوۋاق: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|بوۋاق|ياش
	👶🏼;بوۋاق: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|بوۋاق|ياش
	👶🏽;بوۋاق: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|بوۋاق|ياش
	👶🏾;بوۋاق: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|بوۋاق|ياش
	👶🏿;بوۋاق: توق تېرە رەڭ;بوۋاق|توق تېرە رەڭ|ياش
🧒;بالا;بالا|جىنسسىز|ياش
	🧒🏻;بالا: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|بالا|جىنسسىز|ياش
	🧒🏼;بالا: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|بالا|جىنسسىز|ياش
	🧒🏽;بالا: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|بالا|جىنسسىز|ياش
	🧒🏾;بالا: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|بالا|جىنسسىز|ياش
	🧒🏿;بالا: توق تېرە رەڭ;بالا|توق تېرە رەڭ|جىنسسىز|ياش
👦;ئوغۇل;ئوغۇل|ياش
	👦🏻;ئوغۇل: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئوغۇل|ياش
	👦🏼;ئوغۇل: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئوغۇل|ياش
	👦🏽;ئوغۇل: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئوغۇل|ياش
	👦🏾;ئوغۇل: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئوغۇل|ياش
	👦🏿;ئوغۇل: توق تېرە رەڭ;ئوغۇل|توق تېرە رەڭ|ياش
👧;قىز;قىز|قىزچاق|مۆچەل
	👧🏻;قىز: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|قىز|قىزچاق|مۆچەل
	👧🏼;قىز: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|قىز|قىزچاق|مۆچەل
	👧🏽;قىز: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|قىز|قىزچاق|مۆچەل
	👧🏾;قىز: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|قىز|قىزچاق|مۆچەل
	👧🏿;قىز: توق تېرە رەڭ;توق تېرە رەڭ|قىز|قىزچاق|مۆچەل
🧑;چوڭلار;جىنىسسىز|چوڭلار
	🧑🏻;چوڭلار: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|جىنىسسىز|چوڭلار
	🧑🏼;چوڭلار: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|جىنىسسىز|چوڭلار
	🧑🏽;چوڭلار: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|جىنىسسىز|چوڭلار
	🧑🏾;چوڭلار: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|جىنىسسىز|چوڭلار
	🧑🏿;چوڭلار: توق تېرە رەڭ;توق تېرە رەڭ|جىنىسسىز|چوڭلار
👱;ئالتۇن چاچ كىشى;ئالتۇن چاچ|ئالتۇن چاچ كىشى
	👱🏻;ئالتۇن چاچ كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئالتۇن چاچ|ئالتۇن چاچ كىشى
	👱🏼;ئالتۇن چاچ كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ كىشى
	👱🏽;ئالتۇن چاچ كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ كىشى
	👱🏾;ئالتۇن چاچ كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ كىشى
	👱🏿;ئالتۇن چاچ كىشى: توق تېرە رەڭ;ئالتۇن چاچ|ئالتۇن چاچ كىشى|توق تېرە رەڭ
👨;ئەر;ئەر
	👨🏻;ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر
	👨🏼;ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر
	👨🏽;ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر
	👨🏾;ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر
	👨🏿;ئەر: توق تېرە رەڭ;ئەر|توق تېرە رەڭ
🧔;ساقاللىق كىشى;ساقال|ساقاللىق كىشى
	🧔🏻;ساقاللىق كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ساقال|ساقاللىق كىشى
	🧔🏼;ساقاللىق كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ساقال|ساقاللىق كىشى
	🧔🏽;ساقاللىق كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ساقال|ساقاللىق كىشى
	🧔🏾;ساقاللىق كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ساقال|ساقاللىق كىشى
	🧔🏿;ساقاللىق كىشى: توق تېرە رەڭ;توق تېرە رەڭ|ساقال|ساقاللىق كىشى
🧔‍♂️;;
	🧔🏻‍♂️;;
	🧔🏼‍♂️;;
	🧔🏽‍♂️;;
	🧔🏾‍♂️;;
	🧔🏿‍♂️;;
🧔‍♀️;;
	🧔🏻‍♀️;;
	🧔🏼‍♀️;;
	🧔🏽‍♀️;;
	🧔🏾‍♀️;;
	🧔🏿‍♀️;;
👨‍🦰;;
	👨🏻‍🦰;;
	👨🏼‍🦰;;
	👨🏽‍🦰;;
	👨🏾‍🦰;;
	👨🏿‍🦰;;
👨‍🦱;;
	👨🏻‍🦱;;
	👨🏼‍🦱;;
	👨🏽‍🦱;;
	👨🏾‍🦱;;
	👨🏿‍🦱;;
👨‍🦳;;
	👨🏻‍🦳;;
	👨🏼‍🦳;;
	👨🏽‍🦳;;
	👨🏾‍🦳;;
	👨🏿‍🦳;;
👨‍🦲;;
	👨🏻‍🦲;;
	👨🏼‍🦲;;
	👨🏽‍🦲;;
	👨🏾‍🦲;;
	👨🏿‍🦲;;
👩;ئايال;ئايال
	👩🏻;ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال
	👩🏼;ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال
	👩🏽;ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال
	👩🏾;ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال
	👩🏿;ئايال: توق تېرە رەڭ;ئايال|توق تېرە رەڭ
👩‍🦰;;
	👩🏻‍🦰;;
	👩🏼‍🦰;;
	👩🏽‍🦰;;
	👩🏾‍🦰;;
	👩🏿‍🦰;;
🧑‍🦰;;
	🧑🏻‍🦰;;
	🧑🏼‍🦰;;
	🧑🏽‍🦰;;
	🧑🏾‍🦰;;
	🧑🏿‍🦰;;
👩‍🦱;;
	👩🏻‍🦱;;
	👩🏼‍🦱;;
	👩🏽‍🦱;;
	👩🏾‍🦱;;
	👩🏿‍🦱;;
🧑‍🦱;;
	🧑🏻‍🦱;;
	🧑🏼‍🦱;;
	🧑🏽‍🦱;;
	🧑🏾‍🦱;;
	🧑🏿‍🦱;;
👩‍🦳;;
	👩🏻‍🦳;;
	👩🏼‍🦳;;
	👩🏽‍🦳;;
	👩🏾‍🦳;;
	👩🏿‍🦳;;
🧑‍🦳;;
	🧑🏻‍🦳;;
	🧑🏼‍🦳;;
	🧑🏽‍🦳;;
	🧑🏾‍🦳;;
	🧑🏿‍🦳;;
👩‍🦲;;
	👩🏻‍🦲;;
	👩🏼‍🦲;;
	👩🏽‍🦲;;
	👩🏾‍🦲;;
	👩🏿‍🦲;;
🧑‍🦲;;
	🧑🏻‍🦲;;
	🧑🏼‍🦲;;
	🧑🏽‍🦲;;
	🧑🏾‍🦲;;
	🧑🏿‍🦲;;
👱‍♀️;ئالتۇن چاچ ئايال;ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئايال
	👱🏻‍♀️;ئالتۇن چاچ ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئايال
	👱🏼‍♀️;ئالتۇن چاچ ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئايال
	👱🏽‍♀️;ئالتۇن چاچ ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئايال
	👱🏾‍♀️;ئالتۇن چاچ ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئايال
	👱🏿‍♀️;ئالتۇن چاچ ئايال: توق تېرە رەڭ;ئالتۇن چاچ|ئالتۇن چاچ ئايال|ئايال|توق تېرە رەڭ
👱‍♂️;ئالتۇن چاچ ئەر;ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئەر
	👱🏻‍♂️;ئالتۇن چاچ ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئەر
	👱🏼‍♂️;ئالتۇن چاچ ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئەر
	👱🏽‍♂️;ئالتۇن چاچ ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئەر
	👱🏾‍♂️;ئالتۇن چاچ ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئەر
	👱🏿‍♂️;ئالتۇن چاچ ئەر: توق تېرە رەڭ;ئالتۇن چاچ|ئالتۇن چاچ ئەر|ئەر|توق تېرە رەڭ
🧓;قېرىلار;جىنىسسىز|قېرى|قېرىلار
	🧓🏻;قېرىلار: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|جىنىسسىز|قېرى|قېرىلار
	🧓🏼;قېرىلار: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|جىنىسسىز|قېرى|قېرىلار
	🧓🏽;قېرىلار: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|جىنىسسىز|قېرى|قېرىلار
	🧓🏾;قېرىلار: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|جىنىسسىز|قېرى|قېرىلار
	🧓🏿;قېرىلار: توق تېرە رەڭ;توق تېرە رەڭ|جىنىسسىز|قېرى|قېرىلار
👴;بوۋاي;ئەر|بوۋاي|قېرى
	👴🏻;بوۋاي: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|بوۋاي|قېرى
	👴🏼;بوۋاي: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|بوۋاي|قېرى
	👴🏽;بوۋاي: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|بوۋاي|قېرى
	👴🏾;بوۋاي: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|بوۋاي|قېرى
	👴🏿;بوۋاي: توق تېرە رەڭ;ئەر|بوۋاي|توق تېرە رەڭ|قېرى
👵;موماي;ئايال|قېرى|موماي
	👵🏻;موماي: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|قېرى|موماي
	👵🏼;موماي: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|قېرى|موماي
	👵🏽;موماي: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|قېرى|موماي
	👵🏾;موماي: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|قېرى|موماي
	👵🏿;موماي: توق تېرە رەڭ;ئايال|توق تېرە رەڭ|قېرى|موماي
🙍;قوشۇمىسىنى تۈرگەن كىشى;ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى
	🙍🏻;قوشۇمىسىنى تۈرگەن كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى
	🙍🏼;قوشۇمىسىنى تۈرگەن كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى
	🙍🏽;قوشۇمىسىنى تۈرگەن كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى
	🙍🏾;قوشۇمىسىنى تۈرگەن كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئشارە|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى
	🙍🏿;قوشۇمىسىنى تۈرگەن كىشى: توق تېرە رەڭ;ئشارە|توق تېرە رەڭ|قوشۇما|قوشۇمىسىنى تۈرگەن كىشى
🙍‍♂️;قوشۇمىسىنى تۈرگەن ئەر;ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر
	🙍🏻‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر
	🙍🏼‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر
	🙍🏽‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر
	🙍🏾‍♂️;قوشۇمىسىنى تۈرگەن ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر
	🙍🏿‍♂️;قوشۇمىسىنى تۈرگەن ئەر: توق تېرە رەڭ;ئەر|ئىشارە|توق تېرە رەڭ|قوشۇما|قوشۇمىسىنى تۈرگەن ئەر
🙍‍♀️;قوشۇمىسىنى تۈرگەن ئايال;ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال
	🙍🏻‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال
	🙍🏼‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال
	🙍🏽‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال
	🙍🏾‍♀️;قوشۇمىسىنى تۈرگەن ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئىشارە|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال
	🙍🏿‍♀️;قوشۇمىسىنى تۈرگەن ئايال: توق تېرە رەڭ;ئايال|ئىشارە|توق تېرە رەڭ|قوشۇما|قوشۇمىسىنى تۈرگەن ئايال
🙎;ھومايغان كىشى;ئىشارە|ھومايغان كىشى|ھومىيىش
	🙎🏻;ھومايغان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئىشارە|ھومايغان كىشى|ھومىيىش
	🙎🏼;ھومايغان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئىشارە|ھومايغان كىشى|ھومىيىش
	🙎🏽;ھومايغان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئىشارە|ھومايغان كىشى|ھومىيىش
	🙎🏾;ھومايغان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئىشارە|ھومايغان كىشى|ھومىيىش
	🙎🏿;ھومايغان كىشى: توق تېرە رەڭ;ئىشارە|توق تېرە رەڭ|ھومايغان كىشى|ھومىيىش
🙎‍♂️;ھومايغان ئەر;ئەر|ئىشارە|ھومايغان ئەر|ھومىيىش
	🙎🏻‍♂️;ھومايغان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئىشارە|ھومايغان ئەر|ھومىيىش
	🙎🏼‍♂️;ھومايغان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئىشارە|ھومايغان ئەر|ھومىيىش
	🙎🏽‍♂️;ھومايغان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئىشارە|ھومايغان ئەر|ھومىيىش
	🙎🏾‍♂️;ھومايغان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئىشارە|ھومايغان ئەر|ھومىيىش
	🙎🏿‍♂️;ھومايغان ئەر: توق تېرە رەڭ;ئەر|ئىشارە|توق تېرە رەڭ|ھومايغان ئەر|ھومىيىش
🙎‍♀️;ھومايغان ئايال;ئايال|ئىشارە|ھومايغان ئايال|ھومىيىش
	🙎🏻‍♀️;ھومايغان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئىشارە|ھومايغان ئايال|ھومىيىش
	🙎🏼‍♀️;ھومايغان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئىشارە|ھومايغان ئايال|ھومىيىش
	🙎🏽‍♀️;ھومايغان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئىشارە|ھومايغان ئايال|ھومىيىش
	🙎🏾‍♀️;ھومايغان ئايال: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئايال|ئىشارە|ھومايغان ئايال|ھومىيىش
	🙎🏿‍♀️;ھومايغان ئايال: توق تېرە رەڭ;ئايال|ئىشارە|توق تېرە رەڭ|ھومايغان ئايال|ھومىيىش
🙅;ياق دەپ ئىشارە قىلغان كىشى;ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى
	🙅🏻;ياق دەپ ئىشارە قىلغان كىشى: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى
	🙅🏼;ياق دەپ ئىشارە قىلغان كىشى: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى
	🙅🏽;ياق دەپ ئىشارە قىلغان كىشى: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى
	🙅🏾;ياق دەپ ئىشارە قىلغان كىشى: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى
	🙅🏿;ياق دەپ ئىشارە قىلغان كىشى: توق تېرە رەڭ;ئەمەس|ئىشارە|توسۇش|توق تېرە رەڭ|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان كىشى
🙅‍♂️;ياق دەپ ئىشارە قىلغان ئەر;ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر
	🙅🏻‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر
	🙅🏼‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر
	🙅🏽‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر
	🙅🏾‍♂️;ياق دەپ ئىشارە قىلغان ئەر: ئارا توق تېرە رەڭگى;ئارا توق تېرە رەڭگى|ئەر|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر
	🙅🏿‍♂️;ياق دەپ ئىشارە قىلغان ئەر: توق تېرە رەڭ;ئەر|ئەمەس|ئىشارە|توسۇش|توق تېرە رەڭ|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئەر
🙅‍♀️;ياق دەپ ئىشارە قىلغان ئايال;ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال
	🙅🏻‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئاچ تېرە رەڭ;ئاچ تېرە رەڭ|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال
	🙅🏼‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئارا ئاچ تېرە رەڭگى;ئارا ئاچ تېرە رەڭگى|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال
	🙅🏽‍♀️;ياق دەپ ئىشارە قىلغان ئايال: ئارا تېرە رەڭگى;ئارا تېرە رەڭگى|ئايال|ئەمەس|ئىشارە|توسۇش|چەكلەنگەن|قول|ياق|ياق دەپ ئىشارە قىلغان ئايال
