# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;fytyrë e zgërdheshur;fytyrë|fytyrë e zgërdheshur|zgërdheshje|zgërdhihem
	🧑🏾‍🦱;fëmijë i rritur: nuancë lëkure gjysmë e errët e flokë kaçurrele;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure gjysmë e errët e flokë kaçurrele|flokë kaçurrele|i rritur|nuancë lëkure gjysmë e errët
	🧑🏿‍🦱;fëmijë i rritur: nuancë lëkure e errët e flokë kaçurrele;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure e errët e flokë kaçurrele|flokë kaçurrele|i rritur|nuancë lëkure e errët
👩‍🦳;grua: flokë të bardha;femër|flokë të bardha|grua|grua: flokë të bardha
	👩🏻‍🦳;grua: nuancë lëkure e çelët e flokë të bardha;femër|flokë të bardha|grua|grua: nuancë lëkure e çelët e flokë të bardha|nuancë lëkure e çelët
	👩🏼‍🦳;grua: nuancë lëkure gjysmë e çelët e flokë të bardha;femër|flokë të bardha|grua|grua: nuancë lëkure gjysmë e çelët e flokë të bardha|nuancë lëkure gjysmë e çelët
	👩🏽‍🦳;grua: nuancë lëkure zeshkane e flokë të bardha;femër|flokë të bardha|grua|grua: nuancë lëkure zeshkane e flokë të bardha|nuancë lëkure zeshkane
	👩🏾‍🦳;grua: nuancë lëkure gjysmë e errët e flokë të bardha;femër|flokë të bardha|grua|grua: nuancë lëkure gjysmë e errët e flokë të bardha|nuancë lëkure gjysmë e errët
	👩🏿‍🦳;grua: nuancë lëkure e errët e flokë të bardha;femër|flokë të bardha|grua|grua: nuancë lëkure e errët e flokë të bardha|nuancë lëkure e errët
🧑‍🦳;fëmijë i rritur: flokë të bardha;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: flokë të bardha|flokë të bardha|i rritur
	🧑🏻‍🦳;fëmijë i rritur: nuancë lëkure e çelët e flokë të bardha;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure e çelët e flokë të bardha|flokë të bardha|i rritur|nuancë lëkure e çelët
	🧑🏼‍🦳;fëmijë i rritur: nuancë lëkure gjysmë e çelët e flokë të bardha;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure gjysmë e çelët e flokë të bardha|flokë të bardha|i rritur|nuancë lëkure gjysmë e çelët
	🧑🏽‍🦳;fëmijë i rritur: nuancë lëkure zeshkane e flokë të bardha;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure zeshkane e flokë të bardha|flokë të bardha|i rritur|nuancë lëkure zeshkane
	🧑🏾‍🦳;fëmijë i rritur: nuancë lëkure gjysmë e errët e flokë të bardha;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure gjysmë e errët e flokë të bardha|flokë të bardha|i rritur|nuancë lëkure gjysmë e errët
	🧑🏿‍🦳;fëmijë i rritur: nuancë lëkure e errët e flokë të bardha;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure e errët e flokë të bardha|flokë të bardha|i rritur|nuancë lëkure e errët
👩‍🦲;grua: qeros;femër|grua|grua: qeros|qeros
	👩🏻‍🦲;grua: nuancë lëkure e çelët e qeros;femër|grua|grua: nuancë lëkure e çelët e qeros|nuancë lëkure e çelët|qeros
	👩🏼‍🦲;grua: nuancë lëkure gjysmë e çelët e qeros;femër|grua|grua: nuancë lëkure gjysmë e çelët e qeros|nuancë lëkure gjysmë e çelët|qeros
	👩🏽‍🦲;grua: nuancë lëkure zeshkane e qeros;femër|grua|grua: nuancë lëkure zeshkane e qeros|nuancë lëkure zeshkane|qeros
	👩🏾‍🦲;grua: nuancë lëkure gjysmë e errët e qeros;femër|grua|grua: nuancë lëkure gjysmë e errët e qeros|nuancë lëkure gjysmë e errët|qeros
	👩🏿‍🦲;grua: nuancë lëkure e errët e qeros;femër|grua|grua: nuancë lëkure e errët e qeros|nuancë lëkure e errët|qeros
🧑‍🦲;fëmijë i rritur: qeros;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: qeros|i rritur|qeros
	🧑🏻‍🦲;fëmijë i rritur: nuancë lëkure e çelët e qeros;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure e çelët e qeros|i rritur|nuancë lëkure e çelët|qeros
	🧑🏼‍🦲;fëmijë i rritur: nuancë lëkure gjysmë e çelët e qeros;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure gjysmë e çelët e qeros|i rritur|nuancë lëkure gjysmë e çelët|qeros
	🧑🏽‍🦲;fëmijë i rritur: nuancë lëkure zeshkane e qeros;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure zeshkane e qeros|i rritur|nuancë lëkure zeshkane|qeros
	🧑🏾‍🦲;fëmijë i rritur: nuancë lëkure gjysmë e errët e qeros;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure gjysmë e errët e qeros|i rritur|nuancë lëkure gjysmë e errët|qeros
	🧑🏿‍🦲;fëmijë i rritur: nuancë lëkure e errët e qeros;adoleshent|adoleshente|e rritur|fëmijë i rritur|fëmijë i rritur: nuancë lëkure e errët e qeros|i rritur|nuancë lëkure e errët|qeros
👱‍♀️;grua bionde;bionde|femër|grua
	👱🏻‍♀️;grua bionde: nuancë lëkure e çelët;bionde|femër|grua|grua bionde: nuancë lëkure e çelët|nuancë lëkure e çelët
	👱🏼‍♀️;grua bionde: nuancë lëkure gjysmë e çelët;bionde|femër|grua|grua bionde: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët
	👱🏽‍♀️;grua bionde: nuancë lëkure zeshkane;bionde|femër|grua|grua bionde: nuancë lëkure zeshkane|nuancë lëkure zeshkane
	👱🏾‍♀️;grua bionde: nuancë lëkure gjysmë e errët;bionde|femër|grua|grua bionde: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët
	👱🏿‍♀️;grua bionde: nuancë lëkure e errët;bionde|femër|grua|grua bionde: nuancë lëkure e errët|nuancë lëkure e errët
👱‍♂️;burrë biond;biond|burrë|mashkull
	👱🏻‍♂️;burrë biond: nuancë lëkure e çelët;biond|burrë|burrë biond: nuancë lëkure e çelët|mashkull|nuancë lëkure e çelët
	👱🏼‍♂️;burrë biond: nuancë lëkure gjysmë e çelët;biond|burrë|burrë biond: nuancë lëkure gjysmë e çelët|mashkull|nuancë lëkure gjysmë e çelët
	👱🏽‍♂️;burrë biond: nuancë lëkure zeshkane;biond|burrë|burrë biond: nuancë lëkure zeshkane|mashkull|nuancë lëkure zeshkane
	👱🏾‍♂️;burrë biond: nuancë lëkure gjysmë e errët;biond|burrë|burrë biond: nuancë lëkure gjysmë e errët|mashkull|nuancë lëkure gjysmë e errët
	👱🏿‍♂️;burrë biond: nuancë lëkure e errët;biond|burrë|burrë biond: nuancë lëkure e errët|mashkull|nuancë lëkure e errët
🧓;i ri;i ri|i rritur
	🧓🏻;i ri: nuancë lëkure e çelët;i ri|i ri: nuancë lëkure e çelët|i rritur|nuancë lëkure e çelët
	🧓🏼;i ri: nuancë lëkure gjysmë e çelët;i ri|i ri: nuancë lëkure gjysmë e çelët|i rritur|nuancë lëkure gjysmë e çelët
	🧓🏽;i ri: nuancë lëkure zeshkane;i ri|i ri: nuancë lëkure zeshkane|i rritur|nuancë lëkure zeshkane
	🧓🏾;i ri: nuancë lëkure gjysmë e errët;i ri|i ri: nuancë lëkure gjysmë e errët|i rritur|nuancë lëkure gjysmë e errët
	🧓🏿;i ri: nuancë lëkure e errët;i ri|i ri: nuancë lëkure e errët|i rritur|nuancë lëkure e errët
👴;burrë i moshuar;burrë|burrë i moshuar|i moshuar|i vjetër
	👴🏻;burrë i moshuar: nuancë lëkure e çelët;burrë|burrë i moshuar|burrë i moshuar: nuancë lëkure e çelët|i moshuar|i vjetër|nuancë lëkure e çelët
	👴🏼;burrë i moshuar: nuancë lëkure gjysmë e çelët;burrë|burrë i moshuar|burrë i moshuar: nuancë lëkure gjysmë e çelët|i moshuar|i vjetër|nuancë lëkure gjysmë e çelët
	👴🏽;burrë i moshuar: nuancë lëkure zeshkane;burrë|burrë i moshuar|burrë i moshuar: nuancë lëkure zeshkane|i moshuar|i vjetër|nuancë lëkure zeshkane
	👴🏾;burrë i moshuar: nuancë lëkure gjysmë e errët;burrë|burrë i moshuar|burrë i moshuar: nuancë lëkure gjysmë e errët|i moshuar|i vjetër|nuancë lëkure gjysmë e errët
	👴🏿;burrë i moshuar: nuancë lëkure e errët;burrë|burrë i moshuar|burrë i moshuar: nuancë lëkure e errët|i moshuar|i vjetër|nuancë lëkure e errët
👵;grua e moshuar;e moshuar|e vjetër|grua|grua e moshuar
	👵🏻;grua e moshuar: nuancë lëkure e çelët;e moshuar|e vjetër|grua|grua e moshuar|grua e moshuar: nuancë lëkure e çelët|nuancë lëkure e çelët
	👵🏼;grua e moshuar: nuancë lëkure gjysmë e çelët;e moshuar|e vjetër|grua|grua e moshuar|grua e moshuar: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët
	👵🏽;grua e moshuar: nuancë lëkure zeshkane;e moshuar|e vjetër|grua|grua e moshuar|grua e moshuar: nuancë lëkure zeshkane|nuancë lëkure zeshkane
	👵🏾;grua e moshuar: nuancë lëkure gjysmë e errët;e moshuar|e vjetër|grua|grua e moshuar|grua e moshuar: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët
	👵🏿;grua e moshuar: nuancë lëkure e errët;e moshuar|e vjetër|grua|grua e moshuar|grua e moshuar: nuancë lëkure e errët|nuancë lëkure e errët
🙍;njeri i vrenjtur;gjest|njeri i vrenjtur|vrenjtje
	🙍🏻;njeri i vrenjtur: nuancë lëkure e çelët;gjest|njeri i vrenjtur|njeri i vrenjtur: nuancë lëkure e çelët|nuancë lëkure e çelët|vrenjtje
	🙍🏼;njeri i vrenjtur: nuancë lëkure gjysmë e çelët;gjest|njeri i vrenjtur|njeri i vrenjtur: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët|vrenjtje
	🙍🏽;njeri i vrenjtur: nuancë lëkure zeshkane;gjest|njeri i vrenjtur|njeri i vrenjtur: nuancë lëkure zeshkane|nuancë lëkure zeshkane|vrenjtje
	🙍🏾;njeri i vrenjtur: nuancë lëkure gjysmë e errët;gjest|njeri i vrenjtur|njeri i vrenjtur: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët|vrenjtje
	🙍🏿;njeri i vrenjtur: nuancë lëkure e errët;gjest|njeri i vrenjtur|njeri i vrenjtur: nuancë lëkure e errët|nuancë lëkure e errët|vrenjtje
🙍‍♂️;burrë i vrenjtur;burrë|burrë i vrenjtur|gjest|i vrenjtur
	🙍🏻‍♂️;burrë i vrenjtur: nuancë lëkure e çelët;burrë|burrë i vrenjtur|burrë i vrenjtur: nuancë lëkure e çelët|gjest|i vrenjtur|nuancë lëkure e çelët
	🙍🏼‍♂️;burrë i vrenjtur: nuancë lëkure gjysmë e çelët;burrë|burrë i vrenjtur|burrë i vrenjtur: nuancë lëkure gjysmë e çelët|gjest|i vrenjtur|nuancë lëkure gjysmë e çelët
	🙍🏽‍♂️;burrë i vrenjtur: nuancë lëkure zeshkane;burrë|burrë i vrenjtur|burrë i vrenjtur: nuancë lëkure zeshkane|gjest|i vrenjtur|nuancë lëkure zeshkane
	🙍🏾‍♂️;burrë i vrenjtur: nuancë lëkure gjysmë e errët;burrë|burrë i vrenjtur|burrë i vrenjtur: nuancë lëkure gjysmë e errët|gjest|i vrenjtur|nuancë lëkure gjysmë e errët
	🙍🏿‍♂️;burrë i vrenjtur: nuancë lëkure e errët;burrë|burrë i vrenjtur|burrë i vrenjtur: nuancë lëkure e errët|gjest|i vrenjtur|nuancë lëkure e errët
🙍‍♀️;grua e vrenjtur;e vrenjtur|gjest|grua|grua e vrenjtur
	🙍🏻‍♀️;grua e vrenjtur: nuancë lëkure e çelët;e vrenjtur|gjest|grua|grua e vrenjtur|grua e vrenjtur: nuancë lëkure e çelët|nuancë lëkure e çelët
	🙍🏼‍♀️;grua e vrenjtur: nuancë lëkure gjysmë e çelët;e vrenjtur|gjest|grua|grua e vrenjtur|grua e vrenjtur: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët
	🙍🏽‍♀️;grua e vrenjtur: nuancë lëkure zeshkane;e vrenjtur|gjest|grua|grua e vrenjtur|grua e vrenjtur: nuancë lëkure zeshkane|nuancë lëkure zeshkane
	🙍🏾‍♀️;grua e vrenjtur: nuancë lëkure gjysmë e errët;e vrenjtur|gjest|grua|grua e vrenjtur|grua e vrenjtur: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët
	🙍🏿‍♀️;grua e vrenjtur: nuancë lëkure e errët;e vrenjtur|gjest|grua|grua e vrenjtur|grua e vrenjtur: nuancë lëkure e errët|nuancë lëkure e errët
🙎;njeri i pakënaqur;gjest|i pakënaqur|njeri i pakënaqur
	🙎🏻;njeri i pakënaqur: nuancë lëkure e çelët;gjest|i pakënaqur|njeri i pakënaqur|njeri i pakënaqur: nuancë lëkure e çelët|nuancë lëkure e çelët
	🙎🏼;njeri i pakënaqur: nuancë lëkure gjysmë e çelët;gjest|i pakënaqur|njeri i pakënaqur|njeri i pakënaqur: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët
	🙎🏽;njeri i pakënaqur: nuancë lëkure zeshkane;gjest|i pakënaqur|njeri i pakënaqur|njeri i pakënaqur: nuancë lëkure zeshkane|nuancë lëkure zeshkane
	🙎🏾;njeri i pakënaqur: nuancë lëkure gjysmë e errët;gjest|i pakënaqur|njeri i pakënaqur|njeri i pakënaqur: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët
	🙎🏿;njeri i pakënaqur: nuancë lëkure e errët;gjest|i pakënaqur|njeri i pakënaqur|njeri i pakënaqur: nuancë lëkure e errët|nuancë lëkure e errët
🙎‍♂️;burrë i pakënaqur;burrë|burrë i pakënaqur|gjest|var buzët
	🙎🏻‍♂️;burrë i pakënaqur: nuancë lëkure e çelët;burrë|burrë i pakënaqur|burrë i pakënaqur: nuancë lëkure e çelët|gjest|nuancë lëkure e çelët|var buzët
	🙎🏼‍♂️;burrë i pakënaqur: nuancë lëkure gjysmë e çelët;burrë|burrë i pakënaqur|burrë i pakënaqur: nuancë lëkure gjysmë e çelët|gjest|nuancë lëkure gjysmë e çelët|var buzët
	🙎🏽‍♂️;burrë i pakënaqur: nuancë lëkure zeshkane;burrë|burrë i pakënaqur|burrë i pakënaqur: nuancë lëkure zeshkane|gjest|nuancë lëkure zeshkane|var buzët
	🙎🏾‍♂️;burrë i pakënaqur: nuancë lëkure gjysmë e errët;burrë|burrë i pakënaqur|burrë i pakënaqur: nuancë lëkure gjysmë e errët|gjest|nuancë lëkure gjysmë e errët|var buzët
	🙎🏿‍♂️;burrë i pakënaqur: nuancë lëkure e errët;burrë|burrë i pakënaqur|burrë i pakënaqur: nuancë lëkure e errët|gjest|nuancë lëkure e errët|var buzët
🙎‍♀️;grua e pakënaqur;gjest|grua|grua e pakënaqur|var buzët
	🙎🏻‍♀️;grua e pakënaqur: nuancë lëkure e çelët;gjest|grua|grua e pakënaqur|grua e pakënaqur: nuancë lëkure e çelët|nuancë lëkure e çelët|var buzët
	🙎🏼‍♀️;grua e pakënaqur: nuancë lëkure gjysmë e çelët;gjest|grua|grua e pakënaqur|grua e pakënaqur: nuancë lëkure gjysmë e çelët|nuancë lëkure gjysmë e çelët|var buzët
	🙎🏽‍♀️;grua e pakënaqur: nuancë lëkure zeshkane;gjest|grua|grua e pakënaqur|grua e pakënaqur: nuancë lëkure zeshkane|nuancë lëkure zeshkane|var buzët
	🙎🏾‍♀️;grua e pakënaqur: nuancë lëkure gjysmë e errët;gjest|grua|grua e pakënaqur|grua e pakënaqur: nuancë lëkure gjysmë e errët|nuancë lëkure gjysmë e errët|var buzët
	🙎🏿‍♀️;grua e pakënaqur: nuancë lëkure e errët;gjest|grua|grua e pakënaqur|grua e pakënaqur: nuancë lëkure e errët|nuancë lëkure e errët|var buzët
🙅;«jo» me gjeste;«jo» me gjeste|dorë|gjest|i ndaluar|ndalohet
	🙅🏻;«jo» me gjeste: nuancë lëkure e çelët;«jo» me gjeste|«jo» me gjeste: nuancë lëkure e çelët|dorë|gjest|i ndaluar|ndalohet|nuancë lëkure e çelët
	🙅🏼;«jo» me gjeste: nuancë lëkure gjysmë e çelët;«jo» me gjeste|«jo» me gjeste: nuancë lëkure gjysmë e çelët|dorë|gjest|i ndaluar|ndalohet|nuancë lëkure gjysmë e çelët
	🙅🏽;«jo» me gjeste: nuancë lëkure zeshkane;«jo» me gjeste|«jo» me gjeste: nuancë lëkure zeshkane|dorë|gjest|i ndaluar|ndalohet|nuancë lëkure zeshkane
	🙅🏾;«jo» me gjeste: nuancë lëkure gjysmë e errët;«jo» me gjeste|«jo» me gjeste: nuancë lëkure gjysmë e errët|dorë|gjest|i ndaluar|ndalohet|nuancë lëkure gjysmë e errët
	🙅🏿;«jo» me gjeste: nuancë lëkure e errët;«jo» me gjeste|«jo» me gjeste: nuancë lëkure e errët|dorë|gjest|i ndaluar|ndalohet|nuancë lëkure e errët
🙅‍♂️;burrë që bën gjestin e ndaluar;burrë|burrë që bën gjestin e ndaluar|e ndaluar|gjest|jo në rregull
	🙅🏻‍♂️;burrë që bën gjestin e ndaluar: nuancë lëkure e çelët;burrë|burrë që bën gjestin e ndaluar|burrë që bën gjestin e ndaluar: nuancë lëkure e çelët|e ndaluar|gjest|jo në rregull|nuancë lëkure e çelët
	🙅🏼‍♂️;burrë që bën gjestin e ndaluar: nuancë lëkure gjysmë e çelët;burrë|burrë që bën gjestin e ndaluar|burrë që bën gjestin e ndaluar: nuancë lëkure gjysmë e çelët|e ndaluar|gjest|jo në rregull|nuancë lëkure gjysmë e çelët
	🙅🏽‍♂️;burrë që bën gjestin e ndaluar: nuancë lëkure zeshkane;burrë|burrë që bën gjestin e ndaluar|burrë që bën gjestin e ndaluar: nuancë lëkure zeshkane|e ndaluar|gjest|jo në rregull|nuancë lëkure zeshkane
	🙅🏾‍♂️;burrë që bën gjestin e ndaluar: nuancë lëkure gjysmë e errët;burrë|burrë që bën gjestin e ndaluar|burrë që bën gjestin e ndaluar: nuancë lëkure gjysmë e errët|e ndaluar|gjest|jo në rregull|nuancë lëkure gjysmë e errët
	🙅🏿‍♂️;burrë që bën gjestin e ndaluar: nuancë lëkure e errët;burrë|burrë që bën gjestin e ndaluar|burrë që bën gjestin e ndaluar: nuancë lëkure e errët|e ndaluar|gjest|jo në rregull|nuancë lëkure e errët
🙅‍♀️;grua që bën gjestin e ndaluar;e ndaluar|gjest|grua|grua që bën gjestin e ndaluar|jo në rregull
	🙅🏻‍♀️;grua që bën gjestin e ndaluar: nuancë lëkure e çelët;e ndaluar|gjest|grua|grua që bën gjestin e ndaluar|grua që bën gjestin e ndaluar: nuancë lëkure e çelët|jo në rregull|nuancë lëkure e çelët
	🙅🏼‍♀️;grua që bën gjestin e ndaluar: nuancë lëkure gjysmë e çelët;e ndaluar|gjest|grua|grua që bën gjestin e ndaluar|grua që bën gjestin e ndaluar: nuancë lëkure gjysmë e çelët|jo në rregull|nuancë lëkure gjysmë e çelët
	🙅🏽‍♀️;grua që bën gjestin e ndaluar: nuancë lëkure zeshkane;e ndaluar|gjest|grua|grua që bën gjestin e ndaluar|grua që bën gjestin e ndaluar: nuancë lëkure zeshkane|jo në rregull|nuancë lëkure zeshkane
	🙅🏾‍♀️;grua që bën gjestin e ndaluar: nuancë lëkure gjysmë e errët;e ndaluar|gjest|grua|grua që bën gjestin e ndaluar|grua që bën gjestin e ndaluar: nuancë lëkure gjysmë e errët|jo në rregull|nuancë lëkure gjysmë e errët
	🙅🏿‍♀️;grua që bën gjestin e ndaluar: nuancë lëkure e errët;e ndaluar|gjest|grua|grua që bën gjestin e ndaluar|grua që bën gjestin e ndaluar: nuancë lëkure e errët|jo në rregull|nuancë lëkure e errët
🙆;«në rregull» me gjeste;«në rregull» me gjeste|dorë|gjest|në rregull|ok
	🙆🏻;«në rregull» me gjeste: nuancë lëkure e çelët;«në rregull» me gjeste|«në rregull» me gjeste: nuancë lëkure e çelët|dorë|gjest|në rregull|nuancë lëkure e çelët|ok
	🙆🏼;«në rregull» me gjeste: nuancë lëkure gjysmë e çelët;«në rregull» me gjeste|«në rregull» me gjeste: nuancë lëkure gjysmë e çelët|dorë|gjest|në rregull|nuancë lëkure gjysmë e çelët|ok
	🙆🏽;«në rregull» me gjeste: nuancë lëkure zeshkane;«në rregull» me gjeste|«në rregull» me gjeste: nuancë lëkure zeshkane|dorë|gjest|në rregull|nuancë lëkure zeshkane|ok
	🙆🏾;«në rregull» me gjeste: nuancë lëkure gjysmë e errët;«në rregull» me gjeste|«në rregull» me gjeste: nuancë lëkure gjysmë e errët|dorë|gjest|në rregull|nuancë lëkure gjysmë e errët|ok
	🙆🏿;«në rregull» me gjeste: nuancë lëkure e errët;«në rregull» me gjeste|«në rregull» me gjeste: nuancë lëkure e errët|dorë|gjest|në rregull|nuancë lëkure e errët|ok
🙆‍♂️;burrë që bën gjestin në rregull;burrë|burrë që bën gjestin në rregull|dorë|gjest|në rregull
	🙆🏻‍♂️;burrë që bën gjestin në rregull: nuancë lëkure e çelët;burrë|burrë që bën gjestin në rregull|burrë që bën gjestin në rregull: nuancë lëkure e çelët|dorë|gjest|në rregull|nuancë lëkure e çelët
	🙆🏼‍♂️;burrë që bën gjestin në rregull: nuancë lëkure gjysmë e çelët;burrë|burrë që bën gjestin në rregull|burrë që bën gjestin në rregull: nuancë lëkure gjysmë e çelët|dorë|gjest|në rregull|nuancë lëkure gjysmë e çelët
	🙆🏽‍♂️;burrë që bën gjestin në rregull: nuancë lëkure zeshkane;burrë|burrë që bën gjestin në rregull|burrë që bën gjestin në rregull: nuancë lëkure zeshkane|dorë|gjest|në rregull|nuancë lëkure zeshkane
	🙆🏾‍♂️;burrë që bën gjestin në rregull: nuancë lëkure gjysmë e errët;burrë|burrë që bën gjestin në rregull|burrë që bën gjestin në rregull: nuancë lëkure gjysmë e errët|dorë|gjest|në rregull|nuancë lëkure gjysmë e errët
	🙆🏿‍♂️;burrë që bën gjestin në rregull: nuancë lëkure e errët;burrë|burrë që bën gjestin në rregull|burrë që bën gjestin në rregull: nuancë lëkure e errët|dorë|gjest|në rregull|nuancë lëkure e errët
🙆‍♀️;grua që bën gjestin në rregull;dorë|gjest|grua|grua që bën gjestin në rregull|në rregull
	🙆🏻‍♀️;grua që bën gjestin në rregull: nuancë lëkure e çelët;dorë|gjest|grua|grua që bën gjestin në rregull|grua që bën gjestin në rregull: nuancë lëkure e çelët|në rregull|nuancë lëkure e çelët
	🙆🏼‍♀️;grua që bën gjestin në rregull: nuancë lëkure gjysmë e çelët;dorë|gjest|grua|grua që bën gjestin në rregull|grua që bën gjestin në rregull: nuancë lëkure gjysmë e çelët|në rregull|nuancë lëkure gjysmë e çelët
	🙆🏽‍♀️;grua që bën gjestin në rregull: nuancë lëkure zeshkane;dorë|gjest|grua|grua që bën gjestin në rregull|grua që bën gjestin në rregull: nuancë lëkure zeshkane|në rregull|nuancë lëkure zeshkane
	🙆🏾‍♀️;grua që bën gjestin në rregull: nuancë lëkure gjysmë e errët;dorë|gjest|grua|grua që bën gjestin në rregull|grua që bën gjestin në rregull: nuancë lëkure gjysmë e errët|në rregull|nuancë lëkure gjysmë e errët
	🙆🏿‍♀️;grua që bën gjestin në rregull: nuancë lëkure e errët;dorë|gjest|grua|grua që bën gjestin në rregull|grua që bën gjestin në rregull: nuancë lëkure e errët|në rregull|nuancë lëkure e errët
💁;personi i sportelit të informacionit;aktiv|dorë|informacion|ndihmë|personi i sportelit të informacionit
	💁🏻;personi i sportelit të informacionit: nuancë lëkure e çelët;aktiv|dorë|informacion|ndihmë|nuancë lëkure e çelët|personi i sportelit të informacionit|personi i sportelit të informacionit: nuancë lëkure e çelët
	💁🏼;personi i sportelit të informacionit: nuancë lëkure gjysmë e çelët;aktiv|dorë|informacion|ndihmë|nuancë lëkure gjysmë e çelët|personi i sportelit të informacionit|personi i sportelit të informacionit: nuancë lëkure gjysmë e çelët
	💁🏽;personi i sportelit të informacionit: nuancë lëkure zeshkane;aktiv|dorë|informacion|ndihmë|nuancë lëkure zeshkane|personi i sportelit të informacionit|personi i sportelit të informacionit: nuancë lëkure zeshkane
	💁🏾;personi i sportelit të informacionit: nuancë lëkure gjysmë e errët;aktiv|dorë|informacion|ndihmë|nuancë lëkure gjysmë e errët|personi i sportelit të informacionit|personi i sportelit të informacionit: nuancë lëkure gjysmë e errët
	💁🏿;personi i sportelit të informacionit: nuancë lëkure e errët;aktiv|dorë|informacion|ndihmë|nuancë lëkure e errët|personi i sportelit të informacionit|personi i sportelit të informacionit: nuancë lëkure e errët
💁‍♂️;burrë që tregon me dorë;burrë|burrë që tregon me dorë|informacion|tregues
	💁🏻‍♂️;burrë që tregon me dorë: nuancë lëkure e çelët;burrë|burrë që tregon me dorë|burrë që tregon me dorë: nuancë lëkure e çelët|informacion|nuancë lëkure e çelët|tregues
	💁🏼‍♂️;burrë që tregon me dorë: nuancë lëkure gjysmë e çelët;burrë|burrë që tregon me dorë|burrë që tregon me dorë: nuancë lëkure gjysmë e çelët|informacion|nuancë lëkure gjysmë e çelët|tregues
	💁🏽‍♂️;burrë që tregon me dorë: nuancë lëkure zeshkane;burrë|burrë që tregon me dorë|burrë që tregon me dorë: nuancë lëkure zeshkane|informacion|nuancë lëkure zeshkane|tregues
	💁🏾‍♂️;burrë që tregon me dorë: nuancë lëkure gjysmë e errët;burrë|burrë që tregon me dorë|burrë që tregon me dorë: nuancë lëkure gjysmë e errët|informacion|nuancë lëkure gjysmë e errët|tregues
	💁🏿‍♂️;burrë që tregon me dorë: nuancë lëkure e errët;burrë|burrë që tregon me dorë|burrë që tregon me dorë: nuancë lëkure e errët|informacion|nuancë lëkure e errët|tregues
💁‍♀️;grua që tregon me dorë;grua|grua që tregon me dorë|informacion|tregues
	💁🏻‍♀️;grua që tregon me dorë: nuancë lëkure e çelët;grua|grua që tregon me dorë|grua që tregon me dorë: nuancë lëkure e çelët|informacion|nuancë lëkure e çelët|tregues
	💁🏼‍♀️;grua që tregon me dorë: nuancë lëkure gjysmë e çelët;grua|grua që tregon me dorë|grua që tregon me dorë: nuancë lëkure gjysmë e çelët|informacion|nuancë lëkure gjysmë e çelët|tregues
	💁🏽‍♀️;grua që tregon me dorë: nuancë lëkure zeshkane;grua|grua që tregon me dorë|grua që tregon me dorë: nuancë lëkure zeshkane|informacion|nuancë lëkure zeshkane|tregues
	💁🏾‍♀️;grua që tregon me dorë: nuancë lëkure gjysmë e errët;grua|grua që tregon me dorë|grua që tregon me dorë: nuancë lëkure gjysmë e errët|informacion|nuancë lëkure gjysmë e errët|tregues
	💁🏿‍♀️;grua që tregon me dorë: nuancë lëkure e errët;grua|grua që tregon me dorë|grua që tregon me dorë: nuancë lëkure e errët|informacion|nuancë lëkure e errët|tregues
🙋;njeri i gëzuar që ngre dorën;dorë|e gëzuar|e ngritur|gjest|njeri i gëzuar që ngre dorën
	🙋🏻;njeri i gëzuar që ngre dorën: nuancë lëkure e çelët;dorë|e gëzuar|e ngritur|gjest|njeri i gëzuar që ngre dorën|njeri i gëzuar që ngre dorën: nuancë lëkure e çelët|nuancë lëkure e çelët
