# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;grínandi andlit;andlit|grín|grínandi andlit
🌈;ælabogi;ælabogi
🌂;afturlatin paraplý;afturlatin paraplý|paraplý|regnskjól
☂️;paraplý;paraplý|regnskjól
☔;paraplý og regndropar;dropar|paraplý|paraplý og regndropar|regn|regnskjól
⛱️;sólskjól;sólskermur|sólskjól|sóltjald
⚡;snarljós;elektrisitet|ravmagn|snarljós|spenningur|tora|torusláttur
❄️;kavaflykra;flykra|frost|kavaflykra|kavar|kavi|snjóflykra
☃️;kavamaður;kavamaður|kavi|snjókelling
⛄;kavamaður við hatti;kavamaður|kavamaður við hatti|kavi|snjókelling
☄️;komet;halastjørna|komet|rúmdin
🔥;eldur;bál|eldsbruni|eldur|logi
💧;dropi;dropi|smádropi|sveitti|vatn|vatndropi
🌊;alda;alda|brim|sjógvur

[activities]
🎃;graskarhøvd;allahalgannaaftan|graskar|graskarhøvd|halloween|høvd|lanterna
🎄;jólatræ;jól|jólatræ|træ
🎆;fýrverk;eldverk|fýrverk|skreyteldur
🎇;stjørnukastari;stjørnukastari|stjørnuljós
🧨;kinesari;dynamitt|eldverk|kinesari|skreyteldur|spreingievni
✨;neistafok;glampi|glansur|glitran|glógvan|ljómi|neistafok|skyggjan
🎈;ballón;ballón|reyð
🎉;borðbumba;borðbumba|veitsla
🎊;konfetti;konfetti
🎋;tanabata træ;japanskt|tanabata|træ
🎍;kadomatsu;furutræ|japanskt|kadomatsu
🎎;japanskar dukkur;dukkur|japanskar
🎏;Koinobori;japanskt|Koinobori
🎐;vindharpa;vindharpa
🎑;tsukimi;japanskt|jugoya|otsukimi|tsukimi
🧧;reyður brævbjálvi;brævbjálvi|gáva|hóngbāo|lai see|reyður brævbjálvi
🎀;band;band|prýðisrósa
🎁;gáva;gáva
🎗️;eftirtektarband;band|eftirtekt|eftirtektarband
🎟️;atgongumerki;atgongd|atgongukort|atgongumerki|kort|merki
🎫;farseðil;atgongd|atgongumerki|farseðil
🎖️;hernaðarmedalja;hernaðarmedalja|hervald|medalja
🏆;steyp;steyp
🏅;ítróttamedalja;ítróttamedalja|ítróttur|medalja
🥇;gullmedalja;gull|gullmedalja|medalja
🥈;silvurmedalja;medalja|silvur|silvurmedalja
🥉;bronsumedalja;bronsa|bronsumedalja|medalja
⚽;fótbóltur;bóltur|fótbólt|fótbóltur
⚾;baseball;baseball|hornabóltur
🥎;softball;softball
🏀;kurvabóltur;bóltur|kurvabóltur
🏐;flogbóltur;bóltur|flogbóltur
🏈;amerikanskur fótbóltur;amerikanskur fótbóltur|bóltur|nfl
🏉;rugbybóltur;bóltur|rugby|rugbybóltur
🎾;tennisbóltur;bóltur|tennis|tennisbóltur
🥏;frisbee;diskur|flúgvandi diskur|frisbee
🎳;bowling;bowling|bowlingkúla|keyla
🏏;krikket;batt|bólttræ|cricket|krikket|krikketbatt
🏑;hokki;hokki|stavbóltur
🏒;íshokki;íshokki|pukkur|stavur
🥍;lacrosse;lacrosse
🏓;borðtennis;batt|borðtennis|borðtennisbatt|ping pong
🏸;badminton;badminton|ketsjari
🥊;boksihandski;boksihandski|boxing
🥋;stríðsítróttarbúni;bardagaítróttur|búni|judo|karate|stríðsítróttarbúni|stríðsítróttur|taekwondo
🥅;mál;mál|net
⛳;golf;flagg|golf|hol
⛸️;skoyta;ísskoyta|skoyta
🎣;tráða;fiskur|tráða
🤿;kavaramaska;andingarpípa|kava|kavaramaska|kavari|luftpípa|maska|snorkul
🎽;ítróttatroyggja;frælsur|ítróttatroyggja|ítróttur|troyggja
🎿;skíð;skíð
🛷;sleta;skreiða|sleta
🥌;curling;curling|steinur
🎯;dart;beinrakið|bullseye|dart|kúgveyga
🪀;jojo;jojo|leika|yo yo|yo-yo|yoyo
🪁;flúgvandi dreki;dreki|flúgvandi dreki
🔫;pistólur;handvápn|pistólur|revolvari|skotvápn|vápn
🎱;pul;billard|kúla|pool|pul
🔮;krystalkúla;ævintýr|krystal|krystalkúla|kúla|lagna
🪄;gandastavur;gandakallur|gandakelling|gandastavur|gandur|rúnakelvi
🎮;kontrollari;controller|kontrollari|telduspæl|teldustýri
🕹️;stýripinnur;joystick|stýripinnur|telduspæl
🎰;spæliautomat;kasino|spæliautomat
🎲;terningur;terningar|terningur
🧩;putlispælbrot;brot|petti|puntur|putlispæl|putlispælbrot|spor
🧸;bamsa;bamsa|leikatoy|spælitoy
🪅;pinata;pinata|piñata|veitsla
🪩;;
🪆;babusjka;babusjka|matrjosjka|russisk dukka|Russland
♠️;spaðari;kort|spaðari
♥️;hjartari;hjartari|kort
♦️;rútari;kort|rútari
♣️;kleyvari;kleyvari|kort
♟️;finna;finna|talv
🃏;jokari;jokari|kort
🀄;mah-jong;mah-jong|mahjong|spæl
🎴;hanafuda;hanafuda|japanskt|kort|spæl
🎭;útinnandi leiklistir;ballett|leikhús|list|sjónleikur|útinnandi leiklistir
🖼️;innrammað mynd;innrammað|list|málningur|mynd
🎨;litafjøl;list|litaborð|litafjøl|mála|palett
🧵;tráður;nál|seyma|spoli|tráður
🪡;nál;baldýring|íseyming|lappa|nál|seyminál|stingur
🧶;tógv;garn|noða|tógv
🪢;knútur;binda|knútur|knýta|reip|tog

[objects]
👓;brillur;brillur|eyga
🕶️;sólbrillur;brillur|sól|sólbrillur
🥽;verjubrillur;brillur|skíðbrillur|verjubrillur
🥼;kittil;kittil|lækni|náttúruvísind|roynd
🦺;trygdarvestur;trygd|trygdarvestur|vestur
👔;slips;klæði|skjúrta|slips
👕;t-shirt;klæði|skjúrta|t-shirt|tshirt
👖;cowboybuksur;buksur|cowboybuksur|klæði
🧣;hálsturriklæði;háls|hálsturriklæði|klæði|turriklæði
🧤;handskar;handskar|hond|klæði|vøttur
🧥;jakki;frakki|jakki|klæði
🧦;sokkar;hosur|klæði|sokkar
👗;kjóli;kjóli|klæði
👘;kimono;kimono|klæði
🥻;sari;búni|India|konufólkabúni|sari
🩱;svimjibúni;svimjibúni|svimjing
🩲;trussur;trussur|undirklæðir
🩳;shorts;brøkur|shorts|stuttar
👙;bikini;bikini|klæði|svimjiklæðir
👚;konufólkaklæðir;klæði|kona|konufólk|konufólkaklæðir|kvinna|plagg
🪭;;
👛;pungur;klæði|myntir|pengar|pungur
👜;handtaska;handtaska|hondtaska|klæði|taska
👝;taska;handtaska|hondtaska|klæði|pungur|taska
🛍️;keypstaskur;beriposar|beriposi|innkeyp|keyp|keypstaskur|posar|posi|shoppa|shopping
🎒;skúlataska;herðataska|skúlataska|skúli|taska
🩴;sandála;sandála|thong
👞;mannfólkaskógvur;klæði|mannfólk|mannfólkaskógvur|skógvur
👟;renniskógvur;ítrótt|klæði|renniskógvur|skógvur|tennisskógvur
🥾;gangistilvi;fjakka|ganga|gangistilvi|gongutúr|stilvi|tjalding
🥿;flatbotnaður skógvur;flatbotnaður|flatur|skógvur
👠;høghælaður skógvur;høghælaður skógvur|klæði|kona|konufólk|kvinna|skógvur
👡;konufólkasandála;klæði|kona|konufólk|konufólkasandála|kvinna|sandála|skógvur
🩰;balletskógvar;ballet|balletskógvar|dansa|dansiskógvar|skógvar
👢;konufólkastilvi;klæði|kona|konufólk|konufólkastilvi|kvinna|skógvur|stivli
🪮;;
👑;krúna;drotning|kongur|krúna|prinsessa|prinsur
👒;konufólkahattur;hattur|klæði|kona|konufólk|konufólkahattur|kvinna
🎩;høgur hattur;hattur|høgur|klæði
🎓;fráfaringarhúgva;fráfaring|fráfaringarhúgva|hattur|húgva|klæði|próvtøka
🧢;keppur;baseball|hattur|hornabóltur|kaskettur|keppur
🪖;herhjálmur;hereind|herhjálmur|hermaður|herur|hjálmur
⛑️;bjargingarhjálmur;bjargingarhjálmur|hjálmur|hjálp|krossur|reyði
📿;biðikransur;átrúnaður|biðikransur|bøn|perlukransur|religión|rósukransur|trúgv
💄;varrastift;fríðkanarevni|makeup|sminka|varrastift
💍;ringur;diamantur|ringur
💎;gimsteinur;diamantur|gimsteinur
🔇;doyvdur hátalari;doyvdur|doyvt|einki ljóð|hátalari|ljóðleyst
🔈;lág ljóðstyrki á hátalara;hátalari|lág|lág ljóðstyrki á hátalara|ljóðstyrki
🔉;miðal ljóðstyrki á hátalara;hátalari|ljóðstyrki|miðal|miðal ljóðstyrki á hátalara
🔊;høg ljóðstyrki á hátalara;hátalari|høg|høg ljóðstyrki á hátalara|ljóðstyrki
📢;rópari;megafon|rópari
📣;megafon;megafon|rópari
📯;posthorn;horn|post|posthorn|postur
🔔;klokka;klokka|ljóð
🔕;klokka við skrástriku;doyvdur|doyvt|einki ljóð|klokka|klokka við skrástriku|ljóðleyst
🎼;fjølrøddabók;fjølrøddabók|partiturur|tónleikur
🎵;nóti;nóti|tónleikur
🎶;nótar;nótar|tónleikur
🎙️;ljóðstovumikrofon;ljóðfatur|ljóðstovumikrofon|ljóðtak|mikrofon
🎚️;dragil;dragil|dragistýrari|ljóðstyrki|ljóðstyrkidragil|stýring|tónleikur
🎛️;stýringsknøttar;stýring|stýringsknøttar|tónleikur
🎤;mikrofon;karaoke|ljóðfatur|ljóðtak|mikrofon
🎧;høvuðsett;høvuðsett|høvuðtelefon|oyramikrofon
📻;útvarp;útvarp
🎷;saksofon;ljóðføri|saksofon|tónleikur
🪗;harmonika;dans|dansur|harmonika|ljóðføri|tónleikur
🎸;gittari;gittari|ljóðføri|tónleikur
🎹;ljómborð;keyboard|ljóðføri|ljómborð|tónleikur
🎺;trompet;ljóðføri|tónleikur|trompet
🎻;violin;ljóðføri|tónleikur|violin
🪕;banjo;banjo|ljóðføri|tónleikur
🥁;trumma;ljóðføri|tónleikur|trumma
🪘;long trumma;ljóðføri|long trumma|tónleikur|trumma
🪇;;
🪈;;
📱;fartelefon;fartelefon|telefon
📲;fartelefon við píli;fartelefon|fartelefon við píli|kall|uppkall|uppringing
☎️;telefon;telefon
📞;horn á telefon;horn á telefon|telefonhorn|telefonrør
📟;persónleitari;persónleitari
📠;telefaks;faks|telefaks
🔋;battarí;battarí|ravlað
🪫;;
🔌;stikkari;elektrisitet|ravmagn|stikkari|stikkproppur
💻;fartelda;fartelda|telda
🖥️;telda;borðtelda|telda
🖨️;prentari;prentari
⌨️;knappaborð;knappaborð
🖱️;teldumús;mús|teldumús
🖲️;stýrikúla;stýrikúla
💽;teldudiskur;diskur|teldudiskur
💾;diskil;disketta|diskil
💿;sjónbandsfløga;cd|diskur|sjónbandsfløga
📀;margfløga;blu-ray|diskur|dvd|margfløga
🧮;kúluramma;abakus|kúluramma|roknibretti
🎥;filmstól;biografur|filmstól|filmur|upptøkutól
🎞️;filmstrimmil;biografur|filmstrimmil|filmur|stakmynd
📽️;ljósvørpa;biografur|filmur|ljósvørpa|myndatól
🎬;klapptræ;filmur|klapptræ|upptøka
📺;sjónvarp;sjónvarp|sjónvarpsskíggi
📷;myndatól;fotografi|myndatól
📸;myndatól við blits;blits|fotografi|myndatól|myndatól við blits
📹;sjónupptøkutól;myndatól|sjónupptøkutól|upptøkutól|video
📼;sjónband;band|sjónband|sjónbandshúsi|video
🔍;luppur á skák til vinstru;lesiglas|luppur|luppur á skák til vinstru|sjóneyka|størkingarglas
🔎;luppur á skák til høgru;lesiglas|luppur|luppur á skák til høgru|sjóneyka|størkingarglas
🕯️;livandi ljós;kertiljós|livandi ljós|ljós
💡;ljóspera;hugskot|ljós|ljóspera|pera
🔦;lummalykt;ljós|lummalykt|lykt|stavlykt
🏮;reyð pappírlanterna;lanterna|ljós|pappírlanterna|reyð
🪔;diyalampa;diya|diyalampa|lampa|olja
📔;lummabók við prýðiligari perma;lummabók|lummabók við prýðiligari perma|perma|prýðilig|umslag
📕;afturlatin bók;afturlatin|bók
📖;opin bók;bók|opin
📗;grøn bók;bók|grøn
📘;blá bók;blá|bók
📙;appilsingul bók;appilsingul|bók
📚;bøkur;bók|bøkur
📓;lummabók;blokkur|bók|lummabók|minnisbók|skriviblokkur|uppritsbók|uppskrivingarbók
📒;høvuðsbók;høvuðsbók|lummabók
📃;krúlla pappír;bræv|krúlla|pappír|prógv|skjal
📜;skriftrulla;bókarrulla|rulla|skriftrulla
📄;pappír sum vendur uppeftir;bræv|pappír|pappír sum vendur uppeftir|prógv|skjal
📰;tíðindablað;blað|nýggjheitir|tíðindablað|tíðindi
🗞️;samanrulla tíðindablað;blað|nýggjheitir|samanrulla|tíðindablað|tíðindi
📑;bókamerkir;bókamerki|bókamerkir
🔖;bókamerki;bókamerki|bókamerkir
🏷️;merkiseðil;merkiseðil|navnaseðil|seðil|spjaldur
💰;pengasekkur;dollarar|dollari|pengar|pengasekkur|peningasekkur|peningur|sekkur
🪙;myntur;gull|myntur|pengar|pengi|skattur
💴;jenn pengaseðil;gjaldoyra|jenn|jennur|pengaseðil|seðil
💵;dollari pengaseðil;dollarar|dollari|gjaldoyra|pengaseðil|seðil
💶;evra pengaseðil;evra|evrur|gjaldoyra|pengaseðil|seðil
💷;pund pengaseðil;gjaldoyra|pengaseðil|pund|seðil
💸;pengar við veingjum;dollarar|dollari|gjaldoyra|pengar við veingjum|pengaseðil|seðil|veingjar
💳;kredittkort;keypskort|kontukort|kredittkort|kritkort|pengar|peningur
🧾;kvittan;keyp|kvittan|prógv|søla
💹;strikumynd við jenn tekni;gjaldoyra|hækkadi|hækkan|jenn|jennur|marknaður|strikumynd|strikumynd við jenn tekni
✉️;brævbjálvi;bræv|brævbjálvi|t-postur|teldupostur
📧;teldupostur;bræv|postur|t-postur|teldupostur
📨;innkomandi brævbjálvi;bræv|brævbjálvi|innkomandi|komandi|postur|t-postur|teldupostur
📩;brævbjálvi og pílur;bræv|brævbjálvi|brævbjálvi og pílur|postur|t-postur|teldupostur
📤;útgangandi brævabakki;bræv|brævabakki|postur|t-postur|teldupostur|útgangandi
📥;innkomandi brævabakki;bræv|brævabakki|innkomandi|postur|t-postur|teldupostur
📦;pakki;boks|eskja|farmavøra|kolli|pakki|vøra
📫;afturlatin postkassi við standandi flaggi;afturlatin|afturlatin postkassi við standandi flaggi|bræv|flagg|post|postkassi|postur|standandi
📪;afturlatin postkassi við liggjandi flaggi;afturlatin|afturlatin postkassi við liggjandi flaggi|bræv|flagg|liggjandi|post|postkassi|postur
📬;opin postkassi við standandi flaggi;bræv|flagg|opin|opin postkassi við standandi flaggi|post|postkassi|postur|standandi
📭;opin postkassi við liggjandi flaggi;bræv|flagg|liggjandi|opin|opin postkassi við liggjandi flaggi|post|postkassi|postur
📮;postkassi;bræv|post|postkassi|postur
🗳️;atkvøðukassi;atkvøða|atkvøðukassi|kassi|stemma|val
✏️;blýantur;blýantur|skriva
✒️;svarur oddur á penni;oddur|pennur|svarur oddur á penni
🖋️;fyllipennur;fyllipennur|pennur
🖊️;pennur;kúlupennur|pennur
🖌️;pensil;mála|málingarkustur|pensil
🖍️;litblýantur;kolstift|litblýantur
📝;skrivlig viðmerking;greinargerð|skrivlig viðmerking|upprit|uppskrift
💼;skjalamappa;mappa|skjalamappa|taska
📁;skjalalummi;faldari|fíl|lummi|mappa|skjalalummi|skjalamappa
📂;opin skjalalummi;faldari|fíl|lummi i skjalalummi|mappa|opin|opin skjalalummi|skjalamappa
🗂️;seðlaskrábókamerki;bókamerki|indeks|seðlaskrá|seðlaskrábókamerki
📅;kalendari;álmanakki|dagfesting|dagseting|dato|kalendari|tíðarfesting|tíðarmerking
📆;kalendari sum kann skræðast úr;álmanakki|dagfesting|dagseting|dato|kalendari|kalendari sum kann skræðast úr|skræða|tíðarfesting|tíðarmerking
🗒️;spiralheftur skriviblokkur;blokkur|skriviblokkur|snyril|spiralheftur|spiralur
🗓️;spiralheftur kalendari;álmanakki|dagfesting|dagseting|dato|kalendari|spiralheftur|tíðarfesting|tíðarmerking
📇;kartotek;kartotek|kortsavn|seðlasavn|seðlaskrá
📈;strikumynd við vøkstri;diagramm|rásmynd|strikumynd|strikumynd við vøkstri|upp|veksur|vøkstur
📉;strikumynd við lækking;diagramm|lækkar|lækking|minkar|minking|niður|rásmynd|strikumynd|strikumynd við lækking
📊;stabbamynd;diagramm|rásmynd|stabbamynd|strikumynd
📋;klemmuspjald;klemmuspjald|setiborð
📌;nipsnál;nál|nipsnál
📍;rund nipsnál;nál|nipsnál|rund nipsnál
📎;klips;klips|pappírsklemma
🖇️;klips sum hanga saman;klips|klips sum hanga saman|pappírsklemmur
📏;lineal;lineal|strikfjøl
📐;tríkanta lineal;lineal|strikfjøl|tríkanta lineal|tríkantur
✂️;saksur;klipp|saksur
🗃️;savnskassi;kartotek|kortsavn|savnskassi|seðlasavn|seðlaskrá
🗄️;savnsskáp;kartotek|kortsavn|savnskassi|savnsskáp|savnsskipan|seðlasavn|seðlaskrá|skáp
🗑️;pappírskurv;pappírskurv|pappírsleypur|skrell
🔒;læst heingilás;afturlati|heingilás|læst|lás|stongt
🔓;opi heingilás;heingilás|lás|ólæst|opi
🔏;lás og fyllipennur;afturlati|fyllipennur|heingilás|læst|lás|lás og fyllipennur|pennur|stongt
🔐;heingilás og lykil;afturlati|ás|heingilás|heingilás og lykil|læst|lykil|stongt
🔑;lykil;lás|loyniorð|lykil
🗝️;gamal lykil;gamal lykil|lás|lykil
🔨;hamari;amboð|hamari|smíða
🪓;øks;amboð|høgg|høgga|hondøks|øks
⛏️;hakkari;amboð|hakkari|nám|námídnaður|námvinna|námvirki
⚒️;hamari og hakkari;amboð|hakkari|hamari|hamari og hakkari
🛠️;hamari og skrúvulykil;amboð|hamari|hamari og skrúvulykil|skiftilykil|skrúvulykil
🗡️;stutt svørð;dolkur|knívur|stutt svørð|svørð|vápn
⚔️;krossa svørð;krossa|svørð|vápn
💣;bumba;bumba|vopn
🪃;boomerang;Avstralia|bomerang|boomerang|kastivápn
🏹;bogi of pílur;Bogamaður|bogaskjótari|bogaskjóting|bogi|bogi of pílur|ørvargarpur|pílur|stjørnumerki|vápn
🛡️;skjøldur;skjøldur|vápn|verja|vernd
🪚;sag;amboð|hondsag|sag
🔧;skrúvulykil;amboð|skiftilykil|skrúvulykil
🪛;skrúvublað;amboð|skrúva|skrúvublað
🔩;møtrikkur og boltur;amboð|boltur|møtrikkur|møtrikkur og boltur
⚙️;tannhjól;amboð|gir|tannhjól
🗜️;skrúvutvinga;amboð|skrúvustikka|skrúvutvinga|spenniskrúva|tvinga
⚖️;vágskál;amboð|rættvísi|stjørnumerki|Vágmerkið|vágskál|vekt
🦯;blindastavur;blind|blindastavur|blindur|brek|handikapp|stavur
🔗;liður;leinkja|liður|samband|sambinding|sambindingarliður
⛓️‍💥;;
⛓️;keta;keta|leinkja|liður|samband|sambinding|sambindingarliður
🪝;krókur;krókur
🧰;amboðskassi;amboð|amboðskassi|kassi
🧲;magnet;magnet|magnetisk|magnetiskur|sigul
🪜;stigi;klatra|stig|stigi|upp
⚗️;dropadríva;amboð|dropadríva|evnafrøði|kemi
🧪;royndarglas;evnafrøði|náttúruvísind|roynd|royndarglas
🧫;petriskál;lívfrøði|náttúruvísind|petriskál|tilbúningarglas|tilbúningsglas
🧬;dna;arvaeind|dna|ílega|lív|lívfrøði|lívmenning|náttúruvísind
🔬;mikroskop;mikroskop|náttúruvísindi|sjóneyka|vísind
🔭;stjørnukikari;kikari|náttúruvísindi|spegilskikari|stjørnukikari|teleskop|vísindfjarvísi
📡;parabolur;antenna|parabolur|skálkampur
💉;sproyta;amboð|heilivágur|innspræning|lækni|medisin|nál|sjúka|sproyta
🩸;blóðdropi;blóð|blóðdropi|blóðgáva|blóðgevi|dropi
💊;pillari;heilivágur|lækni|medisin|pillari|sjúka
🩹;heftiplástur;heftiplástur|plástur
🩼;;
🩺;stetoskop;læknalurt|læknapípa|lurt|stetoskop
🩻;;
🚪;hurð;hurð
🛗;lyfta;elevatorur|lyfta
🪞;spegil;spegil|spegilsmynd|spegl|speglast|sýna|vísa
🪟;vindeyga;gluggi|rútar|rútur|vindeyga
🛏️;song;song|sova
🛋️;sofa og lampa;lampa|sofa|sofa og lampa
🪑;stólur;sæti|sessur|setur|stólur
🚽;ves;kumma|toilett|ves
🪠;súgvari;kumma|súgvari|toilett|typt|ves
🚿;brúsubað;brúsa|brúsubað|vatn
🛁;baðikar;bað|baðikar
🪤;músafella;fella|lokkingarmatur|músafella
🪒;rakiknívur;barberblað|knívur|raka|rakiblað|rakiknívur
🧴;lotiónfløska;fløska|húðkrem|lotión|lotiónfløska|smyrsl
🧷;trygdarnál;læsinál|nál|trygdarnál
🧹;kustur;gandakelling|kelling|kustur|sópa|vaska
🧺;kurv;kurv
🧻;vesipappír;kukka|toilettpappír|ves|vesipappír
🪣;spann;oysa|pøs|spann
🧼;hondsápa;hendur|hond|hondsápa|sápa|vaska
🫧;;
🪥;tannbust;busta|tannbust|tannrøkt|tenn
🧽;svampur;holutur|svampur|vaska
🧯;eldskøkkjari;eld|eldskøkkjari|eldur|sløkkja|trygd
🛒;innkeypsvognur;innkeyp|innkeypsvognur|keypsvognur|vognur
🚬;tendra sigarett;royking|roykja|roykur|sigarett|tendra sigarett|tubbak
⚰️;líkkista;andlát|deyði|gravarferð|jarðarferð|kista|lík|líkkista
🪦;gravsteinur;deyði|gravsteinur|grøv|kirkjugarður
⚱️;øskukrukka;andlát|deyði|gravarferð|jarðarferð|krukka|øska|øskukrukka
🧿;nasaramulett;amulett|eydnulutur|kúla|nasar|nasaramulett|nazar|verndargripur
🪬;;
🗿;moai;moai|Páskaoyggin|standmynd
🪧;skelti;kunnger|mótmæli|plakat|skelti|uppslag
🪪;;

[symbols]
🏧;sjálvtøkuskeltið;automat|pengar|sjálvtøka|sjálvtøkuskeltið|út
🚮;ruskílatskelti;burturkast|órudd|rusk|ruskílatskelti
🚰;drekkivatn;drekkandi|drekkingarvatn|drekkivatn|vatn
♿;koyristólur symbol;atgongd|hjólstólur|koyristólur symbol|rullistólur
🚹;mannfólkaves;maður|mannfólkaves|ves|wc
🚺;konufólkaves;kona|konufólkaves|kvinna|ves|wc
🚻;ves symbol;ves|ves symbol|wc
🚼;pinkubarna symbol;pinkubarna symbol|skiftingarrúm|skiftirúm
🚾;wc symbol;ves|vesi|wc|wc symbol
🛂;passeftirlit;eftirlit|landamark|pass|passeftirlit
🛃;tolleftirlit;eftirlit|toll|tolleftirlit|tollur|tollverk
🛄;viðførisútflýggjan;útflýggjan|viðføri|viðførisútflýggjan
🛅;gloymt viðføri;gloymt|viðføri
⚠️;ávaring;ávaring
🚸;barnagonguteigur;ávaring|barnagonguteigur|børn|gonguteigur
⛔;innkoyring forboðið;ávaring|forboð|innkoyring forboðið
🚫;bannað;atgongd|bannað|forboð
🚳;ongar súkklur;forboð|ongar súkklur|súkkla
🚭;royking bannað;bannað|forboði|royking
🚯;ikki tveita burturkast;bannað|blaka|burturkast|forboð|ikki tveita burturkast|órudd|rusk|tveita
🚱;ikki drekkandi vatn;drekkivatn|ikki drekkandi vatn|vatn
🚷;bannað fyri gangandi fólki;bannað|bannað fyri gangandi fólki|forboð|ganga
📵;fartelefon ikki loyvd;bannað|fartelefon|fartelefon ikki loyvd|forboð
🔞;átjanára aldursmark;18|aldursmark|átjan|átjanára aldursmark|bannað|forboð
☢️;geislavirki;ávaring|geislavirki|geislavirkin
☣️;lívfrøðiligur vandi;ávaring|lívfrøðili|lívfrøðiligur vandi|vandi
⬆️;pílur sum peikar uppeftir;ætt|k´ós|norður|pílur|pílur sum peikar uppeftir
↗️;pílur sum peikar uppeftir og til høgru;ætt|k´ós|landnyrðingur|pílur|pílur sum peikar uppeftir og til høgru
➡️;pílur sum peikar til høgru;ætt|eystur|k´ós|pílur|pílur sum peikar til høgru
↘️;pílur sum peikar niðureftir og til høgru;ætt|k´ós|landsynningur|pílur|pílur sum peikar niðureftir og til høgru
⬇️;pílur sum peikar niðureftir;ætt|k´ós|niður|pílur|pílur sum peikar niðureftir|suður
↙️;pílur sum peikar niðureftir og til vinstru;ætt|k´ós|pílur|pílur sum peikar niðureftir og til vinstru|útsynningur
⬅️;pílur sum peikar til vinstru;ætt|k´ós|pílur|pílur sum peikar til vinstru|vestur
↖️;pílur sum peikar uppeftir og til vinstru;ætt|k´ós|pílur|pílur sum peikar uppeftir og til vinstru|útnyrðingur
↕️;pílur sum peikar upp og niður;pílur|pílur sum peikar upp og niður
↔️;pílur sum peikar til høgru og vinstu;pílur|pílur sum peikar til høgru og vinstu
↩️;bogin pílur sum peikar til vinstru;bogin|bogin pílur sum peikar til vinstru|pílur
↪️;bogin pílur sum peikar til høgru;bogin|bogin pílur sum peikar til høgru|pílur
⤴️;bogin pílur sum peikar uppeftir;bogin|bogin pílur sum peikar uppeftir|pílur
⤵️;bogin pílur sum peikar niðureftir;bogin|bogin pílur sum peikar niðureftir|pílur
🔃;loddrættir pílar sum ganga við urinum;loddrættir pílar sum ganga við urinum|lodrættir|pílar|við urinum
🔄;vatnrættir pílar sum ganga ímóti urinum;ímóti urinum|pílar|vatnrættir|vatnrættir pílar sum ganga ímóti urinum
🔙;BACK pílur;back|pílur
🔚;END pílur;end|pílur
🔛;ON! pílur;on|ON! pílur|pílur
🔜;SOON pílur;pílur|soon
🔝;TOP pílur;pílur top|TOP pílur
🛐;bønarstað;átrúnaður|bøn|bønarstað|religión|trúgv
⚛️;atom symbol;ateistur|atom|atom symbol|gudloysingur|gudsnoktari
🕉️;aúm;átrúnaður|aúm|hindui|om|religión|trúgv
✡️;dávidsstjørna;dávidsstjørna|gýðingastjørna|gýðingur|jødi|jødiskur|stjørna
☸️;dharmahjól;átrúnaður|buddistur|dharmahjól|religión|trúgv
☯️;jin yang;jin yang|yang taoisma|yin
✝️;latínskur krossur;átrúnaður|kristin|krossur|latínskur krossur|religión|trúgv
☦️;ortodoksur krossur;átrúnaður|kristin|krossur|ortodoksur krossur|religión|trúgv
☪️;stjørna og hálvmáni;átrúnaður|islam|muslimur|religión|stjørna og hálvmáni|trúgv
☮️;friðarsymbol;frið|friðarsymbol|friður
🕎;menorah;átrúnaður|ljósastaki|menorah|religión|trúgv
🔯;stjørna við seks spískum;eydna|lagna|stjørna|stjørna við seks spískum
🪯;;
♈;Veðrurin;stjørnumerki|veðramerki|veðrur|Veðrurin
♉;Tarvurin;oksi|stjørnumerki|tarvsmerkið|tarvur|Tarvurin
♊;Tvíburarnir;stjørnumerki|tvíburamerki|tvíburar|Tvíburarnir
♋;Krabbin;krabbamerkið|krabbi|Krabbin|stjørnumerki
♌;Ljónið;leyva|Ljónið|ljónsmerkið|stjørnumerki
♍;Moyggin;moyarmerkið|Moyggin|moyggj|stjørnumerki
♎;Vágin;stjørnumerki|Vágin|vágmerkið|vágskál|vekt
♏;Sporðdrekin;skorpión|sporðdrekamerkið|Sporðdrekin|stjørnumerki
♐;Bogamaðurin;bogamaður|Bogamaðurin|skotmaður|stjørnumerki
♑;Steingeitin;geit|steingeitarmerki|Steingeitin|stjørnumerki
♒;Vatnberin;berari|stjørnumerki|vatn|Vatnberin
♓;Fiskarnir;fiskamerkið|Fiskarnir|fiskur|stjørnumerki
⛎;Ormberin;berari|Ormberin|ormur|slanga|stjørnumerki
🔀;blanda knappur;blanda|blanda knappur
🔁;endurtak knappur;endurtak|endurtak knappur|endurtøka|umaftur
🔂;endurtak einaferð knappur;einaferð|endurtak|endurtak einaferð knappur|endurtøka|umaftur
▶️;spæl knappur;spæl|spæl knappur
⏩;spola skjótt fram knappur;fram|skjótt|spola|spola skjótt fram knappur
⏭️;næsta knappur;næsta|næsta knappur|næsti
⏯️;spæl ella pausa knappur;pausa|spæl|spæl ella pausa knappur
◀️;spola aftur knappur;aftur|spola|spola aftur knappur
⏪;spola skjótt aftur knappur;aftur|skjótt|spola|spola skjótt aftur knappur
⏮️;undanfari knappur;undanfari|undanfari knappur|undanfarna|undanfarni
🔼;upp knappur;upp|upp knappur
