# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;se zubjece woblico;luštne|se zubjece woblico|woblico|wótcynjona guba
	🫱🏼‍🫲🏿;pódaśe ruki: srjejźnoswětła barwa kóže, śamna barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: srjejźnoswětła barwa kóže, śamna barwa kóže|ruki|śamna barwa kóže|srjejźnoswětła barwa kóže|tśěsenje rukowu
	🫱🏽‍🫲🏻;pódaśe ruki: wósrědna barwa kóže, swětła barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: wósrědna barwa kóže, swětła barwa kóže|ruki|swětła barwa kóže|tśěsenje rukowu|wósrědna barwa kóže
	🫱🏽‍🫲🏼;pódaśe ruki: wósrědna barwa kóže, srjejźnoswětła barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: wósrědna barwa kóže, srjejźnoswětła barwa kóže|ruki|srjejźnoswětła barwa kóže|tśěsenje rukowu|wósrědna barwa kóže
	🫱🏽‍🫲🏾;pódaśe ruki: wósrědna barwa kóže, srjejźnośamna barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: wósrědna barwa kóže, srjejźnośamna barwa kóže|ruki|srjejźnośamna barwa kóže|tśěsenje rukowu|wósrědna barwa kóže
	🫱🏽‍🫲🏿;pódaśe ruki: wósrědna barwa kóže, śamna barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: wósrědna barwa kóže, śamna barwa kóže|ruki|śamna barwa kóže|tśěsenje rukowu|wósrědna barwa kóže
	🫱🏾‍🫲🏻;pódaśe ruki: srjejźnośamna barwa kóže, swětła barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: srjejźnośamna barwa kóže, swětła barwa kóže|ruki|srjejźnośamna barwa kóže|swětła barwa kóže|tśěsenje rukowu
	🫱🏾‍🫲🏼;pódaśe ruki: srjejźnośamna barwa kóže, srjejźnoswětła barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: srjejźnośamna barwa kóže, srjejźnoswětła barwa kóže|ruki|srjejźnośamna barwa kóže|srjejźnoswětła barwa kóže|tśěsenje rukowu
	🫱🏾‍🫲🏽;pódaśe ruki: srjejźnośamna barwa kóže, wósrědna barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: srjejźnośamna barwa kóže, wósrědna barwa kóže|ruki|srjejźnośamna barwa kóže|tśěsenje rukowu|wósrědna barwa kóže
	🫱🏾‍🫲🏿;pódaśe ruki: srjejźnośamna barwa kóže, śamna barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: srjejźnośamna barwa kóže, śamna barwa kóže|ruki|śamna barwa kóže|srjejźnośamna barwa kóže|tśěsenje rukowu
	🫱🏿‍🫲🏻;pódaśe ruki: śamna barwa kóže, swětła barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: śamna barwa kóže, swětła barwa kóže|ruki|śamna barwa kóže|swětła barwa kóže|tśěsenje rukowu
	🫱🏿‍🫲🏼;pódaśe ruki: śamna barwa kóže, srjejźnoswětła barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: śamna barwa kóže, srjejźnoswětła barwa kóže|ruki|śamna barwa kóže|srjejźnoswětła barwa kóže|tśěsenje rukowu
	🫱🏿‍🫲🏽;pódaśe ruki: śamna barwa kóže, wósrědna barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: śamna barwa kóže, wósrědna barwa kóže|ruki|śamna barwa kóže|tśěsenje rukowu|wósrědna barwa kóže
	🫱🏿‍🫲🏾;pódaśe ruki: śamna barwa kóže, srjejźnośamna barwa kóže;dojadnanje|pódaśe ruki|pódaśe ruki: śamna barwa kóže, srjejźnośamna barwa kóže|ruki|śamna barwa kóže|srjejźnośamna barwa kóže|tśěsenje rukowu
🙏;bjatujuce ruki;bjatowaś|bjatujuce ruki|bjatujucej ruce pšosym|módlitwa
	🙏🏻;bjatujuce ruki: swětła barwa kóže;bjatowaś|bjatujuce ruki|bjatujuce ruki: swětła barwa kóže|bjatujucej ruce pšosym|módlitwa|swětła barwa kóže
	🙏🏼;bjatujuce ruki: srjejźnoswětła barwa kóže;bjatowaś|bjatujuce ruki|bjatujuce ruki: srjejźnoswětła barwa kóže|bjatujucej ruce pšosym|módlitwa|srjejźnoswětła barwa kóže
	🙏🏽;bjatujuce ruki: wósrědna barwa kóže;bjatowaś|bjatujuce ruki|bjatujuce ruki: wósrědna barwa kóže|bjatujucej ruce pšosym|módlitwa|wósrědna barwa kóže
	🙏🏾;bjatujuce ruki: srjejźnośamna barwa kóže;bjatowaś|bjatujuce ruki|bjatujuce ruki: srjejźnośamna barwa kóže|bjatujucej ruce pšosym|módlitwa|srjejźnośamna barwa kóže
	🙏🏿;bjatujuce ruki: śamna barwa kóže;bjatowaś|bjatujuce ruki|bjatujuce ruki: śamna barwa kóže|bjatujucej ruce pšosym|módlitwa|śamna barwa kóže
✍️;pišuca ruka;pisanje|pisaś|pišuca ruka|ruka
	✍🏻;pišuca ruka: swětła barwa kóže;pisanje|pisaś|pišuca ruka|pišuca ruka: swětła barwa kóže|ruka|swětła barwa kóže
	✍🏼;pišuca ruka: srjejźnoswětła barwa kóže;pisanje|pisaś|pišuca ruka|pišuca ruka: srjejźnoswětła barwa kóže|ruka|srjejźnoswětła barwa kóže
	✍🏽;pišuca ruka: wósrědna barwa kóže;pisanje|pisaś|pišuca ruka|pišuca ruka: wósrědna barwa kóže|ruka|wósrědna barwa kóže
	✍🏾;pišuca ruka: srjejźnośamna barwa kóže;pisanje|pisaś|pišuca ruka|pišuca ruka: srjejźnośamna barwa kóže|ruka|srjejźnośamna barwa kóže
	✍🏿;pišuca ruka: śamna barwa kóže;pisanje|pisaś|pišuca ruka|pišuca ruka: śamna barwa kóže|ruka|śamna barwa kóže
💅;nokśowy lak;kosmetika|manikěra|nokś|nokśowy lak|wótwardowanje nokśow
	💅🏻;nokśowy lak: swětła barwa kóže;kosmetika|manikěra|nokś|nokśowy lak|nokśowy lak: swětła barwa kóže|swětła barwa kóže|wótwardowanje nokśow
	💅🏼;nokśowy lak: srjejźnoswětła barwa kóže;kosmetika|manikěra|nokś|nokśowy lak|nokśowy lak: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže|wótwardowanje nokśow
	💅🏽;nokśowy lak: wósrědna barwa kóže;kosmetika|manikěra|nokś|nokśowy lak|nokśowy lak: wósrědna barwa kóže|wósrědna barwa kóže|wótwardowanje nokśow
	💅🏾;nokśowy lak: srjejźnośamna barwa kóže;kosmetika|manikěra|nokś|nokśowy lak|nokśowy lak: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže|wótwardowanje nokśow
	💅🏿;nokśowy lak: śamna barwa kóže;kosmetika|manikěra|nokś|nokśowy lak|nokśowy lak: śamna barwa kóže|śamna barwa kóže|wótwardowanje nokśow
🤳;selfie;selfie|smartfon
	🤳🏻;selfie: swětła barwa kóže;selfie|selfie: swětła barwa kóže|smartfon|swětła barwa kóže
	🤳🏼;selfie: srjejźnoswětła barwa kóže;selfie|selfie: srjejźnoswětła barwa kóže|smartfon|srjejźnoswětła barwa kóže
	🤳🏽;selfie: wósrědna barwa kóže;selfie|selfie: wósrědna barwa kóže|smartfon|wósrědna barwa kóže
	🤳🏾;selfie: srjejźnośamna barwa kóže;selfie|selfie: srjejźnośamna barwa kóže|smartfon|srjejźnośamna barwa kóže
	🤳🏿;selfie: śamna barwa kóže;śamna barwa kóže|selfie|selfie: śamna barwa kóže|smartfon
💪;napněty biceps;comic|mócny|muskle napněś|napněty biceps
	💪🏻;napněty biceps: swětła barwa kóže;comic|mócny|muskle napněś|napněty biceps|napněty biceps: swětła barwa kóže|swětła barwa kóže
	💪🏼;napněty biceps: srjejźnoswětła barwa kóže;comic|mócny|muskle napněś|napněty biceps|napněty biceps: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže
	💪🏽;napněty biceps: wósrědna barwa kóže;comic|mócny|muskle napněś|napněty biceps|napněty biceps: wósrědna barwa kóže|wósrědna barwa kóže
	💪🏾;napněty biceps: srjejźnośamna barwa kóže;comic|mócny|muskle napněś|napněty biceps|napněty biceps: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže
	💪🏿;napněty biceps: śamna barwa kóže;comic|mócny|muskle napněś|napněty biceps|napněty biceps: śamna barwa kóže|śamna barwa kóže
🦾;proteza ruki;bźez barierow|proteza|proteza ruki
🦿;proteza nogi;bźez barierow|proteza|proteza nogi
🦵;ceła noga;ceła noga|noga|stup|stupanje
	🦵🏻;ceła noga: swětła barwa kóže;ceła noga|ceła noga: swětła barwa kóže|noga|stup|stupanje|swětła barwa kóže
	🦵🏼;ceła noga: srjejźnoswětła barwa kóže;ceła noga|ceła noga: srjejźnoswětła barwa kóže|noga|srjejźnoswětła barwa kóže|stup|stupanje
	🦵🏽;ceła noga: wósrědna barwa kóže;ceła noga|ceła noga: wósrědna barwa kóže|noga|stup|stupanje|wósrědna barwa kóže
	🦵🏾;ceła noga: srjejźnośamna barwa kóže;ceła noga|ceła noga: srjejźnośamna barwa kóže|noga|srjejźnośamna barwa kóže|stup|stupanje
	🦵🏿;ceła noga: śamna barwa kóže;ceła noga|ceła noga: śamna barwa kóže|noga|śamna barwa kóže|stup|stupanje
🦶;spódna noga;noga|spódna noga|stupanje|teptanje
	🦶🏻;spódna noga: swětła barwa kóže;noga|spódna noga|spódna noga: swětła barwa kóže|stupanje|swětła barwa kóže|teptanje
	🦶🏼;spódna noga: srjejźnoswětła barwa kóže;noga|spódna noga|spódna noga: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže|stupanje|teptanje
	🦶🏽;spódna noga: wósrědna barwa kóže;noga|spódna noga|spódna noga: wósrědna barwa kóže|stupanje|teptanje|wósrědna barwa kóže
	🦶🏾;spódna noga: srjejźnośamna barwa kóže;noga|spódna noga|spódna noga: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže|stupanje|teptanje
	🦶🏿;spódna noga: śamna barwa kóže;noga|śamna barwa kóže|spódna noga|spódna noga: śamna barwa kóže|stupanje|teptanje
👂;wucho;wucho|źěl śěła
	👂🏻;wucho: swětła barwa kóže;swětła barwa kóže|wucho|wucho: swětła barwa kóže|źěl śěła
	👂🏼;wucho: srjejźnoswětła barwa kóže;srjejźnoswětła barwa kóže|wucho|wucho: srjejźnoswětła barwa kóže|źěl śěła
	👂🏽;wucho: wósrědna barwa kóže;wósrědna barwa kóže|wucho|wucho: wósrědna barwa kóže|źěl śěła
	👂🏾;wucho: srjejźnośamna barwa kóže;srjejźnośamna barwa kóže|wucho|wucho: srjejźnośamna barwa kóže|źěl śěła
	👂🏿;wucho: śamna barwa kóže;śamna barwa kóže|wucho|wucho: śamna barwa kóže|źěl śěła
🦻;wucho ze słušańskeju pomocu;bźez barierow|głuchy|njesłyšajucy|słuchałko|słyšańska pomoc|wucho ze słušańskeju pomocu|wucho ze słyšańskeju pomocu
	🦻🏻;wucho ze słušańskeju pomocu: swětła barwa kóže;bźez barierow|głuchy|njesłyšajucy|słuchałko|słyšańska pomoc|swětła barwa kóže|wucho ze słušańskeju pomocu|wucho ze słušańskeju pomocu: swětła barwa kóže|wucho ze słyšańskeju pomocu
	🦻🏼;wucho ze słušańskeju pomocu: srjejźnoswětła barwa kóže;bźez barierow|głuchy|njesłyšajucy|słuchałko|słyšańska pomoc|srjejźnoswětła barwa kóže|wucho ze słušańskeju pomocu|wucho ze słušańskeju pomocu: srjejźnoswětła barwa kóže|wucho ze słyšańskeju pomocu
	🦻🏽;wucho ze słušańskeju pomocu: wósrědna barwa kóže;bźez barierow|głuchy|njesłyšajucy|słuchałko|słyšańska pomoc|wósrědna barwa kóže|wucho ze słušańskeju pomocu|wucho ze słušańskeju pomocu: wósrědna barwa kóže|wucho ze słyšańskeju pomocu
	🦻🏾;wucho ze słušańskeju pomocu: srjejźnośamna barwa kóže;bźez barierow|głuchy|njesłyšajucy|słuchałko|słyšańska pomoc|srjejźnośamna barwa kóže|wucho ze słušańskeju pomocu|wucho ze słušańskeju pomocu: srjejźnośamna barwa kóže|wucho ze słyšańskeju pomocu
	🦻🏿;wucho ze słušańskeju pomocu: śamna barwa kóže;bźez barierow|głuchy|njesłyšajucy|śamna barwa kóže|słuchałko|słyšańska pomoc|wucho ze słušańskeju pomocu|wucho ze słušańskeju pomocu: śamna barwa kóže|wucho ze słyšańskeju pomocu
👃;nos;nos|źěl śěła
	👃🏻;nos: swětła barwa kóže;nos|nos: swětła barwa kóže|swětła barwa kóže|źěl śěła
	👃🏼;nos: srjejźnoswětła barwa kóže;nos|nos: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže|źěl śěła
	👃🏽;nos: wósrědna barwa kóže;nos|nos: wósrědna barwa kóže|wósrědna barwa kóže|źěl śěła
	👃🏾;nos: srjejźnośamna barwa kóže;nos|nos: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže|źěl śěła
	👃🏿;nos: śamna barwa kóže;nos|nos: śamna barwa kóže|śamna barwa kóže|źěl śěła
🧠;mórzgi;inteligentny|mórzgi
🫀;wutšoba (organ);dybnjenje wutšoby|organ|pulsěrowaś|srjejź|wutšoba (organ)
🫁;płuca;dych|dychaś|organ|płuca|wudychaś|zadychaś i płuca
🦷;zub;zub|zub śěgnuś|zubna gójcowka|zubny gójc
🦴;kósć;kósć|skelet
👀;wócy;woblico|wócko|wócy
👁️;woko;woko|źěl śěła
👅;jězyk;jězyk|źěl śěła
👄;guba;guba|gubje|źěl śěła
🫦;guba, kenž se do spódneje guby kusnjo;flirtowaś|guba|guba, kenž se do spódneje guby kusnjo|kenž se do spódneje guby kusnjo|nerwozny|njepśijazny|starosćiwy|tšach|tšašywy
👶;góletko;góletko|woblico
	👶🏻;góletko: swětła barwa kóže;góletko|góletko: swětła barwa kóže|swětła barwa kóže|woblico
	👶🏼;góletko: srjejźnoswětła barwa kóže;góletko|góletko: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže|woblico
	👶🏽;góletko: wósrědna barwa kóže;góletko|góletko: wósrědna barwa kóže|woblico|wósrědna barwa kóže
	👶🏾;góletko: srjejźnośamna barwa kóže;góletko|góletko: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže|woblico
	👶🏿;góletko: śamna barwa kóže;góletko|góletko: śamna barwa kóže|śamna barwa kóže|woblico
🧒;góle;góle|młody|pó roźe neutralny
	🧒🏻;góle: swětła barwa kóže;góle|góle: swětła barwa kóže|młody|pó roźe neutralny|swětła barwa kóže
	🧒🏼;góle: srjejźnoswětła barwa kóže;góle|góle: srjejźnoswětła barwa kóže|młody|pó roźe neutralny|srjejźnoswětła barwa kóže
	🧒🏽;góle: wósrědna barwa kóže;góle|góle: wósrědna barwa kóže|młody|pó roźe neutralny|wósrědna barwa kóže
	🧒🏾;góle: srjejźnośamna barwa kóže;góle|góle: srjejźnośamna barwa kóže|młody|pó roźe neutralny|srjejźnośamna barwa kóže
	🧒🏿;góle: śamna barwa kóže;góle|góle: śamna barwa kóže|młody|pó roźe neutralny|śamna barwa kóže
👦;gólc;gólc|woblico
	👦🏻;gólc: swětła barwa kóže;gólc|gólc: swětła barwa kóže|swětła barwa kóže|woblico
	👦🏼;gólc: srjejźnoswětła barwa kóže;gólc|gólc: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže|woblico
	👦🏽;gólc: wósrědna barwa kóže;gólc|gólc: wósrědna barwa kóže|woblico|wósrědna barwa kóže
	👦🏾;gólc: srjejźnośamna barwa kóže;gólc|gólc: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže|woblico
	👦🏿;gólc: śamna barwa kóže;gólc|gólc: śamna barwa kóže|śamna barwa kóže|woblico
👧;źowćo;woblico|źowćo
	👧🏻;źowćo: swětła barwa kóže;swětła barwa kóže|woblico|źowćo|źowćo: swětła barwa kóže
	👧🏼;źowćo: srjejźnoswětła barwa kóže;srjejźnoswětła barwa kóže|woblico|źowćo|źowćo: srjejźnoswětła barwa kóže
	👧🏽;źowćo: wósrědna barwa kóže;woblico|wósrědna barwa kóže|źowćo|źowćo: wósrědna barwa kóže
	👧🏾;źowćo: srjejźnośamna barwa kóže;srjejźnośamna barwa kóže|woblico|źowćo|źowćo: srjejźnośamna barwa kóže
	👧🏿;źowćo: śamna barwa kóže;śamna barwa kóže|woblico|źowćo|źowćo: śamna barwa kóže
🧑;dorosćony;dorosćony|pó roźe neutralny
	🧑🏻;dorosćony: swětła barwa kóže;dorosćony|dorosćony: swětła barwa kóže|pó roźe neutralny|swětła barwa kóže
	🧑🏼;dorosćony: srjejźnoswětła barwa kóže;dorosćony|dorosćony: srjejźnoswětła barwa kóže|pó roźe neutralny|srjejźnoswětła barwa kóže
	🧑🏽;dorosćony: wósrědna barwa kóže;dorosćony|dorosćony: wósrědna barwa kóže|pó roźe neutralny|wósrědna barwa kóže
	🧑🏾;dorosćony: srjejźnośamna barwa kóže;dorosćony|dorosćony: srjejźnośamna barwa kóže|pó roźe neutralny|srjejźnośamna barwa kóže
	🧑🏿;dorosćony: śamna barwa kóže;dorosćony|dorosćony: śamna barwa kóže|pó roźe neutralny|śamna barwa kóže
👱;wósoba: swětłe włosy;swětła wósoba|swětłe włosy|woblico|wósoba: swětłe włosy
	👱🏻;wósoba: swětła barwa kóže, swětłe włosy;swětła barwa kóže|swětła wósoba|swětłe włosy|woblico|wósoba: swětła barwa kóže, swětłe włosy|wósoba: swětłe włosy
	👱🏼;wósoba: srjejźnoswětła barwa kóže, swětłe włosy;srjejźnoswětła barwa kóže|swětła wósoba|swětłe włosy|woblico|wósoba: srjejźnoswětła barwa kóže, swětłe włosy|wósoba: swětłe włosy
	👱🏽;wósoba: wósrědna barwa kóže, swětłe włosy;swětła wósoba|swětłe włosy|woblico|wósoba: swětłe włosy|wósoba: wósrědna barwa kóže, swětłe włosy|wósrědna barwa kóže
	👱🏾;wósoba: srjejźnośamna barwa kóže, swětłe włosy;srjejźnośamna barwa kóže|swětła wósoba|swětłe włosy|woblico|wósoba: srjejźnośamna barwa kóže, swětłe włosy|wósoba: swětłe włosy
	👱🏿;wósoba: śamna barwa kóže, swětłe włosy;śamna barwa kóže|swětła wósoba|swětłe włosy|woblico|wósoba: śamna barwa kóže, swětłe włosy|wósoba: swětłe włosy
👨;muski;muski
	👨🏻;muski: swětła barwa kóže;muski|muski: swětła barwa kóže|swětła barwa kóže
	👨🏼;muski: srjejźnoswětła barwa kóže;muski|muski: srjejźnoswětła barwa kóže|srjejźnoswětła barwa kóže
	👨🏽;muski: wósrědna barwa kóže;muski|muski: wósrědna barwa kóže|wósrědna barwa kóže
	👨🏾;muski: srjejźnośamna barwa kóže;muski|muski: srjejźnośamna barwa kóže|srjejźnośamna barwa kóže
	👨🏿;muski: śamna barwa kóže;muski|muski: śamna barwa kóže|śamna barwa kóže
🧔;wósoba: broda;broda|muski: broda wósoba z brodu|wósoba: broda
	🧔🏻;wósoba: swětła barwa kóže, broda;broda|muski: broda wósoba z brodu|swětła barwa kóže|wósoba: broda|wósoba: swětła barwa kóže, broda
	🧔🏼;wósoba: srjejźnoswětła barwa kóže, broda;broda|muski: broda wósoba z brodu|srjejźnoswětła barwa kóže|wósoba: broda|wósoba: srjejźnoswětła barwa kóže, broda
	🧔🏽;wósoba: wósrědna barwa kóže, broda;broda|muski: broda wósoba z brodu|wósoba: broda|wósoba: wósrědna barwa kóže, broda|wósrědna barwa kóže
	🧔🏾;wósoba: srjejźnośamna barwa kóže, broda;broda|muski: broda wósoba z brodu|srjejźnośamna barwa kóže|wósoba: broda|wósoba: srjejźnośamna barwa kóže, broda
	🧔🏿;wósoba: śamna barwa kóže, broda;broda|muski: broda wósoba z brodu|śamna barwa kóže|wósoba: broda|wósoba: śamna barwa kóže, broda
🧔‍♂️;muski: broda;broda|muski|muski: broda
	🧔🏻‍♂️;muski: swětła barwa kóže, broda;broda|muski|muski: broda|muski: swětła barwa kóže, broda|swětła barwa kóže
	🧔🏼‍♂️;muski: srjejźnoswětła barwa kóže, broda;broda|muski|muski: broda|muski: srjejźnoswětła barwa kóže, broda|srjejźnoswětła barwa kóže
	🧔🏽‍♂️;muski: wósrědna barwa kóže, broda;broda|muski|muski: broda|muski: wósrědna barwa kóže, broda|wósrědna barwa kóže
	🧔🏾‍♂️;muski: srjejźnośamna barwa kóže, broda;broda|muski|muski: broda|muski: srjejźnośamna barwa kóže, broda|srjejźnośamna barwa kóže
	🧔🏿‍♂️;muski: śamna barwa kóže, broda;broda|muski|muski: broda|muski: śamna barwa kóže, broda|śamna barwa kóže
🧔‍♀️;žeńska: broda;broda|žeńska|žeńska: broda
	🧔🏻‍♀️;žeńska: swětła barwa kóže, broda;broda|swětła barwa kóže|žeńska|žeńska: broda|žeńska: swětła barwa kóže, broda
	🧔🏼‍♀️;žeńska: srjejźnoswětła barwa kóže, broda;broda|srjejźnoswětła barwa kóže|žeńska|žeńska: broda|žeńska: srjejźnoswětła barwa kóže, broda
	🧔🏽‍♀️;žeńska: wósrědna barwa kóže, broda;broda|wósrědna barwa kóže|žeńska|žeńska: broda|žeńska: wósrědna barwa kóže, broda
	🧔🏾‍♀️;žeńska: srjejźnośamna barwa kóže, broda;broda|srjejźnośamna barwa kóže|žeńska|žeńska: broda|žeńska: srjejźnośamna barwa kóže, broda
	🧔🏿‍♀️;žeńska: śamna barwa kóže, broda;broda|śamna barwa kóže|žeńska|žeńska: broda|žeńska: śamna barwa kóže, broda
👨‍🦰;muski: cerwjene włosy;cerwjene włosy|muski|muski: cerwjene włosy
	👨🏻‍🦰;muski: swětła barwa kóže, cerwjene włosy;cerwjene włosy|muski|muski: swětła barwa kóže, cerwjene włosy|swětła barwa kóže
	👨🏼‍🦰;muski: srjejźnoswětła barwa kóže, cerwjene włosy;cerwjene włosy|muski|muski: srjejźnoswětła barwa kóže, cerwjene włosy|srjejźnoswětła barwa kóže
	👨🏽‍🦰;muski: wósrědna barwa kóže, cerwjene włosy;cerwjene włosy|muski|muski: wósrědna barwa kóže, cerwjene włosy|wósrědna barwa kóže
	👨🏾‍🦰;muski: srjejźnośamna barwa kóže, cerwjene włosy;cerwjene włosy|muski|muski: srjejźnośamna barwa kóže, cerwjene włosy|srjejźnośamna barwa kóže
	👨🏿‍🦰;muski: śamna barwa kóže, cerwjene włosy;cerwjene włosy|muski|muski: śamna barwa kóže, cerwjene włosy|śamna barwa kóže
👨‍🦱;muski: kuźerate włosy;kuźerate włosy|muski|muski: kuźerate włosy
	👨🏻‍🦱;muski: swětła barwa kóže, kuźerate włosy;kuźerate włosy|muski|muski: swětła barwa kóže, kuźerate włosy|swětła barwa kóže
	👨🏼‍🦱;muski: srjejźnoswětła barwa kóže, kuźerate włosy;kuźerate włosy|muski|muski: srjejźnoswětła barwa kóže, kuźerate włosy|srjejźnoswětła barwa kóže
	👨🏽‍🦱;muski: wósrědna barwa kóže, kuźerate włosy;kuźerate włosy|muski|muski: wósrědna barwa kóže, kuźerate włosy|wósrědna barwa kóže
	👨🏾‍🦱;muski: srjejźnośamna barwa kóže, kuźerate włosy;kuźerate włosy|muski|muski: srjejźnośamna barwa kóže, kuźerate włosy|srjejźnośamna barwa kóže
	👨🏿‍🦱;muski: śamna barwa kóže, kuźerate włosy;kuźerate włosy|muski|muski: śamna barwa kóže, kuźerate włosy|śamna barwa kóže
👨‍🦳;muski: běłe włosy;běłe włosy|muski|muski: běłe włosy
	👨🏻‍🦳;muski: swětła barwa kóže, běłe włosy;běłe włosy|muski|muski: swětła barwa kóže, běłe włosy|swětła barwa kóže
	👨🏼‍🦳;muski: srjejźnoswětła barwa kóže, běłe włosy;běłe włosy|muski|muski: srjejźnoswětła barwa kóže, běłe włosy|srjejźnoswětła barwa kóže
	👨🏽‍🦳;muski: wósrědna barwa kóže, běłe włosy;běłe włosy|muski|muski: wósrědna barwa kóže, běłe włosy|wósrědna barwa kóže
	👨🏾‍🦳;muski: srjejźnośamna barwa kóže, běłe włosy;běłe włosy|muski|muski: srjejźnośamna barwa kóže, běłe włosy|srjejźnośamna barwa kóže
	👨🏿‍🦳;muski: śamna barwa kóže, běłe włosy;běłe włosy|muski|muski: śamna barwa kóže, běłe włosy|śamna barwa kóže
👨‍🦲;muski: plěch;muski|muski: plěch|plěch
	👨🏻‍🦲;muski: swětła barwa kóže, plěch;muski|muski: swětła barwa kóže, plěch|plěch|swětła barwa kóže
	👨🏼‍🦲;muski: srjejźnoswětła barwa kóže, plěch;muski|muski: srjejźnoswětła barwa kóže, plěch|plěch|srjejźnoswětła barwa kóže
	👨🏽‍🦲;muski: wósrědna barwa kóže, plěch;muski|muski: wósrědna barwa kóže, plěch|plěch|wósrědna barwa kóže
	👨🏾‍🦲;muski: srjejźnośamna barwa kóže, plěch;muski|muski: srjejźnośamna barwa kóže, plěch|plěch|srjejźnośamna barwa kóže
	👨🏿‍🦲;muski: śamna barwa kóže, plěch;muski|muski: śamna barwa kóže, plěch|plěch|śamna barwa kóže
👩;žeńska;žeńska|žeńska: dorosćona
	👩🏻;žeńska: swětła barwa kóže;swětła barwa kóže|žeńska|žeńska: dorosćona|žeńska: swětła barwa kóže
	👩🏼;žeńska: srjejźnoswětła barwa kóže;srjejźnoswětła barwa kóže|žeńska|žeńska: dorosćona|žeńska: srjejźnoswětła barwa kóže
	👩🏽;žeńska: wósrědna barwa kóže;wósrědna barwa kóže|žeńska|žeńska: dorosćona|žeńska: wósrědna barwa kóže
	👩🏾;žeńska: srjejźnośamna barwa kóže;srjejźnośamna barwa kóže|žeńska|žeńska: dorosćona|žeńska: srjejźnośamna barwa kóže
	👩🏿;žeńska: śamna barwa kóže;śamna barwa kóže|žeńska|žeńska: dorosćona|žeńska: śamna barwa kóže
👩‍🦰;žeńska: cerwjene włosy;cerwjene włosy|žeńska|žeńska: cerwjene włosy|žeńska: dorosćona
	👩🏻‍🦰;žeńska: swětła barwa kóže, cerwjene włosy;cerwjene włosy|swětła barwa kóže|žeńska|žeńska: dorosćona|žeńska: swětła barwa kóže, cerwjene włosy
	👩🏼‍🦰;žeńska: srjejźnoswětła barwa kóže, cerwjene włosy;cerwjene włosy|srjejźnoswětła barwa kóže|žeńska|žeńska: dorosćona|žeńska: srjejźnoswětła barwa kóže, cerwjene włosy
	👩🏽‍🦰;žeńska: wósrědna barwa kóže, cerwjene włosy;cerwjene włosy|wósrědna barwa kóže|žeńska|žeńska: dorosćona|žeńska: wósrědna barwa kóže, cerwjene włosy
	👩🏾‍🦰;žeńska: srjejźnośamna barwa kóže, cerwjene włosy;cerwjene włosy|srjejźnośamna barwa kóže|žeńska|žeńska: dorosćona|žeńska: srjejźnośamna barwa kóže, cerwjene włosy
	👩🏿‍🦰;žeńska: śamna barwa kóže, cerwjene włosy;cerwjene włosy|śamna barwa kóže|žeńska|žeńska: dorosćona|žeńska: śamna barwa kóže, cerwjene włosy
🧑‍🦰;dorosćony: cerwjene włosy;cerwjene włosy|dorosćony|dorosćony: cerwjene włosy|pó roźe neutralny
	🧑🏻‍🦰;dorosćony: swětła barwa kóže, cerwjene włosy;cerwjene włosy|dorosćony|dorosćony: swětła barwa kóže, cerwjene włosy|pó roźe neutralny|swětła barwa kóže
	🧑🏼‍🦰;dorosćony: srjejźnoswětła barwa kóže, cerwjene włosy;cerwjene włosy|dorosćony|dorosćony: srjejźnoswětła barwa kóže, cerwjene włosy|pó roźe neutralny|srjejźnoswětła barwa kóže
	🧑🏽‍🦰;dorosćony: wósrědna barwa kóže, cerwjene włosy;cerwjene włosy|dorosćony|dorosćony: wósrědna barwa kóže, cerwjene włosy|pó roźe neutralny|wósrědna barwa kóže
