[smileys_emotion]
😀;ಹಾಸ್ಯದ ಮುಖ;ಮುಖ|ಹಾಸ್ಯ|ಹಾಸ್ಯದ ಮುಖ
	👶🏼;ಎಳೆಮಗು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಎಳೆಮಗು|ಎಳೆಮಗು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಶಿಶು
	👶🏽;ಎಳೆಮಗು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಎಳೆಮಗು|ಎಳೆಮಗು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಶಿಶು
	👶🏾;ಎಳೆಮಗು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಎಳೆಮಗು|ಎಳೆಮಗು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಶಿಶು
	👶🏿;ಎಳೆಮಗು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಎಳೆಮಗು|ಎಳೆಮಗು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಶಿಶು
🧒;ಮಗು;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಮಗು|ಯುವ|ಲಿಂಗ-ತಟಸ್ಥ
	🧒🏻;ಮಗು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಗು|ಮಗು: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಯುವ|ಲಿಂಗ-ತಟಸ್ಥ
	🧒🏼;ಮಗು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಮಗು|ಮಗು: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಯುವ|ಲಿಂಗ-ತಟಸ್ಥ
	🧒🏽;ಮಗು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಮಗು|ಮಗು: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಯುವ|ಲಿಂಗ-ತಟಸ್ಥ
	🧒🏾;ಮಗು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಮಗು|ಮಗು: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಯುವ|ಲಿಂಗ-ತಟಸ್ಥ
	🧒🏿;ಮಗು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಗು|ಮಗು: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಯುವ|ಲಿಂಗ-ತಟಸ್ಥ
👦;ಹುಡುಗ;ವ್ಯಕ್ತಿ|ಹುಡುಗ
	👦🏻;ಹುಡುಗ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹುಡುಗ|ಹುಡುಗ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👦🏼;ಹುಡುಗ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹುಡುಗ|ಹುಡುಗ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👦🏽;ಹುಡುಗ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹುಡುಗ|ಹುಡುಗ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👦🏾;ಹುಡುಗ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹುಡುಗ|ಹುಡುಗ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👦🏿;ಹುಡುಗ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ|ಹುಡುಗ|ಹುಡುಗ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👧;ಹುಡುಗಿ;ಕನ್ನೆ|ಕನ್ಯಾರಾಶಿ|ರಾಶಿಚಕ್ರ|ಸ್ತ್ರೀ|ಹುಡುಗಿ
	👧🏻;ಹುಡುಗಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕನ್ನೆ|ಕನ್ಯಾರಾಶಿ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ರಾಶಿಚಕ್ರ|ಸ್ತ್ರೀ|ಹುಡುಗಿ|ಹುಡುಗಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👧🏼;ಹುಡುಗಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಕನ್ನೆ|ಕನ್ಯಾರಾಶಿ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ರಾಶಿಚಕ್ರ|ಸ್ತ್ರೀ|ಹುಡುಗಿ|ಹುಡುಗಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	👧🏽;ಹುಡುಗಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಕನ್ನೆ|ಕನ್ಯಾರಾಶಿ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ರಾಶಿಚಕ್ರ|ಸ್ತ್ರೀ|ಹುಡುಗಿ|ಹುಡುಗಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	👧🏾;ಹುಡುಗಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕನ್ನೆ|ಕನ್ಯಾರಾಶಿ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ರಾಶಿಚಕ್ರ|ಸ್ತ್ರೀ|ಹುಡುಗಿ|ಹುಡುಗಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	👧🏿;ಹುಡುಗಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಕನ್ನೆ|ಕನ್ಯಾರಾಶಿ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ರಾಶಿಚಕ್ರ|ಸ್ತ್ರೀ|ಹುಡುಗಿ|ಹುಡುಗಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧑;ವ್ಯಕ್ತಿ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ
	🧑🏻;ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏼;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏽;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏾;ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🧑🏿;ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಅನಿರ್ದಿಷ್ಟ ಲಿಂಗ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಲಿಂಗ-ತಟಸ್ಥ|ವಯಸ್ಕ|ವಯಸ್ಕರು|ವ್ಯಕ್ತಿ|ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
👱;ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ;ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ|ಹೊಂಬಣ್ಣದ ವ್ಯಕ್ತಿ
	👱🏻;ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣದ ವ್ಯಕ್ತಿ
	👱🏼;ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣದ ವ್ಯಕ್ತಿ
	👱🏽;ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣದ ವ್ಯಕ್ತಿ
	👱🏾;ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣದ ವ್ಯಕ್ತಿ
	👱🏿;ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ|ಹೊಂಬಣ್ಣ ಕೂದಲಿನ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಹೊಂಬಣ್ಣದ ವ್ಯಕ್ತಿ
👨;ಪುರುಷ;ಪುರುಷ|ವ್ಯಕ್ತಿ
	👨🏻;ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏼;ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏽;ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏾;ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏿;ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
🧔;ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ;ಗಡ್ಡ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ
	🧔🏻;ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಗಡ್ಡ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🧔🏼;ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ;ಗಡ್ಡ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🧔🏽;ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ;ಗಡ್ಡ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🧔🏾;ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಡ್ಡ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🧔🏿;ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ;ಗಡ್ಡ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ|ಗಡ್ಡಧಾರಿ ವ್ಯಕ್ತಿ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
🧔‍♂️;ಪುರುಷ: ಗಡ್ಡ;ಗಡ್ಡ|ಪುರುಷ|ಪುರುಷ: ಗಡ್ಡ
	🧔🏻‍♂️;ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ಗಡ್ಡ|ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ
	🧔🏼‍♂️;ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಪುರುಷ|ಪುರುಷ: ಗಡ್ಡ|ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ
	🧔🏽‍♂️;ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಪುರುಷ|ಪುರುಷ: ಗಡ್ಡ|ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ
	🧔🏾‍♂️;ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಪುರುಷ|ಪುರುಷ: ಗಡ್ಡ|ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ
	🧔🏿‍♂️;ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ಗಡ್ಡ|ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ
🧔‍♀️;ಮಹಿಳೆ: ಗಡ್ಡ;ಗಡ್ಡ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಡ್ಡ
	🧔🏻‍♀️;ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಡ್ಡ|ಮಹಿಳೆ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ
	🧔🏼‍♀️;ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಡ್ಡ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ
	🧔🏽‍♀️;ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಡ್ಡ|ಮಹಿಳೆ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ
	🧔🏾‍♀️;ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಡ್ಡ|ಮಹಿಳೆ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ
	🧔🏿‍♀️;ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ;ಗಡ್ಡ|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಮಹಿಳೆ|ಮಹಿಳೆ: ಗಡ್ಡ|ಮಹಿಳೆ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗಡ್ಡ
👨‍🦰;ಪುರುಷ: ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಕೆಂಪು ಕೂದಲು|ವ್ಯಕ್ತಿ
	👨🏻‍🦰;ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ವ್ಯಕ್ತಿ
	👨🏼‍🦰;ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏽‍🦰;ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏾‍🦰;ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏿‍🦰;ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು;ಕೆಂಪು ಕೂದಲು|ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಕೆಂಪು ಕೂದಲು|ವ್ಯಕ್ತಿ
👨‍🦱;ಪುರುಷ: ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಗುಂಗುರು ಕೂದಲು|ವ್ಯಕ್ತಿ
	👨🏻‍🦱;ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ಪುರುಷ|ಪುರುಷ: ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ವ್ಯಕ್ತಿ
	👨🏼‍🦱;ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ-ತಿಳಿ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏽‍🦱;ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
	👨🏾‍🦱;ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು;ಗುಂಗುರು ಕೂದಲು|ಪುರುಷ|ಪುರುಷ: ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ, ಗುಂಗುರು ಕೂದಲು|ಮಧ್ಯಮ-ಗಾಢ ಬಣ್ಣದ ಚರ್ಮ|ವ್ಯಕ್ತಿ
