# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;dareenka wajiga;dareenka wajiga|gariir|wajiga
	🧎🏻‍♂️‍➡️;nin jilba dhiganaya midig u jeeda;jilba dhiganaya|nin|nin jilba dhiganaya|nin jilba dhiganaya midig u jeeda
	🧎🏼‍♂️‍➡️;nin jilba dhiganaya midig u jeeda;jilba dhiganaya|nin|nin jilba dhiganaya|nin jilba dhiganaya midig u jeeda
	🧎🏽‍♂️‍➡️;nin jilba dhiganaya midig u jeeda;jilba dhiganaya|nin|nin jilba dhiganaya|nin jilba dhiganaya midig u jeeda
	🧎🏾‍♂️‍➡️;nin jilba dhiganaya midig u jeeda;jilba dhiganaya|nin|nin jilba dhiganaya|nin jilba dhiganaya midig u jeeda
	🧎🏿‍♂️‍➡️;nin jilba dhiganaya midig u jeeda;jilba dhiganaya|nin|nin jilba dhiganaya|nin jilba dhiganaya midig u jeeda
🧑‍🦯;qof wata bakoorad cas;indhoole|marin u helid|qof wata bakoorad cas
	🧑🏻‍🦯;qof wata bakoorad cas: jidh fudud;indhoole|jidh fudud|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas: jidh fudud
	🧑🏼‍🦯;qof wata bakoorad cas: jidh fudud oo dhexe;indhoole|jidh fudud oo dhexe|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas: jidh fudud oo dhexe
	🧑🏽‍🦯;qof wata bakoorad cas: jidh nooc dhexe;indhoole|jidh nooc dhexe|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas: jidh nooc dhexe
	🧑🏾‍🦯;qof wata bakoorad cas: jidh nooc madaw oo dhexe;indhoole|jidh nooc madaw oo dhexe|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas: jidh nooc madaw oo dhexe
	🧑🏿‍🦯;qof wata bakoorad cas: jidh madaw;indhoole|jidh madaw|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas: jidh madaw
🧑‍🦯‍➡️;qof wata bakoorad cas midig u jeeda;indhoole|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas midig u jeeda
	🧑🏻‍🦯‍➡️;qof wata bakoorad cas midig u jeeda;indhoole|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas midig u jeeda
	🧑🏼‍🦯‍➡️;qof wata bakoorad cas midig u jeeda;indhoole|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas midig u jeeda
	🧑🏽‍🦯‍➡️;qof wata bakoorad cas midig u jeeda;indhoole|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas midig u jeeda
	🧑🏾‍🦯‍➡️;qof wata bakoorad cas midig u jeeda;indhoole|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas midig u jeeda
	🧑🏿‍🦯‍➡️;qof wata bakoorad cas midig u jeeda;indhoole|marin u helid|qof wata bakoorad cas|qof wata bakoorad cas midig u jeeda
👨‍🦯;nin sita usha cad indhoolaha;awood u yeelid|indhoole|nin|nin sita usha cad indhoolaha
	👨🏻‍🦯;nin sita usha cad indhoolaha: jidh fudud;awood u yeelid|indhoole|jidh fudud|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha: jidh fudud
	👨🏼‍🦯;nin sita usha cad indhoolaha: jidh fudud oo dhexe;awood u yeelid|indhoole|jidh fudud oo dhexe|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha: jidh fudud oo dhexe
	👨🏽‍🦯;nin sita usha cad indhoolaha: jidh nooc dhexe;awood u yeelid|indhoole|jidh nooc dhexe|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha: jidh nooc dhexe
	👨🏾‍🦯;nin sita usha cad indhoolaha: jidh nooc madaw oo dhexe;awood u yeelid|indhoole|jidh nooc madaw oo dhexe|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha: jidh nooc madaw oo dhexe
	👨🏿‍🦯;nin sita usha cad indhoolaha: jidh madaw;awood u yeelid|indhoole|jidh madaw|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha: jidh madaw
👨‍🦯‍➡️;nin sita usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha midig u jeeda
	👨🏻‍🦯‍➡️;nin sita usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha midig u jeeda
	👨🏼‍🦯‍➡️;nin sita usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha midig u jeeda
	👨🏽‍🦯‍➡️;nin sita usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha midig u jeeda
	👨🏾‍🦯‍➡️;nin sita usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha midig u jeeda
	👨🏿‍🦯‍➡️;nin sita usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|nin|nin sita usha cad indhoolaha|nin sita usha cad indhoolaha midig u jeeda
👩‍🦯;naag sidata usha cad indhoolaha;awood u yeelid|indhoole|naag|naag sidata usha cad indhoolaha
	👩🏻‍🦯;naag sidata usha cad indhoolaha: jidh fudud;awood u yeelid|indhoole|jidh fudud|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha: jidh fudud
	👩🏼‍🦯;naag sidata usha cad indhoolaha: jidh fudud oo dhexe;awood u yeelid|indhoole|jidh fudud oo dhexe|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha: jidh fudud oo dhexe
	👩🏽‍🦯;naag sidata usha cad indhoolaha: jidh nooc dhexe;awood u yeelid|indhoole|jidh nooc dhexe|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha: jidh nooc dhexe
	👩🏾‍🦯;naag sidata usha cad indhoolaha: jidh nooc madaw oo dhexe;awood u yeelid|indhoole|jidh nooc madaw oo dhexe|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha: jidh nooc madaw oo dhexe
	👩🏿‍🦯;naag sidata usha cad indhoolaha: jidh madaw;awood u yeelid|indhoole|jidh madaw|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha: jidh madaw
👩‍🦯‍➡️;naag sidata usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha midig u jeeda
	👩🏻‍🦯‍➡️;naag sidata usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha midig u jeeda
	👩🏼‍🦯‍➡️;naag sidata usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha midig u jeeda
	👩🏽‍🦯‍➡️;naag sidata usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha midig u jeeda
	👩🏾‍🦯‍➡️;naag sidata usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha midig u jeeda
	👩🏿‍🦯‍➡️;naag sidata usha cad indhoolaha midig u jeeda;awood u yeelid|indhoole|naag|naag sidata usha cad indhoolaha|naag sidata usha cad indhoolaha midig u jeeda
🧑‍🦼;qof kufadhiya gaari matoor leh;awoood u yeelid|qof kufadhiya gaari matoor leh|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏻‍🦼;qof kufadhiya gaari matoor leh: jidh fudud;awoood u yeelid|jidh fudud|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh: jidh fudud|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏼‍🦼;qof kufadhiya gaari matoor leh: jidh fudud oo dhexe;awoood u yeelid|jidh fudud oo dhexe|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh: jidh fudud oo dhexe|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏽‍🦼;qof kufadhiya gaari matoor leh: jidh nooc dhexe;awoood u yeelid|jidh nooc dhexe|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh: jidh nooc dhexe|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏾‍🦼;qof kufadhiya gaari matoor leh: jidh nooc madaw oo dhexe;awoood u yeelid|jidh nooc madaw oo dhexe|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh: jidh nooc madaw oo dhexe|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏿‍🦼;qof kufadhiya gaari matoor leh: jidh madaw;awoood u yeelid|jidh madaw|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh: jidh madaw|qof saaran gaari matoor leh/ gaari curyaan
🧑‍🦼‍➡️;qof kufadhiya gaari matoor leh midig u jeeda;awoood u yeelid|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh midig u jeeda|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏻‍🦼‍➡️;qof kufadhiya gaari matoor leh midig u jeeda;awoood u yeelid|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh midig u jeeda|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏼‍🦼‍➡️;qof kufadhiya gaari matoor leh midig u jeeda;awoood u yeelid|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh midig u jeeda|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏽‍🦼‍➡️;qof kufadhiya gaari matoor leh midig u jeeda;awoood u yeelid|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh midig u jeeda|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏾‍🦼‍➡️;qof kufadhiya gaari matoor leh midig u jeeda;awoood u yeelid|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh midig u jeeda|qof saaran gaari matoor leh/ gaari curyaan
	🧑🏿‍🦼‍➡️;qof kufadhiya gaari matoor leh midig u jeeda;awoood u yeelid|qof kufadhiya gaari matoor leh|qof kufadhiya gaari matoor leh midig u jeeda|qof saaran gaari matoor leh/ gaari curyaan
👨‍🦼;nin saaran kursi curyaan matoor leh;awood u yeelid|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏻‍🦼;nin saaran kursi curyaan matoor leh: jidh fudud;awood u yeelid|jidh fudud|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh: jidh fudud|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏼‍🦼;nin saaran kursi curyaan matoor leh: jidh fudud oo dhexe;awood u yeelid|jidh fudud oo dhexe|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh: jidh fudud oo dhexe|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏽‍🦼;nin saaran kursi curyaan matoor leh: jidh nooc dhexe;awood u yeelid|jidh nooc dhexe|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh: jidh nooc dhexe|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏾‍🦼;nin saaran kursi curyaan matoor leh: jidh nooc madaw oo dhexe;awood u yeelid|jidh nooc madaw oo dhexe|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh: jidh nooc madaw oo dhexe|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏿‍🦼;nin saaran kursi curyaan matoor leh: jidh madaw;awood u yeelid|jidh madaw|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh: jidh madaw|nin saaran kursiga curyanka koronto ku shaqeeya
👨‍🦼‍➡️;nin saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh midig u jeeda|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏻‍🦼‍➡️;nin saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh midig u jeeda|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏼‍🦼‍➡️;nin saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh midig u jeeda|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏽‍🦼‍➡️;nin saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh midig u jeeda|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏾‍🦼‍➡️;nin saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh midig u jeeda|nin saaran kursiga curyanka koronto ku shaqeeya
	👨🏿‍🦼‍➡️;nin saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|kursi curyaan|nin|nin saaran kursi curyaan matoor leh|nin saaran kursi curyaan matoor leh midig u jeeda|nin saaran kursiga curyanka koronto ku shaqeeya
👩‍🦼;gabadh saaran kursi curyaan matoor leh;awood u yeelid|gabadh saaran kursi curyaan matoor leh|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏻‍🦼;gabadh saaran kursi curyaan matoor leh: jidh fudud;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh: jidh fudud|jidh fudud|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏼‍🦼;gabadh saaran kursi curyaan matoor leh: jidh fudud oo dhexe;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh: jidh fudud oo dhexe|jidh fudud oo dhexe|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏽‍🦼;gabadh saaran kursi curyaan matoor leh: jidh nooc dhexe;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh: jidh nooc dhexe|jidh nooc dhexe|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏾‍🦼;gabadh saaran kursi curyaan matoor leh: jidh nooc madaw oo dhexe;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh: jidh nooc madaw oo dhexe|jidh nooc madaw oo dhexe|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏿‍🦼;gabadh saaran kursi curyaan matoor leh: jidh madaw;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh: jidh madaw|jidh madaw|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
👩‍🦼‍➡️;gabadh saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh midig u jeeda|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏻‍🦼‍➡️;gabadh saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh midig u jeeda|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏼‍🦼‍➡️;gabadh saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh midig u jeeda|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏽‍🦼‍➡️;gabadh saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh midig u jeeda|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏾‍🦼‍➡️;gabadh saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh midig u jeeda|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
	👩🏿‍🦼‍➡️;gabadh saaran kursi curyaan matoor leh midig u jeeda;awood u yeelid|gabadh saaran kursi curyaan matoor leh|gabadh saaran kursi curyaan matoor leh midig u jeeda|kursiga curyaanka|naag|naag ku fadhida kursiga curyaanka koronta ku shaqeeya
🧑‍🦽;qof ku fadhiya gaari curyaanka gacanta;awood u yeelid|gaari curyaan|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta
	🧑🏻‍🦽;qof ku fadhiya gaari curyaanka gacanta: jidh fudud;awood u yeelid|gaari curyaan|jidh fudud|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta: jidh fudud
	🧑🏼‍🦽;qof ku fadhiya gaari curyaanka gacanta: jidh fudud oo dhexe;awood u yeelid|gaari curyaan|jidh fudud oo dhexe|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta: jidh fudud oo dhexe
	🧑🏽‍🦽;qof ku fadhiya gaari curyaanka gacanta: jidh nooc dhexe;awood u yeelid|gaari curyaan|jidh nooc dhexe|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta: jidh nooc dhexe
	🧑🏾‍🦽;qof ku fadhiya gaari curyaanka gacanta: jidh nooc madaw oo dhexe;awood u yeelid|gaari curyaan|jidh nooc madaw oo dhexe|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta: jidh nooc madaw oo dhexe
	🧑🏿‍🦽;qof ku fadhiya gaari curyaanka gacanta: jidh madaw;awood u yeelid|gaari curyaan|jidh madaw|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta: jidh madaw
🧑‍🦽‍➡️;qof ku fadhiya gaari curyaanka gacanta midig u jeeda;awood u yeelid|gaari curyaan|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta midig u jeeda|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta
	🧑🏻‍🦽‍➡️;qof ku fadhiya gaari curyaanka gacanta midig u jeeda;awood u yeelid|gaari curyaan|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta midig u jeeda|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta
	🧑🏼‍🦽‍➡️;qof ku fadhiya gaari curyaanka gacanta midig u jeeda;awood u yeelid|gaari curyaan|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta midig u jeeda|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta
	🧑🏽‍🦽‍➡️;qof ku fadhiya gaari curyaanka gacanta midig u jeeda;awood u yeelid|gaari curyaan|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta midig u jeeda|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta
	🧑🏾‍🦽‍➡️;qof ku fadhiya gaari curyaanka gacanta midig u jeeda;awood u yeelid|gaari curyaan|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta midig u jeeda|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta
	🧑🏿‍🦽‍➡️;qof ku fadhiya gaari curyaanka gacanta midig u jeeda;awood u yeelid|gaari curyaan|qof ku fadhiya gaari curyaanka gacanta|qof ku fadhiya gaari curyaanka gacanta midig u jeeda|qof ku fadhiya gaari curyaanka gacanta qof ku fadhiya gaari curyaanka gacantaqof ku fadhiya gaari curyaanka gacanta
👨‍🦽;nin saaran kursiga curyaanka macmac ah;awood u yeelid|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah
	👨🏻‍🦽;nin saaran kursiga curyaanka macmac ah: jidh fudud;awood u yeelid|jidh fudud|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah: jidh fudud
	👨🏼‍🦽;nin saaran kursiga curyaanka macmac ah: jidh fudud oo dhexe;awood u yeelid|jidh fudud oo dhexe|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah: jidh fudud oo dhexe
	👨🏽‍🦽;nin saaran kursiga curyaanka macmac ah: jidh nooc dhexe;awood u yeelid|jidh nooc dhexe|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah: jidh nooc dhexe
	👨🏾‍🦽;nin saaran kursiga curyaanka macmac ah: jidh nooc madaw oo dhexe;awood u yeelid|jidh nooc madaw oo dhexe|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah: jidh nooc madaw oo dhexe
	👨🏿‍🦽;nin saaran kursiga curyaanka macmac ah: jidh madaw;awood u yeelid|jidh madaw|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah: jidh madaw
👨‍🦽‍➡️;nin saaran kursiga curyaanka macmac ah midig u jeeda;awood u yeelid|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah midig u jeeda
	👨🏻‍🦽‍➡️;nin saaran kursiga curyaanka macmac ah midig u jeeda;awood u yeelid|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah midig u jeeda
	👨🏼‍🦽‍➡️;nin saaran kursiga curyaanka macmac ah midig u jeeda;awood u yeelid|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah midig u jeeda
	👨🏽‍🦽‍➡️;nin saaran kursiga curyaanka macmac ah midig u jeeda;awood u yeelid|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah midig u jeeda
	👨🏾‍🦽‍➡️;nin saaran kursiga curyaanka macmac ah midig u jeeda;awood u yeelid|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah midig u jeeda
	👨🏿‍🦽‍➡️;nin saaran kursiga curyaanka macmac ah midig u jeeda;awood u yeelid|kursiga curyaanka|nin|nin saaran kursiga curyaanka macmac ah|nin saaran kursiga curyaanka macmac ah midig u jeeda
👩‍🦽;naag fadhida kursiga curyaanka macmal ah;awood u yeelid|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah
	👩🏻‍🦽;naag fadhida kursiga curyaanka macmal ah: jidh fudud;awood u yeelid|jidh fudud|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah: jidh fudud
	👩🏼‍🦽;naag fadhida kursiga curyaanka macmal ah: jidh fudud oo dhexe;awood u yeelid|jidh fudud oo dhexe|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah: jidh fudud oo dhexe
	👩🏽‍🦽;naag fadhida kursiga curyaanka macmal ah: jidh nooc dhexe;awood u yeelid|jidh nooc dhexe|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah: jidh nooc dhexe
	👩🏾‍🦽;naag fadhida kursiga curyaanka macmal ah: jidh nooc madaw oo dhexe;awood u yeelid|jidh nooc madaw oo dhexe|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah: jidh nooc madaw oo dhexe
	👩🏿‍🦽;naag fadhida kursiga curyaanka macmal ah: jidh madaw;awood u yeelid|jidh madaw|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah: jidh madaw
👩‍🦽‍➡️;naag fadhida kursiga curyaanka macmal ah midig u jeeda;awood u yeelid|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah midig u jeeda
	👩🏻‍🦽‍➡️;naag fadhida kursiga curyaanka macmal ah midig u jeeda;awood u yeelid|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah midig u jeeda
	👩🏼‍🦽‍➡️;naag fadhida kursiga curyaanka macmal ah midig u jeeda;awood u yeelid|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah midig u jeeda
	👩🏽‍🦽‍➡️;naag fadhida kursiga curyaanka macmal ah midig u jeeda;awood u yeelid|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah midig u jeeda
	👩🏾‍🦽‍➡️;naag fadhida kursiga curyaanka macmal ah midig u jeeda;awood u yeelid|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah midig u jeeda
	👩🏿‍🦽‍➡️;naag fadhida kursiga curyaanka macmal ah midig u jeeda;awood u yeelid|kursiga curyaanka|naag|naag fadhida kursiga curyaanka macmal ah|naag fadhida kursiga curyaanka macmal ah midig u jeeda
🏃;qof ordaya;maratoon|orodka|qof ordaya
	🏃🏻;qof ordaya: jidh fudud;jidh fudud|maratoon|orodka|qof ordaya|qof ordaya: jidh fudud
	🏃🏼;qof ordaya: jidh fudud oo dhexe;jidh fudud oo dhexe|maratoon|orodka|qof ordaya|qof ordaya: jidh fudud oo dhexe
	🏃🏽;qof ordaya: jidh nooc dhexe;jidh nooc dhexe|maratoon|orodka|qof ordaya|qof ordaya: jidh nooc dhexe
	🏃🏾;qof ordaya: jidh nooc madaw oo dhexe;jidh nooc madaw oo dhexe|maratoon|orodka|qof ordaya|qof ordaya: jidh nooc madaw oo dhexe
	🏃🏿;qof ordaya: jidh madaw;jidh madaw|maratoon|orodka|qof ordaya|qof ordaya: jidh madaw
🏃‍♂️;nin ordaya;maratoon|nin|nin ordaya|orodka|tartan orod
	🏃🏻‍♂️;nin ordaya: jidh fudud;jidh fudud|maratoon|nin|nin ordaya|nin ordaya: jidh fudud|orodka|tartan orod
	🏃🏼‍♂️;nin ordaya: jidh fudud oo dhexe;jidh fudud oo dhexe|maratoon|nin|nin ordaya|nin ordaya: jidh fudud oo dhexe|orodka|tartan orod
