[smileys_emotion]
😀;fuska mai murmushin baki har kunne;fuska mai murmushin baki har kunne|murmushi|uska
🙆;mutum mai nunawa TO da hannu;hannu|karimcin|mutum mai nunawa TO da hannu|TO
	🙆🏻;mutum mai nunawa TO da hannu: launin fata mai haske;hannu|karimcin|launin fata mai haske|mutum mai nunawa TO da hannu|mutum mai nunawa TO da hannu: launin fata mai haske|TO
	🙆🏼;mutum mai nunawa TO da hannu: launin fata mai madaidaicin haske;hannu|karimcin|launin fata mai madaidaicin haske|mutum mai nunawa TO da hannu|mutum mai nunawa TO da hannu: launin fata mai madaidaicin haske|TO
	🙆🏽;mutum mai nunawa TO da hannu: madaidaicin launin fata;hannu|karimcin|madaidaicin launin fata|mutum mai nunawa TO da hannu|mutum mai nunawa TO da hannu: madaidaicin launin fata|TO
	🙆🏾;mutum mai nunawa TO da hannu: launin fata mai madaidaicin duhu;hannu|karimcin|launin fata mai madaidaicin duhu|mutum mai nunawa TO da hannu|mutum mai nunawa TO da hannu: launin fata mai madaidaicin duhu|TO
	🙆🏿;mutum mai nunawa TO da hannu: launin fata mai duhu;hannu|karimcin|launin fata mai duhu|mutum mai nunawa TO da hannu|mutum mai nunawa TO da hannu: launin fata mai duhu|TO
🙆‍♂️;namiji mai nunawa TO da hannu;mutum|namiji mai nunawa TO da hannu|nunawa da hannu|TO
	🙆🏻‍♂️;namiji mai nunawa TO da hannu: launin fata mai haske;launin fata mai haske|mutum|namiji mai nunawa TO da hannu|namiji mai nunawa TO da hannu: launin fata mai haske|nunawa da hannu|TO
	🙆🏼‍♂️;namiji mai nunawa TO da hannu: launin fata mai madaidaicin haske;launin fata mai madaidaicin haske|mutum|namiji mai nunawa TO da hannu|namiji mai nunawa TO da hannu: launin fata mai madaidaicin haske|nunawa da hannu|TO
	🙆🏽‍♂️;namiji mai nunawa TO da hannu: madaidaicin launin fata;madaidaicin launin fata|mutum|namiji mai nunawa TO da hannu|namiji mai nunawa TO da hannu: madaidaicin launin fata|nunawa da hannu|TO
	🙆🏾‍♂️;namiji mai nunawa TO da hannu: launin fata mai madaidaicin duhu;launin fata mai madaidaicin duhu|mutum|namiji mai nunawa TO da hannu|namiji mai nunawa TO da hannu: launin fata mai madaidaicin duhu|nunawa da hannu|TO
	🙆🏿‍♂️;namiji mai nunawa TO da hannu: launin fata mai duhu;launin fata mai duhu|mutum|namiji mai nunawa TO da hannu|namiji mai nunawa TO da hannu: launin fata mai duhu|nunawa da hannu|TO
🙆‍♀️;mace mai nunawa TO da hannu;hannu|karimcin|mace|mace mai nunawa TO da hannu|TO
	🙆🏻‍♀️;mace mai nunawa TO da hannu: launin fata mai haske;hannu|karimcin|launin fata mai haske|mace|mace mai nunawa TO da hannu|mace mai nunawa TO da hannu: launin fata mai haske|TO
	🙆🏼‍♀️;mace mai nunawa TO da hannu: launin fata mai madaidaicin haske;hannu|karimcin|launin fata mai madaidaicin haske|mace|mace mai nunawa TO da hannu|mace mai nunawa TO da hannu: launin fata mai madaidaicin haske|TO
	🙆🏽‍♀️;mace mai nunawa TO da hannu: madaidaicin launin fata;hannu|karimcin|mace|mace mai nunawa TO da hannu|mace mai nunawa TO da hannu: madaidaicin launin fata|madaidaicin launin fata|TO
	🙆🏾‍♀️;mace mai nunawa TO da hannu: launin fata mai madaidaicin duhu;hannu|karimcin|launin fata mai madaidaicin duhu|mace|mace mai nunawa TO da hannu|mace mai nunawa TO da hannu: launin fata mai madaidaicin duhu|TO
	🙆🏿‍♀️;mace mai nunawa TO da hannu: launin fata mai duhu;hannu|karimcin|launin fata mai duhu|mace|mace mai nunawa TO da hannu|mace mai nunawa TO da hannu: launin fata mai duhu|TO
💁;mutum hannu mai ba da ci-goro;bayani|bayar da ci-goro|hannu|ƙarfin zuciya|mutum hannu mai ba da ci-goro|taimako
	💁🏻;mutum hannu mai ba da ci-goro: launin fata mai haske;bayani|bayar da ci-goro|hannu|ƙarfin zuciya|launin fata mai haske|mutum hannu mai ba da ci-goro|mutum hannu mai ba da ci-goro: launin fata mai haske|taimako
	💁🏼;mutum hannu mai ba da ci-goro: launin fata mai madaidaicin haske;bayani|bayar da ci-goro|hannu|ƙarfin zuciya|launin fata mai madaidaicin haske|mutum hannu mai ba da ci-goro|mutum hannu mai ba da ci-goro: launin fata mai madaidaicin haske|taimako
	💁🏽;mutum hannu mai ba da ci-goro: madaidaicin launin fata;bayani|bayar da ci-goro|hannu|ƙarfin zuciya|madaidaicin launin fata|mutum hannu mai ba da ci-goro|mutum hannu mai ba da ci-goro: madaidaicin launin fata|taimako
	💁🏾;mutum hannu mai ba da ci-goro: launin fata mai madaidaicin duhu;bayani|bayar da ci-goro|hannu|ƙarfin zuciya|launin fata mai madaidaicin duhu|mutum hannu mai ba da ci-goro|mutum hannu mai ba da ci-goro: launin fata mai madaidaicin duhu|taimako
	💁🏿;mutum hannu mai ba da ci-goro: launin fata mai duhu;bayani|bayar da ci-goro|hannu|ƙarfin zuciya|launin fata mai duhu|mutum hannu mai ba da ci-goro|mutum hannu mai ba da ci-goro: launin fata mai duhu|taimako
💁‍♂️;namiji hannu mai ba da ci-goro;hannu mai ba da ci-goro|ƙarfin zuciya|mutum|namiji hannu mai ba da ci-goro
	💁🏻‍♂️;namiji hannu mai ba da ci-goro: launin fata mai haske;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai haske|mutum|namiji hannu mai ba da ci-goro|namiji hannu mai ba da ci-goro: launin fata mai haske
	💁🏼‍♂️;namiji hannu mai ba da ci-goro: launin fata mai madaidaicin haske;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai madaidaicin haske|mutum|namiji hannu mai ba da ci-goro|namiji hannu mai ba da ci-goro: launin fata mai madaidaicin haske
	💁🏽‍♂️;namiji hannu mai ba da ci-goro: madaidaicin launin fata;hannu mai ba da ci-goro|ƙarfin zuciya|madaidaicin launin fata|mutum|namiji hannu mai ba da ci-goro|namiji hannu mai ba da ci-goro: madaidaicin launin fata
	💁🏾‍♂️;namiji hannu mai ba da ci-goro: launin fata mai madaidaicin duhu;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai madaidaicin duhu|mutum|namiji hannu mai ba da ci-goro|namiji hannu mai ba da ci-goro: launin fata mai madaidaicin duhu
	💁🏿‍♂️;namiji hannu mai ba da ci-goro: launin fata mai duhu;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai duhu|mutum|namiji hannu mai ba da ci-goro|namiji hannu mai ba da ci-goro: launin fata mai duhu
💁‍♀️;mace hannu mai ba da ci-goro;hannu mai ba da ci-goro|ƙarfin zuciya|mace|mace hannu mai ba da ci-goro
	💁🏻‍♀️;mace hannu mai ba da ci-goro: launin fata mai haske;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai haske|mace|mace hannu mai ba da ci-goro|mace hannu mai ba da ci-goro: launin fata mai haske
	💁🏼‍♀️;mace hannu mai ba da ci-goro: launin fata mai madaidaicin haske;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai madaidaicin haske|mace|mace hannu mai ba da ci-goro|mace hannu mai ba da ci-goro: launin fata mai madaidaicin haske
	💁🏽‍♀️;mace hannu mai ba da ci-goro: madaidaicin launin fata;hannu mai ba da ci-goro|ƙarfin zuciya|mace|mace hannu mai ba da ci-goro|mace hannu mai ba da ci-goro: madaidaicin launin fata|madaidaicin launin fata
	💁🏾‍♀️;mace hannu mai ba da ci-goro: launin fata mai madaidaicin duhu;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai madaidaicin duhu|mace|mace hannu mai ba da ci-goro|mace hannu mai ba da ci-goro: launin fata mai madaidaicin duhu
	💁🏿‍♀️;mace hannu mai ba da ci-goro: launin fata mai duhu;hannu mai ba da ci-goro|ƙarfin zuciya|launin fata mai duhu|mace|mace hannu mai ba da ci-goro|mace hannu mai ba da ci-goro: launin fata mai duhu
🙋;mutum mai ɗagawa hannu;ɗagagge|hannu|karimcin|murna|mutum mai ɗagawa hannu
	🙋🏻;mutum mai ɗagawa hannu: launin fata mai haske;ɗagagge|hannu|karimcin|launin fata mai haske|murna|mutum mai ɗagawa hannu|mutum mai ɗagawa hannu: launin fata mai haske
	🙋🏼;mutum mai ɗagawa hannu: launin fata mai madaidaicin haske;ɗagagge|hannu|karimcin|launin fata mai madaidaicin haske|murna|mutum mai ɗagawa hannu|mutum mai ɗagawa hannu: launin fata mai madaidaicin haske
	🙋🏽;mutum mai ɗagawa hannu: madaidaicin launin fata;ɗagagge|hannu|karimcin|madaidaicin launin fata|murna|mutum mai ɗagawa hannu|mutum mai ɗagawa hannu: madaidaicin launin fata
	🙋🏾;mutum mai ɗagawa hannu: launin fata mai madaidaicin duhu;ɗagagge|hannu|karimcin|launin fata mai madaidaicin duhu|murna|mutum mai ɗagawa hannu|mutum mai ɗagawa hannu: launin fata mai madaidaicin duhu
	🙋🏿;mutum mai ɗagawa hannu: launin fata mai duhu;ɗagagge|hannu|karimcin|launin fata mai duhu|murna|mutum mai ɗagawa hannu|mutum mai ɗagawa hannu: launin fata mai duhu
🙋‍♂️;namiji mai ɗagawa hannu;ɗagawa hannu|karimcin|mutum|namiji mai ɗagawa hannu
	🙋🏻‍♂️;namiji mai ɗagawa hannu: launin fata mai haske;ɗagawa hannu|karimcin|launin fata mai haske|mutum|namiji mai ɗagawa hannu|namiji mai ɗagawa hannu: launin fata mai haske
	🙋🏼‍♂️;namiji mai ɗagawa hannu: launin fata mai madaidaicin haske;ɗagawa hannu|karimcin|launin fata mai madaidaicin haske|mutum|namiji mai ɗagawa hannu|namiji mai ɗagawa hannu: launin fata mai madaidaicin haske
	🙋🏽‍♂️;namiji mai ɗagawa hannu: madaidaicin launin fata;ɗagawa hannu|karimcin|madaidaicin launin fata|mutum|namiji mai ɗagawa hannu|namiji mai ɗagawa hannu: madaidaicin launin fata
	🙋🏾‍♂️;namiji mai ɗagawa hannu: launin fata mai madaidaicin duhu;ɗagawa hannu|karimcin|launin fata mai madaidaicin duhu|mutum|namiji mai ɗagawa hannu|namiji mai ɗagawa hannu: launin fata mai madaidaicin duhu
	🙋🏿‍♂️;namiji mai ɗagawa hannu: launin fata mai duhu;ɗagawa hannu|karimcin|launin fata mai duhu|mutum|namiji mai ɗagawa hannu|namiji mai ɗagawa hannu: launin fata mai duhu
🙋‍♀️;mace mai ɗagawa hannu;ɗagawa hannu|karimcin|mace|mace mai ɗagawa hannu
	🙋🏻‍♀️;mace mai ɗagawa hannu: launin fata mai haske;ɗagawa hannu|karimcin|launin fata mai haske|mace|mace mai ɗagawa hannu|mace mai ɗagawa hannu: launin fata mai haske
	🙋🏼‍♀️;mace mai ɗagawa hannu: launin fata mai madaidaicin haske;ɗagawa hannu|karimcin|launin fata mai madaidaicin haske|mace|mace mai ɗagawa hannu|mace mai ɗagawa hannu: launin fata mai madaidaicin haske
	🙋🏽‍♀️;mace mai ɗagawa hannu: madaidaicin launin fata;ɗagawa hannu|karimcin|mace|mace mai ɗagawa hannu|mace mai ɗagawa hannu: madaidaicin launin fata|madaidaicin launin fata
	🙋🏾‍♀️;mace mai ɗagawa hannu: launin fata mai madaidaicin duhu;ɗagawa hannu|karimcin|launin fata mai madaidaicin duhu|mace|mace mai ɗagawa hannu|mace mai ɗagawa hannu: launin fata mai madaidaicin duhu
	🙋🏿‍♀️;mace mai ɗagawa hannu: launin fata mai duhu;ɗagawa hannu|karimcin|launin fata mai duhu|mace|mace mai ɗagawa hannu|mace mai ɗagawa hannu: launin fata mai duhu
🧏;kurma;ji|kunne|kurma|samun dama
	🧏🏻;kurma: launin fata mai haske;ji|kunne|kurma|kurma: launin fata mai haske|launin fata mai haske|samun dama
	🧏🏼;kurma: launin fata mai madaidaicin haske;ji|kunne|kurma|kurma: launin fata mai madaidaicin haske|launin fata mai madaidaicin haske|samun dama
	🧏🏽;kurma: madaidaicin launin fata;ji|kunne|kurma|kurma: madaidaicin launin fata|madaidaicin launin fata|samun dama
	🧏🏾;kurma: launin fata mai madaidaicin duhu;ji|kunne|kurma|kurma: launin fata mai madaidaicin duhu|launin fata mai madaidaicin duhu|samun dama
	🧏🏿;kurma: launin fata mai duhu;ji|kunne|kurma|kurma: launin fata mai duhu|launin fata mai duhu|samun dama
🧏‍♂️;namijin kurma;kurma|na miji|namijin kurma
	🧏🏻‍♂️;namijin kurma: launin fata mai haske;kurma|launin fata mai haske|na miji|namijin kurma|namijin kurma: launin fata mai haske
	🧏🏼‍♂️;namijin kurma: launin fata mai madaidaicin haske;kurma|launin fata mai madaidaicin haske|na miji|namijin kurma|namijin kurma: launin fata mai madaidaicin haske
	🧏🏽‍♂️;namijin kurma: madaidaicin launin fata;kurma|madaidaicin launin fata|na miji|namijin kurma|namijin kurma: madaidaicin launin fata
	🧏🏾‍♂️;namijin kurma: launin fata mai madaidaicin duhu;kurma|launin fata mai madaidaicin duhu|na miji|namijin kurma|namijin kurma: launin fata mai madaidaicin duhu
	🧏🏿‍♂️;namijin kurma: launin fata mai duhu;kurma|launin fata mai duhu|na miji|namijin kurma|namijin kurma: launin fata mai duhu
🧏‍♀️;kurman mace;kurma|kurman mace|na mace
	🧏🏻‍♀️;kurman mace: launin fata mai haske;kurma|kurman mace|kurman mace: launin fata mai haske|launin fata mai haske|na mace
	🧏🏼‍♀️;kurman mace: launin fata mai madaidaicin haske;kurma|kurman mace|kurman mace: launin fata mai madaidaicin haske|launin fata mai madaidaicin haske|na mace
	🧏🏽‍♀️;kurman mace: madaidaicin launin fata;kurma|kurman mace|kurman mace: madaidaicin launin fata|madaidaicin launin fata|na mace
	🧏🏾‍♀️;kurman mace: launin fata mai madaidaicin duhu;kurma|kurman mace|kurman mace: launin fata mai madaidaicin duhu|launin fata mai madaidaicin duhu|na mace
	🧏🏿‍♀️;kurman mace: launin fata mai duhu;kurma|kurman mace|kurman mace: launin fata mai duhu|launin fata mai duhu|na mace
🙇;mutum mai sunkuya;gafarta|haƙuri|karimcin|mutum mai sunkuya|sunkuya
	🙇🏻;mutum mai sunkuya: launin fata mai haske;gafarta|haƙuri|karimcin|launin fata mai haske|mutum mai sunkuya|mutum mai sunkuya: launin fata mai haske|sunkuya
	🙇🏼;mutum mai sunkuya: launin fata mai madaidaicin haske;gafarta|haƙuri|karimcin|launin fata mai madaidaicin haske|mutum mai sunkuya|mutum mai sunkuya: launin fata mai madaidaicin haske|sunkuya
	🙇🏽;mutum mai sunkuya: madaidaicin launin fata;gafarta|haƙuri|karimcin|madaidaicin launin fata|mutum mai sunkuya|mutum mai sunkuya: madaidaicin launin fata|sunkuya
	🙇🏾;mutum mai sunkuya: launin fata mai madaidaicin duhu;gafarta|haƙuri|karimcin|launin fata mai madaidaicin duhu|mutum mai sunkuya|mutum mai sunkuya: launin fata mai madaidaicin duhu|sunkuya
	🙇🏿;mutum mai sunkuya: launin fata mai duhu;gafarta|haƙuri|karimcin|launin fata mai duhu|mutum mai sunkuya|mutum mai sunkuya: launin fata mai duhu|sunkuya
🙇‍♂️;namiji mai sunkuya;alheri|gafarta|haƙuri|karimcin|mutum|namiji mai sunkuya|yin sunkuya
	🙇🏻‍♂️;namiji mai sunkuya: launin fata mai haske;alheri|gafarta|haƙuri|karimcin|launin fata mai haske|mutum|namiji mai sunkuya|namiji mai sunkuya: launin fata mai haske|yin sunkuya
	🙇🏼‍♂️;namiji mai sunkuya: launin fata mai madaidaicin haske;alheri|gafarta|haƙuri|karimcin|launin fata mai madaidaicin haske|mutum|namiji mai sunkuya|namiji mai sunkuya: launin fata mai madaidaicin haske|yin sunkuya
	🙇🏽‍♂️;namiji mai sunkuya: madaidaicin launin fata;alheri|gafarta|haƙuri|karimcin|madaidaicin launin fata|mutum|namiji mai sunkuya|namiji mai sunkuya: madaidaicin launin fata|yin sunkuya
	🙇🏾‍♂️;namiji mai sunkuya: launin fata mai madaidaicin duhu;alheri|gafarta|haƙuri|karimcin|launin fata mai madaidaicin duhu|mutum|namiji mai sunkuya|namiji mai sunkuya: launin fata mai madaidaicin duhu|yin sunkuya
	🙇🏿‍♂️;namiji mai sunkuya: launin fata mai duhu;alheri|gafarta|haƙuri|karimcin|launin fata mai duhu|mutum|namiji mai sunkuya|namiji mai sunkuya: launin fata mai duhu|yin sunkuya
🙇‍♀️;mace mai sunkuya;alheri|gafarta|haƙuri|karimcin|mace|mace mai sunkuya|yin sunkuya
	🙇🏻‍♀️;mace mai sunkuya: launin fata mai haske;alheri|gafarta|haƙuri|karimcin|launin fata mai haske|mace|mace mai sunkuya|mace mai sunkuya: launin fata mai haske|yin sunkuya
	🙇🏼‍♀️;mace mai sunkuya: launin fata mai madaidaicin haske;alheri|gafarta|haƙuri|karimcin|launin fata mai madaidaicin haske|mace|mace mai sunkuya|mace mai sunkuya: launin fata mai madaidaicin haske|yin sunkuya
	🙇🏽‍♀️;mace mai sunkuya: madaidaicin launin fata;alheri|gafarta|haƙuri|karimcin|mace|mace mai sunkuya|mace mai sunkuya: madaidaicin launin fata|madaidaicin launin fata|yin sunkuya
	🙇🏾‍♀️;mace mai sunkuya: launin fata mai madaidaicin duhu;alheri|gafarta|haƙuri|karimcin|launin fata mai madaidaicin duhu|mace|mace mai sunkuya|mace mai sunkuya: launin fata mai madaidaicin duhu|yin sunkuya
	🙇🏿‍♀️;mace mai sunkuya: launin fata mai duhu;alheri|gafarta|haƙuri|karimcin|launin fata mai duhu|mace|mace mai sunkuya|mace mai sunkuya: launin fata mai duhu|yin sunkuya
🤦;mutum nunawa kunya;fushi|fuska|mutum nunawa kunya|rashin imani|tafin hannu
	🤦🏻;mutum nunawa kunya: launin fata mai haske;fushi|fuska|launin fata mai haske|mutum nunawa kunya|mutum nunawa kunya: launin fata mai haske|rashin imani|tafin hannu
	🤦🏼;mutum nunawa kunya: launin fata mai madaidaicin haske;fushi|fuska|launin fata mai madaidaicin haske|mutum nunawa kunya|mutum nunawa kunya: launin fata mai madaidaicin haske|rashin imani|tafin hannu
	🤦🏽;mutum nunawa kunya: madaidaicin launin fata;fushi|fuska|madaidaicin launin fata|mutum nunawa kunya|mutum nunawa kunya: madaidaicin launin fata|rashin imani|tafin hannu
	🤦🏾;mutum nunawa kunya: launin fata mai madaidaicin duhu;fushi|fuska|launin fata mai madaidaicin duhu|mutum nunawa kunya|mutum nunawa kunya: launin fata mai madaidaicin duhu|rashin imani|tafin hannu
	🤦🏿;mutum nunawa kunya: launin fata mai duhu;fushi|fuska|launin fata mai duhu|mutum nunawa kunya|mutum nunawa kunya: launin fata mai duhu|rashin imani|tafin hannu
🤦‍♂️;namiji nunawa kunya;fushi|namiji|namiji nunawa kunya|rashin imani|tafin hannu na fuska
	🤦🏻‍♂️;namiji nunawa kunya: launin fata mai haske;fushi|launin fata mai haske|namiji|namiji nunawa kunya|namiji nunawa kunya: launin fata mai haske|rashin imani|tafin hannu na fuska
	🤦🏼‍♂️;namiji nunawa kunya: launin fata mai madaidaicin haske;fushi|launin fata mai madaidaicin haske|namiji|namiji nunawa kunya|namiji nunawa kunya: launin fata mai madaidaicin haske|rashin imani|tafin hannu na fuska
	🤦🏽‍♂️;namiji nunawa kunya: madaidaicin launin fata;fushi|madaidaicin launin fata|namiji|namiji nunawa kunya|namiji nunawa kunya: madaidaicin launin fata|rashin imani|tafin hannu na fuska
	🤦🏾‍♂️;namiji nunawa kunya: launin fata mai madaidaicin duhu;fushi|launin fata mai madaidaicin duhu|namiji|namiji nunawa kunya|namiji nunawa kunya: launin fata mai madaidaicin duhu|rashin imani|tafin hannu na fuska
	🤦🏿‍♂️;namiji nunawa kunya: launin fata mai duhu;fushi|launin fata mai duhu|namiji|namiji nunawa kunya|namiji nunawa kunya: launin fata mai duhu|rashin imani|tafin hannu na fuska
🤦‍♀️;mace nunawa kunya;fushi|mace|mace nunawa kunya|rashin imani|tafin hannu na fuska
	🤦🏻‍♀️;mace nunawa kunya: launin fata mai haske;fushi|launin fata mai haske|mace|mace nunawa kunya|mace nunawa kunya: launin fata mai haske|rashin imani|tafin hannu na fuska
	🤦🏼‍♀️;mace nunawa kunya: launin fata mai madaidaicin haske;fushi|launin fata mai madaidaicin haske|mace|mace nunawa kunya|mace nunawa kunya: launin fata mai madaidaicin haske|rashin imani|tafin hannu na fuska
	🤦🏽‍♀️;mace nunawa kunya: madaidaicin launin fata;fushi|mace|mace nunawa kunya|mace nunawa kunya: madaidaicin launin fata|madaidaicin launin fata|rashin imani|tafin hannu na fuska
	🤦🏾‍♀️;mace nunawa kunya: launin fata mai madaidaicin duhu;fushi|launin fata mai madaidaicin duhu|mace|mace nunawa kunya|mace nunawa kunya: launin fata mai madaidaicin duhu|rashin imani|tafin hannu na fuska
	🤦🏿‍♀️;mace nunawa kunya: launin fata mai duhu;fushi|launin fata mai duhu|mace|mace nunawa kunya|mace nunawa kunya: launin fata mai duhu|rashin imani|tafin hannu na fuska
🤷;mutum ɗaga kafaɗa;ɗaga kafaɗa|halin kurum|mutum ɗaga kafaɗa|rashin sani|shakka
	🤷🏻;mutum ɗaga kafaɗa: launin fata mai haske;ɗaga kafaɗa|halin kurum|launin fata mai haske|mutum ɗaga kafaɗa|mutum ɗaga kafaɗa: launin fata mai haske|rashin sani|shakka
	🤷🏼;mutum ɗaga kafaɗa: launin fata mai madaidaicin haske;ɗaga kafaɗa|halin kurum|launin fata mai madaidaicin haske|mutum ɗaga kafaɗa|mutum ɗaga kafaɗa: launin fata mai madaidaicin haske|rashin sani|shakka
	🤷🏽;mutum ɗaga kafaɗa: madaidaicin launin fata;ɗaga kafaɗa|halin kurum|madaidaicin launin fata|mutum ɗaga kafaɗa|mutum ɗaga kafaɗa: madaidaicin launin fata|rashin sani|shakka
	🤷🏾;mutum ɗaga kafaɗa: launin fata mai madaidaicin duhu;ɗaga kafaɗa|halin kurum|launin fata mai madaidaicin duhu|mutum ɗaga kafaɗa|mutum ɗaga kafaɗa: launin fata mai madaidaicin duhu|rashin sani|shakka
	🤷🏿;mutum ɗaga kafaɗa: launin fata mai duhu;ɗaga kafaɗa|halin kurum|launin fata mai duhu|mutum ɗaga kafaɗa|mutum ɗaga kafaɗa: launin fata mai duhu|rashin sani|shakka
🤷‍♂️;mutum ɗagawa kafaɗa;ɗaga kafaɗa|halin kurum|mutum|mutum ɗagawa kafaɗa|rashin sani|shakka
	🤷🏻‍♂️;mutum ɗagawa kafaɗa: launin fata mai haske;ɗaga kafaɗa|halin kurum|launin fata mai haske|mutum|mutum ɗagawa kafaɗa|mutum ɗagawa kafaɗa: launin fata mai haske|rashin sani|shakka
	🤷🏼‍♂️;mutum ɗagawa kafaɗa: launin fata mai madaidaicin haske;ɗaga kafaɗa|halin kurum|launin fata mai madaidaicin haske|mutum|mutum ɗagawa kafaɗa|mutum ɗagawa kafaɗa: launin fata mai madaidaicin haske|rashin sani|shakka
	🤷🏽‍♂️;mutum ɗagawa kafaɗa: madaidaicin launin fata;ɗaga kafaɗa|halin kurum|madaidaicin launin fata|mutum|mutum ɗagawa kafaɗa|mutum ɗagawa kafaɗa: madaidaicin launin fata|rashin sani|shakka
	🤷🏾‍♂️;mutum ɗagawa kafaɗa: launin fata mai madaidaicin duhu;ɗaga kafaɗa|halin kurum|launin fata mai madaidaicin duhu|mutum|mutum ɗagawa kafaɗa|mutum ɗagawa kafaɗa: launin fata mai madaidaicin duhu|rashin sani|shakka
	🤷🏿‍♂️;mutum ɗagawa kafaɗa: launin fata mai duhu;ɗaga kafaɗa|halin kurum|launin fata mai duhu|mutum|mutum ɗagawa kafaɗa|mutum ɗagawa kafaɗa: launin fata mai duhu|rashin sani|shakka
🤷‍♀️;mace ɗagawa kafaɗa;ɗaga kafaɗa|halin kurum|mace|mace ɗagawa kafaɗa|rashin sani|shakka
	🤷🏻‍♀️;mace ɗagawa kafaɗa: launin fata mai haske;ɗaga kafaɗa|halin kurum|launin fata mai haske|mace|mace ɗagawa kafaɗa|mace ɗagawa kafaɗa: launin fata mai haske|rashin sani|shakka
	🤷🏼‍♀️;mace ɗagawa kafaɗa: launin fata mai madaidaicin haske;ɗaga kafaɗa|halin kurum|launin fata mai madaidaicin haske|mace|mace ɗagawa kafaɗa|mace ɗagawa kafaɗa: launin fata mai madaidaicin haske|rashin sani|shakka
	🤷🏽‍♀️;mace ɗagawa kafaɗa: madaidaicin launin fata;ɗaga kafaɗa|halin kurum|mace|mace ɗagawa kafaɗa|mace ɗagawa kafaɗa: madaidaicin launin fata|madaidaicin launin fata|rashin sani|shakka
	🤷🏾‍♀️;mace ɗagawa kafaɗa: launin fata mai madaidaicin duhu;ɗaga kafaɗa|halin kurum|launin fata mai madaidaicin duhu|mace|mace ɗagawa kafaɗa|mace ɗagawa kafaɗa: launin fata mai madaidaicin duhu|rashin sani|shakka
	🤷🏿‍♀️;mace ɗagawa kafaɗa: launin fata mai duhu;ɗaga kafaɗa|halin kurum|launin fata mai duhu|mace|mace ɗagawa kafaɗa|mace ɗagawa kafaɗa: launin fata mai duhu|rashin sani|shakka
🧑‍⚕️;mai aikin asibiti;kula da lafiyan jiki|likita|mai aikin asibiti|mai warkewa|maʼaikaciyar jinya
	🧑🏻‍⚕️;mai aikin asibiti: launin fata mai haske;kula da lafiyan jiki|launin fata mai haske|likita|mai aikin asibiti|mai aikin asibiti: launin fata mai haske|mai warkewa|maʼaikaciyar jinya
	🧑🏼‍⚕️;mai aikin asibiti: launin fata mai madaidaicin haske;kula da lafiyan jiki|launin fata mai madaidaicin haske|likita|mai aikin asibiti|mai aikin asibiti: launin fata mai madaidaicin haske|mai warkewa|maʼaikaciyar jinya
	🧑🏽‍⚕️;mai aikin asibiti: madaidaicin launin fata;kula da lafiyan jiki|likita|madaidaicin launin fata|mai aikin asibiti|mai aikin asibiti: madaidaicin launin fata|mai warkewa|maʼaikaciyar jinya
	🧑🏾‍⚕️;mai aikin asibiti: launin fata mai madaidaicin duhu;kula da lafiyan jiki|launin fata mai madaidaicin duhu|likita|mai aikin asibiti|mai aikin asibiti: launin fata mai madaidaicin duhu|mai warkewa|maʼaikaciyar jinya
	🧑🏿‍⚕️;mai aikin asibiti: launin fata mai duhu;kula da lafiyan jiki|launin fata mai duhu|likita|mai aikin asibiti|mai aikin asibiti: launin fata mai duhu|mai warkewa|maʼaikaciyar jinya
👨‍⚕️;mutum ma’aikacin kula da lafiya;kula da lafiya|likita|mai ba da kula|mutum|mutum ma’aikacin kula da lafiya|nas
	👨🏻‍⚕️;mutum ma’aikacin kula da lafiya: launin fata mai haske;kula da lafiya|launin fata mai haske|likita|mai ba da kula|mutum|mutum ma’aikacin kula da lafiya|mutum ma’aikacin kula da lafiya: launin fata mai haske|nas
	👨🏼‍⚕️;mutum ma’aikacin kula da lafiya: launin fata mai madaidaicin haske;kula da lafiya|launin fata mai madaidaicin haske|likita|mai ba da kula|mutum|mutum ma’aikacin kula da lafiya|mutum ma’aikacin kula da lafiya: launin fata mai madaidaicin haske|nas
	👨🏽‍⚕️;mutum ma’aikacin kula da lafiya: madaidaicin launin fata;kula da lafiya|likita|madaidaicin launin fata|mai ba da kula|mutum|mutum ma’aikacin kula da lafiya|mutum ma’aikacin kula da lafiya: madaidaicin launin fata|nas
	👨🏾‍⚕️;mutum ma’aikacin kula da lafiya: launin fata mai madaidaicin duhu;kula da lafiya|launin fata mai madaidaicin duhu|likita|mai ba da kula|mutum|mutum ma’aikacin kula da lafiya|mutum ma’aikacin kula da lafiya: launin fata mai madaidaicin duhu|nas
	👨🏿‍⚕️;mutum ma’aikacin kula da lafiya: launin fata mai duhu;kula da lafiya|launin fata mai duhu|likita|mai ba da kula|mutum|mutum ma’aikacin kula da lafiya|mutum ma’aikacin kula da lafiya: launin fata mai duhu|nas
👩‍⚕️;mace ma’aikacin kula da lafiya;kula da lafiya|likita|mace|mace ma’aikacin kula da lafiya|mai ba da kula|nas
