[smileys_emotion]
😀;ծիծաղող դեմք;դեմք|ծիծաղող դեմք|քմծիծաղել
	👨🏿‍🦱;մարդ․ մուգ գույնի մաշկ և գանգրահեր;գանգրահեր|մարդ|մարդ․ մուգ գույնի մաշկ և գանգրահեր|մեծահասակ|մուգ գույնի մաշկ
👨‍🦳;մարդ․ սպիտակահեր;մարդ|մարդ․ սպիտակահեր|մեծահասակ|սպիտակահեր
	👨🏻‍🦳;մարդ․ բաց գույնի մաշկ և սպիտակահեր;բաց գույնի մաշկ|մարդ|մարդ․ բաց գույնի մաշկ և սպիտակահեր|մեծահասակ|սպիտակահեր
	👨🏼‍🦳;մարդ․ միջին բաց գույնի մաշկ և սպիտակահեր;մարդ|մարդ․ միջին բաց գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին բաց գույնի մաշկ|սպիտակահեր
	👨🏽‍🦳;մարդ․ միջին գույնի մաշկ և սպիտակահեր;մարդ|մարդ․ միջին գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին գույնի մաշկ|սպիտակահեր
	👨🏾‍🦳;մարդ․ միջին մուգ գույնի մաշկ և սպիտակահեր;մարդ|մարդ․ միջին մուգ գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին մուգ գույնի մաշկ|սպիտակահեր
	👨🏿‍🦳;մարդ․ մուգ գույնի մաշկ և սպիտակահեր;մարդ|մարդ․ մուգ գույնի մաշկ և սպիտակահեր|մեծահասակ|մուգ գույնի մաշկ|սպիտակահեր
👨‍🦲;մարդ․ ճաղատ;ճաղատ|մարդ|մարդ․ ճաղատ|մեծահասակ
	👨🏻‍🦲;մարդ․ բաց գույնի մաշկ և ճաղատ;բաց գույնի մաշկ|ճաղատ|մարդ|մարդ․ բաց գույնի մաշկ և ճաղատ|մեծահասակ
	👨🏼‍🦲;մարդ․ միջին բաց գույնի մաշկ և ճաղատ;ճաղատ|մարդ|մարդ․ միջին բաց գույնի մաշկ և ճաղատ|մեծահասակ|միջին բաց գույնի մաշկ
	👨🏽‍🦲;մարդ․ միջին գույնի մաշկ և ճաղատ;ճաղատ|մարդ|մարդ․ միջին գույնի մաշկ և ճաղատ|մեծահասակ|միջին գույնի մաշկ
	👨🏾‍🦲;մարդ․ միջին մուգ գույնի մաշկ և ճաղատ;ճաղատ|մարդ|մարդ․ միջին մուգ գույնի մաշկ և ճաղատ|մեծահասակ|միջին մուգ գույնի մաշկ
	👨🏿‍🦲;մարդ․ մուգ գույնի մաշկ և ճաղատ;ճաղատ|մարդ|մարդ․ մուգ գույնի մաշկ և ճաղատ|մեծահասակ|մուգ գույնի մաշկ
👩;կին;կին|մեծահասակ
	👩🏻;կին․ բաց գույնի մաշկ;բաց գույնի մաշկ|կին|կին․ բաց գույնի մաշկ|մեծահասակ
	👩🏼;կին․ միջին բաց գույնի մաշկ;կին|կին․ միջին բաց գույնի մաշկ|մեծահասակ|միջին բաց գույնի մաշկ
	👩🏽;կին․ միջին գույնի մաշկ;կին|կին․ միջին գույնի մաշկ|մեծահասակ|միջին գույնի մաշկ
	👩🏾;կին․ միջին մուգ գույնի մաշկ;կին|կին․ միջին մուգ գույնի մաշկ|մեծահասակ|միջին մուգ գույնի մաշկ
	👩🏿;կին․ մուգ գույնի մաշկ;կին|կին․ մուգ գույնի մաշկ|մեծահասակ|մուգ գույնի մաշկ
👩‍🦰;կին․ կարմրահեր;կարմրահեր|կին|կին․ կարմրահեր|մեծահասակ
	👩🏻‍🦰;կին․ բաց գույնի մաշկ և կարմրահեր;բաց գույնի մաշկ|կարմրահեր|կին|կին․ բաց գույնի մաշկ և կարմրահեր|մեծահասակ
	👩🏼‍🦰;կին․ միջին բաց գույնի մաշկ և կարմրահեր;կարմրահեր|կին|կին․ միջին բաց գույնի մաշկ և կարմրահեր|մեծահասակ|միջին բաց գույնի մաշկ
	👩🏽‍🦰;կին․ միջին գույնի մաշկ և կարմրահեր;կարմրահեր|կին|կին․ միջին գույնի մաշկ և կարմրահեր|մեծահասակ|միջին գույնի մաշկ
	👩🏾‍🦰;կին․ միջին մուգ գույնի մաշկ և կարմրահեր;կարմրահեր|կին|կին․ միջին մուգ գույնի մաշկ և կարմրահեր|մեծահասակ|միջին մուգ գույնի մաշկ
	👩🏿‍🦰;կին․ մուգ գույնի մաշկ և կարմրահեր;կարմրահեր|կին|կին․ մուգ գույնի մաշկ և կարմրահեր|մեծահասակ|մուգ գույնի մաշկ
🧑‍🦰;անձ․ կարմրահեր;անձ|անձ․ կարմրահեր|կարմրահեր|մեծահասակ|չափահաս|չեզոք սեռ
	🧑🏻‍🦰;անձ․ բաց գույնի մաշկ և կարմրահեր;անձ|անձ․ բաց գույնի մաշկ և կարմրահեր|բաց գույնի մաշկ|կարմրահեր|մեծահասակ|չափահաս|չեզոք սեռ
	🧑🏼‍🦰;անձ․ միջին բաց գույնի մաշկ և կարմրահեր;անձ|անձ․ միջին բաց գույնի մաշկ և կարմրահեր|կարմրահեր|մեծահասակ|միջին բաց գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏽‍🦰;անձ․ միջին գույնի մաշկ և կարմրահեր;անձ|անձ․ միջին գույնի մաշկ և կարմրահեր|կարմրահեր|մեծահասակ|միջին գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏾‍🦰;անձ․ միջին մուգ գույնի մաշկ և կարմրահեր;անձ|անձ․ միջին մուգ գույնի մաշկ և կարմրահեր|կարմրահեր|մեծահասակ|միջին մուգ գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏿‍🦰;անձ․ մուգ գույնի մաշկ և կարմրահեր;անձ|անձ․ մուգ գույնի մաշկ և կարմրահեր|կարմրահեր|մեծահասակ|մուգ գույնի մաշկ|չափահաս|չեզոք սեռ
👩‍🦱;կին․ գանգրահեր;գանգրահեր|կին|կին․ գանգրահեր|մեծահասակ
	👩🏻‍🦱;կին․ բաց գույնի մաշկ և գանգրահեր;բաց գույնի մաշկ|գանգրահեր|կին|կին․ բաց գույնի մաշկ և գանգրահեր|մեծահասակ
	👩🏼‍🦱;կին․ միջին բաց գույնի մաշկ և գանգրահեր;գանգրահեր|կին|կին․ միջին բաց գույնի մաշկ և գանգրահեր|մեծահասակ|միջին բաց գույնի մաշկ
	👩🏽‍🦱;կին․ միջին գույնի մաշկ և գանգրահեր;գանգրահեր|կին|կին․ միջին գույնի մաշկ և գանգրահեր|մեծահասակ|միջին գույնի մաշկ
	👩🏾‍🦱;կին․ միջին մուգ գույնի մաշկ և գանգրահեր;գանգրահեր|կին|կին․ միջին մուգ գույնի մաշկ և գանգրահեր|մեծահասակ|միջին մուգ գույնի մաշկ
	👩🏿‍🦱;կին․ մուգ գույնի մաշկ և գանգրահեր;գանգրահեր|կին|կին․ մուգ գույնի մաշկ և գանգրահեր|մեծահասակ|մուգ գույնի մաշկ
🧑‍🦱;անձ․ գանգրահեր;անձ|անձ․ գանգրահեր|գանգրահեր|մեծահասակ|չափահաս|չեզոք սեռ
	🧑🏻‍🦱;անձ․ բաց գույնի մաշկ և գանգրահեր;անձ|անձ․ բաց գույնի մաշկ և գանգրահեր|բաց գույնի մաշկ|գանգրահեր|մեծահասակ|չափահաս|չեզոք սեռ
	🧑🏼‍🦱;անձ․ միջին բաց գույնի մաշկ և գանգրահեր;անձ|անձ․ միջին բաց գույնի մաշկ և գանգրահեր|գանգրահեր|մեծահասակ|միջին բաց գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏽‍🦱;անձ․ միջին գույնի մաշկ և գանգրահեր;անձ|անձ․ միջին գույնի մաշկ և գանգրահեր|գանգրահեր|մեծահասակ|միջին գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏾‍🦱;անձ․ միջին մուգ գույնի մաշկ և գանգրահեր;անձ|անձ․ միջին մուգ գույնի մաշկ և գանգրահեր|գանգրահեր|մեծահասակ|միջին մուգ գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏿‍🦱;անձ․ մուգ գույնի մաշկ և գանգրահեր;անձ|անձ․ մուգ գույնի մաշկ և գանգրահեր|գանգրահեր|մեծահասակ|մուգ գույնի մաշկ|չափահաս|չեզոք սեռ
👩‍🦳;կին․ սպիտակահեր;կին|կին․ սպիտակահեր|մեծահասակ|սպիտակահեր
	👩🏻‍🦳;կին․ բաց գույնի մաշկ և սպիտակահեր;բաց գույնի մաշկ|կին|կին․ բաց գույնի մաշկ և սպիտակահեր|մեծահասակ|սպիտակահեր
	👩🏼‍🦳;կին․ միջին բաց գույնի մաշկ և սպիտակահեր;կին|կին․ միջին բաց գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին բաց գույնի մաշկ|սպիտակահեր
	👩🏽‍🦳;կին․ միջին գույնի մաշկ և սպիտակահեր;կին|կին․ միջին գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին գույնի մաշկ|սպիտակահեր
	👩🏾‍🦳;կին․ միջին մուգ գույնի մաշկ և սպիտակահեր;կին|կին․ միջին մուգ գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին մուգ գույնի մաշկ|սպիտակահեր
	👩🏿‍🦳;կին․ մուգ գույնի մաշկ և սպիտակահեր;կին|կին․ մուգ գույնի մաշկ և սպիտակահեր|մեծահասակ|մուգ գույնի մաշկ|սպիտակահեր
🧑‍🦳;անձ․ սպիտակահեր;անձ|անձ․ սպիտակահեր|մեծահասակ|չափահաս|չեզոք սեռ|սպիտակահեր
	🧑🏻‍🦳;անձ․ բաց գույնի մաշկ և սպիտակահեր;անձ|անձ․ բաց գույնի մաշկ և սպիտակահեր|բաց գույնի մաշկ|մեծահասակ|չափահաս|չեզոք սեռ|սպիտակահեր
	🧑🏼‍🦳;անձ․ միջին բաց գույնի մաշկ և սպիտակահեր;անձ|անձ․ միջին բաց գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին բաց գույնի մաշկ|չափահաս|չեզոք սեռ|սպիտակահեր
	🧑🏽‍🦳;անձ․ միջին գույնի մաշկ և սպիտակահեր;անձ|անձ․ միջին գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին գույնի մաշկ|չափահաս|չեզոք սեռ|սպիտակահեր
	🧑🏾‍🦳;անձ․ միջին մուգ գույնի մաշկ և սպիտակահեր;անձ|անձ․ միջին մուգ գույնի մաշկ և սպիտակահեր|մեծահասակ|միջին մուգ գույնի մաշկ|չափահաս|չեզոք սեռ|սպիտակահեր
	🧑🏿‍🦳;անձ․ մուգ գույնի մաշկ և սպիտակահեր;անձ|անձ․ մուգ գույնի մաշկ և սպիտակահեր|մեծահասակ|մուգ գույնի մաշկ|չափահաս|չեզոք սեռ|սպիտակահեր
👩‍🦲;կին․ ճաղատ;կին|կին․ ճաղատ|ճաղատ|մեծահասակ
	👩🏻‍🦲;կին․ բաց գույնի մաշկ և ճաղատ;բաց գույնի մաշկ|կին|կին․ բաց գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ
	👩🏼‍🦲;կին․ միջին բաց գույնի մաշկ և ճաղատ;կին|կին․ միջին բաց գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|միջին բաց գույնի մաշկ
	👩🏽‍🦲;կին․ միջին գույնի մաշկ և ճաղատ;կին|կին․ միջին գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|միջին գույնի մաշկ
	👩🏾‍🦲;կին․ միջին մուգ գույնի մաշկ և ճաղատ;կին|կին․ միջին մուգ գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|միջին մուգ գույնի մաշկ
	👩🏿‍🦲;կին․ մուգ գույնի մաշկ և ճաղատ;կին|կին․ մուգ գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|մուգ գույնի մաշկ
🧑‍🦲;անձ․ ճաղատ;անձ|անձ․ ճաղատ|ճաղատ|մեծահասակ|չափահաս|չեզոք սեռ
	🧑🏻‍🦲;անձ․ բաց գույնի մաշկ և ճաղատ;անձ|անձ․ բաց գույնի մաշկ և ճաղատ|բաց գույնի մաշկ|ճաղատ|մեծահասակ|չափահաս|չեզոք սեռ
	🧑🏼‍🦲;անձ․ միջին բաց գույնի մաշկ և ճաղատ;անձ|անձ․ միջին բաց գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|միջին բաց գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏽‍🦲;անձ․ միջին գույնի մաշկ և ճաղատ;անձ|անձ․ միջին գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|միջին գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏾‍🦲;անձ․ միջին մուգ գույնի մաշկ և ճաղատ;անձ|անձ․ միջին մուգ գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|միջին մուգ գույնի մաշկ|չափահաս|չեզոք սեռ
	🧑🏿‍🦲;անձ․ մուգ գույնի մաշկ և ճաղատ;անձ|անձ․ մուգ գույնի մաշկ և ճաղատ|ճաղատ|մեծահասակ|մուգ գույնի մաշկ|չափահաս|չեզոք սեռ
👱‍♀️;շիկահեր կին;կին|մազեր|շեկ|շիկահեր|վարսեր
	👱🏻‍♀️;շիկահեր կին․ բաց գույնի մաշկ;բաց գույնի մաշկ|կին|մազեր|շեկ|շիկահեր|շիկահեր կին․ բաց գույնի մաշկ|վարսեր
	👱🏼‍♀️;շիկահեր կին․ միջին բաց գույնի մաշկ;կին|մազեր|միջին բաց գույնի մաշկ|շեկ|շիկահեր|շիկահեր կին․ միջին բաց գույնի մաշկ|վարսեր
	👱🏽‍♀️;շիկահեր կին․ միջին գույնի մաշկ;կին|մազեր|միջին գույնի մաշկ|շեկ|շիկահեր|շիկահեր կին․ միջին գույնի մաշկ|վարսեր
	👱🏾‍♀️;շիկահեր կին․ միջին մուգ գույնի մաշկ;կին|մազեր|միջին մուգ գույնի մաշկ|շեկ|շիկահեր|շիկահեր կին․ միջին մուգ գույնի մաշկ|վարսեր
	👱🏿‍♀️;շիկահեր կին․ մուգ գույնի մաշկ;կին|մազեր|մուգ գույնի մաշկ|շեկ|շիկահեր|շիկահեր կին․ մուգ գույնի մաշկ|վարսեր
👱‍♂️;շիկահեր տղամարդ;շեկ|շիկահեր|տղամարդ
	👱🏻‍♂️;շիկահեր տղամարդ․ բաց գույնի մաշկ;բաց գույնի մաշկ|շեկ|շիկահեր|շիկահեր տղամարդ․ բաց գույնի մաշկ|տղամարդ
	👱🏼‍♂️;շիկահեր տղամարդ․ միջին բաց գույնի մաշկ;միջին բաց գույնի մաշկ|շեկ|շիկահեր|շիկահեր տղամարդ․ միջին բաց գույնի մաշկ|տղամարդ
	👱🏽‍♂️;շիկահեր տղամարդ․ միջին գույնի մաշկ;միջին գույնի մաշկ|շեկ|շիկահեր|շիկահեր տղամարդ․ միջին գույնի մաշկ|տղամարդ
	👱🏾‍♂️;շիկահեր տղամարդ․ միջին մուգ գույնի մաշկ;միջին մուգ գույնի մաշկ|շեկ|շիկահեր|շիկահեր տղամարդ․ միջին մուգ գույնի մաշկ|տղամարդ
	👱🏿‍♂️;շիկահեր տղամարդ․ մուգ գույնի մաշկ;մուգ գույնի մաշկ|շեկ|շիկահեր|շիկահեր տղամարդ․ մուգ գույնի մաշկ|տղամարդ
🧓;տարեց անձ;ծեր|չեզոք սեռ|տարեց|տարեց անձ|տարեց մարդ
	🧓🏻;տարեց անձ․ բաց գույնի մաշկ;բաց գույնի մաշկ|ծեր|չեզոք սեռ|տարեց|տարեց անձ|տարեց անձ․ բաց գույնի մաշկ|տարեց մարդ
	🧓🏼;տարեց անձ․ միջին բաց գույնի մաշկ;ծեր|միջին բաց գույնի մաշկ|չեզոք սեռ|տարեց|տարեց անձ|տարեց անձ․ միջին բաց գույնի մաշկ|տարեց մարդ
	🧓🏽;տարեց անձ․ միջին գույնի մաշկ;ծեր|միջին գույնի մաշկ|չեզոք սեռ|տարեց|տարեց անձ|տարեց անձ․ միջին գույնի մաշկ|տարեց մարդ
	🧓🏾;տարեց անձ․ միջին մուգ գույնի մաշկ;ծեր|միջին մուգ գույնի մաշկ|չեզոք սեռ|տարեց|տարեց անձ|տարեց անձ․ միջին մուգ գույնի մաշկ|տարեց մարդ
	🧓🏿;տարեց անձ․ մուգ գույնի մաշկ;ծեր|մուգ գույնի մաշկ|չեզոք սեռ|տարեց|տարեց անձ|տարեց անձ․ մուգ գույնի մաշկ|տարեց մարդ
👴;տարեց մարդ;ծեր|մարդ|տարեց|տղամարդ
	👴🏻;տարեց մարդ․ բաց գույնի մաշկ;բաց գույնի մաշկ|ծեր|մարդ|տարեց|տարեց մարդ․ բաց գույնի մաշկ|տղամարդ
	👴🏼;տարեց մարդ․ միջին բաց գույնի մաշկ;ծեր|մարդ|միջին բաց գույնի մաշկ|տարեց|տարեց մարդ․ միջին բաց գույնի մաշկ|տղամարդ
	👴🏽;տարեց մարդ․ միջին գույնի մաշկ;ծեր|մարդ|միջին գույնի մաշկ|տարեց|տարեց մարդ․ միջին գույնի մաշկ|տղամարդ
	👴🏾;տարեց մարդ․ միջին մուգ գույնի մաշկ;ծեր|մարդ|միջին մուգ գույնի մաշկ|տարեց|տարեց մարդ․ միջին մուգ գույնի մաշկ|տղամարդ
	👴🏿;տարեց մարդ․ մուգ գույնի մաշկ;ծեր|մարդ|մուգ գույնի մաշկ|տարեց|տարեց մարդ․ մուգ գույնի մաշկ|տղամարդ
👵;տարեց կին;ծեր|կին|տարեց
	👵🏻;տարեց կին․ բաց գույնի մաշկ;բաց գույնի մաշկ|ծեր|կին|տարեց|տարեց կին․ բաց գույնի մաշկ
	👵🏼;տարեց կին․ միջին բաց գույնի մաշկ;ծեր|կին|միջին բաց գույնի մաշկ|տարեց|տարեց կին․ միջին բաց գույնի մաշկ
	👵🏽;տարեց կին․ միջին գույնի մաշկ;ծեր|կին|միջին գույնի մաշկ|տարեց|տարեց կին․ միջին գույնի մաշկ
	👵🏾;տարեց կին․ միջին մուգ գույնի մաշկ;ծեր|կին|միջին մուգ գույնի մաշկ|տարեց|տարեց կին․ միջին մուգ գույնի մաշկ
	👵🏿;տարեց կին․ մուգ գույնի մաշկ;ծեր|կին|մուգ գույնի մաշկ|տարեց|տարեց կին․ մուգ գույնի մաշկ
🙍;խոժոռված դեմքով անձ;ժեստ|խոժոռված|խոժոռված դեմքով անձ
	🙍🏻;խոժոռված դեմքով անձ․ բաց գույնի մաշկ;բաց գույնի մաշկ|ժեստ|խոժոռված|խոժոռված դեմքով անձ|խոժոռված դեմքով անձ․ բաց գույնի մաշկ
	🙍🏼;խոժոռված դեմքով անձ․ միջին բաց գույնի մաշկ;ժեստ|խոժոռված|խոժոռված դեմքով անձ|խոժոռված դեմքով անձ․ միջին բաց գույնի մաշկ|միջին բաց գույնի մաշկ
	🙍🏽;խոժոռված դեմքով անձ․ միջին գույնի մաշկ;ժեստ|խոժոռված|խոժոռված դեմքով անձ|խոժոռված դեմքով անձ․ միջին գույնի մաշկ|միջին գույնի մաշկ
	🙍🏾;խոժոռված դեմքով անձ․ միջին մուգ գույնի մաշկ;ժեստ|խոժոռված|խոժոռված դեմքով անձ|խոժոռված դեմքով անձ․ միջին մուգ գույնի մաշկ|միջին մուգ գույնի մաշկ
	🙍🏿;խոժոռված դեմքով անձ․ մուգ գույնի մաշկ;ժեստ|խոժոռված|խոժոռված դեմքով անձ|խոժոռված դեմքով անձ․ մուգ գույնի մաշկ|մուգ գույնի մաշկ
🙍‍♂️;խոժոռված տղամարդ;խոժոռված|մարդ|տղամարդ
	🙍🏻‍♂️;խոժոռված տղամարդ․ բաց գույնի մաշկ;բաց գույնի մաշկ|խոժոռված|խոժոռված տղամարդ․ բաց գույնի մաշկ|մարդ|տղամարդ
	🙍🏼‍♂️;խոժոռված տղամարդ․ միջին բաց գույնի մաշկ;խոժոռված|խոժոռված տղամարդ․ միջին բաց գույնի մաշկ|մարդ|միջին բաց գույնի մաշկ|տղամարդ
	🙍🏽‍♂️;խոժոռված տղամարդ․ միջին գույնի մաշկ;խոժոռված|խոժոռված տղամարդ․ միջին գույնի մաշկ|մարդ|միջին գույնի մաշկ|տղամարդ
	🙍🏾‍♂️;խոժոռված տղամարդ․ միջին մուգ գույնի մաշկ;խոժոռված|խոժոռված տղամարդ․ միջին մուգ գույնի մաշկ|մարդ|միջին մուգ գույնի մաշկ|տղամարդ
	🙍🏿‍♂️;խոժոռված տղամարդ․ մուգ գույնի մաշկ;խոժոռված|խոժոռված տղամարդ․ մուգ գույնի մաշկ|մարդ|մուգ գույնի մաշկ|տղամարդ
🙍‍♀️;խոժոռված կին;խոժոռված|կին
	🙍🏻‍♀️;խոժոռված կին․ բաց գույնի մաշկ;բաց գույնի մաշկ|խոժոռված|խոժոռված կին․ բաց գույնի մաշկ|կին
	🙍🏼‍♀️;խոժոռված կին․ միջին բաց գույնի մաշկ;խոժոռված|խոժոռված կին․ միջին բաց գույնի մաշկ|կին|միջին բաց գույնի մաշկ
	🙍🏽‍♀️;խոժոռված կին․ միջին գույնի մաշկ;խոժոռված|խոժոռված կին․ միջին գույնի մաշկ|կին|միջին գույնի մաշկ
	🙍🏾‍♀️;խոժոռված կին․ միջին մուգ գույնի մաշկ;խոժոռված|խոժոռված կին․ միջին մուգ գույնի մաշկ|կին|միջին մուգ գույնի մաշկ
	🙍🏿‍♀️;խոժոռված կին․ մուգ գույնի մաշկ;խոժոռված|խոժոռված կին․ մուգ գույնի մաշկ|կին|մուգ գույնի մաշկ
🙎;դժգոհ անձ;դժգոհ|դժգոհ անձ|ժեստ
	🙎🏻;դժգոհ անձ․ բաց գույնի մաշկ;բաց գույնի մաշկ|դժգոհ|դժգոհ անձ|դժգոհ անձ․ բաց գույնի մաշկ|ժեստ
	🙎🏼;դժգոհ անձ․ միջին բաց գույնի մաշկ;դժգոհ|դժգոհ անձ|դժգոհ անձ․ միջին բաց գույնի մաշկ|ժեստ|միջին բաց գույնի մաշկ
	🙎🏽;դժգոհ անձ․ միջին գույնի մաշկ;դժգոհ|դժգոհ անձ|դժգոհ անձ․ միջին գույնի մաշկ|ժեստ|միջին գույնի մաշկ
	🙎🏾;դժգոհ անձ․ միջին մուգ գույնի մաշկ;դժգոհ|դժգոհ անձ|դժգոհ անձ․ միջին մուգ գույնի մաշկ|ժեստ|միջին մուգ գույնի մաշկ
	🙎🏿;դժգոհ անձ․ մուգ գույնի մաշկ;դժգոհ|դժգոհ անձ|դժգոհ անձ․ մուգ գույնի մաշկ|ժեստ|մուգ գույնի մաշկ
🙎‍♂️;խռոված տղամարդ;խռոված|մարդ|տղամարդ
	🙎🏻‍♂️;խռոված տղամարդ․ բաց գույնի մաշկ;բաց գույնի մաշկ|խռոված|խռոված տղամարդ․ բաց գույնի մաշկ|մարդ|տղամարդ
	🙎🏼‍♂️;խռոված տղամարդ․ միջին բաց գույնի մաշկ;խռոված|խռոված տղամարդ․ միջին բաց գույնի մաշկ|մարդ|միջին բաց գույնի մաշկ|տղամարդ
	🙎🏽‍♂️;խռոված տղամարդ․ միջին գույնի մաշկ;խռոված|խռոված տղամարդ․ միջին գույնի մաշկ|մարդ|միջին գույնի մաշկ|տղամարդ
	🙎🏾‍♂️;խռոված տղամարդ․ միջին մուգ գույնի մաշկ;խռոված|խռոված տղամարդ․ միջին մուգ գույնի մաշկ|մարդ|միջին մուգ գույնի մաշկ|տղամարդ
	🙎🏿‍♂️;խռոված տղամարդ․ մուգ գույնի մաշկ;խռոված|խռոված տղամարդ․ մուգ գույնի մաշկ|մարդ|մուգ գույնի մաշկ|տղամարդ
🙎‍♀️;խռոված կին;խռոված|կին
	🙎🏻‍♀️;խռոված կին․ բաց գույնի մաշկ;բաց գույնի մաշկ|խռոված|խռոված կին․ բաց գույնի մաշկ|կին
	🙎🏼‍♀️;խռոված կին․ միջին բաց գույնի մաշկ;խռոված|խռոված կին․ միջին բաց գույնի մաշկ|կին|միջին բաց գույնի մաշկ
	🙎🏽‍♀️;խռոված կին․ միջին գույնի մաշկ;խռոված|խռոված կին․ միջին գույնի մաշկ|կին|միջին գույնի մաշկ
	🙎🏾‍♀️;խռոված կին․ միջին մուգ գույնի մաշկ;խռոված|խռոված կին․ միջին մուգ գույնի մաշկ|կին|միջին մուգ գույնի մաշկ
	🙎🏿‍♀️;խռոված կին․ մուգ գույնի մաշկ;խռոված|խռոված կին․ մուգ գույնի մաշկ|կին|մուգ գույնի մաշկ
🙅;ՈՉ ակնարկող անձ;արգելված|ժեստ|ձեռք|ոչ|ՈՉ ակնարկող անձ|ոչ ցույց տվող
	🙅🏻;ՈՉ ակնարկող անձ․ բաց գույնի մաշկ;արգելված|բաց գույնի մաշկ|ժեստ|ձեռք|ոչ|ՈՉ ակնարկող անձ|ՈՉ ակնարկող անձ․ բաց գույնի մաշկ|ոչ ցույց տվող
	🙅🏼;ՈՉ ակնարկող անձ․ միջին բաց գույնի մաշկ;արգելված|ժեստ|ձեռք|միջին բաց գույնի մաշկ|ոչ|ՈՉ ակնարկող անձ|ՈՉ ակնարկող անձ․ միջին բաց գույնի մաշկ|ոչ ցույց տվող
	🙅🏽;ՈՉ ակնարկող անձ․ միջին գույնի մաշկ;արգելված|ժեստ|ձեռք|միջին գույնի մաշկ|ոչ|ՈՉ ակնարկող անձ|ՈՉ ակնարկող անձ․ միջին գույնի մաշկ|ոչ ցույց տվող
	🙅🏾;ՈՉ ակնարկող անձ․ միջին մուգ գույնի մաշկ;արգելված|ժեստ|ձեռք|միջին մուգ գույնի մաշկ|ոչ|ՈՉ ակնարկող անձ|ՈՉ ակնարկող անձ․ միջին մուգ գույնի մաշկ|ոչ ցույց տվող
	🙅🏿;ՈՉ ակնարկող անձ․ մուգ գույնի մաշկ;արգելված|ժեստ|ձեռք|մուգ գույնի մաշկ|ոչ|ՈՉ ակնարկող անձ|ՈՉ ակնարկող անձ․ մուգ գույնի մաշկ|ոչ ցույց տվող
🙅‍♂️;տղամարդը դեմ է;արգելված|դեմ|ժեստ|տղամարդ|տղամարդը դեմ է
	🙅🏻‍♂️;տղամարդը դեմ է․ բաց գույնի մաշկ;արգելված|բաց գույնի մաշկ|դեմ|ժեստ|տղամարդ|տղամարդը դեմ է|տղամարդը դեմ է․ բաց գույնի մաշկ
	🙅🏼‍♂️;տղամարդը դեմ է․ միջին բաց գույնի մաշկ;արգելված|դեմ|ժեստ|միջին բաց գույնի մաշկ|տղամարդ|տղամարդը դեմ է|տղամարդը դեմ է․ միջին բաց գույնի մաշկ
	🙅🏽‍♂️;տղամարդը դեմ է․ միջին գույնի մաշկ;արգելված|դեմ|ժեստ|միջին գույնի մաշկ|տղամարդ|տղամարդը դեմ է|տղամարդը դեմ է․ միջին գույնի մաշկ
	🙅🏾‍♂️;տղամարդը դեմ է․ միջին մուգ գույնի մաշկ;արգելված|դեմ|ժեստ|միջին մուգ գույնի մաշկ|տղամարդ|տղամարդը դեմ է|տղամարդը դեմ է․ միջին մուգ գույնի մաշկ
	🙅🏿‍♂️;տղամարդը դեմ է․ մուգ գույնի մաշկ;արգելված|դեմ|ժեստ|մուգ գույնի մաշկ|տղամարդ|տղամարդը դեմ է|տղամարդը դեմ է․ մուգ գույնի մաշկ
🙅‍♀️;կինը դեմ է;արգելված|դեմ|ժեստ|կին|կինը դեմ է
	🙅🏻‍♀️;կինը դեմ է․ բաց գույնի մաշկ;արգելված|բաց գույնի մաշկ|դեմ|ժեստ|կին|կինը դեմ է|կինը դեմ է․ բաց գույնի մաշկ
	🙅🏼‍♀️;կինը դեմ է․ միջին բաց գույնի մաշկ;արգելված|դեմ|ժեստ|կին|կինը դեմ է|կինը դեմ է․ միջին բաց գույնի մաշկ|միջին բաց գույնի մաշկ
	🙅🏽‍♀️;կինը դեմ է․ միջին գույնի մաշկ;արգելված|դեմ|ժեստ|կին|կինը դեմ է|կինը դեմ է․ միջին գույնի մաշկ|միջին գույնի մաշկ
