[smileys_emotion]
😀;ubuso obusinekile;osinekile|ubuso obusinekile
	👩🏽‍🦰;umama: uhlobo-4, izinwele ezibomvu;izinwele ezibomvu|owesimame|uhlobo-4|umama|umama: uhlobo-4, izinwele ezibomvu
	👩🏾‍🦰;umama: uhlobo-5, izinwele ezibomvu;izinwele ezibomvu|owesimame|uhlobo-5|umama|umama: uhlobo-5, izinwele ezibomvu
	👩🏿‍🦰;umama: uhlobo-6, izinwele ezibomvu;izinwele ezibomvu|owesimame|uhlobo-6|umama|umama: uhlobo-6, izinwele ezibomvu
🧑‍🦰;mdala: izinwele ezibomvu;izinwele ezibomvu|mdala|mdala: izinwele ezibomvu|ubulili-phakathi
	🧑🏻‍🦰;mdala: uhlobo-1-2, izinwele ezibomvu;izinwele ezibomvu|mdala|mdala: uhlobo-1-2, izinwele ezibomvu|ubulili-phakathi|uhlobo-1-2
	🧑🏼‍🦰;mdala: uhlobo-3, izinwele ezibomvu;izinwele ezibomvu|mdala|mdala: uhlobo-3, izinwele ezibomvu|ubulili-phakathi|uhlobo-3
	🧑🏽‍🦰;mdala: uhlobo-4, izinwele ezibomvu;izinwele ezibomvu|mdala|mdala: uhlobo-4, izinwele ezibomvu|ubulili-phakathi|uhlobo-4
	🧑🏾‍🦰;mdala: uhlobo-5, izinwele ezibomvu;izinwele ezibomvu|mdala|mdala: uhlobo-5, izinwele ezibomvu|ubulili-phakathi|uhlobo-5
	🧑🏿‍🦰;mdala: uhlobo-6, izinwele ezibomvu;izinwele ezibomvu|mdala|mdala: uhlobo-6, izinwele ezibomvu|ubulili-phakathi|uhlobo-6
👩‍🦱;umama: curly hair;curly hair|owesimame|umama|umama: curly hair
	👩🏻‍🦱;umama: uhlobo-1-2, curly hair;curly hair|owesimame|uhlobo-1-2|umama|umama: uhlobo-1-2, curly hair
	👩🏼‍🦱;umama: uhlobo-3, curly hair;curly hair|owesimame|uhlobo-3|umama|umama: uhlobo-3, curly hair
	👩🏽‍🦱;umama: uhlobo-4, curly hair;curly hair|owesimame|uhlobo-4|umama|umama: uhlobo-4, curly hair
	👩🏾‍🦱;umama: uhlobo-5, curly hair;curly hair|owesimame|uhlobo-5|umama|umama: uhlobo-5, curly hair
	👩🏿‍🦱;umama: uhlobo-6, curly hair;curly hair|owesimame|uhlobo-6|umama|umama: uhlobo-6, curly hair
🧑‍🦱;mdala: curly hair;curly hair|mdala|mdala: curly hair|ubulili-phakathi
	🧑🏻‍🦱;mdala: uhlobo-1-2, curly hair;curly hair|mdala|mdala: uhlobo-1-2, curly hair|ubulili-phakathi|uhlobo-1-2
	🧑🏼‍🦱;mdala: uhlobo-3, curly hair;curly hair|mdala|mdala: uhlobo-3, curly hair|ubulili-phakathi|uhlobo-3
	🧑🏽‍🦱;mdala: uhlobo-4, curly hair;curly hair|mdala|mdala: uhlobo-4, curly hair|ubulili-phakathi|uhlobo-4
	🧑🏾‍🦱;mdala: uhlobo-5, curly hair;curly hair|mdala|mdala: uhlobo-5, curly hair|ubulili-phakathi|uhlobo-5
	🧑🏿‍🦱;mdala: uhlobo-6, curly hair;curly hair|mdala|mdala: uhlobo-6, curly hair|ubulili-phakathi|uhlobo-6
👩‍🦳;umama: izinwele ezimpunga;izinwele ezimpunga|owesimame|umama|umama: izinwele ezimpunga
	👩🏻‍🦳;umama: uhlobo-1-2, izinwele ezimpunga;izinwele ezimpunga|owesimame|uhlobo-1-2|umama|umama: uhlobo-1-2, izinwele ezimpunga
	👩🏼‍🦳;umama: uhlobo-3, izinwele ezimpunga;izinwele ezimpunga|owesimame|uhlobo-3|umama|umama: uhlobo-3, izinwele ezimpunga
	👩🏽‍🦳;umama: uhlobo-4, izinwele ezimpunga;izinwele ezimpunga|owesimame|uhlobo-4|umama|umama: uhlobo-4, izinwele ezimpunga
	👩🏾‍🦳;umama: uhlobo-5, izinwele ezimpunga;izinwele ezimpunga|owesimame|uhlobo-5|umama|umama: uhlobo-5, izinwele ezimpunga
	👩🏿‍🦳;umama: uhlobo-6, izinwele ezimpunga;izinwele ezimpunga|owesimame|uhlobo-6|umama|umama: uhlobo-6, izinwele ezimpunga
🧑‍🦳;mdala: izinwele ezimpunga;izinwele ezimpunga|mdala|mdala: izinwele ezimpunga|ubulili-phakathi
	🧑🏻‍🦳;mdala: uhlobo-1-2, izinwele ezimpunga;izinwele ezimpunga|mdala|mdala: uhlobo-1-2, izinwele ezimpunga|ubulili-phakathi|uhlobo-1-2
	🧑🏼‍🦳;mdala: uhlobo-3, izinwele ezimpunga;izinwele ezimpunga|mdala|mdala: uhlobo-3, izinwele ezimpunga|ubulili-phakathi|uhlobo-3
	🧑🏽‍🦳;mdala: uhlobo-4, izinwele ezimpunga;izinwele ezimpunga|mdala|mdala: uhlobo-4, izinwele ezimpunga|ubulili-phakathi|uhlobo-4
	🧑🏾‍🦳;mdala: uhlobo-5, izinwele ezimpunga;izinwele ezimpunga|mdala|mdala: uhlobo-5, izinwele ezimpunga|ubulili-phakathi|uhlobo-5
	🧑🏿‍🦳;mdala: uhlobo-6, izinwele ezimpunga;izinwele ezimpunga|mdala|mdala: uhlobo-6, izinwele ezimpunga|ubulili-phakathi|uhlobo-6
👩‍🦲;umama: imbungculu;imbungculu|owesimame|umama|umama: imbungculu
	👩🏻‍🦲;umama: uhlobo-1-2, imbungculu;imbungculu|owesimame|uhlobo-1-2|umama|umama: uhlobo-1-2, imbungculu
	👩🏼‍🦲;umama: uhlobo-3, imbungculu;imbungculu|owesimame|uhlobo-3|umama|umama: uhlobo-3, imbungculu
	👩🏽‍🦲;umama: uhlobo-4, imbungculu;imbungculu|owesimame|uhlobo-4|umama|umama: uhlobo-4, imbungculu
	👩🏾‍🦲;umama: uhlobo-5, imbungculu;imbungculu|owesimame|uhlobo-5|umama|umama: uhlobo-5, imbungculu
	👩🏿‍🦲;umama: uhlobo-6, imbungculu;imbungculu|owesimame|uhlobo-6|umama|umama: uhlobo-6, imbungculu
🧑‍🦲;mdala: imbungculu;imbungculu|mdala|mdala: imbungculu|ubulili-phakathi
	🧑🏻‍🦲;mdala: uhlobo-1-2, imbungculu;imbungculu|mdala|mdala: uhlobo-1-2, imbungculu|ubulili-phakathi|uhlobo-1-2
	🧑🏼‍🦲;mdala: uhlobo-3, imbungculu;imbungculu|mdala|mdala: uhlobo-3, imbungculu|ubulili-phakathi|uhlobo-3
	🧑🏽‍🦲;mdala: uhlobo-4, imbungculu;imbungculu|mdala|mdala: uhlobo-4, imbungculu|ubulili-phakathi|uhlobo-4
	🧑🏾‍🦲;mdala: uhlobo-5, imbungculu;imbungculu|mdala|mdala: uhlobo-5, imbungculu|ubulili-phakathi|uhlobo-5
	🧑🏿‍🦲;mdala: uhlobo-6, imbungculu;imbungculu|mdala|mdala: uhlobo-6, imbungculu|ubulili-phakathi|uhlobo-6
👱‍♀️;umama: izinwele ezimhlophe;izinwele|mhlophe|umama|umama onezinwele ezinhlophe|umama: izinwele ezimhlophe
	👱🏻‍♀️;umama: uhlobo-1-2, izinwele ezimhlophe;izinwele|izinwele ezimhlophe|mhlophe|uhlobo-1-2|umama|umama onezinwele ezinhlophe|umama: izinwele ezimhlophe|umama: uhlobo-1-2, izinwele ezimhlophe
	👱🏼‍♀️;umama: uhlobo-3, izinwele ezimhlophe;izinwele|izinwele ezimhlophe|mhlophe|uhlobo-3|umama|umama onezinwele ezinhlophe|umama: izinwele ezimhlophe|umama: uhlobo-3, izinwele ezimhlophe
	👱🏽‍♀️;umama: uhlobo-4, izinwele ezimhlophe;izinwele|izinwele ezimhlophe|mhlophe|uhlobo-4|umama|umama onezinwele ezinhlophe|umama: izinwele ezimhlophe|umama: uhlobo-4, izinwele ezimhlophe
	👱🏾‍♀️;umama: uhlobo-5, izinwele ezimhlophe;izinwele|izinwele ezimhlophe|mhlophe|uhlobo-5|umama|umama onezinwele ezinhlophe|umama: izinwele ezimhlophe|umama: uhlobo-5, izinwele ezimhlophe
	👱🏿‍♀️;umama: uhlobo-6, izinwele ezimhlophe;izinwele|izinwele ezimhlophe|mhlophe|uhlobo-6|umama|umama onezinwele ezinhlophe|umama: izinwele ezimhlophe|umama: uhlobo-6, izinwele ezimhlophe
👱‍♂️;indoda: izinwele ezimhlophe;indoda|indoda enezinwele ezimhlophe|indoda: izinwele ezimhlophe|izinwele|mhlophe
	👱🏻‍♂️;indoda: uhlobo-1-2, izinwele ezimhlophe;indoda|indoda enezinwele ezimhlophe|indoda: izinwele ezimhlophe|indoda: uhlobo-1-2, izinwele ezimhlophe|izinwele|izinwele ezimhlophe|mhlophe|uhlobo-1-2
	👱🏼‍♂️;indoda: uhlobo-3, izinwele ezimhlophe;indoda|indoda enezinwele ezimhlophe|indoda: izinwele ezimhlophe|indoda: uhlobo-3, izinwele ezimhlophe|izinwele|izinwele ezimhlophe|mhlophe|uhlobo-3
	👱🏽‍♂️;indoda: uhlobo-4, izinwele ezimhlophe;indoda|indoda enezinwele ezimhlophe|indoda: izinwele ezimhlophe|indoda: uhlobo-4, izinwele ezimhlophe|izinwele|izinwele ezimhlophe|mhlophe|uhlobo-4
	👱🏾‍♂️;indoda: uhlobo-5, izinwele ezimhlophe;indoda|indoda enezinwele ezimhlophe|indoda: izinwele ezimhlophe|indoda: uhlobo-5, izinwele ezimhlophe|izinwele|izinwele ezimhlophe|mhlophe|uhlobo-5
	👱🏿‍♂️;indoda: uhlobo-6, izinwele ezimhlophe;indoda|indoda enezinwele ezimhlophe|indoda: izinwele ezimhlophe|indoda: uhlobo-6, izinwele ezimhlophe|izinwele|izinwele ezimhlophe|mhlophe|uhlobo-6
🧓;omdala omdala;mdala|omdala omdala|ubulili-phakathi
	🧓🏻;omdala omdala: uhlobo-1-2;mdala|omdala omdala|omdala omdala: uhlobo-1-2|ubulili-phakathi|uhlobo-1-2
	🧓🏼;omdala omdala: uhlobo-3;mdala|omdala omdala|omdala omdala: uhlobo-3|ubulili-phakathi|uhlobo-3
	🧓🏽;omdala omdala: uhlobo-4;mdala|omdala omdala|omdala omdala: uhlobo-4|ubulili-phakathi|uhlobo-4
	🧓🏾;omdala omdala: uhlobo-5;mdala|omdala omdala|omdala omdala: uhlobo-5|ubulili-phakathi|uhlobo-5
	🧓🏿;omdala omdala: uhlobo-6;mdala|omdala omdala|omdala omdala: uhlobo-6|ubulili-phakathi|uhlobo-6
👴;ikhehla;ikhehla|ogugile|owesilisa
	👴🏻;ikhehla: uhlobo-1-2;ikhehla|ikhehla: uhlobo-1-2|ogugile|owesilisa|uhlobo-1-2
	👴🏼;ikhehla: uhlobo-3;ikhehla|ikhehla: uhlobo-3|ogugile|owesilisa|uhlobo-3
	👴🏽;ikhehla: uhlobo-4;ikhehla|ikhehla: uhlobo-4|ogugile|owesilisa|uhlobo-4
	👴🏾;ikhehla: uhlobo-5;ikhehla|ikhehla: uhlobo-5|ogugile|owesilisa|uhlobo-5
	👴🏿;ikhehla: uhlobo-6;ikhehla|ikhehla: uhlobo-6|ogugile|owesilisa|uhlobo-6
👵;ugogo;ogugile|owesimame|ugogo
	👵🏻;ugogo: uhlobo-1-2;ogugile|owesimame|ugogo|ugogo: uhlobo-1-2|uhlobo-1-2
	👵🏼;ugogo: uhlobo-3;ogugile|owesimame|ugogo|ugogo: uhlobo-3|uhlobo-3
	👵🏽;ugogo: uhlobo-4;ogugile|owesimame|ugogo|ugogo: uhlobo-4|uhlobo-4
	👵🏾;ugogo: uhlobo-5;ogugile|owesimame|ugogo|ugogo: uhlobo-5|uhlobo-5
	👵🏿;ugogo: uhlobo-6;ogugile|owesimame|ugogo|ugogo: uhlobo-6|uhlobo-6
🙍;umuntu ohwaqabele;ukuhwaqabala|umuntu ohwaqabele
	🙍🏻;umuntu ohwaqabele: uhlobo-1-2;uhlobo-1-2|ukuhwaqabala|umuntu ohwaqabele|umuntu ohwaqabele: uhlobo-1-2
	🙍🏼;umuntu ohwaqabele: uhlobo-3;uhlobo-3|ukuhwaqabala|umuntu ohwaqabele|umuntu ohwaqabele: uhlobo-3
	🙍🏽;umuntu ohwaqabele: uhlobo-4;uhlobo-4|ukuhwaqabala|umuntu ohwaqabele|umuntu ohwaqabele: uhlobo-4
	🙍🏾;umuntu ohwaqabele: uhlobo-5;uhlobo-5|ukuhwaqabala|umuntu ohwaqabele|umuntu ohwaqabele: uhlobo-5
	🙍🏿;umuntu ohwaqabele: uhlobo-6;uhlobo-6|ukuhwaqabala|umuntu ohwaqabele|umuntu ohwaqabele: uhlobo-6
🙍‍♂️;indoda ehwaqabele;indoda|indoda ehwaqabele|ukuhwaqabala
	🙍🏻‍♂️;indoda ehwaqabele: uhlobo-1-2;indoda|indoda ehwaqabele|indoda ehwaqabele: uhlobo-1-2|uhlobo-1-2|ukuhwaqabala
	🙍🏼‍♂️;indoda ehwaqabele: uhlobo-3;indoda|indoda ehwaqabele|indoda ehwaqabele: uhlobo-3|uhlobo-3|ukuhwaqabala
	🙍🏽‍♂️;indoda ehwaqabele: uhlobo-4;indoda|indoda ehwaqabele|indoda ehwaqabele: uhlobo-4|uhlobo-4|ukuhwaqabala
	🙍🏾‍♂️;indoda ehwaqabele: uhlobo-5;indoda|indoda ehwaqabele|indoda ehwaqabele: uhlobo-5|uhlobo-5|ukuhwaqabala
	🙍🏿‍♂️;indoda ehwaqabele: uhlobo-6;indoda|indoda ehwaqabele|indoda ehwaqabele: uhlobo-6|uhlobo-6|ukuhwaqabala
🙍‍♀️;owesimame ohwaqabele;owesimame|owesimame ohwaqabele|ukuhwaqabala
	🙍🏻‍♀️;owesimame ohwaqabele: uhlobo-1-2;owesimame|owesimame ohwaqabele|owesimame ohwaqabele: uhlobo-1-2|uhlobo-1-2|ukuhwaqabala
	🙍🏼‍♀️;owesimame ohwaqabele: uhlobo-3;owesimame|owesimame ohwaqabele|owesimame ohwaqabele: uhlobo-3|uhlobo-3|ukuhwaqabala
	🙍🏽‍♀️;owesimame ohwaqabele: uhlobo-4;owesimame|owesimame ohwaqabele|owesimame ohwaqabele: uhlobo-4|uhlobo-4|ukuhwaqabala
	🙍🏾‍♀️;owesimame ohwaqabele: uhlobo-5;owesimame|owesimame ohwaqabele|owesimame ohwaqabele: uhlobo-5|uhlobo-5|ukuhwaqabala
	🙍🏿‍♀️;owesimame ohwaqabele: uhlobo-6;owesimame|owesimame ohwaqabele|owesimame ohwaqabele: uhlobo-6|uhlobo-6|ukuhwaqabala
🙎;umuntu odangele;ukudangala|umuntu odangele
	🙎🏻;umuntu odangele: uhlobo-1-2;uhlobo-1-2|ukudangala|umuntu odangele|umuntu odangele: uhlobo-1-2
	🙎🏼;umuntu odangele: uhlobo-3;uhlobo-3|ukudangala|umuntu odangele|umuntu odangele: uhlobo-3
	🙎🏽;umuntu odangele: uhlobo-4;uhlobo-4|ukudangala|umuntu odangele|umuntu odangele: uhlobo-4
	🙎🏾;umuntu odangele: uhlobo-5;uhlobo-5|ukudangala|umuntu odangele|umuntu odangele: uhlobo-5
	🙎🏿;umuntu odangele: uhlobo-6;uhlobo-6|ukudangala|umuntu odangele|umuntu odangele: uhlobo-6
🙎‍♂️;indoda edangele;indoda|indoda edangele|ukudangala
	🙎🏻‍♂️;indoda edangele: uhlobo-1-2;indoda|indoda edangele|indoda edangele: uhlobo-1-2|uhlobo-1-2|ukudangala
	🙎🏼‍♂️;indoda edangele: uhlobo-3;indoda|indoda edangele|indoda edangele: uhlobo-3|uhlobo-3|ukudangala
	🙎🏽‍♂️;indoda edangele: uhlobo-4;indoda|indoda edangele|indoda edangele: uhlobo-4|uhlobo-4|ukudangala
	🙎🏾‍♂️;indoda edangele: uhlobo-5;indoda|indoda edangele|indoda edangele: uhlobo-5|uhlobo-5|ukudangala
	🙎🏿‍♂️;indoda edangele: uhlobo-6;indoda|indoda edangele|indoda edangele: uhlobo-6|uhlobo-6|ukudangala
🙎‍♀️;owesimame odangele;odangele|owesimame
	🙎🏻‍♀️;owesimame odangele: uhlobo-1-2;odangele|owesimame|owesimame odangele: uhlobo-1-2|uhlobo-1-2
	🙎🏼‍♀️;owesimame odangele: uhlobo-3;odangele|owesimame|owesimame odangele: uhlobo-3|uhlobo-3
	🙎🏽‍♀️;owesimame odangele: uhlobo-4;odangele|owesimame|owesimame odangele: uhlobo-4|uhlobo-4
	🙎🏾‍♀️;owesimame odangele: uhlobo-5;odangele|owesimame|owesimame odangele: uhlobo-5|uhlobo-5
	🙎🏿‍♀️;owesimame odangele: uhlobo-6;odangele|owesimame|owesimame odangele: uhlobo-6|uhlobo-6
🙅;umuntu oveza ukuthi akulungile;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|umuntu oveza ukuthi akulungile|uphawu
	🙅🏻;umuntu oveza ukuthi akulungile: uhlobo-1-2;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|uhlobo-1-2|umuntu oveza ukuthi akulungile|umuntu oveza ukuthi akulungile: uhlobo-1-2|uphawu
	🙅🏼;umuntu oveza ukuthi akulungile: uhlobo-3;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|uhlobo-3|umuntu oveza ukuthi akulungile|umuntu oveza ukuthi akulungile: uhlobo-3|uphawu
	🙅🏽;umuntu oveza ukuthi akulungile: uhlobo-4;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|uhlobo-4|umuntu oveza ukuthi akulungile|umuntu oveza ukuthi akulungile: uhlobo-4|uphawu
	🙅🏾;umuntu oveza ukuthi akulungile: uhlobo-5;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|uhlobo-5|umuntu oveza ukuthi akulungile|umuntu oveza ukuthi akulungile: uhlobo-5|uphawu
	🙅🏿;umuntu oveza ukuthi akulungile: uhlobo-6;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|uhlobo-6|umuntu oveza ukuthi akulungile|umuntu oveza ukuthi akulungile: uhlobo-6|uphawu
🙅‍♂️;indoda eveza ukuthi akulungile;cha|enqaba|indoda|indoda eveza ukuthi akulungile|isandla|okungavumelekile|okunqantshiwe|uphawu
	🙅🏻‍♂️;indoda eveza ukuthi akulungile: uhlobo-1-2;cha|enqaba|indoda|indoda eveza ukuthi akulungile|indoda eveza ukuthi akulungile: uhlobo-1-2|isandla|okungavumelekile|okunqantshiwe|uhlobo-1-2|uphawu
	🙅🏼‍♂️;indoda eveza ukuthi akulungile: uhlobo-3;cha|enqaba|indoda|indoda eveza ukuthi akulungile|indoda eveza ukuthi akulungile: uhlobo-3|isandla|okungavumelekile|okunqantshiwe|uhlobo-3|uphawu
	🙅🏽‍♂️;indoda eveza ukuthi akulungile: uhlobo-4;cha|enqaba|indoda|indoda eveza ukuthi akulungile|indoda eveza ukuthi akulungile: uhlobo-4|isandla|okungavumelekile|okunqantshiwe|uhlobo-4|uphawu
	🙅🏾‍♂️;indoda eveza ukuthi akulungile: uhlobo-5;cha|enqaba|indoda|indoda eveza ukuthi akulungile|indoda eveza ukuthi akulungile: uhlobo-5|isandla|okungavumelekile|okunqantshiwe|uhlobo-5|uphawu
	🙅🏿‍♂️;indoda eveza ukuthi akulungile: uhlobo-6;cha|enqaba|indoda|indoda eveza ukuthi akulungile|indoda eveza ukuthi akulungile: uhlobo-6|isandla|okungavumelekile|okunqantshiwe|uhlobo-6|uphawu
🙅‍♀️;owesimame oveza ukuthi akulungile;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|owesimame|owesimame oveza ukuthi akulungile|uphawu
	🙅🏻‍♀️;owesimame oveza ukuthi akulungile: uhlobo-1-2;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|owesimame|owesimame oveza ukuthi akulungile|owesimame oveza ukuthi akulungile: uhlobo-1-2|uhlobo-1-2|uphawu
	🙅🏼‍♀️;owesimame oveza ukuthi akulungile: uhlobo-3;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|owesimame|owesimame oveza ukuthi akulungile|owesimame oveza ukuthi akulungile: uhlobo-3|uhlobo-3|uphawu
	🙅🏽‍♀️;owesimame oveza ukuthi akulungile: uhlobo-4;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|owesimame|owesimame oveza ukuthi akulungile|owesimame oveza ukuthi akulungile: uhlobo-4|uhlobo-4|uphawu
	🙅🏾‍♀️;owesimame oveza ukuthi akulungile: uhlobo-5;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|owesimame|owesimame oveza ukuthi akulungile|owesimame oveza ukuthi akulungile: uhlobo-5|uhlobo-5|uphawu
	🙅🏿‍♀️;owesimame oveza ukuthi akulungile: uhlobo-6;cha|enqaba|isandla|okungavumelekile|okunqantshiwe|owesimame|owesimame oveza ukuthi akulungile|owesimame oveza ukuthi akulungile: uhlobo-6|uhlobo-6|uphawu
🙆;umuntu oveza ukuthi kulungile;isandla|kulungile|umuntu oveza ukuthi kulungile|uphawu
	🙆🏻;umuntu oveza ukuthi kulungile: uhlobo-1-2;isandla|kulungile|uhlobo-1-2|umuntu oveza ukuthi kulungile|umuntu oveza ukuthi kulungile: uhlobo-1-2|uphawu
	🙆🏼;umuntu oveza ukuthi kulungile: uhlobo-3;isandla|kulungile|uhlobo-3|umuntu oveza ukuthi kulungile|umuntu oveza ukuthi kulungile: uhlobo-3|uphawu
	🙆🏽;umuntu oveza ukuthi kulungile: uhlobo-4;isandla|kulungile|uhlobo-4|umuntu oveza ukuthi kulungile|umuntu oveza ukuthi kulungile: uhlobo-4|uphawu
	🙆🏾;umuntu oveza ukuthi kulungile: uhlobo-5;isandla|kulungile|uhlobo-5|umuntu oveza ukuthi kulungile|umuntu oveza ukuthi kulungile: uhlobo-5|uphawu
	🙆🏿;umuntu oveza ukuthi kulungile: uhlobo-6;isandla|kulungile|uhlobo-6|umuntu oveza ukuthi kulungile|umuntu oveza ukuthi kulungile: uhlobo-6|uphawu
🙆‍♂️;owesilisa oveza ukuthi kulungile;indoda|isandla|kulungile|owesilisa oveza ukuthi kulungile|uphawu
	🙆🏻‍♂️;owesilisa oveza ukuthi kulungile: uhlobo-1-2;indoda|isandla|kulungile|owesilisa oveza ukuthi kulungile|owesilisa oveza ukuthi kulungile: uhlobo-1-2|uhlobo-1-2|uphawu
	🙆🏼‍♂️;owesilisa oveza ukuthi kulungile: uhlobo-3;indoda|isandla|kulungile|owesilisa oveza ukuthi kulungile|owesilisa oveza ukuthi kulungile: uhlobo-3|uhlobo-3|uphawu
	🙆🏽‍♂️;owesilisa oveza ukuthi kulungile: uhlobo-4;indoda|isandla|kulungile|owesilisa oveza ukuthi kulungile|owesilisa oveza ukuthi kulungile: uhlobo-4|uhlobo-4|uphawu
	🙆🏾‍♂️;owesilisa oveza ukuthi kulungile: uhlobo-5;indoda|isandla|kulungile|owesilisa oveza ukuthi kulungile|owesilisa oveza ukuthi kulungile: uhlobo-5|uhlobo-5|uphawu
	🙆🏿‍♂️;owesilisa oveza ukuthi kulungile: uhlobo-6;indoda|isandla|kulungile|owesilisa oveza ukuthi kulungile|owesilisa oveza ukuthi kulungile: uhlobo-6|uhlobo-6|uphawu
🙆‍♀️;owesimame oveza ukuthi kulungile;isandla|kulungile|owesimame oveza ukuthi kulungile|owesmame|uphawu
	🙆🏻‍♀️;owesimame oveza ukuthi kulungile: uhlobo-1-2;isandla|kulungile|owesimame oveza ukuthi kulungile|owesimame oveza ukuthi kulungile: uhlobo-1-2|owesmame|uhlobo-1-2|uphawu
	🙆🏼‍♀️;owesimame oveza ukuthi kulungile: uhlobo-3;isandla|kulungile|owesimame oveza ukuthi kulungile|owesimame oveza ukuthi kulungile: uhlobo-3|owesmame|uhlobo-3|uphawu
	🙆🏽‍♀️;owesimame oveza ukuthi kulungile: uhlobo-4;isandla|kulungile|owesimame oveza ukuthi kulungile|owesimame oveza ukuthi kulungile: uhlobo-4|owesmame|uhlobo-4|uphawu
	🙆🏾‍♀️;owesimame oveza ukuthi kulungile: uhlobo-5;isandla|kulungile|owesimame oveza ukuthi kulungile|owesimame oveza ukuthi kulungile: uhlobo-5|owesmame|uhlobo-5|uphawu
	🙆🏿‍♀️;owesimame oveza ukuthi kulungile: uhlobo-6;isandla|kulungile|owesimame oveza ukuthi kulungile|owesimame oveza ukuthi kulungile: uhlobo-6|owesmame|uhlobo-6|uphawu
💁;umuntu ocela ngesandla;imali|isandla|ulwazi|umuntu ocela ngesandla|usizo
	💁🏻;umuntu ocela ngesandla: uhlobo-1-2;imali|isandla|uhlobo-1-2|ulwazi|umuntu ocela ngesandla|umuntu ocela ngesandla: uhlobo-1-2|usizo
	💁🏼;umuntu ocela ngesandla: uhlobo-3;imali|isandla|uhlobo-3|ulwazi|umuntu ocela ngesandla|umuntu ocela ngesandla: uhlobo-3|usizo
	💁🏽;umuntu ocela ngesandla: uhlobo-4;imali|isandla|uhlobo-4|ulwazi|umuntu ocela ngesandla|umuntu ocela ngesandla: uhlobo-4|usizo
	💁🏾;umuntu ocela ngesandla: uhlobo-5;imali|isandla|uhlobo-5|ulwazi|umuntu ocela ngesandla|umuntu ocela ngesandla: uhlobo-5|usizo
	💁🏿;umuntu ocela ngesandla: uhlobo-6;imali|isandla|uhlobo-6|ulwazi|umuntu ocela ngesandla|umuntu ocela ngesandla: uhlobo-6|usizo
💁‍♂️;indoda ecela ngesandla;imali|indoda|indoda ecela ngesandla|isandla|usizo
	💁🏻‍♂️;indoda ecela ngesandla: uhlobo-1-2;imali|indoda|indoda ecela ngesandla|indoda ecela ngesandla: uhlobo-1-2|isandla|uhlobo-1-2|usizo
	💁🏼‍♂️;indoda ecela ngesandla: uhlobo-3;imali|indoda|indoda ecela ngesandla|indoda ecela ngesandla: uhlobo-3|isandla|uhlobo-3|usizo
	💁🏽‍♂️;indoda ecela ngesandla: uhlobo-4;imali|indoda|indoda ecela ngesandla|indoda ecela ngesandla: uhlobo-4|isandla|uhlobo-4|usizo
	💁🏾‍♂️;indoda ecela ngesandla: uhlobo-5;imali|indoda|indoda ecela ngesandla|indoda ecela ngesandla: uhlobo-5|isandla|uhlobo-5|usizo
	💁🏿‍♂️;indoda ecela ngesandla: uhlobo-6;imali|indoda|indoda ecela ngesandla|indoda ecela ngesandla: uhlobo-6|isandla|uhlobo-6|usizo
💁‍♀️;owesimame ocela ngesandla;isandla|owesimame imali|owesimame ocela ngesandla|usizo
	💁🏻‍♀️;owesimame ocela ngesandla: uhlobo-1-2;isandla|owesimame imali|owesimame ocela ngesandla|owesimame ocela ngesandla: uhlobo-1-2|uhlobo-1-2|usizo
	💁🏼‍♀️;owesimame ocela ngesandla: uhlobo-3;isandla|owesimame imali|owesimame ocela ngesandla|owesimame ocela ngesandla: uhlobo-3|uhlobo-3|usizo
	💁🏽‍♀️;owesimame ocela ngesandla: uhlobo-4;isandla|owesimame imali|owesimame ocela ngesandla|owesimame ocela ngesandla: uhlobo-4|uhlobo-4|usizo
	💁🏾‍♀️;owesimame ocela ngesandla: uhlobo-5;isandla|owesimame imali|owesimame ocela ngesandla|owesimame ocela ngesandla: uhlobo-5|uhlobo-5|usizo
	💁🏿‍♀️;owesimame ocela ngesandla: uhlobo-6;isandla|owesimame imali|owesimame ocela ngesandla|owesimame ocela ngesandla: uhlobo-6|uhlobo-6|usizo
🙋;umuntu ophakamisa isandla;isandla|ukujabula|ukuphakamisa|umuntu ophakamisa isandla|uphawu
	🙋🏻;umuntu ophakamisa isandla: uhlobo-1-2;isandla|uhlobo-1-2|ukujabula|ukuphakamisa|umuntu ophakamisa isandla|umuntu ophakamisa isandla: uhlobo-1-2|uphawu
	🙋🏼;umuntu ophakamisa isandla: uhlobo-3;isandla|uhlobo-3|ukujabula|ukuphakamisa|umuntu ophakamisa isandla|umuntu ophakamisa isandla: uhlobo-3|uphawu
	🙋🏽;umuntu ophakamisa isandla: uhlobo-4;isandla|uhlobo-4|ukujabula|ukuphakamisa|umuntu ophakamisa isandla|umuntu ophakamisa isandla: uhlobo-4|uphawu
