[smileys_emotion]
😀;шырока ўсміхаецца;зубы|усмешка|шырока ўсміхаецца
💪;дэманстрацыя біцэпса;біцэпс|дэманстрацыя біцэпса|мышцы|спорт|цела
	💪🏻;дэманстрацыя біцэпса: светлы тон скуры;біцэпс|дэманстрацыя біцэпса|дэманстрацыя біцэпса: светлы тон скуры|мышцы|светлы тон скуры|спорт|цела
	💪🏼;дэманстрацыя біцэпса: сярэднясветлы тон скуры;біцэпс|дэманстрацыя біцэпса|дэманстрацыя біцэпса: сярэднясветлы тон скуры|мышцы|спорт|сярэднясветлы тон скуры|цела
	💪🏽;дэманстрацыя біцэпса: сярэдні тон скуры;біцэпс|дэманстрацыя біцэпса|дэманстрацыя біцэпса: сярэдні тон скуры|мышцы|спорт|сярэдні тон скуры|цела
	💪🏾;дэманстрацыя біцэпса: сярэдняцёмны тон скуры;біцэпс|дэманстрацыя біцэпса|дэманстрацыя біцэпса: сярэдняцёмны тон скуры|мышцы|спорт|сярэдняцёмны тон скуры|цела
	💪🏿;дэманстрацыя біцэпса: цёмны тон скуры;біцэпс|дэманстрацыя біцэпса|дэманстрацыя біцэпса: цёмны тон скуры|мышцы|спорт|цела|цёмны тон скуры
🦾;механічная рука;асаблівыя фізічныя патрэбы|інваліднасць|механічная рука|пратэз
🦿;механічная нага;асаблівыя фізічныя патрэбы|інваліднасць|механічная нага|пратэз
🦵;нага;выспятак|канечнасць|нага
	🦵🏻;нага: светлы тон скуры;выспятак|канечнасць|нага|нага: светлы тон скуры|светлы тон скуры
	🦵🏼;нага: сярэднясветлы тон скуры;выспятак|канечнасць|нага|нага: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🦵🏽;нага: сярэдні тон скуры;выспятак|канечнасць|нага|нага: сярэдні тон скуры|сярэдні тон скуры
	🦵🏾;нага: сярэдняцёмны тон скуры;выспятак|канечнасць|нага|нага: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🦵🏿;нага: цёмны тон скуры;выспятак|канечнасць|нага|нага: цёмны тон скуры|цёмны тон скуры
🦶;ступня;выспятак|ступня
	🦶🏻;ступня: светлы тон скуры;выспятак|светлы тон скуры|ступня|ступня: светлы тон скуры
	🦶🏼;ступня: сярэднясветлы тон скуры;выспятак|ступня|ступня: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	🦶🏽;ступня: сярэдні тон скуры;выспятак|ступня|ступня: сярэдні тон скуры|сярэдні тон скуры
	🦶🏾;ступня: сярэдняцёмны тон скуры;выспятак|ступня|ступня: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	🦶🏿;ступня: цёмны тон скуры;выспятак|ступня|ступня: цёмны тон скуры|цёмны тон скуры
👂;вуха;вуха|слых|цела
	👂🏻;вуха: светлы тон скуры;вуха|вуха: светлы тон скуры|светлы тон скуры|слых|цела
	👂🏼;вуха: сярэднясветлы тон скуры;вуха|вуха: сярэднясветлы тон скуры|слых|сярэднясветлы тон скуры|цела
	👂🏽;вуха: сярэдні тон скуры;вуха|вуха: сярэдні тон скуры|слых|сярэдні тон скуры|цела
	👂🏾;вуха: сярэдняцёмны тон скуры;вуха|вуха: сярэдняцёмны тон скуры|слых|сярэдняцёмны тон скуры|цела
	👂🏿;вуха: цёмны тон скуры;вуха|вуха: цёмны тон скуры|слых|цела|цёмны тон скуры
🦻;вуха са слыхавым апаратам;асаблівыя фізічныя патрэбы|вуха са слыхавым апаратам|дрэнны слых|інваліднасць
	🦻🏻;вуха са слыхавым апаратам: светлы тон скуры;асаблівыя фізічныя патрэбы|вуха са слыхавым апаратам|вуха са слыхавым апаратам: светлы тон скуры|дрэнны слых|інваліднасць|светлы тон скуры
	🦻🏼;вуха са слыхавым апаратам: сярэднясветлы тон скуры;асаблівыя фізічныя патрэбы|вуха са слыхавым апаратам|вуха са слыхавым апаратам: сярэднясветлы тон скуры|дрэнны слых|інваліднасць|сярэднясветлы тон скуры
	🦻🏽;вуха са слыхавым апаратам: сярэдні тон скуры;асаблівыя фізічныя патрэбы|вуха са слыхавым апаратам|вуха са слыхавым апаратам: сярэдні тон скуры|дрэнны слых|інваліднасць|сярэдні тон скуры
	🦻🏾;вуха са слыхавым апаратам: сярэдняцёмны тон скуры;асаблівыя фізічныя патрэбы|вуха са слыхавым апаратам|вуха са слыхавым апаратам: сярэдняцёмны тон скуры|дрэнны слых|інваліднасць|сярэдняцёмны тон скуры
	🦻🏿;вуха са слыхавым апаратам: цёмны тон скуры;асаблівыя фізічныя патрэбы|вуха са слыхавым апаратам|вуха са слыхавым апаратам: цёмны тон скуры|дрэнны слых|інваліднасць|цёмны тон скуры
👃;нос;нос|нюх|цела
	👃🏻;нос: светлы тон скуры;нос|нос: светлы тон скуры|нюх|светлы тон скуры|цела
	👃🏼;нос: сярэднясветлы тон скуры;нос|нос: сярэднясветлы тон скуры|нюх|сярэднясветлы тон скуры|цела
	👃🏽;нос: сярэдні тон скуры;нос|нос: сярэдні тон скуры|нюх|сярэдні тон скуры|цела
	👃🏾;нос: сярэдняцёмны тон скуры;нос|нос: сярэдняцёмны тон скуры|нюх|сярэдняцёмны тон скуры|цела
	👃🏿;нос: цёмны тон скуры;нос|нос: цёмны тон скуры|нюх|цела|цёмны тон скуры
🧠;мозг;мозг|разумны
🫀;сэрца;кардыялогія|орган|пульс|сэрца|сэрцабіцце|цэнтр
🫁;лёгкія;выдых|дыханне|лёгкія|орган|подых|удых
🦷;зуб;зуб|стаматолаг
🦴;косць;косць|шкілет
👀;вочы;вока|вочы|твар
👁️;вока;вока|зрок
👅;язык;смак|цела|язык
👄;рот;губы|рот
🫦;закусванне губы;дыскамфорт|закусванне губы|нервовасць|неспакой|страх|трывога|флірт
👶;немаўля;малеча|немаўля
	👶🏻;немаўля: светлы тон скуры;малеча|немаўля|немаўля: светлы тон скуры|светлы тон скуры
	👶🏼;немаўля: сярэднясветлы тон скуры;малеча|немаўля|немаўля: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	👶🏽;немаўля: сярэдні тон скуры;малеча|немаўля|немаўля: сярэдні тон скуры|сярэдні тон скуры
	👶🏾;немаўля: сярэдняцёмны тон скуры;малеча|немаўля|немаўля: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	👶🏿;немаўля: цёмны тон скуры;малеча|немаўля|немаўля: цёмны тон скуры|цёмны тон скуры
🧒;дзіця;дзіця|малады|невядомы пол|нявызначаны пол
	🧒🏻;дзіця: светлы тон скуры;дзіця|дзіця: светлы тон скуры|малады|невядомы пол|нявызначаны пол|светлы тон скуры
	🧒🏼;дзіця: сярэднясветлы тон скуры;дзіця|дзіця: сярэднясветлы тон скуры|малады|невядомы пол|нявызначаны пол|сярэднясветлы тон скуры
	🧒🏽;дзіця: сярэдні тон скуры;дзіця|дзіця: сярэдні тон скуры|малады|невядомы пол|нявызначаны пол|сярэдні тон скуры
	🧒🏾;дзіця: сярэдняцёмны тон скуры;дзіця|дзіця: сярэдняцёмны тон скуры|малады|невядомы пол|нявызначаны пол|сярэдняцёмны тон скуры
	🧒🏿;дзіця: цёмны тон скуры;дзіця|дзіця: цёмны тон скуры|малады|невядомы пол|нявызначаны пол|цёмны тон скуры
👦;хлопчык;дзіця|мужчына|хлопчык
	👦🏻;хлопчык: светлы тон скуры;дзіця|мужчына|светлы тон скуры|хлопчык|хлопчык: светлы тон скуры
	👦🏼;хлопчык: сярэднясветлы тон скуры;дзіця|мужчына|сярэднясветлы тон скуры|хлопчык|хлопчык: сярэднясветлы тон скуры
	👦🏽;хлопчык: сярэдні тон скуры;дзіця|мужчына|сярэдні тон скуры|хлопчык|хлопчык: сярэдні тон скуры
	👦🏾;хлопчык: сярэдняцёмны тон скуры;дзіця|мужчына|сярэдняцёмны тон скуры|хлопчык|хлопчык: сярэдняцёмны тон скуры
	👦🏿;хлопчык: цёмны тон скуры;дзіця|мужчына|хлопчык|хлопчык: цёмны тон скуры|цёмны тон скуры
👧;дзяўчынка;дзева|дзіця|дзяўчынка|жанчына|задыяк|малышка
	👧🏻;дзяўчынка: светлы тон скуры;дзева|дзіця|дзяўчынка|дзяўчынка: светлы тон скуры|жанчына|задыяк|малышка|светлы тон скуры
	👧🏼;дзяўчынка: сярэднясветлы тон скуры;дзева|дзіця|дзяўчынка|дзяўчынка: сярэднясветлы тон скуры|жанчына|задыяк|малышка|сярэднясветлы тон скуры
	👧🏽;дзяўчынка: сярэдні тон скуры;дзева|дзіця|дзяўчынка|дзяўчынка: сярэдні тон скуры|жанчына|задыяк|малышка|сярэдні тон скуры
	👧🏾;дзяўчынка: сярэдняцёмны тон скуры;дзева|дзіця|дзяўчынка|дзяўчынка: сярэдняцёмны тон скуры|жанчына|задыяк|малышка|сярэдняцёмны тон скуры
	👧🏿;дзяўчынка: цёмны тон скуры;дзева|дзіця|дзяўчынка|дзяўчынка: цёмны тон скуры|жанчына|задыяк|малышка|цёмны тон скуры
🧑;дарослы;дарослы|дарослы чалавек|няпэўнага полу
	🧑🏻;дарослы: светлы тон скуры;дарослы|дарослы чалавек|дарослы: светлы тон скуры|няпэўнага полу|светлы тон скуры
	🧑🏼;дарослы: сярэднясветлы тон скуры;дарослы|дарослы чалавек|дарослы: сярэднясветлы тон скуры|няпэўнага полу|сярэднясветлы тон скуры
	🧑🏽;дарослы: сярэдні тон скуры;дарослы|дарослы чалавек|дарослы: сярэдні тон скуры|няпэўнага полу|сярэдні тон скуры
	🧑🏾;дарослы: сярэдняцёмны тон скуры;дарослы|дарослы чалавек|дарослы: сярэдняцёмны тон скуры|няпэўнага полу|сярэдняцёмны тон скуры
	🧑🏿;дарослы: цёмны тон скуры;дарослы|дарослы чалавек|дарослы: цёмны тон скуры|няпэўнага полу|цёмны тон скуры
👱;бялявы чалавек;бялявы|бялявы чалавек
	👱🏻;бялявы чалавек: светлы тон скуры;бялявы|бялявы чалавек|бялявы чалавек: светлы тон скуры|светлы тон скуры
	👱🏼;бялявы чалавек: сярэднясветлы тон скуры;бялявы|бялявы чалавек|бялявы чалавек: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	👱🏽;бялявы чалавек: сярэдні тон скуры;бялявы|бялявы чалавек|бялявы чалавек: сярэдні тон скуры|сярэдні тон скуры
	👱🏾;бялявы чалавек: сярэдняцёмны тон скуры;бялявы|бялявы чалавек|бялявы чалавек: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	👱🏿;бялявы чалавек: цёмны тон скуры;бялявы|бялявы чалавек|бялявы чалавек: цёмны тон скуры|цёмны тон скуры
👨;мужчына;мужчына
	👨🏻;мужчына: светлы тон скуры;мужчына|мужчына: светлы тон скуры|светлы тон скуры
	👨🏼;мужчына: сярэднясветлы тон скуры;мужчына|мужчына: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	👨🏽;мужчына: сярэдні тон скуры;мужчына|мужчына: сярэдні тон скуры|сярэдні тон скуры
	👨🏾;мужчына: сярэдняцёмны тон скуры;мужчына|мужчына: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	👨🏿;мужчына: цёмны тон скуры;мужчына|мужчына: цёмны тон скуры|цёмны тон скуры
🧔;чалавек з барадой;барада|чалавек з барадой
	🧔🏻;чалавек з барадой: светлы тон скуры;барада|светлы тон скуры|чалавек з барадой|чалавек з барадой: светлы тон скуры
	🧔🏼;чалавек з барадой: сярэднясветлы тон скуры;барада|сярэднясветлы тон скуры|чалавек з барадой|чалавек з барадой: сярэднясветлы тон скуры
	🧔🏽;чалавек з барадой: сярэдні тон скуры;барада|сярэдні тон скуры|чалавек з барадой|чалавек з барадой: сярэдні тон скуры
	🧔🏾;чалавек з барадой: сярэдняцёмны тон скуры;барада|сярэдняцёмны тон скуры|чалавек з барадой|чалавек з барадой: сярэдняцёмны тон скуры
	🧔🏿;чалавек з барадой: цёмны тон скуры;барада|цёмны тон скуры|чалавек з барадой|чалавек з барадой: цёмны тон скуры
🧔‍♂️;мужчына: барада;барада|мужчына|мужчына: барада
	🧔🏻‍♂️;мужчына: светлы тон скуры барада;барада|мужчына|мужчына: барада|мужчына: светлы тон скуры барада|светлы тон скуры
	🧔🏼‍♂️;мужчына: сярэднясветлы тон скуры барада;барада|мужчына|мужчына: барада|мужчына: сярэднясветлы тон скуры барада|сярэднясветлы тон скуры
	🧔🏽‍♂️;мужчына: сярэдні тон скуры барада;барада|мужчына|мужчына: барада|мужчына: сярэдні тон скуры барада|сярэдні тон скуры
	🧔🏾‍♂️;мужчына: сярэдняцёмны тон скуры барада;барада|мужчына|мужчына: барада|мужчына: сярэдняцёмны тон скуры барада|сярэдняцёмны тон скуры
	🧔🏿‍♂️;мужчына: цёмны тон скуры барада;барада|мужчына|мужчына: барада|мужчына: цёмны тон скуры барада|цёмны тон скуры
🧔‍♀️;жанчына: барада;барада|жанчына|жанчына: барада
	🧔🏻‍♀️;жанчына: светлы тон скуры барада;барада|жанчына|жанчына: барада|жанчына: светлы тон скуры барада|светлы тон скуры
	🧔🏼‍♀️;жанчына: сярэднясветлы тон скуры барада;барада|жанчына|жанчына: барада|жанчына: сярэднясветлы тон скуры барада|сярэднясветлы тон скуры
	🧔🏽‍♀️;жанчына: сярэдні тон скуры барада;барада|жанчына|жанчына: барада|жанчына: сярэдні тон скуры барада|сярэдні тон скуры
	🧔🏾‍♀️;жанчына: сярэдняцёмны тон скуры барада;барада|жанчына|жанчына: барада|жанчына: сярэдняцёмны тон скуры барада|сярэдняцёмны тон скуры
	🧔🏿‍♀️;жанчына: цёмны тон скуры барада;барада|жанчына|жанчына: барада|жанчына: цёмны тон скуры барада|цёмны тон скуры
👨‍🦰;мужчына: рыжыя валасы;мужчына|мужчына: рыжыя валасы|рыжыя валасы
	👨🏻‍🦰;мужчына: светлы тон скуры рыжыя валасы;мужчына|мужчына: светлы тон скуры рыжыя валасы|рыжыя валасы|светлы тон скуры
	👨🏼‍🦰;мужчына: сярэднясветлы тон скуры рыжыя валасы;мужчына|мужчына: сярэднясветлы тон скуры рыжыя валасы|рыжыя валасы|сярэднясветлы тон скуры
	👨🏽‍🦰;мужчына: сярэдні тон скуры рыжыя валасы;мужчына|мужчына: сярэдні тон скуры рыжыя валасы|рыжыя валасы|сярэдні тон скуры
	👨🏾‍🦰;мужчына: сярэдняцёмны тон скуры рыжыя валасы;мужчына|мужчына: сярэдняцёмны тон скуры рыжыя валасы|рыжыя валасы|сярэдняцёмны тон скуры
	👨🏿‍🦰;мужчына: цёмны тон скуры рыжыя валасы;мужчына|мужчына: цёмны тон скуры рыжыя валасы|рыжыя валасы|цёмны тон скуры
👨‍🦱;мужчына: курчавыя валасы;курчавыя валасы|мужчына|мужчына: курчавыя валасы
	👨🏻‍🦱;мужчына: светлы тон скуры курчавыя валасы;курчавыя валасы|мужчына|мужчына: светлы тон скуры курчавыя валасы|светлы тон скуры
	👨🏼‍🦱;мужчына: сярэднясветлы тон скуры курчавыя валасы;курчавыя валасы|мужчына|мужчына: сярэднясветлы тон скуры курчавыя валасы|сярэднясветлы тон скуры
	👨🏽‍🦱;мужчына: сярэдні тон скуры курчавыя валасы;курчавыя валасы|мужчына|мужчына: сярэдні тон скуры курчавыя валасы|сярэдні тон скуры
	👨🏾‍🦱;мужчына: сярэдняцёмны тон скуры курчавыя валасы;курчавыя валасы|мужчына|мужчына: сярэдняцёмны тон скуры курчавыя валасы|сярэдняцёмны тон скуры
	👨🏿‍🦱;мужчына: цёмны тон скуры курчавыя валасы;курчавыя валасы|мужчына|мужчына: цёмны тон скуры курчавыя валасы|цёмны тон скуры
👨‍🦳;мужчына: сівыя валасы;мужчына|мужчына: сівыя валасы|сівыя валасы
	👨🏻‍🦳;мужчына: светлы тон скуры сівыя валасы;мужчына|мужчына: светлы тон скуры сівыя валасы|светлы тон скуры|сівыя валасы
	👨🏼‍🦳;мужчына: сярэднясветлы тон скуры сівыя валасы;мужчына|мужчына: сярэднясветлы тон скуры сівыя валасы|сівыя валасы|сярэднясветлы тон скуры
	👨🏽‍🦳;мужчына: сярэдні тон скуры сівыя валасы;мужчына|мужчына: сярэдні тон скуры сівыя валасы|сівыя валасы|сярэдні тон скуры
	👨🏾‍🦳;мужчына: сярэдняцёмны тон скуры сівыя валасы;мужчына|мужчына: сярэдняцёмны тон скуры сівыя валасы|сівыя валасы|сярэдняцёмны тон скуры
	👨🏿‍🦳;мужчына: цёмны тон скуры сівыя валасы;мужчына|мужчына: цёмны тон скуры сівыя валасы|сівыя валасы|цёмны тон скуры
👨‍🦲;мужчына: лысы;лысы|мужчына|мужчына: лысы
	👨🏻‍🦲;мужчына: светлы тон скуры лысы;лысы|мужчына|мужчына: светлы тон скуры лысы|светлы тон скуры
	👨🏼‍🦲;мужчына: сярэднясветлы тон скуры лысы;лысы|мужчына|мужчына: сярэднясветлы тон скуры лысы|сярэднясветлы тон скуры
	👨🏽‍🦲;мужчына: сярэдні тон скуры лысы;лысы|мужчына|мужчына: сярэдні тон скуры лысы|сярэдні тон скуры
	👨🏾‍🦲;мужчына: сярэдняцёмны тон скуры лысы;лысы|мужчына|мужчына: сярэдняцёмны тон скуры лысы|сярэдняцёмны тон скуры
	👨🏿‍🦲;мужчына: цёмны тон скуры лысы;лысы|мужчына|мужчына: цёмны тон скуры лысы|цёмны тон скуры
👩;жанчына;жанчына
	👩🏻;жанчына: светлы тон скуры;жанчына|жанчына: светлы тон скуры|светлы тон скуры
	👩🏼;жанчына: сярэднясветлы тон скуры;жанчына|жанчына: сярэднясветлы тон скуры|сярэднясветлы тон скуры
	👩🏽;жанчына: сярэдні тон скуры;жанчына|жанчына: сярэдні тон скуры|сярэдні тон скуры
	👩🏾;жанчына: сярэдняцёмны тон скуры;жанчына|жанчына: сярэдняцёмны тон скуры|сярэдняцёмны тон скуры
	👩🏿;жанчына: цёмны тон скуры;жанчына|жанчына: цёмны тон скуры|цёмны тон скуры
👩‍🦰;жанчына: рыжыя валасы;жанчына|жанчына: рыжыя валасы|рыжыя валасы
	👩🏻‍🦰;жанчына: светлы тон скуры рыжыя валасы;жанчына|жанчына: светлы тон скуры рыжыя валасы|рыжыя валасы|светлы тон скуры
	👩🏼‍🦰;жанчына: сярэднясветлы тон скуры рыжыя валасы;жанчына|жанчына: сярэднясветлы тон скуры рыжыя валасы|рыжыя валасы|сярэднясветлы тон скуры
	👩🏽‍🦰;жанчына: сярэдні тон скуры рыжыя валасы;жанчына|жанчына: сярэдні тон скуры рыжыя валасы|рыжыя валасы|сярэдні тон скуры
	👩🏾‍🦰;жанчына: сярэдняцёмны тон скуры рыжыя валасы;жанчына|жанчына: сярэдняцёмны тон скуры рыжыя валасы|рыжыя валасы|сярэдняцёмны тон скуры
	👩🏿‍🦰;жанчына: цёмны тон скуры рыжыя валасы;жанчына|жанчына: цёмны тон скуры рыжыя валасы|рыжыя валасы|цёмны тон скуры
🧑‍🦰;дарослы: рыжыя валасы;дарослы|дарослы чалавек|дарослы: рыжыя валасы|няпэўнага полу|рыжыя валасы
	🧑🏻‍🦰;дарослы: светлы тон скуры рыжыя валасы;дарослы|дарослы чалавек|дарослы: светлы тон скуры рыжыя валасы|няпэўнага полу|рыжыя валасы|светлы тон скуры
	🧑🏼‍🦰;дарослы: сярэднясветлы тон скуры рыжыя валасы;дарослы|дарослы чалавек|дарослы: сярэднясветлы тон скуры рыжыя валасы|няпэўнага полу|рыжыя валасы|сярэднясветлы тон скуры
	🧑🏽‍🦰;дарослы: сярэдні тон скуры рыжыя валасы;дарослы|дарослы чалавек|дарослы: сярэдні тон скуры рыжыя валасы|няпэўнага полу|рыжыя валасы|сярэдні тон скуры
	🧑🏾‍🦰;дарослы: сярэдняцёмны тон скуры рыжыя валасы;дарослы|дарослы чалавек|дарослы: сярэдняцёмны тон скуры рыжыя валасы|няпэўнага полу|рыжыя валасы|сярэдняцёмны тон скуры
	🧑🏿‍🦰;дарослы: цёмны тон скуры рыжыя валасы;дарослы|дарослы чалавек|дарослы: цёмны тон скуры рыжыя валасы|няпэўнага полу|рыжыя валасы|цёмны тон скуры
👩‍🦱;жанчына: курчавыя валасы;жанчына|жанчына: курчавыя валасы|курчавыя валасы
	👩🏻‍🦱;жанчына: светлы тон скуры курчавыя валасы;жанчына|жанчына: светлы тон скуры курчавыя валасы|курчавыя валасы|светлы тон скуры
	👩🏼‍🦱;жанчына: сярэднясветлы тон скуры курчавыя валасы;жанчына|жанчына: сярэднясветлы тон скуры курчавыя валасы|курчавыя валасы|сярэднясветлы тон скуры
	👩🏽‍🦱;жанчына: сярэдні тон скуры курчавыя валасы;жанчына|жанчына: сярэдні тон скуры курчавыя валасы|курчавыя валасы|сярэдні тон скуры
	👩🏾‍🦱;жанчына: сярэдняцёмны тон скуры курчавыя валасы;жанчына|жанчына: сярэдняцёмны тон скуры курчавыя валасы|курчавыя валасы|сярэдняцёмны тон скуры
	👩🏿‍🦱;жанчына: цёмны тон скуры курчавыя валасы;жанчына|жанчына: цёмны тон скуры курчавыя валасы|курчавыя валасы|цёмны тон скуры
🧑‍🦱;дарослы: курчавыя валасы;дарослы|дарослы чалавек|дарослы: курчавыя валасы|курчавыя валасы|няпэўнага полу
	🧑🏻‍🦱;дарослы: светлы тон скуры курчавыя валасы;дарослы|дарослы чалавек|дарослы: светлы тон скуры курчавыя валасы|курчавыя валасы|няпэўнага полу|светлы тон скуры
	🧑🏼‍🦱;дарослы: сярэднясветлы тон скуры курчавыя валасы;дарослы|дарослы чалавек|дарослы: сярэднясветлы тон скуры курчавыя валасы|курчавыя валасы|няпэўнага полу|сярэднясветлы тон скуры
	🧑🏽‍🦱;дарослы: сярэдні тон скуры курчавыя валасы;дарослы|дарослы чалавек|дарослы: сярэдні тон скуры курчавыя валасы|курчавыя валасы|няпэўнага полу|сярэдні тон скуры
	🧑🏾‍🦱;дарослы: сярэдняцёмны тон скуры курчавыя валасы;дарослы|дарослы чалавек|дарослы: сярэдняцёмны тон скуры курчавыя валасы|курчавыя валасы|няпэўнага полу|сярэдняцёмны тон скуры
	🧑🏿‍🦱;дарослы: цёмны тон скуры курчавыя валасы;дарослы|дарослы чалавек|дарослы: цёмны тон скуры курчавыя валасы|курчавыя валасы|няпэўнага полу|цёмны тон скуры
👩‍🦳;жанчына: сівыя валасы;жанчына|жанчына: сівыя валасы|сівыя валасы
	👩🏻‍🦳;жанчына: светлы тон скуры сівыя валасы;жанчына|жанчына: светлы тон скуры сівыя валасы|светлы тон скуры|сівыя валасы
	👩🏼‍🦳;жанчына: сярэднясветлы тон скуры сівыя валасы;жанчына|жанчына: сярэднясветлы тон скуры сівыя валасы|сівыя валасы|сярэднясветлы тон скуры
	👩🏽‍🦳;жанчына: сярэдні тон скуры сівыя валасы;жанчына|жанчына: сярэдні тон скуры сівыя валасы|сівыя валасы|сярэдні тон скуры
	👩🏾‍🦳;жанчына: сярэдняцёмны тон скуры сівыя валасы;жанчына|жанчына: сярэдняцёмны тон скуры сівыя валасы|сівыя валасы|сярэдняцёмны тон скуры
	👩🏿‍🦳;жанчына: цёмны тон скуры сівыя валасы;жанчына|жанчына: цёмны тон скуры сівыя валасы|сівыя валасы|цёмны тон скуры
🧑‍🦳;дарослы: сівыя валасы;дарослы|дарослы чалавек|дарослы: сівыя валасы|няпэўнага полу|сівыя валасы
	🧑🏻‍🦳;дарослы: светлы тон скуры сівыя валасы;дарослы|дарослы чалавек|дарослы: светлы тон скуры сівыя валасы|няпэўнага полу|светлы тон скуры|сівыя валасы
	🧑🏼‍🦳;дарослы: сярэднясветлы тон скуры сівыя валасы;дарослы|дарослы чалавек|дарослы: сярэднясветлы тон скуры сівыя валасы|няпэўнага полу|сівыя валасы|сярэднясветлы тон скуры
	🧑🏽‍🦳;дарослы: сярэдні тон скуры сівыя валасы;дарослы|дарослы чалавек|дарослы: сярэдні тон скуры сівыя валасы|няпэўнага полу|сівыя валасы|сярэдні тон скуры
	🧑🏾‍🦳;дарослы: сярэдняцёмны тон скуры сівыя валасы;дарослы|дарослы чалавек|дарослы: сярэдняцёмны тон скуры сівыя валасы|няпэўнага полу|сівыя валасы|сярэдняцёмны тон скуры
	🧑🏿‍🦳;дарослы: цёмны тон скуры сівыя валасы;дарослы|дарослы чалавек|дарослы: цёмны тон скуры сівыя валасы|няпэўнага полу|сівыя валасы|цёмны тон скуры
👩‍🦲;жанчына: лысы;жанчына|жанчына: лысы|лысы
	👩🏻‍🦲;жанчына: светлы тон скуры лысы;жанчына|жанчына: светлы тон скуры лысы|лысы|светлы тон скуры
	👩🏼‍🦲;жанчына: сярэднясветлы тон скуры лысы;жанчына|жанчына: сярэднясветлы тон скуры лысы|лысы|сярэднясветлы тон скуры
	👩🏽‍🦲;жанчына: сярэдні тон скуры лысы;жанчына|жанчына: сярэдні тон скуры лысы|лысы|сярэдні тон скуры
	👩🏾‍🦲;жанчына: сярэдняцёмны тон скуры лысы;жанчына|жанчына: сярэдняцёмны тон скуры лысы|лысы|сярэдняцёмны тон скуры
	👩🏿‍🦲;жанчына: цёмны тон скуры лысы;жанчына|жанчына: цёмны тон скуры лысы|лысы|цёмны тон скуры
🧑‍🦲;дарослы: лысы;дарослы|дарослы чалавек|дарослы: лысы|лысы|няпэўнага полу
	🧑🏻‍🦲;дарослы: светлы тон скуры лысы;дарослы|дарослы чалавек|дарослы: светлы тон скуры лысы|лысы|няпэўнага полу|светлы тон скуры
	🧑🏼‍🦲;дарослы: сярэднясветлы тон скуры лысы;дарослы|дарослы чалавек|дарослы: сярэднясветлы тон скуры лысы|лысы|няпэўнага полу|сярэднясветлы тон скуры
	🧑🏽‍🦲;дарослы: сярэдні тон скуры лысы;дарослы|дарослы чалавек|дарослы: сярэдні тон скуры лысы|лысы|няпэўнага полу|сярэдні тон скуры
	🧑🏾‍🦲;дарослы: сярэдняцёмны тон скуры лысы;дарослы|дарослы чалавек|дарослы: сярэдняцёмны тон скуры лысы|лысы|няпэўнага полу|сярэдняцёмны тон скуры
	🧑🏿‍🦲;дарослы: цёмны тон скуры лысы;дарослы|дарослы чалавек|дарослы: цёмны тон скуры лысы|лысы|няпэўнага полу|цёмны тон скуры
👱‍♀️;бялявая жанчына;бландзінка|бялявая|жанчына
	👱🏻‍♀️;бялявая жанчына: светлы тон скуры;бландзінка|бялявая|бялявая жанчына: светлы тон скуры|жанчына|светлы тон скуры
	👱🏼‍♀️;бялявая жанчына: сярэднясветлы тон скуры;бландзінка|бялявая|бялявая жанчына: сярэднясветлы тон скуры|жанчына|сярэднясветлы тон скуры
	👱🏽‍♀️;бялявая жанчына: сярэдні тон скуры;бландзінка|бялявая|бялявая жанчына: сярэдні тон скуры|жанчына|сярэдні тон скуры
	👱🏾‍♀️;бялявая жанчына: сярэдняцёмны тон скуры;бландзінка|бялявая|бялявая жанчына: сярэдняцёмны тон скуры|жанчына|сярэдняцёмны тон скуры
	👱🏿‍♀️;бялявая жанчына: цёмны тон скуры;бландзінка|бялявая|бялявая жанчына: цёмны тон скуры|жанчына|цёмны тон скуры
👱‍♂️;бялявы мужчына;бландзін|бялявы|мужчына
	👱🏻‍♂️;бялявы мужчына: светлы тон скуры;бландзін|бялявы|бялявы мужчына: светлы тон скуры|мужчына|светлы тон скуры
	👱🏼‍♂️;бялявы мужчына: сярэднясветлы тон скуры;бландзін|бялявы|бялявы мужчына: сярэднясветлы тон скуры|мужчына|сярэднясветлы тон скуры
	👱🏽‍♂️;бялявы мужчына: сярэдні тон скуры;бландзін|бялявы|бялявы мужчына: сярэдні тон скуры|мужчына|сярэдні тон скуры
	👱🏾‍♂️;бялявы мужчына: сярэдняцёмны тон скуры;бландзін|бялявы|бялявы мужчына: сярэдняцёмны тон скуры|мужчына|сярэдняцёмны тон скуры
	👱🏿‍♂️;бялявы мужчына: цёмны тон скуры;бландзін|бялявы|бялявы мужчына: цёмны тон скуры|мужчына|цёмны тон скуры
