[smileys_emotion]
😀;સ્મિત કરતો ચહેરો;ચહેરો|સ્મિત|સ્મિત કરતો ચહેરો
	👊🏿;બંધ મુઠ્ઠી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|બંધ મુઠ્ઠી|બંધ મુઠ્ઠી: ઘેરો ચામડીનો રંગ|મુઠ્ઠી|હાથ
🤛;ડાબીબાજુની મુઠ્ઠી;ડાબીબાજુ|ડાબીબાજુની મુઠ્ઠી|મુઠ્ઠી
	🤛🏻;ડાબીબાજુની મુઠ્ઠી: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|ડાબીબાજુ|ડાબીબાજુની મુઠ્ઠી|ડાબીબાજુની મુઠ્ઠી: ચામડીનો આછો રંગ|મુઠ્ઠી
	🤛🏼;ડાબીબાજુની મુઠ્ઠી: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|ડાબીબાજુ|ડાબીબાજુની મુઠ્ઠી|ડાબીબાજુની મુઠ્ઠી: ચામડીનો મધ્યમ આછો રંગ|મુઠ્ઠી
	🤛🏽;ડાબીબાજુની મુઠ્ઠી: મધ્યમ ચામડીનો રંગ;ડાબીબાજુ|ડાબીબાજુની મુઠ્ઠી|ડાબીબાજુની મુઠ્ઠી: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|મુઠ્ઠી
	🤛🏾;ડાબીબાજુની મુઠ્ઠી: મધ્યમ ઘેરો ચામડીનો રંગ;ડાબીબાજુ|ડાબીબાજુની મુઠ્ઠી|ડાબીબાજુની મુઠ્ઠી: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મુઠ્ઠી
	🤛🏿;ડાબીબાજુની મુઠ્ઠી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|ડાબીબાજુ|ડાબીબાજુની મુઠ્ઠી|ડાબીબાજુની મુઠ્ઠી: ઘેરો ચામડીનો રંગ|મુઠ્ઠી
🤜;જમણીબાજુની મુઠ્ઠી;જમણીબાજુ|જમણીબાજુની મુઠ્ઠી|મુઠ્ઠી
	🤜🏻;જમણીબાજુની મુઠ્ઠી: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|જમણીબાજુ|જમણીબાજુની મુઠ્ઠી|જમણીબાજુની મુઠ્ઠી: ચામડીનો આછો રંગ|મુઠ્ઠી
	🤜🏼;જમણીબાજુની મુઠ્ઠી: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|જમણીબાજુ|જમણીબાજુની મુઠ્ઠી|જમણીબાજુની મુઠ્ઠી: ચામડીનો મધ્યમ આછો રંગ|મુઠ્ઠી
	🤜🏽;જમણીબાજુની મુઠ્ઠી: મધ્યમ ચામડીનો રંગ;જમણીબાજુ|જમણીબાજુની મુઠ્ઠી|જમણીબાજુની મુઠ્ઠી: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|મુઠ્ઠી
	🤜🏾;જમણીબાજુની મુઠ્ઠી: મધ્યમ ઘેરો ચામડીનો રંગ;જમણીબાજુ|જમણીબાજુની મુઠ્ઠી|જમણીબાજુની મુઠ્ઠી: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મુઠ્ઠી
	🤜🏿;જમણીબાજુની મુઠ્ઠી: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|જમણીબાજુ|જમણીબાજુની મુઠ્ઠી|જમણીબાજુની મુઠ્ઠી: ઘેરો ચામડીનો રંગ|મુઠ્ઠી
👏;તાળી પાડતાં હાથ;ચિહ્ન|તાળી|તાળી પાડતાં હાથ|હાથ
	👏🏻;તાળી પાડતાં હાથ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|ચિહ્ન|તાળી|તાળી પાડતાં હાથ|તાળી પાડતાં હાથ: ચામડીનો આછો રંગ|હાથ
	👏🏼;તાળી પાડતાં હાથ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|ચિહ્ન|તાળી|તાળી પાડતાં હાથ|તાળી પાડતાં હાથ: ચામડીનો મધ્યમ આછો રંગ|હાથ
	👏🏽;તાળી પાડતાં હાથ: મધ્યમ ચામડીનો રંગ;ચિહ્ન|તાળી|તાળી પાડતાં હાથ|તાળી પાડતાં હાથ: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|હાથ
	👏🏾;તાળી પાડતાં હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;ચિહ્ન|તાળી|તાળી પાડતાં હાથ|તાળી પાડતાં હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ
	👏🏿;તાળી પાડતાં હાથ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|ચિહ્ન|તાળી|તાળી પાડતાં હાથ|તાળી પાડતાં હાથ: ઘેરો ચામડીનો રંગ|હાથ
🙌;હાથ ઉઠાવતી વ્યક્તિ;ઉજવણી|ઉજવણીમાં બંને હાથ ઉઠાવવા|બંને હાથ|હાથ ઉઠાવતી વ્યક્તિ|હુરરે
	🙌🏻;હાથ ઉઠાવતી વ્યક્તિ: ચામડીનો આછો રંગ;ઉજવણી|ઉજવણીમાં બંને હાથ ઉઠાવવા|ચામડીનો આછો રંગ|બંને હાથ|હાથ ઉઠાવતી વ્યક્તિ|હાથ ઉઠાવતી વ્યક્તિ: ચામડીનો આછો રંગ|હુરરે
	🙌🏼;હાથ ઉઠાવતી વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ;ઉજવણી|ઉજવણીમાં બંને હાથ ઉઠાવવા|ચામડીનો મધ્યમ આછો રંગ|બંને હાથ|હાથ ઉઠાવતી વ્યક્તિ|હાથ ઉઠાવતી વ્યક્તિ: ચામડીનો મધ્યમ આછો રંગ|હુરરે
	🙌🏽;હાથ ઉઠાવતી વ્યક્તિ: મધ્યમ ચામડીનો રંગ;ઉજવણી|ઉજવણીમાં બંને હાથ ઉઠાવવા|બંને હાથ|મધ્યમ ચામડીનો રંગ|હાથ ઉઠાવતી વ્યક્તિ|હાથ ઉઠાવતી વ્યક્તિ: મધ્યમ ચામડીનો રંગ|હુરરે
	🙌🏾;હાથ ઉઠાવતી વ્યક્તિ: મધ્યમ ઘેરો ચામડીનો રંગ;ઉજવણી|ઉજવણીમાં બંને હાથ ઉઠાવવા|બંને હાથ|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ ઉઠાવતી વ્યક્તિ|હાથ ઉઠાવતી વ્યક્તિ: મધ્યમ ઘેરો ચામડીનો રંગ|હુરરે
	🙌🏿;હાથ ઉઠાવતી વ્યક્તિ: ઘેરો ચામડીનો રંગ;ઉજવણી|ઉજવણીમાં બંને હાથ ઉઠાવવા|ઘેરો ચામડીનો રંગ|બંને હાથ|હાથ ઉઠાવતી વ્યક્તિ|હાથ ઉઠાવતી વ્યક્તિ: ઘેરો ચામડીનો રંગ|હુરરે
🫶;હૃદયનો આકાર બતાવતા હાથ;પ્રેમ|હૃદયનો આકાર બતાવતા હાથ
	🫶🏻;હૃદયનો આકાર બતાવતા હાથ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|પ્રેમ|હૃદયનો આકાર બતાવતા હાથ|હૃદયનો આકાર બતાવતા હાથ: ચામડીનો આછો રંગ
	🫶🏼;હૃદયનો આકાર બતાવતા હાથ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|પ્રેમ|હૃદયનો આકાર બતાવતા હાથ|હૃદયનો આકાર બતાવતા હાથ: ચામડીનો મધ્યમ આછો રંગ
	🫶🏽;હૃદયનો આકાર બતાવતા હાથ: મધ્યમ ચામડીનો રંગ;પ્રેમ|મધ્યમ ચામડીનો રંગ|હૃદયનો આકાર બતાવતા હાથ|હૃદયનો આકાર બતાવતા હાથ: મધ્યમ ચામડીનો રંગ
	🫶🏾;હૃદયનો આકાર બતાવતા હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;પ્રેમ|મધ્યમ ઘેરો ચામડીનો રંગ|હૃદયનો આકાર બતાવતા હાથ|હૃદયનો આકાર બતાવતા હાથ: મધ્યમ ઘેરો ચામડીનો રંગ
	🫶🏿;હૃદયનો આકાર બતાવતા હાથ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|પ્રેમ|હૃદયનો આકાર બતાવતા હાથ|હૃદયનો આકાર બતાવતા હાથ: ઘેરો ચામડીનો રંગ
👐;ખુલ્લાં હાથ;ખુલ્લાં|ખુલ્લાં હાથનું ચિહ્ન|ચિહ્ન|હાથ
	👐🏻;ખુલ્લાં હાથ: ચામડીનો આછો રંગ;ખુલ્લાં|ખુલ્લાં હાથ: ચામડીનો આછો રંગ|ખુલ્લાં હાથનું ચિહ્ન|ચામડીનો આછો રંગ|ચિહ્ન|હાથ
	👐🏼;ખુલ્લાં હાથ: ચામડીનો મધ્યમ આછો રંગ;ખુલ્લાં|ખુલ્લાં હાથ: ચામડીનો મધ્યમ આછો રંગ|ખુલ્લાં હાથનું ચિહ્ન|ચામડીનો મધ્યમ આછો રંગ|ચિહ્ન|હાથ
	👐🏽;ખુલ્લાં હાથ: મધ્યમ ચામડીનો રંગ;ખુલ્લાં|ખુલ્લાં હાથ: મધ્યમ ચામડીનો રંગ|ખુલ્લાં હાથનું ચિહ્ન|ચિહ્ન|મધ્યમ ચામડીનો રંગ|હાથ
	👐🏾;ખુલ્લાં હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;ખુલ્લાં|ખુલ્લાં હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|ખુલ્લાં હાથનું ચિહ્ન|ચિહ્ન|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ
	👐🏿;ખુલ્લાં હાથ: ઘેરો ચામડીનો રંગ;ખુલ્લાં|ખુલ્લાં હાથ: ઘેરો ચામડીનો રંગ|ખુલ્લાં હાથનું ચિહ્ન|ઘેરો ચામડીનો રંગ|ચિહ્ન|હાથ
🤲;હથેળીઓ એક સાથે;હથેળીઓ એક સાથે
	🤲🏻;હથેળીઓ એક સાથે: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|હથેળીઓ એક સાથે|હથેળીઓ એક સાથે: ચામડીનો આછો રંગ
	🤲🏼;હથેળીઓ એક સાથે: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|હથેળીઓ એક સાથે|હથેળીઓ એક સાથે: ચામડીનો મધ્યમ આછો રંગ
	🤲🏽;હથેળીઓ એક સાથે: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|હથેળીઓ એક સાથે|હથેળીઓ એક સાથે: મધ્યમ ચામડીનો રંગ
	🤲🏾;હથેળીઓ એક સાથે: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|હથેળીઓ એક સાથે|હથેળીઓ એક સાથે: મધ્યમ ઘેરો ચામડીનો રંગ
	🤲🏿;હથેળીઓ એક સાથે: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|હથેળીઓ એક સાથે|હથેળીઓ એક સાથે: ઘેરો ચામડીનો રંગ
🤝;હાથ મિલાવવો;કરાર|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો
	🤝🏻;હાથ મિલાવવો: ચામડીનો આછો રંગ;કરાર|ચામડીનો આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો આછો રંગ
	🤝🏼;હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ;કરાર|ચામડીનો મધ્યમ આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ
	🤝🏽;હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ;કરાર|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ
	🤝🏾;હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ;કરાર|મધ્યમ ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ
	🤝🏿;હાથ મિલાવવો: ઘેરો ચામડીનો રંગ;કરાર|ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ઘેરો ચામડીનો રંગ
	🫱🏻‍🫲🏼;હાથ મિલાવવો: ચામડીનો આછો રંગ, ચામડીનો મધ્યમ આછો રંગ;કરાર|ચામડીનો આછો રંગ|ચામડીનો મધ્યમ આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો આછો રંગ, ચામડીનો મધ્યમ આછો રંગ
	🫱🏻‍🫲🏽;હાથ મિલાવવો: ચામડીનો આછો રંગ, મધ્યમ ચામડીનો રંગ;કરાર|ચામડીનો આછો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો આછો રંગ, મધ્યમ ચામડીનો રંગ
	🫱🏻‍🫲🏾;હાથ મિલાવવો: ચામડીનો આછો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ;કરાર|ચામડીનો આછો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો આછો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ
	🫱🏻‍🫲🏿;હાથ મિલાવવો: ચામડીનો આછો રંગ, ઘેરો ચામડીનો રંગ;કરાર|ઘેરો ચામડીનો રંગ|ચામડીનો આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો આછો રંગ, ઘેરો ચામડીનો રંગ
	🫱🏼‍🫲🏻;હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, ચામડીનો આછો રંગ;કરાર|ચામડીનો આછો રંગ|ચામડીનો મધ્યમ આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, ચામડીનો આછો રંગ
	🫱🏼‍🫲🏽;હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, મધ્યમ ચામડીનો રંગ;કરાર|ચામડીનો મધ્યમ આછો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, મધ્યમ ચામડીનો રંગ
	🫱🏼‍🫲🏾;હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ;કરાર|ચામડીનો મધ્યમ આછો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ
	🫱🏼‍🫲🏿;હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, ઘેરો ચામડીનો રંગ;કરાર|ઘેરો ચામડીનો રંગ|ચામડીનો મધ્યમ આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ચામડીનો મધ્યમ આછો રંગ, ઘેરો ચામડીનો રંગ
	🫱🏽‍🫲🏻;હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, ચામડીનો આછો રંગ;કરાર|ચામડીનો આછો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, ચામડીનો આછો રંગ
	🫱🏽‍🫲🏼;હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, ચામડીનો મધ્યમ આછો રંગ;કરાર|ચામડીનો મધ્યમ આછો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, ચામડીનો મધ્યમ આછો રંગ
	🫱🏽‍🫲🏾;હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ;કરાર|મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ
	🫱🏽‍🫲🏿;હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, ઘેરો ચામડીનો રંગ;કરાર|ઘેરો ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ચામડીનો રંગ, ઘેરો ચામડીનો રંગ
	🫱🏾‍🫲🏻;હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, ચામડીનો આછો રંગ;કરાર|ચામડીનો આછો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, ચામડીનો આછો રંગ
	🫱🏾‍🫲🏼;હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, ચામડીનો મધ્યમ આછો રંગ;કરાર|ચામડીનો મધ્યમ આછો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, ચામડીનો મધ્યમ આછો રંગ
	🫱🏾‍🫲🏽;હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, મધ્યમ ચામડીનો રંગ;કરાર|મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, મધ્યમ ચામડીનો રંગ
	🫱🏾‍🫲🏿;હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, ઘેરો ચામડીનો રંગ;કરાર|ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: મધ્યમ ઘેરો ચામડીનો રંગ, ઘેરો ચામડીનો રંગ
	🫱🏿‍🫲🏻;હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, ચામડીનો આછો રંગ;કરાર|ઘેરો ચામડીનો રંગ|ચામડીનો આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, ચામડીનો આછો રંગ
	🫱🏿‍🫲🏼;હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, ચામડીનો મધ્યમ આછો રંગ;કરાર|ઘેરો ચામડીનો રંગ|ચામડીનો મધ્યમ આછો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, ચામડીનો મધ્યમ આછો રંગ
	🫱🏿‍🫲🏽;હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, મધ્યમ ચામડીનો રંગ;કરાર|ઘેરો ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, મધ્યમ ચામડીનો રંગ
	🫱🏿‍🫲🏾;હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ;કરાર|ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|મિલાવવું|મીટિંગ|હાથ|હાથ મિલાવવો|હાથ મિલાવવો: ઘેરો ચામડીનો રંગ, મધ્યમ ઘેરો ચામડીનો રંગ
🙏;વાળેલા હાથ;અદબ વાળેલા હાથ|પ્રાર્થના|પ્રાર્થના કરવી|વાળેલા હાથ|હાથ|હાવભાવ
	🙏🏻;વાળેલા હાથ: ચામડીનો આછો રંગ;અદબ વાળેલા હાથ|ચામડીનો આછો રંગ|પ્રાર્થના|પ્રાર્થના કરવી|વાળેલા હાથ|વાળેલા હાથ: ચામડીનો આછો રંગ|હાથ|હાવભાવ
	🙏🏼;વાળેલા હાથ: ચામડીનો મધ્યમ આછો રંગ;અદબ વાળેલા હાથ|ચામડીનો મધ્યમ આછો રંગ|પ્રાર્થના|પ્રાર્થના કરવી|વાળેલા હાથ|વાળેલા હાથ: ચામડીનો મધ્યમ આછો રંગ|હાથ|હાવભાવ
	🙏🏽;વાળેલા હાથ: મધ્યમ ચામડીનો રંગ;અદબ વાળેલા હાથ|પ્રાર્થના|પ્રાર્થના કરવી|મધ્યમ ચામડીનો રંગ|વાળેલા હાથ|વાળેલા હાથ: મધ્યમ ચામડીનો રંગ|હાથ|હાવભાવ
	🙏🏾;વાળેલા હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;અદબ વાળેલા હાથ|પ્રાર્થના|પ્રાર્થના કરવી|મધ્યમ ઘેરો ચામડીનો રંગ|વાળેલા હાથ|વાળેલા હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|હાથ|હાવભાવ
	🙏🏿;વાળેલા હાથ: ઘેરો ચામડીનો રંગ;અદબ વાળેલા હાથ|ઘેરો ચામડીનો રંગ|પ્રાર્થના|પ્રાર્થના કરવી|વાળેલા હાથ|વાળેલા હાથ: ઘેરો ચામડીનો રંગ|હાથ|હાવભાવ
✍️;લખી રહેલો હાથ;લખતો|લખવું|લખાણ|લખી રહેલો હાથ|શરીર|હાથ
	✍🏻;લખી રહેલો હાથ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|લખતો|લખવું|લખાણ|લખી રહેલો હાથ|લખી રહેલો હાથ: ચામડીનો આછો રંગ|શરીર|હાથ
	✍🏼;લખી રહેલો હાથ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|લખતો|લખવું|લખાણ|લખી રહેલો હાથ|લખી રહેલો હાથ: ચામડીનો મધ્યમ આછો રંગ|શરીર|હાથ
	✍🏽;લખી રહેલો હાથ: મધ્યમ ચામડીનો રંગ;મધ્યમ ચામડીનો રંગ|લખતો|લખવું|લખાણ|લખી રહેલો હાથ|લખી રહેલો હાથ: મધ્યમ ચામડીનો રંગ|શરીર|હાથ
	✍🏾;લખી રહેલો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ;મધ્યમ ઘેરો ચામડીનો રંગ|લખતો|લખવું|લખાણ|લખી રહેલો હાથ|લખી રહેલો હાથ: મધ્યમ ઘેરો ચામડીનો રંગ|શરીર|હાથ
	✍🏿;લખી રહેલો હાથ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|લખતો|લખવું|લખાણ|લખી રહેલો હાથ|લખી રહેલો હાથ: ઘેરો ચામડીનો રંગ|શરીર|હાથ
💅;નેઇલ પોલિશ;કોસ્મેટિક્સ|નખ|નખની સંભાળ|નેઇલ પોલિશ|હાથ તથા નખની સાજસંભાળ
	💅🏻;નેઇલ પોલિશ: ચામડીનો આછો રંગ;કોસ્મેટિક્સ|ચામડીનો આછો રંગ|નખ|નખની સંભાળ|નેઇલ પોલિશ|નેઇલ પોલિશ: ચામડીનો આછો રંગ|હાથ તથા નખની સાજસંભાળ
	💅🏼;નેઇલ પોલિશ: ચામડીનો મધ્યમ આછો રંગ;કોસ્મેટિક્સ|ચામડીનો મધ્યમ આછો રંગ|નખ|નખની સંભાળ|નેઇલ પોલિશ|નેઇલ પોલિશ: ચામડીનો મધ્યમ આછો રંગ|હાથ તથા નખની સાજસંભાળ
	💅🏽;નેઇલ પોલિશ: મધ્યમ ચામડીનો રંગ;કોસ્મેટિક્સ|નખ|નખની સંભાળ|નેઇલ પોલિશ|નેઇલ પોલિશ: મધ્યમ ચામડીનો રંગ|મધ્યમ ચામડીનો રંગ|હાથ તથા નખની સાજસંભાળ
	💅🏾;નેઇલ પોલિશ: મધ્યમ ઘેરો ચામડીનો રંગ;કોસ્મેટિક્સ|નખ|નખની સંભાળ|નેઇલ પોલિશ|નેઇલ પોલિશ: મધ્યમ ઘેરો ચામડીનો રંગ|મધ્યમ ઘેરો ચામડીનો રંગ|હાથ તથા નખની સાજસંભાળ
	💅🏿;નેઇલ પોલિશ: ઘેરો ચામડીનો રંગ;કોસ્મેટિક્સ|ઘેરો ચામડીનો રંગ|નખ|નખની સંભાળ|નેઇલ પોલિશ|નેઇલ પોલિશ: ઘેરો ચામડીનો રંગ|હાથ તથા નખની સાજસંભાળ
🤳;સેલ્ફી;કૅમરા|ફોન|સેલ્ફી
	🤳🏻;સેલ્ફી: ચામડીનો આછો રંગ;કૅમરા|ચામડીનો આછો રંગ|ફોન|સેલ્ફી|સેલ્ફી: ચામડીનો આછો રંગ
	🤳🏼;સેલ્ફી: ચામડીનો મધ્યમ આછો રંગ;કૅમરા|ચામડીનો મધ્યમ આછો રંગ|ફોન|સેલ્ફી|સેલ્ફી: ચામડીનો મધ્યમ આછો રંગ
	🤳🏽;સેલ્ફી: મધ્યમ ચામડીનો રંગ;કૅમરા|ફોન|મધ્યમ ચામડીનો રંગ|સેલ્ફી|સેલ્ફી: મધ્યમ ચામડીનો રંગ
	🤳🏾;સેલ્ફી: મધ્યમ ઘેરો ચામડીનો રંગ;કૅમરા|ફોન|મધ્યમ ઘેરો ચામડીનો રંગ|સેલ્ફી|સેલ્ફી: મધ્યમ ઘેરો ચામડીનો રંગ
	🤳🏿;સેલ્ફી: ઘેરો ચામડીનો રંગ;કૅમરા|ઘેરો ચામડીનો રંગ|ફોન|સેલ્ફી|સેલ્ફી: ઘેરો ચામડીનો રંગ
💪;બાવડુ;ફલેક્સ|બાવડુ|મજબૂત|રમૂજી|સ્નાયુ
	💪🏻;બાવડુ: ચામડીનો આછો રંગ;ચામડીનો આછો રંગ|ફલેક્સ|બાવડુ|બાવડુ: ચામડીનો આછો રંગ|મજબૂત|રમૂજી|સ્નાયુ
	💪🏼;બાવડુ: ચામડીનો મધ્યમ આછો રંગ;ચામડીનો મધ્યમ આછો રંગ|ફલેક્સ|બાવડુ|બાવડુ: ચામડીનો મધ્યમ આછો રંગ|મજબૂત|રમૂજી|સ્નાયુ
	💪🏽;બાવડુ: મધ્યમ ચામડીનો રંગ;ફલેક્સ|બાવડુ|બાવડુ: મધ્યમ ચામડીનો રંગ|મજબૂત|મધ્યમ ચામડીનો રંગ|રમૂજી|સ્નાયુ
	💪🏾;બાવડુ: મધ્યમ ઘેરો ચામડીનો રંગ;ફલેક્સ|બાવડુ|બાવડુ: મધ્યમ ઘેરો ચામડીનો રંગ|મજબૂત|મધ્યમ ઘેરો ચામડીનો રંગ|રમૂજી|સ્નાયુ
	💪🏿;બાવડુ: ઘેરો ચામડીનો રંગ;ઘેરો ચામડીનો રંગ|ફલેક્સ|બાવડુ|બાવડુ: ઘેરો ચામડીનો રંગ|મજબૂત|રમૂજી|સ્નાયુ
🦾;મશીનથી બનેલો હાથ;ઍક્સેસિબિલિટી|કૃત્રિમ|મશીનથી બનેલો હાથ
