[smileys_emotion]
😀;tirjaygan yuz;tirjaygan yuz|tirjayish|yuz
	🤷🏾‍♂️;erkak yelka qismoqda: 5-teri turi;5-teri turi|erkak|erkak yelka qismoqda|erkak yelka qismoqda: 5-teri turi|shubha|yelka qisish
	🤷🏿‍♂️;erkak yelka qismoqda: 6-teri turi;6-teri turi|erkak|erkak yelka qismoqda|erkak yelka qismoqda: 6-teri turi|shubha|yelka qisish
🤷‍♀️;ayol yelka qismoqda;ayol|ayol yelka qismoqda|shubha|yelka qisish
	🤷🏻‍♀️;ayol yelka qismoqda: 1–2-teri turi;1–2-teri turi|ayol|ayol yelka qismoqda|ayol yelka qismoqda: 1–2-teri turi|shubha|yelka qisish
	🤷🏼‍♀️;ayol yelka qismoqda: 3-teri turi;3-teri turi|ayol|ayol yelka qismoqda|ayol yelka qismoqda: 3-teri turi|shubha|yelka qisish
	🤷🏽‍♀️;ayol yelka qismoqda: 4-teri turi;4-teri turi|ayol|ayol yelka qismoqda|ayol yelka qismoqda: 4-teri turi|shubha|yelka qisish
	🤷🏾‍♀️;ayol yelka qismoqda: 5-teri turi;5-teri turi|ayol|ayol yelka qismoqda|ayol yelka qismoqda: 5-teri turi|shubha|yelka qisish
	🤷🏿‍♀️;ayol yelka qismoqda: 6-teri turi;6-teri turi|ayol|ayol yelka qismoqda|ayol yelka qismoqda: 6-teri turi|shubha|yelka qisish
🧑‍⚕️;tibbiyot xodimi;doktor|hamshira|shifokor|sogʻliqni saqlash|tibbiyot xodimi
	🧑🏻‍⚕️;tibbiyot xodimi: 1–2-teri turi;1–2-teri turi|doktor|hamshira|shifokor|sogʻliqni saqlash|tibbiyot xodimi|tibbiyot xodimi: 1–2-teri turi
	🧑🏼‍⚕️;tibbiyot xodimi: 3-teri turi;3-teri turi|doktor|hamshira|shifokor|sogʻliqni saqlash|tibbiyot xodimi|tibbiyot xodimi: 3-teri turi
	🧑🏽‍⚕️;tibbiyot xodimi: 4-teri turi;4-teri turi|doktor|hamshira|shifokor|sogʻliqni saqlash|tibbiyot xodimi|tibbiyot xodimi: 4-teri turi
	🧑🏾‍⚕️;tibbiyot xodimi: 5-teri turi;5-teri turi|doktor|hamshira|shifokor|sogʻliqni saqlash|tibbiyot xodimi|tibbiyot xodimi: 5-teri turi
	🧑🏿‍⚕️;tibbiyot xodimi: 6-teri turi;6-teri turi|doktor|hamshira|shifokor|sogʻliqni saqlash|tibbiyot xodimi|tibbiyot xodimi: 6-teri turi
👨‍⚕️;erkak shifokor;doktor|erkak shifokor|salomatlik|shifokor|terapevt
	👨🏻‍⚕️;erkak shifokor: 1–2-teri turi;1–2-teri turi|doktor|erkak shifokor|erkak shifokor: 1–2-teri turi|salomatlik|shifokor|terapevt
	👨🏼‍⚕️;erkak shifokor: 3-teri turi;3-teri turi|doktor|erkak shifokor|erkak shifokor: 3-teri turi|salomatlik|shifokor|terapevt
	👨🏽‍⚕️;erkak shifokor: 4-teri turi;4-teri turi|doktor|erkak shifokor|erkak shifokor: 4-teri turi|salomatlik|shifokor|terapevt
	👨🏾‍⚕️;erkak shifokor: 5-teri turi;5-teri turi|doktor|erkak shifokor|erkak shifokor: 5-teri turi|salomatlik|shifokor|terapevt
	👨🏿‍⚕️;erkak shifokor: 6-teri turi;6-teri turi|doktor|erkak shifokor|erkak shifokor: 6-teri turi|salomatlik|shifokor|terapevt
👩‍⚕️;ayol shifokor;ayol|ayol shifokor|doktor|hamshira|sog‘liqni saqlash
	👩🏻‍⚕️;ayol shifokor: 1–2-teri turi;1–2-teri turi|ayol|ayol shifokor|ayol shifokor: 1–2-teri turi|doktor|hamshira|sog‘liqni saqlash
	👩🏼‍⚕️;ayol shifokor: 3-teri turi;3-teri turi|ayol|ayol shifokor|ayol shifokor: 3-teri turi|doktor|hamshira|sog‘liqni saqlash
	👩🏽‍⚕️;ayol shifokor: 4-teri turi;4-teri turi|ayol|ayol shifokor|ayol shifokor: 4-teri turi|doktor|hamshira|sog‘liqni saqlash
	👩🏾‍⚕️;ayol shifokor: 5-teri turi;5-teri turi|ayol|ayol shifokor|ayol shifokor: 5-teri turi|doktor|hamshira|sog‘liqni saqlash
	👩🏿‍⚕️;ayol shifokor: 6-teri turi;6-teri turi|ayol|ayol shifokor|ayol shifokor: 6-teri turi|doktor|hamshira|sog‘liqni saqlash
🧑‍🎓;talaba;bitirish|oʻqishni bitirish|talaba
	🧑🏻‍🎓;talaba: 1–2-teri turi;1–2-teri turi|bitirish|oʻqishni bitirish|talaba|talaba: 1–2-teri turi
	🧑🏼‍🎓;talaba: 3-teri turi;3-teri turi|bitirish|oʻqishni bitirish|talaba|talaba: 3-teri turi
	🧑🏽‍🎓;talaba: 4-teri turi;4-teri turi|bitirish|oʻqishni bitirish|talaba|talaba: 4-teri turi
	🧑🏾‍🎓;talaba: 5-teri turi;5-teri turi|bitirish|oʻqishni bitirish|talaba|talaba: 5-teri turi
	🧑🏿‍🎓;talaba: 6-teri turi;6-teri turi|bitirish|oʻqishni bitirish|talaba|talaba: 6-teri turi
👨‍🎓;erkak talaba;bitiruvchi|erkak|kishi|talaba
	👨🏻‍🎓;erkak talaba: 1–2-teri turi;1–2-teri turi|bitiruvchi|erkak|erkak talaba: 1–2-teri turi|kishi|talaba
	👨🏼‍🎓;erkak talaba: 3-teri turi;3-teri turi|bitiruvchi|erkak|erkak talaba: 3-teri turi|kishi|talaba
	👨🏽‍🎓;erkak talaba: 4-teri turi;4-teri turi|bitiruvchi|erkak|erkak talaba: 4-teri turi|kishi|talaba
	👨🏾‍🎓;erkak talaba: 5-teri turi;5-teri turi|bitiruvchi|erkak|erkak talaba: 5-teri turi|kishi|talaba
	👨🏿‍🎓;erkak talaba: 6-teri turi;6-teri turi|bitiruvchi|erkak|erkak talaba: 6-teri turi|kishi|talaba
👩‍🎓;ayol talaba;ayol|bitiruvchi|talaba
	👩🏻‍🎓;ayol talaba: 1–2-teri turi;1–2-teri turi|ayol|ayol talaba: 1–2-teri turi|bitiruvchi|talaba
	👩🏼‍🎓;ayol talaba: 3-teri turi;3-teri turi|ayol|ayol talaba: 3-teri turi|bitiruvchi|talaba
	👩🏽‍🎓;ayol talaba: 4-teri turi;4-teri turi|ayol|ayol talaba: 4-teri turi|bitiruvchi|talaba
	👩🏾‍🎓;ayol talaba: 5-teri turi;5-teri turi|ayol|ayol talaba: 5-teri turi|bitiruvchi|talaba
	👩🏿‍🎓;ayol talaba: 6-teri turi;6-teri turi|ayol|ayol talaba: 6-teri turi|bitiruvchi|talaba
🧑‍🏫;oʻqituvchi;instruktor|oʻqituvchi|professor
	🧑🏻‍🏫;oʻqituvchi: 1–2-teri turi;1–2-teri turi|instruktor|oʻqituvchi|oʻqituvchi: 1–2-teri turi|professor
	🧑🏼‍🏫;oʻqituvchi: 3-teri turi;3-teri turi|instruktor|oʻqituvchi|oʻqituvchi: 3-teri turi|professor
	🧑🏽‍🏫;oʻqituvchi: 4-teri turi;4-teri turi|instruktor|oʻqituvchi|oʻqituvchi: 4-teri turi|professor
	🧑🏾‍🏫;oʻqituvchi: 5-teri turi;5-teri turi|instruktor|oʻqituvchi|oʻqituvchi: 5-teri turi|professor
	🧑🏿‍🏫;oʻqituvchi: 6-teri turi;6-teri turi|instruktor|oʻqituvchi|oʻqituvchi: 6-teri turi|professor
👨‍🏫;erkak o‘qituvchi;erkak|o‘qituvchi|professor
	👨🏻‍🏫;erkak o‘qituvchi: 1–2-teri turi;1–2-teri turi|erkak|erkak o‘qituvchi: 1–2-teri turi|o‘qituvchi|professor
	👨🏼‍🏫;erkak o‘qituvchi: 3-teri turi;3-teri turi|erkak|erkak o‘qituvchi: 3-teri turi|o‘qituvchi|professor
	👨🏽‍🏫;erkak o‘qituvchi: 4-teri turi;4-teri turi|erkak|erkak o‘qituvchi: 4-teri turi|o‘qituvchi|professor
	👨🏾‍🏫;erkak o‘qituvchi: 5-teri turi;5-teri turi|erkak|erkak o‘qituvchi: 5-teri turi|o‘qituvchi|professor
	👨🏿‍🏫;erkak o‘qituvchi: 6-teri turi;6-teri turi|erkak|erkak o‘qituvchi: 6-teri turi|o‘qituvchi|professor
👩‍🏫;ayol o‘qituvchi;ayol|o‘qituvchi|professor
	👩🏻‍🏫;ayol o‘qituvchi: 1–2-teri turi;1–2-teri turi|ayol|ayol o‘qituvchi: 1–2-teri turi|o‘qituvchi|professor
	👩🏼‍🏫;ayol o‘qituvchi: 3-teri turi;3-teri turi|ayol|ayol o‘qituvchi: 3-teri turi|o‘qituvchi|professor
	👩🏽‍🏫;ayol o‘qituvchi: 4-teri turi;4-teri turi|ayol|ayol o‘qituvchi: 4-teri turi|o‘qituvchi|professor
	👩🏾‍🏫;ayol o‘qituvchi: 5-teri turi;5-teri turi|ayol|ayol o‘qituvchi: 5-teri turi|o‘qituvchi|professor
	👩🏿‍🏫;ayol o‘qituvchi: 6-teri turi;6-teri turi|ayol|ayol o‘qituvchi: 6-teri turi|o‘qituvchi|professor
🧑‍⚖️;sudya;sudya|tarozi
	🧑🏻‍⚖️;sudya: 1–2-teri turi;1–2-teri turi|sudya|sudya: 1–2-teri turi|tarozi
	🧑🏼‍⚖️;sudya: 3-teri turi;3-teri turi|sudya|sudya: 3-teri turi|tarozi
	🧑🏽‍⚖️;sudya: 4-teri turi;4-teri turi|sudya|sudya: 4-teri turi|tarozi
	🧑🏾‍⚖️;sudya: 5-teri turi;5-teri turi|sudya|sudya: 5-teri turi|tarozi
	🧑🏿‍⚖️;sudya: 6-teri turi;6-teri turi|sudya|sudya: 6-teri turi|tarozi
👨‍⚖️;erkak sudya;adliya|erkak|erkak sudya|kishi|tarozi
	👨🏻‍⚖️;erkak sudya: 1–2-teri turi;1–2-teri turi|adliya|erkak|erkak sudya|erkak sudya: 1–2-teri turi|kishi|tarozi
	👨🏼‍⚖️;erkak sudya: 3-teri turi;3-teri turi|adliya|erkak|erkak sudya|erkak sudya: 3-teri turi|kishi|tarozi
	👨🏽‍⚖️;erkak sudya: 4-teri turi;4-teri turi|adliya|erkak|erkak sudya|erkak sudya: 4-teri turi|kishi|tarozi
	👨🏾‍⚖️;erkak sudya: 5-teri turi;5-teri turi|adliya|erkak|erkak sudya|erkak sudya: 5-teri turi|kishi|tarozi
	👨🏿‍⚖️;erkak sudya: 6-teri turi;6-teri turi|adliya|erkak|erkak sudya|erkak sudya: 6-teri turi|kishi|tarozi
👩‍⚖️;ayol sudya;ayol|sudya|tarozi|xotin
	👩🏻‍⚖️;ayol sudya: 1–2-teri turi;1–2-teri turi|ayol|ayol sudya: 1–2-teri turi|sudya|tarozi|xotin
	👩🏼‍⚖️;ayol sudya: 3-teri turi;3-teri turi|ayol|ayol sudya: 3-teri turi|sudya|tarozi|xotin
	👩🏽‍⚖️;ayol sudya: 4-teri turi;4-teri turi|ayol|ayol sudya: 4-teri turi|sudya|tarozi|xotin
	👩🏾‍⚖️;ayol sudya: 5-teri turi;5-teri turi|ayol|ayol sudya: 5-teri turi|sudya|tarozi|xotin
	👩🏿‍⚖️;ayol sudya: 6-teri turi;6-teri turi|ayol|ayol sudya: 6-teri turi|sudya|tarozi|xotin
🧑‍🌾;fermer;bogʻbon|dehqon|fermer
	🧑🏻‍🌾;fermer: 1–2-teri turi;1–2-teri turi|bogʻbon|dehqon|fermer|fermer: 1–2-teri turi
	🧑🏼‍🌾;fermer: 3-teri turi;3-teri turi|bogʻbon|dehqon|fermer|fermer: 3-teri turi
	🧑🏽‍🌾;fermer: 4-teri turi;4-teri turi|bogʻbon|dehqon|fermer|fermer: 4-teri turi
	🧑🏾‍🌾;fermer: 5-teri turi;5-teri turi|bogʻbon|dehqon|fermer|fermer: 5-teri turi
	🧑🏿‍🌾;fermer: 6-teri turi;6-teri turi|bogʻbon|dehqon|fermer|fermer: 6-teri turi
👨‍🌾;erkak fermer;bog‘bon|erkak|fermer|rancho egasi
	👨🏻‍🌾;erkak fermer: 1–2-teri turi;1–2-teri turi|bog‘bon|erkak|erkak fermer: 1–2-teri turi|fermer|rancho egasi
	👨🏼‍🌾;erkak fermer: 3-teri turi;3-teri turi|bog‘bon|erkak|erkak fermer: 3-teri turi|fermer|rancho egasi
	👨🏽‍🌾;erkak fermer: 4-teri turi;4-teri turi|bog‘bon|erkak|erkak fermer: 4-teri turi|fermer|rancho egasi
	👨🏾‍🌾;erkak fermer: 5-teri turi;5-teri turi|bog‘bon|erkak|erkak fermer: 5-teri turi|fermer|rancho egasi
	👨🏿‍🌾;erkak fermer: 6-teri turi;6-teri turi|bog‘bon|erkak|erkak fermer: 6-teri turi|fermer|rancho egasi
👩‍🌾;ayol fermer;ayol|bog‘bon|fermer|rancho egasi
	👩🏻‍🌾;ayol fermer: 1–2-teri turi;1–2-teri turi|ayol|ayol fermer: 1–2-teri turi|bog‘bon|fermer|rancho egasi
	👩🏼‍🌾;ayol fermer: 3-teri turi;3-teri turi|ayol|ayol fermer: 3-teri turi|bog‘bon|fermer|rancho egasi
	👩🏽‍🌾;ayol fermer: 4-teri turi;4-teri turi|ayol|ayol fermer: 4-teri turi|bog‘bon|fermer|rancho egasi
	👩🏾‍🌾;ayol fermer: 5-teri turi;5-teri turi|ayol|ayol fermer: 5-teri turi|bog‘bon|fermer|rancho egasi
	👩🏿‍🌾;ayol fermer: 6-teri turi;6-teri turi|ayol|ayol fermer: 6-teri turi|bog‘bon|fermer|rancho egasi
🧑‍🍳;oshpaz;bosh oshpaz|oshpaz
	🧑🏻‍🍳;oshpaz: 1–2-teri turi;1–2-teri turi|bosh oshpaz|oshpaz|oshpaz: 1–2-teri turi
	🧑🏼‍🍳;oshpaz: 3-teri turi;3-teri turi|bosh oshpaz|oshpaz|oshpaz: 3-teri turi
	🧑🏽‍🍳;oshpaz: 4-teri turi;4-teri turi|bosh oshpaz|oshpaz|oshpaz: 4-teri turi
	🧑🏾‍🍳;oshpaz: 5-teri turi;5-teri turi|bosh oshpaz|oshpaz|oshpaz: 5-teri turi
	🧑🏿‍🍳;oshpaz: 6-teri turi;6-teri turi|bosh oshpaz|oshpaz|oshpaz: 6-teri turi
👨‍🍳;erkak oshpaz;bosh oshpaz|erkak|kishi|oshpaz
	👨🏻‍🍳;erkak oshpaz: 1–2-teri turi;1–2-teri turi|bosh oshpaz|erkak|erkak oshpaz: 1–2-teri turi|kishi|oshpaz
	👨🏼‍🍳;erkak oshpaz: 3-teri turi;3-teri turi|bosh oshpaz|erkak|erkak oshpaz: 3-teri turi|kishi|oshpaz
	👨🏽‍🍳;erkak oshpaz: 4-teri turi;4-teri turi|bosh oshpaz|erkak|erkak oshpaz: 4-teri turi|kishi|oshpaz
	👨🏾‍🍳;erkak oshpaz: 5-teri turi;5-teri turi|bosh oshpaz|erkak|erkak oshpaz: 5-teri turi|kishi|oshpaz
	👨🏿‍🍳;erkak oshpaz: 6-teri turi;6-teri turi|bosh oshpaz|erkak|erkak oshpaz: 6-teri turi|kishi|oshpaz
👩‍🍳;ayol oshpaz;ayol|bosh oshpaz|oshpaz|xotin
	👩🏻‍🍳;ayol oshpaz: 1–2-teri turi;1–2-teri turi|ayol|ayol oshpaz: 1–2-teri turi|bosh oshpaz|oshpaz|xotin
	👩🏼‍🍳;ayol oshpaz: 3-teri turi;3-teri turi|ayol|ayol oshpaz: 3-teri turi|bosh oshpaz|oshpaz|xotin
	👩🏽‍🍳;ayol oshpaz: 4-teri turi;4-teri turi|ayol|ayol oshpaz: 4-teri turi|bosh oshpaz|oshpaz|xotin
	👩🏾‍🍳;ayol oshpaz: 5-teri turi;5-teri turi|ayol|ayol oshpaz: 5-teri turi|bosh oshpaz|oshpaz|xotin
	👩🏿‍🍳;ayol oshpaz: 6-teri turi;6-teri turi|ayol|ayol oshpaz: 6-teri turi|bosh oshpaz|oshpaz|xotin
🧑‍🔧;mexanik;chilangar|elektrik|mexanik|santexnik|sotuvchi
	🧑🏻‍🔧;mexanik: 1–2-teri turi;1–2-teri turi|chilangar|elektrik|mexanik|mexanik: 1–2-teri turi|santexnik|sotuvchi
	🧑🏼‍🔧;mexanik: 3-teri turi;3-teri turi|chilangar|elektrik|mexanik|mexanik: 3-teri turi|santexnik|sotuvchi
	🧑🏽‍🔧;mexanik: 4-teri turi;4-teri turi|chilangar|elektrik|mexanik|mexanik: 4-teri turi|santexnik|sotuvchi
	🧑🏾‍🔧;mexanik: 5-teri turi;5-teri turi|chilangar|elektrik|mexanik|mexanik: 5-teri turi|santexnik|sotuvchi
	🧑🏿‍🔧;mexanik: 6-teri turi;6-teri turi|chilangar|elektrik|mexanik|mexanik: 6-teri turi|santexnik|sotuvchi
👨‍🔧;erkak mexanik;elektrik|erkak mexanik|hunarmand|mexanik|santexnik
	👨🏻‍🔧;erkak mexanik: 1–2-teri turi;1–2-teri turi|elektrik|erkak mexanik|erkak mexanik: 1–2-teri turi|hunarmand|mexanik|santexnik
	👨🏼‍🔧;erkak mexanik: 3-teri turi;3-teri turi|elektrik|erkak mexanik|erkak mexanik: 3-teri turi|hunarmand|mexanik|santexnik
	👨🏽‍🔧;erkak mexanik: 4-teri turi;4-teri turi|elektrik|erkak mexanik|erkak mexanik: 4-teri turi|hunarmand|mexanik|santexnik
	👨🏾‍🔧;erkak mexanik: 5-teri turi;5-teri turi|elektrik|erkak mexanik|erkak mexanik: 5-teri turi|hunarmand|mexanik|santexnik
	👨🏿‍🔧;erkak mexanik: 6-teri turi;6-teri turi|elektrik|erkak mexanik|erkak mexanik: 6-teri turi|hunarmand|mexanik|santexnik
👩‍🔧;ayol mexanik;ayol|elektrik|hunarmand|mexanik|santexnik
	👩🏻‍🔧;ayol mexanik: 1–2-teri turi;1–2-teri turi|ayol|ayol mexanik: 1–2-teri turi|elektrik|hunarmand|mexanik|santexnik
	👩🏼‍🔧;ayol mexanik: 3-teri turi;3-teri turi|ayol|ayol mexanik: 3-teri turi|elektrik|hunarmand|mexanik|santexnik
	👩🏽‍🔧;ayol mexanik: 4-teri turi;4-teri turi|ayol|ayol mexanik: 4-teri turi|elektrik|hunarmand|mexanik|santexnik
	👩🏾‍🔧;ayol mexanik: 5-teri turi;5-teri turi|ayol|ayol mexanik: 5-teri turi|elektrik|hunarmand|mexanik|santexnik
	👩🏿‍🔧;ayol mexanik: 6-teri turi;6-teri turi|ayol|ayol mexanik: 6-teri turi|elektrik|hunarmand|mexanik|santexnik
🧑‍🏭;zavod ishchisi;ishchi|montaj|sanoat|yigʻish|zavod|zavod ishchisi
	🧑🏻‍🏭;zavod ishchisi: 1–2-teri turi;1–2-teri turi|ishchi|montaj|sanoat|yigʻish|zavod|zavod ishchisi|zavod ishchisi: 1–2-teri turi
	🧑🏼‍🏭;zavod ishchisi: 3-teri turi;3-teri turi|ishchi|montaj|sanoat|yigʻish|zavod|zavod ishchisi|zavod ishchisi: 3-teri turi
	🧑🏽‍🏭;zavod ishchisi: 4-teri turi;4-teri turi|ishchi|montaj|sanoat|yigʻish|zavod|zavod ishchisi|zavod ishchisi: 4-teri turi
	🧑🏾‍🏭;zavod ishchisi: 5-teri turi;5-teri turi|ishchi|montaj|sanoat|yigʻish|zavod|zavod ishchisi|zavod ishchisi: 5-teri turi
	🧑🏿‍🏭;zavod ishchisi: 6-teri turi;6-teri turi|ishchi|montaj|sanoat|yigʻish|zavod|zavod ishchisi|zavod ishchisi: 6-teri turi
👨‍🏭;erkak zavod ishchisi;erkak|erkak zavod ishchisi|ishchi|sanoat|yigʻuv|zavod
	👨🏻‍🏭;erkak zavod ishchisi: 1–2-teri turi;1–2-teri turi|erkak|erkak zavod ishchisi|erkak zavod ishchisi: 1–2-teri turi|ishchi|sanoat|yigʻuv|zavod
	👨🏼‍🏭;erkak zavod ishchisi: 3-teri turi;3-teri turi|erkak|erkak zavod ishchisi|erkak zavod ishchisi: 3-teri turi|ishchi|sanoat|yigʻuv|zavod
	👨🏽‍🏭;erkak zavod ishchisi: 4-teri turi;4-teri turi|erkak|erkak zavod ishchisi|erkak zavod ishchisi: 4-teri turi|ishchi|sanoat|yigʻuv|zavod
	👨🏾‍🏭;erkak zavod ishchisi: 5-teri turi;5-teri turi|erkak|erkak zavod ishchisi|erkak zavod ishchisi: 5-teri turi|ishchi|sanoat|yigʻuv|zavod
	👨🏿‍🏭;erkak zavod ishchisi: 6-teri turi;6-teri turi|erkak|erkak zavod ishchisi|erkak zavod ishchisi: 6-teri turi|ishchi|sanoat|yigʻuv|zavod
👩‍🏭;ayol zavod ishchisi;ayol|ayol zavod ishchisi|ishchi|sanoat|yigʻuv|zavod
	👩🏻‍🏭;ayol zavod ishchisi: 1–2-teri turi;1–2-teri turi|ayol|ayol zavod ishchisi|ayol zavod ishchisi: 1–2-teri turi|ishchi|sanoat|yigʻuv|zavod
	👩🏼‍🏭;ayol zavod ishchisi: 3-teri turi;3-teri turi|ayol|ayol zavod ishchisi|ayol zavod ishchisi: 3-teri turi|ishchi|sanoat|yigʻuv|zavod
	👩🏽‍🏭;ayol zavod ishchisi: 4-teri turi;4-teri turi|ayol|ayol zavod ishchisi|ayol zavod ishchisi: 4-teri turi|ishchi|sanoat|yigʻuv|zavod
	👩🏾‍🏭;ayol zavod ishchisi: 5-teri turi;5-teri turi|ayol|ayol zavod ishchisi|ayol zavod ishchisi: 5-teri turi|ishchi|sanoat|yigʻuv|zavod
	👩🏿‍🏭;ayol zavod ishchisi: 6-teri turi;6-teri turi|ayol|ayol zavod ishchisi|ayol zavod ishchisi: 6-teri turi|ishchi|sanoat|yigʻuv|zavod
🧑‍💼;ofis xodimi;arxitektor|biznes|menejer|ofis ishchisi|ofis xodimi
	🧑🏻‍💼;ofis xodimi: 1–2-teri turi;1–2-teri turi|arxitektor|biznes|menejer|ofis ishchisi|ofis xodimi|ofis xodimi: 1–2-teri turi
	🧑🏼‍💼;ofis xodimi: 3-teri turi;3-teri turi|arxitektor|biznes|menejer|ofis ishchisi|ofis xodimi|ofis xodimi: 3-teri turi
	🧑🏽‍💼;ofis xodimi: 4-teri turi;4-teri turi|arxitektor|biznes|menejer|ofis ishchisi|ofis xodimi|ofis xodimi: 4-teri turi
	🧑🏾‍💼;ofis xodimi: 5-teri turi;5-teri turi|arxitektor|biznes|menejer|ofis ishchisi|ofis xodimi|ofis xodimi: 5-teri turi
	🧑🏿‍💼;ofis xodimi: 6-teri turi;6-teri turi|arxitektor|biznes|menejer|ofis ishchisi|ofis xodimi|ofis xodimi: 6-teri turi
👨‍💼;erkak ofis xodimi;arxitektor|biznes|erkak ofis xodimi|menejer|ofis
	👨🏻‍💼;erkak ofis xodimi: 1–2-teri turi;1–2-teri turi|arxitektor|biznes|erkak ofis xodimi|erkak ofis xodimi: 1–2-teri turi|menejer|ofis
	👨🏼‍💼;erkak ofis xodimi: 3-teri turi;3-teri turi|arxitektor|biznes|erkak ofis xodimi|erkak ofis xodimi: 3-teri turi|menejer|ofis
	👨🏽‍💼;erkak ofis xodimi: 4-teri turi;4-teri turi|arxitektor|biznes|erkak ofis xodimi|erkak ofis xodimi: 4-teri turi|menejer|ofis
	👨🏾‍💼;erkak ofis xodimi: 5-teri turi;5-teri turi|arxitektor|biznes|erkak ofis xodimi|erkak ofis xodimi: 5-teri turi|menejer|ofis
	👨🏿‍💼;erkak ofis xodimi: 6-teri turi;6-teri turi|arxitektor|biznes|erkak ofis xodimi|erkak ofis xodimi: 6-teri turi|menejer|ofis
👩‍💼;ayol ofis xodimi;arxitektor|ayol ofis xodimi|biznes|menejer|ofis
	👩🏻‍💼;ayol ofis xodimi: 1–2-teri turi;1–2-teri turi|arxitektor|ayol ofis xodimi|ayol ofis xodimi: 1–2-teri turi|biznes|menejer|ofis
	👩🏼‍💼;ayol ofis xodimi: 3-teri turi;3-teri turi|arxitektor|ayol ofis xodimi|ayol ofis xodimi: 3-teri turi|biznes|menejer|ofis
	👩🏽‍💼;ayol ofis xodimi: 4-teri turi;4-teri turi|arxitektor|ayol ofis xodimi|ayol ofis xodimi: 4-teri turi|biznes|menejer|ofis
	👩🏾‍💼;ayol ofis xodimi: 5-teri turi;5-teri turi|arxitektor|ayol ofis xodimi|ayol ofis xodimi: 5-teri turi|biznes|menejer|ofis
	👩🏿‍💼;ayol ofis xodimi: 6-teri turi;6-teri turi|arxitektor|ayol ofis xodimi|ayol ofis xodimi: 6-teri turi|biznes|menejer|ofis
🧑‍🔬;olim;biolog|fizik|injener|muhandis|olim|ximik
	🧑🏻‍🔬;olim: 1–2-teri turi;1–2-teri turi|biolog|fizik|injener|muhandis|olim|olim: 1–2-teri turi|ximik
	🧑🏼‍🔬;olim: 3-teri turi;3-teri turi|biolog|fizik|injener|muhandis|olim|olim: 3-teri turi|ximik
	🧑🏽‍🔬;olim: 4-teri turi;4-teri turi|biolog|fizik|injener|muhandis|olim|olim: 4-teri turi|ximik
	🧑🏾‍🔬;olim: 5-teri turi;5-teri turi|biolog|fizik|injener|muhandis|olim|olim: 5-teri turi|ximik
	🧑🏿‍🔬;olim: 6-teri turi;6-teri turi|biolog|fizik|injener|muhandis|olim|olim: 6-teri turi|ximik
👨‍🔬;erkak olim;biolog|erkak|kimyogar|muhandis|olim
	👨🏻‍🔬;erkak olim: 1–2-teri turi;1–2-teri turi|biolog|erkak|erkak olim: 1–2-teri turi|kimyogar|muhandis|olim
	👨🏼‍🔬;erkak olim: 3-teri turi;3-teri turi|biolog|erkak|erkak olim: 3-teri turi|kimyogar|muhandis|olim
	👨🏽‍🔬;erkak olim: 4-teri turi;4-teri turi|biolog|erkak|erkak olim: 4-teri turi|kimyogar|muhandis|olim
	👨🏾‍🔬;erkak olim: 5-teri turi;5-teri turi|biolog|erkak|erkak olim: 5-teri turi|kimyogar|muhandis|olim
	👨🏿‍🔬;erkak olim: 6-teri turi;6-teri turi|biolog|erkak|erkak olim: 6-teri turi|kimyogar|muhandis|olim
👩‍🔬;ayol olim;ayol|ayol olim|biolog|kimyogar|muhandis|olima
	👩🏻‍🔬;ayol olim: 1–2-teri turi;1–2-teri turi|ayol|ayol olim|ayol olim: 1–2-teri turi|biolog|kimyogar|muhandis|olima
	👩🏼‍🔬;ayol olim: 3-teri turi;3-teri turi|ayol|ayol olim|ayol olim: 3-teri turi|biolog|kimyogar|muhandis|olima
	👩🏽‍🔬;ayol olim: 4-teri turi;4-teri turi|ayol|ayol olim|ayol olim: 4-teri turi|biolog|kimyogar|muhandis|olima
	👩🏾‍🔬;ayol olim: 5-teri turi;5-teri turi|ayol|ayol olim|ayol olim: 5-teri turi|biolog|kimyogar|muhandis|olima
	👩🏿‍🔬;ayol olim: 6-teri turi;6-teri turi|ayol|ayol olim|ayol olim: 6-teri turi|biolog|kimyogar|muhandis|olima
🧑‍💻;texnolog;dastur|dasturchi|ishlab chiquvchi|ixtirochi|koder|texnolog
	🧑🏻‍💻;texnolog: 1–2-teri turi;1–2-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|koder|texnolog|texnolog: 1–2-teri turi
	🧑🏼‍💻;texnolog: 3-teri turi;3-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|koder|texnolog|texnolog: 3-teri turi
	🧑🏽‍💻;texnolog: 4-teri turi;4-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|koder|texnolog|texnolog: 4-teri turi
	🧑🏾‍💻;texnolog: 5-teri turi;5-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|koder|texnolog|texnolog: 5-teri turi
	🧑🏿‍💻;texnolog: 6-teri turi;6-teri turi|dastur|dasturchi|ishlab chiquvchi|ixtirochi|koder|texnolog|texnolog: 6-teri turi
👨‍💻;erkak texnolog;dastur|dasturchi|erkak|ishlab chiquvchi|ixtirochi|texnolog
