[smileys_emotion]
😀;glottandi andlit;andlit|glott|glottandi andlit
🙍‍♀️;kona með skeifu;fýla|kona|kona með skeifu|leið|skeifa
	🙍🏻‍♀️;kona með skeifu: ljós húðlitur;fýla|kona|kona með skeifu|kona með skeifu: ljós húðlitur|leið|ljós húðlitur|skeifa
	🙍🏼‍♀️;kona með skeifu: meðalljós húðlitur;fýla|kona|kona með skeifu|kona með skeifu: meðalljós húðlitur|leið|meðalljós húðlitur|skeifa
	🙍🏽‍♀️;kona með skeifu: millihúðlitur;fýla|kona|kona með skeifu|kona með skeifu: millihúðlitur|leið|millihúðlitur|skeifa
	🙍🏾‍♀️;kona með skeifu: meðaldökkur húðlitur;fýla|kona|kona með skeifu|kona með skeifu: meðaldökkur húðlitur|leið|meðaldökkur húðlitur|skeifa
	🙍🏿‍♀️;kona með skeifu: dökkur húðlitur;dökkur húðlitur|fýla|kona|kona með skeifu|kona með skeifu: dökkur húðlitur|leið|skeifa
🙎;manneskja í fýlu;fýlusvipur|manneskja í fýlu
	🙎🏻;manneskja í fýlu: ljós húðlitur;fýlusvipur|ljós húðlitur|manneskja í fýlu|manneskja í fýlu: ljós húðlitur
	🙎🏼;manneskja í fýlu: meðalljós húðlitur;fýlusvipur|manneskja í fýlu|manneskja í fýlu: meðalljós húðlitur|meðalljós húðlitur
	🙎🏽;manneskja í fýlu: millihúðlitur;fýlusvipur|manneskja í fýlu|manneskja í fýlu: millihúðlitur|millihúðlitur
	🙎🏾;manneskja í fýlu: meðaldökkur húðlitur;fýlusvipur|manneskja í fýlu|manneskja í fýlu: meðaldökkur húðlitur|meðaldökkur húðlitur
	🙎🏿;manneskja í fýlu: dökkur húðlitur;dökkur húðlitur|fýlusvipur|manneskja í fýlu|manneskja í fýlu: dökkur húðlitur
🙎‍♂️;maður í fýlu;fýla|fýlusvipur|karl|maður í fýlu|súr
	🙎🏻‍♂️;maður í fýlu: ljós húðlitur;fýla|fýlusvipur|karl|ljós húðlitur|maður í fýlu|maður í fýlu: ljós húðlitur|súr
	🙎🏼‍♂️;maður í fýlu: meðalljós húðlitur;fýla|fýlusvipur|karl|maður í fýlu|maður í fýlu: meðalljós húðlitur|meðalljós húðlitur|súr
	🙎🏽‍♂️;maður í fýlu: millihúðlitur;fýla|fýlusvipur|karl|maður í fýlu|maður í fýlu: millihúðlitur|millihúðlitur|súr
	🙎🏾‍♂️;maður í fýlu: meðaldökkur húðlitur;fýla|fýlusvipur|karl|maður í fýlu|maður í fýlu: meðaldökkur húðlitur|meðaldökkur húðlitur|súr
	🙎🏿‍♂️;maður í fýlu: dökkur húðlitur;dökkur húðlitur|fýla|fýlusvipur|karl|maður í fýlu|maður í fýlu: dökkur húðlitur|súr
🙎‍♀️;kona í fýlu;fýla|fýlusvipur|kona|kona í fýlu|súr
	🙎🏻‍♀️;kona í fýlu: ljós húðlitur;fýla|fýlusvipur|kona|kona í fýlu|kona í fýlu: ljós húðlitur|ljós húðlitur|súr
	🙎🏼‍♀️;kona í fýlu: meðalljós húðlitur;fýla|fýlusvipur|kona|kona í fýlu|kona í fýlu: meðalljós húðlitur|meðalljós húðlitur|súr
	🙎🏽‍♀️;kona í fýlu: millihúðlitur;fýla|fýlusvipur|kona|kona í fýlu|kona í fýlu: millihúðlitur|millihúðlitur|súr
	🙎🏾‍♀️;kona í fýlu: meðaldökkur húðlitur;fýla|fýlusvipur|kona|kona í fýlu|kona í fýlu: meðaldökkur húðlitur|meðaldökkur húðlitur|súr
	🙎🏿‍♀️;kona í fýlu: dökkur húðlitur;dökkur húðlitur|fýla|fýlusvipur|kona|kona í fýlu|kona í fýlu: dökkur húðlitur|súr
🙅;ekki gott;bannað|ekki gott|hendur í kross
	🙅🏻;ekki gott: ljós húðlitur;bannað|ekki gott|ekki gott: ljós húðlitur|hendur í kross|ljós húðlitur
	🙅🏼;ekki gott: meðalljós húðlitur;bannað|ekki gott|ekki gott: meðalljós húðlitur|hendur í kross|meðalljós húðlitur
	🙅🏽;ekki gott: millihúðlitur;bannað|ekki gott|ekki gott: millihúðlitur|hendur í kross|millihúðlitur
	🙅🏾;ekki gott: meðaldökkur húðlitur;bannað|ekki gott|ekki gott: meðaldökkur húðlitur|hendur í kross|meðaldökkur húðlitur
	🙅🏿;ekki gott: dökkur húðlitur;bannað|dökkur húðlitur|ekki gott|ekki gott: dökkur húðlitur|hendur í kross
🙅‍♂️;maður segir ekki í lagi;bannað|ekki|karl|maður segir ekki í lagi|nei
	🙅🏻‍♂️;maður segir ekki í lagi: ljós húðlitur;bannað|ekki|karl|ljós húðlitur|maður segir ekki í lagi|maður segir ekki í lagi: ljós húðlitur|nei
	🙅🏼‍♂️;maður segir ekki í lagi: meðalljós húðlitur;bannað|ekki|karl|maður segir ekki í lagi|maður segir ekki í lagi: meðalljós húðlitur|meðalljós húðlitur|nei
	🙅🏽‍♂️;maður segir ekki í lagi: millihúðlitur;bannað|ekki|karl|maður segir ekki í lagi|maður segir ekki í lagi: millihúðlitur|millihúðlitur|nei
	🙅🏾‍♂️;maður segir ekki í lagi: meðaldökkur húðlitur;bannað|ekki|karl|maður segir ekki í lagi|maður segir ekki í lagi: meðaldökkur húðlitur|meðaldökkur húðlitur|nei
	🙅🏿‍♂️;maður segir ekki í lagi: dökkur húðlitur;bannað|dökkur húðlitur|ekki|karl|maður segir ekki í lagi|maður segir ekki í lagi: dökkur húðlitur|nei
🙅‍♀️;kona segir ekki í lagi;bannað|ekki|kona|kona segir ekki í lagi|nei
	🙅🏻‍♀️;kona segir ekki í lagi: ljós húðlitur;bannað|ekki|kona|kona segir ekki í lagi|kona segir ekki í lagi: ljós húðlitur|ljós húðlitur|nei
	🙅🏼‍♀️;kona segir ekki í lagi: meðalljós húðlitur;bannað|ekki|kona|kona segir ekki í lagi|kona segir ekki í lagi: meðalljós húðlitur|meðalljós húðlitur|nei
	🙅🏽‍♀️;kona segir ekki í lagi: millihúðlitur;bannað|ekki|kona|kona segir ekki í lagi|kona segir ekki í lagi: millihúðlitur|millihúðlitur|nei
	🙅🏾‍♀️;kona segir ekki í lagi: meðaldökkur húðlitur;bannað|ekki|kona|kona segir ekki í lagi|kona segir ekki í lagi: meðaldökkur húðlitur|meðaldökkur húðlitur|nei
	🙅🏿‍♀️;kona segir ekki í lagi: dökkur húðlitur;bannað|dökkur húðlitur|ekki|kona|kona segir ekki í lagi|kona segir ekki í lagi: dökkur húðlitur|nei
🙆;allt í lagi;allt í lagi|í lagi
	🙆🏻;allt í lagi: ljós húðlitur;allt í lagi|allt í lagi: ljós húðlitur|í lagi|ljós húðlitur
	🙆🏼;allt í lagi: meðalljós húðlitur;allt í lagi|allt í lagi: meðalljós húðlitur|í lagi|meðalljós húðlitur
	🙆🏽;allt í lagi: millihúðlitur;allt í lagi|allt í lagi: millihúðlitur|í lagi|millihúðlitur
	🙆🏾;allt í lagi: meðaldökkur húðlitur;allt í lagi|allt í lagi: meðaldökkur húðlitur|í lagi|meðaldökkur húðlitur
	🙆🏿;allt í lagi: dökkur húðlitur;allt í lagi|allt í lagi: dökkur húðlitur|dökkur húðlitur|í lagi
🙆‍♂️;maður segir allt í lagi;í lagi|já|karl|maður segir allt í lagi|ókei
	🙆🏻‍♂️;maður segir allt í lagi: ljós húðlitur;í lagi|já|karl|ljós húðlitur|maður segir allt í lagi|maður segir allt í lagi: ljós húðlitur|ókei
	🙆🏼‍♂️;maður segir allt í lagi: meðalljós húðlitur;í lagi|já|karl|maður segir allt í lagi|maður segir allt í lagi: meðalljós húðlitur|meðalljós húðlitur|ókei
	🙆🏽‍♂️;maður segir allt í lagi: millihúðlitur;í lagi|já|karl|maður segir allt í lagi|maður segir allt í lagi: millihúðlitur|millihúðlitur|ókei
	🙆🏾‍♂️;maður segir allt í lagi: meðaldökkur húðlitur;í lagi|já|karl|maður segir allt í lagi|maður segir allt í lagi: meðaldökkur húðlitur|meðaldökkur húðlitur|ókei
	🙆🏿‍♂️;maður segir allt í lagi: dökkur húðlitur;dökkur húðlitur|í lagi|já|karl|maður segir allt í lagi|maður segir allt í lagi: dökkur húðlitur|ókei
🙆‍♀️;kona segir allt í lagi;í lagi|já|kona|kona segir allt í lagi|ókei
	🙆🏻‍♀️;kona segir allt í lagi: ljós húðlitur;í lagi|já|kona|kona segir allt í lagi|kona segir allt í lagi: ljós húðlitur|ljós húðlitur|ókei
	🙆🏼‍♀️;kona segir allt í lagi: meðalljós húðlitur;í lagi|já|kona|kona segir allt í lagi|kona segir allt í lagi: meðalljós húðlitur|meðalljós húðlitur|ókei
	🙆🏽‍♀️;kona segir allt í lagi: millihúðlitur;í lagi|já|kona|kona segir allt í lagi|kona segir allt í lagi: millihúðlitur|millihúðlitur|ókei
	🙆🏾‍♀️;kona segir allt í lagi: meðaldökkur húðlitur;í lagi|já|kona|kona segir allt í lagi|kona segir allt í lagi: meðaldökkur húðlitur|meðaldökkur húðlitur|ókei
	🙆🏿‍♀️;kona segir allt í lagi: dökkur húðlitur;dökkur húðlitur|í lagi|já|kona|kona segir allt í lagi|kona segir allt í lagi: dökkur húðlitur|ókei
💁;upplýsingaborð;aðstoð|fólk|hjálp|upplýsingaborð|upplýsingar
	💁🏻;upplýsingaborð: ljós húðlitur;aðstoð|fólk|hjálp|ljós húðlitur|upplýsingaborð|upplýsingaborð: ljós húðlitur|upplýsingar
	💁🏼;upplýsingaborð: meðalljós húðlitur;aðstoð|fólk|hjálp|meðalljós húðlitur|upplýsingaborð|upplýsingaborð: meðalljós húðlitur|upplýsingar
	💁🏽;upplýsingaborð: millihúðlitur;aðstoð|fólk|hjálp|millihúðlitur|upplýsingaborð|upplýsingaborð: millihúðlitur|upplýsingar
	💁🏾;upplýsingaborð: meðaldökkur húðlitur;aðstoð|fólk|hjálp|meðaldökkur húðlitur|upplýsingaborð|upplýsingaborð: meðaldökkur húðlitur|upplýsingar
	💁🏿;upplýsingaborð: dökkur húðlitur;aðstoð|dökkur húðlitur|fólk|hjálp|upplýsingaborð|upplýsingaborð: dökkur húðlitur|upplýsingar
💁‍♂️;maður réttir út lófa;karl|léttur|lófi|maður réttir út lófa
	💁🏻‍♂️;maður réttir út lófa: ljós húðlitur;karl|léttur|ljós húðlitur|lófi|maður réttir út lófa|maður réttir út lófa: ljós húðlitur
	💁🏼‍♂️;maður réttir út lófa: meðalljós húðlitur;karl|léttur|lófi|maður réttir út lófa|maður réttir út lófa: meðalljós húðlitur|meðalljós húðlitur
	💁🏽‍♂️;maður réttir út lófa: millihúðlitur;karl|léttur|lófi|maður réttir út lófa|maður réttir út lófa: millihúðlitur|millihúðlitur
	💁🏾‍♂️;maður réttir út lófa: meðaldökkur húðlitur;karl|léttur|lófi|maður réttir út lófa|maður réttir út lófa: meðaldökkur húðlitur|meðaldökkur húðlitur
	💁🏿‍♂️;maður réttir út lófa: dökkur húðlitur;dökkur húðlitur|karl|léttur|lófi|maður réttir út lófa|maður réttir út lófa: dökkur húðlitur
💁‍♀️;kona réttir út lófa;kona|kona réttir út lófa|létt|lófi
	💁🏻‍♀️;kona réttir út lófa: ljós húðlitur;kona|kona réttir út lófa|kona réttir út lófa: ljós húðlitur|létt|ljós húðlitur|lófi
	💁🏼‍♀️;kona réttir út lófa: meðalljós húðlitur;kona|kona réttir út lófa|kona réttir út lófa: meðalljós húðlitur|létt|lófi|meðalljós húðlitur
	💁🏽‍♀️;kona réttir út lófa: millihúðlitur;kona|kona réttir út lófa|kona réttir út lófa: millihúðlitur|létt|lófi|millihúðlitur
	💁🏾‍♀️;kona réttir út lófa: meðaldökkur húðlitur;kona|kona réttir út lófa|kona réttir út lófa: meðaldökkur húðlitur|létt|lófi|meðaldökkur húðlitur
	💁🏿‍♀️;kona réttir út lófa: dökkur húðlitur;dökkur húðlitur|kona|kona réttir út lófa|kona réttir út lófa: dökkur húðlitur|létt|lófi
🙋;gleði;gleði|önnur hönd|upprétt hönd
	🙋🏻;gleði: ljós húðlitur;gleði|gleði: ljós húðlitur|ljós húðlitur|önnur hönd|upprétt hönd
	🙋🏼;gleði: meðalljós húðlitur;gleði|gleði: meðalljós húðlitur|meðalljós húðlitur|önnur hönd|upprétt hönd
	🙋🏽;gleði: millihúðlitur;gleði|gleði: millihúðlitur|millihúðlitur|önnur hönd|upprétt hönd
	🙋🏾;gleði: meðaldökkur húðlitur;gleði|gleði: meðaldökkur húðlitur|meðaldökkur húðlitur|önnur hönd|upprétt hönd
	🙋🏿;gleði: dökkur húðlitur;dökkur húðlitur|gleði|gleði: dökkur húðlitur|önnur hönd|upprétt hönd
🙋‍♂️;maður réttir upp hönd;karl|maður réttir upp hönd|rétta upp hönd|upprétt hönd
	🙋🏻‍♂️;maður réttir upp hönd: ljós húðlitur;karl|ljós húðlitur|maður réttir upp hönd|maður réttir upp hönd: ljós húðlitur|rétta upp hönd|upprétt hönd
	🙋🏼‍♂️;maður réttir upp hönd: meðalljós húðlitur;karl|maður réttir upp hönd|maður réttir upp hönd: meðalljós húðlitur|meðalljós húðlitur|rétta upp hönd|upprétt hönd
	🙋🏽‍♂️;maður réttir upp hönd: millihúðlitur;karl|maður réttir upp hönd|maður réttir upp hönd: millihúðlitur|millihúðlitur|rétta upp hönd|upprétt hönd
	🙋🏾‍♂️;maður réttir upp hönd: meðaldökkur húðlitur;karl|maður réttir upp hönd|maður réttir upp hönd: meðaldökkur húðlitur|meðaldökkur húðlitur|rétta upp hönd|upprétt hönd
	🙋🏿‍♂️;maður réttir upp hönd: dökkur húðlitur;dökkur húðlitur|karl|maður réttir upp hönd|maður réttir upp hönd: dökkur húðlitur|rétta upp hönd|upprétt hönd
🙋‍♀️;kona réttir upp hönd;kona|kona réttir upp hönd|rétta upp hönd|upprétt hönd
	🙋🏻‍♀️;kona réttir upp hönd: ljós húðlitur;kona|kona réttir upp hönd|kona réttir upp hönd: ljós húðlitur|ljós húðlitur|rétta upp hönd|upprétt hönd
	🙋🏼‍♀️;kona réttir upp hönd: meðalljós húðlitur;kona|kona réttir upp hönd|kona réttir upp hönd: meðalljós húðlitur|meðalljós húðlitur|rétta upp hönd|upprétt hönd
	🙋🏽‍♀️;kona réttir upp hönd: millihúðlitur;kona|kona réttir upp hönd|kona réttir upp hönd: millihúðlitur|millihúðlitur|rétta upp hönd|upprétt hönd
	🙋🏾‍♀️;kona réttir upp hönd: meðaldökkur húðlitur;kona|kona réttir upp hönd|kona réttir upp hönd: meðaldökkur húðlitur|meðaldökkur húðlitur|rétta upp hönd|upprétt hönd
	🙋🏿‍♀️;kona réttir upp hönd: dökkur húðlitur;dökkur húðlitur|kona|kona réttir upp hönd|kona réttir upp hönd: dökkur húðlitur|rétta upp hönd|upprétt hönd
🧏;heyrnarlaus;aðgengi|eyra|heyra|heyrnarlaus
	🧏🏻;heyrnarlaus: ljós húðlitur;aðgengi|eyra|heyra|heyrnarlaus|heyrnarlaus: ljós húðlitur|ljós húðlitur
	🧏🏼;heyrnarlaus: meðalljós húðlitur;aðgengi|eyra|heyra|heyrnarlaus|heyrnarlaus: meðalljós húðlitur|meðalljós húðlitur
	🧏🏽;heyrnarlaus: millihúðlitur;aðgengi|eyra|heyra|heyrnarlaus|heyrnarlaus: millihúðlitur|millihúðlitur
	🧏🏾;heyrnarlaus: meðaldökkur húðlitur;aðgengi|eyra|heyra|heyrnarlaus|heyrnarlaus: meðaldökkur húðlitur|meðaldökkur húðlitur
	🧏🏿;heyrnarlaus: dökkur húðlitur;aðgengi|dökkur húðlitur|eyra|heyra|heyrnarlaus|heyrnarlaus: dökkur húðlitur
🧏‍♂️;heyrnarlaus karl;heyrnarlaus|heyrnarlaus karl|maður
	🧏🏻‍♂️;heyrnarlaus karl: ljós húðlitur;heyrnarlaus|heyrnarlaus karl|heyrnarlaus karl: ljós húðlitur|ljós húðlitur|maður
	🧏🏼‍♂️;heyrnarlaus karl: meðalljós húðlitur;heyrnarlaus|heyrnarlaus karl|heyrnarlaus karl: meðalljós húðlitur|maður|meðalljós húðlitur
	🧏🏽‍♂️;heyrnarlaus karl: millihúðlitur;heyrnarlaus|heyrnarlaus karl|heyrnarlaus karl: millihúðlitur|maður|millihúðlitur
	🧏🏾‍♂️;heyrnarlaus karl: meðaldökkur húðlitur;heyrnarlaus|heyrnarlaus karl|heyrnarlaus karl: meðaldökkur húðlitur|maður|meðaldökkur húðlitur
	🧏🏿‍♂️;heyrnarlaus karl: dökkur húðlitur;dökkur húðlitur|heyrnarlaus|heyrnarlaus karl|heyrnarlaus karl: dökkur húðlitur|maður
🧏‍♀️;heyrnarlaus kona;heyrnarlaus|kona
	🧏🏻‍♀️;heyrnarlaus kona: ljós húðlitur;heyrnarlaus|heyrnarlaus kona: ljós húðlitur|kona|ljós húðlitur
	🧏🏼‍♀️;heyrnarlaus kona: meðalljós húðlitur;heyrnarlaus|heyrnarlaus kona: meðalljós húðlitur|kona|meðalljós húðlitur
	🧏🏽‍♀️;heyrnarlaus kona: millihúðlitur;heyrnarlaus|heyrnarlaus kona: millihúðlitur|kona|millihúðlitur
	🧏🏾‍♀️;heyrnarlaus kona: meðaldökkur húðlitur;heyrnarlaus|heyrnarlaus kona: meðaldökkur húðlitur|kona|meðaldökkur húðlitur
	🧏🏿‍♀️;heyrnarlaus kona: dökkur húðlitur;dökkur húðlitur|heyrnarlaus|heyrnarlaus kona: dökkur húðlitur|kona
🙇;fyrirgefðu;auðmýkt|fyrirgefðu|hneiging|hneigja
	🙇🏻;fyrirgefðu: ljós húðlitur;auðmýkt|fyrirgefðu|fyrirgefðu: ljós húðlitur|hneiging|hneigja|ljós húðlitur
	🙇🏼;fyrirgefðu: meðalljós húðlitur;auðmýkt|fyrirgefðu|fyrirgefðu: meðalljós húðlitur|hneiging|hneigja|meðalljós húðlitur
	🙇🏽;fyrirgefðu: millihúðlitur;auðmýkt|fyrirgefðu|fyrirgefðu: millihúðlitur|hneiging|hneigja|millihúðlitur
	🙇🏾;fyrirgefðu: meðaldökkur húðlitur;auðmýkt|fyrirgefðu|fyrirgefðu: meðaldökkur húðlitur|hneiging|hneigja|meðaldökkur húðlitur
	🙇🏿;fyrirgefðu: dökkur húðlitur;auðmýkt|dökkur húðlitur|fyrirgefðu|fyrirgefðu: dökkur húðlitur|hneiging|hneigja
🙇‍♂️;maður hneigir sig;afsakið|auðmýkt|hneiging|karl|maður hneigir sig
	🙇🏻‍♂️;maður hneigir sig: ljós húðlitur;afsakið|auðmýkt|hneiging|karl|ljós húðlitur|maður hneigir sig|maður hneigir sig: ljós húðlitur
	🙇🏼‍♂️;maður hneigir sig: meðalljós húðlitur;afsakið|auðmýkt|hneiging|karl|maður hneigir sig|maður hneigir sig: meðalljós húðlitur|meðalljós húðlitur
	🙇🏽‍♂️;maður hneigir sig: millihúðlitur;afsakið|auðmýkt|hneiging|karl|maður hneigir sig|maður hneigir sig: millihúðlitur|millihúðlitur
	🙇🏾‍♂️;maður hneigir sig: meðaldökkur húðlitur;afsakið|auðmýkt|hneiging|karl|maður hneigir sig|maður hneigir sig: meðaldökkur húðlitur|meðaldökkur húðlitur
	🙇🏿‍♂️;maður hneigir sig: dökkur húðlitur;afsakið|auðmýkt|dökkur húðlitur|hneiging|karl|maður hneigir sig|maður hneigir sig: dökkur húðlitur
🙇‍♀️;kona hneigir sig;afsakið|auðmýkt|hneiging|kona|kona hneigir sig
	🙇🏻‍♀️;kona hneigir sig: ljós húðlitur;afsakið|auðmýkt|hneiging|kona|kona hneigir sig|kona hneigir sig: ljós húðlitur|ljós húðlitur
	🙇🏼‍♀️;kona hneigir sig: meðalljós húðlitur;afsakið|auðmýkt|hneiging|kona|kona hneigir sig|kona hneigir sig: meðalljós húðlitur|meðalljós húðlitur
	🙇🏽‍♀️;kona hneigir sig: millihúðlitur;afsakið|auðmýkt|hneiging|kona|kona hneigir sig|kona hneigir sig: millihúðlitur|millihúðlitur
	🙇🏾‍♀️;kona hneigir sig: meðaldökkur húðlitur;afsakið|auðmýkt|hneiging|kona|kona hneigir sig|kona hneigir sig: meðaldökkur húðlitur|meðaldökkur húðlitur
	🙇🏿‍♀️;kona hneigir sig: dökkur húðlitur;afsakið|auðmýkt|dökkur húðlitur|hneiging|kona|kona hneigir sig|kona hneigir sig: dökkur húðlitur
🤦;hönd fyrir andlit;andlit|hönd|hönd fyrir andlit|lófi
	🤦🏻;hönd fyrir andlit: ljós húðlitur;andlit|hönd|hönd fyrir andlit|hönd fyrir andlit: ljós húðlitur|ljós húðlitur|lófi
	🤦🏼;hönd fyrir andlit: meðalljós húðlitur;andlit|hönd|hönd fyrir andlit|hönd fyrir andlit: meðalljós húðlitur|lófi|meðalljós húðlitur
	🤦🏽;hönd fyrir andlit: millihúðlitur;andlit|hönd|hönd fyrir andlit|hönd fyrir andlit: millihúðlitur|lófi|millihúðlitur
	🤦🏾;hönd fyrir andlit: meðaldökkur húðlitur;andlit|hönd|hönd fyrir andlit|hönd fyrir andlit: meðaldökkur húðlitur|lófi|meðaldökkur húðlitur
	🤦🏿;hönd fyrir andlit: dökkur húðlitur;andlit|dökkur húðlitur|hönd|hönd fyrir andlit|hönd fyrir andlit: dökkur húðlitur|lófi
🤦‍♂️;maður með hönd fyrir andlit;andlit|hönd|karl|lófi|maður með hönd fyrir andlit
	🤦🏻‍♂️;maður með hönd fyrir andlit: ljós húðlitur;andlit|hönd|karl|ljós húðlitur|lófi|maður með hönd fyrir andlit|maður með hönd fyrir andlit: ljós húðlitur
	🤦🏼‍♂️;maður með hönd fyrir andlit: meðalljós húðlitur;andlit|hönd|karl|lófi|maður með hönd fyrir andlit|maður með hönd fyrir andlit: meðalljós húðlitur|meðalljós húðlitur
	🤦🏽‍♂️;maður með hönd fyrir andlit: millihúðlitur;andlit|hönd|karl|lófi|maður með hönd fyrir andlit|maður með hönd fyrir andlit: millihúðlitur|millihúðlitur
	🤦🏾‍♂️;maður með hönd fyrir andlit: meðaldökkur húðlitur;andlit|hönd|karl|lófi|maður með hönd fyrir andlit|maður með hönd fyrir andlit: meðaldökkur húðlitur|meðaldökkur húðlitur
	🤦🏿‍♂️;maður með hönd fyrir andlit: dökkur húðlitur;andlit|dökkur húðlitur|hönd|karl|lófi|maður með hönd fyrir andlit|maður með hönd fyrir andlit: dökkur húðlitur
🤦‍♀️;kona með hönd fyrir andlit;andlit|hönd|kona|kona með hönd fyrir andlit|lófi
	🤦🏻‍♀️;kona með hönd fyrir andlit: ljós húðlitur;andlit|hönd|kona|kona með hönd fyrir andlit|kona með hönd fyrir andlit: ljós húðlitur|ljós húðlitur|lófi
	🤦🏼‍♀️;kona með hönd fyrir andlit: meðalljós húðlitur;andlit|hönd|kona|kona með hönd fyrir andlit|kona með hönd fyrir andlit: meðalljós húðlitur|lófi|meðalljós húðlitur
	🤦🏽‍♀️;kona með hönd fyrir andlit: millihúðlitur;andlit|hönd|kona|kona með hönd fyrir andlit|kona með hönd fyrir andlit: millihúðlitur|lófi|millihúðlitur
	🤦🏾‍♀️;kona með hönd fyrir andlit: meðaldökkur húðlitur;andlit|hönd|kona|kona með hönd fyrir andlit|kona með hönd fyrir andlit: meðaldökkur húðlitur|lófi|meðaldökkur húðlitur
	🤦🏿‍♀️;kona með hönd fyrir andlit: dökkur húðlitur;andlit|dökkur húðlitur|hönd|kona|kona með hönd fyrir andlit|kona með hönd fyrir andlit: dökkur húðlitur|lófi
🤷;yppir öxlum;axlir|yppa|yppir öxlum
	🤷🏻;yppir öxlum: ljós húðlitur;axlir|ljós húðlitur|yppa|yppir öxlum|yppir öxlum: ljós húðlitur
	🤷🏼;yppir öxlum: meðalljós húðlitur;axlir|meðalljós húðlitur|yppa|yppir öxlum|yppir öxlum: meðalljós húðlitur
	🤷🏽;yppir öxlum: millihúðlitur;axlir|millihúðlitur|yppa|yppir öxlum|yppir öxlum: millihúðlitur
	🤷🏾;yppir öxlum: meðaldökkur húðlitur;axlir|meðaldökkur húðlitur|yppa|yppir öxlum|yppir öxlum: meðaldökkur húðlitur
	🤷🏿;yppir öxlum: dökkur húðlitur;axlir|dökkur húðlitur|yppa|yppir öxlum|yppir öxlum: dökkur húðlitur
🤷‍♂️;maður yppir öxlum;karl|maður yppir öxlum|öxlum|yppa
	🤷🏻‍♂️;maður yppir öxlum: ljós húðlitur;karl|ljós húðlitur|maður yppir öxlum|maður yppir öxlum: ljós húðlitur|öxlum|yppa
	🤷🏼‍♂️;maður yppir öxlum: meðalljós húðlitur;karl|maður yppir öxlum|maður yppir öxlum: meðalljós húðlitur|meðalljós húðlitur|öxlum|yppa
	🤷🏽‍♂️;maður yppir öxlum: millihúðlitur;karl|maður yppir öxlum|maður yppir öxlum: millihúðlitur|millihúðlitur|öxlum|yppa
	🤷🏾‍♂️;maður yppir öxlum: meðaldökkur húðlitur;karl|maður yppir öxlum|maður yppir öxlum: meðaldökkur húðlitur|meðaldökkur húðlitur|öxlum|yppa
	🤷🏿‍♂️;maður yppir öxlum: dökkur húðlitur;dökkur húðlitur|karl|maður yppir öxlum|maður yppir öxlum: dökkur húðlitur|öxlum|yppa
🤷‍♀️;kona yppir öxlum;kona|kona yppir öxlum|öxlum|yppa
	🤷🏻‍♀️;kona yppir öxlum: ljós húðlitur;kona|kona yppir öxlum|kona yppir öxlum: ljós húðlitur|ljós húðlitur|öxlum|yppa
	🤷🏼‍♀️;kona yppir öxlum: meðalljós húðlitur;kona|kona yppir öxlum|kona yppir öxlum: meðalljós húðlitur|meðalljós húðlitur|öxlum|yppa
	🤷🏽‍♀️;kona yppir öxlum: millihúðlitur;kona|kona yppir öxlum|kona yppir öxlum: millihúðlitur|millihúðlitur|öxlum|yppa
	🤷🏾‍♀️;kona yppir öxlum: meðaldökkur húðlitur;kona|kona yppir öxlum|kona yppir öxlum: meðaldökkur húðlitur|meðaldökkur húðlitur|öxlum|yppa
	🤷🏿‍♀️;kona yppir öxlum: dökkur húðlitur;dökkur húðlitur|kona|kona yppir öxlum|kona yppir öxlum: dökkur húðlitur|öxlum|yppa
🧑‍⚕️;heilbrigðisstarfsmaður;heilbrigðismál|heilbrigðisstarfsmaður|hjúkrunarfræðingur|læknir|sérfræðingur
	🧑🏻‍⚕️;heilbrigðisstarfsmaður: ljós húðlitur;heilbrigðismál|heilbrigðisstarfsmaður|heilbrigðisstarfsmaður: ljós húðlitur|hjúkrunarfræðingur|læknir|ljós húðlitur|sérfræðingur
	🧑🏼‍⚕️;heilbrigðisstarfsmaður: meðalljós húðlitur;heilbrigðismál|heilbrigðisstarfsmaður|heilbrigðisstarfsmaður: meðalljós húðlitur|hjúkrunarfræðingur|læknir|meðalljós húðlitur|sérfræðingur
	🧑🏽‍⚕️;heilbrigðisstarfsmaður: millihúðlitur;heilbrigðismál|heilbrigðisstarfsmaður|heilbrigðisstarfsmaður: millihúðlitur|hjúkrunarfræðingur|læknir|millihúðlitur|sérfræðingur
	🧑🏾‍⚕️;heilbrigðisstarfsmaður: meðaldökkur húðlitur;heilbrigðismál|heilbrigðisstarfsmaður|heilbrigðisstarfsmaður: meðaldökkur húðlitur|hjúkrunarfræðingur|læknir|meðaldökkur húðlitur|sérfræðingur
	🧑🏿‍⚕️;heilbrigðisstarfsmaður: dökkur húðlitur;dökkur húðlitur|heilbrigðismál|heilbrigðisstarfsmaður|heilbrigðisstarfsmaður: dökkur húðlitur|hjúkrunarfræðingur|læknir|sérfræðingur
👨‍⚕️;karlkyns heilbrigðisstarfsmaður;heilsa|hjúkrunarfræðingur|karl|karlkyns heilbrigðisstarfsmaður|læknir
	👨🏻‍⚕️;karlkyns heilbrigðisstarfsmaður: ljós húðlitur;heilsa|hjúkrunarfræðingur|karl|karlkyns heilbrigðisstarfsmaður|karlkyns heilbrigðisstarfsmaður: ljós húðlitur|læknir|ljós húðlitur
