[smileys_emotion]
😀;ፈገግ ያለ ፊት;ፈገግ ያለ ፊት|ፈገግታ|ፊት
🤦;ማዘን;መደነቅ|መዳፍ|ማዘን|አለማመን|እጅ
	🤦🏻;ማዘን: የቆዳ ዓይነት-1-2;መደነቅ|መዳፍ|ማዘን|ማዘን: የቆዳ ዓይነት-1-2|አለማመን|እጅ|የቆዳ ዓይነት-1-2
	🤦🏼;ማዘን: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መደነቅ|መዳፍ|ማዘን|ማዘን: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አለማመን|እጅ
	🤦🏽;ማዘን: የቆዳ ዓይነት-4;መደነቅ|መዳፍ|ማዘን|ማዘን: የቆዳ ዓይነት-4|አለማመን|እጅ|የቆዳ ዓይነት-4
	🤦🏾;ማዘን: የቆዳ ዓይነት-5;መደነቅ|መዳፍ|ማዘን|ማዘን: የቆዳ ዓይነት-5|አለማመን|እጅ|የቆዳ ዓይነት-5
	🤦🏿;ማዘን: የቆዳ ዓይነት-6;መደነቅ|መዳፍ|ማዘን|ማዘን: የቆዳ ዓይነት-6|አለማመን|እጅ|የቆዳ ዓይነት-6
🤦‍♂️;ወንድ ፊት መቅላት;መደነቅ|መዳፍ|አለማመን|ወንድ ፊት መቅላት|ፊት መቅላት
	🤦🏻‍♂️;ወንድ ፊት መቅላት: የቆዳ ዓይነት-1-2;መደነቅ|መዳፍ|አለማመን|ወንድ ፊት መቅላት|ወንድ ፊት መቅላት: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ፊት መቅላት
	🤦🏼‍♂️;ወንድ ፊት መቅላት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መደነቅ|መዳፍ|አለማመን|ወንድ ፊት መቅላት|ወንድ ፊት መቅላት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ፊት መቅላት
	🤦🏽‍♂️;ወንድ ፊት መቅላት: የቆዳ ዓይነት-4;መደነቅ|መዳፍ|አለማመን|ወንድ ፊት መቅላት|ወንድ ፊት መቅላት: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ፊት መቅላት
	🤦🏾‍♂️;ወንድ ፊት መቅላት: የቆዳ ዓይነት-5;መደነቅ|መዳፍ|አለማመን|ወንድ ፊት መቅላት|ወንድ ፊት መቅላት: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ፊት መቅላት
	🤦🏿‍♂️;ወንድ ፊት መቅላት: የቆዳ ዓይነት-6;መደነቅ|መዳፍ|አለማመን|ወንድ ፊት መቅላት|ወንድ ፊት መቅላት: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ፊት መቅላት
🤦‍♀️;ሴት ፊት መቅላት;መደነቅ|መዳፍ|ሴት|ሴት ፊት መቅላት|አለማመን
	🤦🏻‍♀️;ሴት ፊት መቅላት: የቆዳ ዓይነት-1-2;መደነቅ|መዳፍ|ሴት|ሴት ፊት መቅላት|ሴት ፊት መቅላት: የቆዳ ዓይነት-1-2|አለማመን|የቆዳ ዓይነት-1-2
	🤦🏼‍♀️;ሴት ፊት መቅላት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መደነቅ|መዳፍ|ሴት|ሴት ፊት መቅላት|ሴት ፊት መቅላት: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አለማመን
	🤦🏽‍♀️;ሴት ፊት መቅላት: የቆዳ ዓይነት-4;መደነቅ|መዳፍ|ሴት|ሴት ፊት መቅላት|ሴት ፊት መቅላት: የቆዳ ዓይነት-4|አለማመን|የቆዳ ዓይነት-4
	🤦🏾‍♀️;ሴት ፊት መቅላት: የቆዳ ዓይነት-5;መደነቅ|መዳፍ|ሴት|ሴት ፊት መቅላት|ሴት ፊት መቅላት: የቆዳ ዓይነት-5|አለማመን|የቆዳ ዓይነት-5
	🤦🏿‍♀️;ሴት ፊት መቅላት: የቆዳ ዓይነት-6;መደነቅ|መዳፍ|ሴት|ሴት ፊት መቅላት|ሴት ፊት መቅላት: የቆዳ ዓይነት-6|አለማመን|የቆዳ ዓይነት-6
🤷;ንቆ መተው;ልዩነት|መጠራጠር|ንቆ መተው|አለማወቅ
	🤷🏻;ንቆ መተው: የቆዳ ዓይነት-1-2;ልዩነት|መጠራጠር|ንቆ መተው|ንቆ መተው: የቆዳ ዓይነት-1-2|አለማወቅ|የቆዳ ዓይነት-1-2
	🤷🏼;ንቆ መተው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;ልዩነት|መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መጠራጠር|ንቆ መተው|ንቆ መተው: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አለማወቅ
	🤷🏽;ንቆ መተው: የቆዳ ዓይነት-4;ልዩነት|መጠራጠር|ንቆ መተው|ንቆ መተው: የቆዳ ዓይነት-4|አለማወቅ|የቆዳ ዓይነት-4
	🤷🏾;ንቆ መተው: የቆዳ ዓይነት-5;ልዩነት|መጠራጠር|ንቆ መተው|ንቆ መተው: የቆዳ ዓይነት-5|አለማወቅ|የቆዳ ዓይነት-5
	🤷🏿;ንቆ መተው: የቆዳ ዓይነት-6;ልዩነት|መጠራጠር|ንቆ መተው|ንቆ መተው: የቆዳ ዓይነት-6|አለማወቅ|የቆዳ ዓይነት-6
🤷‍♂️;ወንድ አለማወቅ;ልዩነት|መጠራጠር|ንቆ መተው|አለማወቅ|ወንድ አለማወቅ
	🤷🏻‍♂️;ወንድ አለማወቅ: የቆዳ ዓይነት-1-2;ልዩነት|መጠራጠር|ንቆ መተው|አለማወቅ|ወንድ አለማወቅ|ወንድ አለማወቅ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🤷🏼‍♂️;ወንድ አለማወቅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;ልዩነት|መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መጠራጠር|ንቆ መተው|አለማወቅ|ወንድ አለማወቅ|ወንድ አለማወቅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🤷🏽‍♂️;ወንድ አለማወቅ: የቆዳ ዓይነት-4;ልዩነት|መጠራጠር|ንቆ መተው|አለማወቅ|ወንድ አለማወቅ|ወንድ አለማወቅ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🤷🏾‍♂️;ወንድ አለማወቅ: የቆዳ ዓይነት-5;ልዩነት|መጠራጠር|ንቆ መተው|አለማወቅ|ወንድ አለማወቅ|ወንድ አለማወቅ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🤷🏿‍♂️;ወንድ አለማወቅ: የቆዳ ዓይነት-6;ልዩነት|መጠራጠር|ንቆ መተው|አለማወቅ|ወንድ አለማወቅ|ወንድ አለማወቅ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
🤷‍♀️;ሴት አለማወቅ;ልዩነት|መጠራጠር|ሴት አለማወቅ|ንቆ መተው|አለማወቅ
	🤷🏻‍♀️;ሴት አለማወቅ: የቆዳ ዓይነት-1-2;ልዩነት|መጠራጠር|ሴት አለማወቅ|ሴት አለማወቅ: የቆዳ ዓይነት-1-2|ንቆ መተው|አለማወቅ|የቆዳ ዓይነት-1-2
	🤷🏼‍♀️;ሴት አለማወቅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;ልዩነት|መሃከለኛ ቀላ ያለ የቆዳ ቀለም|መጠራጠር|ሴት አለማወቅ|ሴት አለማወቅ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ንቆ መተው|አለማወቅ
	🤷🏽‍♀️;ሴት አለማወቅ: የቆዳ ዓይነት-4;ልዩነት|መጠራጠር|ሴት አለማወቅ|ሴት አለማወቅ: የቆዳ ዓይነት-4|ንቆ መተው|አለማወቅ|የቆዳ ዓይነት-4
	🤷🏾‍♀️;ሴት አለማወቅ: የቆዳ ዓይነት-5;ልዩነት|መጠራጠር|ሴት አለማወቅ|ሴት አለማወቅ: የቆዳ ዓይነት-5|ንቆ መተው|አለማወቅ|የቆዳ ዓይነት-5
	🤷🏿‍♀️;ሴት አለማወቅ: የቆዳ ዓይነት-6;ልዩነት|መጠራጠር|ሴት አለማወቅ|ሴት አለማወቅ: የቆዳ ዓይነት-6|ንቆ መተው|አለማወቅ|የቆዳ ዓይነት-6
🧑‍⚕️;የጤና ሰራተኛ;የጤና ሰራተኛ
	🧑🏻‍⚕️;የጤና ሰራተኛ: የቆዳ ዓይነት-1-2;የቆዳ ዓይነት-1-2|የጤና ሰራተኛ|የጤና ሰራተኛ: የቆዳ ዓይነት-1-2
	🧑🏼‍⚕️;የጤና ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|የጤና ሰራተኛ|የጤና ሰራተኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍⚕️;የጤና ሰራተኛ: የቆዳ ዓይነት-4;የቆዳ ዓይነት-4|የጤና ሰራተኛ|የጤና ሰራተኛ: የቆዳ ዓይነት-4
	🧑🏾‍⚕️;የጤና ሰራተኛ: የቆዳ ዓይነት-5;የቆዳ ዓይነት-5|የጤና ሰራተኛ|የጤና ሰራተኛ: የቆዳ ዓይነት-5
	🧑🏿‍⚕️;የጤና ሰራተኛ: የቆዳ ዓይነት-6;የቆዳ ዓይነት-6|የጤና ሰራተኛ|የጤና ሰራተኛ: የቆዳ ዓይነት-6
👨‍⚕️;ወንድ ነርስ;ሐኪም|ተባዕት|ቴራፒስት|ነርስ|ወንድ
	👨🏻‍⚕️;ወንድ ነርስ: የቆዳ ዓይነት-1-2;ሐኪም|ተባዕት|ቴራፒስት|ነርስ|ወንድ|ወንድ ነርስ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	👨🏼‍⚕️;ወንድ ነርስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;ሐኪም|መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተባዕት|ቴራፒስት|ነርስ|ወንድ|ወንድ ነርስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	👨🏽‍⚕️;ወንድ ነርስ: የቆዳ ዓይነት-4;ሐኪም|ተባዕት|ቴራፒስት|ነርስ|ወንድ|ወንድ ነርስ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍⚕️;ወንድ ነርስ: የቆዳ ዓይነት-5;ሐኪም|ተባዕት|ቴራፒስት|ነርስ|ወንድ|ወንድ ነርስ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍⚕️;ወንድ ነርስ: የቆዳ ዓይነት-6;ሐኪም|ተባዕት|ቴራፒስት|ነርስ|ወንድ|ወንድ ነርስ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👩‍⚕️;ሴት ነርስ;ሴት|ቴራፒስት|ነርስ|ኪም|የጤና እንክብካቤ
	👩🏻‍⚕️;ሴት ነርስ: የቆዳ ዓይነት-1-2;ሴት|ሴት ነርስ: የቆዳ ዓይነት-1-2|ቴራፒስት|ነርስ|ኪም|የቆዳ ዓይነት-1-2|የጤና እንክብካቤ
	👩🏼‍⚕️;ሴት ነርስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት ነርስ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ቴራፒስት|ነርስ|ኪም|የጤና እንክብካቤ
	👩🏽‍⚕️;ሴት ነርስ: የቆዳ ዓይነት-4;ሴት|ሴት ነርስ: የቆዳ ዓይነት-4|ቴራፒስት|ነርስ|ኪም|የቆዳ ዓይነት-4|የጤና እንክብካቤ
	👩🏾‍⚕️;ሴት ነርስ: የቆዳ ዓይነት-5;ሴት|ሴት ነርስ: የቆዳ ዓይነት-5|ቴራፒስት|ነርስ|ኪም|የቆዳ ዓይነት-5|የጤና እንክብካቤ
	👩🏿‍⚕️;ሴት ነርስ: የቆዳ ዓይነት-6;ሴት|ሴት ነርስ: የቆዳ ዓይነት-6|ቴራፒስት|ነርስ|ኪም|የቆዳ ዓይነት-6|የጤና እንክብካቤ
🧑‍🎓;ተማሪ;ተማሪ
	🧑🏻‍🎓;ተማሪ: የቆዳ ዓይነት-1-2;ተማሪ|ተማሪ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🎓;ተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተማሪ|ተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🎓;ተማሪ: የቆዳ ዓይነት-4;ተማሪ|ተማሪ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🎓;ተማሪ: የቆዳ ዓይነት-5;ተማሪ|ተማሪ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🎓;ተማሪ: የቆዳ ዓይነት-6;ተማሪ|ተማሪ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🎓;ወንድ ተመራቂ;ተመራቂ|ተማሪ|ተባዕት|ወንድ
	👨🏻‍🎓;ወንድ ተመራቂ: የቆዳ ዓይነት-1-2;ተመራቂ|ተማሪ|ተባዕት|ወንድ|ወንድ ተመራቂ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	👨🏼‍🎓;ወንድ ተመራቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተመራቂ|ተማሪ|ተባዕት|ወንድ|ወንድ ተመራቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	👨🏽‍🎓;ወንድ ተመራቂ: የቆዳ ዓይነት-4;ተመራቂ|ተማሪ|ተባዕት|ወንድ|ወንድ ተመራቂ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	👨🏾‍🎓;ወንድ ተመራቂ: የቆዳ ዓይነት-5;ተመራቂ|ተማሪ|ተባዕት|ወንድ|ወንድ ተመራቂ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	👨🏿‍🎓;ወንድ ተመራቂ: የቆዳ ዓይነት-6;ተመራቂ|ተማሪ|ተባዕት|ወንድ|ወንድ ተመራቂ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👩‍🎓;ሴት ተመራቂ;ሴት|ተመራቂ|ተማሪ|እንስት
	👩🏻‍🎓;ሴት ተመራቂ: የቆዳ ዓይነት-1-2;ሴት|ሴት ተመራቂ: የቆዳ ዓይነት-1-2|ተመራቂ|ተማሪ|እንስት|የቆዳ ዓይነት-1-2
	👩🏼‍🎓;ሴት ተመራቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት ተመራቂ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተመራቂ|ተማሪ|እንስት
	👩🏽‍🎓;ሴት ተመራቂ: የቆዳ ዓይነት-4;ሴት|ሴት ተመራቂ: የቆዳ ዓይነት-4|ተመራቂ|ተማሪ|እንስት|የቆዳ ዓይነት-4
	👩🏾‍🎓;ሴት ተመራቂ: የቆዳ ዓይነት-5;ሴት|ሴት ተመራቂ: የቆዳ ዓይነት-5|ተመራቂ|ተማሪ|እንስት|የቆዳ ዓይነት-5
	👩🏿‍🎓;ሴት ተመራቂ: የቆዳ ዓይነት-6;ሴት|ሴት ተመራቂ: የቆዳ ዓይነት-6|ተመራቂ|ተማሪ|እንስት|የቆዳ ዓይነት-6
🧑‍🏫;አስተማሪ;አስተማሪ
	🧑🏻‍🏫;አስተማሪ: የቆዳ ዓይነት-1-2;አስተማሪ|አስተማሪ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🏫;አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አስተማሪ|አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🏫;አስተማሪ: የቆዳ ዓይነት-4;አስተማሪ|አስተማሪ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🏫;አስተማሪ: የቆዳ ዓይነት-5;አስተማሪ|አስተማሪ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🏫;አስተማሪ: የቆዳ ዓይነት-6;አስተማሪ|አስተማሪ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🏫;ወንድ አስተማሪ;ተባዕት|አስተማሪ|ወንድ|ፕሮፌሰር
	👨🏻‍🏫;ወንድ አስተማሪ: የቆዳ ዓይነት-1-2;ተባዕት|አስተማሪ|ወንድ|ወንድ አስተማሪ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ፕሮፌሰር
	👨🏼‍🏫;ወንድ አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተባዕት|አስተማሪ|ወንድ|ወንድ አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ፕሮፌሰር
	👨🏽‍🏫;ወንድ አስተማሪ: የቆዳ ዓይነት-4;ተባዕት|አስተማሪ|ወንድ|ወንድ አስተማሪ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ፕሮፌሰር
	👨🏾‍🏫;ወንድ አስተማሪ: የቆዳ ዓይነት-5;ተባዕት|አስተማሪ|ወንድ|ወንድ አስተማሪ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ፕሮፌሰር
	👨🏿‍🏫;ወንድ አስተማሪ: የቆዳ ዓይነት-6;ተባዕት|አስተማሪ|ወንድ|ወንድ አስተማሪ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ፕሮፌሰር
👩‍🏫;ሴት አስተማሪ;ሴት|አስተማሪ|ፕሮፌሰር
	👩🏻‍🏫;ሴት አስተማሪ: የቆዳ ዓይነት-1-2;ሴት|ሴት አስተማሪ: የቆዳ ዓይነት-1-2|አስተማሪ|የቆዳ ዓይነት-1-2|ፕሮፌሰር
	👩🏼‍🏫;ሴት አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሴት|ሴት አስተማሪ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|አስተማሪ|ፕሮፌሰር
	👩🏽‍🏫;ሴት አስተማሪ: የቆዳ ዓይነት-4;ሴት|ሴት አስተማሪ: የቆዳ ዓይነት-4|አስተማሪ|የቆዳ ዓይነት-4|ፕሮፌሰር
	👩🏾‍🏫;ሴት አስተማሪ: የቆዳ ዓይነት-5;ሴት|ሴት አስተማሪ: የቆዳ ዓይነት-5|አስተማሪ|የቆዳ ዓይነት-5|ፕሮፌሰር
	👩🏿‍🏫;ሴት አስተማሪ: የቆዳ ዓይነት-6;ሴት|ሴት አስተማሪ: የቆዳ ዓይነት-6|አስተማሪ|የቆዳ ዓይነት-6|ፕሮፌሰር
🧑‍⚖️;ዳኛ;ዳኛ
	🧑🏻‍⚖️;ዳኛ: የቆዳ ዓይነት-1-2;የቆዳ ዓይነት-1-2|ዳኛ|ዳኛ: የቆዳ ዓይነት-1-2
	🧑🏼‍⚖️;ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ዳኛ|ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍⚖️;ዳኛ: የቆዳ ዓይነት-4;የቆዳ ዓይነት-4|ዳኛ|ዳኛ: የቆዳ ዓይነት-4
	🧑🏾‍⚖️;ዳኛ: የቆዳ ዓይነት-5;የቆዳ ዓይነት-5|ዳኛ|ዳኛ: የቆዳ ዓይነት-5
	🧑🏿‍⚖️;ዳኛ: የቆዳ ዓይነት-6;የቆዳ ዓይነት-6|ዳኛ|ዳኛ: የቆዳ ዓይነት-6
👨‍⚖️;ወንድ ዳኛ;ሚዛን|ተባዕት|ወንድ|ወንድ ዳኛ|ፍትህ
	👨🏻‍⚖️;ወንድ ዳኛ: የቆዳ ዓይነት-1-2;ሚዛን|ተባዕት|ወንድ|ወንድ ዳኛ|ወንድ ዳኛ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ፍትህ
	👨🏼‍⚖️;ወንድ ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሚዛን|ተባዕት|ወንድ|ወንድ ዳኛ|ወንድ ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ፍትህ
	👨🏽‍⚖️;ወንድ ዳኛ: የቆዳ ዓይነት-4;ሚዛን|ተባዕት|ወንድ|ወንድ ዳኛ|ወንድ ዳኛ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ፍትህ
	👨🏾‍⚖️;ወንድ ዳኛ: የቆዳ ዓይነት-5;ሚዛን|ተባዕት|ወንድ|ወንድ ዳኛ|ወንድ ዳኛ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ፍትህ
	👨🏿‍⚖️;ወንድ ዳኛ: የቆዳ ዓይነት-6;ሚዛን|ተባዕት|ወንድ|ወንድ ዳኛ|ወንድ ዳኛ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ፍትህ
👩‍⚖️;ሴት ዳኛ;ሚዛን|ሴት|እንስት|ዳኛ
	👩🏻‍⚖️;ሴት ዳኛ: የቆዳ ዓይነት-1-2;ሚዛን|ሴት|ሴት ዳኛ: የቆዳ ዓይነት-1-2|እንስት|የቆዳ ዓይነት-1-2|ዳኛ
	👩🏼‍⚖️;ሴት ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሚዛን|ሴት|ሴት ዳኛ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|እንስት|ዳኛ
	👩🏽‍⚖️;ሴት ዳኛ: የቆዳ ዓይነት-4;ሚዛን|ሴት|ሴት ዳኛ: የቆዳ ዓይነት-4|እንስት|የቆዳ ዓይነት-4|ዳኛ
	👩🏾‍⚖️;ሴት ዳኛ: የቆዳ ዓይነት-5;ሚዛን|ሴት|ሴት ዳኛ: የቆዳ ዓይነት-5|እንስት|የቆዳ ዓይነት-5|ዳኛ
	👩🏿‍⚖️;ሴት ዳኛ: የቆዳ ዓይነት-6;ሚዛን|ሴት|ሴት ዳኛ: የቆዳ ዓይነት-6|እንስት|የቆዳ ዓይነት-6|ዳኛ
🧑‍🌾;ገበሬ;ገበሬ
	🧑🏻‍🌾;ገበሬ: የቆዳ ዓይነት-1-2;የቆዳ ዓይነት-1-2|ገበሬ|ገበሬ: የቆዳ ዓይነት-1-2
	🧑🏼‍🌾;ገበሬ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ገበሬ|ገበሬ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🌾;ገበሬ: የቆዳ ዓይነት-4;የቆዳ ዓይነት-4|ገበሬ|ገበሬ: የቆዳ ዓይነት-4
	🧑🏾‍🌾;ገበሬ: የቆዳ ዓይነት-5;የቆዳ ዓይነት-5|ገበሬ|ገበሬ: የቆዳ ዓይነት-5
	🧑🏿‍🌾;ገበሬ: የቆዳ ዓይነት-6;የቆዳ ዓይነት-6|ገበሬ|ገበሬ: የቆዳ ዓይነት-6
👨‍🌾;ወንድ ገበሬ;ሰው|ተክል|ወንድ|ገበሬ
	👨🏻‍🌾;ወንድ ገበሬ: የቆዳ ዓይነት-1-2;ሰው|ተክል|ወንድ|ወንድ ገበሬ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2|ገበሬ
	👨🏼‍🌾;ወንድ ገበሬ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው|ተክል|ወንድ|ወንድ ገበሬ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ገበሬ
	👨🏽‍🌾;ወንድ ገበሬ: የቆዳ ዓይነት-4;ሰው|ተክል|ወንድ|ወንድ ገበሬ: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4|ገበሬ
	👨🏾‍🌾;ወንድ ገበሬ: የቆዳ ዓይነት-5;ሰው|ተክል|ወንድ|ወንድ ገበሬ: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5|ገበሬ
	👨🏿‍🌾;ወንድ ገበሬ: የቆዳ ዓይነት-6;ሰው|ተክል|ወንድ|ወንድ ገበሬ: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6|ገበሬ
👩‍🌾;ሴት ገበሬ;ሰው|ሴት|ተክል|ገበሬ
	👩🏻‍🌾;ሴት ገበሬ: የቆዳ ዓይነት-1-2;ሰው|ሴት|ሴት ገበሬ: የቆዳ ዓይነት-1-2|ተክል|የቆዳ ዓይነት-1-2|ገበሬ
	👩🏼‍🌾;ሴት ገበሬ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ሰው|ሴት|ሴት ገበሬ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ተክል|ገበሬ
	👩🏽‍🌾;ሴት ገበሬ: የቆዳ ዓይነት-4;ሰው|ሴት|ሴት ገበሬ: የቆዳ ዓይነት-4|ተክል|የቆዳ ዓይነት-4|ገበሬ
	👩🏾‍🌾;ሴት ገበሬ: የቆዳ ዓይነት-5;ሰው|ሴት|ሴት ገበሬ: የቆዳ ዓይነት-5|ተክል|የቆዳ ዓይነት-5|ገበሬ
	👩🏿‍🌾;ሴት ገበሬ: የቆዳ ዓይነት-6;ሰው|ሴት|ሴት ገበሬ: የቆዳ ዓይነት-6|ተክል|የቆዳ ዓይነት-6|ገበሬ
🧑‍🍳;ማብሰል;ማብሰል
	🧑🏻‍🍳;ማብሰል: የቆዳ ዓይነት-1-2;ማብሰል|ማብሰል: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	🧑🏼‍🍳;ማብሰል: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማብሰል|ማብሰል: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
	🧑🏽‍🍳;ማብሰል: የቆዳ ዓይነት-4;ማብሰል|ማብሰል: የቆዳ ዓይነት-4|የቆዳ ዓይነት-4
	🧑🏾‍🍳;ማብሰል: የቆዳ ዓይነት-5;ማብሰል|ማብሰል: የቆዳ ዓይነት-5|የቆዳ ዓይነት-5
	🧑🏿‍🍳;ማብሰል: የቆዳ ዓይነት-6;ማብሰል|ማብሰል: የቆዳ ዓይነት-6|የቆዳ ዓይነት-6
👨‍🍳;ወንድ አብሳይ;ማብሰል|ሰው|አብሳይ|ወንድ
	👨🏻‍🍳;ወንድ አብሳይ: የቆዳ ዓይነት-1-2;ማብሰል|ሰው|አብሳይ|ወንድ|ወንድ አብሳይ: የቆዳ ዓይነት-1-2|የቆዳ ዓይነት-1-2
	👨🏼‍🍳;ወንድ አብሳይ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም;መሃከለኛ ቀላ ያለ የቆዳ ቀለም|ማብሰል|ሰው|አብሳይ|ወንድ|ወንድ አብሳይ: መሃከለኛ ቀላ ያለ የቆዳ ቀለም
