# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;wiċċ jidħak ħafna;jidħaq ħafna|wiċċ|wiċċ jidħak ħafna
	👃🏼;imnieħer: ton medju-ċar tal-ġilda;ġisem|imnieħer|imnieħer: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👃🏽;imnieħer: ton medju tal-ġilda;ġisem|imnieħer|imnieħer: ton medju tal-ġilda|ton medju tal-ġilda
	👃🏾;imnieħer: ton medju-skur tal-ġilda;ġisem|imnieħer|imnieħer: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👃🏿;imnieħer: ton skur tal-ġilda;ġisem|imnieħer|imnieħer: ton skur tal-ġilda|ton skur tal-ġilda
🧠;moħħ;intelliġenti|moħħ
🫀;;
🫁;;
🦷;;
🦴;;
👀;għajnejn;għajn|għajnejn|wiċċ
👁️;għajn;għajn
👅;ilsien;ilsien
👄;ħalq;ħalq|xufftejn
🫦;;
👶;tarbija;tarbija
	👶🏻;tarbija: ton ċar tal-ġilda;tarbija|tarbija: ton ċar tal-ġilda|ton ċar tal-ġilda
	👶🏼;tarbija: ton medju-ċar tal-ġilda;tarbija|tarbija: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👶🏽;tarbija: ton medju tal-ġilda;tarbija|tarbija: ton medju tal-ġilda|ton medju tal-ġilda
	👶🏾;tarbija: ton medju-skur tal-ġilda;tarbija|tarbija: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👶🏿;tarbija: ton skur tal-ġilda;tarbija|tarbija: ton skur tal-ġilda|ton skur tal-ġilda
🧒;tfal;newtrali fil-ġeneru|tfal|żgħażagħ
	🧒🏻;tfal: ton ċar tal-ġilda;newtrali fil-ġeneru|tfal|tfal: ton ċar tal-ġilda|ton ċar tal-ġilda|żgħażagħ
	🧒🏼;tfal: ton medju-ċar tal-ġilda;newtrali fil-ġeneru|tfal|tfal: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|żgħażagħ
	🧒🏽;tfal: ton medju tal-ġilda;newtrali fil-ġeneru|tfal|tfal: ton medju tal-ġilda|ton medju tal-ġilda|żgħażagħ
	🧒🏾;tfal: ton medju-skur tal-ġilda;newtrali fil-ġeneru|tfal|tfal: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|żgħażagħ
	🧒🏿;tfal: ton skur tal-ġilda;newtrali fil-ġeneru|tfal|tfal: ton skur tal-ġilda|ton skur tal-ġilda|żgħażagħ
👦;tifel;tifel|żagħżugħ
	👦🏻;tifel: ton ċar tal-ġilda;tifel|tifel: ton ċar tal-ġilda|ton ċar tal-ġilda|żagħżugħ
	👦🏼;tifel: ton medju-ċar tal-ġilda;tifel|tifel: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|żagħżugħ
	👦🏽;tifel: ton medju tal-ġilda;tifel|tifel: ton medju tal-ġilda|ton medju tal-ġilda|żagħżugħ
	👦🏾;tifel: ton medju-skur tal-ġilda;tifel|tifel: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|żagħżugħ
	👦🏿;tifel: ton skur tal-ġilda;tifel|tifel: ton skur tal-ġilda|ton skur tal-ġilda|żagħżugħ
👧;tifla;tifla|Virgo|żgħażagħ|żodjaku
	👧🏻;tifla: ton ċar tal-ġilda;tifla|tifla: ton ċar tal-ġilda|ton ċar tal-ġilda|Virgo|żgħażagħ|żodjaku
	👧🏼;tifla: ton medju-ċar tal-ġilda;tifla|tifla: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|Virgo|żgħażagħ|żodjaku
	👧🏽;tifla: ton medju tal-ġilda;tifla|tifla: ton medju tal-ġilda|ton medju tal-ġilda|Virgo|żgħażagħ|żodjaku
	👧🏾;tifla: ton medju-skur tal-ġilda;tifla|tifla: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|Virgo|żgħażagħ|żodjaku
	👧🏿;tifla: ton skur tal-ġilda;tifla|tifla: ton skur tal-ġilda|ton skur tal-ġilda|Virgo|żgħażagħ|żodjaku
🧑;adult;adult|newtrali fil-ġeneru
	🧑🏻;adult: ton ċar tal-ġilda;adult|adult: ton ċar tal-ġilda|newtrali fil-ġeneru|ton ċar tal-ġilda
	🧑🏼;adult: ton medju-ċar tal-ġilda;adult|adult: ton medju-ċar tal-ġilda|newtrali fil-ġeneru|ton medju-ċar tal-ġilda
	🧑🏽;adult: ton medju tal-ġilda;adult|adult: ton medju tal-ġilda|newtrali fil-ġeneru|ton medju tal-ġilda
	🧑🏾;adult: ton medju-skur tal-ġilda;adult|adult: ton medju-skur tal-ġilda|newtrali fil-ġeneru|ton medju-skur tal-ġilda
	🧑🏿;adult: ton skur tal-ġilda;adult|adult: ton skur tal-ġilda|newtrali fil-ġeneru|ton skur tal-ġilda
👱;persuna b’xagħar isfar;persuna b’xagħar isfar|xagħara isfar
	👱🏻;persuna b’xagħar isfar: ton ċar tal-ġilda;persuna b’xagħar isfar|persuna b’xagħar isfar: ton ċar tal-ġilda|ton ċar tal-ġilda|xagħara isfar
	👱🏼;persuna b’xagħar isfar: ton medju-ċar tal-ġilda;persuna b’xagħar isfar|persuna b’xagħar isfar: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|xagħara isfar
	👱🏽;persuna b’xagħar isfar: ton medju tal-ġilda;persuna b’xagħar isfar|persuna b’xagħar isfar: ton medju tal-ġilda|ton medju tal-ġilda|xagħara isfar
	👱🏾;persuna b’xagħar isfar: ton medju-skur tal-ġilda;persuna b’xagħar isfar|persuna b’xagħar isfar: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|xagħara isfar
	👱🏿;persuna b’xagħar isfar: ton skur tal-ġilda;persuna b’xagħar isfar|persuna b’xagħar isfar: ton skur tal-ġilda|ton skur tal-ġilda|xagħara isfar
👨;raġel;raġel
	👨🏻;raġel: ton ċar tal-ġilda;raġel|raġel: ton ċar tal-ġilda|ton ċar tal-ġilda
	👨🏼;raġel: ton medju-ċar tal-ġilda;raġel|raġel: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👨🏽;raġel: ton medju tal-ġilda;raġel|raġel: ton medju tal-ġilda|ton medju tal-ġilda
	👨🏾;raġel: ton medju-skur tal-ġilda;raġel|raġel: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👨🏿;raġel: ton skur tal-ġilda;raġel|raġel: ton skur tal-ġilda|ton skur tal-ġilda
🧔;persuna bil-baffi;baffi|persuna bil-baffi
	🧔🏻;persuna bil-baffi: ton ċar tal-ġilda;baffi|persuna bil-baffi|persuna bil-baffi: ton ċar tal-ġilda|ton ċar tal-ġilda
	🧔🏼;persuna bil-baffi: ton medju-ċar tal-ġilda;baffi|persuna bil-baffi|persuna bil-baffi: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🧔🏽;persuna bil-baffi: ton medju tal-ġilda;baffi|persuna bil-baffi|persuna bil-baffi: ton medju tal-ġilda|ton medju tal-ġilda
	🧔🏾;persuna bil-baffi: ton medju-skur tal-ġilda;baffi|persuna bil-baffi|persuna bil-baffi: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🧔🏿;persuna bil-baffi: ton skur tal-ġilda;baffi|persuna bil-baffi|persuna bil-baffi: ton skur tal-ġilda|ton skur tal-ġilda
🧔‍♂️;;
	🧔🏻‍♂️;;
	🧔🏼‍♂️;;
	🧔🏽‍♂️;;
	🧔🏾‍♂️;;
	🧔🏿‍♂️;;
🧔‍♀️;;
	🧔🏻‍♀️;;
	🧔🏼‍♀️;;
	🧔🏽‍♀️;;
	🧔🏾‍♀️;;
	🧔🏿‍♀️;;
👨‍🦰;;
	👨🏻‍🦰;;
	👨🏼‍🦰;;
	👨🏽‍🦰;;
	👨🏾‍🦰;;
	👨🏿‍🦰;;
👨‍🦱;;
	👨🏻‍🦱;;
	👨🏼‍🦱;;
	👨🏽‍🦱;;
	👨🏾‍🦱;;
	👨🏿‍🦱;;
👨‍🦳;;
	👨🏻‍🦳;;
	👨🏼‍🦳;;
	👨🏽‍🦳;;
	👨🏾‍🦳;;
	👨🏿‍🦳;;
👨‍🦲;;
	👨🏻‍🦲;;
	👨🏼‍🦲;;
	👨🏽‍🦲;;
	👨🏾‍🦲;;
	👨🏿‍🦲;;
👩;mara;mara
	👩🏻;mara: ton ċar tal-ġilda;mara|mara: ton ċar tal-ġilda|ton ċar tal-ġilda
	👩🏼;mara: ton medju-ċar tal-ġilda;mara|mara: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	👩🏽;mara: ton medju tal-ġilda;mara|mara: ton medju tal-ġilda|ton medju tal-ġilda
	👩🏾;mara: ton medju-skur tal-ġilda;mara|mara: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	👩🏿;mara: ton skur tal-ġilda;mara|mara: ton skur tal-ġilda|ton skur tal-ġilda
👩‍🦰;;
	👩🏻‍🦰;;
	👩🏼‍🦰;;
	👩🏽‍🦰;;
	👩🏾‍🦰;;
	👩🏿‍🦰;;
🧑‍🦰;;
	🧑🏻‍🦰;;
	🧑🏼‍🦰;;
	🧑🏽‍🦰;;
	🧑🏾‍🦰;;
	🧑🏿‍🦰;;
👩‍🦱;;
	👩🏻‍🦱;;
	👩🏼‍🦱;;
	👩🏽‍🦱;;
	👩🏾‍🦱;;
	👩🏿‍🦱;;
🧑‍🦱;;
	🧑🏻‍🦱;;
	🧑🏼‍🦱;;
	🧑🏽‍🦱;;
	🧑🏾‍🦱;;
	🧑🏿‍🦱;;
👩‍🦳;;
	👩🏻‍🦳;;
	👩🏼‍🦳;;
	👩🏽‍🦳;;
	👩🏾‍🦳;;
	👩🏿‍🦳;;
🧑‍🦳;;
	🧑🏻‍🦳;;
	🧑🏼‍🦳;;
	🧑🏽‍🦳;;
	🧑🏾‍🦳;;
	🧑🏿‍🦳;;
👩‍🦲;;
	👩🏻‍🦲;;
	👩🏼‍🦲;;
	👩🏽‍🦲;;
	👩🏾‍🦲;;
	👩🏿‍🦲;;
🧑‍🦲;;
	🧑🏻‍🦲;;
	🧑🏼‍🦲;;
	🧑🏽‍🦲;;
	🧑🏾‍🦲;;
	🧑🏿‍🦲;;
👱‍♀️;mara b’xagħar isfar;mara|mara b’xagħar isfar|xagħar isfar
	👱🏻‍♀️;mara b’xagħar isfar: ton ċar tal-ġilda;mara|mara b’xagħar isfar|mara b’xagħar isfar: ton ċar tal-ġilda|ton ċar tal-ġilda|xagħar isfar
	👱🏼‍♀️;mara b’xagħar isfar: ton medju-ċar tal-ġilda;mara|mara b’xagħar isfar|mara b’xagħar isfar: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|xagħar isfar
	👱🏽‍♀️;mara b’xagħar isfar: ton medju tal-ġilda;mara|mara b’xagħar isfar|mara b’xagħar isfar: ton medju tal-ġilda|ton medju tal-ġilda|xagħar isfar
	👱🏾‍♀️;mara b’xagħar isfar: ton medju-skur tal-ġilda;mara|mara b’xagħar isfar|mara b’xagħar isfar: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|xagħar isfar
	👱🏿‍♀️;mara b’xagħar isfar: ton skur tal-ġilda;mara|mara b’xagħar isfar|mara b’xagħar isfar: ton skur tal-ġilda|ton skur tal-ġilda|xagħar isfar
👱‍♂️;raġel b’xagħar isfar;raġel|raġel b’xagħar isfar|xagħar isfar
	👱🏻‍♂️;raġel b’xagħar isfar: ton ċar tal-ġilda;raġel|raġel b’xagħar isfar|raġel b’xagħar isfar: ton ċar tal-ġilda|ton ċar tal-ġilda|xagħar isfar
	👱🏼‍♂️;raġel b’xagħar isfar: ton medju-ċar tal-ġilda;raġel|raġel b’xagħar isfar|raġel b’xagħar isfar: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|xagħar isfar
	👱🏽‍♂️;raġel b’xagħar isfar: ton medju tal-ġilda;raġel|raġel b’xagħar isfar|raġel b’xagħar isfar: ton medju tal-ġilda|ton medju tal-ġilda|xagħar isfar
	👱🏾‍♂️;raġel b’xagħar isfar: ton medju-skur tal-ġilda;raġel|raġel b’xagħar isfar|raġel b’xagħar isfar: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|xagħar isfar
	👱🏿‍♂️;raġel b’xagħar isfar: ton skur tal-ġilda;raġel|raġel b’xagħar isfar|raġel b’xagħar isfar: ton skur tal-ġilda|ton skur tal-ġilda|xagħar isfar
🧓;adulti anzjan;adulti anzjan|anzjan|newtrali fil-ġeneru
	🧓🏻;adulti anzjan: ton ċar tal-ġilda;adulti anzjan|adulti anzjan: ton ċar tal-ġilda|anzjan|newtrali fil-ġeneru|ton ċar tal-ġilda
	🧓🏼;adulti anzjan: ton medju-ċar tal-ġilda;adulti anzjan|adulti anzjan: ton medju-ċar tal-ġilda|anzjan|newtrali fil-ġeneru|ton medju-ċar tal-ġilda
	🧓🏽;adulti anzjan: ton medju tal-ġilda;adulti anzjan|adulti anzjan: ton medju tal-ġilda|anzjan|newtrali fil-ġeneru|ton medju tal-ġilda
	🧓🏾;adulti anzjan: ton medju-skur tal-ġilda;adulti anzjan|adulti anzjan: ton medju-skur tal-ġilda|anzjan|newtrali fil-ġeneru|ton medju-skur tal-ġilda
	🧓🏿;adulti anzjan: ton skur tal-ġilda;adulti anzjan|adulti anzjan: ton skur tal-ġilda|anzjan|newtrali fil-ġeneru|ton skur tal-ġilda
👴;raġel xiħ;raġel|xiħ
	👴🏻;raġel xiħ: ton ċar tal-ġilda;raġel|raġel xiħ: ton ċar tal-ġilda|ton ċar tal-ġilda|xiħ
	👴🏼;raġel xiħ: ton medju-ċar tal-ġilda;raġel|raġel xiħ: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|xiħ
	👴🏽;raġel xiħ: ton medju tal-ġilda;raġel|raġel xiħ: ton medju tal-ġilda|ton medju tal-ġilda|xiħ
	👴🏾;raġel xiħ: ton medju-skur tal-ġilda;raġel|raġel xiħ: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|xiħ
	👴🏿;raġel xiħ: ton skur tal-ġilda;raġel|raġel xiħ: ton skur tal-ġilda|ton skur tal-ġilda|xiħ
👵;mara xiħa;mara|xiħa
	👵🏻;mara xiħa: ton ċar tal-ġilda;mara|mara xiħa: ton ċar tal-ġilda|ton ċar tal-ġilda|xiħa
	👵🏼;mara xiħa: ton medju-ċar tal-ġilda;mara|mara xiħa: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda|xiħa
	👵🏽;mara xiħa: ton medju tal-ġilda;mara|mara xiħa: ton medju tal-ġilda|ton medju tal-ġilda|xiħa
	👵🏾;mara xiħa: ton medju-skur tal-ġilda;mara|mara xiħa: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda|xiħa
	👵🏿;mara xiħa: ton skur tal-ġilda;mara|mara xiħa: ton skur tal-ġilda|ton skur tal-ġilda|xiħa
🙍;persuna titkerrah;ġesti|persuna titkerrah|titkerrah
	🙍🏻;persuna titkerrah: ton ċar tal-ġilda;ġesti|persuna titkerrah|persuna titkerrah: ton ċar tal-ġilda|titkerrah|ton ċar tal-ġilda
	🙍🏼;persuna titkerrah: ton medju-ċar tal-ġilda;ġesti|persuna titkerrah|persuna titkerrah: ton medju-ċar tal-ġilda|titkerrah|ton medju-ċar tal-ġilda
	🙍🏽;persuna titkerrah: ton medju tal-ġilda;ġesti|persuna titkerrah|persuna titkerrah: ton medju tal-ġilda|titkerrah|ton medju tal-ġilda
	🙍🏾;persuna titkerrah: ton medju-skur tal-ġilda;ġesti|persuna titkerrah|persuna titkerrah: ton medju-skur tal-ġilda|titkerrah|ton medju-skur tal-ġilda
	🙍🏿;persuna titkerrah: ton skur tal-ġilda;ġesti|persuna titkerrah|persuna titkerrah: ton skur tal-ġilda|titkerrah|ton skur tal-ġilda
🙍‍♂️;raġel jitkerrah;ġesti|jitkerrah|raġel
	🙍🏻‍♂️;raġel jitkerrah: ton ċar tal-ġilda;ġesti|jitkerrah|raġel|raġel jitkerrah: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙍🏼‍♂️;raġel jitkerrah: ton medju-ċar tal-ġilda;ġesti|jitkerrah|raġel|raġel jitkerrah: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙍🏽‍♂️;raġel jitkerrah: ton medju tal-ġilda;ġesti|jitkerrah|raġel|raġel jitkerrah: ton medju tal-ġilda|ton medju tal-ġilda
	🙍🏾‍♂️;raġel jitkerrah: ton medju-skur tal-ġilda;ġesti|jitkerrah|raġel|raġel jitkerrah: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙍🏿‍♂️;raġel jitkerrah: ton skur tal-ġilda;ġesti|jitkerrah|raġel|raġel jitkerrah: ton skur tal-ġilda|ton skur tal-ġilda
🙍‍♀️;mara titkerrah;ġesti|mara|titkerrah
	🙍🏻‍♀️;mara titkerrah: ton ċar tal-ġilda;ġesti|mara|mara titkerrah: ton ċar tal-ġilda|titkerrah|ton ċar tal-ġilda
	🙍🏼‍♀️;mara titkerrah: ton medju-ċar tal-ġilda;ġesti|mara|mara titkerrah: ton medju-ċar tal-ġilda|titkerrah|ton medju-ċar tal-ġilda
	🙍🏽‍♀️;mara titkerrah: ton medju tal-ġilda;ġesti|mara|mara titkerrah: ton medju tal-ġilda|titkerrah|ton medju tal-ġilda
	🙍🏾‍♀️;mara titkerrah: ton medju-skur tal-ġilda;ġesti|mara|mara titkerrah: ton medju-skur tal-ġilda|titkerrah|ton medju-skur tal-ġilda
	🙍🏿‍♀️;mara titkerrah: ton skur tal-ġilda;ġesti|mara|mara titkerrah: ton skur tal-ġilda|titkerrah|ton skur tal-ġilda
🙎;persuna tisporġi x-xofftejn;ġesti|jisporġi x-xofftejn|persuna tisporġi x-xofftejn
	🙎🏻;persuna tisporġi x-xofftejn: ton ċar tal-ġilda;ġesti|jisporġi x-xofftejn|persuna tisporġi x-xofftejn|persuna tisporġi x-xofftejn: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙎🏼;persuna tisporġi x-xofftejn: ton medju-ċar tal-ġilda;ġesti|jisporġi x-xofftejn|persuna tisporġi x-xofftejn|persuna tisporġi x-xofftejn: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙎🏽;persuna tisporġi x-xofftejn: ton medju tal-ġilda;ġesti|jisporġi x-xofftejn|persuna tisporġi x-xofftejn|persuna tisporġi x-xofftejn: ton medju tal-ġilda|ton medju tal-ġilda
	🙎🏾;persuna tisporġi x-xofftejn: ton medju-skur tal-ġilda;ġesti|jisporġi x-xofftejn|persuna tisporġi x-xofftejn|persuna tisporġi x-xofftejn: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙎🏿;persuna tisporġi x-xofftejn: ton skur tal-ġilda;ġesti|jisporġi x-xofftejn|persuna tisporġi x-xofftejn|persuna tisporġi x-xofftejn: ton skur tal-ġilda|ton skur tal-ġilda
🙎‍♂️;raġel jisporġi x-xofftejn;ġesti|jisporġi x-xofftejn|raġel|raġel jisporġi x-xofftejn
	🙎🏻‍♂️;raġel jisporġi x-xofftejn: ton ċar tal-ġilda;ġesti|jisporġi x-xofftejn|raġel|raġel jisporġi x-xofftejn|raġel jisporġi x-xofftejn: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙎🏼‍♂️;raġel jisporġi x-xofftejn: ton medju-ċar tal-ġilda;ġesti|jisporġi x-xofftejn|raġel|raġel jisporġi x-xofftejn|raġel jisporġi x-xofftejn: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙎🏽‍♂️;raġel jisporġi x-xofftejn: ton medju tal-ġilda;ġesti|jisporġi x-xofftejn|raġel|raġel jisporġi x-xofftejn|raġel jisporġi x-xofftejn: ton medju tal-ġilda|ton medju tal-ġilda
	🙎🏾‍♂️;raġel jisporġi x-xofftejn: ton medju-skur tal-ġilda;ġesti|jisporġi x-xofftejn|raġel|raġel jisporġi x-xofftejn|raġel jisporġi x-xofftejn: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙎🏿‍♂️;raġel jisporġi x-xofftejn: ton skur tal-ġilda;ġesti|jisporġi x-xofftejn|raġel|raġel jisporġi x-xofftejn|raġel jisporġi x-xofftejn: ton skur tal-ġilda|ton skur tal-ġilda
🙎‍♀️;mara tisporġi x-xofftejn;ġesti|mara|mara tisporġi x-xofftejn|tisporġi x-xofftejn
	🙎🏻‍♀️;mara tisporġi x-xofftejn: ton ċar tal-ġilda;ġesti|mara|mara tisporġi x-xofftejn|mara tisporġi x-xofftejn: ton ċar tal-ġilda|tisporġi x-xofftejn|ton ċar tal-ġilda
	🙎🏼‍♀️;mara tisporġi x-xofftejn: ton medju-ċar tal-ġilda;ġesti|mara|mara tisporġi x-xofftejn|mara tisporġi x-xofftejn: ton medju-ċar tal-ġilda|tisporġi x-xofftejn|ton medju-ċar tal-ġilda
	🙎🏽‍♀️;mara tisporġi x-xofftejn: ton medju tal-ġilda;ġesti|mara|mara tisporġi x-xofftejn|mara tisporġi x-xofftejn: ton medju tal-ġilda|tisporġi x-xofftejn|ton medju tal-ġilda
	🙎🏾‍♀️;mara tisporġi x-xofftejn: ton medju-skur tal-ġilda;ġesti|mara|mara tisporġi x-xofftejn|mara tisporġi x-xofftejn: ton medju-skur tal-ġilda|tisporġi x-xofftejn|ton medju-skur tal-ġilda
	🙎🏿‍♀️;mara tisporġi x-xofftejn: ton skur tal-ġilda;ġesti|mara|mara tisporġi x-xofftejn|mara tisporġi x-xofftejn: ton skur tal-ġilda|tisporġi x-xofftejn|ton skur tal-ġilda
🙅;persuna tagħmel sinjal ta’ LE;bl-idejn|ġesti|ma|mhux|persuna tagħmel sinjal ta’ LE|pprojbiti|projbit
	🙅🏻;persuna tagħmel sinjal ta’ LE: ton ċar tal-ġilda;bl-idejn|ġesti|ma|mhux|persuna tagħmel sinjal ta’ LE|persuna tagħmel sinjal ta’ LE: ton ċar tal-ġilda|pprojbiti|projbit|ton ċar tal-ġilda
	🙅🏼;persuna tagħmel sinjal ta’ LE: ton medju-ċar tal-ġilda;bl-idejn|ġesti|ma|mhux|persuna tagħmel sinjal ta’ LE|persuna tagħmel sinjal ta’ LE: ton medju-ċar tal-ġilda|pprojbiti|projbit|ton medju-ċar tal-ġilda
	🙅🏽;persuna tagħmel sinjal ta’ LE: ton medju tal-ġilda;bl-idejn|ġesti|ma|mhux|persuna tagħmel sinjal ta’ LE|persuna tagħmel sinjal ta’ LE: ton medju tal-ġilda|pprojbiti|projbit|ton medju tal-ġilda
	🙅🏾;persuna tagħmel sinjal ta’ LE: ton medju-skur tal-ġilda;bl-idejn|ġesti|ma|mhux|persuna tagħmel sinjal ta’ LE|persuna tagħmel sinjal ta’ LE: ton medju-skur tal-ġilda|pprojbiti|projbit|ton medju-skur tal-ġilda
	🙅🏿;persuna tagħmel sinjal ta’ LE: ton skur tal-ġilda;bl-idejn|ġesti|ma|mhux|persuna tagħmel sinjal ta’ LE|persuna tagħmel sinjal ta’ LE: ton skur tal-ġilda|pprojbiti|projbit|ton skur tal-ġilda
🙅‍♂️;raġel jagħmel sinjal ta’ LE;bl-idejn|ġesti|mhux|pprojbiti|projbit|raġel|raġel jagħmel sinjal ta’ LE
	🙅🏻‍♂️;raġel jagħmel sinjal ta’ LE: ton ċar tal-ġilda;bl-idejn|ġesti|mhux|pprojbiti|projbit|raġel|raġel jagħmel sinjal ta’ LE|raġel jagħmel sinjal ta’ LE: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙅🏼‍♂️;raġel jagħmel sinjal ta’ LE: ton medju-ċar tal-ġilda;bl-idejn|ġesti|mhux|pprojbiti|projbit|raġel|raġel jagħmel sinjal ta’ LE|raġel jagħmel sinjal ta’ LE: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙅🏽‍♂️;raġel jagħmel sinjal ta’ LE: ton medju tal-ġilda;bl-idejn|ġesti|mhux|pprojbiti|projbit|raġel|raġel jagħmel sinjal ta’ LE|raġel jagħmel sinjal ta’ LE: ton medju tal-ġilda|ton medju tal-ġilda
	🙅🏾‍♂️;raġel jagħmel sinjal ta’ LE: ton medju-skur tal-ġilda;bl-idejn|ġesti|mhux|pprojbiti|projbit|raġel|raġel jagħmel sinjal ta’ LE|raġel jagħmel sinjal ta’ LE: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙅🏿‍♂️;raġel jagħmel sinjal ta’ LE: ton skur tal-ġilda;bl-idejn|ġesti|mhux|pprojbiti|projbit|raġel|raġel jagħmel sinjal ta’ LE|raġel jagħmel sinjal ta’ LE: ton skur tal-ġilda|ton skur tal-ġilda
🙅‍♀️;mara tagħmel sinjal ta’ LE;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ LE|mhux|pprojbiti|projbit
	🙅🏻‍♀️;mara tagħmel sinjal ta’ LE: ton ċar tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ LE|mara tagħmel sinjal ta’ LE: ton ċar tal-ġilda|mhux|pprojbiti|projbit|ton ċar tal-ġilda
	🙅🏼‍♀️;mara tagħmel sinjal ta’ LE: ton medju-ċar tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ LE|mara tagħmel sinjal ta’ LE: ton medju-ċar tal-ġilda|mhux|pprojbiti|projbit|ton medju-ċar tal-ġilda
	🙅🏽‍♀️;mara tagħmel sinjal ta’ LE: ton medju tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ LE|mara tagħmel sinjal ta’ LE: ton medju tal-ġilda|mhux|pprojbiti|projbit|ton medju tal-ġilda
	🙅🏾‍♀️;mara tagħmel sinjal ta’ LE: ton medju-skur tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ LE|mara tagħmel sinjal ta’ LE: ton medju-skur tal-ġilda|mhux|pprojbiti|projbit|ton medju-skur tal-ġilda
	🙅🏿‍♀️;mara tagħmel sinjal ta’ LE: ton skur tal-ġilda;bl-idejn|ġesti|mara|mara tagħmel sinjal ta’ LE|mara tagħmel sinjal ta’ LE: ton skur tal-ġilda|mhux|pprojbiti|projbit|ton skur tal-ġilda
🙆;persuna tagħmel sinjal ta’ OK;bl-idejn|ġesti|OK|persuna tagħmel sinjal ta’ OK
	🙆🏻;persuna tagħmel sinjal ta’ OK: ton ċar tal-ġilda;bl-idejn|ġesti|OK|persuna tagħmel sinjal ta’ OK|persuna tagħmel sinjal ta’ OK: ton ċar tal-ġilda|ton ċar tal-ġilda
	🙆🏼;persuna tagħmel sinjal ta’ OK: ton medju-ċar tal-ġilda;bl-idejn|ġesti|OK|persuna tagħmel sinjal ta’ OK|persuna tagħmel sinjal ta’ OK: ton medju-ċar tal-ġilda|ton medju-ċar tal-ġilda
	🙆🏽;persuna tagħmel sinjal ta’ OK: ton medju tal-ġilda;bl-idejn|ġesti|OK|persuna tagħmel sinjal ta’ OK|persuna tagħmel sinjal ta’ OK: ton medju tal-ġilda|ton medju tal-ġilda
	🙆🏾;persuna tagħmel sinjal ta’ OK: ton medju-skur tal-ġilda;bl-idejn|ġesti|OK|persuna tagħmel sinjal ta’ OK|persuna tagħmel sinjal ta’ OK: ton medju-skur tal-ġilda|ton medju-skur tal-ġilda
	🙆🏿;persuna tagħmel sinjal ta’ OK: ton skur tal-ġilda;bl-idejn|ġesti|OK|persuna tagħmel sinjal ta’ OK|persuna tagħmel sinjal ta’ OK: ton skur tal-ġilda|ton skur tal-ġilda
🙆‍♂️;raġel jagħmel sinjal ta’ OK;bl-idejn|ġesti|OK|raġel|raġel jagħmel sinjal ta’ OK
