[smileys_emotion]
😀;față încântată;față|față încântată|încântare
	🫱🏻‍🫲🏿;strângere de mână: ton deschis al pielii, ton închis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton deschis al pielii, ton închis al pielii|ton deschis al pielii|ton închis al pielii
	🫱🏼‍🫲🏻;strângere de mână: ton semi‑deschis al pielii, ton deschis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑deschis al pielii, ton deschis al pielii|ton deschis al pielii|ton semi‑deschis al pielii
	🫱🏼‍🫲🏽;strângere de mână: ton semi‑deschis al pielii, ton mediu al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑deschis al pielii, ton mediu al pielii|ton mediu al pielii|ton semi‑deschis al pielii
	🫱🏼‍🫲🏾;strângere de mână: ton semi‑deschis al pielii, ton semi‑închis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑deschis al pielii, ton semi‑închis al pielii|ton semi‑deschis al pielii|ton semi‑închis al pielii
	🫱🏼‍🫲🏿;strângere de mână: ton semi‑deschis al pielii, ton închis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑deschis al pielii, ton închis al pielii|ton închis al pielii|ton semi‑deschis al pielii
	🫱🏽‍🫲🏻;strângere de mână: ton mediu al pielii, ton deschis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton mediu al pielii, ton deschis al pielii|ton deschis al pielii|ton mediu al pielii
	🫱🏽‍🫲🏼;strângere de mână: ton mediu al pielii, ton semi‑deschis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton mediu al pielii, ton semi‑deschis al pielii|ton mediu al pielii|ton semi‑deschis al pielii
	🫱🏽‍🫲🏾;strângere de mână: ton mediu al pielii, ton semi‑închis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton mediu al pielii, ton semi‑închis al pielii|ton mediu al pielii|ton semi‑închis al pielii
	🫱🏽‍🫲🏿;strângere de mână: ton mediu al pielii, ton închis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton mediu al pielii, ton închis al pielii|ton închis al pielii|ton mediu al pielii
	🫱🏾‍🫲🏻;strângere de mână: ton semi‑închis al pielii, ton deschis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑închis al pielii, ton deschis al pielii|ton deschis al pielii|ton semi‑închis al pielii
	🫱🏾‍🫲🏼;strângere de mână: ton semi‑închis al pielii, ton semi‑deschis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑închis al pielii, ton semi‑deschis al pielii|ton semi‑deschis al pielii|ton semi‑închis al pielii
	🫱🏾‍🫲🏽;strângere de mână: ton semi‑închis al pielii, ton mediu al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑închis al pielii, ton mediu al pielii|ton mediu al pielii|ton semi‑închis al pielii
	🫱🏾‍🫲🏿;strângere de mână: ton semi‑închis al pielii, ton închis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton semi‑închis al pielii, ton închis al pielii|ton închis al pielii|ton semi‑închis al pielii
	🫱🏿‍🫲🏻;strângere de mână: ton închis al pielii, ton deschis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton închis al pielii, ton deschis al pielii|ton deschis al pielii|ton închis al pielii
	🫱🏿‍🫲🏼;strângere de mână: ton închis al pielii, ton semi‑deschis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton închis al pielii, ton semi‑deschis al pielii|ton închis al pielii|ton semi‑deschis al pielii
	🫱🏿‍🫲🏽;strângere de mână: ton închis al pielii, ton mediu al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton închis al pielii, ton mediu al pielii|ton închis al pielii|ton mediu al pielii
	🫱🏿‍🫲🏾;strângere de mână: ton închis al pielii, ton semi‑închis al pielii;acord|întâlnire|înțelegere|mână|noroc|strângere de mână|strângere de mână: ton închis al pielii, ton semi‑închis al pielii|ton închis al pielii|ton semi‑închis al pielii
🙏;mâini unite;mâini|mâini unite|mulțumiri|rugăciune|te rog
	🙏🏻;mâini unite: ton deschis al pielii;mâini|mâini unite|mâini unite: ton deschis al pielii|mulțumiri|rugăciune|te rog|ton deschis al pielii
	🙏🏼;mâini unite: ton semi‑deschis al pielii;mâini|mâini unite|mâini unite: ton semi‑deschis al pielii|mulțumiri|rugăciune|te rog|ton semi‑deschis al pielii
	🙏🏽;mâini unite: ton mediu al pielii;mâini|mâini unite|mâini unite: ton mediu al pielii|mulțumiri|rugăciune|te rog|ton mediu al pielii
	🙏🏾;mâini unite: ton semi‑închis al pielii;mâini|mâini unite|mâini unite: ton semi‑închis al pielii|mulțumiri|rugăciune|te rog|ton semi‑închis al pielii
	🙏🏿;mâini unite: ton închis al pielii;mâini|mâini unite|mâini unite: ton închis al pielii|mulțumiri|rugăciune|te rog|ton închis al pielii
✍️;mână scriind;mână|mână scriind|scris
	✍🏻;mână scriind: ton deschis al pielii;mână|mână scriind|mână scriind: ton deschis al pielii|scris|ton deschis al pielii
	✍🏼;mână scriind: ton semi‑deschis al pielii;mână|mână scriind|mână scriind: ton semi‑deschis al pielii|scris|ton semi‑deschis al pielii
	✍🏽;mână scriind: ton mediu al pielii;mână|mână scriind|mână scriind: ton mediu al pielii|scris|ton mediu al pielii
	✍🏾;mână scriind: ton semi‑închis al pielii;mână|mână scriind|mână scriind: ton semi‑închis al pielii|scris|ton semi‑închis al pielii
	✍🏿;mână scriind: ton închis al pielii;mână|mână scriind|mână scriind: ton închis al pielii|scris|ton închis al pielii
💅;ojă pe unghii;lac de unghii|manichiură|ojă|ojă pe unghii|unghie
	💅🏻;ojă pe unghii: ton deschis al pielii;lac de unghii|manichiură|ojă|ojă pe unghii|ojă pe unghii: ton deschis al pielii|ton deschis al pielii|unghie
	💅🏼;ojă pe unghii: ton semi‑deschis al pielii;lac de unghii|manichiură|ojă|ojă pe unghii|ojă pe unghii: ton semi‑deschis al pielii|ton semi‑deschis al pielii|unghie
	💅🏽;ojă pe unghii: ton mediu al pielii;lac de unghii|manichiură|ojă|ojă pe unghii|ojă pe unghii: ton mediu al pielii|ton mediu al pielii|unghie
	💅🏾;ojă pe unghii: ton semi‑închis al pielii;lac de unghii|manichiură|ojă|ojă pe unghii|ojă pe unghii: ton semi‑închis al pielii|ton semi‑închis al pielii|unghie
	💅🏿;ojă pe unghii: ton închis al pielii;lac de unghii|manichiură|ojă|ojă pe unghii|ojă pe unghii: ton închis al pielii|ton închis al pielii|unghie
🤳;selfie;aparat de fotografiat|selfie|telefon
	🤳🏻;selfie: ton deschis al pielii;aparat de fotografiat|selfie|selfie: ton deschis al pielii|telefon|ton deschis al pielii
	🤳🏼;selfie: ton semi‑deschis al pielii;aparat de fotografiat|selfie|selfie: ton semi‑deschis al pielii|telefon|ton semi‑deschis al pielii
	🤳🏽;selfie: ton mediu al pielii;aparat de fotografiat|selfie|selfie: ton mediu al pielii|telefon|ton mediu al pielii
	🤳🏾;selfie: ton semi‑închis al pielii;aparat de fotografiat|selfie|selfie: ton semi‑închis al pielii|telefon|ton semi‑închis al pielii
	🤳🏿;selfie: ton închis al pielii;aparat de fotografiat|selfie|selfie: ton închis al pielii|telefon|ton închis al pielii
💪;biceps flexat;amuzant|biceps flexat|corp|forță|mușchi
	💪🏻;biceps flexat: ton deschis al pielii;amuzant|biceps flexat|biceps flexat: ton deschis al pielii|corp|forță|mușchi|ton deschis al pielii
	💪🏼;biceps flexat: ton semi‑deschis al pielii;amuzant|biceps flexat|biceps flexat: ton semi‑deschis al pielii|corp|forță|mușchi|ton semi‑deschis al pielii
	💪🏽;biceps flexat: ton mediu al pielii;amuzant|biceps flexat|biceps flexat: ton mediu al pielii|corp|forță|mușchi|ton mediu al pielii
	💪🏾;biceps flexat: ton semi‑închis al pielii;amuzant|biceps flexat|biceps flexat: ton semi‑închis al pielii|corp|forță|mușchi|ton semi‑închis al pielii
	💪🏿;biceps flexat: ton închis al pielii;amuzant|biceps flexat|biceps flexat: ton închis al pielii|corp|forță|mușchi|ton închis al pielii
🦾;braț mecanic;accesibilitate|braț mecanic|protetic|proteză
🦿;picior mecanic;accesibilitate|picior mecanic|protetic|proteză
🦵;picior;membru|picior|șut
	🦵🏻;picior: ton deschis al pielii;membru|picior|picior: ton deschis al pielii|șut|ton deschis al pielii
	🦵🏼;picior: ton semi‑deschis al pielii;membru|picior|picior: ton semi‑deschis al pielii|șut|ton semi‑deschis al pielii
	🦵🏽;picior: ton mediu al pielii;membru|picior|picior: ton mediu al pielii|șut|ton mediu al pielii
	🦵🏾;picior: ton semi‑închis al pielii;membru|picior|picior: ton semi‑închis al pielii|șut|ton semi‑închis al pielii
	🦵🏿;picior: ton închis al pielii;membru|picior|picior: ton închis al pielii|șut|ton închis al pielii
🦶;laba piciorului;călcat|laba piciorului|șut
	🦶🏻;laba piciorului: ton deschis al pielii;călcat|laba piciorului|laba piciorului: ton deschis al pielii|șut|ton deschis al pielii
	🦶🏼;laba piciorului: ton semi‑deschis al pielii;călcat|laba piciorului|laba piciorului: ton semi‑deschis al pielii|șut|ton semi‑deschis al pielii
	🦶🏽;laba piciorului: ton mediu al pielii;călcat|laba piciorului|laba piciorului: ton mediu al pielii|șut|ton mediu al pielii
	🦶🏾;laba piciorului: ton semi‑închis al pielii;călcat|laba piciorului|laba piciorului: ton semi‑închis al pielii|șut|ton semi‑închis al pielii
	🦶🏿;laba piciorului: ton închis al pielii;călcat|laba piciorului|laba piciorului: ton închis al pielii|șut|ton închis al pielii
👂;ureche;corp|ureche
	👂🏻;ureche: ton deschis al pielii;corp|ton deschis al pielii|ureche|ureche: ton deschis al pielii
	👂🏼;ureche: ton semi‑deschis al pielii;corp|ton semi‑deschis al pielii|ureche|ureche: ton semi‑deschis al pielii
	👂🏽;ureche: ton mediu al pielii;corp|ton mediu al pielii|ureche|ureche: ton mediu al pielii
	👂🏾;ureche: ton semi‑închis al pielii;corp|ton semi‑închis al pielii|ureche|ureche: ton semi‑închis al pielii
	👂🏿;ureche: ton închis al pielii;corp|ton închis al pielii|ureche|ureche: ton închis al pielii
🦻;ureche cu proteză auditivă;accesibilitate|deficiențe auditive|hipoacuzie|ureche cu proteză auditivă
	🦻🏻;ureche cu proteză auditivă: ton deschis al pielii;accesibilitate|deficiențe auditive|hipoacuzie|ton deschis al pielii|ureche cu proteză auditivă|ureche cu proteză auditivă: ton deschis al pielii
	🦻🏼;ureche cu proteză auditivă: ton semi‑deschis al pielii;accesibilitate|deficiențe auditive|hipoacuzie|ton semi‑deschis al pielii|ureche cu proteză auditivă|ureche cu proteză auditivă: ton semi‑deschis al pielii
	🦻🏽;ureche cu proteză auditivă: ton mediu al pielii;accesibilitate|deficiențe auditive|hipoacuzie|ton mediu al pielii|ureche cu proteză auditivă|ureche cu proteză auditivă: ton mediu al pielii
	🦻🏾;ureche cu proteză auditivă: ton semi‑închis al pielii;accesibilitate|deficiențe auditive|hipoacuzie|ton semi‑închis al pielii|ureche cu proteză auditivă|ureche cu proteză auditivă: ton semi‑închis al pielii
	🦻🏿;ureche cu proteză auditivă: ton închis al pielii;accesibilitate|deficiențe auditive|hipoacuzie|ton închis al pielii|ureche cu proteză auditivă|ureche cu proteză auditivă: ton închis al pielii
👃;nas;corp|nas
	👃🏻;nas: ton deschis al pielii;corp|nas|nas: ton deschis al pielii|ton deschis al pielii
	👃🏼;nas: ton semi‑deschis al pielii;corp|nas|nas: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	👃🏽;nas: ton mediu al pielii;corp|nas|nas: ton mediu al pielii|ton mediu al pielii
	👃🏾;nas: ton semi‑închis al pielii;corp|nas|nas: ton semi‑închis al pielii|ton semi‑închis al pielii
	👃🏿;nas: ton închis al pielii;corp|nas|nas: ton închis al pielii|ton închis al pielii
🧠;creier;creier|inteligent
🫀;inimă;anatomic|cardiologie|inimă|organ|puls
🫁;plămâni;expirare|inhalare|inspirare|organ|plămâni|respirare|respirație
🦷;dinte;dentist|dinte|stomatolog
🦴;os;os|schelet
👀;doi ochi;doi|față|ochi
👁️;un ochi;corp|un ochi
👅;limbă;corp|limbă
👄;gură;buze|gură
🫦;buză mușcată;anxietate|buză mușcată|flirt|frică|îngrijorare|neliniște|neplăcut|nervozitate
👶;bebeluș;bebe|bebeluș|copilaș|tânăr
	👶🏻;bebeluș: ton deschis al pielii;bebe|bebeluș|bebeluș: ton deschis al pielii|copilaș|tânăr|ton deschis al pielii
	👶🏼;bebeluș: ton semi‑deschis al pielii;bebe|bebeluș|bebeluș: ton semi‑deschis al pielii|copilaș|tânăr|ton semi‑deschis al pielii
	👶🏽;bebeluș: ton mediu al pielii;bebe|bebeluș|bebeluș: ton mediu al pielii|copilaș|tânăr|ton mediu al pielii
	👶🏾;bebeluș: ton semi‑închis al pielii;bebe|bebeluș|bebeluș: ton semi‑închis al pielii|copilaș|tânăr|ton semi‑închis al pielii
	👶🏿;bebeluș: ton închis al pielii;bebe|bebeluș|bebeluș: ton închis al pielii|copilaș|tânăr|ton închis al pielii
🧒;copil;copil|neutru|tânăr
	🧒🏻;copil: ton deschis al pielii;copil|copil: ton deschis al pielii|neutru|tânăr|ton deschis al pielii
	🧒🏼;copil: ton semi‑deschis al pielii;copil|copil: ton semi‑deschis al pielii|neutru|tânăr|ton semi‑deschis al pielii
	🧒🏽;copil: ton mediu al pielii;copil|copil: ton mediu al pielii|neutru|tânăr|ton mediu al pielii
	🧒🏾;copil: ton semi‑închis al pielii;copil|copil: ton semi‑închis al pielii|neutru|tânăr|ton semi‑închis al pielii
	🧒🏿;copil: ton închis al pielii;copil|copil: ton închis al pielii|neutru|tânăr|ton închis al pielii
👦;băiat;băiat|copil|tânăr
	👦🏻;băiat: ton deschis al pielii;băiat|băiat: ton deschis al pielii|copil|tânăr|ton deschis al pielii
	👦🏼;băiat: ton semi‑deschis al pielii;băiat|băiat: ton semi‑deschis al pielii|copil|tânăr|ton semi‑deschis al pielii
	👦🏽;băiat: ton mediu al pielii;băiat|băiat: ton mediu al pielii|copil|tânăr|ton mediu al pielii
	👦🏾;băiat: ton semi‑închis al pielii;băiat|băiat: ton semi‑închis al pielii|copil|tânăr|ton semi‑închis al pielii
	👦🏿;băiat: ton închis al pielii;băiat|băiat: ton închis al pielii|copil|tânăr|ton închis al pielii
👧;fată;copil|fată|Fecioară|tânără|zodiac
	👧🏻;fată: ton deschis al pielii;copil|fată|fată: ton deschis al pielii|Fecioară|tânără|ton deschis al pielii|zodiac
	👧🏼;fată: ton semi‑deschis al pielii;copil|fată|fată: ton semi‑deschis al pielii|Fecioară|tânără|ton semi‑deschis al pielii|zodiac
	👧🏽;fată: ton mediu al pielii;copil|fată|fată: ton mediu al pielii|Fecioară|tânără|ton mediu al pielii|zodiac
	👧🏾;fată: ton semi‑închis al pielii;copil|fată|fată: ton semi‑închis al pielii|Fecioară|tânără|ton semi‑închis al pielii|zodiac
	👧🏿;fată: ton închis al pielii;copil|fată|fată: ton închis al pielii|Fecioară|tânără|ton închis al pielii|zodiac
🧑;adult;adult|neutru|persoană
	🧑🏻;adult: ton deschis al pielii;adult|adult: ton deschis al pielii|neutru|persoană|ton deschis al pielii
	🧑🏼;adult: ton semi‑deschis al pielii;adult|adult: ton semi‑deschis al pielii|neutru|persoană|ton semi‑deschis al pielii
	🧑🏽;adult: ton mediu al pielii;adult|adult: ton mediu al pielii|neutru|persoană|ton mediu al pielii
	🧑🏾;adult: ton semi‑închis al pielii;adult|adult: ton semi‑închis al pielii|neutru|persoană|ton semi‑închis al pielii
	🧑🏿;adult: ton închis al pielii;adult|adult: ton închis al pielii|neutru|persoană|ton închis al pielii
👱;persoană blondă;blond|om|păr|persoană blondă|persoană cu păr blond
	👱🏻;persoană blondă: ton deschis al pielii;blond|om|păr|persoană blondă|persoană blondă: ton deschis al pielii|persoană cu păr blond|ton deschis al pielii
	👱🏼;persoană blondă: ton semi‑deschis al pielii;blond|om|păr|persoană blondă|persoană blondă: ton semi‑deschis al pielii|persoană cu păr blond|ton semi‑deschis al pielii
	👱🏽;persoană blondă: ton mediu al pielii;blond|om|păr|persoană blondă|persoană blondă: ton mediu al pielii|persoană cu păr blond|ton mediu al pielii
	👱🏾;persoană blondă: ton semi‑închis al pielii;blond|om|păr|persoană blondă|persoană blondă: ton semi‑închis al pielii|persoană cu păr blond|ton semi‑închis al pielii
	👱🏿;persoană blondă: ton închis al pielii;blond|om|păr|persoană blondă|persoană blondă: ton închis al pielii|persoană cu păr blond|ton închis al pielii
👨;bărbat;adult|bărbat
	👨🏻;bărbat: ton deschis al pielii;adult|bărbat|bărbat: ton deschis al pielii|ton deschis al pielii
	👨🏼;bărbat: ton semi‑deschis al pielii;adult|bărbat|bărbat: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	👨🏽;bărbat: ton mediu al pielii;adult|bărbat|bărbat: ton mediu al pielii|ton mediu al pielii
	👨🏾;bărbat: ton semi‑închis al pielii;adult|bărbat|bărbat: ton semi‑închis al pielii|ton semi‑închis al pielii
	👨🏿;bărbat: ton închis al pielii;adult|bărbat|bărbat: ton închis al pielii|ton închis al pielii
🧔;bărbat cu barbă;barbă|bărbat|bărbat cu barbă|persoană
	🧔🏻;bărbat cu barbă: ton deschis al pielii;barbă|bărbat|bărbat cu barbă|bărbat cu barbă: ton deschis al pielii|persoană|ton deschis al pielii
	🧔🏼;bărbat cu barbă: ton semi‑deschis al pielii;barbă|bărbat|bărbat cu barbă|bărbat cu barbă: ton semi‑deschis al pielii|persoană|ton semi‑deschis al pielii
	🧔🏽;bărbat cu barbă: ton mediu al pielii;barbă|bărbat|bărbat cu barbă|bărbat cu barbă: ton mediu al pielii|persoană|ton mediu al pielii
	🧔🏾;bărbat cu barbă: ton semi‑închis al pielii;barbă|bărbat|bărbat cu barbă|bărbat cu barbă: ton semi‑închis al pielii|persoană|ton semi‑închis al pielii
	🧔🏿;bărbat cu barbă: ton închis al pielii;barbă|bărbat|bărbat cu barbă|bărbat cu barbă: ton închis al pielii|persoană|ton închis al pielii
🧔‍♂️;bărbat: barbă;barbă|bărbat|bărbat: barbă
	🧔🏻‍♂️;bărbat: ton deschis al pielii, barbă;barbă|bărbat|bărbat: barbă|bărbat: ton deschis al pielii, barbă|ton deschis al pielii
	🧔🏼‍♂️;bărbat: ton semi‑deschis al pielii, barbă;barbă|bărbat|bărbat: barbă|bărbat: ton semi‑deschis al pielii, barbă|ton semi‑deschis al pielii
	🧔🏽‍♂️;bărbat: ton mediu al pielii, barbă;barbă|bărbat|bărbat: barbă|bărbat: ton mediu al pielii, barbă|ton mediu al pielii
	🧔🏾‍♂️;bărbat: ton semi‑închis al pielii, barbă;barbă|bărbat|bărbat: barbă|bărbat: ton semi‑închis al pielii, barbă|ton semi‑închis al pielii
	🧔🏿‍♂️;bărbat: ton închis al pielii, barbă;barbă|bărbat|bărbat: barbă|bărbat: ton închis al pielii, barbă|ton închis al pielii
🧔‍♀️;femeie: barbă;barbă|femeie|femeie: barbă
	🧔🏻‍♀️;femeie: ton deschis al pielii, barbă;barbă|femeie|femeie: barbă|femeie: ton deschis al pielii, barbă|ton deschis al pielii
	🧔🏼‍♀️;femeie: ton semi‑deschis al pielii, barbă;barbă|femeie|femeie: barbă|femeie: ton semi‑deschis al pielii, barbă|ton semi‑deschis al pielii
	🧔🏽‍♀️;femeie: ton mediu al pielii, barbă;barbă|femeie|femeie: barbă|femeie: ton mediu al pielii, barbă|ton mediu al pielii
	🧔🏾‍♀️;femeie: ton semi‑închis al pielii, barbă;barbă|femeie|femeie: barbă|femeie: ton semi‑închis al pielii, barbă|ton semi‑închis al pielii
	🧔🏿‍♀️;femeie: ton închis al pielii, barbă;barbă|femeie|femeie: barbă|femeie: ton închis al pielii, barbă|ton închis al pielii
👨‍🦰;bărbat: păr roșcat;adult|bărbat|bărbat: păr roșcat|păr roșcat
	👨🏻‍🦰;bărbat: ton deschis al pielii, păr roșcat;adult|bărbat|bărbat: ton deschis al pielii, păr roșcat|păr roșcat|ton deschis al pielii
	👨🏼‍🦰;bărbat: ton semi‑deschis al pielii, păr roșcat;adult|bărbat|bărbat: ton semi‑deschis al pielii, păr roșcat|păr roșcat|ton semi‑deschis al pielii
	👨🏽‍🦰;bărbat: ton mediu al pielii, păr roșcat;adult|bărbat|bărbat: ton mediu al pielii, păr roșcat|păr roșcat|ton mediu al pielii
	👨🏾‍🦰;bărbat: ton semi‑închis al pielii, păr roșcat;adult|bărbat|bărbat: ton semi‑închis al pielii, păr roșcat|păr roșcat|ton semi‑închis al pielii
	👨🏿‍🦰;bărbat: ton închis al pielii, păr roșcat;adult|bărbat|bărbat: ton închis al pielii, păr roșcat|păr roșcat|ton închis al pielii
👨‍🦱;bărbat: păr creț;adult|bărbat|bărbat: păr creț|păr creț
	👨🏻‍🦱;bărbat: ton deschis al pielii, păr creț;adult|bărbat|bărbat: ton deschis al pielii, păr creț|păr creț|ton deschis al pielii
	👨🏼‍🦱;bărbat: ton semi‑deschis al pielii, păr creț;adult|bărbat|bărbat: ton semi‑deschis al pielii, păr creț|păr creț|ton semi‑deschis al pielii
	👨🏽‍🦱;bărbat: ton mediu al pielii, păr creț;adult|bărbat|bărbat: ton mediu al pielii, păr creț|păr creț|ton mediu al pielii
	👨🏾‍🦱;bărbat: ton semi‑închis al pielii, păr creț;adult|bărbat|bărbat: ton semi‑închis al pielii, păr creț|păr creț|ton semi‑închis al pielii
	👨🏿‍🦱;bărbat: ton închis al pielii, păr creț;adult|bărbat|bărbat: ton închis al pielii, păr creț|păr creț|ton închis al pielii
👨‍🦳;bărbat: păr alb;adult|bărbat|bărbat: păr alb|păr alb
	👨🏻‍🦳;bărbat: ton deschis al pielii, păr alb;adult|bărbat|bărbat: ton deschis al pielii, păr alb|păr alb|ton deschis al pielii
	👨🏼‍🦳;bărbat: ton semi‑deschis al pielii, păr alb;adult|bărbat|bărbat: ton semi‑deschis al pielii, păr alb|păr alb|ton semi‑deschis al pielii
	👨🏽‍🦳;bărbat: ton mediu al pielii, păr alb;adult|bărbat|bărbat: ton mediu al pielii, păr alb|păr alb|ton mediu al pielii
	👨🏾‍🦳;bărbat: ton semi‑închis al pielii, păr alb;adult|bărbat|bărbat: ton semi‑închis al pielii, păr alb|păr alb|ton semi‑închis al pielii
	👨🏿‍🦳;bărbat: ton închis al pielii, păr alb;adult|bărbat|bărbat: ton închis al pielii, păr alb|păr alb|ton închis al pielii
👨‍🦲;bărbat: chelie;adult|bărbat|bărbat: chelie|chelie
	👨🏻‍🦲;bărbat: ton deschis al pielii, chelie;adult|bărbat|bărbat: ton deschis al pielii, chelie|chelie|ton deschis al pielii
	👨🏼‍🦲;bărbat: ton semi‑deschis al pielii, chelie;adult|bărbat|bărbat: ton semi‑deschis al pielii, chelie|chelie|ton semi‑deschis al pielii
	👨🏽‍🦲;bărbat: ton mediu al pielii, chelie;adult|bărbat|bărbat: ton mediu al pielii, chelie|chelie|ton mediu al pielii
	👨🏾‍🦲;bărbat: ton semi‑închis al pielii, chelie;adult|bărbat|bărbat: ton semi‑închis al pielii, chelie|chelie|ton semi‑închis al pielii
	👨🏿‍🦲;bărbat: ton închis al pielii, chelie;adult|bărbat|bărbat: ton închis al pielii, chelie|chelie|ton închis al pielii
👩;femeie;adultă|femeie
	👩🏻;femeie: ton deschis al pielii;adultă|femeie|femeie: ton deschis al pielii|ton deschis al pielii
	👩🏼;femeie: ton semi‑deschis al pielii;adultă|femeie|femeie: ton semi‑deschis al pielii|ton semi‑deschis al pielii
	👩🏽;femeie: ton mediu al pielii;adultă|femeie|femeie: ton mediu al pielii|ton mediu al pielii
	👩🏾;femeie: ton semi‑închis al pielii;adultă|femeie|femeie: ton semi‑închis al pielii|ton semi‑închis al pielii
	👩🏿;femeie: ton închis al pielii;adultă|femeie|femeie: ton închis al pielii|ton închis al pielii
👩‍🦰;femeie: păr roșcat;adultă|femeie|femeie: păr roșcat|păr roșcat
	👩🏻‍🦰;femeie: ton deschis al pielii, păr roșcat;adultă|femeie|femeie: ton deschis al pielii, păr roșcat|păr roșcat|ton deschis al pielii
	👩🏼‍🦰;femeie: ton semi‑deschis al pielii, păr roșcat;adultă|femeie|femeie: ton semi‑deschis al pielii, păr roșcat|păr roșcat|ton semi‑deschis al pielii
	👩🏽‍🦰;femeie: ton mediu al pielii, păr roșcat;adultă|femeie|femeie: ton mediu al pielii, păr roșcat|păr roșcat|ton mediu al pielii
	👩🏾‍🦰;femeie: ton semi‑închis al pielii, păr roșcat;adultă|femeie|femeie: ton semi‑închis al pielii, păr roșcat|păr roșcat|ton semi‑închis al pielii
	👩🏿‍🦰;femeie: ton închis al pielii, păr roșcat;adultă|femeie|femeie: ton închis al pielii, păr roșcat|păr roșcat|ton închis al pielii
🧑‍🦰;adult: păr roșcat;adult|adult: păr roșcat|neutru|păr roșcat|persoană
	🧑🏻‍🦰;adult: ton deschis al pielii, păr roșcat;adult|adult: ton deschis al pielii, păr roșcat|neutru|păr roșcat|persoană|ton deschis al pielii
	🧑🏼‍🦰;adult: ton semi‑deschis al pielii, păr roșcat;adult|adult: ton semi‑deschis al pielii, păr roșcat|neutru|păr roșcat|persoană|ton semi‑deschis al pielii
	🧑🏽‍🦰;adult: ton mediu al pielii, păr roșcat;adult|adult: ton mediu al pielii, păr roșcat|neutru|păr roșcat|persoană|ton mediu al pielii
	🧑🏾‍🦰;adult: ton semi‑închis al pielii, păr roșcat;adult|adult: ton semi‑închis al pielii, păr roșcat|neutru|păr roșcat|persoană|ton semi‑închis al pielii
	🧑🏿‍🦰;adult: ton închis al pielii, păr roșcat;adult|adult: ton închis al pielii, păr roșcat|neutru|păr roșcat|persoană|ton închis al pielii
👩‍🦱;femeie: păr creț;adultă|femeie|femeie: păr creț|păr creț
	👩🏻‍🦱;femeie: ton deschis al pielii, păr creț;adultă|femeie|femeie: ton deschis al pielii, păr creț|păr creț|ton deschis al pielii
	👩🏼‍🦱;femeie: ton semi‑deschis al pielii, păr creț;adultă|femeie|femeie: ton semi‑deschis al pielii, păr creț|păr creț|ton semi‑deschis al pielii
	👩🏽‍🦱;femeie: ton mediu al pielii, păr creț;adultă|femeie|femeie: ton mediu al pielii, păr creț|păr creț|ton mediu al pielii
	👩🏾‍🦱;femeie: ton semi‑închis al pielii, păr creț;adultă|femeie|femeie: ton semi‑închis al pielii, păr creț|păr creț|ton semi‑închis al pielii
	👩🏿‍🦱;femeie: ton închis al pielii, păr creț;adultă|femeie|femeie: ton închis al pielii, păr creț|păr creț|ton închis al pielii
🧑‍🦱;adult: păr creț;adult|adult: păr creț|neutru|păr creț|persoană
	🧑🏻‍🦱;adult: ton deschis al pielii, păr creț;adult|adult: ton deschis al pielii, păr creț|neutru|păr creț|persoană|ton deschis al pielii
	🧑🏼‍🦱;adult: ton semi‑deschis al pielii, păr creț;adult|adult: ton semi‑deschis al pielii, păr creț|neutru|păr creț|persoană|ton semi‑deschis al pielii
	🧑🏽‍🦱;adult: ton mediu al pielii, păr creț;adult|adult: ton mediu al pielii, păr creț|neutru|păr creț|persoană|ton mediu al pielii
	🧑🏾‍🦱;adult: ton semi‑închis al pielii, păr creț;adult|adult: ton semi‑închis al pielii, păr creț|neutru|păr creț|persoană|ton semi‑închis al pielii
	🧑🏿‍🦱;adult: ton închis al pielii, păr creț;adult|adult: ton închis al pielii, păr creț|neutru|păr creț|persoană|ton închis al pielii
👩‍🦳;femeie: păr alb;adultă|femeie|femeie: păr alb|păr alb
