[smileys_emotion]
😀;išsišiepęs veidas;išsišiepęs veidas|išsišiepti|veidas
	🧑🏽‍🦳;suaugusysis: rusvos odos žili plaukai;neutrali lytis|rusvos odos|suaugusysis|suaugusysis: rusvos odos žili plaukai|žili plaukai
	🧑🏾‍🦳;suaugusysis: tamsios odos žili plaukai;neutrali lytis|suaugusysis|suaugusysis: tamsios odos žili plaukai|tamsios odos|žili plaukai
	🧑🏿‍🦳;suaugusysis: itin tamsios odos žili plaukai;itin tamsios odos|neutrali lytis|suaugusysis|suaugusysis: itin tamsios odos žili plaukai|žili plaukai
👩‍🦲;moteris: plikas;moteris|moteris: plikas|plikas
	👩🏻‍🦲;moteris: šviesios odos plikas;moteris|moteris: šviesios odos plikas|plikas|šviesios odos
	👩🏼‍🦲;moteris: vidutinio gymio plikas;moteris|moteris: vidutinio gymio plikas|plikas|vidutinio gymio
	👩🏽‍🦲;moteris: rusvos odos plikas;moteris|moteris: rusvos odos plikas|plikas|rusvos odos
	👩🏾‍🦲;moteris: tamsios odos plikas;moteris|moteris: tamsios odos plikas|plikas|tamsios odos
	👩🏿‍🦲;moteris: itin tamsios odos plikas;itin tamsios odos|moteris|moteris: itin tamsios odos plikas|plikas
🧑‍🦲;suaugusysis: plikas;neutrali lytis|plikas|suaugusysis|suaugusysis: plikas
	🧑🏻‍🦲;suaugusysis: šviesios odos plikas;neutrali lytis|plikas|suaugusysis|suaugusysis: šviesios odos plikas|šviesios odos
	🧑🏼‍🦲;suaugusysis: vidutinio gymio plikas;neutrali lytis|plikas|suaugusysis|suaugusysis: vidutinio gymio plikas|vidutinio gymio
	🧑🏽‍🦲;suaugusysis: rusvos odos plikas;neutrali lytis|plikas|rusvos odos|suaugusysis|suaugusysis: rusvos odos plikas
	🧑🏾‍🦲;suaugusysis: tamsios odos plikas;neutrali lytis|plikas|suaugusysis|suaugusysis: tamsios odos plikas|tamsios odos
	🧑🏿‍🦲;suaugusysis: itin tamsios odos plikas;itin tamsios odos|neutrali lytis|plikas|suaugusysis|suaugusysis: itin tamsios odos plikas
👱‍♀️;blondinė;blondinė|moteris
	👱🏻‍♀️;blondinė: šviesios odos;blondinė|blondinė: šviesios odos|moteris|šviesios odos
	👱🏼‍♀️;blondinė: vidutinio gymio;blondinė|blondinė: vidutinio gymio|moteris|vidutinio gymio
	👱🏽‍♀️;blondinė: rusvos odos;blondinė|blondinė: rusvos odos|moteris|rusvos odos
	👱🏾‍♀️;blondinė: tamsios odos;blondinė|blondinė: tamsios odos|moteris|tamsios odos
	👱🏿‍♀️;blondinė: itin tamsios odos;blondinė|blondinė: itin tamsios odos|itin tamsios odos|moteris
👱‍♂️;blondinas;blondinas|vyras
	👱🏻‍♂️;blondinas: šviesios odos;blondinas|blondinas: šviesios odos|šviesios odos|vyras
	👱🏼‍♂️;blondinas: vidutinio gymio;blondinas|blondinas: vidutinio gymio|vidutinio gymio|vyras
	👱🏽‍♂️;blondinas: rusvos odos;blondinas|blondinas: rusvos odos|rusvos odos|vyras
	👱🏾‍♂️;blondinas: tamsios odos;blondinas|blondinas: tamsios odos|tamsios odos|vyras
	👱🏿‍♂️;blondinas: itin tamsios odos;blondinas|blondinas: itin tamsios odos|itin tamsios odos|vyras
🧓;kitas suaugusysis;kitas suaugusysis|neutrali lytis|senas
	🧓🏻;kitas suaugusysis: šviesios odos;kitas suaugusysis|kitas suaugusysis: šviesios odos|neutrali lytis|senas|šviesios odos
	🧓🏼;kitas suaugusysis: vidutinio gymio;kitas suaugusysis|kitas suaugusysis: vidutinio gymio|neutrali lytis|senas|vidutinio gymio
	🧓🏽;kitas suaugusysis: rusvos odos;kitas suaugusysis|kitas suaugusysis: rusvos odos|neutrali lytis|rusvos odos|senas
	🧓🏾;kitas suaugusysis: tamsios odos;kitas suaugusysis|kitas suaugusysis: tamsios odos|neutrali lytis|senas|tamsios odos
	🧓🏿;kitas suaugusysis: itin tamsios odos;itin tamsios odos|kitas suaugusysis|kitas suaugusysis: itin tamsios odos|neutrali lytis|senas
👴;senas vyras;senas|vyras
	👴🏻;senas vyras: šviesios odos;senas|senas vyras: šviesios odos|šviesios odos|vyras
	👴🏼;senas vyras: vidutinio gymio;senas|senas vyras: vidutinio gymio|vidutinio gymio|vyras
	👴🏽;senas vyras: rusvos odos;rusvos odos|senas|senas vyras: rusvos odos|vyras
	👴🏾;senas vyras: tamsios odos;senas|senas vyras: tamsios odos|tamsios odos|vyras
	👴🏿;senas vyras: itin tamsios odos;itin tamsios odos|senas|senas vyras: itin tamsios odos|vyras
👵;sena moteris;moteris|sena
	👵🏻;sena moteris: šviesios odos;moteris|sena|sena moteris: šviesios odos|šviesios odos
	👵🏼;sena moteris: vidutinio gymio;moteris|sena|sena moteris: vidutinio gymio|vidutinio gymio
	👵🏽;sena moteris: rusvos odos;moteris|rusvos odos|sena|sena moteris: rusvos odos
	👵🏾;sena moteris: tamsios odos;moteris|sena|sena moteris: tamsios odos|tamsios odos
	👵🏿;sena moteris: itin tamsios odos;itin tamsios odos|moteris|sena|sena moteris: itin tamsios odos
🙍;paniuręs žmogus;gestas|paniuręs žmogus|raukytis
	🙍🏻;paniuręs žmogus: šviesios odos;gestas|paniuręs žmogus|paniuręs žmogus: šviesios odos|raukytis|šviesios odos
	🙍🏼;paniuręs žmogus: vidutinio gymio;gestas|paniuręs žmogus|paniuręs žmogus: vidutinio gymio|raukytis|vidutinio gymio
	🙍🏽;paniuręs žmogus: rusvos odos;gestas|paniuręs žmogus|paniuręs žmogus: rusvos odos|raukytis|rusvos odos
	🙍🏾;paniuręs žmogus: tamsios odos;gestas|paniuręs žmogus|paniuręs žmogus: tamsios odos|raukytis|tamsios odos
	🙍🏿;paniuręs žmogus: itin tamsios odos;gestas|itin tamsios odos|paniuręs žmogus|paniuręs žmogus: itin tamsios odos|raukytis
🙍‍♂️;paniuręs vyras;gestas|paniuręs|vyras
	🙍🏻‍♂️;paniuręs vyras: šviesios odos;gestas|paniuręs|paniuręs vyras: šviesios odos|šviesios odos|vyras
	🙍🏼‍♂️;paniuręs vyras: vidutinio gymio;gestas|paniuręs|paniuręs vyras: vidutinio gymio|vidutinio gymio|vyras
	🙍🏽‍♂️;paniuręs vyras: rusvos odos;gestas|paniuręs|paniuręs vyras: rusvos odos|rusvos odos|vyras
	🙍🏾‍♂️;paniuręs vyras: tamsios odos;gestas|paniuręs|paniuręs vyras: tamsios odos|tamsios odos|vyras
	🙍🏿‍♂️;paniuręs vyras: itin tamsios odos;gestas|itin tamsios odos|paniuręs|paniuręs vyras: itin tamsios odos|vyras
🙍‍♀️;paniurusi moteris;gestas|moteris|paniurusi
	🙍🏻‍♀️;paniurusi moteris: šviesios odos;gestas|moteris|paniurusi|paniurusi moteris: šviesios odos|šviesios odos
	🙍🏼‍♀️;paniurusi moteris: vidutinio gymio;gestas|moteris|paniurusi|paniurusi moteris: vidutinio gymio|vidutinio gymio
	🙍🏽‍♀️;paniurusi moteris: rusvos odos;gestas|moteris|paniurusi|paniurusi moteris: rusvos odos|rusvos odos
	🙍🏾‍♀️;paniurusi moteris: tamsios odos;gestas|moteris|paniurusi|paniurusi moteris: tamsios odos|tamsios odos
	🙍🏿‍♀️;paniurusi moteris: itin tamsios odos;gestas|itin tamsios odos|moteris|paniurusi|paniurusi moteris: itin tamsios odos
🙎;susiraukęs žmogus;gestas|raukymasis|susiraukęs žmogus
	🙎🏻;susiraukęs žmogus: šviesios odos;gestas|raukymasis|susiraukęs žmogus|susiraukęs žmogus: šviesios odos|šviesios odos
	🙎🏼;susiraukęs žmogus: vidutinio gymio;gestas|raukymasis|susiraukęs žmogus|susiraukęs žmogus: vidutinio gymio|vidutinio gymio
	🙎🏽;susiraukęs žmogus: rusvos odos;gestas|raukymasis|rusvos odos|susiraukęs žmogus|susiraukęs žmogus: rusvos odos
	🙎🏾;susiraukęs žmogus: tamsios odos;gestas|raukymasis|susiraukęs žmogus|susiraukęs žmogus: tamsios odos|tamsios odos
	🙎🏿;susiraukęs žmogus: itin tamsios odos;gestas|itin tamsios odos|raukymasis|susiraukęs žmogus|susiraukęs žmogus: itin tamsios odos
🙎‍♂️;susiraukęs vyras;gestas|susiraukęs|vyras
	🙎🏻‍♂️;susiraukęs vyras: šviesios odos;gestas|susiraukęs|susiraukęs vyras: šviesios odos|šviesios odos|vyras
	🙎🏼‍♂️;susiraukęs vyras: vidutinio gymio;gestas|susiraukęs|susiraukęs vyras: vidutinio gymio|vidutinio gymio|vyras
	🙎🏽‍♂️;susiraukęs vyras: rusvos odos;gestas|rusvos odos|susiraukęs|susiraukęs vyras: rusvos odos|vyras
	🙎🏾‍♂️;susiraukęs vyras: tamsios odos;gestas|susiraukęs|susiraukęs vyras: tamsios odos|tamsios odos|vyras
	🙎🏿‍♂️;susiraukęs vyras: itin tamsios odos;gestas|itin tamsios odos|susiraukęs|susiraukęs vyras: itin tamsios odos|vyras
🙎‍♀️;susiraukusi moteris;gestas|moteris|susiraukusi
	🙎🏻‍♀️;susiraukusi moteris: šviesios odos;gestas|moteris|susiraukusi|susiraukusi moteris: šviesios odos|šviesios odos
	🙎🏼‍♀️;susiraukusi moteris: vidutinio gymio;gestas|moteris|susiraukusi|susiraukusi moteris: vidutinio gymio|vidutinio gymio
	🙎🏽‍♀️;susiraukusi moteris: rusvos odos;gestas|moteris|rusvos odos|susiraukusi|susiraukusi moteris: rusvos odos
	🙎🏾‍♀️;susiraukusi moteris: tamsios odos;gestas|moteris|susiraukusi|susiraukusi moteris: tamsios odos|tamsios odos
	🙎🏿‍♀️;susiraukusi moteris: itin tamsios odos;gestas|itin tamsios odos|moteris|susiraukusi|susiraukusi moteris: itin tamsios odos
🙅;neigiamas gestas;draudžiama|gestas|ne|neigiamas gestas|ranka
	🙅🏻;neigiamas gestas: šviesios odos;draudžiama|gestas|ne|neigiamas gestas|neigiamas gestas: šviesios odos|ranka|šviesios odos
	🙅🏼;neigiamas gestas: vidutinio gymio;draudžiama|gestas|ne|neigiamas gestas|neigiamas gestas: vidutinio gymio|ranka|vidutinio gymio
	🙅🏽;neigiamas gestas: rusvos odos;draudžiama|gestas|ne|neigiamas gestas|neigiamas gestas: rusvos odos|ranka|rusvos odos
	🙅🏾;neigiamas gestas: tamsios odos;draudžiama|gestas|ne|neigiamas gestas|neigiamas gestas: tamsios odos|ranka|tamsios odos
	🙅🏿;neigiamas gestas: itin tamsios odos;draudžiama|gestas|itin tamsios odos|ne|neigiamas gestas|neigiamas gestas: itin tamsios odos|ranka
🙅‍♂️;draudžiantis vyras;draudžiama|draudžiantis vyras|gestas|neleistina|vyras
	🙅🏻‍♂️;draudžiantis vyras: šviesios odos;draudžiama|draudžiantis vyras|draudžiantis vyras: šviesios odos|gestas|neleistina|šviesios odos|vyras
	🙅🏼‍♂️;draudžiantis vyras: vidutinio gymio;draudžiama|draudžiantis vyras|draudžiantis vyras: vidutinio gymio|gestas|neleistina|vidutinio gymio|vyras
	🙅🏽‍♂️;draudžiantis vyras: rusvos odos;draudžiama|draudžiantis vyras|draudžiantis vyras: rusvos odos|gestas|neleistina|rusvos odos|vyras
	🙅🏾‍♂️;draudžiantis vyras: tamsios odos;draudžiama|draudžiantis vyras|draudžiantis vyras: tamsios odos|gestas|neleistina|tamsios odos|vyras
	🙅🏿‍♂️;draudžiantis vyras: itin tamsios odos;draudžiama|draudžiantis vyras|draudžiantis vyras: itin tamsios odos|gestas|itin tamsios odos|neleistina|vyras
🙅‍♀️;draudžianti moteris;draudžiama|draudžianti moteris|gestas|moteris|neleistina
	🙅🏻‍♀️;draudžianti moteris: šviesios odos;draudžiama|draudžianti moteris|draudžianti moteris: šviesios odos|gestas|moteris|neleistina|šviesios odos
	🙅🏼‍♀️;draudžianti moteris: vidutinio gymio;draudžiama|draudžianti moteris|draudžianti moteris: vidutinio gymio|gestas|moteris|neleistina|vidutinio gymio
	🙅🏽‍♀️;draudžianti moteris: rusvos odos;draudžiama|draudžianti moteris|draudžianti moteris: rusvos odos|gestas|moteris|neleistina|rusvos odos
	🙅🏾‍♀️;draudžianti moteris: tamsios odos;draudžiama|draudžianti moteris|draudžianti moteris: tamsios odos|gestas|moteris|neleistina|tamsios odos
	🙅🏿‍♀️;draudžianti moteris: itin tamsios odos;draudžiama|draudžianti moteris|draudžianti moteris: itin tamsios odos|gestas|itin tamsios odos|moteris|neleistina
🙆;teigiamas gestas;gerai|gestai|ranka|teigiamas gestas
	🙆🏻;teigiamas gestas: šviesios odos;gerai|gestai|ranka|šviesios odos|teigiamas gestas|teigiamas gestas: šviesios odos
	🙆🏼;teigiamas gestas: vidutinio gymio;gerai|gestai|ranka|teigiamas gestas|teigiamas gestas: vidutinio gymio|vidutinio gymio
	🙆🏽;teigiamas gestas: rusvos odos;gerai|gestai|ranka|rusvos odos|teigiamas gestas|teigiamas gestas: rusvos odos
	🙆🏾;teigiamas gestas: tamsios odos;gerai|gestai|ranka|tamsios odos|teigiamas gestas|teigiamas gestas: tamsios odos
	🙆🏿;teigiamas gestas: itin tamsios odos;gerai|gestai|itin tamsios odos|ranka|teigiamas gestas|teigiamas gestas: itin tamsios odos
🙆‍♂️;leidžiantis vyras;gerai|gestas|leidžiantis vyras|ranka|vyras
	🙆🏻‍♂️;leidžiantis vyras: šviesios odos;gerai|gestas|leidžiantis vyras|leidžiantis vyras: šviesios odos|ranka|šviesios odos|vyras
	🙆🏼‍♂️;leidžiantis vyras: vidutinio gymio;gerai|gestas|leidžiantis vyras|leidžiantis vyras: vidutinio gymio|ranka|vidutinio gymio|vyras
	🙆🏽‍♂️;leidžiantis vyras: rusvos odos;gerai|gestas|leidžiantis vyras|leidžiantis vyras: rusvos odos|ranka|rusvos odos|vyras
	🙆🏾‍♂️;leidžiantis vyras: tamsios odos;gerai|gestas|leidžiantis vyras|leidžiantis vyras: tamsios odos|ranka|tamsios odos|vyras
	🙆🏿‍♂️;leidžiantis vyras: itin tamsios odos;gerai|gestas|itin tamsios odos|leidžiantis vyras|leidžiantis vyras: itin tamsios odos|ranka|vyras
🙆‍♀️;leidžianti moteris;gerai|gestas|leidžianti moteris|moteris|ranka
	🙆🏻‍♀️;leidžianti moteris: šviesios odos;gerai|gestas|leidžianti moteris|leidžianti moteris: šviesios odos|moteris|ranka|šviesios odos
	🙆🏼‍♀️;leidžianti moteris: vidutinio gymio;gerai|gestas|leidžianti moteris|leidžianti moteris: vidutinio gymio|moteris|ranka|vidutinio gymio
	🙆🏽‍♀️;leidžianti moteris: rusvos odos;gerai|gestas|leidžianti moteris|leidžianti moteris: rusvos odos|moteris|ranka|rusvos odos
	🙆🏾‍♀️;leidžianti moteris: tamsios odos;gerai|gestas|leidžianti moteris|leidžianti moteris: tamsios odos|moteris|ranka|tamsios odos
	🙆🏿‍♀️;leidžianti moteris: itin tamsios odos;gerai|gestas|itin tamsios odos|leidžianti moteris|leidžianti moteris: itin tamsios odos|moteris|ranka
💁;informacijos skyriaus darbuotojas;informacija|informacijos skyriaus darbuotojas|įžūlus|pagalba|ranka
	💁🏻;informacijos skyriaus darbuotojas: šviesios odos;informacija|informacijos skyriaus darbuotojas|informacijos skyriaus darbuotojas: šviesios odos|įžūlus|pagalba|ranka|šviesios odos
	💁🏼;informacijos skyriaus darbuotojas: vidutinio gymio;informacija|informacijos skyriaus darbuotojas|informacijos skyriaus darbuotojas: vidutinio gymio|įžūlus|pagalba|ranka|vidutinio gymio
	💁🏽;informacijos skyriaus darbuotojas: rusvos odos;informacija|informacijos skyriaus darbuotojas|informacijos skyriaus darbuotojas: rusvos odos|įžūlus|pagalba|ranka|rusvos odos
	💁🏾;informacijos skyriaus darbuotojas: tamsios odos;informacija|informacijos skyriaus darbuotojas|informacijos skyriaus darbuotojas: tamsios odos|įžūlus|pagalba|ranka|tamsios odos
	💁🏿;informacijos skyriaus darbuotojas: itin tamsios odos;informacija|informacijos skyriaus darbuotojas|informacijos skyriaus darbuotojas: itin tamsios odos|itin tamsios odos|įžūlus|pagalba|ranka
💁‍♂️;lengvai ranką pakėlęs vyras;gyvas|lengvai pakelta ranka|lengvai ranką pakėlęs vyras|vyras
	💁🏻‍♂️;lengvai ranką pakėlęs vyras: šviesios odos;gyvas|lengvai pakelta ranka|lengvai ranką pakėlęs vyras|lengvai ranką pakėlęs vyras: šviesios odos|šviesios odos|vyras
	💁🏼‍♂️;lengvai ranką pakėlęs vyras: vidutinio gymio;gyvas|lengvai pakelta ranka|lengvai ranką pakėlęs vyras|lengvai ranką pakėlęs vyras: vidutinio gymio|vidutinio gymio|vyras
	💁🏽‍♂️;lengvai ranką pakėlęs vyras: rusvos odos;gyvas|lengvai pakelta ranka|lengvai ranką pakėlęs vyras|lengvai ranką pakėlęs vyras: rusvos odos|rusvos odos|vyras
	💁🏾‍♂️;lengvai ranką pakėlęs vyras: tamsios odos;gyvas|lengvai pakelta ranka|lengvai ranką pakėlęs vyras|lengvai ranką pakėlęs vyras: tamsios odos|tamsios odos|vyras
	💁🏿‍♂️;lengvai ranką pakėlęs vyras: itin tamsios odos;gyvas|itin tamsios odos|lengvai pakelta ranka|lengvai ranką pakėlęs vyras|lengvai ranką pakėlęs vyras: itin tamsios odos|vyras
💁‍♀️;ranką pakėlusi moteris;gyvas|lengvai pakelta ranka|moteris|ranką pakėlusi moteris
	💁🏻‍♀️;ranką pakėlusi moteris: šviesios odos;gyvas|lengvai pakelta ranka|moteris|ranką pakėlusi moteris|ranką pakėlusi moteris: šviesios odos|šviesios odos
	💁🏼‍♀️;ranką pakėlusi moteris: vidutinio gymio;gyvas|lengvai pakelta ranka|moteris|ranką pakėlusi moteris|ranką pakėlusi moteris: vidutinio gymio|vidutinio gymio
	💁🏽‍♀️;ranką pakėlusi moteris: rusvos odos;gyvas|lengvai pakelta ranka|moteris|ranką pakėlusi moteris|ranką pakėlusi moteris: rusvos odos|rusvos odos
	💁🏾‍♀️;ranką pakėlusi moteris: tamsios odos;gyvas|lengvai pakelta ranka|moteris|ranką pakėlusi moteris|ranką pakėlusi moteris: tamsios odos|tamsios odos
	💁🏿‍♀️;ranką pakėlusi moteris: itin tamsios odos;gyvas|itin tamsios odos|lengvai pakelta ranka|moteris|ranką pakėlusi moteris|ranką pakėlusi moteris: itin tamsios odos
🙋;žmogus, iškėlęs ranką;gestas|iškėlęs ranką|iškelta|laimingas|ranka|žmogus|žmogus, iškėlęs ranką
	🙋🏻;žmogus, iškėlęs ranką: šviesios odos;gestas|iškėlęs ranką|iškelta|laimingas|ranka|šviesios odos|žmogus|žmogus, iškėlęs ranką|žmogus, iškėlęs ranką: šviesios odos
	🙋🏼;žmogus, iškėlęs ranką: vidutinio gymio;gestas|iškėlęs ranką|iškelta|laimingas|ranka|vidutinio gymio|žmogus|žmogus, iškėlęs ranką|žmogus, iškėlęs ranką: vidutinio gymio
	🙋🏽;žmogus, iškėlęs ranką: rusvos odos;gestas|iškėlęs ranką|iškelta|laimingas|ranka|rusvos odos|žmogus|žmogus, iškėlęs ranką|žmogus, iškėlęs ranką: rusvos odos
	🙋🏾;žmogus, iškėlęs ranką: tamsios odos;gestas|iškėlęs ranką|iškelta|laimingas|ranka|tamsios odos|žmogus|žmogus, iškėlęs ranką|žmogus, iškėlęs ranką: tamsios odos
	🙋🏿;žmogus, iškėlęs ranką: itin tamsios odos;gestas|iškėlęs ranką|iškelta|itin tamsios odos|laimingas|ranka|žmogus|žmogus, iškėlęs ranką|žmogus, iškėlęs ranką: itin tamsios odos
🙋‍♂️;ranką pakėlęs vyras;gestas|pakelta ranka|ranką pakėlęs vyras|vyras
	🙋🏻‍♂️;ranką pakėlęs vyras: šviesios odos;gestas|pakelta ranka|ranką pakėlęs vyras|ranką pakėlęs vyras: šviesios odos|šviesios odos|vyras
	🙋🏼‍♂️;ranką pakėlęs vyras: vidutinio gymio;gestas|pakelta ranka|ranką pakėlęs vyras|ranką pakėlęs vyras: vidutinio gymio|vidutinio gymio|vyras
	🙋🏽‍♂️;ranką pakėlęs vyras: rusvos odos;gestas|pakelta ranka|ranką pakėlęs vyras|ranką pakėlęs vyras: rusvos odos|rusvos odos|vyras
	🙋🏾‍♂️;ranką pakėlęs vyras: tamsios odos;gestas|pakelta ranka|ranką pakėlęs vyras|ranką pakėlęs vyras: tamsios odos|tamsios odos|vyras
	🙋🏿‍♂️;ranką pakėlęs vyras: itin tamsios odos;gestas|itin tamsios odos|pakelta ranka|ranką pakėlęs vyras|ranką pakėlęs vyras: itin tamsios odos|vyras
🙋‍♀️;ranką iškėlusi moteris;gestas|moteris|pakelta ranka|ranką iškėlusi moteris
	🙋🏻‍♀️;ranką iškėlusi moteris: šviesios odos;gestas|moteris|pakelta ranka|ranką iškėlusi moteris|ranką iškėlusi moteris: šviesios odos|šviesios odos
	🙋🏼‍♀️;ranką iškėlusi moteris: vidutinio gymio;gestas|moteris|pakelta ranka|ranką iškėlusi moteris|ranką iškėlusi moteris: vidutinio gymio|vidutinio gymio
	🙋🏽‍♀️;ranką iškėlusi moteris: rusvos odos;gestas|moteris|pakelta ranka|ranką iškėlusi moteris|ranką iškėlusi moteris: rusvos odos|rusvos odos
	🙋🏾‍♀️;ranką iškėlusi moteris: tamsios odos;gestas|moteris|pakelta ranka|ranką iškėlusi moteris|ranką iškėlusi moteris: tamsios odos|tamsios odos
	🙋🏿‍♀️;ranką iškėlusi moteris: itin tamsios odos;gestas|itin tamsios odos|moteris|pakelta ranka|ranką iškėlusi moteris|ranką iškėlusi moteris: itin tamsios odos
🧏;kurčias žmogus;ausis|girdėti|kurčias|kurčias žmogus|prieinamumas
	🧏🏻;kurčias žmogus: šviesios odos;ausis|girdėti|kurčias|kurčias žmogus|kurčias žmogus: šviesios odos|prieinamumas|šviesios odos
	🧏🏼;kurčias žmogus: vidutinio gymio;ausis|girdėti|kurčias|kurčias žmogus|kurčias žmogus: vidutinio gymio|prieinamumas|vidutinio gymio
	🧏🏽;kurčias žmogus: rusvos odos;ausis|girdėti|kurčias|kurčias žmogus|kurčias žmogus: rusvos odos|prieinamumas|rusvos odos
	🧏🏾;kurčias žmogus: tamsios odos;ausis|girdėti|kurčias|kurčias žmogus|kurčias žmogus: tamsios odos|prieinamumas|tamsios odos
	🧏🏿;kurčias žmogus: itin tamsios odos;ausis|girdėti|itin tamsios odos|kurčias|kurčias žmogus|kurčias žmogus: itin tamsios odos|prieinamumas
🧏‍♂️;kurčias vyras;kurčias|vyras
	🧏🏻‍♂️;kurčias vyras: šviesios odos;kurčias|kurčias vyras: šviesios odos|šviesios odos|vyras
	🧏🏼‍♂️;kurčias vyras: vidutinio gymio;kurčias|kurčias vyras: vidutinio gymio|vidutinio gymio|vyras
	🧏🏽‍♂️;kurčias vyras: rusvos odos;kurčias|kurčias vyras: rusvos odos|rusvos odos|vyras
	🧏🏾‍♂️;kurčias vyras: tamsios odos;kurčias|kurčias vyras: tamsios odos|tamsios odos|vyras
	🧏🏿‍♂️;kurčias vyras: itin tamsios odos;itin tamsios odos|kurčias|kurčias vyras: itin tamsios odos|vyras
🧏‍♀️;kurčia moteris;kurčia|moteris
	🧏🏻‍♀️;kurčia moteris: šviesios odos;kurčia|kurčia moteris: šviesios odos|moteris|šviesios odos
	🧏🏼‍♀️;kurčia moteris: vidutinio gymio;kurčia|kurčia moteris: vidutinio gymio|moteris|vidutinio gymio
	🧏🏽‍♀️;kurčia moteris: rusvos odos;kurčia|kurčia moteris: rusvos odos|moteris|rusvos odos
	🧏🏾‍♀️;kurčia moteris: tamsios odos;kurčia|kurčia moteris: tamsios odos|moteris|tamsios odos
	🧏🏿‍♀️;kurčia moteris: itin tamsios odos;itin tamsios odos|kurčia|kurčia moteris: itin tamsios odos|moteris
🙇;nusilenkęs žmogus;atsiprašymas|gestas|nusilenkęs žmogus|nusilenkimas
	🙇🏻;nusilenkęs žmogus: šviesios odos;atsiprašymas|gestas|nusilenkęs žmogus|nusilenkęs žmogus: šviesios odos|nusilenkimas|šviesios odos
	🙇🏼;nusilenkęs žmogus: vidutinio gymio;atsiprašymas|gestas|nusilenkęs žmogus|nusilenkęs žmogus: vidutinio gymio|nusilenkimas|vidutinio gymio
	🙇🏽;nusilenkęs žmogus: rusvos odos;atsiprašymas|gestas|nusilenkęs žmogus|nusilenkęs žmogus: rusvos odos|nusilenkimas|rusvos odos
	🙇🏾;nusilenkęs žmogus: tamsios odos;atsiprašymas|gestas|nusilenkęs žmogus|nusilenkęs žmogus: tamsios odos|nusilenkimas|tamsios odos
	🙇🏿;nusilenkęs žmogus: itin tamsios odos;atsiprašymas|gestas|itin tamsios odos|nusilenkęs žmogus|nusilenkęs žmogus: itin tamsios odos|nusilenkimas
🙇‍♂️;nusilenkiantis vyras;apgailestavimas|atsiprašymas|gestas|nusilenkiantis vyras|nusilenkimas|paslauga|vyras
	🙇🏻‍♂️;nusilenkiantis vyras: šviesios odos;apgailestavimas|atsiprašymas|gestas|nusilenkiantis vyras|nusilenkiantis vyras: šviesios odos|nusilenkimas|paslauga|šviesios odos|vyras
	🙇🏼‍♂️;nusilenkiantis vyras: vidutinio gymio;apgailestavimas|atsiprašymas|gestas|nusilenkiantis vyras|nusilenkiantis vyras: vidutinio gymio|nusilenkimas|paslauga|vidutinio gymio|vyras
	🙇🏽‍♂️;nusilenkiantis vyras: rusvos odos;apgailestavimas|atsiprašymas|gestas|nusilenkiantis vyras|nusilenkiantis vyras: rusvos odos|nusilenkimas|paslauga|rusvos odos|vyras
	🙇🏾‍♂️;nusilenkiantis vyras: tamsios odos;apgailestavimas|atsiprašymas|gestas|nusilenkiantis vyras|nusilenkiantis vyras: tamsios odos|nusilenkimas|paslauga|tamsios odos|vyras
	🙇🏿‍♂️;nusilenkiantis vyras: itin tamsios odos;apgailestavimas|atsiprašymas|gestas|itin tamsios odos|nusilenkiantis vyras|nusilenkiantis vyras: itin tamsios odos|nusilenkimas|paslauga|vyras
🙇‍♀️;nusilenkianti moteris;apgailestavimas|atsiprašymas|gestas|moteris|nusilenkianti moteris|nusilenkimas|paslauga
	🙇🏻‍♀️;nusilenkianti moteris: šviesios odos;apgailestavimas|atsiprašymas|gestas|moteris|nusilenkianti moteris|nusilenkianti moteris: šviesios odos|nusilenkimas|paslauga|šviesios odos
	🙇🏼‍♀️;nusilenkianti moteris: vidutinio gymio;apgailestavimas|atsiprašymas|gestas|moteris|nusilenkianti moteris|nusilenkianti moteris: vidutinio gymio|nusilenkimas|paslauga|vidutinio gymio
	🙇🏽‍♀️;nusilenkianti moteris: rusvos odos;apgailestavimas|atsiprašymas|gestas|moteris|nusilenkianti moteris|nusilenkianti moteris: rusvos odos|nusilenkimas|paslauga|rusvos odos
	🙇🏾‍♀️;nusilenkianti moteris: tamsios odos;apgailestavimas|atsiprašymas|gestas|moteris|nusilenkianti moteris|nusilenkianti moteris: tamsios odos|nusilenkimas|paslauga|tamsios odos
	🙇🏿‍♀️;nusilenkianti moteris: itin tamsios odos;apgailestavimas|atsiprašymas|gestas|itin tamsios odos|moteris|nusilenkianti moteris|nusilenkianti moteris: itin tamsios odos|nusilenkimas|paslauga
🤦;o varge;beviltiškumas|neįtikėtinumas|o varge|susierzinimas|veidas
	🤦🏻;o varge: šviesios odos;beviltiškumas|neįtikėtinumas|o varge|o varge: šviesios odos|susierzinimas|šviesios odos|veidas
	🤦🏼;o varge: vidutinio gymio;beviltiškumas|neįtikėtinumas|o varge|o varge: vidutinio gymio|susierzinimas|veidas|vidutinio gymio
	🤦🏽;o varge: rusvos odos;beviltiškumas|neįtikėtinumas|o varge|o varge: rusvos odos|rusvos odos|susierzinimas|veidas
	🤦🏾;o varge: tamsios odos;beviltiškumas|neįtikėtinumas|o varge|o varge: tamsios odos|susierzinimas|tamsios odos|veidas
