[smileys_emotion]
😀;wobličo ze šibałym posměwkom;wobličo|wobličo ze šibałym posměwkom|wočinjena huba|žortne
	🧏🏽‍♀️;hłucha žona: srěnja barba kože;bjez słucha|hłucha|hłucha žona: srěnja barba kože|špatnje słyšeć|srěnja barba kože|žona
	🧏🏾‍♀️;hłucha žona: srěnjoćmowa barba kože;bjez słucha|hłucha|hłucha žona: srěnjoćmowa barba kože|špatnje słyšeć|srěnjoćmowa barba kože|žona
	🧏🏿‍♀️;hłucha žona: ćmowa barba kože;bjez słucha|ćmowa barba kože|hłucha|hłucha žona: ćmowa barba kože|špatnje słyšeć|žona
🙇;wosoba, kiž so pokłoni;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|wo wodaće prosyć|wosoba|wosoba, kiž so pokłoni
	🙇🏻;wosoba, kiž so pokłoni: swětła barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|swětła barba kože|wo wodaće prosyć|wosoba|wosoba, kiž so pokłoni|wosoba, kiž so pokłoni: swětła barba kože
	🙇🏼;wosoba, kiž so pokłoni: srěnjoswětła barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|srěnjoswětła barba kože|wo wodaće prosyć|wosoba|wosoba, kiž so pokłoni|wosoba, kiž so pokłoni: srěnjoswětła barba kože
	🙇🏽;wosoba, kiž so pokłoni: srěnja barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|srěnja barba kože|wo wodaće prosyć|wosoba|wosoba, kiž so pokłoni|wosoba, kiž so pokłoni: srěnja barba kože
	🙇🏾;wosoba, kiž so pokłoni: srěnjoćmowa barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|srěnjoćmowa barba kože|wo wodaće prosyć|wosoba|wosoba, kiž so pokłoni|wosoba, kiž so pokłoni: srěnjoćmowa barba kože
	🙇🏿;wosoba, kiž so pokłoni: ćmowa barba kože;ćmowa barba kože|gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|wo wodaće prosyć|wosoba|wosoba, kiž so pokłoni|wosoba, kiž so pokłoni: ćmowa barba kože
🙇‍♂️;muž, kiž so pokłoni;gesta|kiž so pokłoni|muž|muž, kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|wo wodaće prosyć
	🙇🏻‍♂️;muž, kiž so pokłoni: swětła barba kože;gesta|kiž so pokłoni|muž|muž, kiž so pokłoni|muž, kiž so pokłoni: swětła barba kože|pokornosć|ponižnosć|so pokłonić|so schilić|swětła barba kože|wo wodaće prosyć
	🙇🏼‍♂️;muž, kiž so pokłoni: srěnjoswětła barba kože;gesta|kiž so pokłoni|muž|muž, kiž so pokłoni|muž, kiž so pokłoni: srěnjoswětła barba kože|pokornosć|ponižnosć|so pokłonić|so schilić|srěnjoswětła barba kože|wo wodaće prosyć
	🙇🏽‍♂️;muž, kiž so pokłoni: srěnja barba kože;gesta|kiž so pokłoni|muž|muž, kiž so pokłoni|muž, kiž so pokłoni: srěnja barba kože|pokornosć|ponižnosć|so pokłonić|so schilić|srěnja barba kože|wo wodaće prosyć
	🙇🏾‍♂️;muž, kiž so pokłoni: srěnjoćmowa barba kože;gesta|kiž so pokłoni|muž|muž, kiž so pokłoni|muž, kiž so pokłoni: srěnjoćmowa barba kože|pokornosć|ponižnosć|so pokłonić|so schilić|srěnjoćmowa barba kože|wo wodaće prosyć
	🙇🏿‍♂️;muž, kiž so pokłoni: ćmowa barba kože;ćmowa barba kože|gesta|kiž so pokłoni|muž|muž, kiž so pokłoni|muž, kiž so pokłoni: ćmowa barba kože|pokornosć|ponižnosć|so pokłonić|so schilić|wo wodaće prosyć
🙇‍♀️;žona, kiž so pokłoni;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|wo wodaće prosyć|žona|žona, kiž so pokłoni
	🙇🏻‍♀️;žona, kiž so pokłoni: swětła barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|swětła barba kože|wo wodaće prosyć|žona|žona, kiž so pokłoni|žona, kiž so pokłoni: swětła barba kože
	🙇🏼‍♀️;žona, kiž so pokłoni: srěnjoswětła barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|srěnjoswětła barba kože|wo wodaće prosyć|žona|žona, kiž so pokłoni|žona, kiž so pokłoni: srěnjoswětła barba kože
	🙇🏽‍♀️;žona, kiž so pokłoni: srěnja barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|srěnja barba kože|wo wodaće prosyć|žona|žona, kiž so pokłoni|žona, kiž so pokłoni: srěnja barba kože
	🙇🏾‍♀️;žona, kiž so pokłoni: srěnjoćmowa barba kože;gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|srěnjoćmowa barba kože|wo wodaće prosyć|žona|žona, kiž so pokłoni|žona, kiž so pokłoni: srěnjoćmowa barba kože
	🙇🏿‍♀️;žona, kiž so pokłoni: ćmowa barba kože;ćmowa barba kože|gesta|kiž so pokłoni|pokornosć|ponižnosć|so pokłonić|so schilić|wo wodaće prosyć|žona|žona, kiž so pokłoni|žona, kiž so pokłoni: ćmowa barba kože
🤦;wosoba, kiž so za hłowu přimnje;kiž so za hłowu přimnje|rozhorjenosć|to so mi wěrić njecha|wobličo|wosoba|wosoba, kiž so za hłowu přimnje|zadwělowanosć
	🤦🏻;wosoba, kiž so za hłowu přimnje: swětła barba kože;kiž so za hłowu přimnje|rozhorjenosć|swětła barba kože|to so mi wěrić njecha|wobličo|wosoba|wosoba, kiž so za hłowu přimnje|wosoba, kiž so za hłowu přimnje: swětła barba kože|zadwělowanosć
	🤦🏼;wosoba, kiž so za hłowu přimnje: srěnjoswětła barba kože;kiž so za hłowu přimnje|rozhorjenosć|srěnjoswětła barba kože|to so mi wěrić njecha|wobličo|wosoba|wosoba, kiž so za hłowu přimnje|wosoba, kiž so za hłowu přimnje: srěnjoswětła barba kože|zadwělowanosć
	🤦🏽;wosoba, kiž so za hłowu přimnje: srěnja barba kože;kiž so za hłowu přimnje|rozhorjenosć|srěnja barba kože|to so mi wěrić njecha|wobličo|wosoba|wosoba, kiž so za hłowu přimnje|wosoba, kiž so za hłowu přimnje: srěnja barba kože|zadwělowanosć
	🤦🏾;wosoba, kiž so za hłowu přimnje: srěnjoćmowa barba kože;kiž so za hłowu přimnje|rozhorjenosć|srěnjoćmowa barba kože|to so mi wěrić njecha|wobličo|wosoba|wosoba, kiž so za hłowu přimnje|wosoba, kiž so za hłowu přimnje: srěnjoćmowa barba kože|zadwělowanosć
	🤦🏿;wosoba, kiž so za hłowu přimnje: ćmowa barba kože;ćmowa barba kože|kiž so za hłowu přimnje|rozhorjenosć|to so mi wěrić njecha|wobličo|wosoba|wosoba, kiž so za hłowu přimnje|wosoba, kiž so za hłowu přimnje: ćmowa barba kože|zadwělowanosć
🤦‍♂️;muž, kiž so za hłowu přimnje;kiž so za hłowu přimnje|muž|muž, kiž so za hłowu přimnje|rozhorjenosć|to so mi wěrić njecha|wobličo|zadwělowanosć
	🤦🏻‍♂️;muž, kiž so za hłowu přimnje: swětła barba kože;kiž so za hłowu přimnje|muž|muž, kiž so za hłowu přimnje|muž, kiž so za hłowu přimnje: swětła barba kože|rozhorjenosć|swětła barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć
	🤦🏼‍♂️;muž, kiž so za hłowu přimnje: srěnjoswětła barba kože;kiž so za hłowu přimnje|muž|muž, kiž so za hłowu přimnje|muž, kiž so za hłowu přimnje: srěnjoswětła barba kože|rozhorjenosć|srěnjoswětła barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć
	🤦🏽‍♂️;muž, kiž so za hłowu přimnje: srěnja barba kože;kiž so za hłowu přimnje|muž|muž, kiž so za hłowu přimnje|muž, kiž so za hłowu přimnje: srěnja barba kože|rozhorjenosć|srěnja barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć
	🤦🏾‍♂️;muž, kiž so za hłowu přimnje: srěnjoćmowa barba kože;kiž so za hłowu přimnje|muž|muž, kiž so za hłowu přimnje|muž, kiž so za hłowu přimnje: srěnjoćmowa barba kože|rozhorjenosć|srěnjoćmowa barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć
	🤦🏿‍♂️;muž, kiž so za hłowu přimnje: ćmowa barba kože;ćmowa barba kože|kiž so za hłowu přimnje|muž|muž, kiž so za hłowu přimnje|muž, kiž so za hłowu přimnje: ćmowa barba kože|rozhorjenosć|to so mi wěrić njecha|wobličo|zadwělowanosć
🤦‍♀️;žona, kiž so za hłowu přimnje;kiž so za hłowu přimnje|rozhorjenosć|to so mi wěrić njecha|wobličo|zadwělowanosć|žona|žona, kiž so za hłowu přimnje
	🤦🏻‍♀️;žona, kiž so za hłowu přimnje: swětła barba kože;kiž so za hłowu přimnje|rozhorjenosć|swětła barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć|žona|žona, kiž so za hłowu přimnje|žona, kiž so za hłowu přimnje: swětła barba kože
	🤦🏼‍♀️;žona, kiž so za hłowu přimnje: srěnjoswětła barba kože;kiž so za hłowu přimnje|rozhorjenosć|srěnjoswětła barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć|žona|žona, kiž so za hłowu přimnje|žona, kiž so za hłowu přimnje: srěnjoswětła barba kože
	🤦🏽‍♀️;žona, kiž so za hłowu přimnje: srěnja barba kože;kiž so za hłowu přimnje|rozhorjenosć|srěnja barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć|žona|žona, kiž so za hłowu přimnje|žona, kiž so za hłowu přimnje: srěnja barba kože
	🤦🏾‍♀️;žona, kiž so za hłowu přimnje: srěnjoćmowa barba kože;kiž so za hłowu přimnje|rozhorjenosć|srěnjoćmowa barba kože|to so mi wěrić njecha|wobličo|zadwělowanosć|žona|žona, kiž so za hłowu přimnje|žona, kiž so za hłowu přimnje: srěnjoćmowa barba kože
	🤦🏿‍♀️;žona, kiž so za hłowu přimnje: ćmowa barba kože;ćmowa barba kože|kiž so za hłowu přimnje|rozhorjenosć|to so mi wěrić njecha|wobličo|zadwělowanosć|žona|žona, kiž so za hłowu přimnje|žona, kiž so za hłowu přimnje: ćmowa barba kože
🤷;wosoba, kiž z ramjenjomaj suknje;dwěle|kiž z ramjenjomaj suknje|smorže|wosoba|wosoba, kiž z ramjenjomaj suknje|wšojedne|žane zdaće
	🤷🏻;wosoba, kiž z ramjenjomaj suknje: swětła barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|swětła barba kože|wosoba|wosoba, kiž z ramjenjomaj suknje|wosoba, kiž z ramjenjomaj suknje: swětła barba kože|wšojedne|žane zdaće
	🤷🏼;wosoba, kiž z ramjenjomaj suknje: srěnjoswětła barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|srěnjoswětła barba kože|wosoba|wosoba, kiž z ramjenjomaj suknje|wosoba, kiž z ramjenjomaj suknje: srěnjoswětła barba kože|wšojedne|žane zdaće
	🤷🏽;wosoba, kiž z ramjenjomaj suknje: srěnja barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|srěnja barba kože|wosoba|wosoba, kiž z ramjenjomaj suknje|wosoba, kiž z ramjenjomaj suknje: srěnja barba kože|wšojedne|žane zdaće
	🤷🏾;wosoba, kiž z ramjenjomaj suknje: srěnjoćmowa barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|srěnjoćmowa barba kože|wosoba|wosoba, kiž z ramjenjomaj suknje|wosoba, kiž z ramjenjomaj suknje: srěnjoćmowa barba kože|wšojedne|žane zdaće
	🤷🏿;wosoba, kiž z ramjenjomaj suknje: ćmowa barba kože;ćmowa barba kože|dwěle|kiž z ramjenjomaj suknje|smorže|wosoba|wosoba, kiž z ramjenjomaj suknje|wosoba, kiž z ramjenjomaj suknje: ćmowa barba kože|wšojedne|žane zdaće
🤷‍♂️;muž, kiž z ramjenjomaj suknje;dwěle|kiž z ramjenjomaj suknje|muž|muž, kiž z ramjenjomaj suknje|smorže|wšojedne|žane zdaće
	🤷🏻‍♂️;muž, kiž z ramjenjomaj suknje: swětła barba kože;dwěle|kiž z ramjenjomaj suknje|muž|muž, kiž z ramjenjomaj suknje|muž, kiž z ramjenjomaj suknje: swětła barba kože|smorže|swětła barba kože|wšojedne|žane zdaće
	🤷🏼‍♂️;muž, kiž z ramjenjomaj suknje: srěnjoswětła barba kože;dwěle|kiž z ramjenjomaj suknje|muž|muž, kiž z ramjenjomaj suknje|muž, kiž z ramjenjomaj suknje: srěnjoswětła barba kože|smorže|srěnjoswětła barba kože|wšojedne|žane zdaće
	🤷🏽‍♂️;muž, kiž z ramjenjomaj suknje: srěnja barba kože;dwěle|kiž z ramjenjomaj suknje|muž|muž, kiž z ramjenjomaj suknje|muž, kiž z ramjenjomaj suknje: srěnja barba kože|smorže|srěnja barba kože|wšojedne|žane zdaće
	🤷🏾‍♂️;muž, kiž z ramjenjomaj suknje: srěnjoćmowa barba kože;dwěle|kiž z ramjenjomaj suknje|muž|muž, kiž z ramjenjomaj suknje|muž, kiž z ramjenjomaj suknje: srěnjoćmowa barba kože|smorže|srěnjoćmowa barba kože|wšojedne|žane zdaće
	🤷🏿‍♂️;muž, kiž z ramjenjomaj suknje: ćmowa barba kože;ćmowa barba kože|dwěle|kiž z ramjenjomaj suknje|muž|muž, kiž z ramjenjomaj suknje|muž, kiž z ramjenjomaj suknje: ćmowa barba kože|smorže|wšojedne|žane zdaće
🤷‍♀️;žona, kiž z ramjenjomaj suknje;dwěle|kiž z ramjenjomaj suknje|smorže|wšojedne|žane zdaće|žona|žona, kiž z ramjenjomaj suknje
	🤷🏻‍♀️;žona, kiž z ramjenjomaj suknje: swětła barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|swětła barba kože|wšojedne|žane zdaće|žona|žona, kiž z ramjenjomaj suknje|žona, kiž z ramjenjomaj suknje: swětła barba kože
	🤷🏼‍♀️;žona, kiž z ramjenjomaj suknje: srěnjoswětła barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|srěnjoswětła barba kože|wšojedne|žane zdaće|žona|žona, kiž z ramjenjomaj suknje|žona, kiž z ramjenjomaj suknje: srěnjoswětła barba kože
	🤷🏽‍♀️;žona, kiž z ramjenjomaj suknje: srěnja barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|srěnja barba kože|wšojedne|žane zdaće|žona|žona, kiž z ramjenjomaj suknje|žona, kiž z ramjenjomaj suknje: srěnja barba kože
	🤷🏾‍♀️;žona, kiž z ramjenjomaj suknje: srěnjoćmowa barba kože;dwěle|kiž z ramjenjomaj suknje|smorže|srěnjoćmowa barba kože|wšojedne|žane zdaće|žona|žona, kiž z ramjenjomaj suknje|žona, kiž z ramjenjomaj suknje: srěnjoćmowa barba kože
	🤷🏿‍♀️;žona, kiž z ramjenjomaj suknje: ćmowa barba kože;ćmowa barba kože|dwěle|kiž z ramjenjomaj suknje|smorže|wšojedne|žane zdaće|žona|žona, kiž z ramjenjomaj suknje|žona, kiž z ramjenjomaj suknje: ćmowa barba kože
🧑‍⚕️;lěkar/ka;chorobna sotra|lěkar|lěkar/ka|lěkarka|strowotnistwo|terapeut|terapeutka
	🧑🏻‍⚕️;lěkar/ka: swětła barba kože;chorobna sotra|lěkar|lěkar/ka|lěkar/ka: swětła barba kože|lěkarka|strowotnistwo|swětła barba kože|terapeut|terapeutka
	🧑🏼‍⚕️;lěkar/ka: srěnjoswětła barba kože;chorobna sotra|lěkar|lěkar/ka|lěkar/ka: srěnjoswětła barba kože|lěkarka|srěnjoswětła barba kože|strowotnistwo|terapeut|terapeutka
	🧑🏽‍⚕️;lěkar/ka: srěnja barba kože;chorobna sotra|lěkar|lěkar/ka|lěkar/ka: srěnja barba kože|lěkarka|srěnja barba kože|strowotnistwo|terapeut|terapeutka
	🧑🏾‍⚕️;lěkar/ka: srěnjoćmowa barba kože;chorobna sotra|lěkar|lěkar/ka|lěkar/ka: srěnjoćmowa barba kože|lěkarka|srěnjoćmowa barba kože|strowotnistwo|terapeut|terapeutka
	🧑🏿‍⚕️;lěkar/ka: ćmowa barba kože;chorobna sotra|ćmowa barba kože|lěkar|lěkar/ka|lěkar/ka: ćmowa barba kože|lěkarka|strowotnistwo|terapeut|terapeutka
👨‍⚕️;lěkar;doktor|lěkar|lěkarski kitl|strowotnistwo|terapeut
	👨🏻‍⚕️;lěkar: swětła barba kože;doktor|lěkar|lěkar: swětła barba kože|lěkarski kitl|strowotnistwo|swětła barba kože|terapeut
	👨🏼‍⚕️;lěkar: srěnjoswětła barba kože;doktor|lěkar|lěkar: srěnjoswětła barba kože|lěkarski kitl|srěnjoswětła barba kože|strowotnistwo|terapeut
	👨🏽‍⚕️;lěkar: srěnja barba kože;doktor|lěkar|lěkar: srěnja barba kože|lěkarski kitl|srěnja barba kože|strowotnistwo|terapeut
	👨🏾‍⚕️;lěkar: srěnjoćmowa barba kože;doktor|lěkar|lěkar: srěnjoćmowa barba kože|lěkarski kitl|srěnjoćmowa barba kože|strowotnistwo|terapeut
	👨🏿‍⚕️;lěkar: ćmowa barba kože;ćmowa barba kože|doktor|lěkar|lěkar: ćmowa barba kože|lěkarski kitl|strowotnistwo|terapeut
👩‍⚕️;lěkarka;chorobna sotra|lěkarka|lěkarski kitl|strowotnistwo|terapeutka
	👩🏻‍⚕️;lěkarka: swětła barba kože;chorobna sotra|lěkarka|lěkarka: swětła barba kože|lěkarski kitl|strowotnistwo|swětła barba kože|terapeutka
	👩🏼‍⚕️;lěkarka: srěnjoswětła barba kože;chorobna sotra|lěkarka|lěkarka: srěnjoswětła barba kože|lěkarski kitl|srěnjoswětła barba kože|strowotnistwo|terapeutka
	👩🏽‍⚕️;lěkarka: srěnja barba kože;chorobna sotra|lěkarka|lěkarka: srěnja barba kože|lěkarski kitl|srěnja barba kože|strowotnistwo|terapeutka
	👩🏾‍⚕️;lěkarka: srěnjoćmowa barba kože;chorobna sotra|lěkarka|lěkarka: srěnjoćmowa barba kože|lěkarski kitl|srěnjoćmowa barba kože|strowotnistwo|terapeutka
	👩🏿‍⚕️;lěkarka: ćmowa barba kože;chorobna sotra|ćmowa barba kože|lěkarka|lěkarka: ćmowa barba kože|lěkarski kitl|strowotnistwo|terapeutka
🧑‍🎓;student/ka;dostudowany|student|student/ka|studentka|wotchadnica|wotchadnik|wustudowany
	🧑🏻‍🎓;student/ka: swětła barba kože;dostudowany|student|student/ka|student/ka: swětła barba kože|studentka|swětła barba kože|wotchadnica|wotchadnik|wustudowany
	🧑🏼‍🎓;student/ka: srěnjoswětła barba kože;dostudowany|srěnjoswětła barba kože|student|student/ka|student/ka: srěnjoswětła barba kože|studentka|wotchadnica|wotchadnik|wustudowany
	🧑🏽‍🎓;student/ka: srěnja barba kože;dostudowany|srěnja barba kože|student|student/ka|student/ka: srěnja barba kože|studentka|wotchadnica|wotchadnik|wustudowany
	🧑🏾‍🎓;student/ka: srěnjoćmowa barba kože;dostudowany|srěnjoćmowa barba kože|student|student/ka|student/ka: srěnjoćmowa barba kože|studentka|wotchadnica|wotchadnik|wustudowany
	🧑🏿‍🎓;student/ka: ćmowa barba kože;ćmowa barba kože|dostudowany|student|student/ka|student/ka: ćmowa barba kože|studentka|wotchadnica|wotchadnik|wustudowany
👨‍🎓;student;doktorski kłobuk|student|uniwersita|wotchadnik
	👨🏻‍🎓;student: swětła barba kože;doktorski kłobuk|student|student: swětła barba kože|swětła barba kože|uniwersita|wotchadnik
	👨🏼‍🎓;student: srěnjoswětła barba kože;doktorski kłobuk|srěnjoswětła barba kože|student|student: srěnjoswětła barba kože|uniwersita|wotchadnik
	👨🏽‍🎓;student: srěnja barba kože;doktorski kłobuk|srěnja barba kože|student|student: srěnja barba kože|uniwersita|wotchadnik
	👨🏾‍🎓;student: srěnjoćmowa barba kože;doktorski kłobuk|srěnjoćmowa barba kože|student|student: srěnjoćmowa barba kože|uniwersita|wotchadnik
	👨🏿‍🎓;student: ćmowa barba kože;ćmowa barba kože|doktorski kłobuk|student|student: ćmowa barba kože|uniwersita|wotchadnik
👩‍🎓;studentka;doktorski kłobuk|studentka|uniwersita|wotchadnica
	👩🏻‍🎓;studentka: swětła barba kože;doktorski kłobuk|studentka|studentka: swětła barba kože|swětła barba kože|uniwersita|wotchadnica
	👩🏼‍🎓;studentka: srěnjoswětła barba kože;doktorski kłobuk|srěnjoswětła barba kože|studentka|studentka: srěnjoswětła barba kože|uniwersita|wotchadnica
	👩🏽‍🎓;studentka: srěnja barba kože;doktorski kłobuk|srěnja barba kože|studentka|studentka: srěnja barba kože|uniwersita|wotchadnica
	👩🏾‍🎓;studentka: srěnjoćmowa barba kože;doktorski kłobuk|srěnjoćmowa barba kože|studentka|studentka: srěnjoćmowa barba kože|uniwersita|wotchadnica
	👩🏿‍🎓;studentka: ćmowa barba kože;ćmowa barba kože|doktorski kłobuk|studentka|studentka: ćmowa barba kože|uniwersita|wotchadnica
🧑‍🏫;wučer/ka;docent|docentka|profesor|profesorka|wučer|wučer/ka|wučerka
	🧑🏻‍🏫;wučer/ka: swětła barba kože;docent|docentka|profesor|profesorka|swětła barba kože|wučer|wučer/ka|wučer/ka: swětła barba kože|wučerka
	🧑🏼‍🏫;wučer/ka: srěnjoswětła barba kože;docent|docentka|profesor|profesorka|srěnjoswětła barba kože|wučer|wučer/ka|wučer/ka: srěnjoswětła barba kože|wučerka
	🧑🏽‍🏫;wučer/ka: srěnja barba kože;docent|docentka|profesor|profesorka|srěnja barba kože|wučer|wučer/ka|wučer/ka: srěnja barba kože|wučerka
	🧑🏾‍🏫;wučer/ka: srěnjoćmowa barba kože;docent|docentka|profesor|profesorka|srěnjoćmowa barba kože|wučer|wučer/ka|wučer/ka: srěnjoćmowa barba kože|wučerka
	🧑🏿‍🏫;wučer/ka: ćmowa barba kože;ćmowa barba kože|docent|docentka|profesor|profesorka|wučer|wučer/ka|wučer/ka: ćmowa barba kože|wučerka
👨‍🏫;wučer;docent|profesor|wučer
	👨🏻‍🏫;wučer: swětła barba kože;docent|profesor|swětła barba kože|wučer|wučer: swětła barba kože
	👨🏼‍🏫;wučer: srěnjoswětła barba kože;docent|profesor|srěnjoswětła barba kože|wučer|wučer: srěnjoswětła barba kože
	👨🏽‍🏫;wučer: srěnja barba kože;docent|profesor|srěnja barba kože|wučer|wučer: srěnja barba kože
	👨🏾‍🏫;wučer: srěnjoćmowa barba kože;docent|profesor|srěnjoćmowa barba kože|wučer|wučer: srěnjoćmowa barba kože
	👨🏿‍🏫;wučer: ćmowa barba kože;ćmowa barba kože|docent|profesor|wučer|wučer: ćmowa barba kože
👩‍🏫;wučerka;docentka|profesorka|wučerka
	👩🏻‍🏫;wučerka: swětła barba kože;docentka|profesorka|swětła barba kože|wučerka|wučerka: swětła barba kože
	👩🏼‍🏫;wučerka: srěnjoswětła barba kože;docentka|profesorka|srěnjoswětła barba kože|wučerka|wučerka: srěnjoswětła barba kože
	👩🏽‍🏫;wučerka: srěnja barba kože;docentka|profesorka|srěnja barba kože|wučerka|wučerka: srěnja barba kože
	👩🏾‍🏫;wučerka: srěnjoćmowa barba kože;docentka|profesorka|srěnjoćmowa barba kože|wučerka|wučerka: srěnjoćmowa barba kože
	👩🏿‍🏫;wučerka: ćmowa barba kože;ćmowa barba kože|docentka|profesorka|wučerka|wučerka: ćmowa barba kože
🧑‍⚖️;sudnik/ sudnica;sudnica|sudnik|sudnik/ sudnica|waha
	🧑🏻‍⚖️;sudnik/ sudnica: swětła barba kože;sudnica|sudnik|sudnik/ sudnica|sudnik/ sudnica: swětła barba kože|swětła barba kože|waha
	🧑🏼‍⚖️;sudnik/ sudnica: srěnjoswětła barba kože;srěnjoswětła barba kože|sudnica|sudnik|sudnik/ sudnica|sudnik/ sudnica: srěnjoswětła barba kože|waha
	🧑🏽‍⚖️;sudnik/ sudnica: srěnja barba kože;srěnja barba kože|sudnica|sudnik|sudnik/ sudnica|sudnik/ sudnica: srěnja barba kože|waha
	🧑🏾‍⚖️;sudnik/ sudnica: srěnjoćmowa barba kože;srěnjoćmowa barba kože|sudnica|sudnik|sudnik/ sudnica|sudnik/ sudnica: srěnjoćmowa barba kože|waha
	🧑🏿‍⚖️;sudnik/ sudnica: ćmowa barba kože;ćmowa barba kože|sudnica|sudnik|sudnik/ sudnica|sudnik/ sudnica: ćmowa barba kože|waha
👨‍⚖️;sudnik;prawo|sprawnosć|sudnik
	👨🏻‍⚖️;sudnik: swětła barba kože;prawo|sprawnosć|sudnik|sudnik: swětła barba kože|swětła barba kože
	👨🏼‍⚖️;sudnik: srěnjoswětła barba kože;prawo|sprawnosć|srěnjoswětła barba kože|sudnik|sudnik: srěnjoswětła barba kože
	👨🏽‍⚖️;sudnik: srěnja barba kože;prawo|sprawnosć|srěnja barba kože|sudnik|sudnik: srěnja barba kože
	👨🏾‍⚖️;sudnik: srěnjoćmowa barba kože;prawo|sprawnosć|srěnjoćmowa barba kože|sudnik|sudnik: srěnjoćmowa barba kože
	👨🏿‍⚖️;sudnik: ćmowa barba kože;ćmowa barba kože|prawo|sprawnosć|sudnik|sudnik: ćmowa barba kože
👩‍⚖️;sudnica;prawo|sprawnosć|sudnica
	👩🏻‍⚖️;sudnica: swětła barba kože;prawo|sprawnosć|sudnica|sudnica: swětła barba kože|swětła barba kože
	👩🏼‍⚖️;sudnica: srěnjoswětła barba kože;prawo|sprawnosć|srěnjoswětła barba kože|sudnica|sudnica: srěnjoswětła barba kože
	👩🏽‍⚖️;sudnica: srěnja barba kože;prawo|sprawnosć|srěnja barba kože|sudnica|sudnica: srěnja barba kože
	👩🏾‍⚖️;sudnica: srěnjoćmowa barba kože;prawo|sprawnosć|srěnjoćmowa barba kože|sudnica|sudnica: srěnjoćmowa barba kože
	👩🏿‍⚖️;sudnica: ćmowa barba kože;ćmowa barba kože|prawo|sprawnosć|sudnica|sudnica: ćmowa barba kože
🧑‍🌾;bur/owka;bur|bur/owka|burowka|ratar|ratarka|zahrodnica|zahrodnik
	🧑🏻‍🌾;bur/owka: swětła barba kože;bur|bur/owka|bur/owka: swětła barba kože|burowka|ratar|ratarka|swětła barba kože|zahrodnica|zahrodnik
	🧑🏼‍🌾;bur/owka: srěnjoswětła barba kože;bur|bur/owka|bur/owka: srěnjoswětła barba kože|burowka|ratar|ratarka|srěnjoswětła barba kože|zahrodnica|zahrodnik
	🧑🏽‍🌾;bur/owka: srěnja barba kože;bur|bur/owka|bur/owka: srěnja barba kože|burowka|ratar|ratarka|srěnja barba kože|zahrodnica|zahrodnik
	🧑🏾‍🌾;bur/owka: srěnjoćmowa barba kože;bur|bur/owka|bur/owka: srěnjoćmowa barba kože|burowka|ratar|ratarka|srěnjoćmowa barba kože|zahrodnica|zahrodnik
	🧑🏿‍🌾;bur/owka: ćmowa barba kože;bur|bur/owka|bur/owka: ćmowa barba kože|burowka|ćmowa barba kože|ratar|ratarka|zahrodnica|zahrodnik
👨‍🌾;bur;bur|kłóska|ratar|zahrodnik
	👨🏻‍🌾;bur: swětła barba kože;bur|bur: swětła barba kože|kłóska|ratar|swětła barba kože|zahrodnik
	👨🏼‍🌾;bur: srěnjoswětła barba kože;bur|bur: srěnjoswětła barba kože|kłóska|ratar|srěnjoswětła barba kože|zahrodnik
	👨🏽‍🌾;bur: srěnja barba kože;bur|bur: srěnja barba kože|kłóska|ratar|srěnja barba kože|zahrodnik
	👨🏾‍🌾;bur: srěnjoćmowa barba kože;bur|bur: srěnjoćmowa barba kože|kłóska|ratar|srěnjoćmowa barba kože|zahrodnik
	👨🏿‍🌾;bur: ćmowa barba kože;bur|bur: ćmowa barba kože|ćmowa barba kože|kłóska|ratar|zahrodnik
👩‍🌾;burowka;burowka|kłóska|ratarka|zahrodnica
