[smileys_emotion]
😀;инээсэн царай;инээсэн царай|инээх|царай
👉;баруун зүг зааж байгаа;баруун зүг зааж байгаа|баруун тийш зааж буй долоовор хуруу|гар|гарын ар тал|хуруу
	👉🏻;баруун зүг зааж байгаа: цайвар;баруун зүг зааж байгаа|баруун зүг зааж байгаа: цайвар|баруун тийш зааж буй долоовор хуруу|гар|гарын ар тал|хуруу|цайвар
	👉🏼;баруун зүг зааж байгаа: бага зэргийн цайвар;бага зэргийн цайвар|баруун зүг зааж байгаа|баруун зүг зааж байгаа: бага зэргийн цайвар|баруун тийш зааж буй долоовор хуруу|гар|гарын ар тал|хуруу
	👉🏽;баруун зүг зааж байгаа: дунд зэргийн;баруун зүг зааж байгаа|баруун зүг зааж байгаа: дунд зэргийн|баруун тийш зааж буй долоовор хуруу|гар|гарын ар тал|дунд зэргийн|хуруу
	👉🏾;баруун зүг зааж байгаа: бордуу;баруун зүг зааж байгаа|баруун зүг зааж байгаа: бордуу|баруун тийш зааж буй долоовор хуруу|бордуу|гар|гарын ар тал|хуруу
	👉🏿;баруун зүг зааж байгаа: бор;баруун зүг зааж байгаа|баруун зүг зааж байгаа: бор|баруун тийш зааж буй долоовор хуруу|бор|гар|гарын ар тал|хуруу
👆;дээшээ зааж буй алганы ар тал;гар|гарын ар тал|дээшээ зааж буй алганы ар тал|дээшээ зааж буй долоовор хуруу|хуруу
	👆🏻;дээшээ зааж буй алганы ар тал: цайвар;гар|гарын ар тал|дээшээ зааж буй алганы ар тал|дээшээ зааж буй алганы ар тал: цайвар|дээшээ зааж буй долоовор хуруу|хуруу|цайвар
	👆🏼;дээшээ зааж буй алганы ар тал: бага зэргийн цайвар;бага зэргийн цайвар|гар|гарын ар тал|дээшээ зааж буй алганы ар тал|дээшээ зааж буй алганы ар тал: бага зэргийн цайвар|дээшээ зааж буй долоовор хуруу|хуруу
	👆🏽;дээшээ зааж буй алганы ар тал: дунд зэргийн;гар|гарын ар тал|дунд зэргийн|дээшээ зааж буй алганы ар тал|дээшээ зааж буй алганы ар тал: дунд зэргийн|дээшээ зааж буй долоовор хуруу|хуруу
	👆🏾;дээшээ зааж буй алганы ар тал: бордуу;бордуу|гар|гарын ар тал|дээшээ зааж буй алганы ар тал|дээшээ зааж буй алганы ар тал: бордуу|дээшээ зааж буй долоовор хуруу|хуруу
	👆🏿;дээшээ зааж буй алганы ар тал: бор;бор|гар|гарын ар тал|дээшээ зааж буй алганы ар тал|дээшээ зааж буй алганы ар тал: бор|дээшээ зааж буй долоовор хуруу|хуруу
🖕;дунд хуруу;алга|гар|дунд|хуруу
	🖕🏻;дунд хуруу: цайвар;алга|гар|дунд|дунд хуруу: цайвар|хуруу|цайвар
	🖕🏼;дунд хуруу: бага зэргийн цайвар;алга|бага зэргийн цайвар|гар|дунд|дунд хуруу: бага зэргийн цайвар|хуруу
	🖕🏽;дунд хуруу: дунд зэргийн;алга|гар|дунд|дунд зэргийн|дунд хуруу: дунд зэргийн|хуруу
	🖕🏾;дунд хуруу: бордуу;алга|бордуу|гар|дунд|дунд хуруу: бордуу|хуруу
	🖕🏿;дунд хуруу: бор;алга|бор|гар|дунд|дунд хуруу: бор|хуруу
👇;доошоо зааж буй алганы ард тал;гар|гарын ар тал|доошоо|доошоо зааж буй алганы ард тал|доошоо зааж буй долоовор хуруу|хуруу
	👇🏻;доошоо зааж буй алганы ард тал: цайвар;гар|гарын ар тал|доошоо|доошоо зааж буй алганы ард тал|доошоо зааж буй алганы ард тал: цайвар|доошоо зааж буй долоовор хуруу|хуруу|цайвар
	👇🏼;доошоо зааж буй алганы ард тал: бага зэргийн цайвар;бага зэргийн цайвар|гар|гарын ар тал|доошоо|доошоо зааж буй алганы ард тал|доошоо зааж буй алганы ард тал: бага зэргийн цайвар|доошоо зааж буй долоовор хуруу|хуруу
	👇🏽;доошоо зааж буй алганы ард тал: дунд зэргийн;гар|гарын ар тал|доошоо|доошоо зааж буй алганы ард тал|доошоо зааж буй алганы ард тал: дунд зэргийн|доошоо зааж буй долоовор хуруу|дунд зэргийн|хуруу
	👇🏾;доошоо зааж буй алганы ард тал: бордуу;бордуу|гар|гарын ар тал|доошоо|доошоо зааж буй алганы ард тал|доошоо зааж буй алганы ард тал: бордуу|доошоо зааж буй долоовор хуруу|хуруу
	👇🏿;доошоо зааж буй алганы ард тал: бор;бор|гар|гарын ар тал|доошоо|доошоо зааж буй алганы ард тал|доошоо зааж буй алганы ард тал: бор|доошоо зааж буй долоовор хуруу|хуруу
☝️;дээшээг зааж байгаа;гар|дээшээ|дээшээг зааж байгаа|заах|хуруу
	☝🏻;дээшээг зааж байгаа: цайвар;гар|дээшээ|дээшээг зааж байгаа|дээшээг зааж байгаа: цайвар|заах|хуруу|цайвар
	☝🏼;дээшээг зааж байгаа: бага зэргийн цайвар;бага зэргийн цайвар|гар|дээшээ|дээшээг зааж байгаа|дээшээг зааж байгаа: бага зэргийн цайвар|заах|хуруу
	☝🏽;дээшээг зааж байгаа: дунд зэргийн;гар|дунд зэргийн|дээшээ|дээшээг зааж байгаа|дээшээг зааж байгаа: дунд зэргийн|заах|хуруу
	☝🏾;дээшээг зааж байгаа: бордуу;бордуу|гар|дээшээ|дээшээг зааж байгаа|дээшээг зааж байгаа: бордуу|заах|хуруу
	☝🏿;дээшээг зааж байгаа: бор;бор|гар|дээшээ|дээшээг зааж байгаа|дээшээг зааж байгаа: бор|заах|хуруу
🫵;үзэгч рүү долоовор хуруугаар заах;заах|та|үзэгч рүү долоовор хуруугаар заах
	🫵🏻;үзэгч рүү долоовор хуруугаар заах: цайвар;заах|та|үзэгч рүү долоовор хуруугаар заах|үзэгч рүү долоовор хуруугаар заах: цайвар|цайвар
	🫵🏼;үзэгч рүү долоовор хуруугаар заах: бага зэргийн цайвар;бага зэргийн цайвар|заах|та|үзэгч рүү долоовор хуруугаар заах|үзэгч рүү долоовор хуруугаар заах: бага зэргийн цайвар
	🫵🏽;үзэгч рүү долоовор хуруугаар заах: дунд зэргийн;дунд зэргийн|заах|та|үзэгч рүү долоовор хуруугаар заах|үзэгч рүү долоовор хуруугаар заах: дунд зэргийн
	🫵🏾;үзэгч рүү долоовор хуруугаар заах: бордуу;бордуу|заах|та|үзэгч рүү долоовор хуруугаар заах|үзэгч рүү долоовор хуруугаар заах: бордуу
	🫵🏿;үзэгч рүү долоовор хуруугаар заах: бор;бор|заах|та|үзэгч рүү долоовор хуруугаар заах|үзэгч рүү долоовор хуруугаар заах: бор
👍;сайн;амжилттай|гар|сайн|таалагдсан|хуруу
	👍🏻;сайн: цайвар;амжилттай|гар|сайн|сайн: цайвар|таалагдсан|хуруу|цайвар
	👍🏼;сайн: бага зэргийн цайвар;амжилттай|бага зэргийн цайвар|гар|сайн|сайн: бага зэргийн цайвар|таалагдсан|хуруу
	👍🏽;сайн: дунд зэргийн;амжилттай|гар|дунд зэргийн|сайн|сайн: дунд зэргийн|таалагдсан|хуруу
	👍🏾;сайн: бордуу;амжилттай|бордуу|гар|сайн|сайн: бордуу|таалагдсан|хуруу
	👍🏿;сайн: бор;амжилттай|бор|гар|сайн|сайн: бор|таалагдсан|хуруу
👎;муу;амжилтгүй|гар|муу|таалагдаагүй|хуруу
	👎🏻;муу: цайвар;амжилтгүй|гар|муу|муу: цайвар|таалагдаагүй|хуруу|цайвар
	👎🏼;муу: бага зэргийн цайвар;амжилтгүй|бага зэргийн цайвар|гар|муу|муу: бага зэргийн цайвар|таалагдаагүй|хуруу
	👎🏽;муу: дунд зэргийн;амжилтгүй|гар|дунд зэргийн|муу|муу: дунд зэргийн|таалагдаагүй|хуруу
	👎🏾;муу: бордуу;амжилтгүй|бордуу|гар|муу|муу: бордуу|таалагдаагүй|хуруу
	👎🏿;муу: бор;амжилтгүй|бор|гар|муу|муу: бор|таалагдаагүй|хуруу
✊;зангидсан гар;гар|зангидах|зангидсан гар
	✊🏻;зангидсан гар: цайвар;гар|зангидах|зангидсан гар|зангидсан гар: цайвар|цайвар
	✊🏼;зангидсан гар: бага зэргийн цайвар;бага зэргийн цайвар|гар|зангидах|зангидсан гар|зангидсан гар: бага зэргийн цайвар
	✊🏽;зангидсан гар: дунд зэргийн;гар|дунд зэргийн|зангидах|зангидсан гар|зангидсан гар: дунд зэргийн
	✊🏾;зангидсан гар: бордуу;бордуу|гар|зангидах|зангидсан гар|зангидсан гар: бордуу
	✊🏿;зангидсан гар: бор;бор|гар|зангидах|зангидсан гар|зангидсан гар: бор
👊;цохилт;гар|мэндчилгээ|цохилт
	👊🏻;цохилт: цайвар;гар|мэндчилгээ|цайвар|цохилт|цохилт: цайвар
	👊🏼;цохилт: бага зэргийн цайвар;бага зэргийн цайвар|гар|мэндчилгээ|цохилт|цохилт: бага зэргийн цайвар
	👊🏽;цохилт: дунд зэргийн;гар|дунд зэргийн|мэндчилгээ|цохилт|цохилт: дунд зэргийн
	👊🏾;цохилт: бордуу;бордуу|гар|мэндчилгээ|цохилт|цохилт: бордуу
	👊🏿;цохилт: бор;бор|гар|мэндчилгээ|цохилт|цохилт: бор
🤛;зүүн харсан зангидсан гар;гар|зангидсан|зүүн|харсан
	🤛🏻;зүүн харсан зангидсан гар: цайвар;гар|зангидсан|зүүн|зүүн харсан зангидсан гар: цайвар|харсан|цайвар
	🤛🏼;зүүн харсан зангидсан гар: бага зэргийн цайвар;бага зэргийн цайвар|гар|зангидсан|зүүн|зүүн харсан зангидсан гар: бага зэргийн цайвар|харсан
	🤛🏽;зүүн харсан зангидсан гар: дунд зэргийн;гар|дунд зэргийн|зангидсан|зүүн|зүүн харсан зангидсан гар: дунд зэргийн|харсан
	🤛🏾;зүүн харсан зангидсан гар: бордуу;бордуу|гар|зангидсан|зүүн|зүүн харсан зангидсан гар: бордуу|харсан
	🤛🏿;зүүн харсан зангидсан гар: бор;бор|гар|зангидсан|зүүн|зүүн харсан зангидсан гар: бор|харсан
🤜;баруун харсан зангидсан гар;баруун|гар|зангидсан|харсан
	🤜🏻;баруун харсан зангидсан гар: цайвар;баруун|баруун харсан зангидсан гар: цайвар|гар|зангидсан|харсан|цайвар
	🤜🏼;баруун харсан зангидсан гар: бага зэргийн цайвар;бага зэргийн цайвар|баруун|баруун харсан зангидсан гар: бага зэргийн цайвар|гар|зангидсан|харсан
	🤜🏽;баруун харсан зангидсан гар: дунд зэргийн;баруун|баруун харсан зангидсан гар: дунд зэргийн|гар|дунд зэргийн|зангидсан|харсан
	🤜🏾;баруун харсан зангидсан гар: бордуу;баруун|баруун харсан зангидсан гар: бордуу|бордуу|гар|зангидсан|харсан
	🤜🏿;баруун харсан зангидсан гар: бор;баруун|баруун харсан зангидсан гар: бор|бор|гар|зангидсан|харсан
👏;алга таших;алга|гар|таших|хуруу
	👏🏻;алга таших: цайвар;алга|алга таших: цайвар|гар|таших|хуруу|цайвар
	👏🏼;алга таших: бага зэргийн цайвар;алга|алга таших: бага зэргийн цайвар|бага зэргийн цайвар|гар|таших|хуруу
	👏🏽;алга таших: дунд зэргийн;алга|алга таших: дунд зэргийн|гар|дунд зэргийн|таших|хуруу
	👏🏾;алга таших: бордуу;алга|алга таших: бордуу|бордуу|гар|таших|хуруу
	👏🏿;алга таших: бор;алга|алга таших: бор|бор|гар|таших|хуруу
🙌;гараа өргөж байгаа хүн;гар|гараа өргөж байгаа хүн|өргөх|хоёр гар|хүн
	🙌🏻;гараа өргөж байгаа хүн: цайвар;гар|гараа өргөж байгаа хүн|гараа өргөж байгаа хүн: цайвар|өргөх|хоёр гар|хүн|цайвар
	🙌🏼;гараа өргөж байгаа хүн: бага зэргийн цайвар;бага зэргийн цайвар|гар|гараа өргөж байгаа хүн|гараа өргөж байгаа хүн: бага зэргийн цайвар|өргөх|хоёр гар|хүн
	🙌🏽;гараа өргөж байгаа хүн: дунд зэргийн;гар|гараа өргөж байгаа хүн|гараа өргөж байгаа хүн: дунд зэргийн|дунд зэргийн|өргөх|хоёр гар|хүн
	🙌🏾;гараа өргөж байгаа хүн: бордуу;бордуу|гар|гараа өргөж байгаа хүн|гараа өргөж байгаа хүн: бордуу|өргөх|хоёр гар|хүн
	🙌🏿;гараа өргөж байгаа хүн: бор;бор|гар|гараа өргөж байгаа хүн|гараа өргөж байгаа хүн: бор|өргөх|хоёр гар|хүн
🫶;зүрхэн гар;зүрхэн гар|хайр
	🫶🏻;зүрхэн гар: цайвар;зүрхэн гар|зүрхэн гар: цайвар|хайр|цайвар
	🫶🏼;зүрхэн гар: бага зэргийн цайвар;бага зэргийн цайвар|зүрхэн гар|зүрхэн гар: бага зэргийн цайвар|хайр
	🫶🏽;зүрхэн гар: дунд зэргийн;дунд зэргийн|зүрхэн гар|зүрхэн гар: дунд зэргийн|хайр
	🫶🏾;зүрхэн гар: бордуу;бордуу|зүрхэн гар|зүрхэн гар: бордуу|хайр
	🫶🏿;зүрхэн гар: бор;бор|зүрхэн гар|зүрхэн гар: бор|хайр
👐;дэлгэсэн алга;алга|гар|дэлгэсэн алга|дэлгээтэй|нээлттэй
	👐🏻;дэлгэсэн алга: цайвар;алга|гар|дэлгэсэн алга|дэлгэсэн алга: цайвар|дэлгээтэй|нээлттэй|цайвар
	👐🏼;дэлгэсэн алга: бага зэргийн цайвар;алга|бага зэргийн цайвар|гар|дэлгэсэн алга|дэлгэсэн алга: бага зэргийн цайвар|дэлгээтэй|нээлттэй
	👐🏽;дэлгэсэн алга: дунд зэргийн;алга|гар|дунд зэргийн|дэлгэсэн алга|дэлгэсэн алга: дунд зэргийн|дэлгээтэй|нээлттэй
	👐🏾;дэлгэсэн алга: бордуу;алга|бордуу|гар|дэлгэсэн алга|дэлгэсэн алга: бордуу|дэлгээтэй|нээлттэй
	👐🏿;дэлгэсэн алга: бор;алга|бор|гар|дэлгэсэн алга|дэлгэсэн алга: бор|дэлгээтэй|нээлттэй
🤲;алгаа хавсрах;алгаа хавсрах|мөргөлч
	🤲🏻;алгаа хавсрах: цайвар;алгаа хавсрах|алгаа хавсрах: цайвар|мөргөлч|цайвар
	🤲🏼;алгаа хавсрах: бага зэргийн цайвар;алгаа хавсрах|алгаа хавсрах: бага зэргийн цайвар|бага зэргийн цайвар|мөргөлч
	🤲🏽;алгаа хавсрах: дунд зэргийн;алгаа хавсрах|алгаа хавсрах: дунд зэргийн|дунд зэргийн|мөргөлч
	🤲🏾;алгаа хавсрах: бордуу;алгаа хавсрах|алгаа хавсрах: бордуу|бордуу|мөргөлч
	🤲🏿;алгаа хавсрах: бор;алгаа хавсрах|алгаа хавсрах: бор|бор|мөргөлч
🤝;гар барилт;барилт|гар
	🤝🏻;гар барилт: цайвар;барилт|гар|гар барилт: цайвар|цайвар
	🤝🏼;гар барилт: бага зэргийн цайвар;бага зэргийн цайвар|барилт|гар|гар барилт: бага зэргийн цайвар
	🤝🏽;гар барилт: дунд зэргийн;барилт|гар|гар барилт: дунд зэргийн|дунд зэргийн
	🤝🏾;гар барилт: бордуу;барилт|бордуу|гар|гар барилт: бордуу
	🤝🏿;гар барилт: бор;барилт|бор|гар|гар барилт: бор
	🫱🏻‍🫲🏼;гар барилт: цайвар бага зэргийн цайвар;бага зэргийн цайвар|барилт|гар|гар барилт: цайвар бага зэргийн цайвар|цайвар
	🫱🏻‍🫲🏽;гар барилт: цайвар дунд зэргийн;барилт|гар|гар барилт: цайвар дунд зэргийн|дунд зэргийн|цайвар
	🫱🏻‍🫲🏾;гар барилт: цайвар бордуу;барилт|бордуу|гар|гар барилт: цайвар бордуу|цайвар
	🫱🏻‍🫲🏿;гар барилт: цайвар бор;барилт|бор|гар|гар барилт: цайвар бор|цайвар
	🫱🏼‍🫲🏻;гар барилт: бага зэргийн цайвар цайвар;бага зэргийн цайвар|барилт|гар|гар барилт: бага зэргийн цайвар цайвар|цайвар
	🫱🏼‍🫲🏽;гар барилт: бага зэргийн цайвар дунд зэргийн;бага зэргийн цайвар|барилт|гар|гар барилт: бага зэргийн цайвар дунд зэргийн|дунд зэргийн
	🫱🏼‍🫲🏾;гар барилт: бага зэргийн цайвар бордуу;бага зэргийн цайвар|барилт|бордуу|гар|гар барилт: бага зэргийн цайвар бордуу
	🫱🏼‍🫲🏿;гар барилт: бага зэргийн цайвар бор;бага зэргийн цайвар|барилт|бор|гар|гар барилт: бага зэргийн цайвар бор
	🫱🏽‍🫲🏻;гар барилт: дунд зэргийн цайвар;барилт|гар|гар барилт: дунд зэргийн цайвар|дунд зэргийн|цайвар
	🫱🏽‍🫲🏼;гар барилт: дунд зэргийн бага зэргийн цайвар;бага зэргийн цайвар|барилт|гар|гар барилт: дунд зэргийн бага зэргийн цайвар|дунд зэргийн
	🫱🏽‍🫲🏾;гар барилт: дунд зэргийн бордуу;барилт|бордуу|гар|гар барилт: дунд зэргийн бордуу|дунд зэргийн
	🫱🏽‍🫲🏿;гар барилт: дунд зэргийн бор;барилт|бор|гар|гар барилт: дунд зэргийн бор|дунд зэргийн
	🫱🏾‍🫲🏻;гар барилт: бордуу цайвар;барилт|бордуу|гар|гар барилт: бордуу цайвар|цайвар
	🫱🏾‍🫲🏼;гар барилт: бордуу бага зэргийн цайвар;бага зэргийн цайвар|барилт|бордуу|гар|гар барилт: бордуу бага зэргийн цайвар
	🫱🏾‍🫲🏽;гар барилт: бордуу дунд зэргийн;барилт|бордуу|гар|гар барилт: бордуу дунд зэргийн|дунд зэргийн
	🫱🏾‍🫲🏿;гар барилт: бордуу бор;барилт|бор|бордуу|гар|гар барилт: бордуу бор
	🫱🏿‍🫲🏻;гар барилт: бор цайвар;барилт|бор|гар|гар барилт: бор цайвар|цайвар
	🫱🏿‍🫲🏼;гар барилт: бор бага зэргийн цайвар;бага зэргийн цайвар|барилт|бор|гар|гар барилт: бор бага зэргийн цайвар
	🫱🏿‍🫲🏽;гар барилт: бор дунд зэргийн;барилт|бор|гар|гар барилт: бор дунд зэргийн|дунд зэргийн
	🫱🏿‍🫲🏾;гар барилт: бор бордуу;барилт|бор|бордуу|гар|гар барилт: бор бордуу
🙏;хавсарсан гарын алга;алга|гар|хавсарсан гарын алга|хавсрах
	🙏🏻;хавсарсан гарын алга: цайвар;алга|гар|хавсарсан гарын алга|хавсарсан гарын алга: цайвар|хавсрах|цайвар
	🙏🏼;хавсарсан гарын алга: бага зэргийн цайвар;алга|бага зэргийн цайвар|гар|хавсарсан гарын алга|хавсарсан гарын алга: бага зэргийн цайвар|хавсрах
	🙏🏽;хавсарсан гарын алга: дунд зэргийн;алга|гар|дунд зэргийн|хавсарсан гарын алга|хавсарсан гарын алга: дунд зэргийн|хавсрах
	🙏🏾;хавсарсан гарын алга: бордуу;алга|бордуу|гар|хавсарсан гарын алга|хавсарсан гарын алга: бордуу|хавсрах
	🙏🏿;хавсарсан гарын алга: бор;алга|бор|гар|хавсарсан гарын алга|хавсарсан гарын алга: бор|хавсрах
✍️;бичиж байгаа гар;бичиж байгаа гар|бичих|гар|үзэг
	✍🏻;бичиж байгаа гар: цайвар;бичиж байгаа гар|бичиж байгаа гар: цайвар|бичих|гар|үзэг|цайвар
	✍🏼;бичиж байгаа гар: бага зэргийн цайвар;бага зэргийн цайвар|бичиж байгаа гар|бичиж байгаа гар: бага зэргийн цайвар|бичих|гар|үзэг
	✍🏽;бичиж байгаа гар: дунд зэргийн;бичиж байгаа гар|бичиж байгаа гар: дунд зэргийн|бичих|гар|дунд зэргийн|үзэг
	✍🏾;бичиж байгаа гар: бордуу;бичиж байгаа гар|бичиж байгаа гар: бордуу|бичих|бордуу|гар|үзэг
	✍🏿;бичиж байгаа гар: бор;бичиж байгаа гар|бичиж байгаа гар: бор|бичих|бор|гар|үзэг
💅;хумсаа будах;арчлах|косметик|маникур|хумс|хумсаа будах
	💅🏻;хумсаа будах: цайвар;арчлах|косметик|маникур|хумс|хумсаа будах|хумсаа будах: цайвар|цайвар
	💅🏼;хумсаа будах: бага зэргийн цайвар;арчлах|бага зэргийн цайвар|косметик|маникур|хумс|хумсаа будах|хумсаа будах: бага зэргийн цайвар
	💅🏽;хумсаа будах: дунд зэргийн;арчлах|дунд зэргийн|косметик|маникур|хумс|хумсаа будах|хумсаа будах: дунд зэргийн
	💅🏾;хумсаа будах: бордуу;арчлах|бордуу|косметик|маникур|хумс|хумсаа будах|хумсаа будах: бордуу
	💅🏿;хумсаа будах: бор;арчлах|бор|косметик|маникур|хумс|хумсаа будах|хумсаа будах: бор
🤳;селфи;селфи
	🤳🏻;селфи: цайвар;селфи|селфи: цайвар|цайвар
	🤳🏼;селфи: бага зэргийн цайвар;бага зэргийн цайвар|селфи|селфи: бага зэргийн цайвар
	🤳🏽;селфи: дунд зэргийн;дунд зэргийн|селфи|селфи: дунд зэргийн
	🤳🏾;селфи: бордуу;бордуу|селфи|селфи: бордуу
	🤳🏿;селфи: бор;бор|селфи|селфи: бор
💪;гарын булчин;булчин|гар|гарын булчин
	💪🏻;гарын булчин: цайвар;булчин|гар|гарын булчин|гарын булчин: цайвар|цайвар
	💪🏼;гарын булчин: бага зэргийн цайвар;бага зэргийн цайвар|булчин|гар|гарын булчин|гарын булчин: бага зэргийн цайвар
	💪🏽;гарын булчин: дунд зэргийн;булчин|гар|гарын булчин|гарын булчин: дунд зэргийн|дунд зэргийн
	💪🏾;гарын булчин: бордуу;бордуу|булчин|гар|гарын булчин|гарын булчин: бордуу
	💪🏿;гарын булчин: бор;бор|булчин|гар|гарын булчин|гарын булчин: бор
🦾;хиймэл механик гар;механик гар|протез|хиймэл механик гар|хүртээмж
🦿;хиймэл механик хөл;механиз хөл|протез|хиймэл механик хөл|хүртээмж
🦵;хөл;мөч|өшиглөх|хөл
	🦵🏻;хөл: цайвар;мөч|өшиглөх|хөл|хөл: цайвар|цайвар
	🦵🏼;хөл: бага зэргийн цайвар;бага зэргийн цайвар|мөч|өшиглөх|хөл|хөл: бага зэргийн цайвар
	🦵🏽;хөл: дунд зэргийн;дунд зэргийн|мөч|өшиглөх|хөл|хөл: дунд зэргийн
	🦵🏾;хөл: бордуу;бордуу|мөч|өшиглөх|хөл|хөл: бордуу
	🦵🏿;хөл: бор;бор|мөч|өшиглөх|хөл|хөл: бор
🦶;тавхай;өшиглөх|тавхай|товших
	🦶🏻;тавхай: цайвар;өшиглөх|тавхай|тавхай: цайвар|товших|цайвар
	🦶🏼;тавхай: бага зэргийн цайвар;бага зэргийн цайвар|өшиглөх|тавхай|тавхай: бага зэргийн цайвар|товших
	🦶🏽;тавхай: дунд зэргийн;дунд зэргийн|өшиглөх|тавхай|тавхай: дунд зэргийн|товших
	🦶🏾;тавхай: бордуу;бордуу|өшиглөх|тавхай|тавхай: бордуу|товших
	🦶🏿;тавхай: бор;бор|өшиглөх|тавхай|тавхай: бор|товших
👂;чих;бие|чих
	👂🏻;чих: цайвар;бие|цайвар|чих|чих: цайвар
	👂🏼;чих: бага зэргийн цайвар;бага зэргийн цайвар|бие|чих|чих: бага зэргийн цайвар
	👂🏽;чих: дунд зэргийн;бие|дунд зэргийн|чих|чих: дунд зэргийн
	👂🏾;чих: бордуу;бие|бордуу|чих|чих: бордуу
	👂🏿;чих: бор;бие|бор|чих|чих: бор
🦻;сонсголын аппараттай чих;сонсголын аппараттай чих|сонсголын бэрхшээл|хүртээмж
	🦻🏻;сонсголын аппараттай чих: цайвар;сонсголын аппараттай чих|сонсголын аппараттай чих: цайвар|сонсголын бэрхшээл|хүртээмж|цайвар
	🦻🏼;сонсголын аппараттай чих: бага зэргийн цайвар;бага зэргийн цайвар|сонсголын аппараттай чих|сонсголын аппараттай чих: бага зэргийн цайвар|сонсголын бэрхшээл|хүртээмж
	🦻🏽;сонсголын аппараттай чих: дунд зэргийн;дунд зэргийн|сонсголын аппараттай чих|сонсголын аппараттай чих: дунд зэргийн|сонсголын бэрхшээл|хүртээмж
	🦻🏾;сонсголын аппараттай чих: бордуу;бордуу|сонсголын аппараттай чих|сонсголын аппараттай чих: бордуу|сонсголын бэрхшээл|хүртээмж
	🦻🏿;сонсголын аппараттай чих: бор;бор|сонсголын аппараттай чих|сонсголын аппараттай чих: бор|сонсголын бэрхшээл|хүртээмж
👃;хамар;бие|хамар
	👃🏻;хамар: цайвар;бие|хамар|хамар: цайвар|цайвар
	👃🏼;хамар: бага зэргийн цайвар;бага зэргийн цайвар|бие|хамар|хамар: бага зэргийн цайвар
	👃🏽;хамар: дунд зэргийн;бие|дунд зэргийн|хамар|хамар: дунд зэргийн
	👃🏾;хамар: бордуу;бие|бордуу|хамар|хамар: бордуу
	👃🏿;хамар: бор;бие|бор|хамар|хамар: бор
🧠;тархи;тархи|ухаантай
🫀;зүрх;анатомийн|зүрх|зүрхний өвчин судлал|судасны цохилт|эрхтэн
🫁;уушиг;амьсгаа авах|амьсгаа гаргах|амьсгал|уушиг|эрхтэн
🦷;шүд;шүд|шүдний эмч
🦴;яс;араг яс|яс
👀;хоёр нүд;гайхах|нүд|хоёр
👁️;нүд;бие|нүд
👅;хэл;бие|хэл
👄;ам;ам|уруул|шүд
🫦;хазсан уруул;айдас|санаа зовнисон|сээтэгнэх|тухгүй байдал|түгшүүр|хазсан уруул
👶;нялх хүүхэд;нялх|хүүхэд
	👶🏻;нялх хүүхэд: цайвар;нялх|нялх хүүхэд: цайвар|хүүхэд|цайвар
	👶🏼;нялх хүүхэд: бага зэргийн цайвар;бага зэргийн цайвар|нялх|нялх хүүхэд: бага зэргийн цайвар|хүүхэд
	👶🏽;нялх хүүхэд: дунд зэргийн;дунд зэргийн|нялх|нялх хүүхэд: дунд зэргийн|хүүхэд
	👶🏾;нялх хүүхэд: бордуу;бордуу|нялх|нялх хүүхэд: бордуу|хүүхэд
	👶🏿;нялх хүүхэд: бор;бор|нялх|нялх хүүхэд: бор|хүүхэд
🧒;хүүхэд;жендер-саармаг|залуу|хүүхэд
	🧒🏻;хүүхэд: цайвар;жендер-саармаг|залуу|хүүхэд|хүүхэд: цайвар|цайвар
	🧒🏼;хүүхэд: бага зэргийн цайвар;бага зэргийн цайвар|жендер-саармаг|залуу|хүүхэд|хүүхэд: бага зэргийн цайвар
	🧒🏽;хүүхэд: дунд зэргийн;дунд зэргийн|жендер-саармаг|залуу|хүүхэд|хүүхэд: дунд зэргийн
	🧒🏾;хүүхэд: бордуу;бордуу|жендер-саармаг|залуу|хүүхэд|хүүхэд: бордуу
	🧒🏿;хүүхэд: бор;бор|жендер-саармаг|залуу|хүүхэд|хүүхэд: бор
👦;эрэгтэй хүүхэд;хүүхэд|эрэгтэй
	👦🏻;эрэгтэй хүүхэд: цайвар;хүүхэд|цайвар|эрэгтэй|эрэгтэй хүүхэд: цайвар
	👦🏼;эрэгтэй хүүхэд: бага зэргийн цайвар;бага зэргийн цайвар|хүүхэд|эрэгтэй|эрэгтэй хүүхэд: бага зэргийн цайвар
	👦🏽;эрэгтэй хүүхэд: дунд зэргийн;дунд зэргийн|хүүхэд|эрэгтэй|эрэгтэй хүүхэд: дунд зэргийн
	👦🏾;эрэгтэй хүүхэд: бордуу;бордуу|хүүхэд|эрэгтэй|эрэгтэй хүүхэд: бордуу
	👦🏿;эрэгтэй хүүхэд: бор;бор|хүүхэд|эрэгтэй|эрэгтэй хүүхэд: бор
👧;эмэгтэй хүүхэд;хүүхэд|эмэгтэй
	👧🏻;эмэгтэй хүүхэд: цайвар;хүүхэд|цайвар|эмэгтэй|эмэгтэй хүүхэд: цайвар
	👧🏼;эмэгтэй хүүхэд: бага зэргийн цайвар;бага зэргийн цайвар|хүүхэд|эмэгтэй|эмэгтэй хүүхэд: бага зэргийн цайвар
	👧🏽;эмэгтэй хүүхэд: дунд зэргийн;дунд зэргийн|хүүхэд|эмэгтэй|эмэгтэй хүүхэд: дунд зэргийн
	👧🏾;эмэгтэй хүүхэд: бордуу;бордуу|хүүхэд|эмэгтэй|эмэгтэй хүүхэд: бордуу
