[smileys_emotion]
😀;Grinsgesiicht;Gesiicht|Grinsen|Grinsgesiicht
	👩🏼‍⚖️;Riichterin: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|Riichterin|Riichterin: mëttelhell Hautfaarf|Wo
	👩🏽‍⚖️;Riichterin: mëttel Hautfaarf;Fra|mëttel Hautfaarf|Riichterin|Riichterin: mëttel Hautfaarf|Wo
	👩🏾‍⚖️;Riichterin: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|Riichterin|Riichterin: mëtteldäischter Hautfaarf|Wo
	👩🏿‍⚖️;Riichterin: däischter Hautfaarf;däischter Hautfaarf|Fra|Riichterin|Riichterin: däischter Hautfaarf|Wo
🧑‍🌾;;
	🧑🏻‍🌾;;
	🧑🏼‍🌾;;
	🧑🏽‍🌾;;
	🧑🏾‍🌾;;
	🧑🏿‍🌾;;
👨‍🌾;Bauer;Bauer|Gäertner|Mann|Véiziichter
	👨🏻‍🌾;Bauer: hell Hautfaarf;Bauer|Bauer: hell Hautfaarf|Gäertner|hell Hautfaarf|Mann|Véiziichter
	👨🏼‍🌾;Bauer: mëttelhell Hautfaarf;Bauer|Bauer: mëttelhell Hautfaarf|Gäertner|Mann|mëttelhell Hautfaarf|Véiziichter
	👨🏽‍🌾;Bauer: mëttel Hautfaarf;Bauer|Bauer: mëttel Hautfaarf|Gäertner|Mann|mëttel Hautfaarf|Véiziichter
	👨🏾‍🌾;Bauer: mëtteldäischter Hautfaarf;Bauer|Bauer: mëtteldäischter Hautfaarf|Gäertner|Mann|mëtteldäischter Hautfaarf|Véiziichter
	👨🏿‍🌾;Bauer: däischter Hautfaarf;Bauer|Bauer: däischter Hautfaarf|däischter Hautfaarf|Gäertner|Mann|Véiziichter
👩‍🌾;Bauerefra;Bauerefra|Fra|Gäertnerin|Véiziichterin
	👩🏻‍🌾;Bauerefra: hell Hautfaarf;Bauerefra|Bauerefra: hell Hautfaarf|Fra|Gäertnerin|hell Hautfaarf|Véiziichterin
	👩🏼‍🌾;Bauerefra: mëttelhell Hautfaarf;Bauerefra|Bauerefra: mëttelhell Hautfaarf|Fra|Gäertnerin|mëttelhell Hautfaarf|Véiziichterin
	👩🏽‍🌾;Bauerefra: mëttel Hautfaarf;Bauerefra|Bauerefra: mëttel Hautfaarf|Fra|Gäertnerin|mëttel Hautfaarf|Véiziichterin
	👩🏾‍🌾;Bauerefra: mëtteldäischter Hautfaarf;Bauerefra|Bauerefra: mëtteldäischter Hautfaarf|Fra|Gäertnerin|mëtteldäischter Hautfaarf|Véiziichterin
	👩🏿‍🌾;Bauerefra: däischter Hautfaarf;Bauerefra|Bauerefra: däischter Hautfaarf|däischter Hautfaarf|Fra|Gäertnerin|Véiziichterin
🧑‍🍳;;
	🧑🏻‍🍳;;
	🧑🏼‍🍳;;
	🧑🏽‍🍳;;
	🧑🏾‍🍳;;
	🧑🏿‍🍳;;
👨‍🍳;Chefkach;Chef|Chefkach|Kach|Mann
	👨🏻‍🍳;Chefkach: hell Hautfaarf;Chef|Chefkach|Chefkach: hell Hautfaarf|hell Hautfaarf|Kach|Mann
	👨🏼‍🍳;Chefkach: mëttelhell Hautfaarf;Chef|Chefkach|Chefkach: mëttelhell Hautfaarf|Kach|Mann|mëttelhell Hautfaarf
	👨🏽‍🍳;Chefkach: mëttel Hautfaarf;Chef|Chefkach|Chefkach: mëttel Hautfaarf|Kach|Mann|mëttel Hautfaarf
	👨🏾‍🍳;Chefkach: mëtteldäischter Hautfaarf;Chef|Chefkach|Chefkach: mëtteldäischter Hautfaarf|Kach|Mann|mëtteldäischter Hautfaarf
	👨🏿‍🍳;Chefkach: däischter Hautfaarf;Chef|Chefkach|Chefkach: däischter Hautfaarf|däischter Hautfaarf|Kach|Mann
👩‍🍳;Chefkächen;Cheffin|Chefkächen|Fra|Kächen
	👩🏻‍🍳;Chefkächen: hell Hautfaarf;Cheffin|Chefkächen|Chefkächen: hell Hautfaarf|Fra|hell Hautfaarf|Kächen
	👩🏼‍🍳;Chefkächen: mëttelhell Hautfaarf;Cheffin|Chefkächen|Chefkächen: mëttelhell Hautfaarf|Fra|Kächen|mëttelhell Hautfaarf
	👩🏽‍🍳;Chefkächen: mëttel Hautfaarf;Cheffin|Chefkächen|Chefkächen: mëttel Hautfaarf|Fra|Kächen|mëttel Hautfaarf
	👩🏾‍🍳;Chefkächen: mëtteldäischter Hautfaarf;Cheffin|Chefkächen|Chefkächen: mëtteldäischter Hautfaarf|Fra|Kächen|mëtteldäischter Hautfaarf
	👩🏿‍🍳;Chefkächen: däischter Hautfaarf;Cheffin|Chefkächen|Chefkächen: däischter Hautfaarf|däischter Hautfaarf|Fra|Kächen
🧑‍🔧;;
	🧑🏻‍🔧;;
	🧑🏼‍🔧;;
	🧑🏽‍🔧;;
	🧑🏾‍🔧;;
	🧑🏿‍🔧;;
👨‍🔧;Mecanicien;Elektriker|Handwierker|Installateur|Mann|Mecanicien
	👨🏻‍🔧;Mecanicien: hell Hautfaarf;Elektriker|Handwierker|hell Hautfaarf|Installateur|Mann|Mecanicien|Mecanicien: hell Hautfaarf
	👨🏼‍🔧;Mecanicien: mëttelhell Hautfaarf;Elektriker|Handwierker|Installateur|Mann|Mecanicien|Mecanicien: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	👨🏽‍🔧;Mecanicien: mëttel Hautfaarf;Elektriker|Handwierker|Installateur|Mann|Mecanicien|Mecanicien: mëttel Hautfaarf|mëttel Hautfaarf
	👨🏾‍🔧;Mecanicien: mëtteldäischter Hautfaarf;Elektriker|Handwierker|Installateur|Mann|Mecanicien|Mecanicien: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	👨🏿‍🔧;Mecanicien: däischter Hautfaarf;däischter Hautfaarf|Elektriker|Handwierker|Installateur|Mann|Mecanicien|Mecanicien: däischter Hautfaarf
👩‍🔧;Mecanicienne;Elektrikerin|Fra|Handwierkerin|Installatrice|Mecanicienne
	👩🏻‍🔧;Mecanicienne: hell Hautfaarf;Elektrikerin|Fra|Handwierkerin|hell Hautfaarf|Installatrice|Mecanicienne|Mecanicienne: hell Hautfaarf
	👩🏼‍🔧;Mecanicienne: mëttelhell Hautfaarf;Elektrikerin|Fra|Handwierkerin|Installatrice|Mecanicienne|Mecanicienne: mëttelhell Hautfaarf|mëttelhell Hautfaarf
	👩🏽‍🔧;Mecanicienne: mëttel Hautfaarf;Elektrikerin|Fra|Handwierkerin|Installatrice|Mecanicienne|Mecanicienne: mëttel Hautfaarf|mëttel Hautfaarf
	👩🏾‍🔧;Mecanicienne: mëtteldäischter Hautfaarf;Elektrikerin|Fra|Handwierkerin|Installatrice|Mecanicienne|Mecanicienne: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf
	👩🏿‍🔧;Mecanicienne: däischter Hautfaarf;däischter Hautfaarf|Elektrikerin|Fra|Handwierkerin|Installatrice|Mecanicienne|Mecanicienne: däischter Hautfaarf
🧑‍🏭;;
	🧑🏻‍🏭;;
	🧑🏼‍🏭;;
	🧑🏽‍🏭;;
	🧑🏾‍🏭;;
	🧑🏿‍🏭;;
👨‍🏭;Aarbechter;Aarbechter|Fabrik|Industrie|Mann|Montage
	👨🏻‍🏭;Aarbechter: hell Hautfaarf;Aarbechter|Aarbechter: hell Hautfaarf|Fabrik|hell Hautfaarf|Industrie|Mann|Montage
	👨🏼‍🏭;Aarbechter: mëttelhell Hautfaarf;Aarbechter|Aarbechter: mëttelhell Hautfaarf|Fabrik|Industrie|Mann|mëttelhell Hautfaarf|Montage
	👨🏽‍🏭;Aarbechter: mëttel Hautfaarf;Aarbechter|Aarbechter: mëttel Hautfaarf|Fabrik|Industrie|Mann|mëttel Hautfaarf|Montage
	👨🏾‍🏭;Aarbechter: mëtteldäischter Hautfaarf;Aarbechter|Aarbechter: mëtteldäischter Hautfaarf|Fabrik|Industrie|Mann|mëtteldäischter Hautfaarf|Montage
	👨🏿‍🏭;Aarbechter: däischter Hautfaarf;Aarbechter|Aarbechter: däischter Hautfaarf|däischter Hautfaarf|Fabrik|Industrie|Mann|Montage
👩‍🏭;Aarbechterin;Aarbechterin|Fabrik|Fra|Industrie|Montage
	👩🏻‍🏭;Aarbechterin: hell Hautfaarf;Aarbechterin|Aarbechterin: hell Hautfaarf|Fabrik|Fra|hell Hautfaarf|Industrie|Montage
	👩🏼‍🏭;Aarbechterin: mëttelhell Hautfaarf;Aarbechterin|Aarbechterin: mëttelhell Hautfaarf|Fabrik|Fra|Industrie|mëttelhell Hautfaarf|Montage
	👩🏽‍🏭;Aarbechterin: mëttel Hautfaarf;Aarbechterin|Aarbechterin: mëttel Hautfaarf|Fabrik|Fra|Industrie|mëttel Hautfaarf|Montage
	👩🏾‍🏭;Aarbechterin: mëtteldäischter Hautfaarf;Aarbechterin|Aarbechterin: mëtteldäischter Hautfaarf|Fabrik|Fra|Industrie|mëtteldäischter Hautfaarf|Montage
	👩🏿‍🏭;Aarbechterin: däischter Hautfaarf;Aarbechterin|Aarbechterin: däischter Hautfaarf|däischter Hautfaarf|Fabrik|Fra|Industrie|Montage
🧑‍💼;;
	🧑🏻‍💼;;
	🧑🏼‍💼;;
	🧑🏽‍💼;;
	🧑🏾‍💼;;
	🧑🏿‍💼;;
👨‍💼;Employé;Architekt|Büro|Employé|Geschäft|Manager|Mann
	👨🏻‍💼;Employé: hell Hautfaarf;Architekt|Büro|Employé|Employé: hell Hautfaarf|Geschäft|hell Hautfaarf|Manager|Mann
	👨🏼‍💼;Employé: mëttelhell Hautfaarf;Architekt|Büro|Employé|Employé: mëttelhell Hautfaarf|Geschäft|Manager|Mann|mëttelhell Hautfaarf
	👨🏽‍💼;Employé: mëttel Hautfaarf;Architekt|Büro|Employé|Employé: mëttel Hautfaarf|Geschäft|Manager|Mann|mëttel Hautfaarf
	👨🏾‍💼;Employé: mëtteldäischter Hautfaarf;Architekt|Büro|Employé|Employé: mëtteldäischter Hautfaarf|Geschäft|Manager|Mann|mëtteldäischter Hautfaarf
	👨🏿‍💼;Employé: däischter Hautfaarf;Architekt|Büro|däischter Hautfaarf|Employé|Employé: däischter Hautfaarf|Geschäft|Manager|Mann
👩‍💼;Employée;Architektin|Büro|Employée|Fra|Geschäft|Managerin
	👩🏻‍💼;Employée: hell Hautfaarf;Architektin|Büro|Employée|Employée: hell Hautfaarf|Fra|Geschäft|hell Hautfaarf|Managerin
	👩🏼‍💼;Employée: mëttelhell Hautfaarf;Architektin|Büro|Employée|Employée: mëttelhell Hautfaarf|Fra|Geschäft|Managerin|mëttelhell Hautfaarf
	👩🏽‍💼;Employée: mëttel Hautfaarf;Architektin|Büro|Employée|Employée: mëttel Hautfaarf|Fra|Geschäft|Managerin|mëttel Hautfaarf
	👩🏾‍💼;Employée: mëtteldäischter Hautfaarf;Architektin|Büro|Employée|Employée: mëtteldäischter Hautfaarf|Fra|Geschäft|Managerin|mëtteldäischter Hautfaarf
	👩🏿‍💼;Employée: däischter Hautfaarf;Architektin|Büro|däischter Hautfaarf|Employée|Employée: däischter Hautfaarf|Fra|Geschäft|Managerin
🧑‍🔬;;
	🧑🏻‍🔬;;
	🧑🏼‍🔬;;
	🧑🏽‍🔬;;
	🧑🏾‍🔬;;
	🧑🏿‍🔬;;
👨‍🔬;Wëssenschaftler;Biolog|Chemiker|Ingenieur|Mann|Mathematiker|Physiker|Wëssenschaftler
	👨🏻‍🔬;Wëssenschaftler: hell Hautfaarf;Biolog|Chemiker|hell Hautfaarf|Ingenieur|Mann|Mathematiker|Physiker|Wëssenschaftler|Wëssenschaftler: hell Hautfaarf
	👨🏼‍🔬;Wëssenschaftler: mëttelhell Hautfaarf;Biolog|Chemiker|Ingenieur|Mann|Mathematiker|mëttelhell Hautfaarf|Physiker|Wëssenschaftler|Wëssenschaftler: mëttelhell Hautfaarf
	👨🏽‍🔬;Wëssenschaftler: mëttel Hautfaarf;Biolog|Chemiker|Ingenieur|Mann|Mathematiker|mëttel Hautfaarf|Physiker|Wëssenschaftler|Wëssenschaftler: mëttel Hautfaarf
	👨🏾‍🔬;Wëssenschaftler: mëtteldäischter Hautfaarf;Biolog|Chemiker|Ingenieur|Mann|Mathematiker|mëtteldäischter Hautfaarf|Physiker|Wëssenschaftler|Wëssenschaftler: mëtteldäischter Hautfaarf
	👨🏿‍🔬;Wëssenschaftler: däischter Hautfaarf;Biolog|Chemiker|däischter Hautfaarf|Ingenieur|Mann|Mathematiker|Physiker|Wëssenschaftler|Wëssenschaftler: däischter Hautfaarf
👩‍🔬;Wëssenschaftlerin;Biolog|Chemikerin|Fra|Ingenieur|Mathematikerin|Physikerin|Wëssenschaftlerin
	👩🏻‍🔬;Wëssenschaftlerin: hell Hautfaarf;Biolog|Chemikerin|Fra|hell Hautfaarf|Ingenieur|Mathematikerin|Physikerin|Wëssenschaftlerin|Wëssenschaftlerin: hell Hautfaarf
	👩🏼‍🔬;Wëssenschaftlerin: mëttelhell Hautfaarf;Biolog|Chemikerin|Fra|Ingenieur|Mathematikerin|mëttelhell Hautfaarf|Physikerin|Wëssenschaftlerin|Wëssenschaftlerin: mëttelhell Hautfaarf
	👩🏽‍🔬;Wëssenschaftlerin: mëttel Hautfaarf;Biolog|Chemikerin|Fra|Ingenieur|Mathematikerin|mëttel Hautfaarf|Physikerin|Wëssenschaftlerin|Wëssenschaftlerin: mëttel Hautfaarf
	👩🏾‍🔬;Wëssenschaftlerin: mëtteldäischter Hautfaarf;Biolog|Chemikerin|Fra|Ingenieur|Mathematikerin|mëtteldäischter Hautfaarf|Physikerin|Wëssenschaftlerin|Wëssenschaftlerin: mëtteldäischter Hautfaarf
	👩🏿‍🔬;Wëssenschaftlerin: däischter Hautfaarf;Biolog|Chemikerin|däischter Hautfaarf|Fra|Ingenieur|Mathematikerin|Physikerin|Wëssenschaftlerin|Wëssenschaftlerin: däischter Hautfaarf
🧑‍💻;;
	🧑🏻‍💻;;
	🧑🏼‍💻;;
	🧑🏽‍💻;;
	🧑🏾‍💻;;
	🧑🏿‍💻;;
👨‍💻;Techniker;Coder|Entwéckler|Erfinder|Mann|Software|Techniker
	👨🏻‍💻;Techniker: hell Hautfaarf;Coder|Entwéckler|Erfinder|hell Hautfaarf|Mann|Software|Techniker|Techniker: hell Hautfaarf
	👨🏼‍💻;Techniker: mëttelhell Hautfaarf;Coder|Entwéckler|Erfinder|Mann|mëttelhell Hautfaarf|Software|Techniker|Techniker: mëttelhell Hautfaarf
	👨🏽‍💻;Techniker: mëttel Hautfaarf;Coder|Entwéckler|Erfinder|Mann|mëttel Hautfaarf|Software|Techniker|Techniker: mëttel Hautfaarf
	👨🏾‍💻;Techniker: mëtteldäischter Hautfaarf;Coder|Entwéckler|Erfinder|Mann|mëtteldäischter Hautfaarf|Software|Techniker|Techniker: mëtteldäischter Hautfaarf
	👨🏿‍💻;Techniker: däischter Hautfaarf;Coder|däischter Hautfaarf|Entwéckler|Erfinder|Mann|Software|Techniker|Techniker: däischter Hautfaarf
👩‍💻;Technikerin;Coderin|Entwécklerin|Erfinderin|Fra|Software|Technikerin
	👩🏻‍💻;Technikerin: hell Hautfaarf;Coderin|Entwécklerin|Erfinderin|Fra|hell Hautfaarf|Software|Technikerin|Technikerin: hell Hautfaarf
	👩🏼‍💻;Technikerin: mëttelhell Hautfaarf;Coderin|Entwécklerin|Erfinderin|Fra|mëttelhell Hautfaarf|Software|Technikerin|Technikerin: mëttelhell Hautfaarf
	👩🏽‍💻;Technikerin: mëttel Hautfaarf;Coderin|Entwécklerin|Erfinderin|Fra|mëttel Hautfaarf|Software|Technikerin|Technikerin: mëttel Hautfaarf
	👩🏾‍💻;Technikerin: mëtteldäischter Hautfaarf;Coderin|Entwécklerin|Erfinderin|Fra|mëtteldäischter Hautfaarf|Software|Technikerin|Technikerin: mëtteldäischter Hautfaarf
	👩🏿‍💻;Technikerin: däischter Hautfaarf;Coderin|däischter Hautfaarf|Entwécklerin|Erfinderin|Fra|Software|Technikerin|Technikerin: däischter Hautfaarf
🧑‍🎤;;
	🧑🏻‍🎤;;
	🧑🏼‍🎤;;
	🧑🏽‍🎤;;
	🧑🏾‍🎤;;
	🧑🏿‍🎤;;
👨‍🎤;Sänger;Entertainer|Mann|Rock|Sänger|Schauspiller|Star
	👨🏻‍🎤;Sänger: hell Hautfaarf;Entertainer|hell Hautfaarf|Mann|Rock|Sänger|Sänger: hell Hautfaarf|Schauspiller|Star
	👨🏼‍🎤;Sänger: mëttelhell Hautfaarf;Entertainer|Mann|mëttelhell Hautfaarf|Rock|Sänger|Sänger: mëttelhell Hautfaarf|Schauspiller|Star
	👨🏽‍🎤;Sänger: mëttel Hautfaarf;Entertainer|Mann|mëttel Hautfaarf|Rock|Sänger|Sänger: mëttel Hautfaarf|Schauspiller|Star
	👨🏾‍🎤;Sänger: mëtteldäischter Hautfaarf;Entertainer|Mann|mëtteldäischter Hautfaarf|Rock|Sänger|Sänger: mëtteldäischter Hautfaarf|Schauspiller|Star
	👨🏿‍🎤;Sänger: däischter Hautfaarf;däischter Hautfaarf|Entertainer|Mann|Rock|Sänger|Sänger: däischter Hautfaarf|Schauspiller|Star
👩‍🎤;Sängerin;Entertainerin|Fra|Rock|Sängerin|Schauspillerin|Star
	👩🏻‍🎤;Sängerin: hell Hautfaarf;Entertainerin|Fra|hell Hautfaarf|Rock|Sängerin|Sängerin: hell Hautfaarf|Schauspillerin|Star
	👩🏼‍🎤;Sängerin: mëttelhell Hautfaarf;Entertainerin|Fra|mëttelhell Hautfaarf|Rock|Sängerin|Sängerin: mëttelhell Hautfaarf|Schauspillerin|Star
	👩🏽‍🎤;Sängerin: mëttel Hautfaarf;Entertainerin|Fra|mëttel Hautfaarf|Rock|Sängerin|Sängerin: mëttel Hautfaarf|Schauspillerin|Star
	👩🏾‍🎤;Sängerin: mëtteldäischter Hautfaarf;Entertainerin|Fra|mëtteldäischter Hautfaarf|Rock|Sängerin|Sängerin: mëtteldäischter Hautfaarf|Schauspillerin|Star
	👩🏿‍🎤;Sängerin: däischter Hautfaarf;däischter Hautfaarf|Entertainerin|Fra|Rock|Sängerin|Sängerin: däischter Hautfaarf|Schauspillerin|Star
🧑‍🎨;;
	🧑🏻‍🎨;;
	🧑🏼‍🎨;;
	🧑🏽‍🎨;;
	🧑🏾‍🎨;;
	🧑🏿‍🎨;;
👨‍🎨;Kënschtler;Kënschtler|Mann|Palett
	👨🏻‍🎨;Kënschtler: hell Hautfaarf;hell Hautfaarf|Kënschtler|Kënschtler: hell Hautfaarf|Mann|Palett
	👨🏼‍🎨;Kënschtler: mëttelhell Hautfaarf;Kënschtler|Kënschtler: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf|Palett
	👨🏽‍🎨;Kënschtler: mëttel Hautfaarf;Kënschtler|Kënschtler: mëttel Hautfaarf|Mann|mëttel Hautfaarf|Palett
	👨🏾‍🎨;Kënschtler: mëtteldäischter Hautfaarf;Kënschtler|Kënschtler: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf|Palett
	👨🏿‍🎨;Kënschtler: däischter Hautfaarf;däischter Hautfaarf|Kënschtler|Kënschtler: däischter Hautfaarf|Mann|Palett
👩‍🎨;Kënschtlerin;Fra|Kënschtlerin|Palett
	👩🏻‍🎨;Kënschtlerin: hell Hautfaarf;Fra|hell Hautfaarf|Kënschtlerin|Kënschtlerin: hell Hautfaarf|Palett
	👩🏼‍🎨;Kënschtlerin: mëttelhell Hautfaarf;Fra|Kënschtlerin|Kënschtlerin: mëttelhell Hautfaarf|mëttelhell Hautfaarf|Palett
	👩🏽‍🎨;Kënschtlerin: mëttel Hautfaarf;Fra|Kënschtlerin|Kënschtlerin: mëttel Hautfaarf|mëttel Hautfaarf|Palett
	👩🏾‍🎨;Kënschtlerin: mëtteldäischter Hautfaarf;Fra|Kënschtlerin|Kënschtlerin: mëtteldäischter Hautfaarf|mëtteldäischter Hautfaarf|Palett
	👩🏿‍🎨;Kënschtlerin: däischter Hautfaarf;däischter Hautfaarf|Fra|Kënschtlerin|Kënschtlerin: däischter Hautfaarf|Palett
🧑‍✈️;;
	🧑🏻‍✈️;;
	🧑🏼‍✈️;;
	🧑🏽‍✈️;;
	🧑🏾‍✈️;;
	🧑🏿‍✈️;;
👨‍✈️;Pilot;Fliger|Mann|Pilot
	👨🏻‍✈️;Pilot: hell Hautfaarf;Fliger|hell Hautfaarf|Mann|Pilot|Pilot: hell Hautfaarf
	👨🏼‍✈️;Pilot: mëttelhell Hautfaarf;Fliger|Mann|mëttelhell Hautfaarf|Pilot|Pilot: mëttelhell Hautfaarf
	👨🏽‍✈️;Pilot: mëttel Hautfaarf;Fliger|Mann|mëttel Hautfaarf|Pilot|Pilot: mëttel Hautfaarf
	👨🏾‍✈️;Pilot: mëtteldäischter Hautfaarf;Fliger|Mann|mëtteldäischter Hautfaarf|Pilot|Pilot: mëtteldäischter Hautfaarf
	👨🏿‍✈️;Pilot: däischter Hautfaarf;däischter Hautfaarf|Fliger|Mann|Pilot|Pilot: däischter Hautfaarf
👩‍✈️;Pilotin;Fliger|Fra|Pilotin
	👩🏻‍✈️;Pilotin: hell Hautfaarf;Fliger|Fra|hell Hautfaarf|Pilotin|Pilotin: hell Hautfaarf
	👩🏼‍✈️;Pilotin: mëttelhell Hautfaarf;Fliger|Fra|mëttelhell Hautfaarf|Pilotin|Pilotin: mëttelhell Hautfaarf
	👩🏽‍✈️;Pilotin: mëttel Hautfaarf;Fliger|Fra|mëttel Hautfaarf|Pilotin|Pilotin: mëttel Hautfaarf
	👩🏾‍✈️;Pilotin: mëtteldäischter Hautfaarf;Fliger|Fra|mëtteldäischter Hautfaarf|Pilotin|Pilotin: mëtteldäischter Hautfaarf
	👩🏿‍✈️;Pilotin: däischter Hautfaarf;däischter Hautfaarf|Fliger|Fra|Pilotin|Pilotin: däischter Hautfaarf
🧑‍🚀;;
	🧑🏻‍🚀;;
	🧑🏼‍🚀;;
	🧑🏽‍🚀;;
	🧑🏾‍🚀;;
	🧑🏿‍🚀;;
👨‍🚀;Astronaut;Astronaut|Mann|Rakéit
	👨🏻‍🚀;Astronaut: hell Hautfaarf;Astronaut|Astronaut: hell Hautfaarf|hell Hautfaarf|Mann|Rakéit
	👨🏼‍🚀;Astronaut: mëttelhell Hautfaarf;Astronaut|Astronaut: mëttelhell Hautfaarf|Mann|mëttelhell Hautfaarf|Rakéit
	👨🏽‍🚀;Astronaut: mëttel Hautfaarf;Astronaut|Astronaut: mëttel Hautfaarf|Mann|mëttel Hautfaarf|Rakéit
	👨🏾‍🚀;Astronaut: mëtteldäischter Hautfaarf;Astronaut|Astronaut: mëtteldäischter Hautfaarf|Mann|mëtteldäischter Hautfaarf|Rakéit
	👨🏿‍🚀;Astronaut: däischter Hautfaarf;Astronaut|Astronaut: däischter Hautfaarf|däischter Hautfaarf|Mann|Rakéit
👩‍🚀;Astronautin;Astronautin|Fra|Rakéit
	👩🏻‍🚀;Astronautin: hell Hautfaarf;Astronautin|Astronautin: hell Hautfaarf|Fra|hell Hautfaarf|Rakéit
	👩🏼‍🚀;Astronautin: mëttelhell Hautfaarf;Astronautin|Astronautin: mëttelhell Hautfaarf|Fra|mëttelhell Hautfaarf|Rakéit
	👩🏽‍🚀;Astronautin: mëttel Hautfaarf;Astronautin|Astronautin: mëttel Hautfaarf|Fra|mëttel Hautfaarf|Rakéit
	👩🏾‍🚀;Astronautin: mëtteldäischter Hautfaarf;Astronautin|Astronautin: mëtteldäischter Hautfaarf|Fra|mëtteldäischter Hautfaarf|Rakéit
	👩🏿‍🚀;Astronautin: däischter Hautfaarf;Astronautin|Astronautin: däischter Hautfaarf|däischter Hautfaarf|Fra|Rakéit
🧑‍🚒;;
	🧑🏻‍🚒;;
	🧑🏼‍🚒;;
	🧑🏽‍🚒;;
	🧑🏾‍🚒;;
	🧑🏿‍🚒;;
👨‍🚒;Pompjee;Mann|Pompjee|Pompjeeswon
	👨🏻‍🚒;Pompjee: hell Hautfaarf;hell Hautfaarf|Mann|Pompjee|Pompjee: hell Hautfaarf|Pompjeeswon
	👨🏼‍🚒;Pompjee: mëttelhell Hautfaarf;Mann|mëttelhell Hautfaarf|Pompjee|Pompjee: mëttelhell Hautfaarf|Pompjeeswon
	👨🏽‍🚒;Pompjee: mëttel Hautfaarf;Mann|mëttel Hautfaarf|Pompjee|Pompjee: mëttel Hautfaarf|Pompjeeswon
	👨🏾‍🚒;Pompjee: mëtteldäischter Hautfaarf;Mann|mëtteldäischter Hautfaarf|Pompjee|Pompjee: mëtteldäischter Hautfaarf|Pompjeeswon
	👨🏿‍🚒;Pompjee: däischter Hautfaarf;däischter Hautfaarf|Mann|Pompjee|Pompjee: däischter Hautfaarf|Pompjeeswon
👩‍🚒;Pompjeesfra;Fra|Pompjee|Pompjeesfra|Pompjeeswon
	👩🏻‍🚒;Pompjeesfra: hell Hautfaarf;Fra|hell Hautfaarf|Pompjee|Pompjeesfra|Pompjeesfra: hell Hautfaarf|Pompjeeswon
	👩🏼‍🚒;Pompjeesfra: mëttelhell Hautfaarf;Fra|mëttelhell Hautfaarf|Pompjee|Pompjeesfra|Pompjeesfra: mëttelhell Hautfaarf|Pompjeeswon
	👩🏽‍🚒;Pompjeesfra: mëttel Hautfaarf;Fra|mëttel Hautfaarf|Pompjee|Pompjeesfra|Pompjeesfra: mëttel Hautfaarf|Pompjeeswon
	👩🏾‍🚒;Pompjeesfra: mëtteldäischter Hautfaarf;Fra|mëtteldäischter Hautfaarf|Pompjee|Pompjeesfra|Pompjeesfra: mëtteldäischter Hautfaarf|Pompjeeswon
	👩🏿‍🚒;Pompjeesfra: däischter Hautfaarf;däischter Hautfaarf|Fra|Pompjee|Pompjeesfra|Pompjeesfra: däischter Hautfaarf|Pompjeeswon
👮;Polizist(in);Flick|Police|Polizist|Polizist(in)
	👮🏻;Polizist(in): hell Hautfaarf;Flick|hell Hautfaarf|Police|Polizist|Polizist(in)|Polizist(in): hell Hautfaarf
	👮🏼;Polizist(in): mëttelhell Hautfaarf;Flick|mëttelhell Hautfaarf|Police|Polizist|Polizist(in)|Polizist(in): mëttelhell Hautfaarf
	👮🏽;Polizist(in): mëttel Hautfaarf;Flick|mëttel Hautfaarf|Police|Polizist|Polizist(in)|Polizist(in): mëttel Hautfaarf
	👮🏾;Polizist(in): mëtteldäischter Hautfaarf;Flick|mëtteldäischter Hautfaarf|Police|Polizist|Polizist(in)|Polizist(in): mëtteldäischter Hautfaarf
	👮🏿;Polizist(in): däischter Hautfaarf;däischter Hautfaarf|Flick|Police|Polizist|Polizist(in)|Polizist(in): däischter Hautfaarf
👮‍♂️;Polizist;Flick|Mann|Police|Polizist
	👮🏻‍♂️;Polizist: hell Hautfaarf;Flick|hell Hautfaarf|Mann|Police|Polizist|Polizist: hell Hautfaarf
	👮🏼‍♂️;Polizist: mëttelhell Hautfaarf;Flick|Mann|mëttelhell Hautfaarf|Police|Polizist|Polizist: mëttelhell Hautfaarf
	👮🏽‍♂️;Polizist: mëttel Hautfaarf;Flick|Mann|mëttel Hautfaarf|Police|Polizist|Polizist: mëttel Hautfaarf
	👮🏾‍♂️;Polizist: mëtteldäischter Hautfaarf;Flick|Mann|mëtteldäischter Hautfaarf|Police|Polizist|Polizist: mëtteldäischter Hautfaarf
	👮🏿‍♂️;Polizist: däischter Hautfaarf;däischter Hautfaarf|Flick|Mann|Police|Polizist|Polizist: däischter Hautfaarf
👮‍♀️;Polizistin;Flick|Fra|Police|Polizistin
	👮🏻‍♀️;Polizistin: hell Hautfaarf;Flick|Fra|hell Hautfaarf|Police|Polizistin|Polizistin: hell Hautfaarf
